'tamo'	t a m o
adrenal	a d ɾ e n a l
adrenalínico	a d ɾ e n a l i n i k o
adrenocorticotropa	a d ɾ e n o k o ɾ t i k o t ɾ o p a
adrenocorticotropas	a d ɾ e n o k o ɾ t i k o t ɾ o p a s
adrenocorticotropo	a d ɾ e n o k o ɾ t i k o t ɾ o p o
adrenocorticotropos	a d ɾ e n o k o ɾ t i k o t ɾ o p o s
adrenérgico	a d ɾ e n e ɾ x i k o
adri	a d ɾ i
adriana	a d ɾ j a n a
adriano	a d ɾ j a n o
adrianzén	a d ɾ j a n θ e n
adrián	a d ɾ j a n
adriático	a d ɾ j a t i k o
adscribible	a d s k ɾ i b i b l e
adscripción	a d s k ɾ i b θ j o n
adscripta	a d s k ɾ i b t a
adscriptas	a d s k ɾ i b t a s
adscripto	a d s k ɾ i b t o
adscriptos	a d s k ɾ i b t o s
adsorbe	a d s o ɾ b e
adsorber	a d s o ɾ b e ɾ
adsorbo	a d s o ɾ b o
adsorción	a d s o ɾ θ j o n
aduana	a d w a n a
aduanal	a d w a n a l
aduanera	a d w a n e ɾ a
aduanero	a d w a n e ɾ o
aduar	a d w a ɾ
aducción	a d u ɡ θ j o n
aducha	a d u t͡ʃ a
aduchas	a d u t͡ʃ a s
aducho	a d u t͡ʃ o
aduchos	a d u t͡ʃ o s
aducto	a d u ɡ t o
aductor	a d u ɡ t o ɾ
adueñada	a d w e ɲ a d a
adueñadas	a d w e ɲ a d a s
adueñado	a d w e ɲ a d o
adueñados	a d w e ɲ a d o s
adueñarse	a d w e ɲ a ɾ s e
adueñá	a d w e ɲ a
adufe	a d u f e
aduja	a d u x a
adujada	a d u x a d a
adujadas	a d u x a d a s
adujado	a d u x a d o
adujados	a d u x a d o s
adujar	a d u x a ɾ
adujas	a d u x a s
adujé	a d u x e
adujó	a d u x o
adulación	a d u l a θ j o n
adulancia	a d u l a n θ j a
adulareis	a d u l a ɾ e i s
adularia	a d u l a ɾ j a
adulteración	a d u l t e ɾ a θ j o n
adulterina	a d u l t e ɾ i n a
adulterino	a d u l t e ɾ i n o
adulterio	a d u l t e ɾ j o
adultez	a d u l t e θ
adulticida	a d u l t i θ i d a
adunar	a d u n a ɾ
adunco	a d u n k o
adurida	a d u ɾ i d a
aduridas	a d u ɾ i d a s
adurido	a d u ɾ i d o
aduridos	a d u ɾ i d o s
adurir	a d u ɾ i ɾ
aduro	a d u ɾ o
advección	a d b e ɡ θ j o n
advenimiento	a d b e n i m j e n t o
adventicio	a d b e n t i θ j o
adveraciones	a d b e ɾ a θ j o n e s
adveración	a d b e ɾ a θ j o n
adverada	a d b e ɾ a d a
adveradas	a d b e ɾ a d a s
adverado	a d b e ɾ a d o
adverados	a d b e ɾ a d o s
adverar	a d b e ɾ a ɾ
adverbial	a d b e ɾ b j a l
adverbialmente	a d b e ɾ b j a l m e n t e
adverbio	a d b e ɾ b j o
adversada	a d b e ɾ s a d a
adversadas	a d b e ɾ s a d a s
adversado	a d b e ɾ s a d o
adversados	a d b e ɾ s a d o s
adversar	a d b e ɾ s a ɾ
adversaria	a d b e ɾ s a ɾ j a
adversarial	a d b e ɾ s a ɾ j a l
adversarias	a d b e ɾ s a ɾ j a s
adversario	a d b e ɾ s a ɾ j o
adversarios	a d b e ɾ s a ɾ j o s
adversaría	a d b e ɾ s a ɾ i a
adversarías	a d b e ɾ s a ɾ i a s
adverses	a d b e ɾ s e s
advertencia	a d b e ɾ t e n θ j a
advertible	a d b e ɾ t i b l e
advertimiento	a d b e ɾ t i m j e n t o
adviento	a d b j e n t o
adviertas	a d b j e ɾ t a s
advocación	a d b o k a θ j o n
advocad	a d b o k a d
advocada	a d b o k a d a
advocadas	a d b o k a d a s
advocado	a d b o k a d o
advocados	a d b o k a d o s
advocando	a d b o k a n d o
advocar	a d b o k a ɾ
advíncula	a d b i n k u l a
adware	a d w e ɾ
adyacencia	a d ʝ a θ e n θ j a
adyacer	a d ʝ a θ e ɾ
adápido	a d a p i d o
adárgama	a d a ɾ ɡ a m a
adéfago	a d e f a ɡ o
adén	a d e n
adónde	a d o n d e
aeat	a e a t
aedo	a e d o
aemet	a e m e t
aera	a e ɾ a
aerada	a e ɾ a d a
aeradas	a e ɾ a d a s
aerado	a e ɾ a d o
aerados	a e ɾ a d o s
aeramos	a e ɾ a m o s
aeran	a e ɾ a n
aerando	a e ɾ a n d o
aerar	a e ɾ a ɾ
aerara	a e ɾ a ɾ a
aeraras	a e ɾ a ɾ a s
aerare	a e ɾ a ɾ e
aerareis	a e ɾ a ɾ e i s
aeraremos	a e ɾ a ɾ e m o s
aerares	a e ɾ a ɾ e s
aerará	a e ɾ a ɾ a
aerarás	a e ɾ a ɾ a s
aeraríamos	a e ɾ a ɾ i a m o s
aeras	a e ɾ a s
aeraste	a e ɾ a s t e
aere	a e ɾ e
aeremos	a e ɾ e m o s
aeres	a e ɾ e s
aero	a e ɾ o
aerobio	a e ɾ o b j o
aerobiosis	a e ɾ o b j o s i s
aerobús	a e ɾ o b u s
aeroclub	a e ɾ o k l u b
aerocomercial	a e ɾ o k o m e ɾ θ j a l
aerocubierta	a e ɾ o k u b j e ɾ t a
aerodeslizador	a e ɾ o d e s l i θ a d o ɾ
aerodinamismo	a e ɾ o d i n a m i s m o
aerodinamismos	a e ɾ o d i n a m i s m o s
aerodino	a e ɾ o d i n o
aerodinos	a e ɾ o d i n o s
aerodinámicamente	a e ɾ o d i n a m i k a m e n t e
aeroespacial	a e ɾ o e s p a θ j a l
aeroespacio	a e ɾ o e s p a θ j o
aeroestación	a e ɾ o e s t a θ j o n
aerofagia	a e ɾ o f a x j a
aerofotogramétrica	a e ɾ o f o t o ɡ ɾ a m e t ɾ i k a
aerofotogramétricas	a e ɾ o f o t o ɡ ɾ a m e t ɾ i k a s
aerofotogramétrico	a e ɾ o f o t o ɡ ɾ a m e t ɾ i k o
aerofotogramétricos	a e ɾ o f o t o ɡ ɾ a m e t ɾ i k o s
aerogel	a e ɾ o x e l
aerogenerador	a e ɾ o x e n e ɾ a d o ɾ
aerogeneradores	a e ɾ o x e n e ɾ a d o ɾ e s
aerognosia	a e ɾ o ɡ n o s j a
aerografiada	a e ɾ o ɡ ɾ a f j a d a
aerografiadas	a e ɾ o ɡ ɾ a f j a d a s
aerografiado	a e ɾ o ɡ ɾ a f j a d o
aerografiados	a e ɾ o ɡ ɾ a f j a d o s
aerografiar	a e ɾ o ɡ ɾ a f j a ɾ
aerografía	a e ɾ o ɡ ɾ a f i a
aerograma	a e ɾ o ɡ ɾ a m a
aerogramas	a e ɾ o ɡ ɾ a m a s
aerología	a e ɾ o l o x i a
aerológica	a e ɾ o l o x i k a
aerológicas	a e ɾ o l o x i k a s
aerológico	a e ɾ o l o x i k o
aerológicos	a e ɾ o l o x i k o s
aeromarítimo	a e ɾ o m a ɾ i t i m o
aeromodelismo	a e ɾ o m o d e l i s m o
aeromodelista	a e ɾ o m o d e l i s t a
aeromoza	a e ɾ o m o θ a
aeronauta	a e ɾ o n a u t a
aeronaval	a e ɾ o n a b a l
aeronavegación	a e ɾ o n a b e ɡ a θ j o n
aeroniense	a e ɾ o n j e n s e
aeronáutica	a e ɾ o n a u t i k a
aeronáuticas	a e ɾ o n a u t i k a s
aeronáutico	a e ɾ o n a u t i k o
aeronáuticos	a e ɾ o n a u t i k o s
aeroparque	a e ɾ o p a ɾ k e
aeroparques	a e ɾ o p a ɾ k e s
aeropirata	a e ɾ o p i ɾ a t a
aeroponía	a e ɾ o p o n i a
aeroportuario	a e ɾ o p o ɾ t w a ɾ j o
aeropuerto	a e ɾ o p w e ɾ t o
aeropuertos	a e ɾ o p w e ɾ t o s
aerosinusitis	a e ɾ o s i n u s i t i s
aerospacial	a e ɾ o s p a θ j a l
aerostación	a e ɾ o s t a θ j o n
aerosuspendido	a e ɾ o s u s p e n d i d o
aerotaxi	a e ɾ o t a ɡ s i
aerotransportable	a e ɾ o t ɾ a n s p o ɾ t a b l e
aerotransportada	a e ɾ o t ɾ a n s p o ɾ t a d a
aerotransportadas	a e ɾ o t ɾ a n s p o ɾ t a d a s
aerotransportado	a e ɾ o t ɾ a n s p o ɾ t a d o
aerotransportados	a e ɾ o t ɾ a n s p o ɾ t a d o s
aerotransportar	a e ɾ o t ɾ a n s p o ɾ t a ɾ
aerotrén	a e ɾ o t ɾ e n
aerotécnica	a e ɾ o t e ɡ n i k a
aerotécnico	a e ɾ o t e ɡ n i k o
aerotérmica	a e ɾ o t e ɾ m i k a
aerotérmicas	a e ɾ o t e ɾ m i k a s
aerotérmico	a e ɾ o t e ɾ m i k o
aerotérmicos	a e ɾ o t e ɾ m i k o s
aeroyoga	a e ɾ o ʝ o ɡ a
aeráramos	a e ɾ a ɾ a m o s
aeróbic	a e ɾ o b i k
aeróbicamente	a e ɾ o b i k a m e n t e
aerófobo	a e ɾ o f o b o
aerófono	a e ɾ o f o n o
aerófonos	a e ɾ o f o n o s
aerógrafo	a e ɾ o ɡ ɾ a f o
aes	a e s
aesthetic	a e s t e t i k
aetosaurio	a e t o s a u ɾ j o
afablemente	a f a b l e m e n t e
afagia	a f a x j a
afamia	a f a m j a
afantasmada	a f a n t a s m a d a
afantasmadas	a f a n t a s m a d a s
afantasmado	a f a n t a s m a d o
afantasmados	a f a n t a s m a d o s
afantasmar	a f a n t a s m a ɾ
afantasía	a f a n t a s i a
afanítico	a f a n i t i k o
afaquia	a f a k j a
afar	a f a ɾ
afasia	a f a s j a
afeamiento	a f e a m j e n t o
afebril	a f e b ɾ i l
afebriles	a f e b ɾ i l e s
afección	a f e ɡ θ j o n
afecta	a f e ɡ t a
afectable	a f e ɡ t a b l e
afectación	a f e ɡ t a θ j o n
afectada	a f e ɡ t a d a
afectadamente	a f e ɡ t a d a m e n t e
afectadas	a f e ɡ t a d a s
afectado	a f e ɡ t a d o
afectados	a f e ɡ t a d o s
afectamos	a f e ɡ t a m o s
afectando	a f e ɡ t a n d o
afectante	a f e ɡ t a n t e
afectar	a f e ɡ t a ɾ
afectara	a f e ɡ t a ɾ a
afectaras	a f e ɡ t a ɾ a s
afectareis	a f e ɡ t a ɾ e i s
afectaremos	a f e ɡ t a ɾ e m o s
afectares	a f e ɡ t a ɾ e s
afectará	a f e ɡ t a ɾ a
afectarás	a f e ɡ t a ɾ a s
afectaríamos	a f e ɡ t a ɾ i a m o s
afectas	a f e ɡ t a s
afectaste	a f e ɡ t a s t e
afecte	a f e ɡ t e
afectemos	a f e ɡ t e m o s
afectes	a f e ɡ t e s
afectiva	a f e ɡ t i b a
afectivamente	a f e ɡ t i b a m e n t e
afectivas	a f e ɡ t i b a s
afectividad	a f e ɡ t i b i d a d
afectivo	a f e ɡ t i b o
afectivos	a f e ɡ t i b o s
afecto	a f e ɡ t o
afectuosa	a f e ɡ t w o s a
afectuosamente	a f e ɡ t w o s a m e n t e
afectuosidad	a f e ɡ t w o s i d a d
afectuoso	a f e ɡ t w o s o
afectuosos	a f e ɡ t w o s o s
afectuosísimo	a f e ɡ t w o s i s i m o
afectáramos	a f e ɡ t a ɾ a m o s
afectísimo	a f e ɡ t i s i m o
afeita	a f e i t a
afeitada	a f e i t a d a
afeitadas	a f e i t a d a s
afeitado	a f e i t a d o
afeitadora	a f e i t a d o ɾ a
afeitados	a f e i t a d o s
afeitar	a f e i t a ɾ
afeitarse	a f e i t a ɾ s e
afeitas	a f e i t a s
afeite	a f e i t e
afeito	a f e i t o
afelandra	a f e l a n d ɾ a
afelio	a f e l j o
afemia	a f e m j a
afeminación	a f e m i n a θ j o n
afeminadamente	a f e m i n a d a m e n t e
afeminamiento	a f e m i n a m j e n t o
afeminareis	a f e m i n a ɾ e i s
afeminaréis	a f e m i n a ɾ e i s
aferencia	a f e ɾ e n θ j a
aferramiento	a f e r a m j e n t o
affair	a f e ɾ
affaire	a f e ɾ
affidavit	a f i d a b i t
affidávit	a f i d a b i t
afgana	a f ɡ a n a
afganas	a f ɡ a n a s
afgani	a f ɡ a n i
afganistán	a f ɡ a n i s t a n
afgano	a f ɡ a n o
afganos	a f ɡ a n o s
afi	a f i
afiance	a f j a n θ e
afiancemos	a f j a n θ e m o s
afiances	a f j a n θ e s
afianzada	a f j a n θ a d a
afianzadas	a f j a n θ a d a s
afianzado	a f j a n θ a d o
afianzados	a f j a n θ a d o s
afianzamiento	a f j a n θ a m j e n t o
afianzar	a f j a n θ a ɾ
afiar	a f i a ɾ
afiche	a f i t͡ʃ e
aficionada	a f i θ j o n a d a
aficionado	a f i θ j o n a d o
aficionadísimo	a f i θ j o n a d i s i m o
aficionar	a f i θ j o n a ɾ
afición	a f i θ j o n
afiduciar	a f i d u θ j a ɾ
afidávit	a f i d a b i t
afiebrada	a f j e b ɾ a d a
afiebradas	a f j e b ɾ a d a s
afiebrado	a f j e b ɾ a d o
afiebrados	a f j e b ɾ a d o s
afiebraos	a f j e b ɾ a o s
afiebrarse	a f j e b ɾ a ɾ s e
afiebrate	a f j e b ɾ a t e
afiebrá	a f j e b ɾ a
afierro	a f j e r o
afigurarse	a f i ɡ u ɾ a ɾ s e
afiladamente	a f i l a d a m e n t e
afiladísimo	a f i l a d i s i m o
afilalápices	a f i l a l a p i θ e s
afilamiento	a f i l a m j e n t o
afilareis	a f i l a ɾ e i s
afiliación	a f i l j a θ j o n
afiliada	a f i l j a d a
afiliadas	a f i l j a d a s
afiliado	a f i l j a d o
afiliados	a f i l j a d o s
afiliar	a f i l j a ɾ
afiligranada	a f i l i ɡ ɾ a n a d a
afiligranadas	a f i l i ɡ ɾ a n a d a s
afiligranado	a f i l i ɡ ɾ a n a d o
afiligranados	a f i l i ɡ ɾ a n a d o s
afiligranar	a f i l i ɡ ɾ a n a ɾ
afinación	a f i n a θ j o n
afinamiento	a f i n a m j e n t o
afincamiento	a f i n k a m j e n t o
afincamientos	a f i n k a m j e n t o s
afinojar	a f i n o x a ɾ
afip	a f i p
afirmaciones	a f i ɾ m a θ j o n e s
afirmación	a f i ɾ m a θ j o n
afirmareis	a f i ɾ m a ɾ e i s
afirmás	a f i ɾ m a s
afiébrate	a f j e b ɾ a t e
afiébrense	a f j e b ɾ e n s e
afiébrese	a f j e b ɾ e s e
afió	a f i o
aflamencada	a f l a m e n k a d a
aflamencadas	a f l a m e n k a d a s
aflamencado	a f l a m e n k a d o
aflamencados	a f l a m e n k a d o s
aflamencar	a f l a m e n k a ɾ
aflautado	a f l a u t a d o
aflechado	a f l e t͡ʃ a d o
aflechamiento	a f l e t͡ʃ a m j e n t o
aflicción	a f l i ɡ θ j o n
aflictivo	a f l i ɡ t i b o
afligente	a f l i x e n t e
afligidísimo	a f l i x i d i s i m o
afligimiento	a f l i x i m j e n t o
aflojamiento	a f l o x a m j e n t o
afloración	a f l o ɾ a θ j o n
afloramiento	a f l o ɾ a m j e n t o
aflorareis	a f l o ɾ a ɾ e i s
afluencia	a f l w e n θ j a
afluente	a f l u e n t e
afluentemente	a f l w e n t e m e n t e
afluida	a f l w i d a
afluidas	a f l w i d a s
afluido	a f l w i d o
afluidos	a f l w i d o s
afluir	a f l w i ɾ
afluyente	a f l u ʝ e n t e
afogarar	a f o ɡ a ɾ a ɾ
aforamiento	a f o ɾ a m j e n t o
aforrada	a f o r a d a
aforradas	a f o r a d a s
aforrado	a f o r a d o
aforrados	a f o r a d o s
aforrar	a f o r a ɾ
afortunadísimo	a f o ɾ t u n a d i s i m o
afortunan	a f o ɾ t u n a n
afortunar	a f o ɾ t u n a ɾ
afrancesamiento	a f ɾ a n θ e s a m j e n t o
africada	a f ɾ i k a d a
africado	a f ɾ i k a d o
africanidad	a f ɾ i k a n i d a d
africanismo	a f ɾ i k a n i s m o
africanito	a f ɾ i k a n i t o
africanización	a f ɾ i k a n i θ a θ j o n
africanía	a f ɾ i k a n i a
afrikáans	a f ɾ i k a a n s
afrikáner	a f ɾ i k a n e ɾ
afroalemana	a f ɾ o a l e m a n a
afroalemanas	a f ɾ o a l e m a n a s
afroalemanes	a f ɾ o a l e m a n e s
afroalemán	a f ɾ o a l e m a n
afroamericana	a f ɾ o a m e ɾ i k a n a
afroamericanas	a f ɾ o a m e ɾ i k a n a s
afroamericano	a f ɾ o a m e ɾ i k a n o
afroamericanos	a f ɾ o a m e ɾ i k a n o s
afroargentina	a f ɾ o a ɾ x e n t i n a
afroargentino	a f ɾ o a ɾ x e n t i n o
afrobeat	a f ɾ o b i t
afrobrasileña	a f ɾ o b ɾ a s i l e ɲ a
afrobrasileñas	a f ɾ o b ɾ a s i l e ɲ a s
afrobrasileño	a f ɾ o b ɾ a s i l e ɲ o
afrobrasileños	a f ɾ o b ɾ a s i l e ɲ o s
afrocubanismo	a f ɾ o k u b a n i s m o
afrocubano	a f ɾ o k u b a n o
afrocéntrico	a f ɾ o θ e n t ɾ i k o
afrodescendiente	a f ɾ o d e s θ e n d j e n t e
afrodisiaco	a f ɾ o d i s j a k o
afroecuatoriana	a f ɾ o e k w a t o ɾ j a n a
afroecuatorianas	a f ɾ o e k w a t o ɾ j a n a s
afroecuatoriano	a f ɾ o e k w a t o ɾ j a n o
afroecuatorianos	a f ɾ o e k w a t o ɾ j a n o s
afroespañol	a f ɾ o e s p a ɲ o l
afroestadounidense	a f ɾ o e s t a d o u n i d e n s e
afroestadounidenses	a f ɾ o e s t a d o u n i d e n s e s
afrohondureña	a f ɾ o o n d u ɾ e ɲ a
afrohondureñas	a f ɾ o o n d u ɾ e ɲ a s
afrohondureño	a f ɾ o o n d u ɾ e ɲ o
afrohondureños	a f ɾ o o n d u ɾ e ɲ o s
afrolatina	a f ɾ o l a t i n a
afrolatinas	a f ɾ o l a t i n a s
afrolatino	a f ɾ o l a t i n o
afrolatinos	a f ɾ o l a t i n o s
afromexicana	a f ɾ o m e x i k a n a
afromexicanas	a f ɾ o m e x i k a n a s
afromexicano	a f ɾ o m e x i k a n o
afromexicanos	a f ɾ o m e x i k a n o s
afrontamiento	a f ɾ o n t a m j e n t o
afroperuana	a f ɾ o p e ɾ w a n a
afroperuanas	a f ɾ o p e ɾ w a n a s
afroperuano	a f ɾ o p e ɾ w a n o
afroperuanos	a f ɾ o p e ɾ w a n o s
afroporteña	a f ɾ o p o ɾ t e ɲ a
afroporteñas	a f ɾ o p o ɾ t e ɲ a s
afroporteño	a f ɾ o p o ɾ t e ɲ o
afroporteños	a f ɾ o p o ɾ t e ɲ o s
afrotropical	a f ɾ o t ɾ o p i k a l
afrotropicales	a f ɾ o t ɾ o p i k a l e s
afruenta	a f ɾ w e n t a
afrutado	a f ɾ u t a d o
after	a f t e ɾ
aftersun	a f t e ɾ s a n
afuera	a f w e ɾ a
afueras	a f w e ɾ a s
afuerear	a f w e ɾ e a ɾ
afuereño	a f w e ɾ e ɲ o
afuerino	a f w e ɾ i n o
afuerita	a f w e ɾ i t a
afuste	a f u s t e
aféitale	a f e i t a l e
aféitate	a f e i t a t e
aféitense	a f e i t e n s e
aféitese	a f e i t e s e
afémica	a f e m i k a
afémicas	a f e m i k a s
afémico	a f e m i k o
afémicos	a f e m i k o s
aga	a ɡ a
agachada	a ɡ a t͡ʃ a d a
agachadas	a ɡ a t͡ʃ a d a s
agachadito	a ɡ a t͡ʃ a d i t o
agachadiza	a ɡ a t͡ʃ a d i θ a
agachado	a ɡ a t͡ʃ a d o
agachados	a ɡ a t͡ʃ a d o s
agachando	a ɡ a t͡ʃ a n d o
agachar	a ɡ a t͡ʃ a ɾ
agacharse	a ɡ a t͡ʃ a ɾ s e
agachona	a ɡ a t͡ʃ o n a
agachonas	a ɡ a t͡ʃ o n a s
agalactia	a ɡ a l a ɡ t j a
agalacto	a ɡ a l a ɡ t o
agalaxia	a ɡ a l a ɡ s j a
agalla	a ɡ a ʎ a
agallas	a ɡ a ʎ a s
agaláctico	a ɡ a l a ɡ t i k o
agamenón	a ɡ a m e n o n
agamí	a ɡ a m i
aganchado	a ɡ a n t͡ʃ a d o
agandalle	a ɡ a n d a ʎ e
agangliónico	a ɡ a n ɡ l j o n i k o
agapanto	a ɡ a p a n t o
agapito	a ɡ a p i t o
agar	a ɡ a ɾ
agarbarse	a ɡ a ɾ b a ɾ s e
agarosa	a ɡ a ɾ o s a
agarra	a ɡ a r a
agarrada	a ɡ a r a d a
agarradas	a ɡ a r a d a s
agarradera	a ɡ a r a d e ɾ a
agarradero	a ɡ a r a d e ɾ o
agarrado	a ɡ a r a d o
agarrados	a ɡ a r a d o s
agarramos	a ɡ a r a m o s
agarran	a ɡ a r a n
agarrando	a ɡ a r a n d o
agarrar	a ɡ a r a ɾ
agarrara	a ɡ a r a ɾ a
agarraras	a ɡ a r a ɾ a s
agarrareis	a ɡ a r a ɾ e i s
agarraremos	a ɡ a r a ɾ e m o s
agarrares	a ɡ a r a ɾ e s
agarrará	a ɡ a r a ɾ a
agarrarás	a ɡ a r a ɾ a s
agarraríamos	a ɡ a r a ɾ i a m o s
agarras	a ɡ a r a s
agarraste	a ɡ a r a s t e
agarre	a ɡ a r e
agarremos	a ɡ a r e m o s
agarres	a ɡ a r e s
agarro	a ɡ a r o
agarronazo	a ɡ a r o n a θ o
agarrotada	a ɡ a r o t a d a
agarrotadas	a ɡ a r o t a d a s
agarrotado	a ɡ a r o t a d o
agarrotados	a ɡ a r o t a d o s
agarrotar	a ɡ a r o t a ɾ
agarrotarse	a ɡ a r o t a ɾ s e
agarráramos	a ɡ a r a ɾ a m o s
agarré	a ɡ a r e
agarrón	a ɡ a r o n
agasajada	a ɡ a s a x a d a
agasajadas	a ɡ a s a x a d a s
agasajado	a ɡ a s a x a d o
agasajados	a ɡ a s a x a d o s
agasajar	a ɡ a s a x a ɾ
agasajo	a ɡ a s a x o
agateador	a ɡ a t e a d o ɾ
agauchada	a ɡ a u t͡ʃ a d a
agauchadas	a ɡ a u t͡ʃ a d a s
agauchado	a ɡ a u t͡ʃ a d o
agauchados	a ɡ a u t͡ʃ a d o s
agave	a ɡ a b e
agavera	a ɡ a b e ɾ a
agavero	a ɡ a b e ɾ o
agaves	a ɡ a b e s
agavillada	a ɡ a b i ʎ a d a
agavilladas	a ɡ a b i ʎ a d a s
agavillado	a ɡ a b i ʎ a d o
agavilladora	a ɡ a b i ʎ a d o ɾ a
agavillados	a ɡ a b i ʎ a d o s
agavillamiento	a ɡ a b i ʎ a m j e n t o
agavillar	a ɡ a b i ʎ a ɾ
agazapada	a ɡ a θ a p a d a
agazapadamente	a ɡ a θ a p a d a m e n t e
agazapadas	a ɡ a θ a p a d a s
agazapado	a ɡ a θ a p a d o
agazapados	a ɡ a θ a p a d o s
agazapar	a ɡ a θ a p a ɾ
agaña	a ɡ a ɲ a
agda	a ɡ d a
agencia	a x e n θ j a
agenciada	a x e n θ j a d a
agenciadas	a x e n θ j a d a s
agenciado	a x e n θ j a d o
agenciados	a x e n θ j a d o s
agenciar	a x e n θ j a ɾ
agenciárselas	a x e n θ j a ɾ s e l a s
agendada	a x e n d a d a
agendadas	a x e n d a d a s
agendado	a x e n d a d o
agendados	a x e n d a d o s
agendando	a x e n d a n d o
agendar	a x e n d a ɾ
agendo	a x e n d o
agenesia	a x e n e s j a
agentiva	a x e n t i b a
agentivas	a x e n t i b a s
agentivo	a x e n t i b o
agentivos	a x e n t i b o s
agermanada	a x e ɾ m a n a d a
agermanadas	a x e ɾ m a n a d a s
agermanados	a x e ɾ m a n a d o s
agermaná	a x e ɾ m a n a
agigantada	a x i ɡ a n t a d a
agigantadas	a x i ɡ a n t a d a s
agigantado	a x i ɡ a n t a d o
agigantados	a x i ɡ a n t a d o s
agigantar	a x i ɡ a n t a ɾ
agilipollada	a x i l i p o ʎ a d a
agilipolladas	a x i l i p o ʎ a d a s
agilipollado	a x i l i p o ʎ a d o
agilipollados	a x i l i p o ʎ a d o s
agilipollar	a x i l i p o ʎ a ɾ
agilipollarse	a x i l i p o ʎ a ɾ s e
agilizaciones	a x i l i θ a θ j o n e s
agilización	a x i l i θ a θ j o n
agiotador	a x j o t a d o ɾ
agiotadora	a x j o t a d o ɾ a
agiotadoras	a x j o t a d o ɾ a s
agiotaje	a x j o t a x e
agiotista	a x j o t i s t a
agir	a x i ɾ
agitaciones	a x i t a θ j o n e s
agitación	a x i t a θ j o n
agitadamente	a x i t a d a m e n t e
agitadísimo	a x i t a d i s i m o
agitanada	a x i t a n a d a
agitanadas	a x i t a n a d a s
agitanado	a x i t a n a d o
agitanados	a x i t a n a d o s
agitanar	a x i t a n a ɾ
aglabí	a ɡ l a b i
aglianico	a ɡ l j a n i k o
aglicona	a ɡ l i k o n a
aglomeración	a ɡ l o m e ɾ a θ j o n
aglomerada	a ɡ l o m e ɾ a d a
aglomeradas	a ɡ l o m e ɾ a d a s
aglomerado	a ɡ l o m e ɾ a d o
aglomerados	a ɡ l o m e ɾ a d o s
aglomerante	a ɡ l o m e ɾ a n t e
aglomerar	a ɡ l o m e ɾ a ɾ
aglomero	a ɡ l o m e ɾ o
aglonema	a ɡ l o n e m a
aglutina	a ɡ l u t i n a
aglutinación	a ɡ l u t i n a θ j o n
aglutinada	a ɡ l u t i n a d a
aglutinadas	a ɡ l u t i n a d a s
aglutinado	a ɡ l u t i n a d o
aglutinador	a ɡ l u t i n a d o ɾ
aglutinados	a ɡ l u t i n a d o s
aglutinamiento	a ɡ l u t i n a m j e n t o
aglutinando	a ɡ l u t i n a n d o
aglutinante	a ɡ l u t i n a n t e
aglutinar	a ɡ l u t i n a ɾ
aglutinina	a ɡ l u t i n i n a
agnación	a ɡ n a θ j o n
agnado	a ɡ n a d o
agnato	a ɡ n a t o
agnocasto	a ɡ n o k a s t o
agnombre	a ɡ n o m b ɾ e
agnomento	a ɡ n o m e n t o
agnomentos	a ɡ n o m e n t o s
agnosia	a ɡ n o s j a
agnosticismo	a ɡ n o s t i θ i s m o
agnóstica	a ɡ n o s t i k a
agnóstico	a ɡ n o s t i k o
agobiada	a ɡ o b j a d a
agobiadas	a ɡ o b j a d a s
agobiado	a ɡ o b j a d o
agobiados	a ɡ o b j a d o s
agobiadísimo	a ɡ o b j a d i s i m o
agobiante	a ɡ o b j a n t e
agobiar	a ɡ o b j a ɾ
agobio	a ɡ o b j o
agogó	a ɡ o ɡ o
agoho	a ɡ o o
agolar	a ɡ o l a ɾ
agolpada	a ɡ o l p a d a
agolpadas	a ɡ o l p a d a s
agolpado	a ɡ o l p a d o
agolpados	a ɡ o l p a d o s
agolpamiento	a ɡ o l p a m j e n t o
agolparse	a ɡ o l p a ɾ s e
agolpá	a ɡ o l p a
agonal	a ɡ o n a l
agonismo	a ɡ o n i s m o
agonista	a ɡ o n i s t a
agoniza	a ɡ o n i θ a
agonizada	a ɡ o n i θ a d a
agonizadas	a ɡ o n i θ a d a s
agonizado	a ɡ o n i θ a d o
agonizados	a ɡ o n i θ a d o s
agonizamos	a ɡ o n i θ a m o s
agonizando	a ɡ o n i θ a n d o
agonizante	a ɡ o n i θ a n t e
agonizar	a ɡ o n i θ a ɾ
agonizara	a ɡ o n i θ a ɾ a
agonizaras	a ɡ o n i θ a ɾ a s
agonizareis	a ɡ o n i θ a ɾ e i s
agonizaremos	a ɡ o n i θ a ɾ e m o s
agonizares	a ɡ o n i θ a ɾ e s
agonizará	a ɡ o n i θ a ɾ a
agonizarás	a ɡ o n i θ a ɾ a s
