'day	d a j
dominasyon	d o m i n a s j o n
dominasyones	d o m i n a s j o n e s
dominggo	d o m i ŋ ɡ o
domingo	d o m i ŋ ɡ o
dominguez	d o m i ŋ ɡ e s
dominika	d o m i n i k a
dominikano	d o m i n i k a n o
domino	d o m i n o
dominyo	d o m i n j o
dominyon	d o m i n j o n
don	d o n
donasyon	d o n a s j o n
donat	d o n a t
donya	d o n j a
doon	d o n
doong	d o ʔ o ŋ
dorado	d o ɾ a d o
dorbel	d o ɾ b e l
dormedanyo	d o ɾ m e d a n j o
dormitoryo	d o ɾ m i t o ɾ j o
dorobo	d o ɾ o b o
dorothy	d o ɾ o t i
dos	d o s
dose	d o s e
dosena	d o s e n a
dosis	d o s i s
dosyentos	d o s j e n t o s
dote	d o t e
dottie	d o t i
douglas	d o ɡ l a s
dragon	d ɾ a ɡ o n
drakula	d ɾ a k u l a
dram	d ɾ a m
drama	d ɾ a m a
dramatiko	d ɾ a m a t i k o
drayber	d ɾ a j b e ɾ
dribol	d ɾ i b o l
droga	d ɾ o ɡ a
drogista	d ɾ o ɡ i s t a
dromedaryo	d ɾ o m e d a ɾ j o
drower	d ɾ o e ɾ
drowing	d ɾ o w i ŋ
du	d u
dua	d u ʔ a
duag	d u a ɡ
dual	d u ʔ a l
dubdob	d u b d o b
dublin	d a b l i n
ducut	d u k u t
duda	d u d a
dudagitab	d u d a ɡ i t a b
duduguan	d u d u ɡ u ʔ a n
dudukot	d u d u k o t
duduluhan	d u d u l u h a n
dudungaw	d u d u ŋ a w
duero	d u e ɾ o
dueñas	d u e n j a s
dugas	d u ɡ a s
dugo	d u ɡ o ʔ
dugong	d u ɡ o ŋ
dugso	d u ɡ s o ʔ
dugtong	d u ɡ t o ŋ
duguan	d u ɡ u ʔ a n
dugwa	d u ɡ w a ʔ
dugyot	d u ɡ j o t
duhagi	d u h a ɡ i
duhakay	d u h a k a j
duhambindahon	d u h a m b i n d a h o n
duhandas	d u h a n d a s
duhansipat	d u h a n s i p a t
duhasik	d u h a s i k
duhat	d u h a t
duhol	d u h o l
dukado	d u k a d o
dukal	d u k a l
dukalan	d u k a l a n
dukalin	d u k a l i n
duke	d u k e
dukesa	d u k e s a
dukha	d u k h a ʔ
dukit	d u k i t
dukot	d u k o t
dukumental	d u k u m e n t a l
dukwang	d u k w a ŋ
dukwangin	d u k w a ŋ i n
dula	d u l a ʔ
dulaan	d u l a ʔ a n
dulang	d u l a ŋ
dulangan	d u l a ŋ a n
dulas	d u l a s
dulay	d u l a j
duldol	d u l d o l
duling	d u l i ŋ
dulis	d u l i s
dulit	d u l i t
dulo	d u l o
dulog	d u l o ɡ
dulohaka	d u l o h a k a ʔ
dulos	d u l o s
dulot	d u l o t
dulsainas	d u l s a j n a s
dulsaynas	d u l s a j n a s
dulubasa	d u l u b a s a ʔ
dulugan	d u l u ɡ a n
duluhaka	d u l u h a k a ʔ
duluhan	d u l u h a n
dumaan	d u m a ʔ a n
dumagdag	d u m a ɡ d a ɡ
dumagit	d u m a ɡ i t
dumagsin	d u m a ɡ s i n
dumaguete	d u m a ɡ e t e
dumaguing	d u m a ɡ i ŋ
dumaigdig	d u m a ʔ i ɡ d i ɡ
dumal	d u m a l
dumalag	d u m a l a ɡ
dumalaw	d u m a l a w
dumaldal	d u m a l d a l
dumali	d u m a l i ʔ
dumalisay	d u m a l i s a j
dumalo	d u m a l o
dumaloy	d u m a l o j
duman	d u m a n
dumanjug	d u m a n h u ɡ
dumapa	d u m a p a ʔ
dumarao	d u m a ɾ a w
dumaraos	d u m a ɾ a ʔ o s
dumarine	d u m a ɾ i n e
dumating	d u m a t i ŋ
dumausdos	d u m a ʔ u s d o s
dumero	d u m e ɾ o
dumi	d u m i
dumighay	d u m i ɡ h a j
dumihan	d u m i h a n
dumilaw	d u m i l a w
dumilim	d u m i l i m
dumito	d u m i t o
dumlao	d u m l a w
dumog	d u m o ɡ
dumpit	d u m p i t
dumudukot	d u m u d u k o t
dumudungaw	d u m u d u ŋ a w
dumugin	d u m u ɡ i n
dumugo	d u m u ɡ o ʔ
dumukot	d u m u k o t
dumulas	d u m u l a s
dumumi	d u m u m i
dumungaw	d u m u ŋ a w
dumupok	d u m u p o k
dumura	d u m u ɾ a ʔ
dumurukot	d u m u ɾ u k o t
dumurungaw	d u m u ɾ u ŋ a w
dundon	d u n d o n
dungaw	d u ŋ a w
dunggol	d u ŋ ɡ o l
dunggot	d u ŋ ɡ o t
dunggulin	d u ŋ ɡ u l i n
dungis	d u ŋ i s
dungon	d u ŋ o n
dunong	d u n o ŋ
duong	d u ʔ o ŋ
duongan	d u ʔ o ŋ a n
dupa	d u p a ʔ
dupikal	d u p i k a l
dupil	d u p i l
dupliket	d u p l i k e t
duplikeyt	d u p l i k e j t
dupok	d u p o k
dupong	d u p o ŋ
dura	d u ɾ a ʔ
duraan	d u ɾ a ʔ a n
durante	d u ɾ a n t e
durian	d u ɾ j a n
duro	d u ɾ o ʔ
durog	d u ɾ o ɡ
durugista	d u ɾ u ɡ i s t a
durukot	d u ɾ u k o t
durungaw	d u ɾ u ŋ a w
durungawan	d u ɾ u ŋ a w a n
duryan	d u ɾ j a n
dusa	d u s a
dusdos	d u s d o s
dusing	d u s i ŋ
dusta	d u s t a ʔ
duta	d u t a ʔ
dutaan	d u t a ʔ a n
dutaliknayan	d u t a l i k n a j a n
dutdot	d u t d o t
dutdutin	d u t d u t i n
duterte	d u t e ɾ t e
duterteismo	d u t e ɾ t e i s m o
dutertismo	d u t e ɾ t i s m o
duungan	d u ʔ u ŋ a n
duwag	d u a ɡ
duwahagi	d u a h a ɡ i
duwal	d u a l
duwalismo	d u a l i s m o
duwende	d u e n d e
duweto	d u e t o
duwong	d u o ŋ
duyan	d u j a n
duyog	d u j o ɡ
duyong	d u j o ŋ
dwight	d w a j t
dy	d i
dyadema	d j a d e m a
dyahe	d j a h e
dyaket	d j a k e t
dyakol	d j a k o l
dyakritiko	d j a k ɾ i t i k o
dyamante	d j a m a n t e
dyambol	d j a m b o l
dyangket	d j a ŋ k e t
dyanitor	d j a n i t o ɾ
dyaryo	d j a ɾ j o
dyas	d j a s
dyeli	d j e l i
dyenereytor	d j e n e ɾ e j t o ɾ
dyeresis	d j e ɾ e s i s
dyet	d j e t
dyeta	d j e t a
dyey	d j e j
dyi	d j i
dyimnastiks	d j i m n a s t i k s
dyinggel	d j i ŋ ɡ e l
dyinodyolog	d j i n o d j o l o ɡ
dyinolog	d j i n o l o ɡ
dyip	d j i p
dyipni	d j i p n i
dyobos	d j o b o s
dyobus	d j o b u s
dyodyologin	d j o d j o l o ɡ i n
dyoker	d j o k e ɾ
dyologin	d j o l o ɡ i n
dyologs	d j o l o ɡ s
dyornal	d j o ɾ n a l
dyornalismo	d j o ɾ n a l i s m o
dyornalista	d j o ɾ n a l i s t a
dyos	d j o s
dyosa	d j o s a
dyowa	d j o a
dyudo	d j u d o
dyumologs	d j u m o l o ɡ s
dyurnal	d j u ɾ n a l
dyurnalismo	d j u ɾ n a l i s m o
dyurnalista	d j u ɾ n a l i s t a
e	e
ea	ʔ e ʔ a
eabab	ʔ e a b a b
eba	ʔ e b a
ebak	ʔ e b a k
ebakwasyon	ʔ e b a k w a s j o n
ebanghelikamente	ʔ e b a ŋ h e l i k a m e n t e
ebanghelista	ʔ e b a ŋ h e l i s t a
ebanghelyo	ʔ e b a ŋ h e l j o
ebangsilyo	ʔ e b a ŋ s i l j o
ebaporada	ʔ e b a p o ɾ a d a
ebidensiya	ʔ e b i d e n s i a
ebidensya	ʔ e b i d e n s j a
ebolusyon	ʔ e b o l u s j o n
ebreo	ʔ e b ɾ e o
ebs	ʔ e b s
ebulusyon	ʔ e b u l u s j o n
echague	ʔ e t s a ɡ e
echano	ʔ e t s a n o
echas	ʔ e t s a s
echegaray	ʔ e t s e ɡ a ɾ a j
echevarria	ʔ e t s e b a ɾ j a
echiverri	ʔ e t s i b e ɾ i
echos	ʔ e t s o s
echosera	ʔ e t s o s e ɾ a
edad	ʔ e d a d
eden	ʔ e d e n
edipisyo	ʔ e d i p i s j o
edison	ʔ e d i s o n
edisyon	ʔ e d i s j o n
edit	ʔ e d i t
editoryal	ʔ e d i t o ɾ j a l
edlyn	ʔ e d l i n
edna	ʔ e d n a
edrada	ʔ e d ɾ a d a
edsa	ʔ e d s a
edukada	ʔ e d u k a d a
edukado	ʔ e d u k a d o
edukasyon	ʔ e d u k a s j o n
eemyendahan	ʔ e ʔ e m j e n d a h a n
eere	ʔ e ʔ e ɾ e
ef	ʔ e f
efas	ʔ e f a s
efe	ʔ e f e
efren	ʔ e f ɾ e n
egalitaryo	ʔ e ɡ a l i t a ɾ j o
egemoniya	ʔ e ɡ e m o n i a
egemonya	ʔ e ɡ e m o n j a
egloga	ʔ e ɡ l o ɡ a
egoismo	ʔ e ɡ o i s m o
eguia	ʔ e ɡ i a
ehe	ʔ e h e
ehekutibo	ʔ e h e k u t i b o
ehemoniya	ʔ e h e m o n i a
ehemonya	ʔ e h e m o n j a
ehemplo	ʔ e h e m p l o
ehersisyo	ʔ e h e ɾ s i s j o
ehersito	ʔ e h e ɾ s i t o
ehipto	ʔ e h i p t o
ejercito	ʔ e h e ɾ s i t o
eka	ʔ e k a
ekiboko	ʔ e k i b o k o
ekinoks	ʔ e k i n o k s
ekinoksiyo	ʔ e k i n o k s i o
ekinoksyo	ʔ e k i n o k s j o
ekipahe	ʔ e k i p a h e
ekis	ʔ e k i s
ekisan	ʔ e k i s a n
eklipse	ʔ e k l i p s e
ekonomiko	ʔ e k o n o m i k o
ekonomista	ʔ e k o n o m i s t a
ekonomiya	ʔ e k o n o m i a
eks	ʔ e k s
eksaherado	ʔ e k s a h e ɾ a d o
eksaherasyon	ʔ e k s a h e ɾ a s j o n
eksakto	ʔ e k s a k t o
eksalumna	ʔ e k s a l u m n a
eksalumno	ʔ e k s a l u m n o
eksam	ʔ e k s a m
eksamenasyon	ʔ e k s a m e n a s j o n
eksaminador	ʔ e k s a m i n a d o ɾ
eksaminasyon	ʔ e k s a m i n a s j o n
eksampol	ʔ e k s a m p o l
eksayted	ʔ e k s a j t e d
eksayting	ʔ e k s a j t i ŋ
eksehomo	ʔ e k s e h o m o
ekselensiya	ʔ e k s e l e n s i a
eksema	ʔ e k s e m a
eksempted	ʔ e k s e m p t e d
eksemted	ʔ e k s e m t e d
eksena	ʔ e k s e n a
eksepsiyon	ʔ e k s e p s i o n
ekshibisyon	ʔ e k s h i b i s j o n
eksibisyon	ʔ e k s i b i s j o n
eksibit	ʔ e k s i b i t
eksihensiya	ʔ e k s i h e n s i a
eksilo	ʔ e k s i l o
eksilyo	ʔ e k s i l j o
eksistensiyalismo	ʔ e k s i s t e n s i a l i s m o
eksistensyalismo	ʔ e k s i s t e n s j a l i s m o
eksklusibo	ʔ e k s k l u s i b o
eksklusyon	ʔ e k s k l u s j o n
ekskomunikado	ʔ e k s k o m u n i k a d o
ekskomunikasyon	ʔ e k s k o m u n i k a s j o n
eksorsismo	ʔ e k s o ɾ s i s m o
eksotisasyon	ʔ e k s o t i s a s j o n
eksotisisasyon	ʔ e k s o t i s i s a s j o n
ekspedisyon	ʔ e k s p e d i s j o n
eksperimento	ʔ e k s p e ɾ i m e n t o
eksperto	ʔ e k s p e ɾ t o
eksperyensiya	ʔ e k s p e ɾ j e n s i a
ekspirasyon	ʔ e k s p i ɾ a s j o n
eksplanasyon	ʔ e k s p l a n a s j o n
eksplikasyon	ʔ e k s p l i k a s j o n
eksplorador	ʔ e k s p l o ɾ a d o ɾ
eksplorasyon	ʔ e k s p l o ɾ a s j o n
eksplosibo	ʔ e k s p l o s i b o
eksplosyon	ʔ e k s p l o s j o n
eksportasyon	ʔ e k s p o ɾ t a s j o n
ekspresyon	ʔ e k s p ɾ e s j o n
ekspresyonismo	ʔ e k s p ɾ e s j o n i s m o
ekspulsiyon	ʔ e k s p u l s i o n
ekstasi	ʔ e k s t a s i
ekstrabagansa	ʔ e k s t ɾ a b a ɡ a n s a
ekstrabagansiya	ʔ e k s t ɾ a b a ɡ a n s i a
ekstrabagansya	ʔ e k s t ɾ a b a ɡ a n s j a
ekstranghero	ʔ e k s t ɾ a ŋ h e ɾ o
ekstraterestriyal	ʔ e k s t ɾ a t e ɾ e s t ɾ i a l
ekstremelenggoles	ʔ e k s t ɾ e m e l e ŋ ɡ o l e s
ekstremismo	ʔ e k s t ɾ e m i s m o
ektarea	ʔ e k t a ɾ e a
ektarya	ʔ e k t a ɾ j a
ekuwador	ʔ e k u a d o ɾ
ekwador	ʔ e k w a d o ɾ
ekwalidad	ʔ e k w a l i d a d
ekwinoks	ʔ e k w i n o k s
ekwinoksiyo	ʔ e k w i n o k s i o
ekwinoksyo	ʔ e k w i n o k s j o
el	ʔ e l
elaborasyon	ʔ e l a b o ɾ a s j o n
elado	ʔ e l a d o
elamparo	ʔ e l a m p a ɾ o
elastiko	ʔ e l a s t i k o
elcano	ʔ e l k a n o
ele	ʔ e l e
elebador	ʔ e l e b a d o ɾ
elefante	ʔ e l e f a n t e
elegansiya	ʔ e l e ɡ a n s i a
elegansya	ʔ e l e ɡ a n s j a
elegante	ʔ e l e ɡ a n t e
elehiya	ʔ e l e h i a
eleksiyon	ʔ e l e k s i o n
eleksyon	ʔ e l e k s j o n
elektib	ʔ e l e k t i b
elektiv	ʔ e l e k t i b
elektrisidad	ʔ e l e k t ɾ i s i d a d
elektrisista	ʔ e l e k t ɾ i s i s t a
elektrisyan	ʔ e l e k t ɾ i s j a n
elektroiman	ʔ e l e k t ɾ o ʔ i m a n
elektrolito	ʔ e l e k t ɾ o l i t o
elektromagneto	ʔ e l e k t ɾ o m a ɡ n e t o
elektroniko	ʔ e l e k t ɾ o n i k o
elementarya	ʔ e l e m e n t a ɾ j a
elemento	ʔ e l e m e n t o
elena	ʔ e l e n a
elenita	ʔ e l e n i t a
elepante	ʔ e l e p a n t e
elesi	ʔ e l e s i
elib	ʔ e l i b
elibs	ʔ e l i b s
elikoptero	ʔ e l i k o p t e ɾ o
elise	ʔ e l i s e
eliseo	ʔ e l i s e o
elisi	ʔ e l i s i
elizaga	ʔ e l i s a ɡ a
elizalde	ʔ e l i s a l d e
elle	ʔ e l j e
elohiyo	ʔ e l o h i o
elorde	ʔ e l o ɾ d e
eloriaga	ʔ e l o ɾ j a ɡ a
elusibo	ʔ e l u s i b o
elye	ʔ e l j e
elyen	ʔ e l j e n
elyo	ʔ e l j o
em	ʔ e m
embahada	ʔ e m b a h a d a
embahador	ʔ e m b a h a d o ɾ
embalsama	ʔ e m b a l s a m a
embalsamador	ʔ e m b a l s a m a d o ɾ
embalsamo	ʔ e m b a l s a m o
embelop	ʔ e m b e l o p
embes	ʔ e m b e s
embornal	ʔ e m b o ɾ n a l
embudo	ʔ e m b u d o
emburnal	ʔ e m b u ɾ n a l
embutido	ʔ e m b u t i d o
eme	ʔ e m e
emerhensiya	ʔ e m e ɾ h e n s i a
emeterio	ʔ e m e t e ɾ j o
emiko	ʔ e m i k o
emily	ʔ e m i l i
emir	ʔ e m i ɾ
emisperyo	ʔ e m i s p e ɾ j o
emma	ʔ e m a
emong	ʔ e m o ŋ
emorahiya	ʔ e m o ɾ a h i a
emosyon	ʔ e m o s j o n
emosyonal	ʔ e m o s j o n a l
empake	ʔ e m p a k e
empanada	ʔ e m p a n a d a
empatso	ʔ e m p a t s o
empenyo	ʔ e m p e n j o
emperador	ʔ e m p e ɾ a d o ɾ
emperadora	ʔ e m p e ɾ a d o ɾ a
emperatris	ʔ e m p e ɾ a t ɾ i s
emperdible	ʔ e m p e ɾ d i b l e
empermedad	ʔ e m p e ɾ m e d a d
empermeridad	ʔ e m p e ɾ m e ɾ i d a d
emperyo	ʔ e m p e ɾ j o
empirisismo	ʔ e m p i ɾ i s i s m o
emplasto	ʔ e m p l a s t o
empleada	ʔ e m p l e a d a
empleado	ʔ e m p l e a d o
empleo	ʔ e m p l e o
empleyada	ʔ e m p l e a d a
empleyado	ʔ e m p l e a d o
empleyo	ʔ e m p l e o
emyenda	ʔ e m j e n d a
emyendahan	ʔ e m j e n d a h a n
en	ʔ e n
enagwas	ʔ e n a ɡ w a s
encarnacion	ʔ e ŋ k a ɾ n a s j o n
encarnado	ʔ e ŋ k a ɾ n a d o
encinas	ʔ e n s i n a s
endaya	ʔ e n d a j a
endemiko	ʔ e n d e m i k o
endo	ʔ e n d o
endorso	ʔ e n d o ɾ s o
endoso	ʔ e n d o s o
endozo	ʔ e n d o s o
endrinal	ʔ e n d ɾ i n a l
endyi	ʔ e n d j i
ene	ʔ e n e
enerhiya	ʔ e n e ɾ h i a
enero	ʔ e n e ɾ o
engganyo	ʔ e ŋ ɡ a n j o
engganyoso	ʔ e ŋ ɡ a n j o s o
engkabesamyento	ʔ e ŋ k a b e s a m j e n t o
engkahe	ʔ e ŋ k a h e
engkanto	ʔ e ŋ k a n t o
engkarnadina	ʔ e ŋ k a ɾ n a d i n a
engklitiko	ʔ e ŋ k l i t i k o
engkuwentro	ʔ e ŋ k u e n t ɾ o
engot	ʔ e ŋ o t
engrande	ʔ e ŋ ɡ ɾ a n d e
enklitiko	ʔ e ŋ k l i t i k o
enmiyenda	ʔ e n m i e n d a
enrile	ʔ e n ɾ i l e
enrique	ʔ e n ɾ i k e
enriquez	ʔ e n ɾ i k e s
ensalada	ʔ e n s a l a d a
ensano	ʔ e n s a n o
ensayklopidya	ʔ e n s a j k l o p i d j a
ensaymada	ʔ e n s a j m a d a
ensayo	ʔ e n s a j o
ensemada	ʔ e n s e m a d a
ensiklopedya	ʔ e n s i k l o p e d j a
entablado	ʔ e n t a b l a d o
entendido	ʔ e n t e n d i d o
enteng	ʔ e n t e ŋ
entero	ʔ e n t e ɾ o
entiyendes	ʔ e n t i e n d e s
entrada	ʔ e n t ɾ a d a
entrega	ʔ e n t ɾ e ɡ a
entremetida	ʔ e n t ɾ e m e t i d a
entremetido	ʔ e n t ɾ e m e t i d o
entri	ʔ e n t ɾ i
entusyasmo	ʔ e n t u s j a s m o
entyendes	ʔ e n t j e n d e s
enye	ʔ e n j e
epal	ʔ e p a l
epalog	ʔ e p a l o ɡ
epek	ʔ e p e k
epektibo	ʔ e p e k t i b o
epekto	ʔ e p e k t o
eperbesente	ʔ e p e ɾ b e s e n t e
epidemya	ʔ e p i d e m j a
epiko	ʔ e p i k o
epikureismo	ʔ e p i k u ɾ e i s m o
epikurismo	ʔ e p i k u ɾ i s m o
epilepsiya	ʔ e p i l e p s i a
epilogo	ʔ e p i l o ɡ o
epipanya	ʔ e p i p a n j a
episentro	ʔ e p i s e n t ɾ o
epistemolohiya	ʔ e p i s t e m o l o h i a
epistola	ʔ e p i s t o l a
episyente	ʔ e p i s j e n t e
epron	ʔ e p ɾ o n
equis	ʔ e k i s
erado	ʔ e ɾ a d o
eraldo	ʔ e ɾ a l d o
erap	ʔ e ɾ a p
erasyon	ʔ e ɾ a s j o n
erbolaryo	ʔ e ɾ b o l a ɾ j o
ere	ʔ e ɾ e
eredera	ʔ e ɾ e d e ɾ a
eredero	ʔ e ɾ e d e ɾ o
erehe	ʔ e ɾ e h e
erehiya	ʔ e ɾ e h i a
ereser	ʔ e ɾ e s e ɾ
ereyser	ʔ e ɾ e j s e ɾ
erfe	ʔ e ɾ f e
ergo	ʔ e ɾ ɡ o
ergu	ʔ e ɾ ɡ u
erkon	ʔ e ɾ k o n
ermat	ʔ e ɾ m a t
ermats	ʔ e ɾ m a t s
ermel	ʔ e ɾ m e l
ermeyl	ʔ e ɾ m e j l
ermita	ʔ e ɾ m i t a
ermitanyo	ʔ e ɾ m i t a n j o
erna	ʔ e ɾ n a
erning	ʔ e ɾ n i ŋ
erobika	ʔ e ɾ o b i k a
erobyo	ʔ e ɾ o b j o
erodinamika	ʔ e ɾ o d i n a m i k a
erodinamiko	ʔ e ɾ o d i n a m i k o
erodrom	ʔ e ɾ o d ɾ o m
erodromo	ʔ e ɾ o d ɾ o m o
erograma	ʔ e ɾ o ɡ ɾ a m a
eronauta	ʔ e ɾ o n a w t a
eronautika	ʔ e ɾ o n a w t i k a
eronawta	ʔ e ɾ o n a w t a
eronawtika	ʔ e ɾ o n a w t i k a
eronota	ʔ e ɾ o n o t a
eronotika	ʔ e ɾ o n o t i k a
eroplano	ʔ e ɾ o p l a n o
eropobya	ʔ e ɾ o p o b j a
eropuwerto	ʔ e ɾ o p u e ɾ t o
eropwerto	ʔ e ɾ o p w e ɾ t o
erosol	ʔ e ɾ o s o l
erostatika	ʔ e ɾ o s t a t i k a
erostatiko	ʔ e ɾ o s t a t i k o
erotekniya	ʔ e ɾ o t e k n i a
eroteknya	ʔ e ɾ o t e k n j a
erpat	ʔ e ɾ p a t
erpats	ʔ e ɾ p a t s
ersegobina	ʔ e ɾ s e ɡ o b i n a
erunauta	ʔ e ɾ u n a w t a
erunautika	ʔ e ɾ u n a w t i k a
erunawta	ʔ e ɾ u n a w t a
erunawtika	ʔ e ɾ u n a w t i k a
eruplano	ʔ e ɾ u p l a n o
erupsiyon	ʔ e ɾ u p s i o n
erupsyon	ʔ e ɾ u p s j o n
erusol	ʔ e ɾ u s o l
eryal	ʔ e ɾ j a l
es	ʔ e s
escalante	ʔ e s k a l a n t e
escalona	ʔ e s k a l o n a
escamillas	ʔ e s k a m i l j a s
escaño	ʔ e s k a n j o
escobido	ʔ e s k o b i d o
escovido	ʔ e s k o b i d o
escuadro	ʔ e s k u a d ɾ o
escueta	ʔ e s k u e t a
ese	ʔ e s e
eselyu	ʔ e s e l j u
esena	ʔ e s e n a
esenaryo	ʔ e s e n a ɾ j o
esensiya	ʔ e s e n s i a
esensiyal	ʔ e s e n s i a l
esensya	ʔ e s e n s j a
eseptiko	ʔ e s e p t i k o
eseptisismo	ʔ e s e p t i s i s m o
esgrima	ʔ e s ɡ ɾ i m a
esguerra	ʔ e s ɡ e ɾ a
eskabetse	ʔ e s k a b e t s e
eskala	ʔ e s k a l a
eskalador	ʔ e s k a l a d o ɾ
eskalera	ʔ e s k a l e ɾ a
eskaleytor	ʔ e s k a l e j t o ɾ
eskandalo	ʔ e s k a n d a l o
eskandalosa	ʔ e s k a n d a l o s a
eskandaloso	ʔ e s k a n d a l o s o
eskaparate	ʔ e s k a p a ɾ a t e
eskapularyo	ʔ e s k a p u l a ɾ j o
eskarlata	ʔ e s k a ɾ l a t a
eskaut	ʔ e s k a w t
eskeptisismo	ʔ e s k e p t i s i s m o
eskina	ʔ e s k i n a
eskinita	ʔ e s k i n i t a
eskoba	ʔ e s k o b a
eskolar	ʔ e s k o l a ɾ
eskolta	ʔ e s k o l t a
eskomunikasyon	ʔ e s k o m u n i k a s j o n
eskopeta	ʔ e s k o p e t a
eskorpiyo	ʔ e s k o ɾ p i o
eskorsonera	ʔ e s k o ɾ s o n e ɾ a
eskosya	ʔ e s k o s j a
eskotada	ʔ e s k o t a d a
eskotado	ʔ e s k o t a d o
eskriba	ʔ e s k ɾ i b a
eskrima	ʔ e s k ɾ i m a
eskulptura	ʔ e s k u l p t u ɾ a
eskultor	ʔ e s k u l t o ɾ
eskultura	ʔ e s k u l t u ɾ a
eskuwala	ʔ e s k u a l a
eskuwela	ʔ e s k u e l a
eskuwelahan	ʔ e s k u e l a h a n
eskwela	ʔ e s k w e l a
eskwelahan	ʔ e s k w e l a h a n
eslobakya	ʔ e s l o b a k j a
eslobenya	ʔ e s l o b e n j a
esmalte	ʔ e s m a l t e
esmeralda	ʔ e s m e ɾ a l d a
esmeril	ʔ e s m e ɾ i l
esopago	ʔ e s o p a ɡ o
espabiladera	ʔ e s p a b i l a d e ɾ a
espada	ʔ e s p a d a
espadahan	ʔ e s p a d a h a n
espantaho	ʔ e s p a n t a h o
espanya	ʔ e s p a n j a
espanyol	ʔ e s p a n j o l
espanyola	ʔ e s p a n j o l a
esparago	ʔ e s p a ɾ a ɡ o
espasol	ʔ e s p a s o l
espasyo	ʔ e s p a s j o
españa	ʔ e s p a n j a
espeleta	ʔ e s p e l e t a
espeling	ʔ e s p e l i ŋ
esperansa	ʔ e s p e ɾ a n s a
esperantista	ʔ e s p e ɾ a n t i s t a
esperanto	ʔ e s p e ɾ a n t o
esperanza	ʔ e s p e ɾ a n s a
esperma	ʔ e s p e ɾ m a
espesimen	ʔ e s p e s i m e n
espesipiko	ʔ e s p e s i p i k o
espesya	ʔ e s p e s j a
espesyal	ʔ e s p e s j a l
espesyalista	ʔ e s p e s j a l i s t a
espesyas	ʔ e s p e s j a s
espesye	ʔ e s p e s j e
espiker	ʔ e s p i k e ɾ
espina	ʔ e s p i n a
espinaka	ʔ e s p i n a k a
espinghe	ʔ e s p i ŋ h e
espino	ʔ e s p i n o
espinosa	ʔ e s p i n o s a
espinoza	ʔ e s p i n o s a
espiritu	ʔ e s p i ɾ i t u
espiritwalidad	ʔ e s p i ɾ i t w a l i d a d
espiya	ʔ e s p i a
esplikasyon	ʔ e s p l i k a s j o n
espongha	ʔ e s p o ŋ h a
espontaneo	ʔ e s p o n t a n e o
espontanyo	ʔ e s p o n t a n j o
esposa	ʔ e s p o s a
esposo	ʔ e s p o s o
esquivel	ʔ e s k i b e l
estabillo	ʔ e s t a b i l j o
establisimiyento	ʔ e s t a b l i s i m i e n t o
establisimyento	ʔ e s t a b l i s i m j e n t o
estadistika	ʔ e s t a d i s t i k a
estadistiko	ʔ e s t a d i s t i k o
estado	ʔ e s t a d o
estadyo	ʔ e s t a d j o
estalapata	ʔ e s t a l a p a t a
estampa	ʔ e s t a m p a
estampita	ʔ e s t a m p i t a
estandarte	ʔ e s t a n d a ɾ t e
estante	ʔ e s t a n t e
estapa	ʔ e s t a p a
estapador	ʔ e s t a p a d o ɾ
estasyon	ʔ e s t a s j o n
estatistika	ʔ e s t a t i s t i k a
estatwa	ʔ e s t a t w a
este	ʔ e s t e
estebol	ʔ e s t e b o l
estereo	ʔ e s t e ɾ e o
estereotipo	ʔ e s t e ɾ e o t i p o
estero	ʔ e s t e ɾ o
estetoskopyo	ʔ e s t e t o s k o p j o
estigoy	ʔ e s t i ɡ o j
estik	ʔ e s t i k
estilo	ʔ e s t i l o
estima	ʔ e s t i m a
estirera	ʔ e s t i ɾ e ɾ a
estirero	ʔ e s t i ɾ e ɾ o
estoisismo	ʔ e s t o i s i s m o
estokada	ʔ e s t o k a d a
estokado	ʔ e s t o k a d o
estola	ʔ e s t o l a
estonya	ʔ e s t o n j a
estorbo	s t o ɾ b o
estrabagansa	ʔ e s t ɾ a b a ɡ a n s a
estrabagansiya	ʔ e s t ɾ a b a ɡ a n s i a
estrabagansya	ʔ e s t ɾ a b a ɡ a n s j a
estrada	ʔ e s t ɾ a d a
estranghero	ʔ e s t ɾ a ŋ h e ɾ o
estrasa	ʔ e s t ɾ a s a
estratehiko	ʔ e s t ɾ a t e h i k o
estratehiya	ʔ e s t ɾ a t e h i a
estrella	ʔ e s t ɾ e l j a
estrelya	ʔ e s t ɾ e l j a
estrelyado	ʔ e s t ɾ e l j a d o
estremelenggoles	ʔ e s t ɾ e m e l e ŋ ɡ o l e s
estretser	ʔ e s t ɾ e t s e ɾ
estrikto	ʔ e s t ɾ i k t o
estronsiyo	ʔ e s t ɾ o n s i o
estruktura	ʔ e s t ɾ u k t u ɾ a
estudyante	s t u d j a n t e
estutse	ʔ e s t u t s e
etereo	ʔ e t e ɾ e o
ethel	ʔ e t e l
etika	ʔ e t i k a
etiketa	ʔ e t i k e t a
etimologo	ʔ e t i m o l o ɡ o
etimolohiya	ʔ e t i m o l o h i a
etits	ʔ e t i t s
etivac	ʔ e t i b a k
etiyopiya	ʔ e t i o p i a
etneb	ʔ e t n e b
etniko	ʔ e t n i k o
etnisidad	ʔ e t n i s i d a d
eto	ʔ e t o
ets	ʔ e t s
