'n	m
großbuchstabe	ɡ ʁ oː s b uː x ʃ t aː b ə
großbürgertum	ɡ ʁ oː s b ʏ ʁ ɡ ɐ t uː m
großdruck	ɡ r oː s d r ʊ k
großen	ɡ ʁ oː s n̩
großer	ɡ ʁ oː s ɐ
großereignis	ɡ ʁ oː s ʔ ɛ ɐ̯ ʔ a ɪ̯ ɡ n ɪ s
großfamilie	ɡ ʁ oː s f a m iː l i̯ ə
großhandel	ɡ r oː s h a n d l̩
großherzigkeit	ɡ ʁ oː s h ɛ ʁ t͡s ɪ ç k a ɪ̯ t
großherzog	ɡ ʁ oː s h ɛ ʁ t͡s oː k
großherzogtum	ɡ ʁ oː s h ɛ ʁ t͡s oː k t uː m
großherzogtumes	ɡ ʁ oː s h ɛ ʁ t͡s oː k t uː m ə s
großherzogtums	ɡ ʁ oː s h ɛ ʁ t͡s oː k t uː m s
großherzogtümer	ɡ ʁ oː s h ɛ ʁ t͡s oː k t yː m ɐ
großhirn	ɡ r oː s h ɪ ʁ n
großhirnrinde	ɡ ʁ oː s h ɪ ʁ n ʁ ɪ n d ə
großhändlerinnen	ɡ ʁ oː s h ɛ n d l ə ʁ ɪ n ə n
großkatze	ɡ ʁ oː s k a t͡s ə
großmacht	ɡ ʁ oː s m a x t
großmaul	ɡ ʁ oː s m a ʊ̯ l
großmeister	ɡ ʁ oː s m a ɪ̯ s t ɐ
großmut	ɡ ʁ oː s m uː t
großmutter	ɡ ʁ oː s m ʊ t ɐ
großmütigkeit	ɡ r oː s m yː t ɪ ç k a ɪ̯ t
großonkel	ɡ r oː s ʔ ɔ ŋ k l̩
großpudel	ɡ ʁ oː s p uː d l̩
großpudels	ɡ ʁ oː s p uː d l̩ s
großraum	ɡ ʁ oː s ʁ a ʊ̯ m
großraumbüro	ɡ ʁ oː s ʁ a ʊ̯ m b y ʁ oː
großrechner	ɡ ʁ oː s ʁ ɛ ç n ɐ
großröhrsdorf	ɡ ʁ oː s ʁ øː ʁ s d ɔ ʁ f
großschreiben	ɡ ʁ oː s ʃ ʁ a ɪ̯ b ə n
großstadt	ɡ ʁ oː s ʃ t a t
großstädter	ɡ ʁ oː s ʃ t ɛ t ɐ
großtanten	ɡ ʁ oː s t a n t n̩
großvater	ɡ ʁ oː s f a t ɐ
großwesir	ɡ ʁ oː s v e z iː ɐ̯
großwild	ɡ ʁ oː s v ɪ l t
grube	ɡ ʁ uː b ə
grubenhaus	ɡ ʁ uː b n̩ h a ʊ̯ s
grubenlampe	ɡ ʁ uː b n̩ l a m p ə
grubenotter	ɡ ʁ uː b n̩ ʔ ɔ t ɐ
gruft	ɡ ʁ ʊ f t
grufti	ɡ ʁ ʊ f t i
grumbeere	ɡ ʁ ʊ m b eː ʁ ə
grumbeeren	ɡ ʁ ʊ m b eː ʁ ə n
grummet	ɡ ʁ ʊ m ə t
grund	ɡ ʁ ʊ n t
grundabsicht	ɡ ʁ ʊ n t a p z ɪ ç t
grundausstattung	ɡ ʁ ʊ n t ʔ a ʊ̯ s ʃ t a t ʊ ŋ
grundbedeutung	ɡ ʁ ʊ n t b ə d ɔ ɪ̯ t ʊ ŋ
grundbegriff	ɡ ʁ ʊ n t b ə ɡ ʁ ɪ f
grundbegriffe	ɡ ʁ ʊ n t b ə ɡ ʁ ɪ f ə
grundbirne	ɡ ʁ ʊ n t b ɪ ʁ n ə
grundbuch	ɡ ʁ ʊ n t b uː x
grundbuches	ɡ ʁ ʊ n t b uː x ə s
grundbuchs	ɡ ʁ ʊ n t b uː x s
grundbücher	ɡ ʁ ʊ n t b yː ç ɐ
grundel	ɡ r ʊ n d ə l
grundfeste	ɡ ʁ ʊ n t f ɛ s t ə
grundform	ɡ ʁ ʊ n t f ɔ ʁ m
grundgebirge	ɡ ʁ ʊ n t ɡ ə b ɪ ʁ ɡ ə
grundgehalt	ɡ ʁ ʊ n t ɡ ə h a l t
grundgesetz	ɡ ʁ ʊ n t ɡ ə z ɛ t s
grundherrschaft	ɡ ʁ ʊ n t h ɛ ʁ ʃ a f t
grundlage	ɡ ʁ ʊ n t l aː ɡ ə
grundlagenforschung	ɡ ʁ ʊ n t l aː ɡ n̩ f ɔ ʁ ʃ ʊ ŋ
grundlast	ɡ ʁ ʊ n t l a s t
grundlasten	ɡ ʁ ʊ n t l a s t n̩
grundmine	ɡ ʁ ʊ n t m iː n ə
grundminen	ɡ ʁ ʊ n t m iː n ə n
grundrecht	ɡ ʁ ʊ n t ʁ ɛ ç t
grundriss	ɡ ʁ ʊ n t ʁ ɪ s
grundrisse	ɡ ʁ ʊ n t ʁ ɪ s ə
grundsatz	ɡ ʁ ʊ n t z a t͡s
grundschule	ɡ ʁ ʊ n t ʃ uː l ə
grundschüler	ɡ ʁ ʊ n t ʃ yː l ɐ
grundsicherung	ɡ ʁ ʊ n t z ɪ ç ə ʁ ʊ ŋ
grundstein	ɡ ʁ ʊ n t ʃ t a ɪ̯ n
grundsteuer	ɡ ʁ ʊ n t ʃ t ɔ ʏ ɐ
grundsteuerwert	ɡ ʁ ʊ n t ʃ t ɔ ʏ ɐ v eː ɐ̯ t
grundsteuerwerte	ɡ ʁ ʊ n t ʃ t ɔ ʏ ɐ v eː ɐ̯ t ə
grundsteuerwertes	ɡ ʁ ʊ n t ʃ t ɔ ʏ ɐ v eː ɐ̯ t ə s
grundsteuerwerts	ɡ ʁ ʊ n t ʃ t ɔ ʏ ɐ v eː ɐ̯ t͡s
grundstück	ɡ ʁ ʊ n t ʃ t ʏ k
grundwasser	ɡ ʁ ʊ n t v a s ɐ
grundwort	ɡ ʁ ʊ n t v ɔ ʁ t
grundwortschatz	ɡ ʁ ʊ n t v ɔ ʁ t ʃ a t͡s
grundzahl	ɡ r ʊ n t t͡s aː l
grunge	ɡ ʁ a n t͡ʃ
gruppe	ɡ ʁ ʊ p ə
gruppenphase	ɡ ʁ ʊ p n̩ f aː z ə
gruppentheorie	ɡ ʁ ʊ p ə n t e o ʁ iː
grut	ɡ ʁ uː t
gruß	ɡ ʁ uː s
grußformel	ɡ ʁ uː s f ɔ ʁ m ə l
gräber	ɡ ʁ eː b ɐ
gräfenberg	ɡ ʁ ɛː f n̩ b ɛ ʁ k
gräser	ɡ ʁ eː z ɐ
gräte	ɡ ʁ eː t ə
grätsche	ɡ ʁ eː t ʃ ə
gräuel	ɡ ʁ ɔ ʏ̯ ə l
gräzist	ɡ ʁ ɛ t͡s ɪ s t
gräzistik	ɡ ʁ ɛ t͡s ɪ s t ɪ k
gräzistin	ɡ ʁ ɛ t͡s ɪ s t ɪ n
gräzität	ɡ ʁ eː t͡s i t eː t
grölen	ɡ ʁ øː l ə n
gröler	ɡ ʁ øː l ɐ
grönland	ɡ ʁ øː n l a n t
grönländer	ɡ ʁ øː n l ɛ n d ɐ
grönländerin	ɡ ʁ øː n l ɛ n d ɐ ʁ ɪ n
grösse	ɡ ʁ øː s ə
grössen	ɡ ʁ øː s n̩
grössenwahn	ɡ ʁ øː s n̩ v aː n
größe	ɡ ʁ øː s ə
größen	ɡ ʁ øː s n̩
größenordnung	ɡ ʁ øː s n̩ ʔ ɔ ʁ d n ʊ ŋ
größenwahn	ɡ ʁ øː s n̩ v aː n
größenwahnsinnige	ɡ ʁ øː s n̩ v aː n z ɪ n ɪ ɡ ə
grübchen	ɡ r yː p ç ə n
grünanlage	ɡ ʁ yː n a n l aː ɡ ə
grünbuch	ɡ ʁ yː n b uː x
grünbuche	ɡ ʁ yː n b uː x ə
grünbuches	ɡ ʁ yː n b uː x ə s
grünbuchs	ɡ ʁ yː n b uː x s
grünbücher	ɡ ʁ yː n b yː ç ɐ
grünbüchern	ɡ ʁ yː n b yː ç ɐ n
gründe	ɡ ʁ ʏ n d ə
gründelente	ɡ ʁ ʏ n d l̩ ʔ ɛ n t ə
gründer	ɡ ʁ ʏ n d ɐ
gründers	ɡ ʁ ʏ n d ɐ s
gründlichkeit	ɡ r ʏ n t l ɪ ç k a ɪ̯ t
gründonnerstag	ɡ ʁ yː n d ɔ n ɐ s t aː k
gründung	ɡ ʁ yː n d ʊ ŋ
gründungen	ɡ ʁ ʏ n d ʊ ŋ ə n
gründungsfinanzierung	ɡ ʁ ʏ n d ʊ ŋ s f i n a n t͡s iː ʁ ʊ ŋ
gründungsgesellschafter	ɡ ʁ ʏ n d ʊ ŋ s ɡ ə z ɛ l ʃ a f t ɐ
gründungsstatut	ɡ r y n d ʊ ŋ s ʃ t a t uː t
gründungsurkunde	ɡ ʁ ʏ n d ʊ ŋ s ʔ uː ɐ̯ k ʊ n d ə
gründünger	ɡ ʁ yː n d ʏ ŋ ə ʁ
gründüngung	ɡ ʁ yː n d ʏ ŋ ʊ ŋ
grünelb	ɡ ʁ yː n ɛ l p
grünelben	ɡ ʁ yː n ɛ l b ə n
grünenberg	ɡ ʁ yː n ə n b ɛ ʁ k
grünes	ɡ ʁ yː n ə s
grünfläche	ɡ ʁ yː n f l ɛ ç ə
grünflächen	ɡ ʁ yː n f l ɛ ç ə n
grünfutter	ɡ ʁ yː n f ʊ t ɐ
grünfutterversorgung	ɡ ʁ yː n f ʊ t ɐ f ɛ ɐ̯ z ɔ ʁ ɡ ʊ ŋ
grünin	ɡ ʁ yː n ɪ n
grünkern	ɡ ʁ yː n k ɛ ʁ n
grünkohl	ɡ ʁ yː n k oː l
grünkrauts	ɡ ʁ yː n k ʁ a ʊ̯ t͡s
grünphase	ɡ ʁ y n f aː s ɛ
grünschenkel	ɡ ʁ yː n ʃ ɛ ŋ k l̩
grünschnabel	ɡ ʁ yː n ʃ n aː b l̩
grünsfeld	ɡ ʁ yː n s f ɛ l t
grünspan	ɡ ʁ yː n ʃ p aː n
grünspans	ɡ ʁ yː n ʃ p aː n s
grünzeug	ɡ ʁ yː n t͡s ɔ ɪ̯ k
grütze	ɡ r ʏ t͡s ə
grüßaugust	ɡ r yː s a ʊ̯ ɡ ʊ s t
grüße	ɡ ʁ yː s ə
gschaftlhuber	k ʃ a f t l̩ h uː b ɐ
gspusi	k ʃ p uː s i
gstaad	k ʃ t aː t
guatemalteke	ɡ u̯ a t e m a l t eː k ə
gubernien	ɡ uː b ɛ r n i̯ ə n
gubernium	ɡ uː b ɛ r n i̯ ʊ m
guberniums	ɡ uː b ɛ r n i̯ ʊ m s
gucke	ɡ ʊ k ə
guckloche	ɡ ʊ k l ɔ x ə
gucklöchern	ɡ ʊ k l œ ç ɐ n
gudernatsch	k uː d ɐ n a t͡ʃ
gudrun	ɡ uː d ʁ uː n
gudscharati	ɡ u d ʒ a ʁ aː t iː
guerilla	ɡ e ʁ ɪ l j a
gugelhupf	ɡ uː ɡ l̩ h ʊ p͡f
guillotine	ɡ i j o t iː n ə
guinea	ɡ i n eː a
gulag	ɡ uː l a k
gulasch	ɡ uː l a ʃ
gulaschkanone	ɡ uː l a ʃ k a n oː n ə
gulden	ɡ ʊ l d ə n
gully	ɡ ʊ l i
gullydeckel	ɡ ʊ l i d ɛ k l̩
gummersbach	ɡ ʊ m ɐ s b a x
gummi	ɡ ʊ m i
gummibaum	ɡ ʊ m i b a ʊ̯ m
gummibär	ɡ ʊ m i b ɛː ɐ̯
gummibärchen	ɡ ʊ m i b ɛː ɐ̯ ç ə n
gummidichtung	ɡ ʊ m i d ɪ ç t ʊ ŋ
gummierung	ɡ ʊ m iː ʁ ʊ ŋ
gummihüpfen	ɡ̊ ʊ m i h ʏ p f n̩
gummiknittel	ɡ ʊ m i k n ɪ t l̩
gummiknüttel	ɡ ʊ m i k n ʏ t l̩
gummireifen	ɡ ʊ m i ʁ a ɪ̯ f n̩
gummireifens	ɡ ʊ m i ʁ a ɪ̯ f n̩ s
gummitwist	ɡ ʊ m i t v ɪ s t
gummiwurst	ɡ ʊ m i v ʊ ɐ̯ s t
gunst	ɡ ʊ n s t
gunther	ɡ ʊ n t ɐ
gupf	ɡ ʊ p f
gur	ɡ uː r
gurgel	ɡ ʊ r ɡ ə l
gurke	ɡ ʊ r k ə
gurkenbeet	ɡ ʊ ʁ k ə n b eː t
gurkenfass	ɡ ʊ ʁ k ə n f a s
gurkenglas	ɡ ʊ ʁ k ə n ɡ l aː s
gurkenkraut	ɡ ʊ ʁ k ə n k ʁ a ʊ̯ t
gurkensalat	ɡ ʊ ʁ k ə n z a l aː t
gurkerl	ɡ̥ ʊ ɐ̯ k ɐ l
gurt	ɡ ʊ ʁ t
guss	ɡ ʊ s
gusseisen	ɡ ʊ s ʔ a ɪ̯ z n̩
gustav	ɡ ʊ s t a f
gusto	ɡ ʊ s t o
gut	ɡ uː t
gutdünken	ɡ uː t d ʏ ŋ k n̩
gutem	ɡ uː t ə m
gutenachtkuss	ɡ uː t ə n a x t k ʊ s
guter	ɡ uː t ɐ
gutes	ɡ uː t ə s
guthabenzins	ɡ uː t h aː b n̩ t͡s ɪ n s
guthknecht	ɡ uː t k n ɛ ç t
gutknecht	ɡ uː t k n ɛ ç t
gutmensch	ɡ uː t m ɛ n ʃ
guts	ɡ uː t s
gutsch	ɡ ʊ t͡ʃ
gutschein	ɡ uː t ʃ a ɪ̯ n
gutschreiben	ɡ uː t ʃ ʁ a ɪ̯ b n̩
gutsherr	ɡ uː t͡s h ɛ ʁ
gutsverwalter	ɡ uː t s f ɛ ʁ v a l t ɐ
guyana	ɡ u j aː n a
guyaner	ɡ u j aː n ɐ
guyanerin	ɡ u j aː n ə ʁ ɪ n
gwirks	ɡ v ɪ ɐ̯ k s
gymi	ɡ ʏ m i
gymnasiast	ɡ ʏ m n a z i̯ a s t
gymnasium	ɡ ʏ m n aː z i ʊ m
gymnast	ɡ ʏ m n a s t
gymnastik	ɡ ʏ m n a s t ɪ k
gymnastin	ɡ ʏ m n a s t ɪ n
gynäkologe	ɡ y n e k o l oː ɡ ə
gynäkologin	ɡ y n e k o l oː ɡ ɪ n
gyros	ɡ yː ʁ ɔ s
gyroskop	ɡ y ʁ o s k oː p
gämse	ɡ ɛ m z ə
gänger	ɡ ɛ ŋ ɐ
gänschen	ɡ ɛ n s ç ə n
gänseblümchen	ɡ ɛ n z ə b l yː m ç n̩
gänsebraten	ɡ ɛ n z ə b ʁ aː t n̩
gänsebrust	ɡ ɛ n z ə b ʁ ʊ s t
gänsefuß	ɡ ɛ n z ə f uː s
gänsehaut	ɡ ɛ n z ə h a ʊ̯ t
gänsekeule	ɡ ɛ n z ə k ɔ ɪ̯ l ə
gänsekeulen	ɡ ɛ n z ə k ɔ ɪ̯ l ə n
gänseküken	ɡ ɛ n z ə k yː k n̩
gänsekükens	ɡ ɛ n z ə k yː k n̩ s
gänseleber	ɡ ɛ n z ə l eː b ɐ
gänseleberpastete	ɡ ɛ n z ə l eː b ɐ p a s t eː t ə
gänseleberwurst	ɡ ɛ n z ə l eː b ɐ v ʊ ʁ s t
gänsemasten	ɡ ɛ n z ə m a s t ə n
gänserich	ɡ ɛ n z ə ʁ ɪ ç
gänsewein	ɡ ɛ n z ə v a ɪ̯ n
gänslein	ɡ ɛ n s l a ɪ̯ n
gänze	ɡ ɛ n t͡s ə
gärtner	ɡ ɛ ʁ t n ɐ
gärtnerei	ɡ ɛ r t n ə r a ɪ̯
gärtnerin	ɡ ɛ ʁ t n ə ʁ ɪ n
gässchen	ɡ ɛ s ç ə n
gässchens	ɡ ɛ s ç ə n s
gäste	ɡ ɛ s t ə
gästehaus	ɡ ɛ s t ə h a ʊ̯ s
gästehauses	ɡ ɛ s t ə h a ʊ̯ z ə s
gästehäuser	ɡ ɛ s t ə h ɔ ɪ̯ z ɐ
gästerei	ɡ ɛ s t ə r a ɪ̯
gästin	ɡ ɛ s t ɪ n
gäulen	ɡ ɔ ʏ̯ l ə n
gödel	ɡ øː d ə l
göffel	ɡ œ f l̩
gönner	ɡ œ n ɐ
gönnjamin	ɡ œ n j a m iː n
gönnung	ɡ œ n ʊ ŋ
göpel	ɡ øː p l̩
göppingen	ɡ œ p ɪ ŋ ə n
göppingens	ɡ œ p ɪ ŋ ə n s
göre	ɡ øː ʁ ə
göring	ɡ øː ʁ ɪ ŋ
görlitz	ɡ œ ʁ l ɪ t s
görlitz'	ɡ œ ʁ l ɪ t͡s
gösch	ɡ œ ʃ
göteborg	ɡ øː t ə b ɔ r k
götsch	ɡ œ t͡ʃ
götschel	ɡ œ t͡ʃ ə l
götschl	ɡ œ t͡ʃ l̩
götter	ɡ œ t ɐ
götterdämmerung	ɡ œ t ə r d ɛ m ə r ʊ ŋ
göttergatte	ɡ œ t ɐ ɡ a t ə
götterlied	ɡ œ t ɐ l iː t
götterspeise	ɡ œ t ɐ ʃ p a ɪ̯ z ə
göttin	ɡ œ t ɪ n
göttingen	ɡ œ t ɪ ŋ ə n
göttsch	ɡ œ t͡ʃ
götze	ɡ œ t s ə
götzen	ɡ œ t s n̩
götzendiener	ɡ œ t͡s n̩ d iː n ɐ
götzendämmerung	ɡ œ t s ə n d ɛ m ə ʁ ʊ ŋ
güglingen	ɡ yː ɡ l ɪ ŋ ə n
gülle	ɡ ʏ l ə
gült	ɡ ʏ l t
gülte	ɡ ʏ l t ə
gülten	ɡ yː l t ə
günstling	ɡ ʏ n s t l ɪ ŋ
günstlingswirtschaft	ɡ ʏ n s t l ɪ ŋ s v ɪ ʁ t ʃ a f t
günter	ɡ ʏ n t ɐ
günther	ɡ ʏ n t ɐ
günzburg	ɡ ʏ n t͡s b ʊ ʁ k
gürkchen	ɡ ʏ ʁ k ç ə n
gürklein	ɡ ʏ ʁ k l a ɪ̯ n
gürtel	ɡ ʏ ʁ t ə l
gürtelrose	ɡ ʏ ʁ t l̩ ʁ oː z ə
gürtelschlaufe	ɡ ʏ ʁ t ə l ʃ l a ʊ̯ f ə
gürteltier	ɡ ʏ ʁ t l̩ t iː ɐ̯
güte	ɡ yː t ə
güter	ɡ yː t ɐ
gütergemeinschaft	ɡ yː t ɐ ɡ ə m a ɪ̯ n ʃ a f t
gütersloh	ɡ yː t ɐ s l oː
gütigkeit	ɡ yː t ɪ ç k a ɪ̯ t
h	h
hdf	h a d e ʔ ɛ f
hdgdl	h a d e ɡ e d e ʔ ɛ l
hj	h a j ɔ t
haar	h aː r
haarbalgmilbe	h aː ɐ̯ b a l k m ɪ l b ə
haarbürste	h aː ɐ̯ b ʏ ʁ s t ə
haare	h aː ʁ ə
haaren	h aː r ə n
haares	h aː ʁ ə s
haaresbreite	h aː ʁ ə s b ʁ a ɪ̯ t ə
haaresbreiten	h aː ʁ ə s b ʁ a ɪ̯ t n̩
haarfarbe	h aː r f a r b ə
haargurke	h aː ɐ̯ ɡ ʊ ʁ k ə
haarnadel	h aː ɐ̯ n aː d l̩
haarnadelkurve	h aː ɐ̯ n aː d ə l k ʊ ʁ v ə
haarnetz	h aː ɐ̯ n ɛ t͡s
haars	h aː ɐ̯ s
haarschnitt	h aː ɐ̯ ʃ n ɪ t
haartrockner	h aː r t r ɔ k n ə r
haarverlust	h aː l ʊ s t
haarwasser	h aː ɐ̯ v a s ɐ
haas	h aː s
habasch	h a b a ʃ
habe	h aː b ə
haben	h aː b ə n
habenichts	h aː b ə n ɪ ç t͡s
habenzins	h aː b n̩ t͡s ɪ n s
haber	h aː b ɐ
habermas	h aː b ɐ m aː s
habesch	h a b ə ʃ
habgier	h aː p ɡ iː ɐ̯
habicht	h aː b ɪ ç t
habilitation	h a b i l i t a t͡s i̯ oː n
habit	h a b iː t
habitat	h a b i t aː t
habitus	h aː b i t ʊ s
habsucht	h aː p z ʊ x t
habub	h a b uː b
hacienda	a s j ɛ n d a
hack	h a k
hackbeil	h a k b a ɪ̯ l
hackbraten	h a k b ʁ aː t ə n
hackbrett	h a k b ʁ ɛ t
hacke	h a k ə
hackepeter	h a k ə p eː t ɐ
hacker	h a k ɐ
hackerin	h a k ə r ɪ n
hackerinnen	h a k ə r ɪ n e n
hackfleisch	h a k f l a ɪ̯ ʃ
hackfleischverordnung	h a k f l a ɪ̯ ʃ f ɛ ʁ ɔ ʁ t n ʊ ŋ
hackler	h a k l ɐ
hackordnung	h a k ɔ ʁ d n ʊ ŋ
hadaikum	h a d aː i k ʊ m
hadamar	h aː d a m a ʁ
hadith	h a d iː s
hadsch	h a d͡ʒ
haeckse	h ɛ k s ə
hafen	h aː f n̩
hafens	h aː f ə n s
hafenstadt	h aː f n̩ ʃ t a t
hafer	h aː f ɐ
haferbrei	h aː f ɐ b ʁ a ɪ̯
haferfeld	h aː f ɐ f ɛ l t
haferflocke	h aː f ɐ f l ɔ k ə
hafergrütze	h aː f ɐ ɡ ʁ ʏ t s ə
hafergrützen	h aː f ɐ ɡ ʁ ʏ t s ə n
haferkeks	h aː f ɐ k eː k s
haferkorn	h aː f ɐ k ɔ ʁ n
haferl	h aː f ɐ l
hafermehl	h aː f ɐ m eː l
hafermilch	h aː f ɐ m ɪ l ç
haferpflaume	h aː f ə r p͡f l a ʊ̯ m ə
haferplätzchen	h aː f ɐ p l ɛ t͡s ç ə n
haferplätzchens	h aː f ɐ p l ɛ t͡s ç ə n s
haff	h a f
haft	h a f t
haftbefehl	h a f t b ə f eː l
haftbefehle	h a f t b ə f eː l ə
haftentschädigung	h a f t ʔ ɛ n t ʃ ɛː d ɪ ɡ ʊ ŋ
haftpflicht	h a f t p f l ɪ ç t
haftpflichtversicherung	h a f t p f l ɪ ç t f ɛ ɐ̯ z ɪ ç ə ʁ ʊ ŋ
haftung	h a f t ʊ ŋ
haftungsausschlüssen	h a f t ʊ ŋ s ʔ a ʊ̯ s ʃ l ʏ s n̩
haftungsnehmer	h a f t ʊ ŋ s n eː m ɐ
hag	h aː k
hagebutte	h aː ɡ ə b ʊ t ə
hagedorn	h aː ɡ ə d ɔ ʁ n
hagel	h aː ɡ l̩
hagelkorn	h aː ɡ l̩ k ɔ ʁ n
hagelschauer	h aː ɡ l̩ ʃ a ʊ̯ ɐ
hagelschlag	h aː ɡ ə l ʃ l aː k
hagelslag	h aː x ə l s l a x
hagelwetter	h aː ɡ l̩ v ɛ t ɐ
hagen	h aː ɡ ə n
hagestolz	h aː ɡ ə ʃ t ɔ l t͡s
hagiografie	h a ɡ i̯ o ɡ ʁ a f iː
hahn	h aː n
hahnen	h aː n ə n
hahnenfuß	h aː n ə n f uː s
hahnenfußgewächs	h aː n ə n f uː s ɡ ə v ɛ k s
hahnenfußgewächse	h aː n ə n f uː s ɡ ə v ɛ k s ə
hahnenfußgewächses	h aː n ə n f uː s ɡ ə v ɛ k s ə s
hahnenkampf	h aː n ə n k a m p͡f
hahnenschrei	h ɑː n ə n ʃ ʁ a ɪ̯
hahnrei	h aː n ʁ a ɪ̯
hai	h a ɪ̯
haidlmayr	h a ɪ̯ d l̩ m a ɪ̯ ɐ
haie	h a ɪ̯ ə
haies	h a ɪ̯ ə s
haigerloch	h a ɪ̯ ɡ ɐ l ɔ x
haiku	h a ɪ̯ k u
hain	h a ɪ̯ n
haiphong	h a ɪ̯ f ɔ ŋ
hais	h a ɪ̯ s
haithabu	h a ɪ̯ t a b u
haiti	h a iː t i
haitianer	h a i t i̯ aː n ɐ
haitianerin	h a i t i̯ aː n ə ʁ ɪ n
hajo	h aː j o
haken	h aː k ŋ̩
hakenkreuz	h aː k n̩ k ʁ ɔ ɪ t s
hakerl	h aː k ɐ l
halbblut	h a l p b l uː t
halbdoppellaut	h a l p d ɔ p l̩ l a ʊ̯ t
halbdunkel	h a l p d ʊ ŋ k ə l
halbelb	h a l p ɛ l p
halbelben	h a l p ɛ l b ə n
halberstadt	h a l b ɐ ʃ t a t
halbfinalist	h a l p f i n a l ɪ s t
halbfingerhandschuh	h a l p f ɪ ŋ ɐ h a n t ʃ uː
halbgott	h a l p ɡ ɔ t
halbhochpunkt	h a l p h oː x p ʊ ŋ k t
halbhochpunkte	h a l p h oː x p ʊ ŋ k t ə
halbhochpunktes	h a l p h oː x p ʊ ŋ k t ə s
halbhochpunkts	h a l p h oː x p ʊ ŋ k t s
halbierer	h a l b iː ʁ ɐ
halbinsel	h a l p ʔ ɪ n z l
halbinseln	h a l p ʔ ɪ n z l̩ n
halbjahr	h a l p j aː ɐ̯
halbjahre	h a l p j aː ʁ ə
halbjude	h a l p j uː d ə
halbkreis	h a l p k ʁ a ɪ̯ s
halbkugel	h a l p k uː ɡ l̩
halbpension	h a l p p a ŋ z i̯ oː n
halbsatz	h a l p z a t͡s
halbschuh	h a l p ʃ uː
halbstarker	h a l p ʃ t a ʁ k ɐ
halbvokal	h a l p v o k aː l
halbwelt	h a l p v ɛ l t
halbwissen	h a l p v ɪ s n̩
halbzeit	h a l p t s a ɪ̯ t
halbzeitpause	h a l p t͡s a ɪ̯ t p a ʊ̯ z ə
halbzeug	h a l p t͡s ɔ ɪ̯ k
halbzwetsche	h a l b t͡s v ɛ t͡ʃ ə
halde	h a l d ə
haldensleben	h a l d n̩ s l eː b n̩
halfter	h a l f t ə r
halit	h a l iː t
hall	h a l
halle	h a l ə
hallenbad	h a l ə n b a t
hallenhalma	h a l ə n h a l m a
hallenhaus	h a l ə n h a ʊ̯ s
hallenmeisterschaft	h a l n̩ m a ɪ̯ s t ɐ ʃ a f t
hallig	h a l ɪ k
halligalli	h a l i ɡ a l i
hallimasch	h a l i m a ʃ
hallo	h a l oː
hallodri	h a l oː d r i
halloween	h ɛ l o v iː n
halloweens	h ɛ l o v iː n s
hallstatt	h a l ʃ t a t
hallu	h a l u
halluzination	h a l u t͡s i n a t͡s i̯ oː n
halluzinogen	h a l u t s i n o ɡ eː n
halm	h a l m
halma	h a l m a
halogenkohlenwasserstoff	h a l o ɡ eː n k oː l ə n v a s ɐ ʃ t ɔ f
hals	h a l s
halsabschneider	h a l s ʔ a p ʃ n a ɪ̯ d ɐ
halsband	h a l s b a n t
halsbandschnäpper	h a l s b a n t ʃ n ɛ p ɐ
halsberge	h a l s b ɛ ʁ ɡ ə
halse	h a l z ə
halseisen	h a l s ʔ a ɪ̯ z n̩
halsentzündung	h a l s ʔ ɛ n t t͡s ʏ n d ʊ ŋ
halskette	h a l s k ɛ t ə
halskrause	h a l s k ʁ a u̯ z ə
halskrausen	h a l s k ʁ a u̯ z ə n
halsstarrigkeit	h a l s ʃ t a ʁ ɪ ç k a ɪ̯ t
halstuch	h a l s t uː x
halswirbel	h a l s v ɪ ʁ b l̩
halt	h a l t
haltbarkeit	h a l t b aː ɐ̯ k a ɪ̯ t
haltbarmilch	h a l t b ɐ m ɪ l ç
halten	h a l t ə n
haltestelle	h a l t ə ʃ t ɛ l ə
haltungen	h a l t ʊ ŋ ə n
halunke	h a l ʊ ŋ k ə
hamas	h a m a s
hamburg	h a m b ʊ ɐ̯ k
hamburger	h a m b ʊ ʁ ɡ ɐ
hameln	h aː m ə l n
hamm	h a m
hammel	h a m ə l
hammer	h a m ɐ
hammergruppe	h a m ɐ ɡ ʁ ʊ p ə
hampelmann	h a m p l̩ m a n
hamster	h a m s t ɐ
hamsterkauf	h a m s t ɐ k a ʊ̯ f
hanau	h aː n a ʊ̯
hand	h a n t
handarbeit	h a n d a ʁ b a ɪ̯ t
handball	h a n t b a l
handballen	h a n t b a l ə n
handballer	h a n t b a l ɐ
handballspieler	h a n t b a l ʃ p iː l ɐ
handballspielerin	h a n t b a l ʃ p iː l ə ʁ ɪ n
handbesen	h a n t b eː z n̩
handbewegung	h a n t b ə v eː ɡ ʊ ŋ
handbreit	h a n t b ʁ a ɪ̯ t
handbreite	h a n t b ʁ a ɪ̯ t ə
handel	h a n d l̩
handelsabkommen	h a n d ə l s a p k ɔ m ə n
handelsbarriere	h a n d l̩ s b a ʁ i̯ eː ʁ ə
handelsembargo	h a n d l̩ s ɛ m b a ʁ ɡ o
handelsflotte	h a n d l̩ s f l ɔ t ə
handelshemmnis	h a n d l̩ s h ɛ m n ɪ s
handelskammer	h a n d l̩ s k a m ɐ
handelsmarine	h a n d ə l s m a ʁ iː n ə
