'n	m
ferkelkrauts	f ɛ ʁ k l̩ ʁ a ʊ̯ t͡s
ferkelkräuter	f ɛ ʁ k l̩ k ʁ ɔ ɪ̯ t ɐ
ferkelkräutern	f ɛ ʁ k l̩ k ʁ ɔ ɪ̯ t ɐ n
fernbeziehung	f ɛ ʁ n b ə t͡s iː ʊ ŋ
ferngespräch	f ɛ ʁ n ɡ ə ʃ p ʁ ɛː ç
fernglas	f ɛ ʁ n ɡ l aː s
fernhalten	f ɛ ʁ n h a l t n̩
fernreise	f ɛ ʁ n ʁ a ɪ̯ z ə
fernrohr	f ɛ ʁ n ʁ oː ɐ̯
fernschauen	f ɛ ɐ̯ n ʃ a ʊ̯ n
fernschreiber	f ɛ ʁ n ʃ ʁ a ɪ̯ b ɐ
fernsehen	f ɛ ʁ n s eː n
fernseher	f ɛ ɐ̯ n s eː ɐ
fernsehgerät	f ɛ ʁ n z eː ɡ ə ʁ ɛː t
fernsehkamera	f ɛ ʁ n z eː k a m ə ʁ a
fernsehprogramm	f ɛ ʁ n z eː p ʁ o ɡ ʁ a m
fernsehraum	f ɛ ʁ n z eː ʁ a ʊ̯ m
fernsehraume	f ɛ ʁ n z eː ʁ a ʊ̯ m ə
fernsehraumes	f ɛ ʁ n z eː ʁ a ʊ̯ m ə s
fernsehraums	f ɛ ʁ n z eː ʁ a ʊ̯ m s
fernsehräume	f ɛ ʁ n z eː ʁ ɔ ɪ̯ m ə
fernsehräumen	f ɛ ʁ n z eː ʁ ɔ ɪ̯ m ə n
fernsehserie	f ɛ ʁ n z eː z eː ʁ i ə
fernsprechapparat	f ɛ ʁ n ʃ p ʁ ɛ ç ʔ a p a ʁ aː t
fernuniversität	f ɛ ʁ n ʔ u n i v ɛ ʁ z i t ɛː t
fernunterricht	f ɛ ʁ n ʊ n t ɐ ʁ ɪ ç t
fernwärme	f ɛ ʁ n v ɛ ʁ m ə
fertig	f ɛ d ɪ ç
fertigen	f ɛ ʁ t ɪ ɡ n̩
fertighaus	f ɛ ʁ t ɪ k h a ʊ̯ s
fertighause	f ɛ ʁ t ɪ ç h a ʊ̯ z ə
fertigmacher	f ɛ ʁ t ɪ ç m a x ɐ
fertigmachers	f ɛ ʁ t ɪ ç m a x ɐ s
fertil	f ɛ ʁ t iː l
fes	f eː s
feschak	f ɛ ʃ a k
fessel	f ɛ s l̩
festanstellung	f ɛ s t a n ʃ t ɛ l ʊ ŋ
festessen	f ɛ s t ʔ ɛ s n̩
festgehalt	f ɛ s t ɡ ə h a l t
festgeld	f ɛ s t ɡ ɛ l t
festklopfen	f ɛ s t k l ɔ p͡f n̩
festlegen	f ɛ s t l eː ɡ n̩
festlichkeit	f ɛ s t l ɪ ç k a ɪ̯ t
festnageln	f ɛ s t n aː ɡ ə l n
festnetz	f ɛ s t n ɛ t͡s
festnetze	f ɛ s t n ɛ t͡s ə
festnetztelefonen	f ɛ s t n ɛ t͡s t eː l ə f oː n ə n
festplattenlaufwerk	f ɛ s t p l a t n̩ l a ʊ̯ f v ɛ r k
festsaugen	f ɛ s t z a ʊ̯ ɡ n̩
festschmaus	f ɛ s t ʃ m a ʊ̯ s
feststecken	f ɛ s t ʃ t ɛ k n̩
feststoff	f ɛ s t ʃ t ɔ f
festtag	f ɛ s t t aː k
festungshaft	f ɛ s t ʊ ŋ s h a f t
feta	f eː t a
fete	f eː t ə
feti	f eː t i
fetischisieren	f e t ɪ ʃ ɪ z iː ʁ ə n
fetischist	f e t ɪ ʃ ɪ s t
fettabsaugung	f ɛ t ʔ a p z a ʊ̯ ɡ ʊ ŋ
fettarsch	f ɛ t ʔ a r ʃ
fettauge	f ɛ t ʔ a ʊ̯ ɡ ə
fettdonnerstag	f ɛ t d ɔ n ɐ s t aː k
fettdonnerstage	f ɛ t d ɔ n ɐ s t aː ɡ ə
fettdonnerstages	f ɛ t d ɔ n ɐ s t aː ɡ ə s
fettdonnerstags	f ɛ t d ɔ n ɐ s t aː k s
fetten	f ɛ t ə n
fetthaltig	f ɛ t h a l t ɪ k
fetthältig	f ɛ t h ɛ l t ɪ k
fetti	f ɛ t i
fettig	f ɛ t ɪ k
fettigkeit	f ɛ t ɪ ç k a ɪ̯ t
fettleber	f ɛ t l eː b ɐ
fettleibigkeit	f ɛ t l a ɪ̯ b ɪ ç k a ɪ̯ t
fettnäpfchen	f ɛ t n ɛ p f ç ə n
fettsucht	f ɛ t z ʊ x t
fettsäure	f ɛ t z ɔ ʏ̯ ʁ ə
fettsüchtig	f ɛ t z ʏ ç t ɪ k
fettwanst	f ɛ t v a n s t
fetus	f eː t ʊ s
fetzendeppert	f ɛ t͡s n̩ d̥ ɛ p ɐ t
fetzig	f ɛ t͡s ɪ k
feucht	f ɔ ʏ̯ ç t
feuchte	f ɔ ɪ̯ ç t ə
feuchter	f ɔ ʏ̯ ç t ɐ
feuchtfröhlich	f ɔ ɪ̯ ç t f ʁ øː l ɪ ç
feuchtigkeit	f ɔ ʏ ç t ɪ ç k a ɪ̯ t
feuchtwangen	f ɔ ɪ̯ ç t v a ŋ ə n
feudal	f ɔ ɪ̯ d aː l
feudel	f ɔ ʏ̯ d ə l
feudeln	f ɔ ʏ̯ d ə l n
feuer	f ɔ ʏ̯ ə r
feuerballe	f ɔ ɪ̯ ɐ b a l ə
feuerbestattung	f ɔ ɪ̯ ɐ b ə ʃ t a t ʊ ŋ
feuerbohne	f ɔ ɪ̯ ɐ b oː n ə
feuerbohnen	f ɔ ɪ̯ ɐ b oː n ə n
feuerbrand	f ɔ ʏ̯ ə r b ʁ a n t
feuerbälle	f ɔ ɪ̯ ɐ b ɛ l ə
feuerfarben	f ɔ ɪ̯ ɐ f a ʁ b n̩
feuerfisch	f ɔ ɪ̯ ɐ f ɪ ʃ
feuerfische	f ɔ ɪ̯ ɐ f ɪ ʃ ə
feuerfisches	f ɔ ɪ̯ ɐ f ɪ ʃ ə s
feuergefährlich	f ɔ ɪ̯ ɐ ɡ ə f ɛː ɐ̯ l ɪ ç
feuerhalle	f ɔ ʏ̯ ɐ h a l ə
feuerholz	f ɔ ɪ̯ ɐ h ɔ l t͡s
feuerholze	f ɔ ɪ̯ ɐ h ɔ l t͡s ə
feuerkäfer	f ɔ ɪ̯ ɐ k ɛː f ɐ
feuerland	f ɔ ʏ̯ ɐ l a n t
feuerleiter	f ɔ ɪ̯ ɐ l a ɪ̯ t ɐ
feuerleitern	f ɔ ɪ̯ ɐ l a ɪ̯ t ɐ n
feuerlilie	f ɔ ʏ̯ ə r l iː l i̯ ə
feuerlöscher	f ɔ ɪ̯ ɐ l œ ʃ ɐ
feuermauer	f ɔ ɪ̯ ɐ m a ʊ̯ ɐ
feuern	f ɔ ʏ̯ ɐ n
feuerofen	f ɔ ɪ̯ ɐ ʔ oː f n̩
feuerpause	f ɔ ɪ̯ ɐ p a ʊ̯ z ə
feuerprobe	f ɔ ɪ̯ ɐ p ʁ oː b ə
feuerrot	f ɔ ɪ̯ ɐ ʁ oː t
feuers	f ɔ ɪ̯ ɐ s
feuersbrunst	f ɔ ɪ̯ ɐ s b ʁ ʊ n s t
feuerschein	f ɔ ʏ̯ ɐ ʃ a ɪ̯ n
feuerschiff	f ɔ ɪ̯ ɐ ʃ ɪ f
feuerschutzes	f ɔ ɪ̯ ɐ ʃ ʊ t͡s ə s
feuerstein	f ɔ ʏ̯ ɐ ʃ t a ɪ̯ n
feuersturm	f ɔ ɪ̯ ɐ ʃ t ʊ ʁ m
feuertaufe	f ɔ ʏ̯ ɐ t a ʊ̯ f ə
feuerwache	f ɔ ɪ̯ ɐ v a x ə
feuerwand	f ɔ ɪ̯ ɐ v a n t
feuerwehr	f ɔ ɪ̯ ɐ v eː ɐ̯
feuerwehrfrau	f ɔ ʏ ɐ v eː ɐ f ʁ a ʊ
feuerwehrhaus	f ɔ ɪ̯ ɐ v eː ɐ̯ h a ʊ̯ s
feuerwehrschlauch	f ɔ ʏ ɐ v eː ɐ ʃ l a ʊ̯ x
feuerwehrwagen	f ɔ ɪ̯ ɐ v eː ɐ̯ v aː ɡ ə n
feuerwerk	f ɔ ʏ̯ ə r v ɛ r k
feuerzange	f ɔ ɪ̯ ɐ t͡s a ŋ ə
feuerzangenbowle	f ɔ ɪ̯ ɐ t͡s a ŋ ə n b oː l ə
feuerzeug	f ɔ ɪ̯ ɐ t͡s ɔ ɪ̯ k
feuerzeugen	f ɔ ɪ̯ ɐ t͡s ɔ ɪ̯ ɡ n̩
feuilletonist	f ø j ə t o n ɪ s t
feurig	f ɔ ɪ̯ ʁ ɪ k
fex	f ɛ k s
fiaker	f i aː k ɐ
fiale	f i aː l ə
fiasko	f i̯ a s k o
fiber	f iː b ə r
fibrös	f i b ʁ øː s
fichten	f ɪ ç t n̩
fichtenast	f i ç t n̩ a s t
fichtenholz	f i ç t n̩ h ɔ l t͡s
fichtenrüsselkäfer	f ɪ ç t n̩ ʁ ʏ s l̩ k ɛː f ɐ
fichtenspargel	f ɪ ç t n̩ ʃ p a ʁ ɡ l̩
fichtenspinner	f ɪ ç t n̩ ʃ p ɪ n ɐ
fichtenzapfen	f ɪ ç t n̩ t͡s a p͡f n̩
fichtenzweig	f i ç t n̩ t s v a ɪ̯ k
fichtenästen	f i ç t n̩ ɛ s t n̩
fickend	f ɪ k ŋ̩ t
ficker	f ɪ k ɐ
fickerig	f ɪ k ə ʁ ɪ k
fickest	f ɪ k ə s t
ficket	f ɪ k ə t
fickrig	f ɪ k ʁ ɪ k
fickschlampe	f ɪ k ʃ l a m p ə
fickten	f ɪ k t n̩
fidel	f iː d ə l
fideler	f i d eː l ɐ
fidelsten	f i d eː l s t n̩
fidschi	f ɪ d͡ʒ i
fidschis	f ɪ d͡ʒ i s
fieber	f iː b ə r
fieberblase	f iː b ɐ b l aː z ə
fieberblasen	f iː b ɐ b l aː z n̩
fieberbläschen	f iː b ɐ b l ɛː s ç ə n
fieberbläschens	f iː b ɐ b l ɛː s ç ə n s
fieberfrei	f iː b ɐ f ʁ a ɪ̯
fieberig	f iː b ə ʁ ɪ k
fieberkrampf	f iː b ɐ k ʁ a m f
fiebertraum	f iː b ə r t r a ʊ̯ m
fieberwahn	f iː b ə r v aː n
fiebrig	f iː b ʁ ɪ k
fiedel	f iː d ə l
fieder	f iː d ə ʁ
fiederblatt	f iː d ɐ b l a t
fiederblättchen	f iː d ɐ b l ɛ t ç n̩
fiedern	f iː d ə ʁ n
fielest	f iː l ə s t
fielet	f iː l ə t
fierant	f i̯ ə ʁ a n t
fieranten	f i̯ ə ʁ a n t n̩
fiete	f iː t ə
fietse	f iː t s ə
fietsken	f iː t s k ə n
fiffi	f ɪ f i
fighten	f a ɪ̯ t n̩
figur	f i ɡ uː ɐ̯
figürlich	f i ɡ yː ɐ̯ l ɪ ç
fiktiv	f ɪ k t i v
filamentartig	f i l a m ɛ n t ʔ aː ɐ̯ t ɪ ç
file	f a ɪ̯ l
filet	f i l eː
filiale	f i l i̯ aː l ə
filigran	f i l i ɡ ʁ aː n
filmblut	f ɪ l m b l uː t
filmdebüt	f ɪ l m d e b yː
filmemacher	f ɪ l m ə m a x ɐ
filmografie	f ɪ l m o ɡ ʁ a f iː
filmregisseur	f ɪ l m ʀ e ʒ ɪ s øː ɐ̯
filmregisseurin	f ɪ l m ʁ e ʒ ɪ s øː ʁ ɪ n
filmriss	f ɪ l m ʁ ɪ s
filmtheater	f ɪ l m t e aː t ɐ
filterblase	f ɪ l t ɐ b l aː z ə
filtern	f ɪ l t ɐ n
filzen	f ɪ l t s n̩
filzhut	f ɪ l t͡s h uː t
filzig	f ɪ l t͡s ɪ k
filzlaus	f ɪ l t s l a ʊ̯ s
filzläuse	f ɪ l t s l ɔ ɪ̯ z ə
fimschig	f ɪ m ʃ ɪ ç
final	f i n aː l
finale	f i n aː l ə
finalsatz	f i n aː l z a t͡s
finanz	f i n a n t͡s
finanzamt	f i n a n t s ʔ a m t
finanzanlage	f i n a n t͡s ʔ a n l aː ɡ ə
finanziell	f i n a n t͡s i̯ ɛ l
finanzieren	f i n a n t s iː ɐ̯ n
finanzierungsrunde	f i n a n t͡s iː ʁ ʊ ŋ s ʁ ʊ n d ə
finanzierungszyklus	f i n a n t͡s iː ʁ ʊ ŋ s t͡s yː k l ʊ s
finanzkrise	f ɪ n a n t͡s k ʁ iː z ə
finanzkräftig	f i n a n t͡s k ʁ ɛ f t ɪ ç
finanzmarkte	f i n a n t͡s m a ʁ k t ə
finanzmärkte	f i n a n t͡s m ɛ ʁ k t ə
finanzordner	f i n a n t͡s ɔ ʁ d n ɐ
finanzordnern	f i n a n t͡s ɔ ʁ d n ɐ n
finanzordners	f i n a n t͡s ɔ ʁ d n ɐ s
finanzspritze	f i n a n t͡s ʃ p ʁ ɪ t͡s ə
finanzsystem	f i n a n t͡s z ʏ s t eː m
finanztransaktionssteuer	f i n a n t͡s t ʁ a n s ʔ a k t͡s i̯ oː n s ʃ t ɔ ɪ̯ ɐ
finanzvermögen	f i n a n t͡s f ɛ ɐ̯ m øː ɡ ə n
finanzvorstand	f i n a n t͡s f oː ɐ̯ ʃ t a n t
finanzvorständin	f i n a n t͡s f oː ɐ̯ ʃ t ɛ n d ɪ n
finanzwissenschaftler	f i n a n t͡s v ɪ s n̩ ʃ a f t l ɐ
finanzämter	f i n a n t s ʔ ɛ m t ɐ
finassieren	f i n a s iː ʁ ə n
findelkind	f ɪ n d ə l k ɪ n t
findend	f ɪ n d n̩ t
findig	f ɪ n d ɪ k
fing	f iː ŋ
fingerbreite	f ɪ ŋ ɐ b r a ɪ̯ t ə
fingerfertig	f ɪ ŋ ɐ f ɛ ʁ t ɪ k
fingerfertigkeit	f ɪ ŋ ɐ f ɛ ʁ t ɪ ç k a ɪ̯ t
fingerfood	f ɪ ŋ ɐ f uː t
fingerhakeln	f ɪ ŋ ɐ h aː k ə l n
fingerhandschuh	f ɪ ŋ ɐ h a n t ʃ uː
fingerhut	f ɪ ŋ ɐ h uː t
fingerhute	f ɪ ŋ ɐ h uː t ə
fingerhüte	f ɪ ŋ ɐ h yː t ə
fingerkraut	f ɪ ŋ ɐ k ʁ a ʊ̯ t
fingerkrautes	f ɪ ŋ ɐ k ʁ a ʊ̯ t ə s
fingerkrauts	f ɪ ŋ ɐ k ʁ a ʊ̯ t s
fingerkräuter	f ɪ ŋ ɐ k ʁ ɔ ɪ̯ t ɐ
fingernagel	f ɪ ŋ ə r n aː ɡ ə l
fingernägel	f ɪ ŋ ɐ n eː ɡ l̩
fingersatz	f ɪ ŋ ɐ z a t͡s
fingerwischen	f ɪ ŋ ɐ v ɪ ʃ n̩
fingerzitronen	f ɪ ŋ ɐ t͡s i t ʁ oː n n
fingieren	f ɪ ŋ ɡ iː ʁ ə n
fini	f i n iː
finkenvogel	f ɪ ŋ k n̩ f oː ɡ l̩
finnen	f ɪ n ə n
finnland	f ɪ n l a n t
finnlandisierung	f ɪ n l a n d i z iː ʁ ʊ ŋ
finta	f ɪ n t ɐ
firlefanz	f ɪ ʁ l ə f a n t͡s
firm	f ɪ ʁ m
firma	f ɪ r m a
firmamente	f ɪ ʁ m a m ɛ n t ə
firmeneigen	f ɪ ʁ m ə n a ɪ̯ ɡ ə n
firmenkantine	f ɪ ʁ m ə n k a n t iː n ə
firmenkantinen	f ɪ ʁ m ə n k a n t iː n ə
firmenwagen	f ɪ ʁ m ə n v aː ɡ ŋ̩
firn	f ɪ ʁ n
firnis	f ɪ ʁ n ɪ s
firstbalken	f ɪ ʁ s t b a l k ə n
firstpfette	f ɪ ʁ s t p f ɛ t ə
fischartig	f ɪ ʃ aː ɐ̯ t ɪ k
fischbach	f ɪ ʃ b a χ
fischbachs	f ɪ ʃ b a χ s
fischbestande	f ɪ ʃ b ə ʃ t a n d ə
fischbestandes	f ɪ ʃ b ə ʃ t a n d ə s
fischbestände	f ɪ ʃ b ə ʃ t ɛ n d ə
fischchen	f ɪ ʃ ç ə n
fischeln	f ɪ ʃ l n̩
fischfrikadellenbrötchen	f ɪ ʃ f ʁ ɪ k a d ɛ l ə n b ʁ øː t ç ə n
fischgabel	f ɪ ʃ ɡ aː b ə l
fischgeschäft	f ɪ ʃ ɡ ə ʃ ɛ f t
fischgeschäfte	f ɪ ʃ ɡ ə ʃ ɛ f t ə
fischgeschäftes	f ɪ ʃ ɡ ə ʃ ɛ f t ə s
fischgeschäfts	f ɪ ʃ ɡ ə ʃ ɛ f t s
fischgräte	f ɪ ʃ ɡ ʁ eː t ə
fischhaken	f ɪ ʃ h aː k ə n
fischhandel	f ɪ ʃ h a n d ə l
fischhändler	f ɪ ʃ h ɛ n t l ɐ
fischig	f ɪ ʃ ɪ k
fischkopf	f ɪ ʃ k ɔ p f
fischkopp	f ɪ ʃ k o p
fischkorb	f ɪ ʃ k ɔ ʁ p
fischkundler	f ɪ ʃ k ʊ n d l ɐ
fischkundlich	f ɪ ʃ k ʊ n t l ɪ ç
fischladen	f ɪ ʃ l aː d ə n
fischmesser	f ɪ ʃ m ɛ s ɐ
fischnetz	f ɪ ʃ n ɛ t͡s
fischsauce	f ɪ ʃ z oː s ə
fischschwarm	f ɪ ʃ ʃ v a ʁ m
fischschwarme	f ɪ ʃ ʃ v a ʁ m ə
fischstäbchen	f ɪ ʃ ʃ t ɛː p ç ə n
fischteich	f ɪ ʃ t a ɪ̯ ç
fischtreppe	f ɪ ʃ t ʁ ɛ p ə
fischtreppen	f ɪ ʃ t ʁ ɛ p ə n
fischähnlich	f ɪ ʃ ʔ eː n l ɪ ç
fisimatenten	f ɪ z i m a t ɛ n t ə n
fiskalpolitik	f ɪ s k aː l p o l i t iː k
fiskus	f ɪ s k ʊ s
fisole	f i s oː l ɛ
fisselig	f ɪ s ə l ɪ k
fisseln	f ɪ z ə l n
fist	f ɪ s t
fistelig	f ɪ s t ə l ɪ k
fisten	f ɪ s t ə n
fit	f ɪ t
fitis	f iː t ɪ s
fitna	f ɪ t n a
fitness	f ɪ t n ɛ s
fitnessstudio	f ɪ t n ə s ʃ t uː d i o
fitnesstraining	f ɪ t n ɛ s t ʁ ɛː n ɪ ŋ
fitzelchen	f ɪ t͡s l̩ ç ə n
fixer	f ɪ k s ɐ
fixieren	f ɪ k s iː ɐ̯ n
fixstern	f ɪ k s ʃ t ɛ ʁ n
fixsterne	f ɪ k s ʃ t ɛ ʁ n ə
fkk	ɛ f k aˑ k aː
flach	f l a χ
flachbildfernseher	f l a x b ɪ l t f ɛ ʁ n z eː ɐ
flachbildschirm	f l a x b ɪ l t ʃ ɪ ʁ m
flachbrüstig	f l a χ b ʁ ʏ s t ɪ k
flachdichtung	f l a χ d ɪ ç t ʊ ŋ
flachen	f l a χ n̩
flachglas	f l a x ɡ l aː s
flachkopfwels	f l a χ k ɔ p f v ɛ l s
flachmacher	f l a x m a x ə ʁ
flachmann	f l a x m a n
flachse	f l a k s ə
flachsen	f l a k s n̩
flachsfaser	f l a k s f aː z ɐ
flachsig	f l a k s ɪ k
fladenbrot	f l aː d ə n b ʁ oː t
fladenbrote	f l aː d ə n b ʁ oː t ə
fladenbrotes	f l aː d ə n b ʁ oː t ə s
fladungen	f l aː d ʊ ŋ ə n
flagge	f l a ɡ ə
flaggen	f l a ɡ ŋ̩
flaggenkunde	f l a ɡ ə n k ʊ n d ə
flaggenstange	f l a ɡ ə n ʃ t a ŋ ə
flaggenträger	f l a ɡ ə n t ʁ eː ɡ ɐ
flak	f l a k
flaks	f l a k s
flambieren	f l a m b iː ʁ ə n
flamencotänzer	f l a m ɛ ŋ k o t ɛ n t͡s ɐ
flamencotänzerin	f l a m ɛ ŋ k o t ɛ n t͡s ə ʁ ɪ n
flamingos	f l a m ɪ ŋ ɡ o s
flamme	f l a m ə
flammen	f l a m ə n
flammenwerfer	f l a m ə n v ɛ ʁ f ɐ
flammkuchen	f l a m k uː x n̩
flammlachs	f l a m l a k s
flandern	f l a n d ɐ n
flanellhemd	f l a n ɛ l h ɛ m t
flaneur	f l a n øː ʁ
flanieren	f l a n iː ʁ ə n
flankerl	f l a n k ɐ l
flankerln	f l a ŋ k ɐ l n
flapsig	f l a p s ɪ k
flaschen	f l a ʃ n̩
flaschenbier	f l a ʃ n̩ b iː ɐ̯
flaschenbiere	f l a ʃ n̩ b iː ʁ ə
flaschenbieres	f l a ʃ n̩ b iː ʁ ə s
flaschenbiers	f l a ʃ n̩ b iː ɐ̯ s
flaschengeist	f l a ʃ n̩ ɡ a ɪ̯ s t
flaschengrün	f l a ʃ n̩ ɡ ʁ yː n
flaschenhals	f l a ʃ ə n h a l s
flaschenhalse	f l a ʃ n̩ h a l z ə
flaschenhälse	f l a ʃ n̩ h ɛ l z ə
flaschenpfand	f l a ʃ n̩ p͡f a n t
flaschenpost	f l a ʃ n̩ p ɔ s t
flaschenschiff	f l a ʃ ə n ʃ ɪ f
flaschenverschluss	f l a ʃ n̩ f ɛ ɐ̯ ʃ l ʊ s
flaschenverschlusses	f l a ʃ n̩ f ɛ ɐ̯ ʃ l ʊ s ə s
flaschenverschlüsse	f l a ʃ n̩ f ɛ ɐ̯ ʃ l ʏ s ə
flaschenöffner	f l a ʃ n̩ ʔ œ f n ɐ
flashback	f l æ ʃ b æ k
flashen	f l ɛ ʃ n̩
flashmob	f l ɛ ʃ m ɔ p
flattermann	f l a t ɐ m a n
flattern	f l a t ɐ n
flatterulme	f l a t ɐ ʊ l m ə
flatulent	f l a t u l ɛ n t
flatulenz	f l a t u l ɛ n t s
flau	f l a ʊ̯
flauchen	f l a ʊ̯ x n̩
flaum	f l a ʊ̯ m
flaumfeder	f l a ʊ̯ m f eː d ɐ
flausch	f l a ʊ̯ ʃ
flauschig	f l a ʊ̯ ʃ ɪ k
flause	f l a ʊ̯ z ə
flaute	f l a ʊ̯ t ə
flechse	f l ɛ k s ə
flechtenbewohnend	f l ɛ ç t ə n b ə v oː n ə n t
fleckerlteppich	f l ɛ k ɐ l t ɛ p ɪ ç
fleckfieber	f l ɛ k f iː b ə r
fleckig	f l ɛ k ɪ k
fleddern	f l ɛ d ɐ n
fledermaus	f l eː d ɐ m a ʊ̯ s
fledermausärmel	f l eː d ɐ m a ʊ̯ s ʔ ɛ ʁ m l̩
fledermausärmels	f l eː d ɐ m a ʊ̯ s ʔ ɛ ʁ m l̩ s
fledermäuse	f l eː d ɐ m ɔ ɪ̯ z ə
fleet	f l eː t
flegel	f l eː ɡ l̩
flehmen	f l eː m ə n
fleisch	f l a ɪ̯ ʃ
fleische	f l a ɪ̯ ʃ ə
fleischer	f l a ɪ̯ ʃ ɐ
fleischerei	f l a ɪ̯ ʃ ə ʁ a ɪ̯
fleischersatz	f l a ɪ̯ ʃ ʔ ɛ ɐ̯ z a t͡s
fleischeslust	f l a ɪ̯ ʃ ə s l ʊ s t
fleischfresser	f l a ɪ̯ ʃ f r ɛ s ə r
fleischgabel	f l a ɪ̯ ʃ ɡ aː b l̩
fleischgabeln	f l a ɪ̯ ʃ ɡ aː b l̩ n
fleischig	f l a ɪ̯ ʃ ɪ k
fleischkäse	f l a ɪ̯ ʃ k ɛː z ə
fleischmesser	f l a ɪ̯ ʃ m ɛ s ɐ
fleischpflanzerl	f l a ɪ̯ ʃ p f l a n t͡s ɐ l
fleischpflanzl	f l a ɪ̯ ʃ p f l a n t͡s l̩
fleischsalat	f l a ɪ̯ ʃ s a l aː t
fleischsuppe	f l a ɪ̯ ʃ z ʊ p ə
fleischwolf	f l a ɪ̯ ʃ v ɔ l f
fleischwunde	f l a ɪ̯ ʃ v ʊ n d ə
fleischwurst	f l a ɪ̯ ʃ v ʊ r s t
fleissen	f l a ɪ̯ s ə n
fleiß	f l a ɪ̯ s
fleißbiene	f l a ɪ̯ s b iː n ə
fleiße	f l a ɪ̯ s ə
fleißen	f l a ɪ̯ s n̩
fleißig	f l a ɪ̯ s ɪ k
flektieren	f l ɛ k t iː ʁ ə n
flensburgisch	f l ɛ n s b ʊ ʁ ɡ ɪ ʃ
flensburgischer	f l ɛ n s b ʊ ʁ ɡ ɪ ʃ ɐ
flensen	f l ɛ n z n̩
flenser	f l ɛ n z ɐ
fletschen	f l ɛ t͡ʃ n̩
flett	f l ɛ t
flexen	f l ɛ k s n̩
flexibel	f l ɛ k s iː b l̩
flexibilität	f l ɛ k s i b i l i t ɛː t
flexion	f l ɛ k s j oː n
flexionsform	f l ɛ k s i̯ oː n s f ɔ ʁ m
flexitarier	f l e k s ɪ t a r i̯ ɐ
flick	f l ɪ k
flickenteppich	f l ɪ k n̩ t ɛ p ɪ ç
flieder	f l iː d ə r
fliederbeere	f l iː d ɐ b eː r ə
fliege	f l iː ɡ ə
fliegen	f l iː ɡ n̩
fliegengewicht	f l iː ɡ n̩ ɡ ə v ɪ ç t
fliegengitter	f l iː ɡ ə n ɡ ɪ t ɐ
fliegenschnäpper	f l iː ɡ n̩ ʃ n ɛ p ɐ
flieger	f l iː ɡ ɐ
fliegerbombe	f l iː ɡ ɐ b ɔ m b ə
fliehburg	f l iː ə b ʊ ʁ k
fliese	f l iː s ɛ
fliete	f l iː t ə
fließ	f l iː s
fließband	f l iː s b a n t
fließen	f l iː s n̩
fließmittel	f l iː s m ɪ t ə l
fließtext	f l iː s t ɛ k s t
flimmern	f l ɪ m ɐ n
flint	f l ɪ n t
flinta	f l ɪ n t ɐ
flipflop	f l ɪ p f l ɔ p
flipflops	f l ɪ p f l ɔ p s
flippen	f l ɪ p ə n
flipper	f l ɪ p ɐ
flippig	f l ɪ p ɪ k
flirren	f l ɪ ʁ ə n
flitterblättchen	f l ɪ t ɐ b l ɛ t ç n̩
flittergold	f l ɪ t ɐ ɡ ɔ l t
flittern	f l ɪ t ɐ n
flitterwochen	f l ɪ t ə r v ɔ x ə n
flitz	f l ɪ t͡s
flitze	f l ɪ t͡s ə
flitzes	f l ɪ t͡s ə s
flockig	f l ɔ k ɪ k
flockigsten	f l ɔ k ɪ k s t n̩
flohe	f l oː ə
flohmarkte	f l oː m a ʁ k t ə
flokati	f l o k aː t i
flor	f l oː ɐ̯
florenz	f l o ʁ ɛ n t s
florian	f l oː ʁ i̯ aː n
florida	f l ɔ ɹ ə d ɐ
floridianer	f l o ʁ ɪ d i̯ aː n ɐ
florist	f l o ʁ ɪ s t
floristik	f l o ʁ ɪ s t ɪ k
floss	f l ɔ s
flottenstützpunkt	f l ɔ t n̩ ʃ t ʏ t s p ʊ ŋ k t
floß	f l oː s
fluch	f l uː x
fluchen	f l uː x n̩
fluchtartig	f l ʊ x t ʔ aː ɐ̯ t ɪ ç
fluchtfahrer	f l ʊ x t f aː ʁ ɐ
fluchtfahrzeug	f l ʊ x t f aː ɐ̯ t s ɔ ɪ̯ k
fluchtgefahr	f l ʊ x t ɡ ə f aː ɐ̯
fluchtpunkt	f l ʊ x t p ʊ ŋ k t
fluchtpunkte	f l ʊ x t p ʊ ŋ k t ə
fluchtpunktes	f l ʊ x t p ʊ ŋ k t ə s
fluchtpunkts	f l ʊ x t p ʊ ŋ k t͡s
fluchtunfähig	f l ʊ x t ʔ ʊ n f ɛː ɪ ç
fluffig	f l ʊ f ɪ k
flug	f l u x
flugbahn	f l uː k b aː n
flugbegleiter	f l uː k b ə ɡ l a ɪ̯ t ɐ
flugblatt	f l uː k b l a t
flugblatte	f l uː k b l a t ə
flugfläche	f l uː k f l ɛ ç ə
flugfähig	f l uː k f ɛː ɪ ç
fluggast	f l uː k ɡ a s t
fluggastbrücke	f l uː k ɡ a s t b ʁ ʏ k ə
fluggastbrücken	f l uː k ɡ a s t b ʁ ʏ k ə n
fluggastes	f l uː k ɡ a s t ə s
fluggesellschaft	f l uː k ɡ ə z ɛ l ʃ a f t
fluggäste	f l uː k ɡ ɛ s t ə
flughafen	f l uː k h aː f ə n
flughafenparkplatz	f l uː k h aː f ə n p a ɐ̯ k p l a t͡s
