'ch	χ
chwarennol	χ w a r ɛ n ɔ l
chwareüsrwydd	χ w a r ɛ ɪ s r ʊ i̯ ð
chwarren	ʍ a r ɛ n
chwartel	χ w a r t ɛ l
chwarter	χ w a r t ɛ r
chwch	χ ʊ χ
chwe	w eː
chwech	h w eː χ
chwechawd	χ w eː χ a u̯ d
chweched	ʍ eː χ ɛ d
chwecheiniog	χ w ɛ χ e i̯ n j ɔ ɡ
chwedl	ʍ eː d ɛ l
chwefror	ʍ ɛ v r ɔ r
chweina	χ w e i̯ n a
chwelydr	χ w ɛ l ə d r
chwennych	χ w ɛ n ɪ χ
chwenychu	χ w ɛ n ə χ i
chwern	h w ɛ r n
chwerthin	h w ɛ r θ ɪ n
chwerthinllyd	χ w ɛ r θ ɪ n ɬ ɪ d
chwerthinog	χ w ɛ r θ iː n ɔ ɡ
chwerw	ʍ eː r u
chwerwddwr	χ w ɛ r w ð ʊ r
chwerwder	χ w ɛ r w d ɛ r
chwery	χ w eː r i
chwest	χ w ɛ s d
chwestiwn	k w ɛ s d j ʊ n
chweugain	χ w e i̯ ɡ a i̯ n
chwi	χ w iː
chwibl	χ w iː b ɪ l
chwidlo	χ w ɪ d l ɔ
chwigain	χ w iː ɡ a i̯ n
chwilen	χ w iː l ɛ n
chwiler	χ w iː l ɛ r
chwileru	χ w ɪ l eː r i
chwilerwe	χ w ɪ l ɛ r w ɛ
chwiliedydd	χ w ɪ l j eː d ɪ ð
chwilio	w ɪ l j ɔ
chwiliwr	χ w ɪ l j ʊ r
chwilmanta	χ w ɪ l m a n t a
chwilod	χ w ɪ l ɔ d
chwilota	χ w ɪ l ɔ t a
chwilys	χ w ɪ l ɪ s
chwilyswr	χ w ɪ l ə s ʊ r
chwim	χ w ɪ m
chwimp	χ w ɪ m p
chwinciad	χ w ɪ ŋ k j a d
chwiorydd	ʍ i oː r ɪ ð
chwip	χ w ɪ p
chwisgi	h w ɪ s ɡ i
chwistl	χ w ɪ s t l
chwistlen	χ w ɪ s t l ɛ n
chwith	w iː θ
chwithau	χ w iː θ a i̯
chwiw	χ w ɪ u̯
chwiwell	χ w ɪ u̯ ɛ ɬ
chwmni	χ ʊ m n i
chwmpas	χ ʊ m p a s
chwningen	χ ʊ n ɪ ŋ ɛ n
chwpan	χ ʊ p a n
chwpwrdd	χ ʊ p ʊ r ð
chwrdd	χ ʊ r ð
chwrs	χ ʊ r s
chwrw	χ uː r u
chwydd	ʍ iː ð
chwyddiannau	χ w ə ð j a n a i̯
chwyddiant	χ w ə ð j a n t
chwyddo	χ w iː ð ɔ
chwydu	χ w ə d i
chwyldro	χ w ɪ l d r ɔ
chwyldroi	χ w ɪ l d r ɔ i̯
chwympo	χ w ɪ m p ɔ
chwyn	χ w ɪ n
chwyno	χ ʊ i̯ n ɔ
chwyrliad	χ w ə r l j a d
chwyrlïad	χ w ə r l iː a d
chwyrlïant	χ w ə r l iː a n t
chwyrn	ʍ ɪ r n
chwyrnaf	χ w ə r n a v
chwyrnu	h ʊ r n i
chwys	ʍ iː s
chwysigen	χ w ə s iː ɡ ɛ n
chwyslyd	χ w ə s l ɪ d
chwysol	χ u i̯ s ɔ l
chwystwll	χ w ə s t ʊ ɬ
chwyth	h w iː θ
chwythaf	h ʊ θ a
chwythed	χ w ə θ ɛ d
chwythu	h w ə θ i
chwŷl	χ w iː l
chychwyn	χ ə χ w ɪ n
chydbreswylwyr	χ iː d b r ɛ s ʊ i̯ l w ɪ r
chyfaill	χ ə v a i̯ ɬ
chyfaredd	χ ə v a r ɛ ð
chyfarfod	χ ə v a r v ɔ d
chyfeillion	χ ə v e i̯ ɬ j ɔ n
chyfforddus	χ ə f ɔ r ð ɪ s
chyfiawnder	χ ə v j a u̯ n d ɛ r
chyflym	χ ə v l ɪ m
chyfnither	χ ə v n iː θ ɛ r
chyfoethocach	χ ə v ɔ i̯ θ ɔ k a χ
chyfoethocaf	χ ə v ɔ i̯ θ ɔ k a
chyfoethog	χ ə v ɔ i̯ θ ɔ ɡ
chyfoethogion	χ ə v ɔ i̯ θ ɔ ɡ j ɔ n
chyfraith	χ ə v r a i̯ θ
chyfreithiwr	χ ə v r e i̯ θ j ʊ r
chyfreithwraig	χ ə v r e i θ w r a i̯ ɡ
chylchgrawn	χ ə l χ ɡ r a u̯ n
chyllell	χ ə ɬ ɛ ɬ
chymaint	χ ə m a i̯ n t
chymedrolwr	χ ə m ɛ d r oː l ʊ r
chymedrolwyr	χ ə m ɛ d r ɔ l w ɪ r
chymorth	χ ə m ɔ r θ
chymro	χ ə m r ɔ
chymru	χ ə m r i
chymry	χ ə m r i
chymylog	χ ə m ə l ɔ ɡ
chynffon	χ ə n f ɔ n
chyngerdd	χ ə ŋ ɛ r ð
chyngor	χ ə ŋ ɔ r
chynhadledd	χ ə n h a d l ɛ ð
chynnes	χ ə n ɛ s
chynnwrf	χ ə n ʊ r v
chyrliog	χ ə r l j ɔ ɡ
chyrraedd	χ ə r a i̯ ð
chysgaf	χ ə s ɡ a
chysgais	χ ə s ɡ a i̯ s
chysgaist	χ ə s ɡ a i̯ s d
chysgoch	χ ə s ɡ ɔ χ
chysgod	χ ə s ɡ ɔ d
chysgodd	χ ə s ɡ a i̯ s d
chysgon	χ ə s ɡ ɔ n
chysgu	χ ə s ɡ i
chysgwch	χ ə s ɡ ʊ χ
chystadlu	χ ə s d a d l i
chytgan	χ ə t ɡ a n
chytganau	χ ə t ɡ a n a i̯
chythraul	χ ə θ r a i̯ l
chythreuliaid	χ ə θ r e i̯ l j a i̯ d
chywair	χ ə w a i̯ r
chywir	χ ə u̯ ɪ r
chân	χ aː n
chôt	χ oː t
chŵyn	χ ʊ i̯ n
chŵys	χ u i̯ s
ci	k iː
cib	k iː b
cibwts	k ɪ b ʊ t s
cibẃts	k ɪ b ʊ t s
cic	k ɪ k
ciciau	k i k j a i̯
cicio	k ɪ k j ɔ
cig	k iː ɡ
cigfrain	k ɪ ɡ v r a i̯ n
cigfran	k ɪ ɡ v r a n
cigydd	k iː ɡ ɪ ð
cil	k iː l
cilarne	k ɪ l a r n ɛ
cilbost	k ɪ l b ɔ s t
cilbren	k ɪ l b r ɛ n
cilddant	k ɪ l ð a n t
cildroi	k ɪ l d r ɔ i̯
cildwrn	k ɪ l d ʊ r n
ciledrych	k ɪ l ɛ d r ɪ χ
cilfach	k ɪ l v a χ
cilgant	k ɪ l ɡ a n t
cilgwri	k ɪ l ɡ ʊ r i
cilio	k ɪ l j ɔ
cilogram	k ɪ l ɔ ɡ r a m
cilogramau	k ɪ l ɔ ɡ r a m a i̯
cilwen	k ɪ l w ɛ n
cilwg	k iː l ʊ ɡ
cilydd	k iː l ɪ ð
cilyddol	k ɪ l ə ð ɔ l
cimwch	k ɪ m ʊ χ
cinio	k ɪ n j ɔ
cip	k ɪ p
cipio	k ɪ p j ɔ
ciribati	k ɪ r ɪ b a t i
cist	k ɪ s d
ciw	k ɪ u̯
ciwb	k ɪ u̯ b
ciwba	k ɪ u̯ b a
ciwcymber	k ɪ u̯ k ə m b ɛ r
ciwcymbr	k ɪ u̯ k ə m b r
ciwcymbrau	k ɪ u̯ k ə m b r a i̯
ciwdod	k ɪ u̯ d ɔ d
ciwed	k ɪ u̯ ɛ d
ciwt	k ɪ u̯ t
claddu	k l a ð i
claear	k l e i̯ a r
claf	k l aː v
clafdy	k l a v d i
clafr	k l a v a r
clafrdy	k l a v r d i
clais	k l a i̯ s
clamp	k l a m p
clap	k l a p
clapgi	k l a p ɡ i
clas	k l aː s
clasgu	k l a s ɡ i
clasur	k l a s ɪ r
clasurol	k l a s iː r ɔ l
clathrad	k l a θ r a d
clatsio	k l a t ʃ j ɔ
clau	k l a i̯
clawdd	k l a u̯
clawr	k l a u̯ r
clec	k l ɛ k
cledd	k l eː ð
cleddyf	k l eː ð ɪ v
cledr	k l eː d ɛ r
cleff	k l eː f
clefyd	k l eː v ɪ d
cleifion	k l e i̯ v j ɔ n
cleren	k l eː r ɛ n
clicio	k l ɪ k j ɔ
cliff	k l iː f
clindarddach	k l ɪ n d a r ð a χ
cliriad	k l ɪ r j a d
clirio	k l ɪ r j ɔ
clo	k l oː
cloan	k l oː a n
cloc	k l ɔ k
cloch	k l oː χ
clochdy	k l ɔ χ d i
clochi	k l oː χ i
clocs	k l o k s
clocwedd	k l ɔ k w ɛ ð
clod	k l oː d
cloddfa	k l ɔ ð v a
cloddio	k l ɔ ð j ɔ
cloddiwr	k l ɔ ð j ʊ r
clodfawr	k l ɔ d v a u̯ r
clodforedd	k l ɔ d v oː r ɛ ð
clodfori	k l ɔ d v oː r i
clodwiw	k l ɔ d w ɪ u̯
clodydd	k l oː d ɪ ð
cloem	k l ɔ i̯ m
cloen	k l ɔ i̯ n
cloent	k l ɔ i̯ n t
cloet	k l ɔ i̯ t
clof	k l oː v
clofan	k l oː v a n
cloff	k l oː f
clog	k l oː ɡ
cloi	k l ɔ i̯
clois	k l ɔ i̯ s
cloit	k l ɔ i̯ t
clonc	k l ɔ ŋ k
clora	k l oː r a
cloriau	k l ɔ r j a i̯
clorid	k l oː r ɪ d
clorin	k l oː r ɪ n
cloron	k l oː r ɔ n
cloronen	k l ɔ r oː n ɛ n
clorosis	k l ɔ r ɔ s ɪ s
clos	k l oː s
closed	k l ɔ s ɛ d
closen	k l ɔ s ɛ n
closet	k l ɔ s ɛ t
clots	k l ɔ t s
clou	k l ɔ i̯
clown	k l o u̯ n
clud	k l iː d
cludiad	k l ɪ d j a d
cludo	k l iː d ɔ
clun	k l iː n
clust	k l ɪ s d
clustdlws	k l ɪ s d l ʊ s
clusten	k l ɪ s d ɛ n
clustiog	k l ɪ s d j ɔ ɡ
clustlws	k l ɪ s d l ʊ s
clustog	k l ɪ s d ɔ ɡ
clwb	k l uː b
clwbfwsogl	k l ʊ b v ʊ s ɔ ɡ l
clws	k l uː s
clwstwr	k l ʊ s d ʊ r
clwt	k l ʊ t
clwyd	k l ʊ i̯ d
clwyf	k l u i̯
clwyfau	k l ʊ i̯ v a i̯
clwyfdy	k l ʊ i̯ v d i
clwyfo	k l ʊ i̯ v ɔ
clwyfus	k l ʊ i̯ v ɪ s
cly	k l iː
clybiau	k l ə b j a i̯
clych	k l iː χ
clychlys	k l ə χ l ɪ s
clyd	k l iː d
clydach	k l ə d a x
clyfar	k l ə v a r
clymu	k l ə m i
clyw	k l ɪ u̯
clywaf	k l ə w a v
clywaist	k l ə u̯ a i̯ s t
clywed	k l ə w ɛ d
clywedog	k l ə u̯ eː d ɔ ɡ
clên	k l eː n
clêr	k l eː r
clòs	k l ɔ s
cnaf	k n aː v
cnap	k n a p
cnau	k n a i̯
cnawd	k n a u̯ d
cnawdnychiad	k n a u̯ d n ə χ j a d
cnawdnychiant	k n a u̯ d n ə χ j a n t
cnawdol	k n a u̯ d ɔ l
cnec	k n ɛ k
cneua	k n e i̯ a
cneuen	k n e i̯ ɛ n
cnewyllyn	k n ɛ u̯ ə ɬ ɪ n
cnoc	k n ɔ k
cnoca	k n ɔ k a
cnocaf	k n ɔ k a v
cnocellau	k n ɔ k ɛ ɬ a i̯
cnocio	k n ɔ k j ɔ
cnoco	k n ɔ k ɔ
cnofa	k n oː v a
cnofeydd	k n ɔ v e i̯ ð
cnofil	k n oː v ɪ l
cnofilod	k n ɔ v iː l ɔ d
cnoi	k n ɔ i̯
cnuchio	k n ɪ χ j ɔ
cnud	k n iː d
cnwc	k n ʊ k
cnwch	k n uː χ
cnwd	k n uː d
cnwp	k n ʊ p
cobalt	k oː b a l t
coblyn	k ɔ b l ɪ n
cobra	k ɔ b r a
coch	k oː χ
cochaidd	k ɔ χ a i̯ ð
cochbryf	k ɔ χ b r ɪ v
cochddu	k ɔ χ ð i
cochem	k oː χ ɛ m
cochen	k oː χ ɛ n
cochent	k oː χ ɛ n t
cochgam	k ɔ χ ɡ a m
cochgangen	k o χ ɡ a ŋ ɛ n
cochi	k oː χ i
cochion	k ɔ χ j ɔ n
cochlas	k ɔ χ l a s
cochni	k ɔ χ n i
cochsen	k ɔ χ s ɛ n t
cochwydd	k oː χ ʊ i̯ ð
cochyn	k oː χ ɪ n
cocrotsien	k ɔ k r ɔ t͡ʃ ɛ n
cocsa	k ɔ k s a
cocsio	k ɔ k s j ɔ
cocyn	k ɔ k ɪ n
cocŵn	k ɔ k uː n
cod	k oː d
codais	k oː d a i̯ s
codaist	k oː d a i̯ s d
codau	k oː d a i̯
coden	k oː d ɛ n
codi	k oː d i
codiad	k ɔ d j a d
codlyg	k ɔ d l ɪ ɡ
codoch	k oː d ɔ χ
cododd	k oː d ɔ ð
codog	k oː d ɔ ɡ
codon	k oː d ɔ n
codwch	k oː d ʊ χ
coed	k oː d
coeden	k ɔ i̯ d ɛ n
coedredyn	k ɔ i̯ d r eː d ɪ n
coedwig	k ɔ i̯ d w ɪ ɡ
coeg	k ɔ i̯ ɡ
coegni	k ɔ i̯ ɡ n i
coegog	k ɔ i̯ ɡ ɔ ɡ
coel	k ɔ i̯ l
coelcerth	k ɔ i̯ l k ɛ r θ
coelio	k ɔ i̯ l j ɔ
coes	k oː s
coesen	k ɔ i̯ s ɛ n
coesgam	k ɔ i̯ s ɡ a m
coesgoch	k ɔ i̯ s ɡ ɔ χ
coesyn	k ɔ i̯ s ɪ n
coeth	k oː θ
coethi	k ɔ i̯ θ i
cof	k oː v
cofair	k oː v a i̯ r
cofalent	k ɔ v a l ɛ n t
cofbin	k ɔ v b ɪ n
cofeb	k ɔ v ɛ b
coffa	k ɔ f a
coffi	k ɔ f i
coffáu	k ɔ f a i̯
cofia	k ɔ v j a
cofiadwy	k ɔ v j a d ʊ i̯
cofiai	k ɔ v j a i̯
cofiais	k ɔ v j a i̯ s
cofiannol	k ɔ v j a n ɔ l
cofiant	k ɔ v j a n t
cofiem	k ɔ v j ɛ m
cofies	k ɔ v j ɛ s
cofio	k ɔ v j ɔ
cofion	k ɔ v j ɔ n
cofiwch	k ɔ v j ʊ χ
cofiwn	k ɔ v j ʊ n
cofleidiad	k ɔ v l e i̯ d j a d
cofleidio	k ɔ v l e i̯ d j ɔ
cofnod	k ɔ v n ɔ d
cofnodi	k ɔ v n oː d i
cofnodion	k ɔ v n ɔ d j ɔ n
cofrestr	k oː v r ɛ s d r
cofrestrfa	k ɔ v r e s d r v a
cofrestrfeydd	k ɔ v r e s d r v e i̯ ð
cofrestriad	k ɔ v r ɛ s d r j a d
cofrestriadau	k ɔ v r ɛ s d r j a d a i̯
cofrestru	k ɔ v r ɛ s d r i
cofrestrydd	k ɔ v r ɛ s d r ɪ ð
cofrestryddion	k ɔ v r ɛ s d r ə ð j ɔ n
cog	k oː ɡ
cogan	k oː ɡ a n
cogau	k oː ɡ a i̯
coginiais	k ɔ ɡ ɪ n j a i̯ s
coginiaist	k ɔ ɡ ɪ n j a i̯ s d
coginio	k ɔ ɡ ɪ n j ɔ
coginioch	k ɔ ɡ ɪ n j ɔ χ
coginiodd	k ɔ ɡ ɪ n j ɔ ð
coginion	k ɔ ɡ ɪ n j ɔ n
cogydd	k oː ɡ ɪ ð
cogyddesau	k ɔ ɡ ə ð ɛ s a i̯
cogyddion	k ɔ ɡ ə ð j ɔ n
col	k ɔ l
coleddu	k ɔ l eː ð i
coleg	k oː l ɛ ɡ
colfach	k ɔ l v a χ
colfen	k ɔ l v ɛ n
colfenni	k ɔ l v ɛ n i
colfran	k ɔ l v r a n
coll	k oː ɬ
collasant	k ɔ ɬ a s a n t
colled	k ɔ ɬ ɛ d
colledion	k ɔ ɬ ɛ d j ɔ n
collen	k ɔ ɬ ɛ n
colli	k ɔ ɬ i
collnod	k ɔ ɬ n ɔ d
colofn	k oː l ɔ v n̩
colofnig	k ɔ l ɔ v n ɪ ɡ
coloid	k ɔ l ɔ i̯ d
coloidaidd	k ɔ l ɔ i̯ d a i̯ ð
colombia	k ɔ l ɔ m b j a
colomen	k ɔ l ɔ m ɛ n
colomennod	k ɔ l ɔ m ɛ n ɔ d
colon	k oː l ɔ n
cols	k ɔ l s
colur	k oː l ɪ r
colyn	k oː l ɪ n
coma	k ɔ m a
comed	k ɔ m ɛ d
comiwnyddiaeth	k ɔ m ɪ u̯ n ə ð j a i̯ θ
comiwnyddol	k ɔ m j ʊ n ə ð ɔ l
conachyn	k ɔ n a χ ɪ n
conan	k oː n a n
concretiad	k ɔ ŋ k r ɛ t j a d
concweriad	k ɔ ŋ k w ɛ r j a d
concwerwr	k ɔ ŋ k w eː r ʊ r
concwest	k ɔ ŋ k w ɛ s t
condemni	k ɔ n d ɛ m n i
condemnio	k ɔ n d ɛ m n j ɔ
conglfaen	k ɔ ŋ l v a i̯ n
congo	k ɔ ŋ ɡ ɔ
cont	k ɔ n t
contract	k ɔ n t r a k t
contractau	k ɔ n t r a k t a i̯
conwy	k ɔ n ʊ i̯
conwydd	k oː n ʊ i̯ ð
conwydden	k ɔ n w ə ð ɛ n
conyn	k oː n ɪ n
cop	k ɔ p
copa	k ɔ p a
coperniciwm	k ɔ p ɛ r n ɪ k j ʊ m
copi	k ɔ p i
copii	k ɔ p iː i
copog	k ɔ p ɔ ɡ
copor	k ɔ p ɔ r
copr	k ɔ p r
copyn	k ɔ p ɪ n
copïo	k ɔ p iː ɔ
copïwr	k ɔ p iː ʊ r
copïwyr	k ɔ p iː w ɪ r
cor	k ɔ r
corbenfras	k ɔ r b ɛ n v r a s
corbennog	k ɔ r b ɛ n ɔ ɡ
corbwll	k ɔ r b ʊ ɬ
corbys	k ɔ r b ɪ s
corcyn	k ɔ r k ɪ n
cordd	k ɔ r ð
corddlan	k ɔ r ð l a n
corddyn	k ɔ r ð ɪ n
corea	k ɔ r eː a
cored	k oː r ɛ d
corff	k ɔ r f
corfflu	k ɔ r f l i
corfflunio	k ɔ r f l ɪ n j ɔ
corffluniwr	k ɔ r f l ɪ n j ʊ r
corfflunwyr	k ɔ r f l ɪ n w ɪ r
corffluoedd	k ɔ r f l iː ɔ i̯ ð
corffor	k ɔ r f ɔ r
corffori	k ɔ r f oː r i
corgi	k ɔ r ɡ i
corgimwch	k ɔ r ɡ ɪ m ʊ χ
corgwn	k ɔ r ɡ ʊ n
corgïaid	k ɔ r ɡ i a i̯ d
corhedydd	k ɔ r h eː d ɪ ð
corhocys	k ɔ r h ɔ k ɪ s
corhwyad	k ɔ r h ʊ i̯ a d
corhwyaden	k ɔ r h ʊ i̯ a d ɛ n
corhwyaid	k ɔ r h ʊ i̯ a i̯ d
coridor	k ɔ r ɪ d ɔ r
corlan	k ɔ r l a n
corn	k ɔ r n
cornbig	k ɔ r n b ɪ ɡ
cornel	k ɔ r n ɛ l
corneli	k ɔ r n eː l i
corniog	k ɔ r n j ɔ ɡ
cornwyd	k ɔ r n ʊ i̯ d
coron	k oː r ɔ n
corona	k ɔ r oː n a
coronafeirws	k ɔ r oː n a v e i̯ r ʊ s
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s a i̯
coronafirws	k ɔ r oː n a v iː r ʊ s
coroni	k ɔ r oː n i
corrach	k ɔ r a χ
corryn	k ɔ r ɪ n
corun	k oː r ɪ n
corunllwyd	k ɔ r ɪ n ɬ ʊ i̯ d
corwg	k oː r ʊ ɡ
cosb	k ɔ s b
cosbau	k ɔ s b a i̯
cosi	k ɔ s i
cosofo	k ɔ s ɔ v ɔ
cost	k ɔ s d
costio	k ɔ s d j ɔ
costrel	k ɔ s d r ɛ l
cosyn	k ɔ s ɪ n
cot	k ɔ t
cotiau	k ɔ t j a i̯
cotwm	k ɔ t ʊ m
cowboi	k o u̯ b ɔ i̯
cowbois	k o u̯ b ɔ i̯ z
cownt	k o u̯ n t
cowyll	k ɔ u̯ ɪ ɬ
crac	k r a k
crach	k r aː χ
craf	k r aː v
crafanc	k r a v a ŋ k
craff	k r aː f
craffter	k r a f t ɛ r
crafiad	k r a v j a d
crafion	k r a v j ɔ n
crafog	k r a v ɔ ɡ
crafu	k r a v i
cragen	k r a ɡ ɛ n
cragennog	k r a ɡ ɛ n ɔ ɡ
crai	k r a i̯
craidd	k r a i̯ ð
crair	k r a i̯ r
craith	k r a i̯ θ
cramen	k r a m ɛ n
cramennog	k r a m ɛ n ɔ ɡ
cranc	k r a ŋ k
cranclau	k r a ŋ k l a i̯
crancod	k r a ŋ k ɔ d
cras	k r aː s
crasboeth	k r a s b ɔ ɨ̯ θ
crasboethder	k r a s b ɔ ɨ̯ θ d ɛ r
crasddadrwydd	k r a s ð a d r ʊ i̯ ð
crasfa	k r a s v a
crasfeydd	k r a s v e i̯ ð
crasu	k r a s i
crau	k r a i̯
craw	k r a u̯
crawen	k r a u̯ ɛ n
crawn	k r a u̯ n
creadigol	k r ɛ a d ɪ ɡ ɔ l
creadur	k r ɛ a d ɪ r
creawdwr	k r ɛ a u̯ d ʊ r
crebachiad	k r ɛ b a χ j a d
crech	k r eː χ
cred	k r eː d
creda	k r eː d a
credadwy	k r ɛ d a d u
credaf	k r eː d a
credant	k r eː d a n t
credent	k r eː d ɛ n t
creder	k r eː d ɛ r
credes	k r eː d ɛ s
credet	k r eː d ɛ t
credi	k r eː d i
credit	k r eː d ɪ t
credo	k r eː d ɔ
credu	k r eː d i
credyd	k r eː d ɪ d
credydau	k r ɛ d ə d a i̯
credydwr	k r ɛ d ə d ʊ r
creedig	k r e ɛ d ɪ ɡ
cref	k r eː v
crefu	k r eː v i
crefydd	k r eː v ɪ ð
crefyddol	k r ɛ v ə ð ɔ l
creg	k r eː ɡ
cregen	k r eː ɡ ɛ n
cregyn	k r eː ɡ ɪ n
cregynna	k r ɛ ɡ ə n a
cregynnem	k r ɛ ɡ ə n ɛ m
cregynnog	k r ɛ ɡ ə n ɔ ɡ
cregynwisg	k r ɛ ɡ ə n w ɪ s ɡ
crehyrod	k r ɛ h ə r ɔ d
creigafal	k r e i̯ ɡ a v a l
creigardd	k r e i̯ ɡ a r ð
creigfa	k r e i̯ ɡ v a
creigle	k r e i̯ ɡ l ɛ
creision	k r e i̯ s j ɔ n
creisionen	k r e i̯ s j oː n ɛ n
creisionllyd	k r e i̯ s j ɔ n ɬ ɪ d
creithiau	k r e i̯ θ j a i̯
creithig	k r e i̯ θ ɪ ɡ
creithiog	k r e i̯ θ j ɔ ɡ
crempog	k r ɛ m p ɔ ɡ
crempogog	k r ɛ m p oː ɡ ɔ ɡ
creta	k r ɛ t a
creto	k r ɛ t ɔ
creu	k r e i̯
crewyr	k r ɛ u̯ ɪ r
cri	k r iː
crib	k r iː b
cribau	k r iː b a i̯
cribddail	k r ɪ b ð a i̯ l
cribddeilio	k r ɪ b ð e i̯ l j ɔ
cribell	k r iː b ɛ ɬ
cribfelyn	k r ɪ b v eː l ɪ n
cribin	k r iː b ɪ n
cribog	k r iː b ɔ ɡ
cribwyn	k r ɪ b w ɪ n
criced	k r ɪ k ɛ d
crimog	k r ɪ m ɔ ɡ
crin	k r iː n
crintachrwydd	k r ɪ n t a χ r ʊ i̯ ð
crio	k r i o
cripian	k r ɪ p j a n
cripio	k r ɪ p j ɔ
crist	k r ɪ s d
cristion	k r ɪ s d j ɔ n
cristionogaeth	k r ɪ s d j ɔ n oː ɡ a i̯ θ
cristionogion	k r ɪ s d j ɔ n ɔ ɡ j ɔ n
cristnogaeth	k r ɪ s d n oː ɡ a i̯ θ
cristnoges	k r ɪ s t n oː ɡ ɛ s
cristnogion	k r ɪ s d n ɔ ɡ j ɔ n
cristnogol	k r ɪ s d n oː ɡ ɔ l
criw	k r ɪ u̯
croatia	k r ɔ a t j a
crocbren	k r ɔ k b r ɛ n
croch	k r oː χ
crochlefain	k r ɔ χ l eː v a i̯ n
crocodeil	k r ɔ k ɔ d e i̯ l
crocodeilod	k r ɔ k ɔ d e i̯ l ɔ d
croen	k r oː n
croeniog	k r ɔ i̯ n j ɔ ɡ
croenliw	k r ɔ i̯ n l ɪ u̯
croes	k r oː s
croesair	k r ɔ i̯ s a i̯ r
croesawu	k r ɔ i̯ s a u̯ i
croesbren	k r ɔ i̯ s b r ɛ n
croesfa	k r ɔ i̯ s v a
croesfan	k r ɔ i̯ s v a n
croesfar	k r ɔ i̯ s v a r
croesffordd	k r ɔ i̯ s f ɔ r ð
croesgad	k r ɔ i̯ s ɡ a d
croeshoeliad	k r ɔ i̯ s h ɔ i̯ l j a d
croeshoelio	k r ɔ i̯ s h ɔ i̯ l j ɔ
croesholi	k r ɔ i̯ s h oː l i
croesi	k r ɔ i̯ s i
croesiad	k r ɔ i̯ ʃ a d
croeslath	k r ɔ i̯ s l a θ
croeso	k r ɔ i̯ s ɔ
croesryw	k r ɔ i̯ s r ɪ u̯
croestoriad	k r ɔ i̯ s d ɔ r j a d
croestorri	k r ɔ i̯ s d ɔ r i
crofen	k r oː v ɛ n
crog	k r oː ɡ
crogen	k r oː ɡ ɛ n
crogfach	k r ɔ ɡ v a χ
croglen	k r ɔ ɡ l ɛ n
crogwr	k r oː ɡ ʊ r
crom	k r ɔ m
cromad	k r ɔ m a d
crombil	k r ɔ m b ɪ l
cromen	k r ɔ m ɛ n
cromfach	k r ɔ m v a χ
cromiwm	k r ɔ m j ʊ m
cromlech	k r ɔ m l ɛ χ
cron	k r ɔ n
cronadur	k r ɔ n a d ɪ r
cronfa	k r ɔ n v a
croniant	k r ɔ n j a n t
cronni	k r ɔ n i
cropa	k r ɔ p a
croth	k r oː θ
crothell	k r oː θ ɛ ɬ
croyw	k r ɔ i̯ u
cructardd	k r ɪ k t a r ð
crud	k r iː d
crug	k r iː ɡ
crugiau	k r ɪ ɡ j a i̯
crugog	k r iː ɡ ɔ ɡ
crwb	k r uː b
crwban	k r uː b a n
crwbanod	k r ʊ b a n ɔ d
crwm	k r ʊ m
crwman	k r uː m a n
crwn	k r ʊ n
crwst	k r ʊ s d
crwt	k r ʊ t
crwth	k r uː θ
crwydr	k r ʊ i̯ d r
crwydryn	k r u i̯ d r ɪ n
crwyn	k r ʊ i̯ n
crwys	k r ʊ ɪ̯ s
crych	k r iː χ
crychach	k r ə χ a χ
crychaf	k r ə χ a v
crychau	k r ə χ a i̯
crychdon	k r ə χ d ɔ n
crychdonni	k r ə χ d ɔ n i
cryched	k r ə χ ɛ d
crychferwi	k r ə χ v ɛ r w i
crychiad	k r ə χ j a d
crychion	k r ə χ j ɔ n
crychlamu	k r ə χ l a m i
crychnaid	k r ə χ n a i̯ d
crychneidio	k r ə χ n e i̯ d j ɔ
crychu	k r ə χ i
crychydd	k r ə χ ɪ ð
crychyddion	k r ə χ ə ð j ɔ n
crychyddod	k r ə χ ə ð ɔ d
cryd	k r iː d
crydd	k r iː ð
cryddiaeth	k r ə ð j a i̯ θ
cryddion	k r ə ð j ɔ n
crydiau	k r ə d j a i̯
cryf	k r iː v
cryfder	k r ə v d ɛ r
cryfhau	k r ə v h a i̯
cryg	k r iː ɡ
cryman	k r ə m a n
crymu	k r ə m i
cryn	k r ɪ n
crynddail	k r ə n ð a i̯ l
cryndod	k r ə n d ɔ d
crynhoad	k r ə n h oː a d
crynhoi	k r ə n h ɔ i̯
crynoddisg	k r ə n o ð ɪ s ɡ
crynu	k r ə n i
crynwr	k r ə n ʊ r
crynwyr	k r ə n w ɪ r
crypton	k r ɪ p t ɔ n
crys	k r iː s
crysalis	k r ɪ s a l ɪ s
crysau	k r ə s a i̯
crythau	k r ə θ a i̯
crât	k r aː t
crêt	k r eː t
crëu	k r eː i
crëwr	k r eː ʊ r
crëyr	k r eː ɪ r
crŷn	k r iː n
cthef	kᵊ θ ɛ v
cthem	kᵊ θ ɛ m
cu	k iː
cucumer	k ɪ k ɪ m ɛ r
cudd	k iː ð
cuddfa	k ɪ ð v a
cuddiad	k ɪ ð j a d
cuddio	k ɪ ð j ɔ
cuddliw	k ɪ ð l ɪ u̯
cudyll	k iː d ɪ ɬ
