aba	a b a
dýka	d iː k a
dĺžeň	d l̩ː ʒ e ɲ
dĺžka	d l̩ː ʃ k a
dĺžne	d l̩ː ʒ ɲ e
dĺžni	d l̩ː ʒ ɲ i
dĺžňa	d l̩ː ʒ ɲ a
dĺžňami	d l̩ː ʒ ɲ a m i
dĺžňoch	d l̩ː ʒ ɲ ɔ x
dĺžňom	d l̩ː ʒ ɲ ɔ m
dĺžňov	d l̩ː ʒ ɲ ɔ v
dĺžňu	d l̩ː ʒ ɲ u
dňa	d ɲ a
dňami	d ɲ a m i
dňoch	d ɲ ɔ x
dŕžava	d r̩ː ʒ a v a
dŕžavní	d r̩ː ʒ a v ɲ iː
dž	d͡ʒ
džak	d͡ʒ a k
džamija	d͡ʒ a m i j a
džber	d͡ʒ b e r
džbán	d͡ʒ b aː n
džem	d͡ʒ ɛ m
džersej	d͡ʒ e r s e j
džerseja	d͡ʒ e r s e j a
džersejmi	d͡ʒ e r s e j m i
džersejový	d͡ʒ e r s e j ɔ v iː
džez	d͡ʒ e s
džhárkhand	d͡ʒ ɦ aː r ɡ ɦ a n t
džihád	d͡ʒ i ɦ aː t
džihádista	d͡ʒ i ɦ aː d i s t a
džin	d͡ʒ i n
džinizmus	d͡ʒ i n i z m u s
džokej	d͡ʒ ɔ k e j
džokeja	d͡ʒ ɔ k e j a
džokejka	d͡ʒ ɔ k e j k a
džokejský	d͡ʒ ɔ k e j s k iː
džudo	d͡ʒ u d ɔ
džungľa	d͡ʒ u n ɡ ʎ a
džupina	d͡ʒ u p i n a
džíp	d͡ʒ iː p
džús	d͡ʒ uː s
džúsový	d͡ʒ uː s ɔ v iː
e	e
eben	e b e n
echokardiogram	e x ɔ k a r d i ɔ ɡ r a m
echolokácia	e x ɔ l ɔ k aː t͡s i a
eder	e ɟ e r
edita	e d i t a
editovanie	e d i t ɔ v a ɲ ɪ̯ e
editovať	e ɟ i t ɔ v a c
edituje	e ɟ i t u j e
editujem	e ɟ i t u j e m
editujeme	e ɟ i t u j e m e
editujete	e ɟ i t u j e c e
edituješ	e ɟ i t u j e ʃ
editujú	e ɟ i t u j uː
edmund	ɛ d m u n d
eduard	ɛ d u a r d
efedra	e f e d r a
efektívny	e f e k c iː v n i
efendi	e f e n d i
efezanom	e f e z a n ɔ m
egocentrizmus	e ɡ ɔ t͡s e n t r i z m u s
egoistický	e ɡ ɔ i s c i t͡s k iː
egreš	e ɡ r e ʃ
egreša	e ɡ r e ʃ a
egrešový	e ɡ r e ʃ ɔ v iː
egrešík	e ɡ r e ʃ iː k
egrešíka	e ɡ r e ʃ iː k a
egrešíky	e ɡ r e ʃ iː k i
egypt	ɛ ɡ i p t
egypte	e ɡ i p c e
egyptológia	e ɡ i p t ɔ l ɔː ɡ i a
egyptský	ɛ ɡ i p t s k iː
egypťan	ɛ ɡ i p c a n
egypťanka	e ɡ i p c a n k a
einsteinium	a j n ʃ t a j n ɪ j ʊ m
ejakulovať	e j a k u l ɔ v a c
ejakulácia	e j a k u l aː t͡s ɪ̯ a
eklampsia	e k l a m p s i a
eklekticizmus	e k l e k t i t͡s i z m u s
eklektizmus	e k l e k t i z m u s
ekofyziológia	e k ɔ f i z i ɔ l ɔː ɡ i a
ekologička	e k ɔ l ɔ ɡ i t͡ʃ k a
ekológ	e k ɔ l ɔː k
ekonomizácia	e k ɔ n ɔ m i z aː t͡s i a
ekumenizmus	e k u m e n i z m u s
ekvivalentný	e k v i v a ʎ e n t n iː
ekvádor	e k v aː d ɔ r
ela	e l a
elatív	e l a t iː v
elektrifikovať	e ʎ e k t r i f i k ɔ v a c
elektrifikácia	e l e k t r i f i k aː t͡s i a
elektrika	e l e k t r i k a
elektrina	e l e k t r i n a
električka	e l e k t r i t͡ʃ k a
električky	e ʎ e k t r i t͡ʃ k i
elektrolyt	e l e k t r ɔ l i t
elektromagnetický	ɛ l ɛ k t r ɔ m a ɡ n ɛ t i t͡s k iː
elektromagnetizmus	e l e k t r ɔ m a ɡ n e t i z m u s
elektroterapia	e l e k t r ɔ t e r a p i a
elektroterapie	e l e k t r ɔ t e r a p i e
elektroterapii	e l e k t r ɔ t e r a p i i
elektroterapiou	e l e k t r ɔ t e r a p i ɔ v
elektroterapiu	e l e k t r ɔ t e r a p i u
elektráreň	e l e k t r aː r e ɲ
element	e l e m e n t
elementu	e ʎ e m e n t u
elementárny	e ʎ e m e n t aː r n i
elena	e l e n a
eleonóra	e l e ɔ n ɔː r a
eliminovať	e ʎ i m i n ɔ v a c
eliminácia	e l i m i n aː t͡s i a
eliáš	e ʎ i aː ʃ
eliška	e ʎ i ʃ k a
elvíra	e l v iː r a
elégia	e l eː ɡ i a
em	ɛ m
ema	e m a
emancipácia	e m a n t͡s i p aː t͡s i a
emanuel	ɛ m a n u ɛ ɫ
embargo	e m b a r ɡ ɔ
embólia	e m b ɔː l i a
embólie	ɛ m b ɔː l i ɛ
emigroval	e m i ɡ r ɔ v a l
emigrovala	e m i ɡ r ɔ v a l a
emigrovať	e m i ɡ r ɔ v a c
emigrácia	e m i ɡ r aː t͡s i a
emil	e m i l
eminentnej	e m i ɲ e n t ɲ e j
eminentnom	e m i ɲ e n t n ɔ m
eminentnou	e m i ɲ e n t n ɔ v
eminentná	e m i ɲ e n t n aː
eminentné	e m i ɲ e n t n eː
eminentného	e m i ɲ e n t n eː ɦ ɔ
eminentnému	e m i ɲ e n t n eː m u
eminentní	e m i ɲ e n t ɲ iː
eminentnú	e m i ɲ e n t n uː
eminentný	e m i ɲ e n t n iː
eminentných	e m i ɲ e n t n iː x
eminentným	e m i ɲ e n t n iː m
eminentnými	e m i ɲ e n t n iː m i
emocionálne	e m ɔ t͡s i ɔ n aː l ɲ e
emocionálnosť	e m ɔ t͡s i ɔ n aː l n ɔ s c
emocionálny	e m ɔ t͡s i ɔ n aː l n i
emília	e m iː l i a
encyklopédia	e n t͡s i k l ɔ p eː d i a
endemit	e n d e m i t
endonymum	e n d ɔ n i m u m
enkláva	e n k l aː v a
entomológia	e n t ɔ m ɔ l ɔː ɡ i a
entozoon	e n t ɔ z ɔ ɔ n
entuziastický	e n t u z i a s t i t͡s k iː
entuziazmus	e n t u z i a z m u s
enunciácia	e n u n t͡s i aː t͡s i a
environment	e n v i r ɔ n m e n t
environmentálny	e n v i r ɔ n m e n t aː l n i
enzým	e n z iː m
epidemiológia	e p i d e m i ɔ l ɔː ɡ i a
epidémia	e p i d eː m i a
epikuros	ɛ p i k u r ɔ s
epilepsia	e p i l e p s i a
epir	ɛ p i r
epistemológia	e p i s t e m ɔ l ɔː ɡ i a
epizóda	e p i z ɔː d a
eponym	e p ɔ n i m
erb	e r p
erbium	ɛ r b i u m
erdžali	e r d͡ʒ a ʎ i
erdžať	e r d͡ʒ a c
erdží	e r d͡ʒ iː
erekcia	e r e k t͡s i a
ergatív	e r ɡ a t iː v
ergonómia	e r ɡ ɔ n ɔː m i a
erik	ɛ r i k
erika	e r i k a
eritrea	e r i t r e a
ernest	e r n e s t
erno	ɛ r n ɔ
erodoval	e r ɔ d ɔ v a l
erodovať	e r ɔ d ɔ v a c
erotický	e r ɔ c i t͡s k iː
erupcia	e r u p t͡s i a
ervín	ɛ r v iː n
esej	e s e j
esencia	e s e n t͡s i a
eskalovať	e s k a l ɔ v a c
eskalácia	e s k a l aː t͡s i a
eskalátor	e s k a l aː t ɔ r
eskortovať	e s k ɔ r t ɔ v a c
esplanáda	e s p l a n aː d a
ester	ɛ s t ɛ r
estera	ɛ s t ɛ r a
estrogén	e s t r ɔ ɡ eː n
estónsko	e s t ɔː n s k ɔ
estónčina	e s t ɔː n t͡ʃ i n a
eta	e t a
etanol	e t a n ɔ l
etela	e t e l a
etický	e c i t͡s k iː
etiópia	e t i ɔː p i a
etnocentrizmus	e t n ɔ t͡s e n t r i z m u s
etnológia	e t n ɔ l ɔː ɡ i a
etnonymum	e t n ɔ n i m u m
etológia	e t ɔ l ɔː ɡ i a
etylén	e t i l eː n
etymologička	e t i m ɔ l ɔ ɡ i t͡ʃ k a
etymológ	e t i m ɔ l ɔː k
etymológia	e t i m ɔ l ɔː ɡ i a
eufemizmus	e u f e m i z m u s
eufrat	ɛ u̯ f r a t
eugen	ɛ u̯ ɡ ɛ n
eugenika	e v ɡ e n i k a
eugénia	e v ɡ eː n i a
eukalyptus	e u k a l i p t u s
euro	ɛ u̯ r ɔ
eurokomisár	e u r ɔ k ɔ m i s aː r
eurokomisárka	e u r ɔ k ɔ m i s aː r k a
europarlament	e u r ɔ p a r l a m e n t
europoslanci	e u r ɔ p ɔ s l a n t͡s i
europoslanec	e u r ɔ p ɔ s l a ɲ e t͡s
euroskepticizmus	e u r ɔ s k e p t i t͡s i z m u s
euroskeptický	e u r ɔ s k e p c i t͡s k iː
európa	e u r ɔː p a
európe	ɛ u̯ r ɔː p ɛ
európium	ɛ u̯ r ɔː p i u m
európou	ɛ u̯ r ɔː p ɔ u̯
európsky	ɛ u̯ r ɔː p s k i
európu	ɛ u̯ r ɔː p u
európy	e u r ɔː p i
eutanázia	e v t a n aː z i a
eva	e v a
evanjelium	e v a ɲ ɪ̯ e l i u m
evidencia	e v i d e n t͡s i a
evolúcia	e v ɔ l uː t͡s i a
exhumovať	e ɡ z ɦ u m ɔ v a c
exil	e ɡ z i l
existencia	e ɡ z i s t e n t͡s i a
exkavátor	e k s k a v aː t ɔ r
exodus	ɛ k s ɔ d u s
exoetnonymum	e ɡ z ɔ e t n ɔ n i m u m
exonymum	e ɡ z ɔ n i m u m
exorcizmus	e ɡ z ɔ r t͡s i z m u s
experimentovať	e k s p e r i m e n t ɔ v a c
explodovať	e k s p l ɔ d ɔ v a c
explozívny	e k s p l ɔ z iː v n i
exportovať	e k s p ɔ r t ɔ v a c
expresívny	e k s p r e s iː v n i
exspirácia	e k sː p i r aː t͡s i a
extatický	e k s t a c i t͡s k iː
extradícia	e k s t r a d iː t͡s i a
extravagancia	e k s t r a v a ɡ a n t͡s i a
extrémizmus	e k s t r eː m i z m u s
extáza	e k s t aː z a
extáze	ɛ k s t aː z ɛ
ezdráš	ɛ z d r aː ʃ
ezechiel	e z e x i e l
eľko	e ʎ k ɔ
ešte	e ʃ c e
eštok	e ʃ t ɔ k
f	f
fabian	f a b ɪ̯ a n
fabián	f a b i aː n
fabuš	f a b u ʃ
faerský	f a ɛ r s k iː
faerčan	f a ɛ r t͡ʃ a n
faerčanka	f a ɛ r t͡ʃ a ŋ k a
faerčina	f a e r t͡ʃ i n a
faerčiny	f a e r t͡ʃ i n i
fagot	f a ɡ ɔ t
fajdek	f a j d e k
fajka	f a j k a
fajmon	f a j m ɔ n
fajnor	f a j n ɔ r
fajočka	f a j ɔ t͡ʃ k a
fajčenie	f a j t͡ʃ ɛ ɲ i̯ ɛ
fajčia	f a j t͡ʃ ɪ̯ a
fajčiar	f a j t͡ʃ ɪ̯ a r
fajčiareň	f a j t͡ʃ ɪ̯ a r e ɲ
fajčil	f a j t͡ʃ i l
fajčila	f a j t͡ʃ i l a
fajčiť	f a j t͡ʃ i c
fajčí	f a j t͡ʃ iː
fajčím	f a j t͡ʃ iː m
fajčíme	f a j t͡ʃ iː m e
fajčíš	f a j t͡ʃ iː ʃ
faka	f a k a
fakami	f a k a m i
fako	f a k ɔ
fakovia	f a k ɔ v ɪ̯ a
fakt	f a k t
faktami	f a k t a m i
fakte	f a k c e
faktoch	f a k t o x
faktom	f a k t o m
faktorizácia	f a k t ɔ r i z aː t͡s i a
faktoriál	f a k t ɔ r i aː l
faktov	f a k t o u̯
faktový	f a k t ɔ v iː
faktu	f a k t u
fakturovať	f a k t u r ɔ v a c
fakty	f a k t i
faktúra	f a k t uː r a
fakľa	f a k ʎ a
falat	f a l a t
falzifikovať	f a l z i f i k ɔ v a c
falzifikácia	f a l z i f i k aː t͡s i a
fanatici	f a n a c i t͡s i
fanatický	f a n a t i t͡s k iː
fanatik	f a n a t i k
fano	f a n ɔ
fantóm	f a n t ɔː m
fapšo	f a p ʃ ɔ
farandola	f a r a n d ɔ l a
faraón	f a r a ɔː n
faraónsky	f a r a ɔː n s k i
farba	f a r b a
farbu	f a r b u
farda	f a r d a
farizej	f a r i z e j
farkas	f a r k a s
farkaš	f a r k a ʃ
farkašovský	f a r k a ʃ ɔ v s k iː
farmakológia	f a r m a k ɔ l ɔː ɡ ɪ̯ a
farmácia	f a r m aː t͡s i a
farnosť	f a r n ɔ s c
fascinácia	f a s t͡s i n aː t͡s i a
fasáda	f a s aː d a
fatamorganický	f a t a m ɔ r ɡ a ɲ i t͡s k iː
fatamorgána	f a t a m ɔ r ɡ aː n a
faul	f a u l
faulovať	f a u l ɔ v a c
faxovať	f a k s ɔ v a c
fazule	f a z u ʎ e
fazuliach	f a z u ʎ ɪ̯ a x
fazuľa	f a z u ʎ a
fazuľami	f a z u ʎ a m i
fazuľka	f a z u ʎ k a
fazuľou	f a z u ʎ ɔ v
fazuľový	f a z u ʎ ɔ v iː
fazuľu	f a z u ʎ u
fazúľ	f a z uː ʎ
fašiang	f a ʃ ɪ̯ a n k
fašiangový	f a ʃ ɪ̯ a n ɡ ɔ v iː
fašista	f a ʃ i s t a
fašistický	f a ʃ i s c i t͡s k iː
fašistka	f a ʃ i s t k a
fašizmu	f a ʃ i z m u
fašizmus	f a ʃ i z m u s
faško	f a ʃ k ɔ
fašánek	f a ʃ aː n e k
február	f ɛ b r u aː r
februára	f ɛ b r u aː r a
februáre	f ɛ b r u aː r e
februári	f ɛ b r u aː r i
februármi	f ɛ b r u aː r m i
februároch	f ɛ b r u aː r ɔ x
februárom	f ɛ b r u aː r ɔ m
februárov	f ɛ b r u aː r ɔ u̯
februárový	f e b r u aː r ɔ v iː
februáru	f ɛ b r u aː r u
federalizmus	f e d e r a l i z m u s
federalizovať	f e d e r a l i z ɔ v a c
federalizácia	f e d e r a l i z aː t͡s i a
federálny	f e ɟ e r aː l n i
fedor	f ɛ d ɔ r
fedorco	f e d ɔ r t͡s ɔ
fedorko	f e d ɔ r k ɔ
fedák	f e d aː k
fejsák	f e j s aː k
fekete	f e k e t e
felčiar	f e l t͡ʃ ɪ̯ a r
felčiarka	f e l t͡ʃ ɪ̯ a r k a
felčiarsky	f e l t͡ʃ ɪ̯ a r s k i
feminizmus	f e m i n i z m u s
feminizácia	f e m i n i z aː t͡s i a
fenológia	f e n ɔ l ɔː ɡ i a
fenomenalizmus	f e n ɔ m e n a l i z m u s
fenomenálny	f e n ɔ m e n aː l n i
fenotyp	f e n ɔ t i p
fenícia	f e n iː t͡s i a
ferdinand	f ɛ r d i n a n d
ferenčík	f e r e n t͡ʃ iː k
ferianc	f e r ɪ̯ a n t͡s
ferko	f e r k ɔ
fermentovať	f e r m e n t ɔ v a c
fermentácia	f e r m e n t aː t͡s i a
fermež	f e r m e ʃ
fermium	f ɛ r m i u m
fernet	f e r n e t
fero	f ɛ r ɔ
feromón	f e r ɔ m ɔː n
ferus	f e r u s
festival	f e s t i v a l
fetoval	f e t ɔ v a l
fetovanie	f e t ɔ v a ɲ ɪ̯ e
fetovaní	f e t ɔ v a ɲ iː
fetovať	f e t ɔ v a c
fetuje	f e t u j e
fetujem	f e t u j e m
fetujeme	f e t u j e m e
fetujete	f e t u j e c e
fetuješ	f e t u j e ʃ
fetujú	f e t u j uː
feudalizmu	f e v d a l i z m u
feudalizmus	f e v d a l i z m u s
feudálny	f e u d aː l n i
feňák	f e ɲ aː k
fiala	f ɪ̯ a l a
fialová	f ɪ̯ a l ɔ v aː
ficek	f i t͡s e k
ficová	f i t͡s ɔ v aː
fidži	f i d͡ʒ i
figa	f i ɡ a
figovník	f i ɡ ɔ v ɲ iː k
figovníka	f i ɡ ɔ v ɲ iː k a
figovníkový	f i ɡ ɔ v ɲ iː k ɔ v iː
figura	f i ɡ u r a
fik	f i k
fila	f i l a
filantropia	f i l a n t r ɔ p i a
filemonovi	f i l e m ɔ n ɔ v i
filip	f i ʎ i p
filipanom	f i ʎ i p a n ɔ m
filipíny	f i ʎ i p iː n i
film	f i l m
filmografia	f i l m ɔ ɡ r a f i a
filmovať	f i l m ɔ v a c
filo	f i l ɔ
filologička	f i l ɔ l ɔ ɡ i t͡ʃ k a
filológ	f i l ɔ l ɔː k
filológia	f i l ɔ l ɔː ɡ i a
filoména	f i l ɔ m eː n a
filozofia	f i l ɔ z ɔ f i a
finalizmus	f i n a l i z m u s
finalizovať	f i n a ʎ i z ɔ v a c
finalizácia	f i n a l i z aː t͡s i a
finančný	f i n a n t͡ʃ n iː
findra	f i n d r a
finišovať	f i ɲ i ʃ ɔ v a c
finále	f i n aː ʎ e
firn	f i r n
fistula	f i s t u l a
fiľko	f i ʎ k ɔ
fišer	f i ʃ e r
fjord	f j ɔ r t
flander	f l a n d e r
flauta	f l a u t a
flautista	f l a u t i s t a
flautistka	f l a u c i s t k a
fleróvium	f l ɛ r ɔː v ɪ j ʊ m
fliačik	f ʎ ɪ̯ a t͡ʃ i k
flirtovať	f ʎ i r t ɔ v a c
florida	f l ɔ r i d a
florián	f ɫ ɔ r i aː n
fluorescencia	f l u ɔ r e s t͡s e n t͡s i a
fluorid	f l u ɔ r i t
fluoridácia	f l u ɔ r i d aː t͡s i a
fluór	f l u ɔː r
fojt	f ɔ j t
fonetika	f ɔ n e t i k a
fonograf	f ɔ n ɔ ɡ r a f
fonografický	f ɔ n ɔ ɡ r a f i t͡s k iː
fonologický	f ɔ n ɔ l ɔ ɡ i t͡s k iː
fonológia	f ɔ n ɔ l ɔː ɡ i a
fonéma	f ɔ n eː m a
formaldehyd	f ɔ r m a l d e ɦ i t
formalizmus	f ɔ r m a l i z m u s
formula	f ɔ r m u l a
formulovať	f ɔ r m u l ɔ v a c
formálne	f ɔ r m aː l ɲ e
formálny	f ɔ r m aː l n i
fosfor	f ɔ s f ɔ r
fosgén	f ɔ z ɡ eː n
fosilizovať	f ɔ s i ʎ i z ɔ v a c
fosilizácia	f ɔ s i l i z aː t͡s i a
fotka	f ɔ t k a
fotogenický	f ɔ t ɔ ɡ ɛ n i t͡s k iː
fotograf	f ɔ t ɔ ɡ r a f
fotografia	f ɔ t ɔ ɡ r a f i a
fotografiami	f ɔ t ɔ ɡ r a f i a m i
fotografický	f ɔ t ɔ ɡ r a f i t͡s k iː
fotografista	f ɔ t ɔ ɡ r a f i s t a
fotografistka	f ɔ t ɔ ɡ r a f i s t k a
fotografií	f ɔ t ɔ ɡ r a f i iː
fotografovať	f ɔ t ɔ ɡ r a f ɔ v a c
fotografuje	f ɔ t ɔ ɡ r a f u j e
fotografujem	f ɔ t ɔ ɡ r a f u j e m
fotografujeme	f ɔ t ɔ ɡ r a f u j e m e
fotografujete	f ɔ t ɔ ɡ r a f u j e c e
fotografuješ	f ɔ t ɔ ɡ r a f u j e ʃ
fotografujú	f ɔ t ɔ ɡ r a f u j uː
fotokópia	f ɔ t ɔ k ɔː p i a
fotta	f ɔ tː a
foxhound	f ɔ ɡ z ɦ a u n t
foxtrot	f ɔ k s t r ɔ t
foyer	f ɔ a j eː
fragment	f r a ɡ m e n t
frajer	f r a j e r
frajerka	f r a j e r k a
frajerský	f r a j e r s k iː
frajerôčka	f r a j e r u̯ ɔ t͡ʃ k a
fraktúra	f r a k t uː r a
franc	f r a n t͡s
francium	f r a n t͡s ɪ j ʊ m
francúzsko	f r a n t͡s uː s k ɔ
francúzština	f r a n t͡s uː ʃ c i n a
franek	f r a n e k
franeková	f r a ɲ e k ɔ v aː
frank	f r a n k
franko	f r a n k ɔ
frano	f r a n ɔ
františek	f r a n c i ʃ e k
františka	f r a n c i ʃ k a
frapantný	f r a p a n t n iː
frazeologický	f r a z e ɔ l ɔ ɡ i t͡s k iː
frazeológia	f r a z e ɔ l ɔː ɡ i a
fraňo	f r a ɲ ɔ
frederik	f r ɛ d ɛ r i k
freetown	f r iː t a u n
frekvencia	f r e k v e n t͡s i a
frekventatívum	f r e k v e n t a t iː v u m
frenológia	f r e n ɔ l ɔː ɡ i a
frflať	f r̩ v l a c
frfle	f r̩ v ʎ e
frflú	f r̩ v l uː
fridrich	f r i d r i x
friga	f r i ɡ a
frigidita	f r i ɡ i d i t a
frigidnosť	f r i ɡ i d n ɔ s c
frigidný	f r i ɡ i d n iː
frizér	f r i z eː r
frk	f r̩ k
frkan	f r̩ k a n
frlajs	f r̩ l a j s
fronc	f r ɔ n t͡s
frustrácia	f r u s t r aː t͡s i a
fruštik	f r u ʃ c i k
frátrik	f r aː t r i k
ftáčnik	f t aː t͡ʃ ɲ i k
fujara	f u j a r a
fujarôčka	f u j a r u̯ ɔ t͡ʃ k a
fuják	f u j aː k
fulajtár	f u l a j t aː r
fundamentalizmus	f u n d a m e n t a l i z m u s
fundamentálne	f u n d a m e n t aː l ɲ e
fundamentálny	f u n d a m e n t aː l n i
funkcionálny	f u n k t͡s i ɔ n aː l n i
furdík	f u r ɟ iː k
furfural	f u r f u r a l
furfurale	f u r f u r a ʎ e
furfuralu	f u r f u r a l u
furman	f u r m a n
furt	f u r t
futbal	f u d b a l
futbalista	f u d b a l i s t a
futbalistka	f u d b a ʎ i s t k a
futbalový	f u d b a l ɔ v iː
futrál	f u t r aː l
futurizmus	f u t u r i z m u s
fytonymum	f i t ɔ n i m u m
fyzik	f i z i k
fyzika	f i z i k a
fyzikálne	f i z i k aː l ɲ e
fyzikálni	f i z i k aː l ɲ i
fyzikálny	f i z i k aː l n i
fyziológia	f i z i ɔ l ɔː ɡ i a
fyzioterapia	f i z i ɔ t e r a p i a
fám	f aː m
félix	f ɛː l i k s
fén	f eː n
fí	f iː
fígeľ	f iː ɡ e ʎ
fín	f iː n
fínka	f iː n k a
fínok	f iː n ɔ k
fínska	f iː n s k a
fínsko	f iː n s k ɔ
fínsky	f iː n s k i
fínčina	f iː n t͡ʃ i n a
föhn	f ø n
fön	f ø n
föne	f ø ɲ e
fönu	f ø n u
fúka	f uː k a
fúkajú	f uː k a j uː
fúkal	f uː k a l
fúkať	f uː k a c
fúrik	f uː r i k
fúz	f uː s
fúza	f uː z a
fúzatý	f uː z a t iː
fúze	f uː z e
fúzik	f uː z i k
fúzika	f uː z i k a
fúzmi	f uː z m i
fúzoch	f uː z ɔ x
fúzom	f uː z ɔ m
fúzov	f uː z ɔ v
fúzu	f uː z u
fúzy	f uː z i
fürst	f y r s t
fľaša	f ʎ a ʃ a
fľaška	f ʎ a ʃ k a
g	k
gaba	ɡ a b a
gabaľ	ɡ a b a ʎ
gabon	ɡ a b ɔ n
gaborone	ɡ a b ɔ r ɔ ɲ e
gabriel	ɡ a b r ɪ̯ e l
gabriela	ɡ a b r i e l a
gabužda	ɡ a b u ʒ d a
gabčo	ɡ a p t͡ʃ ɔ
gadolínium	ɡ a d ɔ l iː n i u m
gadži	ɡ a d͡ʒ i
gahér	ɡ a ɦ eː r
gajarský	ɡ a j a r s k iː
gajdica	ɡ a j ɟ i t͡s a
gajdičiar	ɡ a j ɟ i t͡ʃ ɪ̯ a r
gajdoš	ɡ a j d ɔ ʃ
gajdošský	ɡ a j d ɔ ʃ s k iː
gajdy	ɡ a j d i
gajer	ɡ a j e r
galajda	ɡ a l a j d a
galaktický	ɡ a ɫ a k t i t͡s k iː
galanda	ɡ a l a n d a
galanta	ɡ a l a n t a
galaxia	ɡ a l a k s i a
galaxiami	ɡ a l a k s i a m i
galaxie	ɡ a l a k s i e
galaxii	ɡ a l a k s i i
galaxiou	ɡ a l a k s i o u̯
galaxiu	ɡ a l a k s i u
galaxiách	ɡ a l a k s i aː x
galaxiám	ɡ a l a k s i aː m
galaxií	ɡ a l a k s i iː
galaťanom	ɡ a l a c a n ɔ m
galbavý	ɡ a l b a v iː
galeóna	ɡ a l e ɔː n a
galina	ɡ a ʎ i n a
galis	ɡ a ʎ i s
galko	ɡ a l k ɔ
galla	ɡ a lː a
gallo	ɡ a lː ɔ
galvanizovať	ɡ a l v a ɲ i z ɔ v a c
galvanizácia	ɡ a l v a n i z aː t͡s i a
galéria	ɡ a l eː r i a
galícijčina	ɡ a ʎ iː t͡s i j t͡ʃ i n a
galús	ɡ a l uː s
gambia	ɡ a m b i a
gambit	ɡ a m b i t
gamboš	ɡ a m b ɔ ʃ
gangréna	ɡ a n ɡ r eː n a
ganč	ɡ a n t͡ʃ
garabík	ɡ a r a b iː k
garaj	ɡ a r a j
garantovať	ɡ a r a n t ɔ v a c
garbiar	ɡ a r b ɪ̯ a r
garbiarka	ɡ a r b ɪ̯ a r k a
gardlo	ɡ a r d l ɔ
gardénia	ɡ a r d eː n i a
gardénie	ɡ a r d eː n i e
gardénií	ɡ a r d eː ɲ i iː
garsónka	ɡ a r s ɔː n k a
garsónok	ɡ a r s ɔː n ɔ k
garád	ɡ a r aː t
garáž	ɡ a r aː ʃ
gaskonsko	ɡ a s k ɔ n s k ɔ
gastrológia	ɡ a s t r ɔ l ɔː ɡ i a
gastronómia	ɡ a s t r ɔ n ɔː m i a
gauč	ɡ a u t͡ʃ
gaučový	ɡ a u t͡ʃ ɔ v iː
gavenda	ɡ a v e n d a
gavorník	ɡ a v ɔ r ɲ iː k
gazda	ɡ a z d a
gazdinka	ɡ a z ɟ i ŋ k a
gazdiná	ɡ a z ɟ i n aː
gazdovský	ɡ a z d ɔ v s k iː
gazela	ɡ a z e l a
gaľa	ɡ a ʎ a
gaľo	ɡ a ʎ ɔ
gaňo	ɡ a ɲ ɔ
gašpar	ɡ a ʃ p a r
gašparides	ɡ a ʃ p a r i d e s
gašparovič	ɡ a ʃ p a r ɔ v i t͡ʃ
gašparových	ɡ a ʃ p a r ɔ v iː x
gašparovýchová	ɡ a ʃ p a r ɔ v iː x ɔ v aː
gažo	ɡ a ʒ ɔ
gažovič	ɡ a ʒ ɔ v i t͡ʃ
gažura	ɡ a ʒ u r a
gdansk	ɡ d a n s k
gdanska	ɡ d a n s k a
gdynia	ɡ d i ɲ a
gebuzina	ɡ e b u z i n a
geier	ɡ e ɪ̯ e r
gejza	ɡ ɛ j z a
gejzír	ɡ e j z iː r
gembický	ɡ e m b i t͡s k iː
gemzický	ɡ e m z i t͡s k iː
genealógia	ɡ e n e a l ɔː ɡ i a
generalizovať	ɡ e ɲ e r a ʎ i z ɔ v a c
generalizácia	ɡ e n e r a l i z aː t͡s i a
generácia	ɡ e n e r aː t͡s i a
generátor	ɡ e n e r aː t ɔ r
generátorový	ɡ e ɲ e r aː t ɔ r ɔ v iː
genetický	ɡ e n e t i t͡s k iː
genitív	ɡ e n i t iː v
genitívny	ɡ e ɲ i c iː v n i
genocída	ɡ e n ɔ t͡s iː d a
genotyp	ɡ e n ɔ t i p
genovéva	ɡ e n ɔ v eː v a
genéza	ɡ e n eː z a
genóm	ɡ e n ɔː m
geografia	ɡ e ɔ ɡ r a f i a
geografický	ɡ e ɔ ɡ r a f i t͡s k iː
geologička	ɡ e ɔ l ɔ ɡ i t͡ʃ k a
geológ	ɡ e ɔ l ɔː k
geológia	ɡ e ɔ l ɔː ɡ i a
geomagnetizmus	ɡ e ɔ m a ɡ n e t i z m u s
geometria	ɡ e ɔ m e t r i a
geonymum	ɡ e ɔ n i m u m
georgia	d͡ʒ ɔː r d͡ʒ a
georgína	ɡ e ɔ r ɡ iː n a
geotermálny	ɡ e ɔ c e r m aː l n i
gera	ɡ e r a
gerboc	ɡ e r b ɔ t͡s
gereg	ɡ e r e k
germanizovať	ɡ e r m a ɲ i z ɔ v a c
germanizácia	ɡ e r m a n i z aː t͡s i a
germánium	ɡ ɛ r m aː n i u m
gerontológia	ɡ e r ɔ n t ɔ l ɔː ɡ i a
gertrúda	ɡ e r t r uː d a
gestikulovať	ɡ e s c i k u l ɔ v a c
gestikulácia	ɡ e s t i k u l aː t͡s i a
gestácia	ɡ e s t aː t͡s i a
gezo	ɡ e z ɔ
geňa	ɡ e ɲ a
