'tain	t ɛ̃
aggrave	a ɡ ʁ a v
aggraver	a ɡ ʁ a v e
aggravé	a ɡ ʁ a v e
aggravée	a ɡ ʁ a v e
aggrégation	a ɡ ʁ e ɡ a s j ɔ̃
agha	a ɡ a
aghas	a ɡ a
agi	a ʒ i
agie	a ʒ i
agies	a ʒ i
agile	a ʒ i l
agilement	a ʒ i l m ɑ̃
agiles	a ʒ i l
agilité	a ʒ i l i t e
agilités	a ʒ i l i t e
agio	a ʒ j o
agiographie	a ʒ j ɔ ɡ ʁ a f i
agiographies	a ʒ j ɔ ɡ ʁ a f i
agiologique	a ʒ j ɔ l ɔ ʒ i k
agios	a ʒ j o
agiotage	a ʒ j ɔ t a ʒ
agioter	a ʒ j ɔ t e
agioteur	a ʒ j ɔ t œ ʁ
agioteuse	a ʒ j ɔ t ø z
agir	a ʒ i ʁ
agira	a ʒ i ʁ a
agirai	a ʒ i ʁ e
agiraient	a ʒ i ʁ ɛ
agirais	a ʒ i ʁ ɛ
agirait	a ʒ i ʁ ɛ
agiras	a ʒ i ʁ a
agirent	a ʒ i ʁ
agirez	a ʒ i ʁ e
agiriez	a ʒ i ʁ j e
agirions	a ʒ i ʁ j ɔ̃
agirons	a ʒ i ʁ ɔ̃
agiront	a ʒ i ʁ ɔ̃
agis	a ʒ i
agissaient	a ʒ i s ɛ
agissais	a ʒ i s ɛ
agissait	a ʒ i s ɛ
agissant	a ʒ i s ɑ̃
agissante	a ʒ i s ɑ̃ t
agisse	a ʒ i s
agissement	a ʒ i s m ɑ̃
agissements	a ʒ i s m ɑ̃
agissent	a ʒ i s
agisses	a ʒ i s
agissez	a ʒ i s e
agissiez	a ʒ i s j e
agissions	a ʒ i s j ɔ̃
agissons	a ʒ i s ɔ̃
agit	a ʒ i
agita	a ʒ i t a
agitai	a ʒ i t e
agitais	a ʒ i t ɛ
agitait	a ʒ i t ɛ
agitant	a ʒ i t ɑ̃
agitas	a ʒ i t a
agitasse	a ʒ i t a s
agitassent	a ʒ i t a s
agitateur	a ʒ i t a t œ ʁ
agitation	a ʒ i t a s j ɔ̃
agitato	a ʒ i t a t o
agitatrice	a ʒ i t a t ʁ i s
agite	a ʒ i t
agitent	a ʒ i t
agiter	a ʒ i t e
agitera	a ʒ i t ʁ a
agiterai	a ʒ i t ʁ e
agiteras	a ʒ i t ʁ a
agites	a ʒ i t
agitprop	a ʒ i t p ʁ ɔ p
agité	a ʒ i t e
agitée	a ʒ i t e
agitées	a ʒ i t e
agités	a ʒ i t e
aglacissage	a ɡ l a s i s a ʒ
aglandau	a ɡ l ɑ̃ d o
aglosse	a ɡ l ɔ s
aglycone	a ɡ l i k ɔ n
aglyphe	a ɡ l i f
agnat	a ɡ n a
agnatique	a ɡ n a t i k
agneaux	a ɲ o
agnelage	a ɲ ə l a ʒ
agnelais	a ɲ ə l ɛ
agneler	a ɲ ə l e
agnelet	a ɲ ə l ɛ
agnelets	a ɲ ə l ɛ
agnelin	a ɲ ə l ɛ̃
agneline	a ɲ ə l i n
agnelle	a ɲ ɛ l
agnelles	a ɲ ɛ l
agnelée	a ɲ ə l e
agnier	a ɲ e
agnière	a ɲ j ɛ ʁ
agnosie	a ɡ n o z i
agnosies	a ɡ n o z i
agnosticisme	a ɡ n ɔ s t i s i s m
agnostique	a ɡ n ɔ s t i k
agnostiques	a ɡ n ɔ s t i k
agnotologie	a ɡ n ɔ t ɔ l ɔ ɡ i
agomphe	a ɡ ɔ̃ f
agonie	a ɡ ɔ n i
agonies	a ɡ ɔ n i
agonique	a ɡ ɔ n i k
agonir	a ɡ ɔ n i ʁ
agonisa	a ɡ ɔ n i z a
agonisai	a ɡ ɔ n i z e
agonisaient	a ɡ ɔ n i z ɛ
agonisais	a ɡ ɔ n i z ɛ
agonisait	a ɡ ɔ n i z ɛ
agonisant	a ɡ ɔ n i z ɑ̃
agonisante	a ɡ ɔ n i z ɑ̃ t
agonisas	a ɡ ɔ n i z a
agonisasse	a ɡ ɔ n i z a s
agonisassent	a ɡ ɔ n i z a s
agonisasses	a ɡ ɔ n i z a s
agonisassiez	a ɡ ɔ n i z a s j e
agonisassions	a ɡ ɔ n i z a s j ɔ̃
agonise	a ɡ ɔ n i z
agonisent	a ɡ ɔ n i z
agoniser	a ɡ ɔ n i z e
agonisera	a ɡ ɔ n i z ʁ a
agoniserai	a ɡ ɔ n i z ʁ e
agoniseraient	a ɡ ɔ n i z ʁ ɛ
agoniserais	a ɡ ɔ n i z ʁ ɛ
agoniserait	a ɡ ɔ n i z ʁ ɛ
agoniseras	a ɡ ɔ n i z ʁ a
agoniserez	a ɡ ɔ n i z ʁ e
agoniseriez	a ɡ ɔ n i z ə ʁ j e
agoniserions	a ɡ ɔ n i z ə ʁ j ɔ̃
agoniserons	a ɡ ɔ n i z ʁ ɔ̃
agoniseront	a ɡ ɔ n i z ʁ ɔ̃
agonises	a ɡ ɔ n i z
agonisez	a ɡ ɔ n i z e
agonisiez	a ɡ ɔ n i z j e
agonisions	a ɡ ɔ n i z j ɔ̃
agonisons	a ɡ ɔ n i z ɔ̃
agoniste	a ɡ ɔ n i s t
agonisâmes	a ɡ ɔ n i z a m
agonisât	a ɡ ɔ n i z a
agonisâtes	a ɡ ɔ n i z a t
agonisèrent	a ɡ ɔ n i z ɛ ʁ
agonisé	a ɡ ɔ n i z e
agora	a ɡ ɔ ʁ a
agoranome	a ɡ ɔ ʁ a n ɔ m
agoraphobe	a ɡ ɔ ʁ a f ɔ b
agoraphobie	a ɡ ɔ ʁ a f ɔ b i
agouti	a ɡ u t i
agrafage	a ɡ ʁ a f a ʒ
agrafe	a ɡ ʁ a f
agrafer	a ɡ ʁ a f e
agrafeuse	a ɡ ʁ a f ø z
agrainage	a ɡ ʁ e n a ʒ
agraire	a ɡ ʁ ɛ ʁ
agrairement	a ɡ ʁ ɛ ʁ m ɑ̃
agrammatical	a ɡ ʁ a m a t i k a l
agrammaticaux	a ɡ ʁ a m a t i k o
agrammatisme	a ɡ ʁ a m a t i s m
agrandi	a ɡ ʁ ɑ̃ d i
agrandie	a ɡ ʁ ɑ̃ d i
agrandies	a ɡ ʁ ɑ̃ d i
agrandir	a ɡ ʁ ɑ̃ d i ʁ
agrandira	a ɡ ʁ ɑ̃ d i ʁ a
agrandirai	a ɡ ʁ ɑ̃ d i ʁ e
agrandiraient	a ɡ ʁ ɑ̃ d i ʁ ɛ
agrandirais	a ɡ ʁ ɑ̃ d i ʁ ɛ
agrandirait	a ɡ ʁ ɑ̃ d i ʁ ɛ
agrandiras	a ɡ ʁ ɑ̃ d i ʁ a
agrandirent	a ɡ ʁ ɑ̃ d i ʁ
agrandirez	a ɡ ʁ ɑ̃ d i ʁ e
agrandiriez	a ɡ ʁ ɑ̃ d i ʁ j e
agrandirions	a ɡ ʁ ɑ̃ d i ʁ j ɔ̃
agrandirons	a ɡ ʁ ɑ̃ d i ʁ ɔ̃
agrandiront	a ɡ ʁ ɑ̃ d i ʁ ɔ̃
agrandis	a ɡ ʁ ɑ̃ d i
agrandissable	a ɡ ʁ ɑ̃ d i s a b l
agrandissaient	a ɡ ʁ ɑ̃ d i s ɛ
agrandissais	a ɡ ʁ ɑ̃ d i s ɛ
agrandissait	a ɡ ʁ ɑ̃ d i s ɛ
agrandissant	a ɡ ʁ ɑ̃ d i s ɑ̃
agrandisse	a ɡ ʁ ɑ̃ d i s
agrandissement	a ɡ ʁ ɑ̃ d i s m ɑ̃
agrandissent	a ɡ ʁ ɑ̃ d i s
agrandisses	a ɡ ʁ ɑ̃ d i s
agrandisseur	a ɡ ʁ ɑ̃ d i s œ ʁ
agrandissez	a ɡ ʁ ɑ̃ d i s e
agrandissiez	a ɡ ʁ ɑ̃ d i s j e
agrandissions	a ɡ ʁ ɑ̃ d i s j ɔ̃
agrandissons	a ɡ ʁ ɑ̃ d i s ɔ̃
agrandit	a ɡ ʁ ɑ̃ d i
agranditif	a ɡ ʁ ɑ̃ d i t i f
agranditive	a ɡ ʁ ɑ̃ d i t i v
agrandîmes	a ɡ ʁ ɑ̃ d i m
agrandît	a ɡ ʁ ɑ̃ d i
agrandîtes	a ɡ ʁ ɑ̃ d i t
agranulocytose	a ɡ ʁ a n y l ɔ s i t o z
agraphie	a ɡ ʁ a f i
agrarien	a ɡ ʁ a ʁ j ɛ̃
agrarienne	a ɡ ʁ a ʁ j ɛ n
agrarisme	a ɡ ʁ a ʁ i s m
agressa	a ɡ ʁ e s a
agressai	a ɡ ʁ e s e
agressaient	a ɡ ʁ e s ɛ
agressais	a ɡ ʁ e s ɛ
agressait	a ɡ ʁ e s ɛ
agressant	a ɡ ʁ e s ɑ̃
agressas	a ɡ ʁ e s a
agressasse	a ɡ ʁ e s a s
agressassent	a ɡ ʁ e s a s
agressasses	a ɡ ʁ e s a s
agressassiez	a ɡ ʁ e s a s j e
agressassions	a ɡ ʁ e s a s j ɔ̃
agresse	a ɡ ʁ ɛ s
agressent	a ɡ ʁ ɛ s
agresser	a ɡ ʁ e s e
agressera	a ɡ ʁ e s ʁ a
agresserai	a ɡ ʁ e s ʁ e
agresseraient	a ɡ ʁ e s ʁ ɛ
agresserais	a ɡ ʁ e s ʁ ɛ
agresserait	a ɡ ʁ e s ʁ ɛ
agresseras	a ɡ ʁ e s ʁ a
agresserez	a ɡ ʁ e s ʁ e
agresseriez	a ɡ ʁ e s ə ʁ j e
agresserions	a ɡ ʁ e s ə ʁ j ɔ̃
agresserons	a ɡ ʁ e s ʁ ɔ̃
agresseront	a ɡ ʁ e s ʁ ɔ̃
agresses	a ɡ ʁ ɛ s
agresseur	a ɡ ʁ e s œ ʁ
agresseuse	a ɡ ʁ e s ø z
agressez	a ɡ ʁ e s e
agressiez	a ɡ ʁ e s j e
agressif	a ɡ ʁ e s i f
agressifs	a ɡ ʁ e s i f
agression	a ɡ ʁ e s j ɔ̃
agressions	a ɡ ʁ e s j ɔ̃
agressive	a ɡ ʁ e s i v
agressivement	a ɡ ʁ e s i v m ɑ̃
agressives	a ɡ ʁ e s i v
agressivité	a ɡ ʁ e s i v i t e
agressons	a ɡ ʁ e s ɔ̃
agressâmes	a ɡ ʁ e s a m
agressât	a ɡ ʁ e s a
agressâtes	a ɡ ʁ e s a t
agressèrent	a ɡ ʁ e s ɛ ʁ
agressé	a ɡ ʁ e s e
agressée	a ɡ ʁ e s e
agressées	a ɡ ʁ e s e
agressés	a ɡ ʁ e s e
agreste	a ɡ ʁ ɛ s t
agrestement	a ɡ ʁ ɛ s t ə m ɑ̃
agrestes	a ɡ ʁ ɛ s t
agri	a ɡ ʁ i
agribashing	a ɡ ʁ i b a ʃ i ŋ
agricole	a ɡ ʁ i k ɔ l
agricolement	a ɡ ʁ i k ɔ l m ɑ̃
agricoles	a ɡ ʁ i k ɔ l
agriculteur	a ɡ ʁ i k y l t œ ʁ
agriculteurs	a ɡ ʁ i k y l t œ ʁ
agricultrice	a ɡ ʁ i k y l t ʁ i s
agricultural	a ɡ ʁ i k y l t y ʁ a l
agriculturale	a ɡ ʁ i k y l t y ʁ a l
agriculturalement	a ɡ ʁ i k y l t y ʁ a l m ɑ̃
agriculture	a ɡ ʁ i k y l t y ʁ
agriffer	a ɡ ʁ i f e
agrile	a ɡ ʁ i l
agrimétrique	a ɡ ʁ i m e t ʁ i k
agrion	a ɡ ʁ i j ɔ̃
agriote	a ɡ ʁ i j ɔ t
agripaume	a ɡ ʁ i p o m
agrippant	a ɡ ʁ i p ɑ̃
agrippe	a ɡ ʁ i p
agrippent	a ɡ ʁ i p
agripper	a ɡ ʁ i p e
agrippes	a ɡ ʁ i p
agrippeur	a ɡ ʁ i p œ ʁ
agrippeuse	a ɡ ʁ i p ø z
agrippé	a ɡ ʁ i p e
agritourisme	a ɡ ʁ i t u ʁ i s m
agrivoltaïque	a ɡ ʁ i v ɔ l t a i k
agroalimentaire	a ɡ ʁ o a l i m ɑ̃ t ɛ ʁ
agrobiologique	a ɡ ʁ o b j ɔ l ɔ ʒ i k
agrochimie	a ɡ ʁ o ʃ i m i
agrochimique	a ɡ ʁ o ʃ i m i k
agrochimiques	a ɡ ʁ ɔ ʃ i m i k
agrochimiste	a ɡ ʁ o ʃ i m i s t
agroenvironnementale	a ɡ ʁ o ɑ̃ v i ʁ ɔ n m ɑ̃ t a l
agroforestier	a ɡ ʁ o f ɔ ʁ ɛ s t j e
agroforestière	a ɡ ʁ ɔ f ɔ ʁ ɛ s t j ɛ ʁ
agroindustriel	a ɡ ʁ o ɛ̃ d y s t ʁ i j ɛ l
agrologie	a ɡ ʁ ɔ l ɔ ʒ i
agrologique	a ɡ ʁ ɔ l ɔ ʒ i k
agrométéorologique	a ɡ ʁ o m e t e ɔ ʁ ɔ l ɔ ʒ i k
agronome	a ɡ ʁ ɔ n ɔ m
agronomes	a ɡ ʁ ɔ n ɔ m
agronomie	a ɡ ʁ ɔ n ɔ m i
agronomies	a ɡ ʁ ɔ n ɔ m i
agronomique	a ɡ ʁ ɔ n ɔ m i k
agronomiquement	a ɡ ʁ ɔ n ɔ m i k m ɑ̃
agronomiques	a ɡ ʁ ɔ n ɔ m i k
agrostide	a ɡ ʁ ɔ s t i d
agrosystème	a ɡ ʁ o s i s t ɛ m
agrotechnique	a ɡ ʁ ɔ t ɛ k n i k
agrotourisme	a ɡ ʁ o t u ʁ i s m
agroville	a ɡ ʁ o v i l
agroécologie	a ɡ ʁ o e k ɔ l ɔ ʒ i
agroécologies	a ɡ ʁ ɔ e k ɔ l ɔ ʒ i
agroécologique	a ɡ ʁ o e k ɔ l ɔ ʒ i k
agroécologiquement	a ɡ ʁ o e k ɔ l ɔ ʒ i k m ɑ̃
agroécologiques	a ɡ ʁ ɔ e k ɔ l ɔ ʒ i k
agroéconomique	a ɡ ʁ o e k ɔ n ɔ m i k
agrume	a ɡ ʁ y m
agrumes	a ɡ ʁ y m
agrumiculture	a ɡ ʁ y m i k y l t y ʁ
agrès	a ɡ ʁ ɛ
agréable	a ɡ ʁ e a b l
agréablement	a ɡ ʁ e a b l ə m ɑ̃
agréables	a ɡ ʁ e a b l
agréer	a ɡ ʁ e e
agrég	a ɡ ʁ ɛ ɡ
agrégant	a ɡ ʁ e ɡ ɑ̃
agrégat	a ɡ ʁ e ɡ a
agrégateur	a ɡ ʁ e ɡ a t œ ʁ
agrégatif	a ɡ ʁ e ɡ a t i f
agrégation	a ɡ ʁ e ɡ a s j ɔ̃
agrégative	a ɡ ʁ e ɡ a t i v
agréger	a ɡ ʁ e ʒ e
agrégé	a ɡ ʁ e ʒ e
agrément	a ɡ ʁ e m ɑ̃
agrémente	a ɡ ʁ e m ɑ̃ t
agrémentent	a ɡ ʁ e m ɑ̃ t
agrémenter	a ɡ ʁ e m ɑ̃ t e
agrémentes	a ɡ ʁ e m ɑ̃ t
agrémentez	a ɡ ʁ e m ɑ̃ t e
agrémentons	a ɡ ʁ e m ɑ̃ t ɔ̃
agréé	a ɡ ʁ e e
aguerri	a ɡ e ʁ i
aguerrir	a ɡ e ʁ i ʁ
aguerrira	a ɡ e ʁ i ʁ a
aguerriraient	a ɡ e ʁ i ʁ ɛ
aguerrirais	a ɡ e ʁ i ʁ ɛ
aguerrirait	a ɡ e ʁ i ʁ ɛ
aguerriras	a ɡ e ʁ i ʁ a
aguerrirent	a ɡ e ʁ i ʁ
aguerrirez	a ɡ e ʁ i ʁ e
aguerririez	a ɡ e ʁ i ʁ j e
aguerririons	a ɡ e ʁ i ʁ j ɔ̃
aguerrirons	a ɡ e ʁ i ʁ ɔ̃
aguerriront	a ɡ e ʁ i ʁ ɔ̃
aguerris	a ɡ e ʁ i
aguerrissable	a ɡ e ʁ i s a b l
aguerrissaient	a ɡ e ʁ i s ɛ
aguerrissais	a ɡ e ʁ i s ɛ
aguerrissait	a ɡ e ʁ i s ɛ
aguerrissant	a ɡ e ʁ i s ɑ̃
aguerrisse	a ɡ e ʁ i s
aguerrissement	a ɡ e ʁ i s m ɑ̃
aguerrissent	a ɡ e ʁ i s
aguerrisses	a ɡ e ʁ i s
aguerrissez	a ɡ e ʁ i s e
aguerrissiez	a ɡ e ʁ i s j e
aguerrissions	a ɡ e ʁ i s j ɔ̃
aguerrissons	a ɡ e ʁ i s ɔ̃
aguerrit	a ɡ e ʁ i
aguerrîmes	a ɡ e ʁ i m
aguerrît	a ɡ e ʁ i
aguerrîtes	a ɡ e ʁ i t
aguet	a ɡ ɛ
agueusie	a ɡ ø z i
agui	a ɡ i
aguichant	a ɡ i ʃ ɑ̃
aguiche	a ɡ i ʃ
aguicher	a ɡ i ʃ e
aguicheur	a ɡ i ʃ œ ʁ
aguicheuse	a ɡ i ʃ ø z
aguille	a ɡ ɥ i j
aguimpée	a ɡ ɛ̃ p e
agénésie	a ʒ e n e z i
agénésique	a ʒ e n e z i k
agérate	a ʒ e ʁ a t
agératum	a ʒ e ʁ a t ɔ m
agîmes	a ʒ i m
agît	a ʒ i
agîtes	a ʒ i t
ah	a
ahan	a ɑ̃
ahana	a a n a
ahanant	a a n ɑ̃
ahanement	a a n m ɑ̃
ahaner	a a n e
ahi	a i
ahistorique	a i s t ɔ ʁ i k
ahuri	a y ʁ i
ahurie	a y ʁ i
ahurir	a y ʁ i ʁ
ahurira	a y ʁ i ʁ a
ahurirai	a y ʁ i ʁ e
ahuriraient	a y ʁ i ʁ ɛ
ahurirais	a y ʁ i ʁ ɛ
ahurirait	a y ʁ i ʁ ɛ
ahuriras	a y ʁ i ʁ a
ahurirent	a y ʁ i ʁ
ahurirez	a y ʁ i ʁ e
ahuririez	a y ʁ i ʁ j e
ahuririons	a y ʁ i ʁ j ɔ̃
ahurirons	a y ʁ i ʁ ɔ̃
ahuriront	a y ʁ i ʁ ɔ̃
ahuris	a y ʁ i
ahurissaient	a y ʁ i s ɛ
ahurissais	a y ʁ i s ɛ
ahurissait	a y ʁ i s ɛ
ahurissamment	a y ʁ i s a m ɑ̃
ahurissant	a y ʁ i s ɑ̃
ahurissante	a y ʁ i s ɑ̃ t
ahurissantes	a y ʁ i s ɑ̃ t
ahurissants	a y ʁ i s ɑ̃
ahurisse	a y ʁ i s
ahurissement	a y ʁ i s m ɑ̃
ahurissent	a y ʁ i s
ahurisses	a y ʁ i s
ahurissez	a y ʁ i s e
ahurissiez	a y ʁ i s j e
ahurissions	a y ʁ i s j ɔ̃
ahurissons	a y ʁ i s ɔ̃
ahurit	a y ʁ i
ahurîmes	a y ʁ i m
ahurît	a y ʁ i
ahurîtes	a y ʁ i t
ai	e
aiche	ɛ ʃ
aicher	e ʃ e
aidaient	e d ɛ
aidais	e d ɛ
aidait	e d ɛ
aidant	e d ɑ̃
aidante	e d ɑ̃ t
aidas	e d a
aidasse	e d a s
aidassent	e d a s
aidasses	e d a s
aidassiez	e d a s j e
aidassions	e d a s j ɔ̃
aide	a ɛ d
aident	ɛ d
aider	e d e
aidera	e d ʁ a
aiderai	e d ʁ e
aideraient	e d ʁ ɛ
aiderais	e d ʁ ɛ
aiderait	e d ʁ ɛ
aideras	e d ʁ a
aiderez	e d ʁ e
aideriez	e d ə ʁ j e
aiderions	e d ə ʁ j ɔ̃
aiderons	e d ʁ ɔ̃
aideront	e d ʁ ɔ̃
aides	ɛ d
aidez	e d e
aidiez	e d j e
aidions	e d j ɔ̃
aidons	e d ɔ̃
aidâmes	e d a m
aidât	e d a
aidâtes	e d a t
aidèrent	e d ɛ ʁ
aidé	e d e
aidée	e d e
aidées	e d e
aidés	e d e
aie	ɛ
aient	ɛ
aies	ɛ
aigle	ɛ ɡ l
aiglefin	e ɡ l ə f ɛ̃
aiglefins	e ɡ l ə f ɛ̃
aigles	ɛ ɡ l
aiglet	e ɡ l ɛ
aiglette	e ɡ l ɛ t
aiglettes	e ɡ l ɛ t
aiglon	e ɡ l ɔ̃
aiglonne	e ɡ l ɔ n
aiglons	e ɡ l ɔ̃
aigre	ɛ ɡ ʁ
aigrefin	e ɡ ʁ ə f ɛ̃
aigrelet	e ɡ ʁ ə l ɛ
aigrement	e ɡ ʁ ə m ɑ̃
aigremoine	e ɡ ʁ ə m w a n
aigres	ɛ ɡ ʁ
aigrette	e ɡ ʁ ɛ t
aigrettes	e ɡ ʁ ɛ t
aigretté	e ɡ ʁ e t e
aigrettée	e ɡ ʁ e t e
aigreur	e ɡ ʁ œ ʁ
aigreurs	e ɡ ʁ œ ʁ
aigri	e ɡ ʁ i
aigriette	e ɡ ʁ i j ɛ t
aigrin	e ɡ ʁ ɛ̃
aigriotte	e ɡ ʁ i j ɔ t
aigrir	e ɡ ʁ i ʁ
aigrira	e ɡ ʁ i ʁ a
aigrirai	e ɡ ʁ i ʁ e
aigriraient	e ɡ ʁ i ʁ ɛ
aigrirais	e ɡ ʁ i ʁ ɛ
aigrirait	e ɡ ʁ i ʁ ɛ
aigriras	e ɡ ʁ i ʁ a
aigrirent	e ɡ ʁ i ʁ
aigrirez	e ɡ ʁ i ʁ e
aigririez	e ɡ ʁ i ʁ j e
aigririons	e ɡ ʁ i ʁ j ɔ̃
aigrirons	e ɡ ʁ i ʁ ɔ̃
aigriront	e ɡ ʁ i ʁ ɔ̃
aigris	e ɡ ʁ i
aigrissaient	e ɡ ʁ i s ɛ
aigrissais	e ɡ ʁ i s ɛ
aigrissait	e ɡ ʁ i s ɛ
aigrissant	e ɡ ʁ i s ɑ̃
aigrisse	e ɡ ʁ i s
aigrissent	e ɡ ʁ i s
aigrisses	e ɡ ʁ i s
aigrissez	e ɡ ʁ i s e
aigrissiez	e ɡ ʁ i s j e
aigrissions	e ɡ ʁ i s j ɔ̃
aigrissons	e ɡ ʁ i s ɔ̃
aigrit	e ɡ ʁ i
aigrîmes	e ɡ ʁ i m
aigrît	e ɡ ʁ i
aigrîtes	e ɡ ʁ i t
aigu	e ɡ y
aiguade	e ɡ a d
aiguail	e ɡ a j
aiguillage	e ɡ ɥ i j a ʒ
aiguillat	e ɡ ɥ i j a
aiguille	e ɡ ɥ i j
aiguiller	e ɡ ɥ i j e
aiguilles	e ɡ ɥ i j
aiguilletage	e ɡ ɥ i j t a ʒ
aiguilleter	e ɡ ɥ i j t e
aiguillette	e ɡ ɥ i j ɛ t
aiguilleté	e ɡ ɥ i j t e
aiguilleur	e ɡ ɥ i j œ ʁ
aiguilleurs	e ɡ ɥ i j œ ʁ
aiguilleuse	e ɡ ɥ i j ø z
aiguillon	e ɡ ɥ i j ɔ̃
aiguillonnant	e ɡ ɥ i j ɔ n ɑ̃
aiguillonne	e ɡ ɥ i j ɔ n
aiguillonnement	e ɡ ɥ i j ɔ n m ɑ̃
aiguillonnent	e ɡ ɥ i j ɔ n
aiguillonner	e ɡ ɥ i j ɔ n e
aiguillonnes	e ɡ ɥ i j ɔ n
aiguillonné	e ɡ ɥ i j ɔ n e
aiguillot	e ɡ ɥ i j o
aiguillots	e ɡ ɥ i j o
aiguillé	e ɡ ɥ i j e
aiguillée	e ɡ ɥ i j e
aiguisage	e ɡ ɥ i z a ʒ
aiguise	e ɡ i z
aiguisement	e ɡ i z m ɑ̃
aiguisent	e ɡ i z
aiguiser	e ɡ i z e
aiguises	e ɡ i z
aiguiseur	e ɡ i z œ ʁ
aiguiseuse	e ɡ i z ø z
aiguisoir	e ɡ i z w a ʁ
aiguisoirs	e ɡ i z w a ʁ
aiguisé	e ɡ i z e
aiguière	e ɡ j ɛ ʁ
aigument	e ɡ y m ɑ̃
aigus	e ɡ y
aiguë	e ɡ y
aigüe	e ɡ y
aigües	e ɡ y
ail	a j
ailante	e l ɑ̃ t
aile	ɛ l
aileron	ɛ l ʁ ɔ̃
ailerons	ɛ l ʁ ɔ̃
ailes	ɛ l
ailette	e l ɛ t
ailettes	e l ɛ t
ailier	e l j e
ailière	e l j ɛ ʁ
aillant	a j ɑ̃
aille	a j
aillent	a j
ailler	a j e
ailles	a j
ailleurs	a j œ ʁ
ailloli	a j ɔ l i
aillé	a j e
aillée	a j e
ails	a j
ailurophile	e l y ʁ ɔ f i l
ailurophobie	e l y ʁ ɔ f ɔ b i
ailé	e l e
aima	e m a
aimable	e m a b l
aimablement	e m a b l ə m ɑ̃
aimables	e m a b l
aimai	e m e
aimaient	e m ɛ
aimais	e m ɛ
aimait	e m ɛ
aimant	e m ɑ̃
aimantaire	e m ɑ̃ t ɛ ʁ
aimantation	e m ɑ̃ t a s j ɔ̃
aimante	e m ɑ̃ t
aimanter	e m ɑ̃ t e
aimantes	e m ɑ̃ t
aimantin	e m ɑ̃ t ɛ̃
aimants	e m ɑ̃
aimanté	e m ɑ̃ t e
aimas	e m a
aimasse	e m a s
aimassent	e m a s
aimasses	e m a s
aimassiez	e m a s j e
aimassions	e m a s j ɔ̃
aime	ɛ m
aiment	ɛ m
aimer	e m e
aimera	e m ə ʁ a
aimerai	e m ə ʁ e
aimeraient	ɛ m ʁ ɛ
aimerais	ɛ m ʁ ɛ
aimerait	ɛ m ʁ ɛ
aimeras	e m ə ʁ a
aimerez	e m ə ʁ e
aimeriez	e m ə ʁ j e
aimerions	e m ə ʁ j ɔ̃
aimerons	e m ə ʁ ɔ̃
aimeront	e m ə ʁ ɔ̃
aimes	ɛ m
aimez	e m e
aimiez	e m j e
aimions	e m j ɔ̃
aimons	e m ɔ̃
aimâmes	e m a m
aimât	e m a
aimâtes	e m a t
aimè	e m ɛ
aimèrent	e m ɛ ʁ
aimées	e m e
aimés	e m e
aine	ɛ n
aines	ɛ n
ainsi	ɛ̃ s i
ainé	e n e
ainée	e n e
ainées	e n e
ainés	e n e
air	ɛ ʁ
aira	e ʁ a
airain	e ʁ ɛ̃
airbag	ɛ ʁ b a ɡ
airbnbiser	ɛ ʁ b i ɛ n b i z e
aire	ɛ ʁ
airedale	ɛ ʁ d a l
airelle	e ʁ ɛ l
airelles	e ʁ ɛ l
airer	e ʁ e
airerons	e ʁ ə ʁ ɔ̃
aires	ɛ ʁ
airgasme	ɛ ʁ ɡ a s m
airgasmes	ɛ ʁ ɡ a s m
airial	e ʁ j a l
airs	ɛ ʁ
airée	e ʁ e
ais	ɛ
aisance	e z ɑ̃ s
aisances	e z ɑ̃ s
aise	ɛ z
aises	ɛ z
aisive	e z i v
aisseau	e s o
aisselle	e s ɛ l
aisselles	e s ɛ l
aisy	e z i
aisé	e z e
aisée	e z e
aisées	e z e
aisément	e z e m ɑ̃
aisés	e z e
ait	ɛ
ajaxification	a ʒ a k s i f i k a s j ɔ̃
ajeuve	a ʒ œ v
ajiste	a ʒ i s t
ajointer	a ʒ w ɛ̃ t e
ajonc	a ʒ ɔ̃
ajoncs	a ʒ ɔ̃
ajour	a ʒ u ʁ
ajoura	a ʒ u ʁ a
ajourd'hui	a ʒ u r d ɥ i
ajourer	a ʒ u ʁ e
ajournable	a ʒ u ʁ n a b l
ajourne	a ʒ u ʁ n
ajournement	a ʒ u ʁ n ə m ɑ̃
ajournent	a ʒ u ʁ n
ajourner	a ʒ u ʁ n e
ajournes	a ʒ u ʁ n
ajourné	a ʒ u ʁ n e
ajouré	a ʒ u ʁ e
ajourée	a ʒ u ʁ e
ajourées	a ʒ u ʁ e
ajourés	a ʒ u ʁ e
ajout	a ʒ u
ajouta	a ʒ u t a
ajoutable	a ʒ u t a b l
ajoutage	a ʒ u t a ʒ
ajoutai	a ʒ u t e
ajoutaient	a ʒ u t ɛ
ajoutais	a ʒ u t ɛ
ajoutait	a ʒ u t ɛ
ajoutant	a ʒ u t ɑ̃
ajoutas	a ʒ u t a
ajoutasse	a ʒ u t a s
ajoutassent	a ʒ u t a s
ajoutasses	a ʒ u t a s
ajoutassiez	a ʒ u t a s j e
ajoutassions	a ʒ u t a s j ɔ̃
ajoute	a ʒ u t
ajoutent	a ʒ u t
ajouter	a ʒ u t e
ajoutera	a ʒ u t ʁ a
ajouterai	a ʒ u t ʁ e
ajouteraient	a ʒ u t ʁ ɛ
