a	ɐ
antiobjetivo	ɐ̃ t i o b i ʒ e t i v o
antiobscenidade	ɐ̃ t i o b s e n i d ɐ d e
antiocupação	ɐ̃ t i o k u p ɐ s ɐ̃ ɐ̃w̃
antioficial	ɐ̃ t i o f i s i ɐ w
antiofídico	ɐ̃ t i o f i d i k o
antioncogene	ɐ̃ t i õ k o ʒ e n e
antiopressão	ɐ̃ t i o p ɾ e s ɐ̃ ɐ̃w̃
antioquenho	ɐ̃ t i o k e ɲ o
antioqueno	ɐ̃ t i o k e n o
antioquia	ɐ̃ t i o k i ɐ
antiorgânico	ɐ̃ t i o ɹ ɡ ɐ̃ n i k u
antiortodoxo	ɐ̃ t i o ɹ t o d o k s u
antiosteoporose	ɐ̃ t i o s t e o p o ɾ o z e
antiosteoporótico	ɐ̃ t i o s t e o p o ɾ o t i k o
antioxidante	ɐ̃ t i o k s i d ɐ̃ t e
antioxidantes	ɐ̃ t ʃ i o k s i d ɐ̃ t ʃ i s
antioxidação	ɐ̃ t i o k s i d ɐ s ɐ̃ ɐ̃w̃
antiozonante	ɐ̃ t i o z o n ɐ̃ t e
antipadrão	ɐ̃ t i p ɐ d ɾ ɐ̃ ɐ̃w̃
antipalestino	ɐ̃ t i p ɐ l e s t i n o
antipalúdico	ɐ̃ t i p ɐ l u d i k o
antipapa	ɐ̃ t i p ɐ p ɐ
antipapal	ɐ̃ t i p ɐ p ɐ w
antipapista	ɐ̃ t i p ɐ p i s t ɐ
antiparalelamente	ɐ̃ t i p ɐ ɾ ɐ l e l ɐ m ẽ t e
antiparalelo	ɐ̃ t i p ɐ ɾ ɐ l e l o
antiparalítico	ɐ̃ t i p ɐ ɾ ɐ l i t i k o
antiparasitário	ɐ̃ t i p ɐ ɾ ɐ z i t ɐ ɾ i o
antiparkinsoniano	ɐ̃ t i p ɐ ɹ k ĩ s o n i ɐ̃ n u
antiparlamentar	ɐ̃ t i p ɐ ɹ l ɐ m ẽ t ɐ ɹ
antiparos	ɐ̃ t i p ɐ ɾ o s
antiparticipativo	ɐ̃ t i p ɐ ɹ t i s i p ɐ t i v u
antiparticipação	ɐ̃ t i p ɐ ɹ t i s i p ɐ s ɐ̃ ɐ̃w̃
antipartidarismo	ɐ̃ t i p ɐ ɹ t i d ɐ ɾ i z m u
antipartidismo	ɐ̃ t i p ɐ ɹ t i d i z m u
antipartido	ɐ̃ t i p ɐ ɹ t i d u
antipartidos	ɐ̃ t i p ɐ ɹ t i d u s
antipartidário	ɐ̃ t i p ɐ ɹ t i d ɐ ɾ i u
antipartícula	ɐ̃ t i p ɐ ɹ t i k u l ɐ
antipassivo	ɐ̃ t i p ɐ s i v o
antipastoral	ɐ̃ t i p ɐ s t o ɾ ɐ w
antipatente	ɐ̃ t i p ɐ t ẽ t e
antipatia	ɐ̃ t ʃ i p ɐ t ʃ i ɐ
antipaticamente	ɐ̃ t i p ɐ t i k ɐ m ẽ t e
antipatizar	ɐ̃ t i p ɐ t i z ɐ
antipatogênico	ɐ̃ t i p ɐ t o ʒ e n i k o
antipatriarcal	ɐ̃ t i p ɐ t ɾ i ɐ ɹ k ɐ w
antipatriota	ɐ̃ t i p ɐ t ɾ i o t ɐ
antipatriotismo	ɐ̃ t i p ɐ t ɾ i o t i z m o
antipatriótico	ɐ̃ t i p ɐ t ɾ i o t i k o
antipatético	ɐ̃ t i p ɐ t e t i k o
antipatógeno	ɐ̃ t i p ɐ t o ʒ e n o
antipaz	ɐ̃ t i p ɐ ɾ s
antipedagogia	ɐ̃ t i p e d ɐ ɡ o ʒ i ɐ
antipedagógico	ɐ̃ t i p e d ɐ ɡ o ʒ i k o
antipedofilia	ɐ̃ t i p e d o f i l i ɐ
antipeptídeo	ɐ̃ t i p e p i t i d e u
antiperinuclear	ɐ̃ t i p e ɾ i n u k l e ɐ
antiperiplanar	ɐ̃ t i p e ɾ i p l ɐ n ɐ
antiperistalse	ɐ̃ t i p e ɾ i s t ɐ w s e
antiperistáltico	ɐ̃ t i p e ɾ i s t ɐ w t i k o
antiperiódico	ɐ̃ t i p e ɾ i o d i k o
antipersistente	ɐ̃ t i p e ɹ s i s t ẽ t i
antipersistência	ɐ̃ t i p e ɹ s i s t ẽ s i ɐ
antiperspirante	ɐ̃ t i p e ɹ s p i ɾ ɐ̃ t i
antiperístase	ɐ̃ t i p e ɾ i s t ɐ z e
antipesquisa	ɐ̃ t i p e s k i z ɐ
antipessoal	ɐ̃ t i p e s o ɐ w
antipeste	ɐ̃ t i p e s t e
antipeça	ɐ̃ t i p e s ɐ
antiphishing	ɐ̃ t i f i ʃ ĩ
antipichação	ɐ̃ t i p i ʃ ɐ s ɐ̃ ɐ̃w̃
antipirata	ɐ̃ t i p i ɾ ɐ t ɐ
antipirataria	ɐ̃ t i p i ɾ ɐ t ɐ ɾ i ɐ
antipiratas	ɐ̃ t i p i ɾ ɐ t ɐ s
antipirese	ɐ̃ t i p i ɾ e z e
antipirina	ɐ̃ t i p i ɾ i n ɐ
antipirético	ɐ̃ t i p i ɾ e t i k o
antiplaca	ɐ̃ t i p l ɐ k ɐ
antiplaneta	ɐ̃ t i p l ɐ n e t ɐ
antiplaqueta	ɐ̃ t i p l ɐ k e t ɐ
antiplaquetas	ɐ̃ t i p l ɐ k e t ɐ s
antiplasmina	ɐ̃ t i p l ɐ z m i n ɐ
antiplasmodial	ɐ̃ t i p l ɐ z m o d i ɐ w
antiplasmódico	ɐ̃ t i p l ɐ z m o d i k o
antipluralista	ɐ̃ t i p l u ɾ ɐ l i s t ɐ
antiplutocrático	ɐ̃ t i p l u t o k ɾ ɐ t i k o
antiplágio	ɐ̃ t i p l ɐ ʒ i o
antiplástico	ɐ̃ t i p l ɐ s t i k o
antipobre	ɐ̃ t i p o b ɾ e
antipobres	ɐ̃ t i p o b ɾ e s
antipobreza	ɐ̃ t i p o b ɾ e z ɐ
antipodal	ɐ̃ t i p o d ɐ w
antipodalmente	ɐ̃ t i p o d ɐ w m ẽ t e
antipodismo	ɐ̃ t i p o d i z m o
antipodista	ɐ̃ t i p o d i s t ɐ
antipoeira	ɐ̃ t i p o e ɾ ɾ ɐ
antipoema	ɐ̃ t i p o e m ɐ
antipoesia	ɐ̃ t i p o e z i ɐ
antipoeta	ɐ̃ t i p o e t ɐ
antipolar	ɐ̃ t i p o l ɐ ɹ
antipolicial	ɐ̃ t i p o l i s i ɐ w
antipolo	ɐ̃ t i p o l o
antipoluente	ɐ̃ t i p o l u ẽ t e
antipoluição	ɐ̃ t ʃ i p o l uj s ɐ̃w̃
antipolícia	ɐ̃ t i p o l i s i ɐ
antipolítica	ɐ̃ t i p o l i t i k ɐ
antipolítico	ɐ̃ t i p o l i t i k o
antiponto	ɐ̃ t i p õ t o
antipop	ɐ̃ t i p o p
antipopular	ɐ̃ t i p o p u l ɐ
antipopulista	ɐ̃ t i p o p u l i s t ɐ
antipornografia	ɐ̃ t i p o ɹ n o ɡ ɾ ɐ f i ɐ
antipornográfico	ɐ̃ t i p o ɹ n o ɡ ɾ ɐ f i k u
antiportador	ɐ̃ t i p o ɹ t ɐ d o ɹ
antiporte	ɐ̃ t i p o ɹ t i
antiposicional	ɐ̃ t i p o z i s i o n ɐ w
antipositivismo	ɐ̃ t i p o z i t i v i z m o
antipositivista	ɐ̃ t i p o z i t i v i s t ɐ
antipovo	ɐ̃ t i p o v o
antipoético	ɐ̃ t i p o e t i k o
antiprazer	ɐ̃ t i p ɾ ɐ z e
antipreconceito	ɐ̃ t i p ɾ e k õ s e ɾ t o
antipredador	ɐ̃ t i p ɾ e d ɐ d o ɹ
antipredatório	ɐ̃ t i p ɾ e d ɐ t o ɾ i o
antiprisma	ɐ̃ t i p ɾ i z m ɐ
antiprismático	ɐ̃ t i p ɾ i z m ɐ t i k o
antiprisão	ɐ̃ t i p ɾ i z ɐ̃ ɐ̃w̃
antiprofissional	ɐ̃ t i p ɾ o f i s i o n ɐ w
antiprogestina	ɐ̃ t i p ɾ o ʒ e s t i n ɐ
antiprograma	ɐ̃ t i p ɾ o ɡ ɾ ɐ m ɐ
antiprogressismo	ɐ̃ t i p ɾ o ɡ ɾ e s i z m o
antiprogressivo	ɐ̃ t i p ɾ o ɡ ɾ e s i v o
antiprogresso	ɐ̃ t i p ɾ o ɡ ɾ e s o
antiproliferativo	ɐ̃ t i p ɾ o l i f e ɾ ɐ t i v o
antiproliferação	ɐ̃ t i p ɾ o l i f e ɾ ɐ s ɐ̃ ɐ̃w̃
antipropaganda	ɐ̃ t i p ɾ o p ɐ ɡ ɐ̃ d ɐ
antiproselitista	ɐ̃ t i p ɾ o z e l i t i s t ɐ
antiprostaglandina	ɐ̃ t i p ɾ o s t ɐ ɡ l ɐ̃ d i n ɐ
antiprostituição	ɐ̃ t i p ɾ o s t i t u i s ɐ̃ ɐ̃w̃
antiprotease	ɐ̃ t i p ɾ o t e ɐ z e
antiprotecionismo	ɐ̃ t i p ɾ o t e s i o n i z m o
antiprotecionista	ɐ̃ t i p ɾ o t e s i o n i s t ɐ
antiproteinase	ɐ̃ t i p ɾ o t e i n ɐ z e
antiproteinúrico	ɐ̃ t i p ɾ o t e i n u ɾ i k o
antiprotestante	ɐ̃ t i p ɾ o t e s t ɐ̃ t e
antiprotestos	ɐ̃ t i p ɾ o t e s t o s
antiprotozoário	ɐ̃ t i p ɾ o t o z o ɐ ɾ i o
antiprotão	ɐ̃ t i p ɾ o t ɐ̃ ɐ̃w̃
antiprotônico	ɐ̃ t i p ɾ o t o n i k o
antiprovérbio	ɐ̃ t i p ɾ o v e ɹ b i u
antiprurido	ɐ̃ t i p ɾ u ɾ i d o
antiprurítico	ɐ̃ t i p ɾ u ɾ i t i k o
antipróton	ɐ̃ t i p ɾ o t õ
antipseudomonal	ɐ̃ t i p i s e w d o m o n ɐ w
antipsicanalítico	ɐ̃ t i p i s i k ɐ n ɐ l i t i k o
antipsicológico	ɐ̃ t i p i s i k o l o ʒ i k o
antipsicótico	ɐ̃ t i p i s i k o t i k o
antipsiquiatria	ɐ̃ t i p i s i k i ɐ t ɾ i ɐ
antipsiquiátrico	ɐ̃ t i p i s i k i ɐ t ɾ i k o
antipsoriático	ɐ̃ t i p i s o ɾ i ɐ t i k o
antipsoríase	ɐ̃ t i p i s o ɾ i ɐ z e
antipsórico	ɐ̃ t i p i s o ɾ i k o
antiptose	ɐ̃ t i p i t o z e
antipublicidade	ɐ̃ t i p u b l i s i d ɐ d e
antipublicitário	ɐ̃ t i p u b l i s i t ɐ ɾ i o
antipulga	ɐ̃ t i p u w ɡ ɐ
antipulgas	ɐ̃ t i p u w ɡ ɐ s
antipunk	ɐ̃ t i p ɐ̃ k
antipática	ɐ̃ t ʃ i p ɐ t ʃ i k ɐ
antipático	ɐ̃ t ʃ i p ɐ t ʃ i k u
antipêndio	ɐ̃ t i p ẽ d i o
antipó	ɐ̃ t i p o
antipúblico	ɐ̃ t i p u b l i k o
antiquada	ɐ̃ t ʃ i k w ɐ d ɐ
antiquadamente	ɐ̃ t i k w ɐ d ɐ m ẽ t e
antiquadas	ɐ̃ t i k w ɐ d ɐ s
antiquado	ɐ̃ t ʃ i k w ɐ d u
antiquados	ɐ̃ t ʃ i k w ɐ d u s
antiqualha	ɐ̃ t i k w ɐ ʎ ɐ
antiquar	ɐ̃ t i k w ɐ
antiquarismo	ɐ̃ t i k w ɐ ɾ i z m o
antiquarius	ɐ̃ t ʃ i k w ɐ ɾ iw s
antiquark	ɐ̃ t i k w ɐ ɹ k i
antiqueratina	ɐ̃ t i k e ɾ ɐ t i n ɐ
antiquercista	ɐ̃ t ʃ i k e ɹ s i s t ɐ
antiquercistas	ɐ̃ t ʃ i k e ɹ s i s t ɐ s
antiquimotripsina	ɐ̃ t i k i m o t ɾ i p s i n ɐ
antiquário	ɐ̃ t ʃ i k u ɐ ɾ i u
antiquários	ɐ̃ t ʃ i k u ɐ ɾ i u s
antirracional	ɐ̃ t i ʁ ɐ s i o n ɐ w
antirracionalidade	ɐ̃ t i ʁ ɐ s i o n ɐ l i d ɐ d e
antirracionalismo	ɐ̃ t i ʁ ɐ s i o n ɐ l i z m o
antirracionalista	ɐ̃ t i ʁ ɐ s i o n ɐ l i s t ɐ
antirracismo	ɐ̃ t i ʁ ɐ s i z m o
antirracista	ɐ̃ t i ʁ ɐ s i s t ɐ
antirradar	ɐ̃ t i ʁ ɐ d ɐ
antirradiação	ɐ̃ t i ʁ ɐ d i ɐ s ɐ̃ ɐ̃w̃
antirradical	ɐ̃ t i ʁ ɐ d i k ɐ w
antirraquítico	ɐ̃ t i ʁ ɐ k i t i k o
antirrealismo	ɐ̃ t i ʁ e ɐ l i z m o
antirrealista	ɐ̃ t i ʁ e ɐ l i s t ɐ
antirrecessão	ɐ̃ t i ʁ e s e s ɐ̃ ɐ̃w̃
antirreducionismo	ɐ̃ t i ʁ e d u s i o n i z m o
antirreducionista	ɐ̃ t i ʁ e d u s i o n i s t ɐ
antirrefletivo	ɐ̃ t i ʁ e f l e t i v o
antirreflexo	ɐ̃ t i ʁ e f l e k s o
antirrefluxo	ɐ̃ t i ʁ e f l u k s o
antirreformismo	ɐ̃ t i ʁ e f o ɹ m i z m u
antirreformista	ɐ̃ t i ʁ e f o ɹ m i s t ɐ
antirregime	ɐ̃ t i ʁ e ʒ i m e
antirregulatório	ɐ̃ t i ʁ e ɡ u l ɐ t o ɾ i o
antirrejeição	ɐ̃ t i ʁ e ʒ e ɾ s ɐ̃ ɐ̃w̃
antirreligiosidade	ɐ̃ t i ʁ e l i ʒ i o z i d ɐ d e
antirreligioso	ɐ̃ t i ʁ e l i ʒ i o z o
antirreligião	ɐ̃ t i ʁ e l i ʒ i ɐ̃ ɐ̃w̃
antirrepresentacional	ɐ̃ t i ʁ e p ɾ e z ẽ t ɐ s i o n ɐ w
antirrepressivo	ɐ̃ t i ʁ e p ɾ e s i v o
antirrepublicano	ɐ̃ t i ʁ e p u b l i k ɐ n o
antirresistência	ɐ̃ t i ʁ e z i s t ẽ s i ɐ
antirressaca	ɐ̃ t i ʁ e s ɐ k ɐ
antirressonante	ɐ̃ t i ʁ e s o n ɐ̃ t e
antirressonância	ɐ̃ t i ʁ e s o n ɐ̃ s i ɐ
antirretroviral	ɐ̃ t i ʁ e t ɾ o v i ɾ ɐ w
antirretórico	ɐ̃ t i ʁ e t o ɾ i k o
antirreumático	ɐ̃ t i ʁ e w m ɐ t i k o
antirrevisionismo	ɐ̃ t i ʁ e v i z i o n i z m o
antirrevolucionário	ɐ̃ t i ʁ e v o l u s i o n ɐ ɾ i o
antirribonucleoproteína	ɐ̃ t i ʁ i b o n u k l e o p ɾ o t e i n ɐ
antirribonucleoproteínas	ɐ̃ t i ʁ i b o n u k l e o p ɾ o t e i n ɐ s
antirrino	ɐ̃ t i ʁ i n o
antirromance	ɐ̃ t i ʁ o m ɐ̃ s e
antirromantismo	ɐ̃ t i ʁ o m ɐ̃ t i z m o
antirromântico	ɐ̃ t i ʁ o m ɐ̃ t i k o
antirronco	ɐ̃ t i ʁ õ k o
antirrotacional	ɐ̃ t i ʁ o t ɐ s i o n ɐ w
antirroubo	ɐ̃ t i ʁ o b o
antirrubéola	ɐ̃ t i ʁ u b e o l ɐ
antirrugas	ɐ̃ t i ʁ u ɡ ɐ s
antirrural	ɐ̃ t i ʁ u ɾ ɐ w
antirruído	ɐ̃ t i ʁ u i d o
antirruídos	ɐ̃ t i ʁ u i d o s
antirrábico	ɐ̃ t i ʁ ɐ b i k o
antispasto	ɐ̃ t i s p ɐ s t o
antispoofing	ɐ̃ t i s p u f ĩ
antissabotagem	ɐ̃ t i s ɐ b o t ɐ ʒ ẽ s
antissarampo	ɐ̃ t i s ɐ ɾ ɐ̃ p o
antissatélite	ɐ̃ t i s ɐ t e l i t e
antisseborreico	ɐ̃ t i s e b o ʁ e ɾ k o
antissecretor	ɐ̃ t i s e k ɾ e t o ɹ
antissecretório	ɐ̃ t i s e k ɾ e t o ɾ i o
antissecular	ɐ̃ t i s e k u l ɐ ɹ
antissemita	ɐ̃ t i s e m i t ɐ
antissemitismo	ɐ̃ t i s e m i t i z m o
antissemítico	ɐ̃ t i s e m i t i k o
antissentimental	ɐ̃ t i s ẽ t i m ẽ t ɐ w
antisseparatista	ɐ̃ t i s e p ɐ ɾ ɐ t i s t ɐ
antissepsia	ɐ̃ t i s e p i s i ɐ
antissepticamente	ɐ̃ t i s e p i t i k ɐ m ẽ t i
antissequestro	ɐ̃ t i s e k w e s t ɾ o
antisserotoninérgico	ɐ̃ t i s e ɾ o t o n i n e ɹ ʒ i k u
antisserotonérgico	ɐ̃ t i s e ɾ o t o n e ɹ ʒ i k u
antissexista	ɐ̃ t i s e k s i s t ɐ
antissexo	ɐ̃ t i s e k s o
antissexual	ɐ̃ t i s e k s u ɐ w
antissifilítico	ɐ̃ t i s i f i l i t i k o
antissigma	ɐ̃ t i s i ɡ i m ɐ
antissimetria	ɐ̃ t i s i m e t ɾ i ɐ
antissimetrizado	ɐ̃ t i s i m e t ɾ i z ɐ d o
antissimetrizador	ɐ̃ t i s i m e t ɾ i z ɐ d o ɹ
antissimetrização	ɐ̃ t i s i m e t ɾ i z ɐ s ɐ̃ ɐ̃w̃
antissimétrico	ɐ̃ t i s i m e t ɾ i k o
antissindical	ɐ̃ t i s ĩ d i k ɐ w
antissintetase	ɐ̃ t i s ĩ t e t ɐ z e
antissionista	ɐ̃ t i s i o n i s t ɐ
antissistema	ɐ̃ t i s i s t e m ɐ
antissocial	ɐ̃ t i s o s i ɐ w
antissocialidade	ɐ̃ t i s o s i ɐ l i d ɐ d e
antissocialismo	ɐ̃ t i s o s i ɐ l i z m o
antissocialista	ɐ̃ t i s o s i ɐ l i s t ɐ
antissocialmente	ɐ̃ t i s o s i ɐ w m ẽ t e
antissociedade	ɐ̃ t i s o s i e d ɐ d e
antissodomia	ɐ̃ t i s o d o m i ɐ
antissoro	ɐ̃ t i s o ɾ o
antissoviético	ɐ̃ t i s o v i e t i k o
antissubjetivismo	ɐ̃ t i s u b i ʒ e t i v i z m o
antissubmarino	ɐ̃ t i s u b i m ɐ ɾ i n o
antissubmarinos	ɐ̃ t i s u b i m ɐ ɾ i n o s
antissuborno	ɐ̃ t i s u b o ɹ n u
antissubsídio	ɐ̃ t i s u b i s i d i u
antissubsídios	ɐ̃ t i s u b i s i d i u s
antissubversivo	ɐ̃ t i s u b i v e ɹ s i v u
antissufragista	ɐ̃ t i s u f ɾ ɐ ʒ i s t ɐ
antissuicídio	ɐ̃ t i s u i s i d i o
antisséptico	ɐ̃ t i s e p i t i k u
antissísmico	ɐ̃ t i s i z m i k o
antistrófico	ɐ̃ t i s t ɾ o f i k o
antitabaco	ɐ̃ t i t ɐ b ɐ k o
antitabagismo	ɐ̃ t i t ɐ b ɐ ʒ i z m o
antitabagista	ɐ̃ t ʃ i t ɐ b ɐ ʒ i s t ɐ
antitabagistas	ɐ̃ t ʃ i t ɐ b ɐ ʒ i s t ɐ s
antitanque	ɐ̃ t ʃ i t ɐ̃ k i
antitauro	ɐ̃ t i t ɐ w ɾ o
antiteatral	ɐ̃ t i t e ɐ t ɾ ɐ w
antiteatralidade	ɐ̃ t i t e ɐ t ɾ ɐ l i d ɐ d e
antiteatro	ɐ̃ t i t e ɐ t ɾ o
antitecnocrático	ɐ̃ t i t e k i n o k ɾ ɐ t i k o
antitecnologismo	ɐ̃ t i t e k i n o l o ʒ i z m o
antitecnologista	ɐ̃ t i t e k i n o l o ʒ i s t ɐ
antitecnológico	ɐ̃ t i t e k i n o l o ʒ i k o
antiteleológico	ɐ̃ t i t e l e o l o ʒ i k o
antitelevisão	ɐ̃ t i t e l e v i z ɐ̃ ɐ̃w̃
antitempo	ɐ̃ t i t ẽ p o
antiteocrático	ɐ̃ t i t e o k ɾ ɐ t i k o
antiteologia	ɐ̃ t i t e o l o ʒ i ɐ
antiteológico	ɐ̃ t i t e o l o ʒ i k o
antiteorético	ɐ̃ t i t e o ɾ e t i k o
antiterapêutico	ɐ̃ t i t e ɾ ɐ p e w t i k o
antiterminação	ɐ̃ t i t e ɹ m i n ɐ s ɐ̃ ɐ̃w̃
antiterra	ɐ̃ t i t e ʁ ɐ
antiterremoto	ɐ̃ t i t e ʁ e m o t o
antiterremotos	ɐ̃ t i t e ʁ e m o t o s
antiterror	ɐ̃ t i t e ʁ o ɹ
antiterrorismo	ɐ̃ t i t e ʁ o ɾ i z m o
antiterrorista	ɐ̃ t i t e ʁ o ɾ i s t ɐ
antiteticamente	ɐ̃ t i t e t i k ɐ m ẽ t e
antiteticidade	ɐ̃ t i t e t i s i d ɐ d e
antitetizar	ɐ̃ t i t e t i z ɐ
antitetânico	ɐ̃ t i t e t ɐ n i k o
antitextual	ɐ̃ t i t e s t u ɐ w
antiteísmo	ɐ̃ t i t e i z m o
antiteísta	ɐ̃ t i t e i s t ɐ
antitifoide	ɐ̃ t i t i f o ɾ d e
antitireoide	ɐ̃ t i t i ɾ e o ɾ d e
antitiroglobulina	ɐ̃ t i t i ɾ o ɡ l o b u l i n ɐ
antitirosinase	ɐ̃ t i t i ɾ o z i n ɐ z e
antitorpedo	ɐ̃ t i t o ɹ p e d u
antitortura	ɐ̃ t i t o ɹ t u ɾ ɐ
antitosse	ɐ̃ t i t o s e
antitotalitarismo	ɐ̃ t i t o t ɐ l i t ɐ ɾ i z m o
antitotalitarista	ɐ̃ t i t o t ɐ l i t ɐ ɾ i s t ɐ
antitotalitário	ɐ̃ t i t o t ɐ l i t ɐ ɾ i o
antitoxina	ɐ̃ t i t o k s i n ɐ
antitoxoplasmose	ɐ̃ t i t o k s o p l ɐ z m o z e
antitrabalhador	ɐ̃ t i t ɾ ɐ b ɐ ʎ ɐ d o ɹ
antitrabalhadores	ɐ̃ t i t ɾ ɐ b ɐ ʎ ɐ d o ɾ e s
antitrabalho	ɐ̃ t i t ɾ ɐ b ɐ ʎ o
antitradicional	ɐ̃ t i t ɾ ɐ d i s i o n ɐ w
antitradicionalismo	ɐ̃ t i t ɾ ɐ d i s i o n ɐ l i z m o
antitradicionalista	ɐ̃ t i t ɾ ɐ d i s i o n ɐ l i s t ɐ
antitransformada	ɐ̃ t i t ɾ ɐ̃ s f o ɹ m ɐ d ɐ
antitransglutaminase	ɐ̃ t i t ɾ ɐ̃ z ɡ l u t ɐ m i n ɐ z e
antitranspirante	ɐ̃ t i t ɾ ɐ̃ s p i ɾ ɐ̃ t e
antitransportador	ɐ̃ t i t ɾ ɐ̃ s p o ɹ t ɐ d o ɹ
antitratado	ɐ̃ t i t ɾ ɐ t ɐ d o
antitrava	ɐ̃ t i t ɾ ɐ v ɐ
antitravamento	ɐ̃ t ʃ i t ɾ ɐ v ɐ m ẽ t u
antitrinitarismo	ɐ̃ t i t ɾ i n i t ɐ ɾ i z m o
antitrinitário	ɐ̃ t i t ɾ i n i t ɐ ɾ i o
antitripanossomal	ɐ̃ t i t ɾ i p ɐ n o s o m ɐ w
antitripsina	ɐ̃ t i t ɾ i p i s ĩ n ɐ
antitrombina	ɐ̃ t i t ɾ õ b i n ɐ
antitrombose	ɐ̃ t i t ɾ õ b o z e
antitrombótico	ɐ̃ t i t ɾ õ b o t i k o
antitropomiosina	ɐ̃ t i t ɾ o p o m i o z i n ɐ
antitrote	ɐ̃ t i t ɾ o t e
antitrust	ɐ̃ t i t ɾ ɐ s t
antitruste	ɐ̃ t ʃ i t ɾ u s t ʃ i
antitráfico	ɐ̃ t i t ɾ ɐ f i k o
antitrágico	ɐ̃ t i t ɾ ɐ ʒ i k o
antitubarão	ɐ̃ t i t u b ɐ ɾ ɐ̃ ɐ̃w̃
antituberculose	ɐ̃ t i t u b e ɹ k u l o z i
antituberculoso	ɐ̃ t i t u b e ɹ k u l o z u
antitudo	ɐ̃ t i t u d o
antitumor	ɐ̃ t i t u m o ɹ
antitumoral	ɐ̃ t i t u m o ɾ ɐ w
antitumorigênico	ɐ̃ t i t u m o ɾ i ʒ e n i k o
antiturismo	ɐ̃ t i t u ɾ i z m o
antitético	ɐ̃ t i t e t i k o
antitípico	ɐ̃ t i t i p i k o
antitóxico	ɐ̃ t i t o k s i k o
antiulcerogênico	ɐ̃ t i u w s e ɾ o ʒ e n i k o
antiultravioleta	ɐ̃ t i u w t ɾ ɐ v i o l e t ɐ
antiuniversalismo	ɐ̃ t i u n i v e ɹ s ɐ l i z m u
antiuniversalista	ɐ̃ t i u n i v e ɹ s ɐ l i s t ɐ
antiuniversitário	ɐ̃ t i u n i v e ɹ s i t ɐ ɾ i u
antiuniverso	ɐ̃ t i u n i v e ɹ s u
antiurbanização	ɐ̃ t i u ɹ b ɐ n i z ɐ s ɐ̃ ɐ̃w̃
antiurbano	ɐ̃ t i u ɹ b ɐ̃ n u
antiutilitarismo	ɐ̃ t i u t i l i t ɐ ɾ i z m o
antiutilitário	ɐ̃ t i u t i l i t ɐ ɾ i o
antiutópico	ɐ̃ t i u t o p i k o
antivacina	ɐ̃ t i v ɐ s i n ɐ
antivacinação	ɐ̃ t i v ɐ s i n ɐ s ɐ̃ ɐ̃w̃
antivacinista	ɐ̃ t i v ɐ s i n i s t ɐ
antivadiagem	ɐ̃ t i v ɐ d i ɐ ʒ ẽ s
antivampiro	ɐ̃ t i v ɐ̃ p i ɾ o
antivampiros	ɐ̃ t i v ɐ̃ p i ɾ o s
antivandalismo	ɐ̃ t i v ɐ̃ d ɐ l i z m o
antivaríola	ɐ̃ t i v ɐ ɾ i o l ɐ
antivascular	ɐ̃ t i v ɐ s k u l ɐ ɹ
antivazamento	ɐ̃ t i v ɐ z ɐ m ẽ t o
antivegetariano	ɐ̃ t i v e ʒ e t ɐ ɾ i ɐ n o
antiveneno	ɐ̃ t i v e n e n o
antivenenoso	ɐ̃ t i v e n e n o z o
antivenéreo	ɐ̃ t i v e n e ɾ e o
antiverbal	ɐ̃ t i v e ɹ b ɐ w
antiverde	ɐ̃ t i v e ɹ d i
antivermelho	ɐ̃ t i v e ɹ m e ʎ u
antivertigem	ɐ̃ t i v e ɹ t i ʒ ẽ s
antivertiginoso	ɐ̃ t i v e ɹ t i ʒ i n o z u
antivetorial	ɐ̃ t i v e t o ɾ i ɐ w
antiveículos	ɐ̃ t i v e i k u l o s
antivibração	ɐ̃ t i v i b ɾ ɐ s ɐ̃ ɐ̃w̃
antivida	ɐ̃ t i v i d ɐ
antiviolência	ɐ̃ t ʃ i v i o l ẽ s i ɐ
antiviral	ɐ̃ t i v i ɾ ɐ w
antivirulento	ɐ̃ t i v i ɾ u l ẽ t o
antivitamina	ɐ̃ t i v i t ɐ m i n ɐ
antivivisseccionismo	ɐ̃ t i v i v i s e k s i o n i z m o
antivivisseccionista	ɐ̃ t i v i v i s e k s i o n i s t ɐ
antivivissecção	ɐ̃ t i v i v i s e k s ɐ̃ ɐ̃w̃
antivício	ɐ̃ t i v i s i o
antivírus	ɐ̃ t ʃ i v i ɾ u s
antivórtice	ɐ̃ t i v o ɹ t i s i
antixenófobo	ɐ̃ t i ʃ e n o f o b o
antixeroftálmico	ɐ̃ t i ʃ e ɾ o f t ɐ w m i k o
antixiita	ɐ̃ t i ʃ i i t ɐ
antizimótico	ɐ̃ t i z i m o t i k o
antiácaro	ɐ̃ t i ɐ k ɐ ɾ o
antiácido	ɐ̃ t i ɐ s i d o
antiágua	ɐ̃ t i ɐ ɡ w ɐ
antiálcool	ɐ̃ t i ɐ w k o w
antiátomo	ɐ̃ t i ɐ t o m o
antiépico	ɐ̃ t i e p i k o
antiética	ɐ̃ t ʃ i ɛ t ʃ i k ɐ
antiético	ɐ̃ t ʃ i ɛ t ʃ i k u
antiêmese	ɐ̃ t i e m e z e
antiópera	ɐ̃ t i o p e ɾ ɐ
antiópio	ɐ̃ t i o p i o
antiúlcera	ɐ̃ t i u w s e ɾ ɐ
