muy	m u ʝ
faria	f a ɾ ʝ a
fay	f a ʝ
faye	f a ʝ e
federacion	f e d e ɾ a θ ʝ o n
femicidios	f e m i θ i d ʝ o s
ferré	f e r e
fighters	f i g t e ɾ s
flags	f l a g s
flashes	f l a s e s
flood	f l o o d
fontes	f o n t e s
forster	f o ɾ s t e ɾ
freitas	f ɾ ei t a s
ganges	g a n x e s
garci	g a ɾ θ i
govern	g o b e ɾ n
graco	g ɾ a k o
granda	g ɾ a n d a
grid	g ɾ i d
groove	g ɾ o o b e
guest	g e s t
guild	g i l d
gustave	g u s t a b e
hailey	ai l e ʝ
handicap	a n d i k a p
haq	a k
hiba	i b a
hiram	i ɾ a m
hwan	wa n
imam	i m a m
imax	i m a k s
imo	i m o
inoperancia	i n o p e ɾ a n θ ʝ a
input	i m p u t
ipa	i p a
jinping	x i m p i n g
kano	k a n o
kawasaki	k a wa s a k i
kofi	k o f i
languages	l a n g wa x e s
larios	l a ɾ ʝ o s
leibniz	l ei b n i θ
lilith	l i l i t
loli	l o l i
lotte	l o t t e
mada	m a d a
mahmoud	m a m ou d
mambos	m a m b o s
mamon	m a m o n
marat	m a ɾ a t
marcapasos	m a ɾ k a p a s o s
marwan	m a ɾ wa n
matta	m a t t a
middleton	m i d d l e t o n
misha	m i s a
moments	m o m e n t s
mood	m o o d
mortimer	m o ɾ t i m e ɾ
muchisimos	m u t͡ʃ i s i m o s
musculo	m u s k u l o
mysql	m i s k l
nakamura	n a k a m u ɾ a
nerea	n e ɾ e a
neuro	n eu ɾ o
notimex	n o t i m e k s
null	n u ʎ
nur	n u ɾ
omer	o m e ɾ
ope	o p e
origenes	o ɾ i x e n e s
orrego	o r e g o
otegi	o t e x i
oñate	o ɲ a t e
pacos	p a k o s
pantallazo	p a n t a ʎ a θ o
panther	p a n t e ɾ
pari	p a ɾ i
pasadena	p a s a d e n a
pijo	p i x o
pipi	p i p i
pires	p i ɾ e s
pitch	p i t͡ʃ
poetry	p o e t ɾ i
poh	p o
politique	p o l i t i k e
pombo	p o m b o
ponganse	p o n g a n s e
portable	p o ɾ t a b l e
portugues	p o ɾ t u g e s
postureo	p o s t u ɾ e o
psicosocial	p s i k o s o θ ʝ a l
púbico	p u b i k o
quarterly	k wa ɾ t e ɾ l i
regal	r e g a l
regulatoria	r e g u l a t o ɾ ʝ a
rescatistas	r e s k a t i s t a s
rochelle	r o t͡ʃ e ʎ e
russel	r u s e l
rutherford	r u t e ɾ f o ɾ d
sabras	s a b ɾ a s
sadie	s a d ʝ e
salaam	s a l a a m
salita	s a l i t a
sebastopol	s e b a s t o p o l
seccionales	s e k θ ʝ o n a l e s
segismundo	s e x i s m u n d o
seguiran	s e g i ɾ a n
seguire	s e g i ɾ e
select	s e l e k t
shame	s a m e
simancas	s i m a n k a s
simeón	s i m e o n
sioux	s ʝ ou k s
sirope	s i ɾ o p e
sloan	s l o a n
snob	s n o b
streisand	s t ɾ ei s a n d
subidón	s u b i d o n
superstar	s u p e ɾ s t a ɾ
surfistas	s u ɾ f i s t a s
taaaan	t a a a a n
taipéi	t ai p ei
tasso	t a s o
tecate	t e k a t e
testing	t e s t i n g
tiziano	t i θ ʝ a n o
tlalnepantla	t l a l n e p a n t l a
tomlinson	t o m l i n s o n
torque	t o ɾ k e
tout	t ou t
trash	t ɾ a s
triplete	t ɾ i p l e t e
troncoso	t ɾ o n k o s o
tul	t u l
turkey	t u ɾ k e ʝ
túpac	t u p a k
ucm	u k m
unicode	u n i k o d e
urabá	u ɾ a b a
velazco	b e l a θ k o
veracruzano	b e ɾ a k ɾ u θ a n o
verizon	b e ɾ i θ o n
vespucio	b e s p u θ ʝ o
weird	wei ɾ d
wheels	we e l s
yoruba	ʝ o ɾ u b a
zonificación	θ o n i f i k a θ ʝ o n
únanse	u n a n s e
adalberto	a d a l b e ɾ t o
alc	a l k
alcocer	a l k o θ e ɾ
americanistas	a m e ɾ i k a n i s t a s
among	a m o n g
anatolia	a n a t o l ʝ a
andi	a n d i
anticonceptivas	a n t i k o n θ e p t i b a s
arafat	a ɾ a f a t
aramburu	a ɾ a m b u ɾ u
argent	a ɾ x e n t
arriola	a r ʝ o l a
asombrosamente	a s o m b ɾ o s a m e n t e
athena	a t e n a
aurelia	au ɾ e l ʝ a
ausentismo	au s e n t i s m o
baal	b a a l
balon	b a l o n
banesco	b a n e s k o
banorte	b a n o ɾ t e
banxico	b a n k s i k o
bardeando	b a ɾ d e a n d o
bashar	b a s a ɾ
batasuna	b a t a s u n a
benevolente	b e n e b o l e n t e
bergen	b e ɾ x e n
bethesda	b e t e s d a
boni	b o n i
bop	b o p
bso	b s o
budget	b u d x e t
cabot	k a b o t
caidos	k ai d o s
cats	k a t s
cde	k d e
cdi	k d i
chabones	t͡ʃ a b o n e s
chamos	t͡ʃ a m o s
chapel	t͡ʃ a p e l
charity	t͡ʃ a ɾ i t i
chavas	t͡ʃ a b a s
cientifica	θ ʝ e n t i f i k a
clapton	k l a p t o n
cofundadora	k o f u n d a d o ɾ a
collin	k o ʎ i n
combativa	k o m b a t i b a
comme	k o m m e
compis	k o m p i s
comú	k o m u
conatel	k o n a t e l
contactarnos	k o n t a k t a ɾ n o s
coo	k o o
courier	k ou ɾ ʝ e ɾ
cuadritos	k wa d ɾ i t o s
cute	k u t e
córner	k o ɾ n e ɾ
daly	d a l i
debutante	d e b u t a n t e
decidio	d e θ i d ʝ o
derrepente	d e r e p e n t e
deschamps	d e s t͡ʃ a m p s
desiciones	d e s i θ ʝ o n e s
desperte	d e s p e ɾ t e
dictionary	d i k t ʝ o n a ɾ i
dificilmente	d i f i θ i l m e n t e
dimas	d i m a s
diosito	d ʝ o s i t o
disimuladamente	d i s i m u l a d a m e n t e
donkey	d o n k e ʝ
econ	e k o n
edson	e d s o n
ely	e l i
emision	e m i s ʝ o n
enanitos	e n a n i t o s
enfermarse	e m f e ɾ m a ɾ s e
estupidas	e s t u p i d a s
exeter	e k s e t e ɾ
fairy	f ai ɾ i
farias	f a ɾ ʝ a s
florian	f l o ɾ ʝ a n
flower	f l o we ɾ
folklórico	f o l k l o ɾ i k o
franc	f ɾ a n k
frigerio	f ɾ i x e ɾ ʝ o
fujimorismo	f u x i m o ɾ i s m o
gam	g a m
garmendia	g a ɾ m e n d ʝ a
garrison	g a r i s o n
gillian	x i ʎ ʝ a n
gobi	g o b i
gorilla	g o ɾ i ʎ a
grassi	g ɾ a s i
grunge	g ɾ u n x e
guangzhou	g wa n g θ ou
habre	a b ɾ e
habsburgo	a b s b u ɾ g o
haciamos	a θ ʝ a m o s
harrington	a r i n g t o n
hidden	i d d e n
hipersensibilidad	i p e ɾ s e n s i b i l i d a d
hipocritas	i p o k ɾ i t a s
hiroshi	i ɾ o s i
hombrecito	o m b ɾ e θ i t o
hoon	o o n
hubbard	u b b a ɾ d
huevón	we b o n
huey	we ʝ
humeante	u m e a n t e
hurley	u ɾ l e ʝ
huída	wi d a
indira	i n d i ɾ a
interactive	i n t e ɾ a k t i b e
irs	i ɾ s
issue	i s we
jacky	x a k i
janice	x a n i θ e
jenaro	x e n a ɾ o
joachim	x o a t͡ʃ i m
kapoor	k a p o o ɾ
laburando	l a b u ɾ a n d o
lens	l e n s
leverkusen	l e b e ɾ k u s e n
llo	ʎ o
lollapalooza	l o ʎ a p a l o o θ a
lunch	l u ɲ t͡ʃ
mademoiselle	m a d e m oi s e ʎ e
mamani	m a m a n i
maris	m a ɾ i s
martir	m a ɾ t i ɾ
maxime	m a k s i m e
mcgraw	m k g ɾ au
mediterraneo	m e d i t e r a n e o
monti	m o n t i
mop	m o p
motivacion	m o t i b a θ ʝ o n
moura	m ou ɾ a
msj	m e s x
munro	m u n r o
negociacion	n e g o θ ʝ a θ ʝ o n
nemesio	n e m e s ʝ o
niger	n i x e ɾ
noboa	n o b o a
npc	m p k
nuggets	n u g x e t s
nutricion	n u t ɾ i θ ʝ o n
orestes	o ɾ e s t e s
orleáns	o ɾ l e a n s
ota	o t a
otamendi	o t a m e n d i
oxfam	o k s f a m
pablos	p a b l o s
participativas	p a ɾ t i θ i p a t i b a s
pasodoble	p a s o d o b l e
patilla	p a t i ʎ a
pentium	p e n t ʝ u m
petrov	p e t ɾ o b
pilatos	p i l a t o s
planteos	p l a n t e o s
polietileno	p o l ʝ e t i l e n o
politicamente	p o l i t i k a m e n t e
polímeros	p o l i m e ɾ o s
pops	p o p s
portocarrero	p o ɾ t o k a r e ɾ o
propagandística	p ɾ o p a g a n d i s t i k a
psicologo	p s i k o l o g o
quédese	k e d e s e
ramsay	r a m s a ʝ
recomendacion	r e k o m e n d a θ ʝ o n
reference	r e f e ɾ e n θ e
reflex	r e f l e k s
resorts	r e s o ɾ t s
ric	r i k
ricci	r i k θ i
rizzo	r i θ θ o
rocio	r o θ ʝ o
ruperto	r u p e ɾ t o
ríete	r i e t e
sei	s ei
semarnat	s e m a ɾ n a t
serv	s e ɾ b
shankar	s a n k a ɾ
sites	s i t e s
siu	s ʝ u
sportivo	s p o ɾ t i b o
stacey	s t a θ e ʝ
stroessner	s t ɾ o e s n e ɾ
susa	s u s a
swanson	s wa n s o n
sá	s a
sácate	s a k a t e
tall	t a ʎ
tama	t a m a
tapatío	t a p a t i o
teodora	t e o d o ɾ a
till	t i ʎ
trend	t ɾ e n d
ucla	u k l a
uit	wi t
unt	u n t
uru	u ɾ u
usaid	u s ai d
vallecano	b a ʎ e k a n o
veiga	b ei g a
verón	b e ɾ o n
virgenes	b i ɾ x e n e s
vivaldi	b i b a l d i
wanderers	wa n d e ɾ e ɾ s
weón	we o n
whatever	wa t e b e ɾ
worry	wo r i
zaire	θ ai ɾ e
zé	θ e
ñam	ɲ a m
aaaah	a a a a
abed	a b e d
adel	a d e l
advance	a d b a n θ e
aguilas	a g i l a s
alcala	a l k a l a
alessandra	a l e s a n d ɾ a
algebra	a l x e b ɾ a
alhama	a l a m a
alsacia	a l s a θ ʝ a
anahí	a n ai
anas	a n a s
antúnez	a n t u n e θ
apc	a p k
apical	a p i k a l
aquaman	a k wa m a n
aquila	a k i l a
asf	a s f
atv	a t b
baldomero	b a l d o m e ɾ o
barbieri	b a ɾ b ʝ e ɾ i
bardem	b a ɾ d e m
barr	b a r
barrita	b a r i t a
biobío	b ʝ o b i o
bir	b i ɾ
bogotano	b o g o t a n o
boost	b o o s t
bremen	b ɾ e m e n
brewer	b ɾ e we ɾ
bubble	b u b b l e
busquets	b u s k e t s
campoamor	k a m p o a m o ɾ
cart	k a ɾ t
cau	k au
chamaco	t͡ʃ a m a k o
chevalier	t͡ʃ e b a l ʝ e ɾ
ciutat	θ ʝ u t a t
clasificatoria	k l a s i f i k a t o ɾ ʝ a
clonar	k l o n a ɾ
comayagua	k o m a ʝ a g wa
corfo	k o ɾ f o
cuautla	k wau t l a
cumplio	k u m p l ʝ o
curita	k u ɾ i t a
curules	k u ɾ u l e s
dalila	d a l i l a
desire	d e s i ɾ e
donostia	d o n o s t ʝ a
dormia	d o ɾ m ʝ a
dynamite	d i n a m i t e
eagles	e a g l e s
estrellato	e s t ɾ e ʎ a t o
eurobasket	eu ɾ o b a s k e t
exit	e k s i t
exportacion	e k s p o ɾ t a θ ʝ o n
família	f a m i l ʝ a
farmer	f a ɾ m e ɾ
favelas	f a b e l a s
ferreras	f e r e ɾ a s
fic	f i k
flama	f l a m a
fora	f o ɾ a
fuengirola	f we n x i ɾ o l a
furious	f u ɾ ʝ ou s
gadget	g a d x e t
gadgets	g a d x e t s
galatasaray	g a l a t a s a ɾ a ʝ
gasol	g a s o l
generis	x e n e ɾ i s
gf	g e f
gili	x i l i
giulia	x ʝ u l ʝ a
given	x i b e n
glaucoma	g l au k o m a
gnome	g n o m e
godínez	g o d i n e θ
goicoechea	g oi k o e t͡ʃ e a
gracie	g ɾ a θ ʝ e
gue	g e
habib	a b i b
habrian	a b ɾ ʝ a n
hannover	a n n o b e ɾ
hathaway	a t a wa ʝ
higher	i g e ɾ
higuain	i g wa i n
homófobo	o m o f o b o
iam	ʝ a m
indignacion	i n d i g n a θ ʝ o n
introduction	i n t ɾ o d u k t ʝ o n
investigativo	i m b e s t i g a t i b o
ivana	i b a n a
jakob	x a k o b
janis	x a n i s
jasón	x a s o n
já	x a
kale	k a l e
kimono	k i m o n o
konstantin	k o n s t a n t i n
kristin	k ɾ i s t i n
lac	l a k
lahore	l a o ɾ e
leonora	l e o n o ɾ a
letters	l e t t e ɾ s
lies	l ʝ e s
limusina	l i m u s i n a
llarena	ʎ a ɾ e n a
lufthansa	l u f t a n s a
lyra	l i ɾ a
lá	l a
mantis	m a n t i s
marcano	m a ɾ k a n o
mariachis	m a ɾ ʝ a t͡ʃ i s
marquina	m a ɾ k i n a
masomenos	m a s o m e n o s
math	m a t
medici	m e d i θ i
medinaceli	m e d i n a θ e l i
melville	m e l b i ʎ e
minaj	m i n a x
minor	m i n o ɾ
monteverde	m o n t e b e ɾ d e
montijo	m o n t i x o
moron	m o ɾ o n
mtro	m t ɾ o
muñequita	m u ɲ e k i t a
nell	n e ʎ
neon	n e o n
niemeyer	n ʝ e m e ʝ e ɾ
nudista	n u d i s t a
nui	n wi
obsidiana	o b s i d ʝ a n a
oropeza	o ɾ o p e θ a
paganas	p a g a n a s
pampeana	p a m p e a n a
papelitos	p a p e l i t o s
pedian	p e d ʝ a n
perm	p e ɾ m
peron	p e ɾ o n
pesimo	p e s i m o
petite	p e t i t e
petronio	p e t ɾ o n ʝ o
pidal	p i d a l
pioneer	p ʝ o n e e ɾ
pitcher	p i t͡ʃ e ɾ
playoff	p l a ʝ o f
plugin	p l u x i n
politizar	p o l i t i θ a ɾ
populi	p o p u l i
positividad	p o s i t i b i d a d
postean	p o s t e a n
profile	p ɾ o f i l e
propano	p ɾ o p a n o
publ	p u b l
quillota	k i ʎ o t a
quim	k i m
quirúrgicamente	k i ɾ u ɾ x i k a m e n t e
rail	r ai l
refundación	r e f u n d a θ ʝ o n
regionalización	r e x ʝ o n a l i θ a θ ʝ o n
reguetón	r e g e t o n
rentería	r e n t e ɾ i a
rias	r ʝ a s
riders	r i d e ɾ s
roller	r o ʎ e ɾ
rosaura	r o s au ɾ a
safa	s a f a
salmon	s a l m o n
salónica	s a l o n i k a
sari	s a ɾ i
sarita	s a ɾ i t a
saudíes	s au d i e s
shall	s a ʎ
silk	s i l k
sous	s ou s
spence	s p e n θ e
stiles	s t i l e s
stu	s t u
sundance	s u n d a n θ e
taipei	t ai p ei
takashi	t a k a s i
todes	t o d e s
tomb	t o m b
torremolinos	t o r e m o l i n o s
triangulo	t ɾ ʝ a n g u l o
tulancingo	t u l a n θ i n g o
tuvieramos	t u b ʝ e ɾ a m o s
umbrella	u m b ɾ e ʎ a
victory	b i k t o ɾ i
violetta	b ʝ o l e t t a
wena	we n a
xvideos	k s b i d e o s
yibuti	ʝ i b u t i
yuma	ʝ u m a
zea	θ e a
ajaja	a x a x a
alomejor	a l o m e x o ɾ
amon	a m o n
anta	a n t a
arlington	a ɾ l i n g t o n
asher	a s e ɾ
atmosfera	a t m o s f e ɾ a
autosuficientes	au t o s u f i θ ʝ e n t e s
avelino	a b e l i n o
ayudenme	a ʝ u d e m m e
bangalore	b a n g a l o ɾ e
baquedano	b a k e d a n o
baz	b a θ
blaise	b l ai s e
bloguero	b l o g e ɾ o
bonafini	b o n a f i n i
borg	b o ɾ g
boulder	b ou l d e ɾ
boyer	b o ʝ e ɾ
bre	b ɾ e
bridges	b ɾ i d x e s
bru	b ɾ u
caidas	k ai d a s
calder	k a l d e ɾ
calendar	k a l e n d a ɾ
calipso	k a l i p s o
capáz	k a p a θ
carlisle	k a ɾ l i s l e
carnets	k a ɾ n e t s
cartman	k a ɾ t m a n
cazafantasmas	k a θ a f a n t a s m a s
celebrity	θ e l e b ɾ i t i
cgi	k x i
chaqueño	t͡ʃ a k e ɲ o
chespirito	t͡ʃ e s p i ɾ i t o
chicharito	t͡ʃ i t͡ʃ a ɾ i t o
chorrera	t͡ʃ o r e ɾ a
clair	k l ai ɾ
clinical	k l i n i k a l
codex	k o d e k s
cojedes	k o x e d e s
concentracion	k o n θ e n t ɾ a θ ʝ o n
conviértete	k o m b ʝ e ɾ t e t e
copita	k o p i t a
cordova	k o ɾ d o b a
cova	k o b a
cpa	k p a
cult	k u l t
curt	k u ɾ t
danger	d a n x e ɾ
darius	d a ɾ ʝ u s
depues	d e p we s
desencadenante	d e s e n k a d e n a n t e
desencuentros	d e s e n k we n t ɾ o s
destruído	d e s t ɾ wi d o
downs	d ow n s
dreamers	d ɾ e a m e ɾ s
dujovne	d u x o b n e
edi	e d i
elsie	e l s ʝ e
enla	e n l a
ernie	e ɾ n ʝ e
espia	e s p ʝ a
estadidad	e s t a d i d a d
estresantes	e s t ɾ e s a n t e s
fanb	f a m b
feliu	f e l ʝ u
female	f e m a l e
fenomenología	f e n o m e n o l o x i a
feromonas	f e ɾ o m o n a s
florinda	f l o ɾ i n d a
folclor	f o l k l o ɾ
gage	g a x e
gara	g a ɾ a
garland	g a ɾ l a n d
gasteiz	g a s t ei θ
gateway	g a t e wa ʝ
goleó	g o l e o
goyo	g o ʝ o
guan	g wa n
gámez	g a m e θ
hanks	a n k s
hawks	au k s
heard	e a ɾ d
helga	e l g a
heroina	e ɾ oi n a
hess	e s
hierva	ʝ e ɾ b a
hull	u ʎ
hyper	i p e ɾ
icv	i k b
inapropiadas	i n a p ɾ o p ʝ a d a s
incontrolables	i n k o n t ɾ o l a b l e s
irish	i ɾ i s
ironman	i ɾ o m m a n
jano	x a n o
jarama	x a ɾ a m a
jehova	x e o b a
joaquina	x o a k i n a
jonrones	x o n r o n e s
kari	k a ɾ i
kazan	k a θ a n
kcal	k k a l
kensington	k e n s i n g t o n
laboristas	l a b o ɾ i s t a s
lacey	l a θ e ʝ
lal	l a l
lausana	l au s a n a
leiste	l ei s t e
lf	l f
lifestyle	l i f e s t i l e
lilita	l i l i t a
lj	l x
longo	l o n g o
lopetegui	l o p e t e g i
lovers	l o b e ɾ s
makes	m a k e s
maleducada	m a l e d u k a d a
mamerto	m a m e ɾ t o
maragall	m a ɾ a g a ʎ
massive	m a s i b e
maturana	m a t u ɾ a n a
medi	m e d i
mixtape	m i k s t a p e
mme	m m e
moulin	m ou l i n
mugabe	m u g a b e
nader	n a d e ɾ
nascimento	n a s θ i m e n t o
nazario	n a θ a ɾ ʝ o
near	n e a ɾ
nee	n e e
neonatal	n e o n a t a l
neuquen	n eu k e n
niágara	n ʝ a g a ɾ a
nostradamus	n o s t ɾ a d a m u s
nubia	n u b ʝ a
odin	o d i n
ojito	o x i t o
oprah	o p ɾ a
osman	o s m a n
paquistaní	p a k i s t a n i
parr	p a r
penita	p e n i t a
polera	p o l e ɾ a
policiaco	p o l i θ ʝ a k o
politólogos	p o l i t o l o g o s
portman	p o ɾ t m a n
princesita	p ɾ i n θ e s i t a
prius	p ɾ ʝ u s
proactivo	p ɾ o a k t i b o
proporcion	p ɾ o p o ɾ θ ʝ o n
prudencio	p ɾ u d e n θ ʝ o
pudieramos	p u d ʝ e ɾ a m o s
punjab	p u n x a b
qur	k u ɾ
ramsés	r a m s e s
reason	r e a s o n
recuperacion	r e k u p e ɾ a θ ʝ o n
remi	r e m i
riverside	r i b e ɾ s i d e
robespierre	r o b e s p ʝ e r e
rumi	r u m i
santafesino	s a n t a f e s i n o
saá	s a a
seoane	s e o a n e
sila	s i l a
sobrevalorada	s o b ɾ e b a l o ɾ a d a
soe	s o e
spacex	s p a θ e k s
spectre	s p e k t ɾ e
subaru	s u b a ɾ u
superpotencia	s u p e ɾ p o t e n θ ʝ a
suspension	s u s p e n s ʝ o n
tanks	t a n k s
tardis	t a ɾ d i s
tariq	t a ɾ i k
tavares	t a b a ɾ e s
tehuacán	t e wa k a n
terence	t e ɾ e n θ e
trasnacionales	t ɾ a s n a θ ʝ o n a l e s
txt	t e k s t
tyrone	t i ɾ o n e
unite	u n i t e
universidade	u n i b e ɾ s i d a d e
velazquez	b e l a θ k e θ
veritas	b e ɾ i t a s
versace	b e ɾ s a θ e
vien	b ʝ e n
vor	b o ɾ
waka	wa k a
wiley	wi l e ʝ
xeneize	k s e n ei θ e
ximénez	k s i m e n e θ
zte	θ t e
adelaide	a d e l ai d e
aisha	ai s a
ajajaja	a x a x a x a
alamo	a l a m o
aleph	a l e f
almansa	a l m a n s a
americans	a m e ɾ i k a n s
anakin	a n a k i n
antares	a n t a ɾ e s
antropóloga	a n t ɾ o p o l o g a
aoki	a o k i
apis	a p i s
architecture	a ɾ t͡ʃ i t e k t u ɾ e
auckland	au k l a n d
autorizacion	au t o ɾ i θ a θ ʝ o n
autorregulación	au t o r e g u l a θ ʝ o n
avia	a b ʝ a
ayúdennos	a ʝ u d e n n o s
bacán	b a k a n
bain	b ai n
bane	b a n e
bangladés	b a n g l a d e s
bashir	b a s i ɾ
bcs	b e k s
beep	b e e p
belgica	b e l x i k a
bilbo	b i l b o
blackout	b l a k ou t
ble	b l e
brie	b ɾ ʝ e
britt	b ɾ i t
bss	b e s e s
buckley	b u k l e ʝ
burnett	b u ɾ n e t
butters	b u t t e ɾ s
bárcena	b a ɾ θ e n a
cabalidad	k a b a l i d a d
cabernet	k a b e ɾ n e t
cablevisión	k a b l e b i s ʝ o n
canaima	k a n ai m a
canberra	k a m b e r a
carlin	k a ɾ l i n
carlyle	k a ɾ l i l e
carnada	k a ɾ n a d a
champ	t͡ʃ a m p
cheney	t͡ʃ e n e ʝ
cheung	t͡ʃ eu n g
chicano	t͡ʃ i k a n o
chimba	t͡ʃ i m b a
cholos	t͡ʃ o l o s
chop	t͡ʃ o p
cirque	θ i ɾ k e
clasificatorio	k l a s i f i k a t o ɾ ʝ o
clm	k l m
coin	k oi n
cojiendo	k o x ʝ e n d o
comu	k o m u
conceptualización	k o n θ e p t wa l i θ a θ ʝ o n
conf	k o m f
conflict	k o m f l i k t
consul	k o n s u l
contáctanos	k o n t a k t a n o s
contínua	k o n t i n wa
convirtio	k o m b i ɾ t ʝ o
copérnico	k o p e ɾ n i k o
cornelia	k o ɾ n e l ʝ a
count	k ou n t
creian	k ɾ e ʝ a n
cretácico	k ɾ e t a θ i k o
criptomoneda	k ɾ i p t o m o n e d a
crisóstomo	k ɾ i s o s t o m o
cronos	k ɾ o n o s
cuautitlán	k wau t i t l a n
cuc	k u k
culson	k u l s o n
cuídense	k wi d e n s e
dahl	d a l
datación	d a t a θ ʝ o n
deli	d e l i
depositos	d e p o s i t o s
descapotable	d e s k a p o t a b l e
deva	d e b a
develar	d e b e l a ɾ
difusion	d i f u s ʝ o n
disease	d i s e a s e
dont	d o n t
doors	d o o ɾ s
doppler	d o p p l e ɾ
durísima	d u ɾ i s i m a
déjense	d e x e n s e
ect	e k t
ens	e n s
entonce	e n t o n θ e
epl	e p l
estrógenos	e s t ɾ o x e n o s
eulogio	eu l o x ʝ o
exile	e k s i l e
extraccion	e k s t ɾ a k θ ʝ o n
exáctamente	e k s a k t a m e n t e
federica	f e d e ɾ i k a
ferrán	f e r a n
fico	f i k o
filip	f i l i p
followers	f o ʎ o we ɾ s
galletita	g a ʎ e t i t a
genil	x e n i l
giulio	x ʝ u l ʝ o
gnc	g n k
goldstein	g o l d s t ei n
gor	g o ɾ
gorrito	g o r i t o
grammar	g ɾ a m m a ɾ
griezmann	g ɾ ʝ e θ m a n n
groot	g ɾ o o t
guaidó	g wai d o
guapísimo	g wa p i s i m o
guillermina	g i ʎ e ɾ m i n a
gutenberg	g u t e m b e ɾ g
hahn	a n
halley	a ʎ e ʝ
harald	a ɾ a l d
harcourt	a ɾ k ou ɾ t
hezbolá	e θ b o l a
hibernación	i b e ɾ n a θ ʝ o n
horus	o ɾ u s
howe	o we
ibíd	i b i d
iec	ʝ e k
inflacionaria	i m f l a θ ʝ o n a ɾ ʝ a
initiative	i n i t ʝ a t i b e
interinstitucional	i n t e ɾ i n s t i t u θ ʝ o n a l
issa	i s a
jajajajja	x a x a x a x x a
jian	x ʝ a n
joss	x o s
judd	x u d d
juegazo	x we g a θ o
jungle	x u n g l e
justificacion	x u s t i f i k a θ ʝ o n
kemp	k e m p
legislacion	l e x i s l a θ ʝ o n
livre	l i b ɾ e
localizador	l o k a l i θ a d o ɾ
lotto	l o t t o
ludmila	l u d m i l a
lyrics	l i ɾ i k s
machito	m a t͡ʃ i t o
macroeconómico	m a k ɾ o e k o n o m i k o
mahler	m a l e ɾ
majadahonda	m a x a d a o n d a
manténganse	m a n t e n g a n s e
mapocho	m a p o t͡ʃ o
masha	m a s a
mckinley	m k i n l e ʝ
mecanico	m e k a n i k o
medialunas	m e d ʝ a l u n a s
melon	m e l o n
metralleta	m e t ɾ a ʎ e t a
month	m o n t
multiusos	m u l t ʝ u s o s
mur	m u ɾ
murder	m u ɾ d e ɾ
mystery	m i s t e ɾ i
napoles	n a p o l e s
neandertales	n e a n d e ɾ t a l e s
ning	n i n g
nobody	n o b o d i
nox	n o k s
numbers	n u m b e ɾ s
oaxaqueños	o a k s a k e ɲ o s
opi	o p i
origins	o ɾ i x i n s
others	o t e ɾ s
paa	p a a
paralímpico	p a ɾ a l i m p i k o
paternalismo	p a t e ɾ n a l i s m o
peg	p e g
pence	p e n θ e
perdónenme	p e ɾ d o n e m m e
pom	p o m
ponés	p o n e s
porcion	p o ɾ θ ʝ o n
position	p o s i t ʝ o n
poveda	p o b e d a
prc	p ɾ k
precision	p ɾ e θ i s ʝ o n
presea	p ɾ e s e a
prey	p ɾ e ʝ
prometio	p ɾ o m e t ʝ o
qom	k o m
quad	k wa d
rasta	r a s t a
recepcion	r e θ e p θ ʝ o n
rega	r e g a
reginald	r e x i n a l d
registral	r e x i s t ɾ a l
reinoso	r ei n o s o
relanzamiento	r e l a n θ a m ʝ e n t o
riba	r i b a
romaní	r o m a n i
rosana	r o s a n a
russ	r u s
sabatini	s a b a t i n i
sabria	s a b ɾ ʝ a
sanderson	s a n d e ɾ s o n
scala	s k a l a
scar	s k a ɾ
schumann	ʃ u m a n
seconds	s e k o n d s
sergey	s e ɾ x e ʝ
sessions	s e s ʝ o n s
sicav	s i k a b
simona	s i m o n a
sonorense	s o n o ɾ e n s e
sour	s ou ɾ
soñe	s o ɲ e
starr	s t a r
subcontratación	s u b k o n t ɾ a t a θ ʝ o n
sumatoria	s u m a t o ɾ ʝ a
sunrise	s u n r i s e
suramericano	s u ɾ a m e ɾ i k a n o
syria	s i ɾ ʝ a
síguelo	s i g e l o
task	t a s k
taxco	t a k s k o
teorias	t e o ɾ ʝ a s
teotihuacán	t e o t i wa k a n
tonalá	t o n a l a
toys	t o ʝ s
transgénico	t ɾ a n s x e n i k o
treatment	t ɾ e a t m e n t
twits	t wi t s
tótem	t o t e m
unlimited	u n l i m i t e d
vadim	b a d i m
valet	b a l e t
violence	b ʝ o l e n θ e
vue	b we
webinar	we b i n a ɾ
width	wi d t
wilkinson	wi l k i n s o n
yara	ʝ a ɾ a
yee	ʝ e e
yunnan	ʝ u n n a n
yupanqui	ʝ u p a n k i
ñuble	ɲ u b l e
acercate	a θ e ɾ k a t e
agave	a g a b e
aguero	a g e ɾ o
albus	a l b u s
amr	a m ɾ
ams	a m s
anonima	a n o n i m a
arbor	a ɾ b o ɾ
arendt	a ɾ e n d t
argentine	a ɾ x e n t i n e
argüelles	a ɾ g we ʎ e s
arne	a ɾ n e
aru	a ɾ u
arvejas	a ɾ b e x a s
atelier	a t e l ʝ e ɾ
autopartes	au t o p a ɾ t e s
baires	b ai ɾ e s
benzema	b e n θ e m a
bichito	b i t͡ʃ i t o
boat	b o a t
bok	b o k
bri	b ɾ i
bsas	b s a s
bájate	b a x a t e
caetano	k a e t a n o
canterbury	k a n t e ɾ b u ɾ i
capua	k a p wa
caraqueños	k a ɾ a k e ɲ o s
