حتى	ħ a t aː
عوده	ʕ a w d a h
عونا	ʕ a w n aː
غنت	ɣ a n t
فأخذ	f a ʔ x a ð a
فالناس	f aː l n aː s
فلبينية	f a l b iː n i j j a
فيرناندو	f iː r n aː n d uː
فيرونيكا	f iː r uː n iː k aː
كارفور	k aː r f uː r
لأمير	l a ʔ m iː r
لاستهداف	l aː s t i h d aː f
لايكون	l aː j k uː n
لبست	l a b a s t
لتحل	l a t ħ a l a
لجهود	l a d͡ʒ h uː d
لرويترز	l a r w iː t a r z
لسيارات	l i s j aː r aː t
لصندوق	l a sˤ a n d uː q
لضغط	l a dˤ ɣ a tˤ a
لعلكم	l a ʕ l a k a m
للأنظمة	l a l ʔ a n ðˤ a m a
للبريد	l a l b a r iː d
للطريق	l a l tˤ a r iː q
لليسار	l a l iː s aː r
لولي	l a w l i j j
لونج	l a w n a d͡ʒ
ليسا	l a j s aː
ماضيه	m aː dˤ iː h
متطوع	m u t a tˤ a w w i ʕ
مجهولون	m a d͡ʒ h uː l uː n
مدون	m a d uː n
مدونون	m a d uː n uː n
مذ	m a ð ð a
مرتفعا	m u r t a f a ʕ a n
مرورية	m a r w a r i j j a
مستشاري	m u s t i ʃ aː r i j j
مشاري	m a ʃ aː r i j j
مشغولين	m a ʃ ɣ uː l iː n
مشيا	m a ʃ j aː
مشيط	m a ʃ iː tˤ
مصريا	m a sˤ r i j j a n
معهن	m a ʕ h a n
مفتوحه	m a f t uː ħ a h
مقره	m a q r a h
مقيما	m a q iː m aː
منسقة	m a n s a q a
منصبا	m a n sˤ a b a n
منهجي	m a n h a d͡ʒ i j j
موجعة	m a w d͡ʒ a ʕ a
موطنا	m a w tˤ a n aː
موعده	m a w ʕ a d d a h
ناشيونال	n aː ʃ i j uː n aː l
نصح	n a sˤ a ħ a
نقلة	n a q l a
نيكولاي	n iː k uː l aː j
وأعاد	w a ʔ ʕ aː d
وأيام	w a ʔ j aː m
واختيار	w aː x t i j aː r
واخر	w aː x i r
واقفين	w aː q a f iː n
والجسم	w aː l d͡ʒ a s a m
وبصورة	w a b sˤ uː r a
وتتم	w a t t a m a
وتجري	w a t d͡ʒ a r i j j
وتربية	w a t r a b i j j a
وتعادل	w a t ʕ aː d a l
وتقنيات	w a t a q n i j j aː t
وسادة	w a s aː d a
وسكان	w a s k aː n
وسيادة	w a s j aː d a
وسياسات	w a s j aː s aː t
وضباط	w a dˤ b aː tˤ
ولايتي	w a l aː j t i j j
ومرت	w a m r a t
ومسجد	w a m s a d͡ʒ a d
ومهارات	w a m h aː r aː t
ووفق	w a w f a q
ويثبت	w a j θ a b t
ويمر	w a j m a r
يتيما	j a t iː m aː
يجدي	j a d͡ʒ d i j j
يجر	j a d͡ʒ a r a
يحكمها	j a ħ k a m h aː
يختبئ	j a x t a b i ʔ
يرمون	j a r m uː n
يسرا	j a s r aː
يشهدون	j a ʃ h a d uː n
يضربون	j a dˤ r a b uː n
يطمئن	j a tˤ m a ʔ i n
يكفيه	j a k f iː h
أبدو	ʔ a b d uː
أجره	ʔ a d͡ʒ r a h a
أخفقت	ʔ a x f a q t
أضرارا	ʔ a dˤ r aː r aː
أطلال	ʔ a tˤ l aː l
أعرفهم	ʔ a ʕ r a f h a m
أعزائي	ʔ a ʕ z aː ʔ i j j
أنتمي	ʔ a n t a m i j j
أندري	ʔ a n d a r i j j
أنفاسي	ʔ a n f aː s i j j
أيما	ʔ a j m aː
إسترليني	ʔ i s t a r l iː n i j j
إفتتاح	ʔ i f t i t aː ħ
ابقي	i b q i j j
اتعرف	i t t a ʕ r a f a
اختطفت	i x t a tˤ a f a t a
الأبوة	a l ʔ a b w a
الأسبوعين	a l ʔ a s b uː ʕ iː n
الأسمى	a l ʔ a s m aː
الأقدار	a l ʔ a q d aː r
الإرشادات	a l ʔ i r ʃ aː d aː t
الانجاز	a l aː n d͡ʒ aː z
البقايا	a l b i q aː j aː
البنايات	a l b i n aː j aː t
البيرو	a l b iː r uː
التنوير	a t t a n w iː r
الثمانين	a θ θ a m aː n iː n
الجزيره	a l d͡ʒ a z iː r a h
الحارثي	a l ħ aː r i θ i j j
الحصين	a l ħ a sˤ iː n
الحمادي	a l ħ a m aː d i j j
الخدمه	a l x a d m a h
الذبح	a ð ð a b a ħ a
الرائعه	a r r aː ʔ i ʕ a h
الرمح	a r r a m a ħ a
السعود	a s s u ʕ uː d
السلاحف	a s s a l aː ħ i f
السياسى	a s s i j aː s aː
السيل	a s s iː l
الشهوة	a ʃ ʃ a h w a
الصائم	a sˤ sˤ aː ʔ i m
الصدع	a sˤ sˤ a d a ʕ a
الطازج	a tˤ tˤ aː z a d͡ʒ
الطرح	a tˤ tˤ a r a ħ a
العفن	a l ʕ a f a n a
الغزلان	a l ɣ a z a l aː n
الفاروق	a l f aː r uː q
الفاضلة	a l f aː dˤ i l a
الفداء	a l f i d aː ʔ
الفقيد	a l f a q iː d
الفوارق	a l f a w aː r i q
القربى	a l q a r b aː
القردة	a l q a r d a
الكازينو	a l k aː z iː n uː
الكينية	a l k iː n i j j a
المأهولة	a l m a ʔ h uː l a
المتمردون	a l m u t a m a r d uː n
المجهر	a l m a d͡ʒ h a r
المختطفين	a l m u x t a tˤ f iː n
المخدر	a l m a x d a r
المدفوعة	a l m a d f uː ʕ a
المشكل	a l m a ʃ k a l
المشهورين	a l m a ʃ h uː r iː n
المطاط	a l m i tˤ aː tˤ
المطبقة	a l m a tˤ b a q a
المعونة	a l m a ʕ uː n a
المقيدة	a l m a q iː d a
المكاسب	a l m u k aː s i b
الملحدين	a l m a l a ħ d iː n
المنوال	a l m a n a w aː l
الناصرية	a n n aː sˤ a r i j j a
النغمة	a n n a ɣ m a
الوسيطة	a l w a s iː tˤ a
انعكس	i n ʕ a k a s a
بإيران	b a ʔ iː r aː n
باءت	b aː ʔ i t
بارت	b aː r i t
بالتخلي	b i t t a x l i j j
بالحوار	b i l ħ a w aː r
بالساعة	b i s s aː ʕ a
بالشجاعة	b i ʃ ʃ i d͡ʒ aː ʕ a
بالماضي	b i l m aː dˤ i j j
بتحريك	b i t a ħ r iː k
بتصريح	b i t a sˤ r iː ħ
بحتة	b a ħ t a
بحرارة	b a ħ r aː r a
بزراعة	b a z r aː ʕ a
بفك	b a f a k a
بقلوب	b a q l uː b
بناؤه	b a n aː ʔ u h
بنتلي	b a n t a l i j j
بنتي	b a n t i j j
بوت	b uː t
بورن	b uː r a n
بوليفار	b uː l iː f aː r
تحصلت	t a ħ a sˤ sˤ a l a t a
تخفض	t a x a f f a dˤ a
تذكارية	t a ð k aː r i j j a
تشاك	t a ʃ aː k a
تشعل	t a ʃ a ʕ ʕ a l a
تعلمي	t a ʕ l a m i j j
تهدم	t a h a d d a m a
تودع	t a w a d d a ʕ a
جيشنا	d͡ʒ iː ʃ n aː
حالتين	ħ aː l t iː n
خجل	x a d͡ʒ a l a
خلابة	x a l aː b a
دك	d a k k
روماني	r uː m aː n i j j
زمنا	z a m n aː
سائدة	s aː ʔ i d a
ساعدوني	s aː ʕ d uː n i j j
سجنا	s a d͡ʒ n aː
سلفي	s a l a f i j j
سهله	s a h l a h
سونج	s a w n a d͡ʒ
سيدى	s a j d aː
شراكات	ʃ a r aː k aː t
شرس	ʃ a r a s a
شمالية	ʃ a m aː l i j j a
صوتنا	sˤ a w t a n aː
ضاقت	dˤ aː q i t
ضخامة	dˤ a x aː m a
طرأت	tˤ a r ʔ a t
ظواهر	ðˤ a w aː h i r
عشره	ʕ a ʃ r a h
عقلاني	ʕ a q l aː n i j j
عهود	ʕ a h uː d
عينى	ʕ a j n aː
غريس	ɣ a r iː s
غمار	ɣ a m aː r
غنائية	ɣ a n aː ʔ i j j a
فأرسل	f a ʔ r s a l
فريقين	f a r iː q iː n
فطيرة	f a tˤ iː r a
فمها	f a m h aː
فيضانات	f iː dˤ aː n aː t
قبلكم	q a b l a k a m
قدميك	q a d m iː k
كارا	k aː r aː
كالمعتاد	k aː l m i ʕ t aː d
كريك	k a r iː k
كومار	k uː m aː r
لاستغلال	l aː s t i ɣ l aː l
لبداية	l a b d aː j a
لبعضنا	l a b ʕ a dˤ n aː
لتطور	l a t tˤ uː r
لجزيرة	l a d͡ʒ z iː r a
لرد	l a r a d a
لشروط	l a ʃ r uː tˤ
لقائد	l a q aː ʔ i d
للسرقة	l a l s a r a q a
للعهد	l a l ʕ a h a d
للمرض	l a l m a r a dˤ
لمعركة	l a m ʕ a r k a
لهجمات	l a h d͡ʒ a m aː t
لهزيمة	l a h z iː m a
لينة	l a j n a
مارش	m aː r i ʃ
ماضيك	m aː dˤ iː k
ماكين	m aː k iː n
محظوظون	m a ħ ðˤ uː ðˤ uː n
مرحة	m a r ħ a
مروري	m a r w a r i j j
مسموحا	m a s m uː ħ a n
ملابسي	m a l aː b i s i j j
ملاذا	m a l aː ð aː
ممتدة	m u m t a d a
منتجي	m a n t a d͡ʒ i j j
موتور	m a w t uː r
نائما	n aː ʔ i m aː
نظرته	n a ðˤ r a t a h
هندرسون	h a n d a r s uː n
هندسية	h a n d a s i j j a
هيرمان	h a j r a m aː n
وآمن	w a ʔ aː m a n a
وأنهى	w a ʔ a n h aː
والشيء	w aː l ʃ iː ʔ
والمعلمين	w a l m a ʕ l a m iː n
وبقدر	w a b q a d a r
وتتكون	w a t t a k uː n
وتركيب	w a t a r k iː b
وداعش	w a d aː ʕ i ʃ
وذا	w a ð aː
ورؤية	w a r ʔ i j j a
وسبعون	w a s b a ʕ uː n
وصدرت	w a sˤ d a r a t
وصمة	w a sˤ m a
وقائمة	w a q aː ʔ i m a
وقائية	w a q aː ʔ i j j a
ومعارض	w a m ʕ aː r i dˤ
ويرد	w a j r a d
ويكفي	w iː k a f i j j
ياريت	j aː r iː t
ياصديقي	j aː sˤ d iː q i j j
يالي	j aː l i j j
يجيء	j a d͡ʒ iː ʔ
يدعوه	j a d ʕ uː h
يصبحون	j a sˤ b a ħ uː n
يضعه	j a dˤ ʕ a h a
يمنعني	j a m a n ʕ a n i j j
ينهار	j a n h aː r
game	ɡ a m e
october	o k t o b e r
roman	r o m a n
street	s t r eː t
أحزمة	ʔ a ħ z a m a
أحكي	ʔ a ħ k i j j
أحلامه	ʔ a ħ l aː m a h
أرضك	ʔ a r dˤ a k a
أرمني	ʔ a r m a n i j j
أسمعه	ʔ a s m a ʕ h
أعدادا	ʔ a ʕ d aː d aː
أعصابي	ʔ a ʕ sˤ aː b i j j
أعضائه	ʔ a ʕ dˤ aː ʔ i h
أعطاك	ʔ a ʕ tˤ aː k
إخواني	ʔ i x w aː n i j j
إللي	ʔ i l l i j j
ابتعدت	i b t a ʕ d a t a
اتفاقات	i t t i f aː q aː t
احضر	i ħ dˤ a r r a
اخطر	i x tˤ a r r a
ارحم	i r ħ a m m a
استغلت	i s t a ɣ l a t a
اعتيادي	i ʕ t i j aː d i j j
الأخيار	a l ʔ a x j aː r
الأقوياء	a l ʔ a q w i j aː ʔ
الأنسولين	a l ʔ a n s uː l iː n
الإجماع	a l ʔ i d͡ʒ m aː ʕ
الإصدارات	a l ʔ i sˤ d aː r aː t
الثلجية	a θ θ a l d͡ʒ i j j a
الجدارية	a l d͡ʒ i d aː r i j j a
الجواهر	a l d͡ʒ a w aː h i r
الحانات	a l ħ aː n aː t
الحاويات	a l ħ aː w i j j aː t
الحذف	a l ħ a ð a f a
الحنفية	a l ħ a n a f i j j a
الحنون	a l ħ a n uː n
الدارجة	a d d aː r a d͡ʒ a
الداعمين	a d d aː ʕ a m iː n
الداعي	a d d aː ʕ i j j
الدامية	a d d aː m i j j a
الروحاني	a r r uː ħ aː n i j j
الساحات	a s s aː ħ aː t
الشاعرة	a ʃ ʃ aː ʕ i r a
العدسة	a l ʕ a d s a
العلاجي	a l ʕ i l aː d͡ʒ i j j
الغاضبة	a l ɣ aː dˤ i b a
الغليان	a l ɣ a l j aː n
الفراشة	a l f i r aː ʃ a
القاعده	a l q aː ʕ a d a h
القصبة	a l q a sˤ a b a
الكروم	a l k a r uː m
الكوت	a l k uː t
اللوبي	a l l uː b i j j
الماجد	a l m aː d͡ʒ i d
المحصول	a l m a ħ sˤ uː l
المحفظة	a l m a ħ f a ðˤ a
المزارعون	a l m a z aː r ʕ uː n
المسالك	a l m a s aː l i k
المسبق	a l m a s b a q
المشروب	a l m a ʃ r uː b
المطران	a l m i tˤ r aː n
المعروض	a l m a ʕ r uː dˤ
المعمورة	a l m a ʕ m uː r a
المقياس	a l m i q j aː s
المكسور	a l m a k s uː r
المهجرين	a l m a h d͡ʒ a r iː n
المهلة	a l m a h l a
النفي	a n n a f i j j
الهيروين	a l h iː r w iː n
الوديعة	a l w a d iː ʕ a
الوسطاء	a l w i s tˤ aː ʔ
انتباهك	i n t i b aː h i k
انثى	i n θ aː
باستقلال	b aː s t i q l aː l
باطلة	b aː tˤ i l a
باعت	b aː ʕ i t
بالإحباط	b i l ʔ i ħ b aː tˤ
بالسودان	b i s s uː d aː n
بحثها	b a ħ θ a h aː
بخسارة	b a x s aː r a
برحيل	b a r ħ iː l
بساتين	b a s aː t iː n
بشغف	b a ʃ ɣ a f a
بغزو	b a ɣ z uː
بقدوم	b a q d uː m
بقياس	b a q j aː s
بوادر	b a w aː d i r
بوليتزر	b uː l iː t z a r
بياناتك	b i j aː n aː t i k
بيكو	b iː k uː
تتألم	t a t a ʔ a l l a m a
تخطت	t a x a tˤ tˤ a t a
تداخل	t a d aː x a l a
ترقد	t a r a q q a d a
تسببه	t a s a b b a h a
تسمعون	t a s m a ʕ uː n
تصطدم	t a sˤ a tˤ d a m a
تضحيات	t a dˤ ħ i j j aː t
تعليمها	t a ʕ l iː m h aː
تفاؤل	t a f aː ʔ u l
تمكنه	t a m a k n a h a
جولد	d͡ʒ a w l a d
حسابنا	ħ a s aː b a n aː
حلمنا	ħ a l a m n aː
داكار	d aː k aː r
دانتي	d aː n t i j j
دماغية	d a m aː ɣ i j j a
ربطه	r a b tˤ a h
روبيرتو	r uː b iː r t uː
روحانية	r uː ħ aː n i j j a
روميرو	r uː m iː r uː
زمالة	z a m aː l a
سالت	s aː l i t
ساي	s aː j
سريري	s a r iː r i j j
شجاعا	ʃ a d͡ʒ d͡ʒ aː ʕ a n
شعرة	ʃ a ʕ r a
شكك	ʃ a k a k a
صاخبة	sˤ aː x i b a
ضائعة	dˤ aː ʔ i ʕ a
طاقتي	tˤ aː q i t i j j
طنطا	tˤ a n tˤ aː
عزوز	ʕ a z uː z
عطور	ʕ a tˤ uː r
فازوا	f aː z a w aː
فروة	f a r w a
فريدمان	f a r iː d a m aː n
فريقهم	f a r iː q a h a m
فستكون	f u s t a k uː n
فسحة	f a s ħ a
فعلينا	f a ʕ l iː n aː
فناني	f a n aː n i j j
قراءه	q a r aː ʔ a h
قربي	q a r a b i j j
كور	k a w r
لأزمة	l a ʔ z a m a
لأشعة	l a ʔ a ʃ ʕ a
لجهة	l a d͡ʒ h a
لقصة	l a q sˤ a
لكوني	l a k uː n i j j
للأعلى	l a l ʔ a ʕ l aː
للدلالة	l a l d a l aː l a
للرب	l a l r a b
ليد	l a j d
لينش	l a j n a ʃ
ماتزال	m aː t i z aː l
متزامنة	m u t a z aː m a n a
متورط	m u t a w a r r i tˤ
محامين	m a ħ aː m iː n
محورية	m a ħ w a r i j j a
مديريات	m a d iː r i j j aː t
مراسيم	m a r aː s iː m
مشجعة	m a ʃ d͡ʒ a ʕ a
مصلحته	m u sˤ a l l a ħ t a h
معدومة	m a ʕ d uː m a
مليا	m a l j aː
مناديل	m a n aː d iː l
مهاجرين	m a h aː d͡ʒ a r iː n
ميكانيكي	m iː k aː n iː k i j j
ميلز	m a j l a z
نتخلص	n a t a x l a sˤ a
نصيبه	n a sˤ iː b a h
نطاقا	n a tˤ tˤ aː q aː
هادفة	h aː d i f a
هليكوبتر	h a l iː k uː b t a r
هنتر	h a n t a r a
والحج	w aː l a ħ a d͡ʒ a
والسابع	w aː l s aː b i ʕ
والقصة	w aː l a q a sˤ a
وحديثا	w a ħ d iː θ aː
وحساب	w a ħ s aː b
ورئيسة	w a r ʔ iː s a
ورائعة	w a r aː ʔ i ʕ a
وسوق	w a s uː q
وصديقه	w a sˤ d iː q a h
وصديقي	w a sˤ d iː q i j j
وفقدت	w a f q a d a t
وقضية	w a q dˤ i j j a
وقمنا	w a q m a n aː
وكفى	w a k f aː
ولاعب	w a l aː ʕ i b
ولغاية	w a l ɣ aː j a
ومهمة	w a m h a m a
ونعمل	w a n ʕ a m a l
ونهارا	w a n h aː r aː
يارجال	j aː r d͡ʒ aː l
يحتج	j a ħ t a d͡ʒ
يروح	j a r uː ħ
يروى	j a r w aː
يعيشه	j a ʕ iː ʃ a h
يغدو	j a ɣ d uː
يفيض	j a f iː dˤ
يقوى	j a q w aː
يقوي	j a q a w i j j
green	ɡ r eː n
link	l i n k
play	p l a j
أبحر	ʔ a b ħ a r a
أحافظ	ʔ a ħ aː f a ðˤ a
أختر	ʔ a x t a r a
أصابته	ʔ a sˤ aː b t a h
أميرا	ʔ a m iː r aː
أوكلاند	ʔ uː k l aː n d
إخماد	ʔ i x m aː d
إستمرار	ʔ i s t i m r aː r
إنتشار	ʔ i n t i ʃ aː r
إنش	ʔ i n ʃ
استعداده	i s t i ʕ d aː d a h
اصدر	i sˤ d a r r a
اعرفك	i ʕ r a f a k a
الأثقال	a l ʔ a θ q aː l
الأرنب	a l ʔ a r n a b a
الأمريكى	a l ʔ a m r iː k aː
الأنانية	a l ʔ a n aː n i j j a
الإنمائي	a l ʔ i n m aː ʔ i j j
الارتياح	a l aː r t i j aː ħ
الاهتمامات	a l aː h t i m aː m aː t
التافه	i l t aː f a h a
الثلاثون	a θ θ a l aː θ uː n
الثماني	a θ θ a m aː n i j j
الحلبي	a l ħ a l a b i j j
الخراف	a l x i r aː f
الخوري	a l x uː r i j j
الرفاق	a r r i f aː q
الرملة	a r r a m l a
العطل	a l ʕ a tˤ a l a
العيني	a l ʕ iː n i j j
الفراعنة	a l f i r aː ʕ i n a
القزم	a l q a z a m a
القفل	a l q a f a l a
اللامع	a l l aː m i ʕ
المانجا	a l m aː n d͡ʒ aː
المذكورين	a l m a ð k uː r iː n
المسدس	a l m a s d a s
المسند	a l m a s a n d
المعمول	a l m a ʕ m uː l
الموسيقار	a l m uː s iː q aː r
الميداليات	a l m iː d aː l i j j aː t
النائم	a n n aː ʔ i m
الوراثي	a l w a r aː θ i j j
الوزيرة	a l w a z iː r a
الوصي	a l w a sˤ i j j
انتحارية	i n t i ħ aː r i j j a
انذار	i n ð aː r a
بالجامعات	b i l d͡ʒ aː m i ʕ aː t
بالسيارات	b i s s i j aː r aː t
بالصواريخ	b i sˤ sˤ a w aː r iː x
بالمباراة	b i l m i b aː r aː h
بة	b a
بجوائز	b a d͡ʒ w aː ʔ i z
بشق	b a ʃ a q a
بعثات	b a ʕ θ aː t
بعيده	b a ʕ iː d a h
بقوانين	b a q w aː n iː n
بلازا	b a l aː z aː
بموعد	b a m uː ʕ a d
بناؤها	b a n aː ʔ u h aː
بوجوب	b uː d͡ʒ uː b
بيكاسو	b iː k aː s uː
تآكل	t a ʔ aː k a l a
تاركين	t aː r k iː n
تتغذى	t a t a ɣ ð aː
تجاوزها	t a d͡ʒ aː w a z h aː
تجرح	t a d͡ʒ a r r a ħ a
تحط	t a ħ a tˤ tˤ a
تدفعه	t a d a f ʕ a h a
تساعدهم	t a s aː ʕ a d h a m a
تضخيم	t a dˤ x iː m
تظلم	t a ðˤ a l l a m a
تفلح	t a f a l l a ħ a
تقصي	t a q sˤ i j j
تهمني	t a h m a n i j j
تونسيون	t uː n s i j uː n
جنازته	d͡ʒ a n aː z t a h
حربه	ħ a r b a h
حزني	ħ a z a n i j j
حفظها	ħ a f a ðˤ h aː
دعائية	d a ʕ aː ʔ i j j a
دعاني	d a ʕ aː n i j j
راما	r aː m aː
رايموند	r aː j m uː n d
راين	r aː j a n a
رنين	r a n iː n
سفيرة	s a f iː r a
سكانية	s a k aː n i j j a
سل	s a l l
سلاما	s a l aː m aː
سيطلب	s a j tˤ a l a b
شرحه	ʃ a r ħ a h a
شوطا	ʃ a w tˤ aː
صدقوني	sˤ a d q uː n i j j
صرخات	sˤ a r x aː t
صعبه	sˤ a ʕ b a h a
صفحه	sˤ a f ħ a h a
طلبته	tˤ a l a b t a h
عالى	ʕ aː l aː
عرسال	ʕ a r s aː l
عنزة	ʕ a n z a
فاضي	f aː dˤ i j j
فراغا	f a r aː ɣ aː
فطائر	f a tˤ aː ʔ i r
فعند	f a ʕ a n d
فوتوغرافية	f uː t uː ɣ r aː f i j j a
قامو	q aː m uː
قاوم	q aː w a m a
قبلية	q a b a l i j j a
كباقي	k a b aː q i j j
كسرى	k a s r aː
كلين	k a l iː n
كمادة	k a m aː d a
كمجموعة	k a m a d͡ʒ m uː ʕ a
كونية	k uː n i j j a
لآل	l a ʔ aː l a
لاستيعاب	l aː s t iː ʕ aː b
لتخرج	l a t x a r r a d͡ʒ
لطريق	l a tˤ r iː q
لفيروس	l a f iː r uː s
للألم	l a l ʔ a l a m
للطبقة	l a l tˤ a b a q a
لمسح	l a m s a ħ
لموسيقى	l a m uː s iː q aː
مابعد	m aː b i ʕ i d
مارين	m aː r iː n
مايرام	m aː j r aː m
مسئولا	m a s ʔ uː l a n
مستقبلك	m u s t a q b a l a k
مضمونة	m a dˤ m uː n a
معتادا	m u ʕ t aː d a n
معدي	m a ʕ d i j j
مكتبي	m a k t a b i j j
ملأت	m a l ʔ a t
مماتي	m a m aː t i j j
موتك	m a w t a k
موراليس	m uː r aː l iː s
نايل	n aː j a l a
ندين	n a d iː n
نستقبل	n u s t a q b a l
نظمه	n a ðˤ m a h
نفوذا	n a f uː ð aː
نمل	n a m a l a
هيلتون	h a j l a t uː n
وأغلقت	w a ʔ ɣ a l a q t
وأفلام	w a ʔ f a l aː m
واحتمال	w aː ħ t i m aː l
والجوع	w aː l d͡ʒ uː ʕ
والعطاء	w aː l i ʕ tˤ aː ʔ
والقبض	w aː l q a b a dˤ a
واللاجئين	w a l l aː d͡ʒ i ʔ iː n
والوفاء	w aː l uː f aː ʔ
وتعتقد	w a t a ʕ t a q a d
وجماعات	w a d͡ʒ m aː ʕ aː t
وسيد	w a s iː d
وصلى	w a sˤ l aː
وقرية	w a q r i j j a
وكلا	w a k l a n
ولف	w a l a f a
ومدارس	w a m d aː r i s
ونجحت	w a n d͡ʒ a ħ t
ويكيليكس	w iː k iː l iː k s
ياخي	j aː x i j j
يراني	j a r aː n i j j
يروق	j a r uː q
يسرد	j a s r a d
يسعني	j a s ʕ a n i j j
يشد	j a ʃ a d a
يعنيني	j a ʕ n iː n i j j
يغيرون	j a ɣ iː r uː n
يمينك	j a m iː n a k
sports	s p o r t s
آغا	ʔ aː ɣ aː
أبرمت	ʔ a b r a m t
أجيبي	ʔ a d͡ʒ iː b i j j
أرضى	ʔ a r dˤ aː
أزرار	ʔ a z r aː r
أسميه	ʔ a s m iː h
أعطوا	ʔ a ʕ tˤ a w aː
أغرقت	ʔ a ɣ r a q t
أليكساندر	ʔ a l iː k s aː n d i r
أنتهي	ʔ a n t a h i j j
أورو	ʔ a w r uː
أوهام	ʔ a w h aː m
أيادي	ʔ a j aː d i j j
إعلانية	ʔ i ʕ l aː n i j j a
إيقافها	ʔ iː q aː f h aː
اجواء	i d͡ʒ w aː ʔ
احدي	i ħ d i j j
احسنت	i ħ s a n t a
احصائيات	i ħ sˤ aː ʔ i j j aː t
استولوا	i s t a w l a w aː
اصدقائك	i sˤ d i q aː ʔ i k
اقناع	i q n aː ʕ
اكتشافها	i k t i ʃ aː f h aː
الألبانية	a l ʔ a l b aː n i j j a
الإبرة	a l ʔ i b r a
الإتفاقية	a l ʔ i t f aː q i j j a
الإدانة	a l ʔ i d aː n a
الإستقرار	a l ʔ i s t i q r aː r
الإسهال	a l ʔ i s h aː l
الاستضافة	a l i s t i dˤ aː f a
الاقتصادات	a l i q t i sˤ aː d aː t
الاوروبي	a l aː w r uː b i j j
البرغوثي	a l b a r ɣ uː θ i j j
التعقيم	a t t a ʕ q iː m
التواريخ	a t t a w aː r iː x
الجني	a l d͡ʒ a n i j j
الجواسيس	a l d͡ʒ a w aː s iː s
