km	k a ɛ m
allergènes	a l ɛ ʁ ʒ ɛ n
amphétamines	ɑ̃ f e t a m i n
anthropologiques	ɑ̃ t ʁ ɔ p ɔ l ɔ ʒ i k
antidémocratique	ɑ̃ t i d e m ɔ k ʁ a t i k
antioxydants	ɑ̃ t j ɔ k s i d ɑ̃
approximatives	a p ʁ ɔ k s i m a t i v
apu	a p y
arcadia	a ʁ k a d j a
artis	a ʁ t i
aru	a ʁ y
atkins	a t k ɛ̃
autruches	o t ʁ y ʃ
avantager	a v ɑ̃ t a ʒ e
azhar	a z a ʁ
become	b ə k ɔ m
benedetto	b ɛ n d ɛ t o
bicolore	b i k ɔ l ɔ ʁ
blier	b l i j e
bold	b ɔ l d
borden	b ɔ ʁ d ɛ n
bougnoules	b u ɲ u l
boulonnais	b u l ɔ n ɛ
branles	b ʁ ɑ̃ l
brant	b ʁ ɑ̃
canalsat	k a n a l s a
cantonais	k ɑ̃ t ɔ n ɛ
caravage	k a ʁ a v a ʒ
carina	k a ʁ i n a
carlier	k a ʁ l j e
carlito	k a ʁ l i t o
carlotta	k a ʁ l ɔ t a
carrer	k a ʁ e
casamance	k a z a m ɑ̃ s
caterpillar	k a t ɛ ʁ p i j a ʁ
cauchy	k o ʃ i
causses	k o s
chapel	ʃ a p ɛ l
christa	k ʁ i s t a
christchurch	k ʁ i s t ʃ y ʁ ʃ
chypriotes	ʃ i p ʁ i j ɔ t
claquée	k l a k e
clover	k l ɔ v e
cofidis	k ɔ f i d i
congélo	k ɔ̃ ʒ e l o
conquérante	k ɔ̃ k e ʁ ɑ̃ t
conseillères	k ɔ̃ s ɛ j ɛ ʁ
contractantes	k ɔ̃ t ʁ a k t ɑ̃ t
coon	k u n
cooptation	k ɔ ɔ p t a s j ɔ̃
cpge	s e p e ʒ e
crissement	k ʁ i s m ɑ̃
cristian	k ʁ i s t j ɑ̃
cryptée	k ʁ i p t e
créditée	k ʁ e d i t e
denim	d ə n ɛ̃
dessau	d e s o
differente	d i f ʁ ɑ̃ t
discipliner	d i s i p l i n e
dissoutes	d i s u t
doctissimo	d ɔ k t i s i m o
dolphins	d ɔ l f ɛ̃
dotant	d ɔ t ɑ̃
doña	d ɔ ɲ a
droitiers	d ʁ w a t j e
drunk	d ʁ œ̃ k
dungeon	d œ̃ ʒ ɔ̃
dusty	d y s t i
décennale	d e s ɛ n a l
décimales	d e s i m a l
déclenchés	d e k l ɑ̃ ʃ e
décélération	d e s e l e ʁ a s j ɔ̃
dédouaner	d e d w a n e
dématérialisé	d e m a t e ʁ j a l i z e
déséquilibrés	d e z e k i l i b ʁ e
déviants	d e v j ɑ̃
embarcadère	ɑ̃ b a ʁ k a d ɛ ʁ
endo	ɑ̃ d o
enfermant	ɑ̃ f ɛ ʁ m ɑ̃
entorses	ɑ̃ t ɔ ʁ s
epo	e p o
escroquer	ɛ s k ʁ ɔ k e
españa	ɛ s p a ɲ a
esperant	ɛ s p ə ʁ ɑ̃
espinosa	ɛ s p i n o z a
etiez	ə t j e
eurydice	ø ʁ i d i s
expropriations	ɛ k s p ʁ ɔ p ʁ i j a s j ɔ̃
fabregas	f a b ʁ ə ɡ a
fascinants	f a s i n ɑ̃
feld	f ɛ l d
ferris	f ɛ ʁ i
ffa	f a
fincher	f ɛ̃ ʃ e
fiv	f i v
fluctue	f l y k t y
fpi	ɛ f p i
fpr	ɛ f p e ɛ ʁ
franquin	f ʁ ɑ̃ k ɛ̃
fraudé	f ʁ o d e
freinet	f ʁ ɛ n ɛ
frontales	f ʁ ɔ̃ t a l
fustiger	f y s t i ʒ e
félicitant	f e l i s i t ɑ̃
galien	ɡ a l j ɛ̃
geert	ʒ ɛ ʁ
gerson	ʒ ɛ ʁ s ɔ̃
glycol	ɡ l i k ɔ l
gobé	ɡ ɔ b e
golfeurs	ɡ ɔ l f œ ʁ
habs	a b
hash	a ʃ
hatem	a t ɛ m
having	a v i ŋ
hitman	i t m ɑ̃
hollywoodiens	ɔ l i w u d j ɛ̃
hypothéquer	i p ɔ t e k e
hématomes	e m a t ɔ m
iconographiques	i k ɔ n ɔ ɡ ʁ a f i k
imax	i m a k s
indexés	ɛ̃ d ɛ k s e
indica	ɛ̃ d i k a
inexpliquée	i n ɛ k s p l i k e
infanticide	ɛ̃ f ɑ̃ t i s i d
inflammations	ɛ̃ f l a m a s j ɔ̃
intensifient	ɛ̃ t ɑ̃ s i f i
internationaliste	ɛ̃ t ɛ ʁ n a s j ɔ n a l i s t
interpolation	ɛ̃ t ɛ ʁ p ɔ l a s j ɔ̃
intégrera	ɛ̃ t e ɡ ʁ ə ʁ a
inventive	ɛ̃ v ɑ̃ t i v
irritations	i ʁ i t a s j ɔ̃
isi	i z i
juliana	ʒ y l j a n a
kala	k a l a
kipling	k i p l i ŋ
kite	k i t
kom	k ɔ m
kwon	k w ɔ̃
laboratory	l a b ɔ ʁ a t ɔ ʁ i
lah	l a
larbins	l a ʁ b ɛ̃
lavages	l a v a ʒ
legumes	l e ɡ y m
lehmann	l e m a n
liker	l i k e
looser	l u z e
loretta	l ɔ ʁ ɛ t a
lussac	l y s a k
macleod	m a k l o
maher	m a e
mambo	m ɑ̃ b o
marquet	m a ʁ k ɛ
masquant	m a s k ɑ̃
matheson	m a t ə z ɔ̃
meier	m ɛ j e
mikado	m i k a d o
mildred	m i l d ʁ ɛ d
minc	m ɛ̃
minimalisme	m i n i m a l i s m
modélisme	m ɔ d e l i s m
monarchiste	m ɔ n a ʁ ʃ i s t
mondo	m ɔ̃ d o
monorail	m ɔ n ɔ ʁ a j
morbidité	m ɔ ʁ b i d i t e
mordor	m ɔ ʁ d ɔ ʁ
morfler	m ɔ ʁ f l e
motocyclette	m ɔ t ɔ s i k l ɛ t
mouv	m u v
musicalité	m y z i k a l i t e
médicamenteuses	m e d i k a m ɑ̃ t ø z
mégaphone	m e ɡ a f ɔ n
naturistes	n a t y ʁ i s t
nippone	n i p ɔ n
nostre	n ɔ s t ʁ
officié	ɔ f i s j e
optionnelle	ɔ p s j ɔ n ɛ l
ovulation	ɔ v y l a s j ɔ̃
palaces	p a l a s
parrish	p a ʁ i ʃ
peabody	p i b ɔ d i
perforations	p ɛ ʁ f ɔ ʁ a s j ɔ̃
permettrais	p ɛ ʁ m ɛ t ʁ ɛ
phishing	f i ʃ i ŋ
pilates	p i l a t
pimenter	p i m ɑ̃ t e
pio	p j o
poilues	p w a l y
politiciennes	p ɔ l i t i s j ɛ n
poulenc	p u l ɑ̃
pouliot	p u l j o
prevu	p ʁ ə v y
prez	p ʁ e
pritchard	p ʁ i t ʃ a ʁ
prolongera	p ʁ ɔ l ɔ̃ ʒ ə ʁ a
proportionnelles	p ʁ ɔ p ɔ ʁ s j ɔ n ɛ l
préconiser	p ʁ e k ɔ n i z e
prévalait	p ʁ e v a l ɛ
psoriasis	p s ɔ ʁ j a z i
pulpeuse	p y l p ø z
quattro	k a t ʁ o
rachis	ʁ a ʃ i
radisson	ʁ a d i s ɔ̃
rani	ʁ a n i
ravagés	ʁ a v a ʒ e
realise	ʁ ə a l i z
recife	ʁ ə s i f
redessiner	ʁ ə d e s i n e
remportait	ʁ ɑ̃ p ɔ ʁ t ɛ
retenons	ʁ ə t ə n ɔ̃
rever	ʁ ə v e
rgb	ɛ ʁ ʒ e b e
rocambolesque	ʁ ɔ k ɑ̃ b ɔ l ɛ s k
rog	ʁ ɔ ɡ
rojas	ʁ ɔ ʒ a
roseraie	ʁ o z ə ʁ ɛ
réintroduit	ʁ e ɛ̃ t ʁ ɔ d ɥ i
réjouissez	ʁ e ʒ w i s e
rénal	ʁ e n a l
rés	ʁ e
sacrifient	s a k ʁ i f i
saïda	s a i d a
scarlet	s k a ʁ l ɛ
schiappa	ʃ j a p a
schreiber	ʃ ʁ ɛ b e
scrotum	s k ʁ ɔ t ɔ m
seum	s œ m
sexologue	s ɛ k s ɔ l ɔ ɡ
shangri	ʃ ɑ̃ ɡ ʁ i
soya	s w a j a
spi	s p i
stase	s t a z
statisticiens	s t a t i s t i s j ɛ̃
suffolk	s y f ɔ l k
sutra	s y t ʁ a
syd	s i d
sémites	s e m i t
sénart	s e n a ʁ
tad	t a d
tak	t a k
takahashi	t a k a a ʃ i
takeshi	t a k ʃ i
tammy	t a m i
teach	t i ʃ
tentaculaire	t ɑ̃ t a k y l ɛ ʁ
terminerai	t ɛ ʁ m i n ə ʁ e
thi	t i
tireront	t i ʁ ə ʁ ɔ̃
titrer	t i t ʁ e
tjr	t ʒ e ɛ ʁ
traduise	t ʁ a d ɥ i z
traversier	t ʁ a v ɛ ʁ s j e
trenton	t ʁ ɑ̃ t ɔ̃
triades	t ʁ i j a d
trips	t ʁ i p
triviale	t ʁ i v j a l
turf	t y ʁ f
turismo	t y ʁ i s m o
tuttle	t y t l
ultron	y l t ʁ ɔ̃
vasquez	v a s k e
ventures	v ɑ̃ t y ʁ
voteraient	v ɔ t ə ʁ ɛ
vrin	v ʁ ɛ̃
wallonnes	w a l ɔ n
watanabe	w a t a n a b
wrap	ʁ a p
xyz	k s i z
zap	z a p
écliptique	e k l i p t i k
écoeuré	e k œ ʁ e
électroménagers	e l ɛ k t ʁ ɔ m e n a ʒ e
élongation	e l ɔ̃ ɡ a s j ɔ̃
épuisante	e p ɥ i z ɑ̃ t
accordaient	a k ɔ ʁ d ɛ
aciéries	a s j e ʁ i
acquérant	a k e ʁ ɑ̃
activite	a k t i v i t
adducteurs	a d y k t œ ʁ
adisq	a d i s k
agacée	a ɡ a s e
agrégat	a ɡ ʁ e ɡ a
ahn	a n
airsoft	ɛ ʁ s ɔ f t
allégories	a l e ɡ ɔ ʁ i
alterné	a l t ɛ ʁ n e
alvéolaire	a l v e ɔ l ɛ ʁ
amaigrissement	a m ɛ ɡ ʁ i s m ɑ̃
aminé	a m i n e
amyot	a m j o
anwar	ɑ̃ w a ʁ
apatride	a p a t ʁ i d
apostats	a p ɔ s t a
appauvrit	a p o v ʁ i
arcueil	a ʁ k œ j
armitage	a ʁ m i t a ʒ
arrêterais	a ʁ ɛ t ə ʁ ɛ
arti	a ʁ t i
aryens	a ʁ j ɛ̃
asf	a s ɛ f
assimilant	a s i m i l ɑ̃
assistez	a s i s t e
atticus	a t i k y
atwater	a t w a t e
automation	o t ɔ m a s j ɔ̃
autoroutiers	o t ɔ ʁ u t j e
aves	a v
avéra	a v e ʁ a
badger	b a d ʒ e
baisés	b ɛ z e
bandana	b ɑ̃ d a n a
barkhane	b a ʁ k a n
beaugrand	b o ɡ ʁ ɑ̃
bernabeu	b ɛ ʁ n a b ø
beton	b ə t ɔ̃
biensûr	b j ɛ̃ s y ʁ
biodégradable	b j ɔ d e ɡ ʁ a d a b l
bleach	b l i ʃ
bolchevique	b ɔ l ʃ ə v i k
bonifications	b ɔ n i f i k a s j ɔ̃
boudé	b u d e
brazza	b ʁ a z a
brodeur	b ʁ ɔ d œ ʁ
bungalows	b œ̃ ɡ a l o
bégin	b e ʒ ɛ̃
calmann	k a l m a n
capt	k a p t
carénage	k a ʁ e n a ʒ
casseur	k a s œ ʁ
ccf	s e s e ɛ f
cdp	s e d e p e
charity	ʃ a ʁ i t i
chassées	ʃ a s e
ciro	s i ʁ o
clavel	k l a v ɛ l
climatiseur	k l i m a t i z œ ʁ
coaches	k ɔ a ʃ
commandites	k ɔ m ɑ̃ d i t
commémorant	k ɔ m e m ɔ ʁ ɑ̃
compensatoires	k ɔ̃ p ɑ̃ s a t w a ʁ
conde	k ɔ̃ d
confisquées	k ɔ̃ f i s k e
congres	k ɔ̃ ɡ ʁ
connors	k ɔ n ɔ ʁ
contentée	k ɔ̃ t ɑ̃ t e
contrastés	k ɔ̃ t ʁ a s t e
corinthians	k ɔ ʁ ɛ̃ t j ɑ̃
corporatisme	k ɔ ʁ p ɔ ʁ a t i s m
cruiser	k ʁ ɥ i z e
cupide	k y p i d
cédille	s e d i j
céphalées	s e f a l e
digitalisation	d i ʒ i t a l i z a s j ɔ̃
djinn	d ʒ i n
donaldson	d ɔ n a l d s ɔ̃
dray	d ʁ ɛ
dèche	d ɛ ʃ
déclenchées	d e k l ɑ̃ ʃ e
dégénérée	d e ʒ e n e ʁ e
démettre	d e m ɛ t ʁ
déontologique	d e ɔ̃ t ɔ l ɔ ʒ i k
déplacera	d e p l a s ə ʁ a
déterministe	d e t ɛ ʁ m i n i s t
edito	e d i t o
effacera	e f a s ə ʁ a
employabilité	ɑ̃ p l w a j a b i l i t e
enclenchée	ɑ̃ k l ɑ̃ ʃ e
enterprises	ɑ̃ t ɛ ʁ p ʁ i z
eso	e z o
español	ɛ s p a ɲ ɔ l
esperanza	ɛ s p ə ʁ ɑ̃ z a
etres	ɛ t ʁ
exerçaient	ɛ ɡ z ɛ ʁ s ɛ
explicatives	ɛ k s p l i k a t i v
farouk	f a ʁ u k
faucheuse	f o ʃ ø z
fee	f i
feintes	f ɛ̃ t
finger	f ɛ̃ ʒ e
flanders	f l ɑ̃ d e
fluviaux	f l y v j o
formater	f ɔ ʁ m a t e
fronce	f ʁ ɔ̃ s
fumisterie	f y m i s t ʁ i
fémorale	f e m ɔ ʁ a l
gabbana	ɡ a b a n a
galvanisé	ɡ a l v a n i z e
garcin	ɡ a ʁ s ɛ̃
garrido	ɡ a ʁ i d o
gavage	ɡ a v a ʒ
gilberto	ʒ i l b ɛ ʁ t o
gis	ʒ i
glue	ɡ l y
gorilla	ɡ ɔ ʁ i j a
gourion	ɡ u ʁ j ɔ̃
graeme	ɡ ʁ ɛ m
grillons	ɡ ʁ i j ɔ̃
grossman	ɡ ʁ ɔ s m ɑ̃
halogène	a l ɔ ʒ ɛ n
harcelait	a ʁ s ə l ɛ
hardouin	a ʁ d w ɛ̃
hasselt	a s ɛ l t
hedge	ɛ d ʒ
herbie	ɛ ʁ b i
hesite	e z i t
hollister	ɔ l i s t e
homologuée	ɔ m ɔ l ɔ ɡ e
horizonte	ɔ ʁ i z ɔ̃ t
houthis	u t i
husson	y s ɔ̃
hésiterais	e z i t ə ʁ ɛ
illegal	i l ɡ a l
immobilise	i m ɔ b i l i z
incohérents	ɛ̃ k ɔ e ʁ ɑ̃
incurvé	ɛ̃ k y ʁ v e
indisponibles	ɛ̃ d i s p ɔ n i b l
injustifiées	ɛ̃ ʒ y s t i f j e
inlassable	ɛ̃ l a s a b l
inquiétaient	ɛ̃ k j e t ɛ
inspirateur	ɛ̃ s p i ʁ a t œ ʁ
instrumentistes	ɛ̃ s t ʁ y m ɑ̃ t i s t
internationalisme	ɛ̃ t ɛ ʁ n a s j ɔ n a l i s m
intriguée	ɛ̃ t ʁ i ɡ e
intégrateur	ɛ̃ t e ɡ ʁ a t œ ʁ
inégalable	i n e ɡ a l a b l
italiana	i t a l j a n a
italiques	i t a l i k
jallet	ʒ a l ɛ
jerez	ʒ ə ʁ e
jor	ʒ ɔ ʁ
jordanien	ʒ ɔ ʁ d a n j ɛ̃
jouerais	ʒ u ʁ ɛ
jumper	ʒ œ̃ p e
kehl	k e l
kicker	k i k e
kidnappée	k i d n a p e
kiko	k i k o
kissinger	k i s ɛ̃ ʒ e
koo	k u
ky	k i
lago	l a ɡ o
lajoie	l a ʒ w a
laptop	l a p t ɔ p
larron	l a ʁ ɔ̃
lel	l ɛ l
lep	l ɛ p
livry	l i v ʁ i
longo	l ɔ̃ ɡ o
louvet	l u v ɛ
loving	l ɔ v i ŋ
lusignan	l y z i ɲ ɑ̃
macros	m a k ʁ o
madeleines	m a d l ɛ n
maid	m ɛ d
majorée	m a ʒ ɔ ʁ e
malaisien	m a l ɛ z j ɛ̃
mangaka	m ɑ̃ ɡ a k a
marck	m a ʁ k
markham	m a ʁ k a m
mascottes	m a s k ɔ t
massoud	m a s u
mcguire	m ə ɡ i ʁ
memo	m e m o
mensongers	m ɑ̃ s ɔ̃ ʒ e
mentant	m ɑ̃ t ɑ̃
mito	m i t o
moncef	m ɔ̃ s ɛ f
movistar	m ɔ v i s t a ʁ
mud	m y d
mélomanes	m e l ɔ m a n
méritons	m e ʁ i t ɔ̃
mérovingiens	m e ʁ ɔ v ɛ̃ ʒ j ɛ̃
méthanisation	m e t a n i z a s j ɔ̃
méthodologies	m e t ɔ d ɔ l ɔ ʒ i
métrologie	m e t ʁ ɔ l ɔ ʒ i
nagoya	n a ɡ w a j a
niquel	n i k ɛ l
nis	n i
nitrique	n i t ʁ i k
nop	n ɔ p
néonazis	n e ɔ n a z i
ordonnateur	ɔ ʁ d ɔ n a t œ ʁ
ostéo	ɔ s t e o
oxydant	ɔ k s i d ɑ̃
paierais	p ɛ ʁ ɛ
paroissiales	p a ʁ w a s j a l
peep	p i p
pharmacopée	f a ʁ m a k ɔ p e
photogénique	f ɔ t ɔ ʒ e n i k
plaigne	p l ɛ ɲ
polony	p ɔ l ɔ n i
pontet	p ɔ̃ t ɛ
potache	p ɔ t a ʃ
pourchasser	p u ʁ ʃ a s e
precision	p ʁ ə s i z j ɔ̃
prep	p ʁ ɛ p
produisons	p ʁ ɔ d ɥ i z ɔ̃
pronostique	p ʁ ɔ n ɔ s t i k
protect	p ʁ ɔ t ɛ k t
protege	p ʁ ɔ t ɛ ʒ
protèges	p ʁ ɔ t ɛ ʒ
présidera	p ʁ e z i d ə ʁ a
préteur	p ʁ e t œ ʁ
péloponnèse	p e l ɔ p ɔ n ɛ z
pétroles	p e t ʁ ɔ l
qa	k a
quite	k i t
ramq	ʁ ɑ̃ k
rationaliste	ʁ a s j ɔ n a l i s t
recomptage	ʁ ə k ɔ̃ t a ʒ
redeviens	ʁ ə d ə v j ɛ̃
redéploiement	ʁ ə d e p l w a m ɑ̃
refoulée	ʁ ə f u l e
refuseraient	ʁ ə f y z ə ʁ ɛ
reis	ʁ ɛ
remorqué	ʁ ə m ɔ ʁ k e
renouvellements	ʁ ə n u v ɛ l m ɑ̃
renégat	ʁ ə n e ɡ a
repreneurs	ʁ ə p ʁ ə n œ ʁ
restitués	ʁ ɛ s t i t ɥ e
rhodésie	ʁ ɔ d e z i
rhys	ʁ i
rizzo	ʁ i z o
robitaille	ʁ ɔ b i t a j
roswell	ʁ ɔ s w ɛ l
rotary	ʁ ɔ t a ʁ i
roya	ʁ w a j a
rébellions	ʁ e b ɛ l j ɔ̃
répressions	ʁ e p ʁ e s j ɔ̃
résidaient	ʁ e z i d ɛ
rétorqué	ʁ e t ɔ ʁ k e
sabri	s a b ʁ i
sanche	s ɑ̃ ʃ
savoy	s a v w a
schroeder	ʃ ʁ u d e
seok	s ɔ k
sepp	s ɛ p
septicémie	s ɛ p t i s e m i
shazam	ʃ a z a m
simenon	s i m ə n ɔ̃
socles	s ɔ k l
sofres	s ɔ f ʁ
spécifiant	s p e s i f j ɑ̃
spéculatifs	s p e k y l a t i f
stipulations	s t i p y l a s j ɔ̃
sucent	s y s
suspensif	s y s p ɑ̃ s i f
symbol	s ɛ̃ b ɔ l
sánchez	s ɑ̃ ʃ e
sépales	s e p a l
tacticien	t a k t i s j ɛ̃
tadoussac	t a d u s a k
terrace	t ɛ ʁ a s
tif	t i f
timmy	t i m i
tourette	t u ʁ ɛ t
transhumanisme	t ʁ ɑ̃ s y m a n i s m
transsexuel	t ʁ ɑ̃ s ɛ k s ɥ ɛ l
tresor	t ʁ ə z ɔ ʁ
trintignant	t ʁ ɛ̃ t i ɲ ɑ̃
turkménistan	t y ʁ k m e n i s t ɑ̃
unite	y n i t
usagées	y z a ʒ e
utiliserez	y t i l i z ə ʁ e
vassili	v a s i l i
versera	v ɛ ʁ s ə ʁ a
virils	v i ʁ i l
vitoria	v i t ɔ ʁ j a
voiries	v w a ʁ i
vérifiables	v e ʁ i f j a b l
vétustes	v e t y s t
ware	w a ʁ
webradio	w ɛ b ʁ a d j o
wichita	w i ʃ i t a
wiley	w i l ɛ
winamax	w i n a m a k s
woluwe	w ɔ l y w
written	ʁ i t ɛ n
yogourt	j ɔ ɡ u ʁ
yolanda	j ɔ l ɑ̃ d a
zapata	z a p a t a
zé	z e
écossaises	e k ɔ s ɛ z
éliminations	e l i m i n a s j ɔ̃
énervait	e n ɛ ʁ v ɛ
épaissit	e p ɛ s i
évoquera	e v ɔ k ə ʁ a
abordera	a b ɔ ʁ d ə ʁ a
afnor	a f n ɔ ʁ
agenouille	a ʒ n u j
agrégateur	a ɡ ʁ e ɡ a t œ ʁ
agrémenter	a ɡ ʁ e m ɑ̃ t e
ales	a l
alsaciennes	a l z a s j ɛ n
amphores	ɑ̃ f ɔ ʁ
amèneront	a m ɛ n ə ʁ ɔ̃
annabel	a n a b ɛ l
anode	a n ɔ d
antilope	ɑ̃ t i l ɔ p
apocryphe	a p ɔ k ʁ i f
argan	a ʁ ɡ ɑ̃
artistiquement	a ʁ t i s t i k m ɑ̃
aruba	a ʁ y b a
aryenne	a ʁ j ɛ n
assembleur	a s ɑ̃ b l œ ʁ
assimilables	a s i m i l a b l
attrapa	a t ʁ a p a
babies	b a b i
babtou	b a p t u
bagnols	b a ɲ ɔ l
bands	b ɑ̃
barracuda	b a ʁ a k y d a
barthe	b a ʁ t
baud	b o
belgian	b ɛ l ʒ j ɑ̃
belinda	b ə l ɛ̃ d a
bergères	b ɛ ʁ ʒ ɛ ʁ
biocoop	b j ɔ k u p
blazers	b l a z e
blogging	b l ɔ ɡ i ŋ
bonis	b ɔ n i
bouclage	b u k l a ʒ
bujumbura	b y ʒ œ̃ b y ʁ a
bâclée	b a k l e
bétons	b e t ɔ̃
cabella	k a b ɛ l a
cajou	k a ʒ u
calibrer	k a l i b ʁ e
cantorbéry	k ɑ̃ t ɔ ʁ b e ʁ i
capturées	k a p t y ʁ e
carney	k a ʁ n ɛ
celio	s e l j o
cena	s ə n a
chalutier	ʃ a l y t j e
chop	ʃ ɔ p
cofondatrice	k ɔ f ɔ̃ d a t ʁ i s
collect	k ɔ l ɛ k t
collectent	k ɔ l ɛ k t
colson	k ɔ l s ɔ̃
communicant	k ɔ m y n i k ɑ̃
concurrencé	k ɔ̃ k y ʁ ɑ̃ s e
confirmations	k ɔ̃ f i ʁ m a s j ɔ̃
conspiracy	k ɔ̃ s p i ʁ a s i
convainquant	k ɔ̃ v ɛ̃ k ɑ̃
copper	k ɔ p e
cordelia	k ɔ ʁ d ə l j a
corrigez	k ɔ ʁ i ʒ e
coucy	k u s i
coupera	k u p ə ʁ a
couplés	k u p l e
courue	k u ʁ y
coutellerie	k u t ɛ l ʁ i
craques	k ʁ a k
criquet	k ʁ i k ɛ
croches	k ʁ ɔ ʃ
cultivables	k y l t i v a b l
câblé	k a b l e
dahan	d a ɑ̃
dalila	d a l i l a
darkness	d a ʁ k n ɛ s
dawkins	d a w k ɛ̃
dayton	d ɛ t ɔ̃
desk	d ɛ s k
dictons	d i k t ɔ̃
didon	d i d ɔ̃
dien	d j ɛ̃
divas	d i v a
docteure	d ɔ k t œ ʁ
doctorats	d ɔ k t ɔ ʁ a
domitien	d ɔ m i s j ɛ̃
draco	d ʁ a k o
draw	d ʁ a w
déchiffrement	d e ʃ i f ʁ ə m ɑ̃
dérogé	d e ʁ ɔ ʒ e
désendettement	d e z ɑ̃ d ɛ t m ɑ̃
désinstaller	d e z ɛ̃ s t a l e
echecs	ɛ ʃ ɛ k
empattement	ɑ̃ p a t m ɑ̃
empoché	ɑ̃ p ɔ ʃ e
empêcheront	ɑ̃ p ɛ ʃ ə ʁ ɔ̃
ensuivent	ɑ̃ s ɥ i v
envahissantes	ɑ̃ v a i s ɑ̃ t
enverrons	ɑ̃ v ɛ ʁ ɔ̃
epée	ə p e
estre	ɛ s t ʁ
expulsées	ɛ k s p y l s e
facturée	f a k t y ʁ e
fes	f ɛ
fissa	f i s a
flavia	f l a v j a
flavie	f l a v i
foresterie	f ɔ ʁ ɛ s t ʁ i
formol	f ɔ ʁ m ɔ l
fragilisée	f ʁ a ʒ i l i z e
francophile	f ʁ ɑ̃ k ɔ f i l
frazier	f ʁ a z j e
fresno	f ʁ ɛ n o
frimaire	f ʁ i m ɛ ʁ
fumés	f y m e
férule	f e ʁ y l
geforce	ʒ ə f ɔ ʁ s
giraudoux	ʒ i ʁ o d u
glorifié	ɡ l ɔ ʁ i f j e
godbout	ɡ ɔ d b u
goss	ɡ ɔ s
grammairien	ɡ ʁ a m ɛ ʁ j ɛ̃
guez	ɡ e
généralisés	ʒ e n e ʁ a l i z e
gérone	ʒ e ʁ ɔ n
hackett	a k ɛ t
hadley	a d l ɛ
halsey	a l s ɛ
hawaïenne	a w a j ɛ n
hawthorne	a w t ɔ ʁ n
herschel	ɛ ʁ ʃ ɛ l
hippone	i p ɔ n
hiérarchiser	j e ʁ a ʁ ʃ i z e
hodges	ɔ d ʒ
holloway	ɔ l ɔ w ɛ
horowitz	ɔ ʁ ɔ w i t s
horrifiée	ɔ ʁ i f j e
horticoles	ɔ ʁ t i k ɔ l
huez	ɥ e
hydrologie	i d ʁ ɔ l ɔ ʒ i
icc	i k s
ilot	i l o
imad	i m a d
impactant	ɛ̃ p a k t ɑ̃
impayé	ɛ̃ p ɛ j e
imprimeries	ɛ̃ p ʁ i m ʁ i
imputés	ɛ̃ p y t e
inchangés	ɛ̃ ʃ ɑ̃ ʒ e
innsbruck	ɛ̃ n s b ʁ œ k
insèrent	ɛ̃ s ɛ ʁ
intensités	ɛ̃ t ɑ̃ s i t e
investisse	ɛ̃ v ɛ s t i s
ipc	i p e s e
jewel	ʒ ə w ɛ l
junk	ʒ œ̃ k
kamouraska	k a m u ʁ a s k a
kampala	k ɑ̃ p a l a
katarina	k a t a ʁ i n a
kaufmann	k o f m a n
kystes	k i s t
lacustre	l a k y s t ʁ
larem	l a ʁ ɛ m
lascars	l a s k a ʁ
leinster	l ɛ̃ s t e
lemonde	l ə m ɔ̃ d
leonid	l e ɔ n i d
libera	l i b ə ʁ a
lignite	l i ɲ i t
lingot	l ɛ̃ ɡ o
lom	l ɔ m
lucratifs	l y k ʁ a t i f
lynne	l i n
magistrate	m a ʒ i s t ʁ a t
maillé	m a j e
malia	m a l j a
manoirs	m a n w a ʁ
marbella	m a ʁ b ɛ l a
mascouche	m a s k u ʃ
mastodonte	m a s t ɔ d ɔ̃ t
maï	m a j
mead	m i d
mediator	m e d j a t ɔ ʁ
merchandising	m ɛ ʁ ʃ ɑ̃ d i z i ŋ
micha	m i ʃ a
migrent	m i ɡ ʁ
mindy	m ɛ̃ d i
miquel	m i k ɛ l
mollahs	m ɔ l a
monothéistes	m ɔ n ɔ t e i s t
montel	m ɔ̃ t ɛ l
morgana	m ɔ ʁ ɡ a n a
morice	m ɔ ʁ i s
morphée	m ɔ ʁ f e
mulroney	m y l ʁ ɔ n ɛ
niaiser	n j ɛ z e
nicolle	n i k ɔ l
nihiliste	n i i l i s t
normalisée	n ɔ ʁ m a l i z e
novi	n ɔ v i
nucleaire	n y k l ɛ ʁ
numéricable	n y m e ʁ i k a b l
nutritionnelles	n y t ʁ i s j ɔ n ɛ l
néonicotinoïdes	n e ɔ n i k ɔ t i n ɔ i d
oakley	o a k l ɛ
organisationnelles	ɔ ʁ ɡ a n i z a s j ɔ n ɛ l
ouvreur	u v ʁ œ ʁ
paquette	p a k ɛ t
paramilitaire	p a ʁ a m i l i t ɛ ʁ
patiné	p a t i n e
pauwels	p o w ɛ l
pec	p ɛ k
penguin	p ɑ̃ ɡ ɛ̃
perpétrées	p ɛ ʁ p e t ʁ e
peul	p œ l
photon	f ɔ t ɔ̃
pil	p i l
pirouettes	p i ʁ w ɛ t
pisses	p i s
pita	p i t a
platt	p l a t
pleurniche	p l œ ʁ n i ʃ
plongeante	p l ɔ̃ ʒ ɑ̃ t
pluviôse	p l y v j o z
portraitiste	p ɔ ʁ t ʁ ɛ t i s t
postiers	p ɔ s t j e
pouet	p w ɛ
prentice	p ʁ ɑ̃ t i s
primate	p ʁ i m a t
