اس	ə s
پیشتر	p ɛː ʃ t̪ ə ɾ
چھڑی	t͡ʃʰ ə ɽ iː
ڈرامائی	ɖ ə ɾ ɑː m ɑː iː
کوئلہ	k oː ɪ l ɑ
گرتا	ɡ ə ɾ t̪ ɑː
گمشدہ	ɡ ʊ m ʃ ə d̪ ɑ
ہاسپٹل	ɦ ɑː s p ə ʈ ə l
یادیو	j ɑː d̪ ɪ j oː
یارسول	j ɑː ɾ s uː l
یہوداہ	j ə ɦ uː d̪ ɑː ɦ
اہلی	ə ɦ l iː
ایما	iː m ɑː
باوقار	b ɑː ʋ q ɑː ɾ
بنجر	b ə n d͡ʒ ə ɾ
بوقت	b uː q ə t̪
بڑھیں	b ə ɽʱ ẽː
بھرمیں	bʱ ə ɾ m ẽː
تصویری	t̪ ə s ʋ iː ɾ iː
تضحیک	t̪ ə z ɦ iː k
تفویض	t̪ ə f ʋ iː z
تقاضوں	t̪ ə q ɑː z õː
تمھارا	t̪ ə mʱ ɑː ɾ ɑː
جائو	d͡ʒ ɑː oː
جہت	d͡ʒ ə ɦ ə t̪
حوا	ɦ ə ʋ ɑː
حیدری	ɦ ɛː d̪ ɾ iː
حیرانی	ɦ ɛː ɾ ɑː n iː
خریدیں	x ə ɾ iː d̪ ẽː
خضر	x ə z ə ɾ
دلدل	d̪ ə l d̪ ə l
راشدین	ɾ ɑː ʃ d̪ iː n
رحلت	ɾ ə ɦ l ə t̪
رحمانی	ɾ ə ɦ m ɑː n iː
رکنے	ɾ ə k n eː
ریو	ɾ ɪ j oː
ریپبلکن	ɾ ɛː p b ə l k ə n
سازگار	s ɑː z ɡ ɑː ɾ
صفایا	s ə f ɑː j ɑː
طاق	t̪ ɑː q
عازمین	ɑː z m iː n
فرسودہ	f ə ɾ s uː d̪ ɑ
فیچر	f iː t͡ʃ ə ɾ
لڑائیاں	l ə ɽ ɑː ɪ j ɑ̃ː
مانو	m ɑː n oː
مشکور	m ə ʃ k uː ɾ
مصدقہ	m ʊ s d̪ ə q ɑ
مضافات	m ʊ z ɑː f ɑː t̪
مفلوج	m ə f l uː d͡ʒ
مقتدر	m ʊ q t̪ ə d̪ ə ɾ
منتظمین	m ʊ n t̪ ə z m iː n
ناٹ	n ɑː ʈ
ناکامیوں	n ɑː k ɑː m ɪ j õː
نجفی	n ə d͡ʒ f iː
وزارتیں	ʋ ɪ z ɑː ɾ ə t̪ ẽː
ول	ʋ ə l
ٹک	ʈ ə k
پالیسیاں	p ɑː l iː s ɪ j ɑ̃ː
پھرتی	pʰ ə ɾ t̪ iː
پیلے	p ɛː l eː
چرا	t͡ʃ ə ɾ ɑː
چمڑے	t͡ʃ ə m ɽ eː
چھپائے	t͡ʃʰ ə p ɑː eː
چھڑا	t͡ʃʰ ə ɽ ɑː
ڈرنے	ɖ ə ɾ n eː
کبیرہ	k ə b iː ɾ ɑ
کتابی	k ə t̪ ɑː b iː
کرادیا	k ə ɾ ɑː d̪ ɪ j ɑː
کندہ	k ə n d̪ ɑ
کچرا	k ə t͡ʃ ɾ ɑː
کچرے	k ə t͡ʃ ɾ eː
کھلم	kʰ ə l ə m
کہاکہ	k ə ɦ ɑː k ɑ
کہلانے	k ə ɦ l ɑː n eː
گارڈز	ɡ ɑː ɾ ɖ ɪ z
گنوا	ɡ ə n ʋ ɑː
یکطرفہ	j ə k t̪ ə ɾ f ɑ
اسنے	ə s n eː
اسٹور	ə s ʈ uː ɾ
امنگوں	ə m ə ŋ ɡ õː
بدتمیزی	b ə d̪ t̪ ə m iː z iː
بلاوجہ	b ə l ɑː ʋ ə d͡ʒ ɑ
بکھرے	b ə kʰ ɾ eː
تدوین	t̪ ə d̪ ʋ iː n
تعمیری	t̪ ə m iː ɾ iː
جلنے	d͡ʒ ə l n eː
جنگلوں	d͡ʒ ə ŋ ɡ l õː
حسنین	ɦ ə s n iː n
خاصے	x ɑː s eː
دفتری	d̪ ə f t̪ ə ɾ iː
رسک	ɾ ə s k
ریزہ	ɾ eː z ɑ
ریڑھ	ɾ eː ɽʱ
سد	s ə d̪
سلامی	s ə l ɑː m iː
سولر	s uː l ə ɾ
عزتی	ə z t̪ iː
عملا	ə m l ɑː
غیروں	ɣ ɛː ɾ õː
فرماں	f ə ɾ m ɑ̃ː
ماجہ	m ɑː d͡ʒ ɑ
ماورائے	m ɑː ʋ ɾ ɑː eː
مبذول	m ə b z uː l
مبہم	m ə b ɦ ə m
مطیع	m ə t̪ iː
مگن	m ə ɡ ə n
مہ	m ɑː
ناسا	n ɑː s ɑː
پارے	p ɑː ɾ eː
پستی	p ə s t̪ iː
ڈالو	ɖ ɑː l oː
ڈین	ɖ ɛː n
کانپ	k ɑ̃ː p
کرشنا	k ə ɾ ɪ ʃ n ɑː
کپتانی	k ə p t̪ ɑː n iː
your	j uː ɾ
اخوت	ə x ʋ ə t̪
ادنی	ə d̪ n iː
اصناف	ɪ s n ɑː f
افرادی	ə f ɾ ɑː d̪ iː
انکم	ə ŋ k ə m
ایجنٹوں	iː d͡ʒ ə n ʈ õː
بختیار	b ə x t̪ ɪ j ɑː ɾ
بدلی	b ə d̪ l iː
بصرہ	b ə s ɾ ɑ
بٹھایا	b ə ʈʰ ɑː j ɑː
بڑھائیں	b ə ɽʱ ɑː ẽː
بڑھاتے	b ə ɽʱ ɑː t̪ eː
بڑھانا	b ə ɽʱ ɑː n ɑː
بہاری	b ə ɦ ɑː ɾ iː
تان	t̪ ɑː n
تعزیرات	t̪ ə z iː ɾ ɑː t̪
حر	ɦ ə ɾ
خریدتے	x ə ɾ iː d̪ ə t̪ eː
دباو	d̪ ə b ɑː ʋ
دریغ	d̪ ə ɾ iː ɣ
رقوم	ɾ ə q uː m
رنگا	ɾ ə ŋ ɡ ɑː
زرمبادلہ	z ə ɾ m b ɑː d̪ l ɑ
سلور	s ə l uː ɾ
سوپر	s oː p ə ɾ
سکردو	s ə k ə ɾ d̪ oː
سیکریٹریٹ	s iː k ɾ eː ʈ ɾ eː ʈ
صفی	s ə f iː
طلائی	t̪ ə l ɑː iː
عبدالحمید	ɪ b d̪ ɑː l ɦ ə m iː d̪
عداوت	ɪ d̪ ɑː ʋ ə t̪
لائٹس	l ɑː ɪ ʈ ɪ s
لات	l ɑː t̪
لدھیانوی	l ə d̪ʱ j ɑː n ʋ iː
مارٹم	m ɑː ɾ ʈ ə m
مثنوی	m ə s n ə ʋ iː
ملوں	m ə l õː
مینے	m iː n eː
ناطے	n ɑː t̪ eː
ناڈو	n ɑː ɖ oː
نشانے	n ɪ ʃ ɑː n eː
واچ	ʋ ɑː t͡ʃ
ورد	ʋ ə ɾ d̪
پاداش	p ɑː d̪ ɑː ʃ
پت	p ə t̪
پزیر	p ə z iː ɾ
پلی	p ə l iː
پوچھو	p oː t͡ʃʰ oː
کباب	k ə b ɑː b
کرلو	k ə ɾ l oː
کسٹم	k ə s ʈ ə m
کٹائی	k ə ʈ ɑː iː
کھاتی	kʰ ɑː t̪ iː
کہکشاں	k ə ɦ k ə ʃ ɑ̃ː
کیمروں	k ɛː m ə ɾ õː
گرہ	ɡ ə ɾ ɑ
ہارڈ	ɦ ɑː ɾ ɖ
ہفت	ɦ ə f t̪
ہینڈل	ɦ ɛː n ɖ ə l
یزیدی	j ə z iː d̪ iː
or	oː ɾ
آہنی	ɑː ɦ n iː
احیاء	ə ɦ j ɑː
اخباروں	ə x b ɑː ɾ õː
الجھ	ə l d͡ʒʱ
انرجی	ə n ɾ ə d͡ʒ iː
اچھل	ə t͡ʃʰ ə l
برد	b ə ɾ d̪
بعدازاں	b ə d̪ ɑː z ɑ̃ː
بوائے	b ə ʋ ɑː eː
بٹگرام	b ə ʈ ɡ ɾ ɑː m
بیٹ	b eː ʈ
تعریفیں	t̪ ə ɾ iː f ẽː
تلک	t̪ ə l ə k
حرکتوں	ɦ ə ɾ k ə t̪ õː
خسرو	x ə s ɾ oː
راجیو	ɾ ɑː d͡ʒ ɪ j oː
ریجن	ɾ eː d͡ʒ ə n
زم	z ə m
زمرہ	z ə m ɾ ɑ
سرجیکل	s ə ɾ d͡ʒ iː k ə l
سرسبز	s ə ɾ s ə b z
سرہ	s ə ɾ ɑ
سورتوں	s uː ɾ ə t̪ õː
سیا	s ə j j ɑː
شاخوں	ʃ ɑː x õː
شاٹ	ʃ ɑː ʈ
شرکا	ʃ ə ɾ k ɑː
شمارے	ʃ ə m ɑː ɾ eː
شین	ʃ iː n
صفا	s ə f ɑː
غیبت	ɣ ɛː b ə t̪
فا	f ɑː
فصیح	f ə s iː ɦ
قندھار	q ə n d̪ʱ ɑː ɾ
لہریں	l ə ɦ ɾ ẽː
ماڈرن	m ɑː ɖ ɾ ə n
مدح	m ə d̪ ɦ
مرغ	m ə ɾ ɣ
مسلہ	m ə s l ɑ
مناظرہ	m ʊ n ɑː z ɪ ɾ ɑ
ناسور	n ɑː s uː ɾ
نبیل	n ə b iː l
نظری	n ə z ɾ iː
نقص	n ə q s
نک	n ə k
ٹام	ʈ ɑː m
ٹھوکر	ʈʰ uː k ə ɾ
پات	p ɑː t̪
پریمیئر	p ɾ iː m eː ɪ ɾ
پکڑی	p ə k ɽ iː
پہاڑیوں	p ə ɦ ɑː ɽ ɪ j õː
چائنہ	t͡ʃ ɑː ɪ n ɑ
چارلس	t͡ʃ ɑː ɾ l ɪ s
چوہوں	t͡ʃ oː ɦ õː
ڈھل	ɖʱ ə l
کبوتر	k ə b uː t̪ ə ɾ
گوپال	ɡ oː p ɑː l
us	ʊ s
ابرار	ɪ b ɾ ɑː ɾ
اختتامی	ɪ x t̪ ɪ t̪ ɑː m iː
العظمی	ə l ə z m iː
الٹے	ə l ʈ eː
اٹھتی	ə ʈʰ t̪ iː
ایمنسٹی	iː m ə n s ʈ iː
بجھانے	b ə d͡ʒʱ ɑː n eː
بزدل	b ə z d̪ ə l
بسے	b ə s eː
بلدیات	b ə l d̪ ɪ j ɑː t̪
بلندیوں	b ə l ə n d̪ ɪ j õː
بھا	bʱ ɑː
تحریف	t̪ ə ɦ ɾ iː f
ترانے	t̪ ə ɾ ɑː n eː
تفتیشی	t̪ ə f t̪ iː ʃ iː
تقریریں	t̪ ə q ɾ iː ɾ ẽː
تما	t̪ ə m ɑː
تکفیری	t̪ ə k f iː ɾ iː
ثمرات	s ə m ɾ ɑː t̪
جلے	d͡ʒ ə l eː
جمادی	d͡ʒ ə m ɑː d̪ iː
جنجوعہ	d͡ʒ ə n d͡ʒ uː ɑ
جوار	d͡ʒ ə ʋ ɑː ɾ
خروج	x ə ɾ uː d͡ʒ
دانا	d̪ ɑː n ɑː
دانہ	d̪ ɑː n ɑ
دکھوں	d̪ ə kʰ õː
راہی	ɾ ɑː ɦ iː
ریاستہائے	ɾ ɪ j ɑː s t̪ ə ɦ ɑː eː
سارک	s ɑː ɾ ɪ k
سلنڈر	s ə l ə n ɖ ə ɾ
سلیقہ	s ə l iː q ɑ
سمن	s ə m ə n
سنبھالی	s ə m bʱ ɑː l iː
سنجے	s ə n d͡ʒ eː
شاپ	ʃ ɑː p
شاہراہوں	ʃ ɑː ɦ ɾ ɑː ɦ õː
صدق	s ə d̪ ə q
طباعت	t̪ ə b ɑː ə t̪
طر	t̪ ə ɾ
علیہا	ə l ɪ j ɦ ɑː
عیال	ɪ j ɑː l
فال	f ɑː l
لاجواب	l ɑː d͡ʒ ʋ ɑː b
لت	l ə t̪
لکھتی	l ə kʰ t̪ iː
محاورے	m ʊ ɦ ɑː ʋ ə ɾ eː
معالج	m ʊ ɑː l ɪ d͡ʒ
مکتوب	m ə k t̪ uː b
مہاجروں	m ə ɦ ɑː d͡ʒ ə ɾ õː
میٹ	m eː ʈ
میڈیسن	m eː ɖ iː s ə n
نالوں	n ɑː l õː
نفوس	n ə f uː s
والہانہ	ʋ ɑː l ɦ ɑː n ɑ
وانا	ʋ ɑː n ɑː
وکرم	ʋ ə k ɾ ə m
پاؤنڈ	p ɑː ʊ n ɖ
پٹیشن	p ə ʈ eː ʃ ə n
پڑھاتے	p ə ɽʱ ɑː t̪ eː
چلڈرن	t͡ʃ ə l ɖ ə ɾ ə n
ڈا	ɖ ɑː
کامیڈی	k ɑː m eː ɖ iː
کرچکی	k ə ɾ t͡ʃ ə k iː
کلارک	k ə l ɑː ɾ ə k
گایا	ɡ ɑː j ɑː
گمشدگی	ɡ ʊ m ʃ ə d̪ ɡ iː
ہسٹری	ɦ ə s ʈ ɾ iː
ہیبت	ɦ ɛː b ə t̪
افریقا	ə f ɾ iː q ɑː
الرحمہ	ə l ɾ ə ɦ m ɑ
العمل	ə l ə m ə l
انبیا	ə m b ɪ j ɑː
انواع	ə n ʋ ɑː
بازاری	b ɑː z ɑː ɾ iː
باندھا	b ɑː n d̪ʱ ɑː
برفانی	b ə ɾ f ɑː n iː
بنوا	b ə n ʋ ɑː
بولیاں	b uː l ɪ j ɑ̃ː
بیتی	b ɛː t̪ iː
تلافی	t̪ ə l ɑː f iː
جلن	d͡ʒ ə l ə n
حاجیوں	ɦ ɑː d͡ʒ ɪ j õː
حسینہ	ɦ ə s iː n ɑ
داں	d̪ ɑ̃ː
روتا	ɾ uː t̪ ɑː
سانچے	s ɑ̃ː t͡ʃ eː
سرائے	s ə ɾ ɑː eː
سنہا	s ə n ɦ ɑː
عمیر	ə m iː ɾ
لےکر	l eː k ə ɾ
مامون	m ɑː m uː n
مباحثے	m ʊ b ɑː ɦ ɪ s eː
مصور	m ə s uː ɾ
ملعون	m ə l uː n
میڈرڈ	m eː ɖ ɾ ə ɖ
پاکستا	p ɑː k ɪ s t̪ ɑː
پتھراؤ	p ə t̪ʰ ɾ ɑː oː
پرور	p ə ɾ ʋ ə ɾ
پیشن	p ɛː ʃ ə n
چائلڈ	t͡ʃ ɑː ɪ l ɖ
چھاڑ	t͡ʃʰ ɑː ɽ
کااعلان	k ɑː ɪ l ɑː n
کفیل	k ə f iː l
کوئے	k oː eː
کھویا	kʰ oː j ɑː
گھڑ	ɡʱ ə ɽ
ہنسنے	ɦ ə n s n eː
آزادکشمیر	ɑː z ɑː d̪ k ɪ ʃ m iː ɾ
احمر	ə ɦ m ə ɾ
الحاج	ɪ l ɦ ɑː d͡ʒ
اچھائی	ə t͡ʃʰ ɑː iː
ایمپائر	iː m p ɑː ɪ ɾ
ایپل	iː p ə l
بابت	b ɑː b ə t̪
باک	b ɑː k
براڈ	b ə ɾ ɑː ɖ
بریڈ	b ə ɾ eː ɖ
بٹالین	b ə ʈ ɑː l iː n
بھاگے	bʱ ɑː ɡ eː
بھرتے	bʱ ə ɾ t̪ eː
بھینٹ	bʱ ĩː ʈ
بیہودہ	b eː ɦ uː d̪ ɑ
تاوان	t̪ ɑː ʋ ɑː n
جائےگا	d͡ʒ ɑː eː ɡ ɑː
حالاں	ɦ ɑː l ɑ̃ː
خامیاں	x ɑː m ɪ j ɑ̃ː
خامیوں	x ɑː m ɪ j õː
خیمے	x ɛː m eː
دب	d̪ ə b
درمیانے	d̪ ə ɾ m ɪ j ɑː n eː
دھر	d̪ʱ ə ɾ
دھرمی	d̪ʱ ə ɾ m iː
راجپوت	ɾ ɑː d͡ʒ p uː t̪
رگوں	ɾ ə ɡ õː
رگڑ	ɾ ə ɡ ə ɽ
ریال	ɾ ɪ j ɑː l
سرخرو	s ə ɾ x ə ɾ oː
سفارشات	s ə f ɑː ɾ ɪ ʃ ɑː t̪
سنائے	s ə n ɑː eː
سنبھالے	s ə m bʱ ɑː l eː
شائستہ	ʃ ɑː ɪ s t̪ ɑ
شکاگو	ʃ ɪ k ɑː ɡ oː
صدمے	s ə d̪ m eː
صراط	s ə ɾ ɑː t̪
طریقت	t̪ ə ɾ iː q ə t̪
عبدالکریم	ɪ b d̪ ɑː l k ə ɾ iː m
عیدالاضحی	ɛː d̪ ɑː l ɑː z ɦ iː
غزنوی	ɣ ə z n ə ʋ iː
قلمی	q ə l m iː
لاتی	l ɑː t̪ iː
لاپتا	l ɑː p t̪ ɑː
لخت	l ə x t̪
لکھوں	l ə kʰ õː
لکی	l ə k iː
لگاتی	l ə ɡ ɑː t̪ iː
ماڈلز	m ɑː ɖ ɪ l z
مایا	m ɑː j ɑː
مستفید	m ʊ s t̪ ə f iː d̪
مصوری	m ə s uː ɾ iː
میرٹھ	m eː ɾ ʈʰ
مینا	m iː n ɑː
مینیجر	m iː n iː d͡ʒ ə ɾ
نافع	n ɑː f eː
نالہ	n ɑː l ɑ
نہج	n ə ɦ ə d͡ʒ
ورکشاپ	ʋ ə ɾ k ɪ ʃ ɑː p
وو	ʋ oː
وکی	ʋ ə k iː
ویک	ʋ eː k
پارس	p ɑː ɾ ɪ s
پالنے	p ɑː l n eː
پانیوں	p ɑː n ɪ j õː
پسماندگی	p ə s m ɑː n d̪ ə ɡ iː
پوسٹر	p uː s ʈ ə ɾ
پکارتے	p ə k ɑː ɾ t̪ eː
پگڑی	p ə ɡ ɽ iː
پھرنے	pʰ ə ɾ n eː
پیرزادہ	p ɛː ɾ z ɑː d̪ ɑ
پینتالیس	p ɛː n t̪ ɑː l iː s
چوہے	t͡ʃ oː ɦ eː
چھن	t͡ʃʰ ə n
کارپوریٹ	k ɑː ɾ p uː ɾ eː ʈ
کارڈز	k ɑː ɾ ɖ ɪ z
کرمانی	k ə ɾ m ɑː n iː
کسر	k ə s ə ɾ
کمایا	k ə m ɑː j ɑː
کوک	k oː k
کٹے	k ə ʈ eː
کیشن	k eː ʃ ə n
کیمرا	k ɛː m ɾ ɑː
ہنگو	ɦ ə ŋ ɡ oː
ہوسکا	ɦ uː s k ɑː
ہین	ɦ ɛː n
un	ʊ n
آفیسرز	ɑː f iː s ə ɾ z
آفیشل	ɑː f eː ʃ ə l
اجناس	ɪ d͡ʒ n ɑː s
اشکال	ɪ ʃ k ɑː l
اف	ə f
انی	ə n iː
اڑنے	ə ɽ n eː
باگ	b ɑː ɡ
تمل	t̪ ə m ə l
تھانوی	t̪ʰ ɑː n ʋ iː
جمیعت	d͡ʒ ə m iː ə t̪
جید	d͡ʒ eː d̪
جیکٹ	d͡ʒ eː k ə ʈ
دھڑے	d̪ʱ ə ɽ eː
راویوں	ɾ ɑː ʋ ɪ j õː
شازیہ	ʃ ɑː z ɪ j ɑ
شملہ	ʃ ə m l ɑ
طبری	t̪ ə b ɾ iː
طبقاتی	t̪ ə b ə q ɑː t̪ iː
طہارت	t̪ ə ɦ ɑː ɾ ə t̪
فارورڈ	f ɑː ɾ uː ɾ ɖ
كر	k ə ɾ
لٹا	l ə ʈ ɑː
لٹریچر	l ə ʈ ɾ iː t͡ʃ ə ɾ
مجبورا	m ə d͡ʒ b uː ɾ ɑː
مرچ	m ə ɾ t͡ʃ
مرہم	m ə ɾ ɦ ə m
مصدر	m ʊ s d̪ ə ɾ
نائجیریا	n ɑː ɪ d͡ʒ iː ɾ ɪ j ɑː
نصوص	n ə s uː s
ٹور	ʈ uː ɾ
پھنسا	pʰ ə n s ɑː
چندے	t͡ʃ ə n d̪ eː
کاٹے	k ɑː ʈ eː
یوگا	j oː ɡ ɑː
my	m iː
ابھرتی	ə bʱ ə ɾ t̪ iː
ابھرے	ə bʱ ɾ eː
اربعین	ə ɾ b ə iː n
ارطغرل	ə ɾ t̪ ə ɣ ɾ ə l
اندازوں	ə n d̪ ɑː z õː
اکنامک	ɪ k n ɑː m ə k
اکھٹے	ə kʰ ʈ eː
ایشوز	iː ʃ uː z
بائیک	b ɑː iː k
بجانے	b ə d͡ʒ ɑː n eː
بزنجو	b ə z ə n d͡ʒ oː
بولڈ	b uː l ɖ
بھجوا	bʱ ə d͡ʒ ʋ ɑː
بیانیے	b ə j ɑː n ɪ j eː
تدابیر	t̪ ə d̪ ɑː b iː ɾ
تراش	t̪ ə ɾ ɑː ʃ
تها	t̪ ə h ɑː
تھما	t̪ʰ ə m ɑː
جریر	d͡ʒ ə ɾ iː ɾ
خمیر	x ə m iː ɾ
دستیابی	d̪ ə s t̪ ɪ j ɑː b iː
دلیری	d̪ ə l iː ɾ iː
دوائیں	d̪ ə ʋ ɑː ẽː
دوکان	d̪ oː k ɑː n
دوہری	d̪ oː ɦ ɾ iː
دھجیاں	d̪ʱ ə d͡ʒ ɪ j ɑ̃ː
رئیسانی	ɾ ə iː s ɑː n iː
روکیں	ɾ oː k ẽː
رکھیے	ɾ ə kʰ j eː
ریٹنگ	ɾ eː ʈ ə ŋ ɡ
زی	z iː
سجایا	s ə d͡ʒ ɑː j ɑː
سرائی	s ə ɾ ɑː iː
سفری	s ə f ɾ iː
سیوریج	s ɛː ʋ ɾ iː d͡ʒ
شاذ	ʃ ɑː z
شہرہ	ʃ ə ɦ ɾ ɑ
طنزیہ	t̪ ə n z ɪ j ɑ
عکاس	ɪ k ɑː s
غذائیت	ɣ ə z ɑː ɪ j ə t̪
فتنے	f ə t̪ n eː
لالی	l ɑː l iː
لودھراں	l oː d̪ʱ ɾ ɑ̃ː
مانگو	m ɑː ŋ ɡ oː
مجتبی	m ʊ d͡ʒ t̪ ə b iː
مشروب	m ə ʃ ɾ uː b
مشینوں	m ə ʃ iː n õː
مضافاتی	m ʊ z ɑː f ɑː t̪ iː
مغز	m ə ɣ z
منظرعام	m ə n z ɪ ɾ ɑː m
مکانوں	m ə k ɑː n õː
ناگوار	n ɑː ɡ ʋ ɑː ɾ
نثری	n ə s ɾ iː
نجف	n ə d͡ʒ ə f
نظرثانی	n ə z ə ɾ s ɑː n iː
نم	n ə m
نچھاور	n ə t͡ʃʰ ɑː ʋ ə ɾ
نیکیاں	n eː k ɪ j ɑ̃ː
واصل	ʋ ɑː s ɪ l
ورزیوں	ʋ ə ɾ z ɪ j õː
وصولی	ʋ ə s uː l iː
پاش	p ɑː ʃ
پرعمل	p ə ɾ ə m ə l
پروازیں	p ə ɾ ʋ ɑː z ẽː
پروں	p ə ɾ õː
پنشن	p ə n ʃ ə n
چارٹر	t͡ʃ ɑː ɾ ʈ ə ɾ
چلوں	t͡ʃ ə l õː
کررہاہے	k ə ɾ ɾ ɪ ɦ ɑː ɦ eː
کشادہ	k ə ʃ ɑː d̪ ɑ
کوتاہی	k oː t̪ ɑː ɦ iː
کوٹلی	k oː ʈ l iː
کھرل	kʰ ə ɾ ə l
کیلنڈر	k ɛː l ə n ɖ ə ɾ
گورے	ɡ oː ɾ eː
گپتا	ɡ ə p t̪ ɑː
man	m ɑː n
آگئیں	ɑː ɡ ə ẽː
ابیب	ə b iː b
اجتماعات	ɪ d͡ʒ t̪ ɪ m ɑː ɑː t̪
اجے	ə d͡ʒ eː
اغراض	ɪ ɣ ɾ ɑː z
بارہویں	b ɑː ɾ ɦ ə ʋ ẽː
برائیاں	b ə ɾ ɑː ɪ j ɑ̃ː
بستے	b ə s t̪ eː
بطن	b ə t̪ ə n
بھرمار	bʱ ə ɾ m ɑː ɾ
توڑے	t̪ oː ɽ eː
جوئے	d͡ʒ uː eː
جوائن	d͡ʒ ə ʋ ɑː ɪ n
جگت	d͡ʒ ə ɡ ə t̪
حدیثیں	ɦ ə d̪ iː s ẽː
حرص	ɦ ə ɾ s
حسان	ɦ ə s ɑː n
حیاتیاتی	ɦ ə j ɑː t̪ ɪ j ɑː t̪ iː
خدائے	x ə d̪ ɑː eː
خداوندی	x ə d̪ ɑː ʋ ə n d̪ iː
دستگیر	d̪ ə s t̪ ə ɡ iː ɾ
راول	ɾ ɑː ʋ ə l
رنگے	ɾ ə ŋ ɡ eː
روداد	ɾ oː d̪ ɑː d̪
رومانوی	ɾ oː m ɑː n ʋ iː
سفاک	s ə f ɑː k
سوس	s uː s
شئیر	ʃ ə iː ɾ
شد	ʃ ə d̪
صلاحیتیں	s ə l ɑː ɦ ɪ j ə t̪ ẽː
فرمانے	f ə ɾ m ɑː n eː
فکریہ	f ə k ɾ ɪ j ɑ
قصد	q ə s ə d̪
قندیل	q ə n d̪ iː l
لائنوں	l ɑː ɪ n õː
لٹک	l ə ʈ ə k
مستی	m ə s t̪ iː
معصومیت	m ə s uː m ɪ j ə t̪
منائیں	m ə n ɑː ẽː
نعتیہ	n ə ə t̪ ɪ j ɑ
نےکہا	n eː k ɦ ɑː
وزٹ	ʋ ə z ə ʈ
وٹامن	ʋ ə ʈ ɑː m ə n
ٹا	ʈ ɑː
ٹکنالوجی	ʈ ə k n ɑː l oː d͡ʒ iː
پھرے	pʰ ə ɾ eː
چھبیس	t͡ʃʰ ə b iː s
چہل	t͡ʃ ə ɦ ə l
چیر	t͡ʃ iː ɾ
ڈیزائنر	ɖ eː z ɑː ɪ n ə ɾ
کارآمد	k ɑː ɾ ɑː m ə d̪
کرادی	k ə ɾ ɑː d̪ iː
کروشیا	k ə ɾ oː ʃ ɪ j ɑː
کھربوں	kʰ ə ɾ b õː
کینیڈین	k ɛː n eː ɖ ɪ j ə n
گارنٹی	ɡ ɑː ɾ ə n ʈ iː
گریجویشن	ɡ ə ɾ iː d͡ʒ ʋ eː ʃ ə n
he	h eː
آسکر	ɑː s k ə ɾ
اجسام	ɪ d͡ʒ s ɑː m
ارضی	ə ɾ z iː
استغاثہ	ɪ s t̪ ɪ ɣ ɑː s ɑ
اسمتھ	ə s m ə t̪ʰ
اصلیت	ə s l ɪ j ə t̪
اعلانات	ɪ l ɑː n ɑː t̪
الجھا	ə l d͡ʒʱ ɑː
اوڑھ	uː ɽʱ
اٹھائیس	ə ʈʰ ɑː iː s
برائیوں	b ə ɾ ɑː ɪ j õː
بزرگان	b ə z ə ɾ ɡ ɑː n
بنگلا	b ə ŋ ɡ l ɑː
بوسیدہ	b uː s iː d̪ ɑ
بھٹک	bʱ ə ʈ ə k
بیسن	b eː s ə n
تاسیس	t̪ ɑː s iː s
تخریب	t̪ ə x ɾ iː b
تھکن	t̪ʰ ə k ə n
تیغ	t̪ ɛː ɣ
جلاوطنی	d͡ʒ ə l ɑː ʋ ə t̪ n iː
جمی	d͡ʒ ə m iː
جوق	d͡ʒ uː q
حرکتیں	ɦ ə ɾ k ə t̪ ẽː
حمایتی	ɦ ə m ɑː j ə t̪ iː
حکمراں	ɦ ə k m ə ɾ ɑ̃ː
حیوانات	ɦ ɛː ʋ ɑː n ɑː t̪
دلوانے	d̪ ə l ʋ ɑː n eː
دھڑ	d̪ʱ ə ɽ
دیوانے	d̪ eː ʋ ɑː n eː
رفعت	ɾ ə f ə t̪
ستارا	s ɪ t̪ ɑː ɾ ɑː
سطحوں	s ə t̪ ɦ õː
سنبھل	s ə m bʱ ə l
سیول	s ɛː ʋ ə l
شیٹ	ʃ eː ʈ
ضیاع	z ɪ j ɑː
ظریفی	z ə ɾ iː f iː
عاشورہ	ɑː ʃ uː ɾ ɑ
فلپ	f ə l p
قبریں	q ə b ɾ ẽː
لاکر	l ɑː k ə ɾ
مبین	m ə b iː n
متاع	m ʊ t̪ ɑː
محاورہ	m ʊ ɦ ɑː ʋ ə ɾ ɑ
منیجر	m ə n iː d͡ʒ ə ɾ
میڈم	m eː ɖ ə m
نابود	n ɑː b uː d̪
نارائن	n ɑː ɾ ɑː ɪ n
نمبروں	n ə m b ə ɾ õː
نہریں	n ə ɦ ɾ ẽː
نیکیوں	n eː k ɪ j õː
وادیوں	ʋ ɑː d̪ ɪ j õː
وڑائچ	ʋ ə ɽ ɑː ɪ t͡ʃ
ٹل	ʈ ə l
پارکنگ	p ɑː ɾ k ə ŋ ɡ
پامالی	p ɑː m ɑː l iː
پانچوں	p ɑ̃ː t͡ʃ õː
پاکیزگی	p ɑː k eː z ɡ iː
پروازوں	p ə ɾ ʋ ɑː z õː
پلائی	p ə l ɑː iː
چمکدار	t͡ʃ ə m k ə d̪ ɑː ɾ
چناؤ	t͡ʃ ə n ɑː oː
ڈاکہ	ɖ ɑː k ɑ
ڈس	ɖ ə s
ڈوبے	ɖ oː b eː
کابھی	k ɑː bʱ iː
کامن	k ɑː m ə n
