να	n a
πρόληψησ	p ɾ o l i p s i s
πρόσθετο	p ɾ o s θ e t o
πυκνά	p i k n a
πόρο	p o ɾ o
πύραυλο	p i ɾ a v l o
ρέμα	ɾ e m a
ρόμπερτσ	ɾ o b e ɾ t͡s
ρότζερσ	ɾ o d͡z e ɾ s
σαλάτεσ	s a l a t e s
σεναρίου	s e n a ɾ i u
σημερινών	s i m e ɾ i n o n
σιγα	s i ɣ a
σκύλοι	s c i l i
σοσιαλισμόσ	s o s i a l i z m o s
σοσιαλιστικό	s o s i a l i s t i k o
σούζαν	s u z a n
στηρίζονται	s t i ɾ i z o n d e
στοά	s t o a
συγκεκριμένουσ	s i ŋ ɟ e k ɾ i m e n u s
συλλογικέσ	s i l o ʝ i c e s
συμβάλει	s i ɱ v a l i
συναντήσουν	s i n a n d i s u n
συνδέσει	s i n ð e s i
σχεδίαζε	s ç e ð i a z e
σχολικέσ	s x o l i c e s
σύνθετη	s i n θ e t i
ταγματάρχησ	t a ɣ m a t a ɾ ç i s
ταμίασ	t a m i a s
τεντ	t e n d
τεχνητήσ	t e x n i t i s
τζιαι	d͡z i e
τζοσ	d͡z o s
τούμπασ	t u b a s
τούρκικα	t u ɾ c i k a
τρέμει	t ɾ e m i
τρελαθεί	t ɾ e l a θ i
τρυφερή	t ɾ i f e ɾ i
υποβολήσ	i p o v o l i s
υπογράφουν	i p o ɣ r a f u n
υπολοχαγόσ	i p o l o x a ɣ o s
υπόλοιπων	i p o l i p o n
υφή	i f i
φεγγαριού	f e ŋ ɡ a ɾ ʝ u
φιλοι	f i l i
φοιτητικό	f i t i t i k o
φοξ	f o k s
φρανκφούρτησ	f ɾ a ŋ k f u ɾ t i s
φυσάει	f i s a i
φυσικοί	f i s i c i
φωνητικά	f o n i t i k a
χαραλάμπουσ	x a ɾ a l a m b u s
χαρεί	x a ɾ i
χαρούμε	x a ɾ u m e
χτυπήσω	x t i p i s o
όλυμπο	o l i m b o
demo	d e m o
great	ɡ ɾ e a t
hamilton	h a m i l t o n
history	h i s t o ɾ i
jimmy	d͡ʒ i m i
sic	s i k
sin	s i n
start	s t a ɾ t
track	t ɾ a k
άγγλοσ	a ŋ ɡ l o s
άλεν	a l e n
άμμου	a m u
άργησεσ	a ɾ ʝ i s e s
έβανσ	e v a n s
έκτακτα	e k t a k t a
έκτο	e k t o
έλειψεσ	e l i p s e s
ένοχοι	e n o ç i
ήχοι	i ç i
αγνοεί	a ɣ n o i
αγοραστέσ	a ɣ o ɾ a s t e s
αγρότη	a ɣ ɾ o t i
αδελφότητασ	a ð e l f o t i t a s
αη	a i
αισθητή	e s θ i t i
ακούσατε	a k u s a t e
ακυρώσει	a c i ɾ o s i
αλίμονο	a l i m o n o
αλβανική	a l v a n i c i
αλιεία	a ʎ i a
αλουμινίου	a l u m i n i u
ανέθεσε	a n e θ e s e
αναγνωρίζονται	a n a ɣ n o ɾ i z o n d e
αναπνοήσ	a n a p n o i s
αναρχικοί	a n a ɾ ç i c i
ανατεθεί	a n a t e θ i
αναφερόμαστε	a n a f e ɾ o m a s t e
αντίδοτο	a n d i ð o t o
αντίρρηση	a n d i ɾ i s i
αντίστοιχων	a n d i s t i x o n
αντρέασ	a n d ɾ e a s
απέφυγε	a p e f i ʝ e
απευθύνονται	a p e f θ i n o n d e
απιστία	a p i s t i a
απορρίφθηκε	a p o ɾ i f θ i c e
απουσίεσ	a p u s i e s
αποφασίσεισ	a p o f a s i s i s
αποφεύγουν	a p o f e v ɣ u n
απόβαση	a p o v a s i
αράχνεσ	a ɾ a x n e s
αρμόδια	a ɾ m o ð ʝ a
ατέλειεσ	a t e ʎ e s
αφηγήσεισ	a f i ʝ i s i s
βαγόνι	v a ɣ o n i
βασίστηκε	v a s i s t i c e
βγάζετε	v ɣ a z e t e
βιομηχανικών	v i o m i x a n i k o n
βραζιλιάνοσ	v ɾ a z i ʎ a n o s
βρεθείτε	v ɾ e θ i t e
βρεθώ	v ɾ e θ o
βρώμικη	v ɾ o m i c i
γαλλίδα	ɣ a l i ð a
γαμήσει	ɣ a m i s i
γε	ʝ e
γεσ	ʝ e s
γεφύρι	ʝ e f i ɾ i
γιούρι	ʝ u ɾ i
γιωργοσ	ʝ o ɾ ɣ o s
γνώριζα	ɣ n o ɾ i z a
γρήγοροσ	ɣ ɾ i ɣ o ɾ o s
γραμμική	ɣ ɾ a m i c i
δάκρυ	ð a k ɾ i
δένδρο	ð e n ð ɾ o
δείγματοσ	ð i ɣ m a t o s
δημιούργημα	ð i m i u ɾ ʝ i m a
διάβαση	ð i̯ a v a s i
διέξοδοσ	ð i e k s o ð o s
διήγημα	ð i i ʝ i m a
διαβάσουν	ð i̯ a v a s u n
διαλέξω	ð i̯ a l e k s o
διατάξεων	ð i̯ a t a k s e o n
διαφωνεί	ð i̯ a f o n i
δικαστικών	ð i k a s t i k o n
διονύσου	ð i o n i s u
διορίστηκε	ð i o ɾ i s t i c e
δολοφονήσει	ð o l o f o n i s i
δραπετεύσει	ð ɾ a p e t e f s i
δσε	ð s e
δώσ	ð o s
εκκρεμότητεσ	e k ɾ e m o t i t e s
εκπαίδευσή	e k p e ð e f s i
εκφράζονται	e k f ɾ a z o n d e
εκφράσω	e k f ɾ a s o
ελβετίασ	e l v e t i a s
ελκυστικό	e l c i s t i k o
ενορία	e n o ɾ i a
ενώνουν	e n o n u n
επαγγέλματοσ	e p a ŋ ɟ e l m a t o s
επαναλήψεισ	e p a n a l i p s i s
επετείου	e p e t i u
επικάλυψη	e p i k a l i p s i
επικοινώνησε	e p i c i n o n i s e
επιτρέψουμε	e p i t ɾ e p s u m e
ερευνητών	e ɾ e v n i t o n
ερχομό	e r x o m o
ερώτησή	e ɾ o t i s i
ετήσιεσ	e t i s i e s
ευαίσθητοσ	e v e s θ i t o s
ευγνώμων	e v ɣ n o m o n
ευρυτανίασ	e v ɾ i t a n i a s
ζητήστε	z i t i s t e
ηθικέσ	i θ i c e s
ηλ	i l
ηνωμένου	i n o m e n u
ηπειρωτική	i p i ɾ o t i c i
θέλησησ	θ e l i s i s
θέσπιση	θ e s p i s i
θανάτων	θ a n a t o n
θεοχάρησ	θ e o x a ɾ i s
θυμήθηκε	θ i m i θ i c e
ιατρικών	i a t ɾ i k o n
ισλαμιστέσ	i s l a m i s t e s
κάθισε	k a θ i s e
κάμπο	k a m b o
κίνησή	c i n i s i
καζαντζάκησ	k a z a n d͡z a c i s
καθιερώθηκε	k a θ i e ɾ o θ i c e
καθυστέρησε	k a θ i s t e ɾ i s e
καθυστερεί	k a θ i s t e ɾ i
καλύτερό	k a l i t e ɾ o
καπνίζεισ	k a p n i z i s
κατάλοιπα	k a t a l i p a
κατέβω	k a t e v o
καταστρέφεται	k a t a s t ɾ e f e t e
καταστροφικό	k a t a s t ɾ o f i k o
κατεχόμενα	k a t e x o m e n a
κατοικεί	k a t i c i
κατσίκα	k a t͡s i k a
κιθάρεσ	c i θ a ɾ e s
κινέζικη	c i n e z i c i
κινούμενα	c i n u m e n a
κομμουνιστήσ	k o m u n i s t i s
κορονοϊού	k o ɾ o n o i u
κρέμεται	k ɾ e m e t e
κυθήρων	c i θ i ɾ o n
κυκλική	c i k l i c i
κυκλώματοσ	c i k l o m a t o s
κόσμον	k o z m o n
λάχανο	l a x a n o
λέγοντάσ	l e ɣ o n d a s
λαμβάνουμε	l a ɱ v a n u m e
λευκούσ	l e f k u s
μέσι	m e s i
μήκη	m i c i
μαζεύουν	m a z e v u n
μαντέψτε	m a n d e p s t e
μεγαλώσουν	m e ɣ a l o s u n
μετατροπήσ	m e t a t ɾ o p i s
μεταφερθούν	m e t a f e ɾ θ u n
μηνά	m i n a
μηνόσ	m i n o s
μηχανημάτων	m i x a n i m a t o n
μπαλάκια	b a l a c a
μπόλικο	b o l i k o
μυθικό	m i θ i k o
μύθου	m i θ u
νάτριο	n a t ɾ i o
νηπιαγωγεία	n i p ç a ɣ o ʝ i a
νικόλ	n i k o l
νοιώθει	n i o θ i
νοτιοδυτικά	n o t i o ð i t i k a
ντιτρόιτ	d i t ɾ o i̯ t
ντυμένοσ	d i m e n o s
ξεπεράσουμε	k s e p e ɾ a s u m e
ξερά	k s e ɾ a
ξημέρωμα	k s i m e ɾ o m a
οικείο	i c i o
οπλοστάσιο	o p l o s t a s i o
ορίου	o ɾ i u
οσίου	o s i u
πέραμα	p e ɾ a m a
παθών	p a θ o n
παντρεύτηκαν	p a n d ɾ e f t i k a n
παράκληση	p a ɾ a k l i s i
παρέμενε	p a ɾ e m e n e
παρέχονται	p a ɾ e x o n d e
παρασκήνια	p a ɾ a s c i ɲ a
παρεισ	p a ɾ i s
παρενόχληση	p a ɾ e n o x l i s i
πατάει	p a t a i
περιεχόμενα	p e ɾ i e x o m e n a
περιστρέφεται	p e ɾ i s t ɾ e f e t e
πετρούπολησ	p e t ɾ u p o l i s
πηγάδια	p i ɣ a ð ʝ a
πηλίου	p i l i u
πιέζουν	p ç e z u n
πικρή	p i k ɾ i
πιστεύαμε	p i s t e v a m e
ποδήλατα	p o ð i l a t a
ποταμιού	p o t a m ɲ u
πούλμαν	p u l m a n
προβληματίζει	p ɾ o v l i m a t i z i
προορισμοί	p ɾ o o ɾ i z m i
προσπαθειών	p ɾ o s p a θ i o n
προτιμούσε	p ɾ o t i m u s e
πρωτίστωσ	p ɾ o t i s t o s
πρωταγωνιστικό	p ɾ o t a ɣ o n i s t i k o
πρωταγωνιστούν	p ɾ o t a ɣ o n i s t u n
πρόσθετη	p ɾ o s θ e t i
ρευστότητασ	ɾ e f s t o t i t a s
ρόμπιν	ɾ o b i n
σεβόμαστε	s e v o m a s t e
σημαντικού	s i m a n d i k u
σιγουροσ	s i ɣ u ɾ o s
σιωπήσ	s i o p i s
σκασε	s k a s e
σκληροί	s k l i ɾ i
σκοτώνεισ	s k o t o n i s
στήθηκε	s t i θ i c e
συγχωρείσ	s i ŋ x o ɾ i s
συμβάντα	s i ɱ v a n d a
συμβατική	s i ɱ v a t i c i
συμμορίεσ	s i m o ɾ i e s
συμφωνα	s i ɱ f o n a
συνεπήσ	s i n e p i s
συντρόφων	s i n d ɾ o f o n
σύζυγοι	s i z i ʝ i
σύριζα	s i ɾ i z a
τέμενοσ	t e m e n o s
τίμησαν	t i m i s a n
ταχύτερα	t a ç i t e ɾ a
τερμάτισαν	t e ɾ m a t i s a n
τεχνητά	t e x n i t a
τζάστιν	d͡z a s t i n
τηλεφώνων	t i l e f o n o n
τοίχου	t i x u
τοξικό	t o k s i k o
τραίνο	t ɾ e n o
υποδεικνύουν	i p o ð i k n i u n
υπολογίζονται	i p o l o ʝ i z o n d e
υπολογιστεί	i p o l o ʝ i s t i
υποχωρεί	i p o x o ɾ i
φέραμε	f e ɾ a m e
φασιστική	f a s i s t i c i
φιλίπ	f i l i p
φιλιππίνεσ	f i l i p i n e s
φλεγμονή	f l e ɣ m o n i
φτιαγμένα	f t i a ɣ m e n a
φυλών	f i l o n
χάρντι	x a ɾ d i
χαμογέλασε	x a m o ʝ e l a s e
χειρόγραφα	ç i ɾ o ɣ ɾ a f a
χειρόγραφο	ç i ɾ o ɣ ɾ a f o
χοτ	x o t
χρύσα	x ɾ i s a
χτύπα	x t i p a
ψεύτεσ	p s e f t e s
coffee	k o f i
ex	ɛ k s
sam	s a m
ultra	u l t ɾ a
vip	v i p
week	w i k
work	w ɔ ɾ k
άλλαξεσ	a l a k s e s
άνταμσ	a n d a m s
έβλεπεσ	e v l e p e s
έκρυβε	e k ɾ i v e
έντονησ	e n d o n i s
έρημοσ	e ɾ i m o s
ίππων	i p o n
αγωνίασ	a ɣ o n i a s
αδιάφορο	a ð i̯ a f o ɾ o
αθλήματοσ	a θ l i m a t o s
ακολουθήσω	a k o l u θ i s o
ακροατήριο	a k ɾ o a t i ɾ i o
ανήλικοσ	a n i l i k o s
αναγνωρίστηκε	a n a ɣ n o ɾ i s t i c e
αναδρομικά	a n a ð ɾ o m i k a
ανακοινωθεί	a n a c i n o θ i
αναμενόταν	a n a m e n o t a n
αναπτύσσουν	a n a p t i s u n
αναρωτιέστε	a n a ɾ o t ç e s t e
αναφερόταν	a n a f e ɾ o t a n
ανδρέου	a n ð ɾ e u
ανεπίσημα	a n e p i s i m a
ανταρσυα	a n d a ɾ s i a
αντικειμενικά	a n d i c i m e n i k a
αντιμετωπίσετε	a n d i m e t o p i s e t e
απάτησ	a p a t i s
απαγορεύονται	a p a ɣ o ɾ e v o n d e
απαγόρευσησ	a p a ɣ o ɾ e f s i s
αποδειχτεί	a p o ð i x t i
αποκαλούσαν	a p o k a l u s a n
αχαρνών	a x a ɾ n o n
αόρατο	a o ɾ a t o
βίαιεσ	v i e e s
βγαίνετε	v ʝ e n e t e
βιογραφία	v i o ɣ ɾ a f i a
βλάψει	v l a p s i
βράζει	v ɾ a z i
βρέφη	v ɾ e f i
βραδινή	v ɾ a ð i n i
βρεθείσ	v ɾ e θ i s
γείτονέσ	ʝ i t o n e s
γενεύησ	ʝ e n e v i s
γεννητικά	ʝ e n i t i k a
γερή	ʝ e ɾ i
γεωμετρία	ʝ e o m e t ɾ i a
γκίκασ	ɟ i k a s
γλίτωσε	ɣ l i t o s e
γνωμη	ɣ n o m i
γνωρίζαμε	ɣ n o ɾ i z a m e
γου	ɣ u
γράψιμο	ɣ ɾ a p s i m o
γρίπησ	ɣ ɾ i p i s
δεξίωση	ð e k s i o s i
δημιουργούσε	ð i m i u ɾ ɣ u s e
δημοσιευθεί	ð i m o s i e f θ i
δημοτικο	ð i m o t i k o
διάμετροσ	ð i̯ a m e t ɾ o s
διάταξησ	ð i̯ a t a k s i s
διέγερση	ð i e ʝ e ɾ s i
διέρχεται	ð i e ɾ ç e t e
διαδοχικέσ	ð i̯ a ð o ç i c e s
διασχίζει	ð i̯ a s ç i z i
διασύνδεση	ð i̯ a s i n ð e s i
διαφημιστικά	ð i̯ a f i m i s t i k a
διαφορετικότητα	ð i̯ a f o ɾ e t i k o t i t a
διοξείδιο	ð i o k s i ð i o
διοξειδίου	ð i o k s i ð i u
διώχνει	ð i o x n i
δολοφονήθηκαν	ð o l o f o n i θ i k a n
δολοφόνησαν	ð o l o f o n i s a n
δούλευα	ð u l e v a
δούλευαν	ð u l e v a n
δραστικά	ð ɾ a s t i k a
εθνικούσ	e θ n i k u s
εισέρχονται	i s e ɾ x o n d e
εισαγγελείσ	i s a ŋ ɟ e l i s
εισόδουσ	i s o ð u s
εκεινη	e c i n i
εκπαιδευτήσ	e k p e ð e f t i s
εκτίμησησ	e k t i m i s i s
ελάχιστουσ	e l a ç i s t u s
ελευσίνασ	e l e f s i n a s
ελλαδικό	e l a ð i k o
εμπεριέχει	e m b e ɾ ʝ e ç i
ενδιέφερε	e n ð i e f e ɾ e
ενημερώθηκε	e n i m e ɾ o θ i c e
ενώσει	e n o s i
εορτέσ	e o ɾ t e s
επίπλων	e p i p l o n
επιβιώνει	e p i v i o n i
επιβολήσ	e p i v o l i s
επικρατούσε	e p i k ɾ a t u s e
επιπροσθέτωσ	e p i p ɾ o s θ e t o s
εργα	e ɾ ɣ a
ερευνητή	e ɾ e v n i t i
ερωτηση	e ɾ o t i s i
ετοιμοι	e t i m i
ευλογίεσ	e v l o ʝ i e s
ευρείασ	e v ɾ i a s
ευχαρίστησε	e f x a ɾ i s t i s e
εφραίμ	e f ɾ e m
ζεστασιά	z e s t a s ç a
ηγείται	i ʝ i t e
θελουμε	θ e l u m e
θεωρητικό	θ e o ɾ i t i k o
θησαυρού	θ i s a v ɾ u
θυμαμαι	θ i m a m e
θυμηθείσ	θ i m i θ i s
ισχυρότερη	i s ç i ɾ o t e ɾ i
κάνσασ	k a n s a s
κάρβουνα	k a ɾ v u n a
κέρδισεσ	c e ɾ ð i s e s
καλυτερη	k a l i t e ɾ i
καρότα	k a ɾ o t a
κατέβα	k a t e v a
καταλαβαινω	k a t a l a v e n o
καταφέρετε	k a t a f e ɾ e t e
κατεβαίνουν	k a t e v e n u n
καφενεία	k a f e n i a
κινουμένων	c i n u m e n o n
κλασσικά	k l a s i k a
κληρονόμοσ	k l i ɾ o n o m o s
κλιματικήσ	k l i m a t i c i s
κλινικήσ	k l i n i c i s
κοιμόταν	c i m o t a n
κοιτάζεισ	c i t a z i s
κομμουνιστών	k o m u n i s t o n
κοπάδι	k o p a ð i
κοσμική	k o z m i c i
κουστούμι	k u s t u m i
κτηρίων	k t i ɾ i o n
κόλιν	k o l i n
κόρνερ	k o ɾ n e ɾ
λάβαμε	l a v a m e
λήμνο	l i m n o
λαγκαδά	l a ŋ ɡ a ð a
λαιμού	l e m u
λεγεώνα	l e ʝ e o n a
ληστείεσ	l i s t i e s
ληφθούν	l i f θ u n
λογια	l o ʝ a
λουί	l u i
λωρίδεσ	l o ɾ i ð e s
λόπεζ	l o p e z
μάγκασ	m a ŋ ɡ a s
μαγαζιού	m a ɣ a z ʝ u
μαθηματα	m a θ i m a t a
μεγαλώσαμε	m e ɣ a l o s a m e
μεθοδολογία	m e θ o ð o l o ʝ i a
μελλοντικό	m e l o n d i k o
μεσαίασ	m e s e a s
μεταβίβαση	m e t a v i v a s i
μετράσ	m e t ɾ a s
μιλίων	m i l i o n
νεογέννητο	n e o ʝ e n i t o
νεότερεσ	n e o t e ɾ e s
νησάκι	n i s a c i
νότα	n o t a
ξέπλυμα	k s e p l i m a
ξεκινούσε	k s e c i n u s e
οίδημα	i ð i m a
οδοντίατρο	o ð o n d i a t ɾ o
ονομάζει	o n o m a z i
οξέων	o k s e o n
οργανικέσ	o ɾ ɣ a n i c e s
οργανωμένεσ	o ɾ ɣ a n o m e n e s
οσε	o s e
ουρανούσ	u ɾ a n u s
οφείλουν	o f i l u n
πάσχουν	p a s x u n
πήδημα	p i ð i m a
παγκράτι	p a ŋ ɡ ɾ a t i
παιγνίδι	p e ɣ n i ð i
παιχνιδια	p e x n i ð ʝ a
παλαιότερο	p a l e o t e ɾ o
πανεπιστημιο	p a n e p i s t i m i o
παράξενεσ	p a ɾ a k s e n e s
παραισθήσεισ	p a ɾ e s θ i s i s
παρακολουθείσ	p a ɾ a k o l u θ i s
παραλάβει	p a ɾ a l a v i
παρατηρήθηκε	p a ɾ a t i ɾ i θ i c e
παρεξηγήσεισ	p a ɾ e k s i ʝ i s i s
πειραματικό	p i ɾ a m a t i k o
περιβαλλοντικέσ	p e ɾ i v a l o n d i c e s
περιλάμβανε	p e ɾ i l a ɱ v a n e
περιορίζει	p e ɾ i o ɾ i z i
περιορίζονται	p e ɾ i o ɾ i z o n d e
περισσοτέρων	p e ɾ i s o t e ɾ o n
περιφερειάρχησ	p e ɾ i f e ɾ i a ɾ ç i s
πλάτων	p l a t o n
πληθυσμούσ	p l i θ i z m u s
πλημμύρα	p l i m i ɾ a
πληρώνεται	p l i ɾ o n e t e
ποδηλασία	p o ð i l a s i a
πονέσει	p o n e s i
προβεί	p ɾ o v i
προστίθενται	p ɾ o s t i θ e n d e
πρωτοβουλίασ	p ɾ o t o v u l i a s
πρόθυρα	p ɾ o θ i ɾ a
πρόωρη	p ɾ o o ɾ i
πυροτεχνήματα	p i ɾ o t e x n i m a t a
πόλισ	p o l i s
ρι	ɾ i
σίλβα	s i l v a
σανίδα	s a n i ð a
σβέρκο	z v e ɾ k o
σημείωσαν	s i m i o s a n
σκότωσεσ	s k o t o s e s
στηρίξουν	s t i ɾ i k s u n
συζήτησαν	s i z i t i s a n
συμβολικά	s i ɱ v o l i k a
συνεχέσ	s i n e ç e s
συνηθισμένεσ	s i n i θ i z m e n e s
συνοδεύονται	s i n o ð e v o n d e
συνταγματικού	s i n d a ɣ m a t i k u
συριακό	s i ɾ i a k o
σχηματισμόσ	s ç i m a t i z m o s
ταύρου	t a v ɾ u
τεχνητό	t e x n i t o
τοποθεσίασ	t o p o θ e s i a s
τραγούδησε	t ɾ a ɣ u ð i s e
τροχαίασ	t ɾ o ç e a s
υπενθυμίζει	i p e n θ i m i z i
υπηκοότητα	i p i k o o t i t a
υποτιμάσ	i p o t i m a s
φέρετε	f e ɾ e t e
φιλοξενείται	f i l o k s e n i t e
φυγε	f i ʝ e
φόρμεσ	f o ɾ m e s
χελώνεσ	ç e l o n e s
χοντρά	x o n d ɾ a
χορδέσ	x o ɾ ð e s
χορεύεισ	x o ɾ e v i s
χρηματα	x ɾ i m a t a
χρυσοστόμου	x ɾ i s o s t o m u
ψηλότερο	p s i l o t e ɾ o
όρη	o ɾ i
boys	b ɔ j s
camp	k a m p
extra	ɛ k s t ɾ a
jason	d͡ʒ a s o n
kings	k i ŋ s
mall	m a l
river	ɾ i v e ɾ
romeo	ɾ o m e o
short	ʃ ɔ ɾ t
sweet	s w i t
tips	t i p s
άβολα	a v o l a
άλωση	a l o s i
άντονι	a n d o n i
άπειρα	a p i ɾ a
έβδομη	e v ð o m i
έλαια	e l e a
έλιοτ	e ʎ o t
έννοιασ	e n i a s
αίτιο	e t i o
αγια	a ʝ a
αγνοούνται	a ɣ n o u n d e
αγωνα	a ɣ o n a
αεράκι	a e ɾ a c i
αεροπορικών	a e ɾ o p o ɾ i k o n
αιγίου	e ʝ i u
ακτών	a k t o n
αλεξάνδρασ	a l e k s a n ð ɾ a s
αμινοξέα	a m i n o k s e a
ανάμιξη	a n a m i k s i
αναβίωση	a n a v i o s i
ανακαλύπτουν	a n a k a l i p t u n
αναπληρωτών	a n a p l i ɾ o t o n
αναπόσπαστο	a n a p o s p a s t o
ανδρικά	a n ð ɾ i k a
ανεπιθύμητεσ	a n e p i θ i m i t e s
ανθρώπινοσ	a n θ ɾ o p i n o s
ανοιχτήσ	a n i x t i s
αντηλιακό	a n d i ʎ a k o
αντικαθίσταται	a n d i k a θ i s t a t e
αντικατέστησε	a n d i k a t e s t i s e
ανόητοι	a n o i t i
αξιοπρέπειασ	a k s i o p ɾ e p i a s
απέραντο	a p e ɾ a n d o
απατεώνα	a p a t e o n a
απελευθερώσει	a p e l e f θ e ɾ o s i
αποκτήστε	a p o k t i s t e
απολαυστικό	a p o l a f s t i k o
αποστολη	a p o s t o l i
αποστολών	a p o s t o l o n
αποτελεσμα	a p o t e l e z m a
αποτελεσματα	a p o t e l e z m a t a
απόκριεσ	a p o k ɾ i e s
απόσπαση	a p o s p a s i
