the	t e
ponderada	p õ d e ɾ a d a
preenchida	p ɾ e ẽ ʃ i d a
prendas	p ɾ ẽ d a s
preparatória	p ɾ e p a ɾ a t ɔ ɾ i a
produza	p ɾ o d u z a
projetando	p ɾ o ʒ e t ɐ̃ d o
pueblo	p u ɛ b l o
rasgada	ʁ a z ɡ a d a
rebanhos	ʁ e b ɐ ɲ o s
rebate	ʁ e b a t e
recorrem	ʁ e k o ʁ ẽ j̃
recíproca	ʁ e s i p ɾ o k a
reguladores	ʁ e ɡ u l a d o ɾ e s
rejeitam	ʁ e ʒ e j t ɐ̃ w̃
rejeitando	ʁ e ʒ e j t ɐ̃ d o
reproduzem	ʁ e p ɾ o d u z ẽ j̃
reproduzida	ʁ e p ɾ o d u z i d a
requerida	ʁ e k e ɾ i d a
residuais	ʁ e z i d u a j s
reunirá	ʁ e w n i ɾ a
revoltados	ʁ e v o w t a d o s
ringo	ʁ ĩ ɡ o
rodou	ʁ o d o
rompendo	ʁ õ p ẽ d o
roots	ʁ u t͡ʃ i s
royalties	ʁ o j a w t͡ʃ i e s
saito	s a j t o
secando	s e k ɐ̃ d o
secou	s e k o
senac	s e n a k
serginho	s e ɻ ʒ ĩ ɲ u
servidos	s e ɻ v i d u s
shaun	ʃ a ũ
situam	s i t u ɐ̃ w̃
smoke	i z m ɔ k e
someone	s o m e o n e
suga	s u ɡ a
temiam	t e m i ɐ̃ w̃
tenra	t ẽ ʁ a
those	t ɔ z e
tião	t͡ʃ i ɐ̃ w̃
tornariam	t o ɻ n a ɾ i ɐ̃ w̃
toulouse	t o l o w z e
tramita	t ɾ a m i t a
tratavam	t ɾ a t a v ɐ̃ w̃
urgências	u ɻ ʒ ẽ s i ɐ s
utilidades	u t͡ʃ i l i d a d e s
violada	v i o l a d a
vitoriosos	v i t o ɾ i o z o s
vives	v i v e s
vividas	v i v i d a s
wen	w ẽ j̃
xiitas	ʃ i i t a s
yard	j a ɻ d͡ʒ i
ye	j e
abusando	a b u z ɐ̃ d o
academic	a k a d e m i k
acervos	a s ɛ ɻ v u s
acionada	a s i o n a d a
acostuma	a k o s t u m a
acostumando	a k o s t u m ɐ̃ d o
acreditado	a k ɾ e d͡ʒ i t a d o
adicionadas	a d͡ʒ i s i o n a d a s
agencia	a ʒ ẽ s i a
agency	a ʒ ẽ s i
agravada	a ɡ ɾ a v a d a
alergias	a l e ɻ ʒ i ɐ s
aluga	a l u ɡ a
analisadas	a n a l i z a d a s
aplaudido	a p l a w d͡ʒ i d o
aquecida	a k e s i d a
arrasa	a ʁ a z a
arrecadados	a ʁ e k a d a d o s
arrependida	a ʁ e p ẽ d͡ʒ i d a
atendentes	a t ẽ d ẽ t e s
atrasando	a t ɾ a z ɐ̃ d o
aventureiros	a v ẽ t u ɾ e j ɾ o s
batizados	b a t͡ʃ i z a d o s
blank	b l ɐ̃ k e
buchanan	b u ʃ a n ɐ̃
bíblias	b i b l i a s
cagando	k a ɡ ɐ̃ d o
calorosa	k a l o ɾ ɔ z a
cariri	k a ɾ i ɾ i
carry	k a ʁ i
causará	k a w z a ɾ a
cercaram	s e ɻ k a ɾ ɐ̃ w̃
chart	ʃ a ɻ t͡ʃ
chiquinho	ʃ i k i ɲ o
colada	k o l a d a
comentaram	k o m ẽ t a ɾ ɐ̃ w̃
compridas	k õ p ɾ i d a s
condiz	k õ d͡ʒ i s
configura	k õ f i ɡ u ɾ a
confinado	k õ f i n a d o
confinados	k õ f i n a d o s
conflitantes	k õ f l i t ɐ̃ t e s
conquistadas	k õ k i s t a d a s
consumado	k õ s u m a d o
contagiosa	k õ t a ʒ i ɔ z a
continuemos	k õ t͡ʃ i n u e m o s
convertida	k õ v e ɻ t͡ʃ i d ɐ
convocando	k õ v o k ɐ̃ d o
corporativas	k o ɻ p o ɾ a t͡ʃ i v ɐ s
culpas	k u w p a s
cyril	s i ɾ i w
córregos	k ɔ ʁ e ɡ o s
datena	d a t e n a
dediquei	d e d͡ʒ i k e j
deitei	d e j t e j
descentralizada	d e s ẽ t ɾ a l i z a d a
desfaz	d e s f a j s
despertado	d e s p e ɻ t a d u
diary	d͡ʒ i a ɾ i
digite	d͡ʒ i ʒ i t e
dinah	d͡ʒ i n a
disk	d͡ʒ i s k e
dispunha	d͡ʒ i s p u ɲ a
distinções	d͡ʒ i s t͡ʃ ĩ s õ j̃ s
distrai	d͡ʒ i s t ɾ a j
distribuem	d͡ʒ i s t ɾ i b u ẽ j̃
divirtam	d͡ʒ i v i ɻ t ɐ̃ w̃
dominados	d o m i n a d o s
editados	e d͡ʒ i t a d o s
elmer	e w m e
encargos	ĩ k a ɻ ɡ u s
encarregue	ĩ k a ʁ ɛ ɡ e
encomendou	ĩ k o m ẽ d o
encoraja	ĩ k o ɾ a ʒ a
enfrentará	ĩ f ɾ ẽ t a ɾ a
enjoada	ĩ ʒ o a d a
ensinava	ĩ s i n a v a
entediada	ĩ t e d͡ʒ i a d a
erupções	e ɾ u p i s õ j̃ s
escrúpulos	e s k ɾ u p u l o s
estreitos	e s t ɾ e j t o s
existiria	e z i s t͡ʃ i ɾ i a
exo	ɛ k s o
expatriados	e s p a t ɾ i a d o s
expulsando	e s p u w s ɐ̃ d o
farpado	f a ɻ p a d u
fascina	f a s i n a
finalidades	f i n a l i d a d e s
financia	f i n ɐ̃ s i a
financiou	f i n ɐ̃ s i o
firmino	f i ɻ m ĩ n u
fixou	f i k s o
floresce	f l o ɾ ɛ s e
fofinha	f o f i ɲ a
formulado	f o ɻ m u l a d u
fotografada	f o t o ɡ ɾ a f a d a
francesca	f ɾ ɐ̃ s e s k a
gallagher	ɡ a l a ɡ e
garantam	ɡ a ɾ ɐ̃ t ɐ̃ w̃
gemas	ʒ e m a s
generosos	ʒ e n e ɾ o z o s
goal	ɡ o a w
gozam	ɡ o z ɐ̃ w̃
gramados	ɡ ɾ a m a d o s
grandiosa	ɡ ɾ ɐ̃ d͡ʒ i ɔ z a
guararapes	ɡ w a ɾ a ɾ a p e s
habituados	a b i t u a d o s
hole	ɔ l e
hospeda	o s p e d a
ignorados	i ɡ i n o ɾ a d o s
igp	i ɡ e p e
imaginários	i m a ʒ i n a ɾ i o s
imperiais	ĩ p e ɾ i a j s
implementados	ĩ p l e m ẽ t a d o s
impulsionada	ĩ p u w s i o n a d a
incompetentes	ĩ k õ p e t ẽ t e s
inscrita	ĩ s k ɾ i t a
irritantes	i ʁ i t ɐ̃ t e s
irs	i ɻ s
ismail	i z m a j w
jana	ʒ ɐ n a
juntado	ʒ ũ t a d o
juri	ʒ u ɾ i
juárez	ʒ u a ɾ e j s
lembras	l ẽ b ɾ a s
linguistas	l ĩ ɡ i s t a s
lori	l o ɾ i
louças	l o s a s
macedónia	m a s e d ɔ n i a
maiúsculas	m a j u s k u l a s
manipulando	m a n i p u l ɐ̃ d o
manteria	m ɐ̃ t e ɾ i a
metadados	m e t a d a d o s
mirella	m i ɾ ɛ l a
misturadas	m i s t u ɾ a d a s
montaram	m õ t a ɾ ɐ̃ w̃
montevideo	m õ t e v i d e o
morton	m o ɻ t õ
mostrasse	m o s t ɾ a s e
motion	m o t͡ʃ i õ
moçambicana	m o s ɐ̃ b i k ɐ n a
multiplica	m u w t͡ʃ i p l i k a
nabuco	n a b u k o
nichos	n i ʃ o s
norberto	n o ɻ b ɛ ɻ t u
ocorriam	o k o ʁ i ɐ̃ w̃
oriunda	o ɾ i ũ d a
orçamentárias	o ɻ s a m ẽ t a ɾ i ɐ s
panquecas	p ɐ̃ k ɛ k a s
paraibana	p a ɾ a j b ɐ n a
paralisada	p a ɾ a l i z a d a
participarão	p a ɻ t͡ʃ i s i p a ɾ ɐ̃ w̃
patagônia	p a t a ɡ o n i a
pavimentos	p a v i m ẽ t o s
pax	p a k s
pendurada	p ẽ d u ɾ a d a
persas	p ɛ ɻ s ɐ s
perspetiva	p e ɻ s p e t͡ʃ i v ɐ
peyton	p e j t õ
pine	p i n e
planejei	p l a n e ʒ e j
possuí	p o s u i
preencha	p ɾ e ẽ ʃ a
preguiçosa	p ɾ e ɡ i s ɔ z a
prestações	p ɾ e s t a s õ j̃ s
procuradas	p ɾ o k u ɾ a d a s
proporcionado	p ɾ o p o ɻ s i o n a d u
psicopatas	p i s i k o p a t a s
pudermos	p u d ɛ ɻ m u s
pudéssemos	p u d ɛ s e m o s
quadris	k w a d ɾ i s
rachaduras	ʁ a ʃ a d u ɾ a s
rasgado	ʁ a z ɡ a d o
recomendamos	ʁ e k o m ẽ d ɐ m o s
recreativa	ʁ e k ɾ e a t͡ʃ i v a
redondos	ʁ e d õ d o s
referencia	ʁ e f e ɾ ẽ s i a
reformada	ʁ e f o ɻ m a d ɐ
regis	ʁ e ʒ i s
regulamenta	ʁ e ɡ u l a m ẽ t a
regulamentações	ʁ e ɡ u l a m ẽ t a s õ j̃ s
relâmpagos	ʁ e l ɐ̃ p a ɡ o s
resisti	ʁ e z i s t͡ʃ i
sequeira	s e k e j ɾ a
shots	ʃ ɔ t͡ʃ i s
singela	s ĩ ʒ ɛ l a
soleil	s o l e j w
solicitaram	s o l i s i t a ɾ ɐ̃ w̃
streets	i s t ɾ i t͡ʃ i s
suarez	s u a ɾ e j s
sucre	s u k ɾ e
suscetíveis	s u s e t͡ʃ i v e j s
tancredo	t ɐ̃ k ɾ e d o
tentarei	t ẽ t a ɾ e j
tentasse	t ẽ t a s e
theme	t e m e
tolera	t o l ɛ ɾ a
tomaria	t o m a ɾ i a
tornados	t o ɻ n a d u s
torturados	t o ɻ t u ɾ a d u s
trocava	t ɾ o k a v a
tuita	t u j t a
ul	u w
velasco	v e l a s k o
venture	v ẽ t u ɾ e
vicioso	v i s i o z o
violências	v i o l ẽ s i a s
viragem	v i ɾ a ʒ ẽ j̃
vodafone	v o d a f o n e
webb	w ɛ b e
xu	ʃ u
yasmin	j a z m ĩ
yellow	j ɛ l o
yolanda	j o l ɐ̃ d a
acesas	a s e z a s
acumulados	a k u m u l a d o s
address	a d ɾ ɛ s
advertências	a d͡ʒ i v e ɻ t ẽ s i ɐ s
afunda	a f ũ d a
agraciado	a ɡ ɾ a s i a d o
agrupados	a ɡ ɾ u p a d o s
aguas	a ɡ w a s
amistosos	a m i s t o z o s
apreendidas	a p ɾ e ẽ d͡ʒ i d a s
aprenderem	a p ɾ ẽ d e ɾ ẽ j̃
aprofundado	a p ɾ o f ũ d a d o
aproximaram	a p ɾ o k s i m a ɾ ɐ̃ w̃
araras	a ɾ a ɾ a s
associando	a s o s i ɐ̃ d o
assombrada	a s õ b ɾ a d a
autónomas	a w t ɔ n o m a s
bam	b ɐ̃ w̃
bras	b ɾ a s
brilhou	b ɾ i ʎ o
burocrática	b u ɾ o k ɾ a t͡ʃ i k a
cabia	k a b i a
cativa	k a t͡ʃ i v a
catálogos	k a t a l o ɡ o s
chimpanzés	ʃ ĩ p ɐ̃ z ɛ j s
chung	ʃ ũ
colchões	k o w ʃ õ j̃ s
comentadores	k o m ẽ t a d o ɾ e s
compreendi	k õ p ɾ e ẽ d͡ʒ i
comprometidas	k õ p ɾ o m e t͡ʃ i d a s
comércios	k o m ɛ ɻ s i u s
consistia	k õ s i s t͡ʃ i a
constrangimentos	k õ s t ɾ ɐ̃ ʒ i m ẽ t o s
consultada	k õ s u w t a d a
consumiu	k õ s u m i w
contempladas	k õ t ẽ p l a d a s
contrataram	k õ t ɾ a t a ɾ ɐ̃ w̃
contribuam	k õ t ɾ i b u ɐ̃ w̃
convenceram	k õ v ẽ s e ɾ ɐ̃ w̃
cozinheiros	k o z i ɲ e j ɾ o s
craques	k ɾ a k e s
dancing	d ɐ̃ s ĩ
decretado	d e k ɾ e t a d o
depp	d ɛ p e
derretido	d e ʁ e t͡ʃ i d o
desafiado	d e z a f i a d o
descumprimento	d e s k ũ p ɾ i m ẽ t o
desenhei	d e z e ɲ e j
desfavoráveis	d e s f a v o ɾ a v e j s
detectores	d e t e k i t o ɾ e s
detentora	d e t ẽ t o ɾ a
detê	d e t e
dilemas	d͡ʒ i l e m a s
disponibilizam	d͡ʒ i s p o n i b i l i z ɐ̃ w̃
dividendos	d͡ʒ i v i d ẽ d o s
dolorosas	d o l o ɾ ɔ z a s
donativos	d o n a t͡ʃ i v o s
drásticas	d ɾ a s t͡ʃ i k a s
dynamite	d͡ʒ i n a m i t e
egípcias	e ʒ i p i s i a s
encheram	ĩ ʃ e ɾ ɐ̃ w̃
enigmas	e n i ɡ i m a s
ensaiando	ĩ s a j ɐ̃ d o
equívocos	e k i v o k o s
escolherem	e s k o ʎ e ɾ ẽ j̃
esfregando	e s f ɾ e ɡ ɐ̃ d o
estacas	e s t a k a s
examinou	e z a m i n o
excursões	e s k u ɻ s õ j̃ s
exportado	e s p o ɻ t a d u
exprime	e s p ɾ i m e
fabulosa	f a b u l ɔ z a
fantoches	f ɐ̃ t ɔ ʃ e s
filiados	f i l i a d o s
flutuações	f l u t u a s õ j̃ s
forneceram	f o ɻ n e s e ɾ ɐ̃ w̃
furada	f u ɾ a d a
gorilas	ɡ o ɾ i l a s
grimes	ɡ ɾ i m e s
guard	ɡ w a ɻ d͡ʒ i
gírias	ʒ i ɾ i a s
hereditária	e ɾ e d͡ʒ i t a ɾ i a
hesitou	e z i t o
hierárquica	j e ɾ a ɻ k i k ɐ
icon	i k õ
iec	j ɛ k
imprópria	ĩ p ɾ ɔ p ɾ i a
inclusivamente	ĩ k l u z i v a m ẽ t e
informantes	ĩ f o ɻ m ɐ̃ t͡ʃ i s
instantâneas	ĩ s t ɐ̃ t ɐ n e a s
interpretados	ĩ t e ɻ p ɾ e t a d u s
interrogatórios	ĩ t e ʁ o ɡ a t ɔ ɾ i o s
invertida	ĩ v e ɻ t͡ʃ i d ɐ
investigadas	ĩ v e s t͡ʃ i ɡ a d a s
islâmicas	i z l ɐ m i k a s
joaquin	ʒ o a k ĩ
joelma	ʒ o ɛ w m a
kazan	k a z ɐ̃
kendrick	k ẽ d ɾ i k e
khalifa	k a l i f a
limpei	l ĩ p e j
male	m a l e
mandamos	m ɐ̃ d ɐ m o s
mangás	m ɐ̃ ɡ a j s
marchando	m a ɻ ʃ ɐ̃ d u
mare	m a ɾ e
meras	m ɛ ɾ a s
metades	m e t a d e s
metáforas	m e t a f o ɾ a s
mila	m i l a
milagrosa	m i l a ɡ ɾ ɔ z a
minds	m ĩ d͡ʒ i s
monday	m õ d e j
motorizado	m o t o ɾ i z a d o
márquez	m a ɻ k e j s
native	n a t͡ʃ i v e
nexus	n e k s u j s
nômades	n o m a d e s
oasis	o a z i s
observamos	o b i s e ɻ v ɐ̃ m u s
observer	o b i s e ɻ v e
ocasionais	o k a z i o n a j s
ornamentais	o ɻ n a m ẽ t a j s
paraguaios	p a ɾ a ɡ w a j o s
paranóica	p a ɾ a n ɔ j k a
partilhamos	p a ɻ t͡ʃ i ʎ ɐ̃ m u s
password	p a s w ɔ ɻ d͡ʒ i
pearson	p e a ɻ s õ
pedacinhos	p e d a s i ɲ o s
permitirão	p e ɻ m i t͡ʃ i ɾ ɐ̃ w̃
pilatos	p i l a t o s
playing	p l e j ĩ
pontuais	p õ t u a j s
povoada	p o v o a d a
prestaram	p ɾ e s t a ɾ ɐ̃ w̃
prestava	p ɾ e s t a v a
prisionais	p ɾ i z i o n a j s
processá	p ɾ o s e s a
product	p ɾ o d u k i t͡ʃ i
produzimos	p ɾ o d u z i m o s
protagonizada	p ɾ o t a ɡ o n i z a d a
publicamos	p u b l i k ɐ m o s
pêlo	p e l o
queimei	k e j m e j
quiosques	k i ɔ s k e s
rank	ʁ ɐ̃ k e
ras	ʁ a s
reason	ʁ e a z õ
recomendados	ʁ e k o m ẽ d a d o s
reivindica	ʁ e j v ĩ d͡ʒ i k a
revisada	ʁ e v i z a d a
roedores	ʁ o e d o ɾ e s
roteiristas	ʁ o t e j ɾ i s t a s
rufino	ʁ u f i n o
sacode	s a k ɔ d e
sairmos	s a i ɻ m u s
salgadinhos	s a w ɡ a d͡ʒ i ɲ o s
salinas	s a l i n a s
saltando	s a w t ɐ̃ d o
sardinhas	s a ɻ d͡ʒ ĩ ɲ ɐ s
satisfeitas	s a t͡ʃ i s f e j t a s
seconds	s e k õ d͡ʒ i s
segurava	s e ɡ u ɾ a v a
sentadas	s ẽ t a d a s
sidi	s i d͡ʒ i
sondagens	s õ d a ʒ ẽ j̃ s
songs	s õ ɡ i s
startups	i s t a ɻ t u p i s
sugerida	s u ʒ e ɾ i d a
superei	s u p e ɾ e j
sustentou	s u s t ẽ t o
table	t a b l e
terminaria	t e ɻ m i n a ɾ i ɐ
tomarmos	t o m a ɻ m u s
transborda	t ɾ ɐ̃ z b ɔ ɻ d ɐ
tratasse	t ɾ a t a s e
traumática	t ɾ a w m a t͡ʃ i k a
unam	u n ɐ̃ w̃
veríssimo	v e ɾ i s i m o
verões	v e ɾ õ j̃ s
vomitando	v o m i t ɐ̃ d o
walls	w ɔ w s
áurea	a w ɾ e a
abbas	a b a s
abençoados	a b ẽ s o a d o s
aconteciam	a k õ t e s i ɐ̃ w̃
admirava	a d͡ʒ i m i ɾ a v a
adversidades	a d͡ʒ i v e ɻ s i d a d͡ʒ i s
afirmo	a f i ɻ m u
alistamento	a l i s t a m ẽ t o
amarrados	a m a ʁ a d o s
anac	a n a k
analgésicos	a n a w ʒ ɛ z i k o s
analisam	a n a l i z ɐ̃ w̃
antecessores	ɐ̃ t e s e s o ɾ e s
antidepressivos	ɐ̃ t͡ʃ i d e p ɾ e s i v o s
antropólogos	ɐ̃ t ɾ o p ɔ l o ɡ o s
apanho	a p ɐ ɲ o
apurada	a p u ɾ a d a
arraes	a ʁ a j s
arrastada	a ʁ a s t a d a
atrapalhou	a t ɾ a p a ʎ o
baixados	b a j ʃ a d o s
banais	b a n a j s
beltrão	b e w t ɾ ɐ̃ w̃
bendita	b ẽ d͡ʒ i t a
benéficos	b e n ɛ f i k o s
bey	b e j
bid	b i d͡ʒ
biliões	b i l i õ j̃ s
bloqueadas	b l o k e a d a s
bosch	b ɔ ʃ
botes	b ɔ t e s
branquinha	b ɾ ɐ̃ k i ɲ a
caldeiras	k a w d e j ɾ a s
camarotes	k a m a ɾ ɔ t e s
caranguejos	k a ɾ ɐ̃ ɡ e ʒ o s
causava	k a w z a v a
chamasse	ʃ a m a s e
cleber	k l e b e
climas	k l i m a s
cobrou	k o b ɾ o
coincidem	k o ĩ s i d ẽ j̃
comercializada	k o m e ɻ s i a l i z a d ɐ
comissária	k o m i s a ɾ i a
concentradas	k õ s ẽ t ɾ a d a s
confiei	k õ f i e j
conseguirão	k õ s e ɡ i ɾ ɐ̃ w̃
construtivas	k õ s t ɾ u t͡ʃ i v a s
conteudo	k õ t e w d o
contraditórias	k õ t ɾ a d͡ʒ i t ɔ ɾ i a s
convidá	k õ v i d a
coroado	k o ɾ o a d o
corrija	k o ʁ i ʒ a
curriculum	k u ʁ i k u l ũ
decididos	d e s i d͡ʒ i d o s
descontrolada	d e s k õ t ɾ o l a d a
destacamos	d e s t a k ɐ m o s
determinações	d e t e ɻ m i n a s õ j̃ s
diablo	d͡ʒ i a b l o
didáticos	d͡ʒ i d a t͡ʃ i k o s
dimas	d͡ʒ i m a s
dispersos	d͡ʒ i s p ɛ ɻ s u s
dominica	d o m i n i k a
dorian	d o ɾ i ɐ̃
doutorando	d o t o ɾ ɐ̃ d o
ebay	e b e j
elogiam	e l o ʒ i ɐ̃ w̃
empatados	ĩ p a t a d o s
entusiasmados	ĩ t u z i a z m a d o s
escandalosa	e s k ɐ̃ d a l ɔ z a
escassas	e s k a s a s
especificados	e s p e s i f i k a d o s
esperaram	e s p e ɾ a ɾ ɐ̃ w̃
estupros	e s t u p ɾ o s
executam	e z e k u t ɐ̃ w̃
explorou	e s p l o ɾ o
flo	f l o
formamos	f o ɻ m ɐ̃ m u s
fpf	ɛ f e p e ɛ f
frotas	f ɾ ɔ t a s
gabriella	ɡ a b ɾ i ɛ l a
gaddafi	ɡ a d a f i
gentis	ʒ ẽ t͡ʃ i s
génio	ʒ ɛ n i o
harriet	a ʁ i e
hesite	e z i t e
hispânica	i s p ɐ n i k a
impressionados	ĩ p ɾ e s i o n a d o s
incompatíveis	ĩ k õ p a t͡ʃ i v e j s
informáticos	ĩ f o ɻ m a t͡ʃ i k u s
ipa	i p a
ipatinga	i p a t͡ʃ ĩ ɡ a
irrelevantes	i ʁ e l e v ɐ̃ t e s
itaquera	i t a k ɛ ɾ a
jen	ʒ ẽ j̃
jovi	ʒ o v i
kappa	k a p a
katya	k a t͡ʃ i a
khalid	k a l i d͡ʒ
khalil	k a l i w
kumar	k u m a
lamar	l a m a
lidou	l i d o
lindíssima	l ĩ d͡ʒ i s i m a
lineares	l i n e a ɾ e s
ll	ɛ l e
macias	m a s i a s
massacrados	m a s a k ɾ a d o s
metam	m ɛ t ɐ̃ w̃
minc	m ĩ k e
monitorados	m o n i t o ɾ a d o s
mordidas	m o ɻ d͡ʒ i d ɐ s
movimentam	m o v i m ẽ t ɐ̃ w̃
nah	n a
nathalia	n a t a l i a
nathaniel	n a t a n i ɛ w
nicola	n i k ɔ l a
nordestina	n o ɻ d e s t͡ʃ ĩ n ɐ
officer	o f i s e
olaf	o l a f
operativo	o p e ɾ a t͡ʃ i v o
ornamentos	o ɻ n a m ẽ t u s
ozzy	ɔ z i
pastos	p a s t o s
pesam	p e z ɐ̃ w̃
pesquisado	p e s k i z a d o
pinhais	p i ɲ a j s
pinochet	p i n o ʃ e
planejamos	p l a n e ʒ ɐ m o s
polares	p o l a ɾ e s
pouquíssimas	p o k i s i m a s
pousou	p o w z o
pratico	p ɾ a t͡ʃ i k o
preocupamos	p ɾ e o k u p ɐ m o s
presley	p ɾ e z l e j
pressionada	p ɾ e s i o n a d a
pressupõe	p ɾ e s u p õ j̃
prevaleceu	p ɾ e v a l e s e w
proferido	p ɾ o f e ɾ i d o
pôsteres	p o s t e ɾ e s
rage	ʁ a ʒ e
receios	ʁ e s e j o s
recifes	ʁ e s i f e s
retornará	ʁ e t o ɻ n a ɾ a
reveja	ʁ e v e ʒ a
rigorosas	ʁ i ɡ o ɾ ɔ z a s
riviera	ʁ i v i ɛ ɾ a
robles	ʁ ɔ b l e s
sat	s a t͡ʃ
sepultado	s e p u w t a d o
sequestros	s e k w ɛ s t ɾ o s
serge	s ɛ ɻ ʒ i
shelby	ʃ ɛ w b i
simpáticas	s ĩ p a t͡ʃ i k a s
sintéticos	s ĩ t ɛ t͡ʃ i k o s
skills	i s k i w s
soam	s o ɐ̃ w̃
subestime	s u b e s t͡ʃ i m e
subido	s u b i d o
subjetiva	s u b i ʒ e t͡ʃ i v a
substituições	s u b i s t͡ʃ i t u i s õ j̃ s
suína	s u i n a
tecelagem	t e s e l a ʒ ẽ j̃
telles	t ɛ l e s
terminará	t e ɻ m i n a ɾ a
terraços	t e ʁ a s o s
testadas	t e s t a d a s
tex	t ɛ k s
tirados	t͡ʃ i ɾ a d o s
tocados	t o k a d o s
transferidas	t ɾ ɐ̃ s f e ɾ i d a s
transportada	t ɾ ɐ̃ s p o ɻ t a d ɐ
vegetarianos	v e ʒ e t a ɾ i ɐ n o s
vicky	v i k i
vivermos	v i v ɛ ɻ m u s
votantes	v o t ɐ̃ t e s
wine	w i n e
átila	a t͡ʃ i l a
óbvios	ɔ b i v i o s
abbey	a b e j
aceitasse	a s e j t a s e
actua	a k t u a
ajudantes	a ʒ u d ɐ̃ t e s
aldeões	a w d e õ j̃ s
alertado	a l e ɻ t a d u
amaria	a m a ɾ i a
amd	ɐ̃ d͡ʒ i
andarem	ɐ̃ d a ɾ ẽ j̃
antecipa	ɐ̃ t e s i p a
apaguei	a p a ɡ e j
apanhando	a p ɐ ɲ ɐ̃ d o
arqueiros	a ɻ k e j ɾ u s
arrumada	a ʁ u m a d a
assustei	a s u s t e j
author	a w t o ɻ
avisam	a v i z ɐ̃ w̃
barcellos	b a ɻ s ɛ l u s
bean	b e ɐ̃
bebam	b ɛ b ɐ̃ w̃
beckham	b ɛ k ɐ̃ w̃
bender	b ẽ d e
berta	b ɛ ɻ t ɐ
braun	b ɾ a ũ
brutos	b ɾ u t o s
cabeceiras	k a b e s e j ɾ a s
carmelo	k a ɻ m ɛ l u
cecil	s e s i w
changes	ʃ ɐ̃ ʒ e s
chegassem	ʃ e ɡ a s ẽ j̃
chegámos	ʃ e ɡ a m o s
cheng	ʃ ẽ ɡ e
civilizada	s i v i l i z a d a
coe	k o e
colando	k o l ɐ̃ d o
compreensiva	k õ p ɾ e ẽ s i v a
confirmo	k õ f i ɻ m u
conquistá	k õ k i s t a
consistem	k õ s i s t ẽ j̃
controversas	k õ t ɾ o v ɛ ɻ s ɐ s
conversava	k õ v e ɻ s a v ɐ
correspondendo	k o ʁ e s p õ d ẽ d o
corrigi	k o ʁ i ʒ i
critique	k ɾ i t͡ʃ i k e
dal	d a w
dara	d a ɾ a
dardos	d a ɻ d u s
debatendo	d e b a t ẽ d o
dec	d ɛ k
december	d e s ẽ b e
decoradas	d e k o ɾ a d a s
decorados	d e k o ɾ a d o s
degradadas	d e ɡ ɾ a d a d a s
deixas	d e j ʃ a s
delinquentes	d e l ĩ k ẽ t e s
descreva	d e s k ɾ ɛ v a
desempenhando	d e z ĩ p e ɲ ɐ̃ d o
deslocados	d e z l o k a d o s
desperdiçando	d e s p e ɻ d͡ʒ i s ɐ̃ d u
despertam	d e s p ɛ ɻ t ɐ̃ w̃
despreza	d e s p ɾ e z a
diagnosticados	d͡ʒ i a ɡ i n o s t͡ʃ i k a d o s
dificultam	d͡ʒ i f i k u w t ɐ̃ w̃
direcionadas	d͡ʒ i ɾ e s i o n a d a s
divorciaram	d͡ʒ i v o ɻ s i a ɾ ɐ̃ w̃
documenta	d o k u m ẽ t a
dotes	d ɔ t e s
dustin	d u s t͡ʃ ĩ
dutch	d u t͡ʃ
effects	e f ɛ k i t͡ʃ i s
encontraremos	ĩ k õ t ɾ a ɾ e m o s
encontrarmos	ĩ k õ t ɾ a ɻ m u s
enfiando	ĩ f i ɐ̃ d o
entrelinhas	ĩ t ɾ e l i ɲ a s
entusiasmada	ĩ t u z i a z m a d a
estimam	e s t͡ʃ i m ɐ̃ w̃
estimulam	e s t͡ʃ i m u l ɐ̃ w̃
excel	e s ɛ w
expoentes	e s p o ẽ t e s
exponencialmente	e s p o n ẽ s i a w m ẽ t e
facilitado	f a s i l i t a d o
fedendo	f e d ẽ d o
feiticeiros	f e j t͡ʃ i s e j ɾ o s
fiesta	f i ɛ s t a
filmados	f i w m a d o s
finja	f ĩ ʒ a
firmada	f i ɻ m a d ɐ
fixada	f i k s a d a
fluindo	f l u ĩ d o
fofas	f ɔ f a s
gao	ɡ a w
gerdau	ʒ e ɻ d a w
guitar	ɡ i t a
gutiérrez	ɡ u t͡ʃ i ɛ ʁ e j s
géneros	ʒ ɛ n e ɾ o s
hancock	ɐ̃ k ɔ k e
hatch	ʁ a t͡ʃ
hem	ẽ j̃
holística	o l i s t͡ʃ i k a
honraria	õ ʁ a ɾ i a
humphrey	ũ f ɾ e j
ideológicos	i d e o l ɔ ʒ i k o s
improvisada	ĩ p ɾ o v i z a d a
incra	ĩ k ɾ a
individuo	ĩ d͡ʒ i v i d u o
infernos	ĩ f ɛ ɻ n u s
iniciamos	i n i s i ɐ m o s
irritados	i ʁ i t a d o s
irónico	i ɾ ɔ n i k o
ito	i t o
jornalísticos	ʒ o ɻ n a l i s t͡ʃ i k u s
journey	ʒ u ɻ n e j
justifique	ʒ u s t͡ʃ i f i k e
karim	k a ɾ ĩ
karin	k a ɾ ĩ
kruger	k ɾ u ʒ e
largado	l a ɻ ɡ a d u
latinas	l a t͡ʃ i n a s
legiões	l e ʒ i õ j̃ s
legítimas	l e ʒ i t͡ʃ i m a s
lim	l ĩ
