να	n a
επισκεφθείτε	e p i s c e f θ i t e
επιτήρηση	e p i t i ɾ i s i
ευθυνών	e f θ i n o n
ευρωεκλογέσ	e v ɾ o e k l o ʝ e s
εύκολοσ	e f k o l o s
ζητήσεισ	z i t i s i s
ηλικιωμένουσ	i l i c i o m e n u s
ιδεα	i ð e a
ιδρώτα	i ð ɾ o t a
ιεκ	i e k
ικανοποιημένοσ	i k a n o p i i m e n o s
ιονίου	i o n i u
ιππότεσ	i p o t e s
ιστοσελίδασ	i s t o s e l i ð a s
καρέ	k a ɾ e
κλείνουμε	k l i n u m e
κράτησαν	k ɾ a t i s a n
κρίστοφερ	k ɾ i s t o f e ɾ
κρατουμένων	k ɾ a t u m e n o n
κριτέσ	k ɾ i t e s
κόβουν	k o v u n
λίνα	l i n a
λαμβάνονται	l a ɱ v a n o n d e
λειτουργική	l i t u ɾ ʝ i c i
λη	l i
λύσησ	l i s i s
μάζεσ	m a z e s
μαστού	m a s t u
μετρά	m e t ɾ a
μον	m o n
μουσικοί	m u s i c i
μπάνιου	b a ɲ u
μόνιμεσ	m o n i m e s
ναούσ	n a u s
νε	n e
νοιάζονται	ɲ a z o n d e
ξεπερνάει	k s e p e ɾ n a i
ομόφωνα	o m o f o n a
οργανώσει	o ɾ ɣ a n o s i
οσα	o s a
οσφπ	o s f p
παπα	p a p a
παρακολουθούσε	p a ɾ a k o l u θ u s e
περιοχη	p e ɾ i o ç i
περιποίησησ	p e ɾ i p i i s i s
περπατάσ	p e ɾ p a t a s
πιστών	p i s t o n
ποιανού	p i a n u
πολυτελέσ	p o l i t e l e s
πολυτελείασ	p o l i t e l i a s
προσέχουμε	p ɾ o s e x u m e
πρωτα	p ɾ o t a
ρωμαίοι	ɾ o m e i
ρύθμισησ	ɾ i θ m i s i s
ρώσων	ɾ o s o n
σάκησ	s a c i s
σημ	s i m
σκουπίδι	s k u p i ð i
στόματοσ	s t o m a t o s
στόχαστρο	s t o x a s t ɾ o
συμμαθητέσ	s i m a θ i t e s
συνεχίσεισ	s i n e ç i s i s
σφοδρή	s f o ð ɾ i
σύνθεσησ	s i n θ e s i s
ταυτότητεσ	t a f t o t i t e s
τετ	t e t
υγρών	i ɣ ɾ o n
υπεύθυνα	i p e f θ i n a
υποστηρίζεται	i p o s t i ɾ i z e t e
φαινομενικά	f e n o m e n i k a
φετινή	f e t i n i
φον	f o n
φωτεινό	f o t i n o
χάμιλτον	x a m i l t o n
χαρακτηρίζουν	x a ɾ a k t i ɾ i z u n
χημείασ	ç i m i a s
χορηγόσ	x o ɾ i ɣ o s
χρήσιμα	x ɾ i s i m a
χρηματοδότησησ	x ɾ i m a t o ð o t i s i s
ψηφίζουν	p s i f i z u n
ύποπτο	i p o p t o
ώσ	o s
άγγιγμα	a ŋ ɟ i ɣ m a
άσχετο	a s ç e t o
άσχημεσ	a s ç i m e s
έδειχναν	e ð i x n a n
έρθουμε	e ɾ θ u m e
ίσο	i s o
αγωγό	a ɣ o ɣ o
αδίκημα	a ð i c i m a
αθλήτρια	a θ l i t ɾ i a
αλλάζουμε	a l a z u m e
αλλάζω	a l a z o
αμυντική	a m i n d i c i
ανάκτηση	a n a k t i s i
ανίκανοσ	a n i k a n o s
αναγνωρίζουν	a n a ɣ n o ɾ i z u n
αναγνώστη	a n a ɣ n o s t i
αναγνώστησ	a n a ɣ n o s t i s
αναρωτιέται	a n a ɾ o t ç e t e
ανεβαίνουν	a n e v e n u n
ανθρώπινων	a n θ ɾ o p i n o n
αποτελούνται	a p o t e l u n d e
αρέσεισ	a ɾ e s i s
αρκούδεσ	a ɾ k u ð e s
ασήμι	a s i m i
ατρόμητο	a t ɾ o m i t o
αφίσα	a f i s a
βαλκανίων	v a l k a n i o n
βιολογική	v i o l o ʝ i c i
βουτιά	v u t ç a
βρεί	v ɾ i
γαλλικού	ɣ a l i k u
γειτονική	ʝ i t o n i c i
γελοία	ʝ e l i a
γράφημα	ɣ ɾ a f i m a
δεκαετιών	ð e k a e t ç o n
δεξαμενέσ	ð e k s a m e n e s
διαχωρισμόσ	ð i̯ a x o ɾ i z m o s
δικαίωμά	ð i c e o m a
δικτατορίασ	ð i k t a t o ɾ i a s
δομών	ð o m o n
δρομο	ð ɾ o m o
δροσερό	ð ɾ o s e ɾ o
δρουν	ð ɾ u n
δωσε	ð o s e
δόσησ	ð o s i s
ειπεσ	i p e s
εισπράξεισ	i s p ɾ a k s i s
εκδήλωσησ	e k ð i l o s i s
εκκλησιών	e k l i s i o n
εκτελέσει	e k t e l e s i
εκφράζουν	e k f ɾ a z u n
εκφράσει	e k f ɾ a s i
ελλαδοσ	e l a ð o s
εμπιστεύονται	e m b i s t e v o n d e
εμφανιστούν	e ɱ f a n i s t u n
εξέδρα	e k s e ð ɾ a
εορτήσ	e o ɾ t i s
επείγουσα	e p i ɣ u s a
επηρεάζεται	e p i ɾ e a z e t e
επικεντρώνεται	e p i c e n d ɾ o n e t e
επισκεπτών	e p i s c e p t o n
επιταγέσ	e p i t a ʝ e s
ετοιμοσ	e t i m o s
ευαίσθητο	e v e s θ i t o
ευχαριστίεσ	e f x a ɾ i s t i e s
εφετείο	e f e t i o
θέρμανσησ	θ e ɾ m a n s i s
θέσ	θ e s
θανατική	θ a n a t i c i
θερμή	θ e ɾ m i
θυμίσω	θ i m i s o
θύματοσ	θ i m a t o s
κάλεσαν	k a l e s a n
κάρτερ	k a ɾ t e ɾ
καθηκόντων	k a θ i k o n d o n
κακήσ	k a c i s
καταργείται	k a t a ɾ ʝ i t e
κατευθύνεται	k a t e f θ i n e t e
κινηματογράφοσ	c i n i m a t o ɣ ɾ a f o s
κλάση	k l a s i
κλείνεισ	k l i n i s
κοντό	k o n d o
κοστίζουν	k o s t i z u n
κυκλοφόρησαν	c i k l o f o ɾ i s a n
κυνηγάνε	c i n i ɣ a n e
κυνηγάσ	c i n i ɣ a s
λέγατε	l e ɣ a t e
μάνου	m a n u
μάρκεσ	m a ɾ c e s
μέχρισ	m e x ɾ i s
μειώθηκαν	m i o θ i k a n
μελάνι	m e l a n i
μελωδία	m e l o ð i a
μεταδίδει	m e t a ð i ð i
μιγκέλ	m i ŋ ɟ e l
μπεργκ	b e ɾ ɡ
μύεσ	m i e s
νάουσασ	n a u s a s
ναυτία	n a f t i a
ντελ	d e l
νόστιμα	n o s t i m a
ξεκινάσ	k s e c i n a s
ολοκληρώθηκαν	o l o k l i ɾ o θ i k a n
ονομάστηκε	o n o m a s t i c e
ορίζουν	o ɾ i z u n
οχήματοσ	o ç i m a t o s
παιδικών	p e ð i k o n
παραδοχή	p a ɾ a ð o ç i
παρασκευη	p a ɾ a s c e v i
παρατήρησε	p a ɾ a t i ɾ i s e
πεθάνετε	p e θ a n e t e
περα	p e ɾ a
περιμενε	p e ɾ i m e n e
περνούσαν	p e ɾ n u s a n
πετούν	p e t u n
πιάτων	p ç a t o n
πλάτεσ	p l a t e s
ποιέσ	p i e s
πουλήσω	p u l i s o
πραγματικοί	p ɾ a ɣ m a t i c i
προσεκτική	p ɾ o s e k t i c i
προσεκτικοί	p ɾ o s e k t i c i
προσωπικότητασ	p ɾ o s o p i k o t i t a s
προτιμά	p ɾ o t i m a
πρόσφατο	p ɾ o s f a t o
πόρτασ	p o ɾ t a s
ρθω	ɾ θ o
ρωσικού	ɾ o s i k u
σερβιτόρα	s e ɾ v i t o ɾ a
σκουλαρίκια	s k u l a ɾ i c a
στήλησ	s t i l i s
στήσει	s t i s i
συμβούλουσ	s i ɱ v u l u s
συμβόλαια	s i ɱ v o l e a
σχολικών	s x o l i k o n
σχολών	s x o l o n
σύντροφε	s i n d ɾ o f e
τοποθετήθηκε	t o p o θ e t i θ i c e
τύχησ	t i ç i s
υπάγονται	i p a ɣ o n d e
φοβερά	f o v e ɾ a
φοιτήτρια	f i t i t ɾ i a
φρουράσ	f ɾ u ɾ a s
φυλλάδιο	f i l a ð i o
χαθούν	x a θ u n
χειρότερεσ	ç i ɾ o t e ɾ e s
χεριών	ç e ɾ ʝ o n
χρωστάσ	x ɾ o s t a s
ψάξει	p s a k s i
άπειρο	a p i ɾ o
άποψησ	a p o p s i s
άργοσ	a ɾ ɣ o s
έβρισκε	e v ɾ i s c e
έκβαση	e k v a s i
έλεν	e l e n
έσβησε	e z v i s e
έσπασαν	e s p a s a n
έφερνε	e f e ɾ n e
έφταναν	e f t a n a n
ίδρυσησ	i ð ɾ i s i s
αγγελόπουλοσ	a ŋ ɟ e l o p u l o s
αγοράσετε	a ɣ o ɾ a s e t e
αδελφών	a ð e l f o n
ακόλουθο	a k o l u θ o
αλί	a l i
αληθινοί	a l i θ i n i
αμερικανικών	a m e ɾ i k a n i k o n
αμεσωσ	a m e s o s
ανέκδοτα	a n e k ð o t a
αναπληρωτή	a n a p l i ɾ o t i
αναστάσιοσ	a n a s t a s i o s
ανδρική	a n ð ɾ i c i
ανοίγουμε	a n i ɣ u m e
αντίκτυπο	a n d i k t i p o
ανωμαλίεσ	a n o m a l i e s
ανώτατη	a n o t a t i
απατεώνεσ	a p a t e o n e s
απεβίωσε	a p e v i o s e
ασημένια	a s i m e ɲ a
βαθιέσ	v a θ ç e s
βαρετό	v a ɾ e t o
βασιλικήσ	v a s i l i c i s
βενεζουέλασ	v e n e z u e l a s
βιολογικό	v i o l o ʝ i k o
γάντι	ɣ a n d i
γαμάτο	ɣ a m a t o
γεννηματά	ʝ e n i m a t a
γουίλσον	ɣ u i l s o n
δεκτό	ð e k t o
δεξιότητεσ	ð e k s i o t i t e s
διαμορφώνεται	ð i̯ a m o ɾ f o n e t e
διαστημικό	ð i̯ a s t i m i k o
διορισμό	ð i o ɾ i z m o
διώξει	ð i o k s i
δυτικέσ	ð i t i c e s
εγκατάστασησ	e ŋ ɡ a t a s t a s i s
ειλικρινείσ	i l i k ɾ i n i s
εισέλθει	i s e l θ i
εκκίνησησ	e c i n i s i s
εκπαιδευτικού	e k p e ð e f t i k u
εκτείνεται	e k t i n e t e
εκτεταμένη	e k t e t a m e n i
ελέγξτε	e l e ŋ k s t e
ελεονώρα	e l e o n o ɾ a
εμπνέει	e m b n e i
εμπόρουσ	e m b o ɾ u s
εξαρτήματα	e k s a ɾ t i m a t a
επειγόντωσ	e p i ɣ o n d o s
επόμενου	e p o m e n u
ερευνητική	e ɾ e v n i t i c i
εσηεα	e s i e a
ευγενήσ	e v ʝ e n i s
ευθείασ	e f θ i a s
ζητήσετε	z i t i s e t e
ζητήσουμε	z i t i s u m e
ηγετών	i ʝ e t o n
θεατρικέσ	θ e a t ɾ i c e s
ιωνία	i o n i a
κάθεστε	k a θ e s t e
καε	k a e
καλεσμένοι	k a l e z m e n i
καλεσμένοσ	k a l e z m e n o s
καρχαρίεσ	k a ɾ x a ɾ i e s
κατασκευαστεί	k a t a s c e v a s t i
κελιά	c e ʎ a
κλείσεισ	k l i s i s
κοιτά	c i t a
κουβαλάει	k u v a l a i
κυβερνήσει	c i v e ɾ n i s i
κωλο	k o l o
λεωφόροσ	l e o f o ɾ o s
λουκάνικα	l u k a n i k a
μάγισσα	m a ʝ i s a
μήλου	m i l u
μαθημα	m a θ i m a
μακρή	m a k ɾ i
μαρτύριο	m a ɾ t i ɾ i o
μαχητικά	m a ç i t i k a
μαύροι	m a v ɾ i
μεταφέρονται	m e t a f e ɾ o n d e
μπάρμπαρα	b a ɾ b a ɾ a
νεαρού	n e a ɾ u
ντυμένη	d i m e n i
ξεκάθαρη	k s e k a θ a ɾ i
οικονομίεσ	i k o n o m i e s
ολόκληρεσ	o l o k l i ɾ e s
ομολόγων	o m o l o ɣ o n
ονομασίασ	o n o m a s i a s
πανελλαδική	p a n e l a ð i c i
παράβαση	p a ɾ a v a s i
παρένθεση	p a ɾ e n θ e s i
παρέχεται	p a ɾ e ç e t e
παρέχοντασ	p a ɾ e x o n d a s
παραγωγική	p a ɾ a ɣ o ʝ i c i
παραγωγούσ	p a ɾ a ɣ o ɣ u s
παραδέχεται	p a ɾ a ð e ç e t e
παρε	p a ɾ e
πεθαίνω	p e θ e n o
περιβαλλοντική	p e ɾ i v a l o n d i c i
πηγήσ	p i ʝ i s
πιά	p ç a
ποταμόσ	p o t a m o s
προορισμούσ	p ɾ o o ɾ i z m u s
προστάτησ	p ɾ o s t a t i s
πτήσεων	p t i s e o n
ρέει	ɾ e i
ρίκο	ɾ i k o
σέξυ	s e k s i
σεβασμού	s e v a z m u
σκύλουσ	s c i l u s
σπάσουν	s p a s u n
στρέφεται	s t ɾ e f e t e
συλλογικό	s i l o ʝ i k o
συμβιβασμό	s i ɱ v i v a z m o
συνεχόμενα	s i n e x o m e n a
συστάσεισ	s i s t a s i s
σύμβασησ	s i ɱ v a s i s
σύμμαχοι	s i m a ç i
τήρηση	t i ɾ i s i
ταξη	t a k s i
ταχεία	t a ç i a
τελικέσ	t e l i c e s
τραπεζικό	t ɾ a p e z i k o
υπερασπιστεί	i p e ɾ a s p i s t i
υπερβαίνει	i p e ɾ v e n i
φήμησ	f i m i s
φανταστικά	f a n d a s t i k a
φασισμού	f a s i z m u
φεύγουμε	f e v ɣ u m e
φλέβεσ	f l e v e s
φοβόταν	f o v o t a n
χαλαρώστε	x a l a ɾ o s t e
χο	x o
χτυπούν	x t i p u n
χώρισαν	x o ɾ i s a n
άλατα	a l a t a
άμεσησ	a m e s i s
άστον	a s t o n
έκοψαν	e k o p s a n
έμμα	e m a
έξυπνεσ	e k s i p n e s
έφυγεσ	e f i ʝ e s
ήσυχοσ	i s i x o s
ήτοι	i t i
αγοράσεισ	a ɣ o ɾ a s i s
αδελφήσ	a ð e l f i s
αθλητικόσ	a θ l i t i k o s
ακεραιότητα	a c e ɾ e o t i t a
αλλοδαπών	a l o ð a p o n
ανάμειξη	a n a m i k s i
ανάψει	a n a p s i
ανήλθε	a n i l θ e
ανακαλύψουν	a n a k a l i p s u n
αναρτήσεισ	a n a ɾ t i s i s
ανοχήσ	a n o ç i s
αντέχεισ	a n d e ç i s
αντίτυπα	a n d i t i p a
αντιμέτωποσ	a n d i m e t o p o s
ανώνυμη	a n o n i m i
ανώτερα	a n o t e ɾ a
απατεώνασ	a p a t e o n a s
αποδίδουν	a p o ð i ð u n
αποδεικτικά	a p o ð i k t i k a
αποκαλύπτουν	a p o k a l i p t u n
αποφύγουν	a p o f i ɣ u n
απότομη	a p o t o m i
αριστερού	a ɾ i s t e ɾ u
αφησε	a f i s e
αύξησε	a f k s i s e
βίοσ	v i o s
βικτόρια	v i k t o ɾ ʝ a
βρείσ	v ɾ i s
βρυξελλών	v ɾ i k s e l o n
βυζάντιο	v i z a n d i o
γάλλουσ	ɣ a l u s
γελοίο	ʝ e l i o
γλυπτά	ɣ l i p t a
γνωστόν	ɣ n o s t o n
γραμμένη	ɣ ɾ a m e n i
γραμματείασ	ɣ ɾ a m a t i a s
γραφικό	ɣ ɾ a f i k o
γραφικών	ɣ ɾ a f i k o n
γύρου	ʝ i ɾ u
δεσμά	ð e z m a
δημιουργήσουμε	ð i m i u ɾ ʝ i s u m e
δικαστικό	ð i k a s t i k o
δωρεέσ	ð o ɾ e e s
εγκατέλειψαν	e ŋ ɡ a t e l i p s a n
εκθεση	e k θ e s i
εκκίνηση	e c i n i s i
ελικόπτερα	e l i k o p t e ɾ a
ενεργειακή	e n e ɾ ʝ i a c i
ενεργόσ	e n e ɾ ɣ o s
εξαφανίζονται	e k s a f a n i z o n d e
εξομολόγηση	e k s o m o l o ʝ i s i
εξοχή	e k s o ç i
επιβεβαιώσει	e p i v e v e o s i
επιτρέποντασ	e p i t ɾ e p o n d a s
επιχείρησή	e p i ç i ɾ i s i
ερωτευτεί	e ɾ o t e f t i
ευγνωμοσύνη	e v ɣ n o m o s i n i
ευρωβουλευτέσ	e v ɾ o v u l e f t e s
εφικτό	e f i k t o
ζήσε	z i s e
ζητήθηκε	z i t i θ i c e
ζητούσαν	z i t u s a n
θάνατόσ	θ a n a t o s
θελουν	θ e l u n
θεματολογία	θ e m a t o l o ʝ i a
θεοσ	θ e o s
θερινό	θ e ɾ i n o
θεωρητική	θ e o ɾ i t i c i
θοδωρήσ	θ o ð o ɾ i s
θύμισε	θ i m i s e
ιαπωνίασ	i a p o n i a s
ιδέασ	i ð e a s
ισχυροί	i s ç i ɾ i
κάδο	k a ð o
κάρολ	k a ɾ o l
καζαντζάκη	k a z a n d͡z a c i
καθάρισε	k a θ a ɾ i s e
καθάρματα	k a θ a ɾ m a t a
καθολικό	k a θ o l i k o
καλλιθέασ	k a l i θ e a s
καλυτερο	k a l i t e ɾ o
καμμένο	k a m e n o
καρπόσ	k a ɾ p o s
κατάχρηση	k a t a x ɾ i s i
κατανάλωσησ	k a t a n a l o s i s
καταφέρουν	k a t a f e ɾ u n
κλάσησ	k l a s i s
κλείσετε	k l i s e t e
κρατούμενοσ	k ɾ a t u m e n o s
κρατούσαν	k ɾ a t u s a n
κρυφτεί	k ɾ i f t i
κτηρίου	k t i ɾ i u
κυβερνά	c i v e ɾ n a
κυνηγούν	c i n i ɣ u n
λάστιχα	l a s t i x a
λέγανε	l e ɣ a n e
λήψησ	l i p s i s
λεξιλόγιο	l e k s i l o ʝ i o
λο	l o
μίκη	m i c i
μερκούρη	m e ɾ k u ɾ i
μηχανισμούσ	m i x a n i z m u s
μισέσ	m i s e s
μονομαχία	m o n o m a ç i a
μπιν	b i n
μπορέσεισ	b o ɾ e s i s
μυσ	m i s
νιώσετε	ɲ o s e t e
νιώσω	ɲ o s o
νομοθεσίασ	n o m o θ e s i a s
ξυπνάει	k s i p n a i
ξύλινη	k s i l i n i
οικογενειακέσ	i k o ʝ e n i a c e s
ομαδικέσ	o m a ð i c e s
ορεινή	o ɾ i n i
πένθοσ	p e n θ o s
παράξενη	p a ɾ a k s e n i
παρόντεσ	p a ɾ o n d e s
πατριαρχείου	p a t ɾ i a ɾ ç i u
πηγαίνοντασ	p i ʝ e n o n d a s
πηδάει	p i ð a i
πλείστον	p l i s t o n
πνεύμονεσ	p n e v m o n e s
ποδοσφαιριστών	p o ð o s f e ɾ i s t o n
ποινική	p i n i c i
πολέμησε	p o l e m i s e
πολεμικών	p o l e m i k o n
πονάσ	p o n a s
πραγματικών	p ɾ a ɣ m a t i k o n
προκαλούσε	p ɾ o k a l u s e
προτιμάτε	p ɾ o t i m a t e
πρωταθλημα	p ɾ o t a θ l i m a
πόντου	p o n d u
ροέσ	ɾ o e s
ρυθμού	ɾ i θ m u
σαββατο	s a v a t o
σεισμούσ	s i z m u s
σκοτεινέσ	s k o t i n e s
σκοτωθεί	s k o t o θ i
σκοτώνοντασ	s k o t o n o n d a s
στήριξε	s t i ɾ i k s e
σταματήσετε	s t a m a t i s e t e
σταματούν	s t a m a t u n
στεφάνου	s t e f a n u
στρεμμάτων	s t ɾ e m a t o n
συγγενών	s i ŋ ɟ e n o n
συγγρού	s i ŋ ɣ r u
συζητήσει	s i z i t i s i
συμπεριφέρεται	s i m b e ɾ i f e ɾ e t e
συνδεδεμένη	s i n ð e ð e m e n i
συνιστούν	s i n i s t u n
σω	s o
σύνολα	s i n o l a
τετοια	t e t i a
τραπεζίτεσ	t ɾ a p e z i t e s
υπάρχοντα	i p a ɾ x o n d a
υπέβαλε	i p e v a l e
υποχρεωμένοσ	i p o x ɾ e o m e n o s
φιλίππου	f i l i p u
φονικό	f o n i k o
φτηνά	f t i n a
χάνετε	x a n e t e
χρέωση	x ɾ e o s i
χωρίσουμε	x o ɾ i s u m e
άραβεσ	a ɾ a v e s
άργουσ	a ɾ ɣ u s
έλευση	e l e f s i
έμμεσα	e m e s a
ένταξησ	e n d a k s i s
έξαρση	e k s a ɾ s i
αγαπάνε	a ɣ a p a n e
αγγελίεσ	a ŋ ɟ e l i e s
αετόσ	a e t o s
ανέβω	a n e v o
ανέργουσ	a n e ɾ ɣ u s
αναγέννησησ	a n a ʝ e n i s i s
αναγκαστική	a n a ŋ ɡ a s t i c i
αναπτυξη	a n a p t i k s i
ανασκαφέσ	a n a s k a f e s
ανηλίκων	a n i l i k o n
αντικατασταθεί	a n d i k a t a s t a θ i
αντιμετωπίζεται	a n d i m e t o p i z e t e
ανόδου	a n o ð u
απέκτησαν	a p e k t i s a n
αποβολή	a p o v o l i
απομακρύνει	a p o m a k ɾ i n i
αποφοίτησε	a p o f i t i s e
αργία	a ɾ ʝ i a
ατλέτικο	a t l e t i k o
αυστρίασ	a f s t ɾ i a s
αυτοκινητόδρομο	a f t o c i n i t o ð ɾ o m o
βασιλιάδεσ	v a s i ʎ a ð e s
βενζίνησ	v e n z i n i s
βουλευτικέσ	v u l e f t i c e s
γένει	ʝ e n i
γελοίοσ	ʝ e l i o s
γενικα	ʝ e n i k a
γερουσία	ʝ e ɾ u s i a
γερό	ʝ e ɾ o
γυρίζουν	ʝ i ɾ i z u n
δήλωσησ	ð i l o s i s
δίψα	ð i p s a
διαλέξει	ð i̯ a l e k s i
διαλόγου	ð i̯ a l o ɣ u
διαμονήσ	ð i̯ a m o n i s
διατηρήσουν	ð i̯ a t i ɾ i s u n
διερεύνηση	ð i e ɾ e v n i s i
δοθούν	ð o θ u n
δοκιμάσετε	ð o c i m a s e t e
δούκασ	ð u k a s
δράστεσ	ð ɾ a s t e s
δρώμενα	ð ɾ o m e n a
δυνατέσ	ð i n a t e s
εγκαταλείπουν	e ŋ ɡ a t a l i p u n
εισήγηση	i s i ʝ i s i
εισαγγελία	i s a ŋ ɟ e l i a
εκδοχέσ	e k ð o ç e s
ελληνων	e l i n o n
εξόρυξη	e k s o ɾ i k s i
επιβεβαιώνουν	e p i v e v e o n u n
επιλέγουν	e p i l e ɣ u n
επιπέδων	e p i p e ð o n
εστίεσ	e s t i e s
ετοιμάζουν	e t i m a z u n
ετοιμάσει	e t i m a s i
ευγενικόσ	e v ʝ e n i k o s
εφαρμόσει	e f a ɾ m o s i
