af	a f
venstrefløjen	v ɛ n s t r ə f l ø j ə n
verdener	v ɛ r d ə n ə r
vinen	v iː n ə n
vladimir	v l a d i m iː r
volvo	v ɔ l v o
vækket	v ɛ k ə ð
winter	v e n t ə r
zero	s eː r o
adresser	a d r ɛ s ə r
allermest	a l ə r m ɛ s t
amber	a m b ə r
anime	a n iː m ə
antonio	a n t oː n j o
arkitekter	a r k i t ɛ k t ə r
borgerlig	b ɔ r ɡ ə r l i
bruno	b r uː n o
defineres	d e f i n eː r ə s
dubai	d u b a j
dødens	d øː ð ə n s
dødsstraf	d ø s s t r aː f
falls	f a l s
fiasko	f i a s k o
finske	f e n s k ə
fit	f i t
flynn	f l ø n
freja	f r a j a
fremhæver	f r ɛ m h ɛː v ə r
fængsler	f ɛ n ɡ s l ə r
følsomme	f ø l s ɔ m ə
garden	ɡ a r d ə n
giftige	ɡ i f t i ə
gulerødder	ɡ uː l ə r ø d ə r
gængse	ɡ ɛ n ɡ s ə
herfor	h ɛ r f ɔ r
hitlers	h i t l ə r s
holte	h ɔ l t ə
hugget	h o ɡ ə ð
indser	e n s ə r
inspektør	e n s p ɛ k t øː r
intakt	e n t a k t
itunes	i t uː n ə s
juan	j u aː n
june	j uː n ə
kings	k e n ɡ s
klikke	k l e k ə
kommissionens	k ɔ m i s j o n ɛ n s
konventionelle	k ɔ n v ɛ n s j o n ɛ l ə
kredsen	k r ɛ s ə n
krydsede	k r y s ə ð ə
kvaliteter	k v a l i t eː t ə r
landskaber	l a n s k aː b ə r
left	l ɛ f t
maribo	m a r iː b o
marine	m a r iː n ə
meddelte	m ɛ ð ə l t ə
mørkere	m œ r k ə r ə
orlando	ɔ r l a n d o
overlade	ɔ v ə r l aː d ə
overvinde	ɔ v ə r v e n ə
pedro	p e d r oː
plaget	p l aː ɣ ə ð
politikken	p o l i t i k ə n
rain	r a iː n
sagens	s aː ɣ ə n s
sanktioner	s a n k s j oː n ə r
shows	ɕ ɔ w s
silke	s e l k ə
sindssyge	s e n s yː ə
skider	s k iː d ə r
skiftes	s k e f t ə s
skruet	s k r uː ə ð
skubber	s k o b ə r
smuttede	s m u t ə ð ə
stella	s t ɛ l a
stenene	s t eː n ə n ə
svigt	s v e k t
søerne	s øː ə r n ə
territorium	t ɛ r i t oː r i ɔ m
tilføjelse	t e l f ø j ə l s ə
tobias	t o b i æˀ s
travel	t r a v ɛ l
træls	t r ɛ l s
trøjen	t r ø j ə n
tømmer	t œ m ə r
udgivelsen	u d ɡ iː v ə l s ə n
udøve	u d øː v ə
uha	u h a
ure	uː r ə
velbekomme	v ɛ l b e k ɔ m ə
view	v iːˀ v
woman	v o m aː n
afbryde	a f b r yː ð ə
anita	a n i t a
anja	a n j a
arbejderne	a r b a j d ə r n ə
autonome	a v t o n oː m ə
bagger	b a ɡ ə r
besættelsen	b e s ɛ t ə l s ə n
blink	b l e n k
bærbar	b ɛ r b a r
christmas	k r e s t m a s
dramatiske	d r a m aː t i s k ə
eksklusivt	ɛ k s k l u s i v t
ensom	ɛ n s ɔ m
fix	f e k s
forbruger	f ɔ r b r uː ə r
foreligger	f ɔ r ə l i ɡ ə r
forfremmet	f ɔ r f r ɛ mˀ ə ð
frygtelig	f r ø k t ə l i
færdiggøre	f ɛ r d i ɡ øː r ə
førhen	f œ r h ə n
hagen	h aː ɣ ə n
hannibal	h a n i b aː l
hentyder	h ɛ n t yː d ə r
håndterer	h ɔ n t eː r ə r
håndværker	h ɔ n v ɛ r k ə r
indledt	e n l e t
inklusion	e n k l u s j oː n
installere	e n s t a l eː r ə
jager	j aː ɣ ə r
jam	j a m
kemikalier	k e m i k a l j ə r
konti	k ɔ n t i
kontrast	k ɔ n t r a s t
krigens	k r iː ə n s
latterlig	l a t ə r l i
ligetil	l iː ə t iː l
lorte	l ɔ r t ə
lysere	l y s eː r ə
lyttede	l y t ə ð ə
lånte	l ɔ n t ə
malta	m a l t a
målgruppe	m ɔ l ɡ r o p ə
neo	n eː o
nærmede	n ɛ r m ə ð ə
opbevares	ɔ p b e v aː r ə s
opholde	ɔ p h ɔ l ə
opmærksomme	ɔ p m ɛ r k s ɔ m ə
optagelsen	ɔ p t aː ɣ ə l s ə n
pablo	p aː b l o
partikler	p a r t i k l ə r
perry	p ɛ r i
photo	f o t o
pokalen	p o k aː l ə n
prale	p r aː l ə
præsenteres	p r ɛ s ə n t eː r ə s
smagen	s m aː ɣ ə n
snapchat	s n a p s j a t
sri	s r iːˀ
straffet	s t r a f ə ð
strange	s t r a n ɡ ə
studerer	s t u d eː r ə r
sydamerika	s y d a m eː r i k a
sårbare	s ɔ r b aː r ə
søjler	s ø j l ə r
tests	t ɛ s t s
till	t e l
tiltale	t e l t aː l ə
trap	t r a p
tykt	t y k t
ventes	v ɛ n t ə s
vikingerne	v i k e n ɡ ə r n ə
voks	v ɔ k s
ægget	ɛ ɡ ə ð
økonomer	ø k o n oː m ə r
abel	aː b ə l
afgrøder	a f ɡ r øː d ə r
alexandra	a l ɛ k s a n d r a
anset	a n s ɛ t
arbejdsmarked	a r b a j d s m a r k ə ð
arizona	a r i s oː n a
atom	a t ɔ m
belle	b ɛ l ə
bemærker	b e m ɛ r k ə r
besejret	b e s a j r ə ð
bilens	b i l ɛ n s
bon	b oː n
brysterne	b r ø s t ə r n ə
cannabis	k a n a b iː s
carla	k a r l a
cat	k a t
cecilie	s e s i l j ə
censur	s ɛ n s uː r
color	k o l oː r
craig	k r a jˀ
damen	d aː m ə n
dexter	d ɛ k s t ə r
erhvervsuddannelse	ɛ r v ɛ r v s u d a n ə l s ə
erstattes	ɛ r s t a t ə s
flugten	f l o k t ə n
forsat	f ɔ r s a t
forstærket	f ɔ r s t ɛ r k ə ð
fortabte	f ɔ r t a p t ə
fremdrift	f r ɛ m d r e f t
friends	f r iː ə n s
frisør	f r i s øː r
fugtig	f o k t i
færger	f ɛ r ɣ ə r
gigantisk	ɡ i ɡ a n t i s k
granat	ɡ r a n aː t
gråsten	ɡ r ɔ s t ə n
helten	h ɛ l t ə n
henseende	h ɛ n s eː ə n ə
hestene	h ɛ s t ə n ə
indisk	e n d i s k
intens	e n t ɛ n s
irriterer	i r i t eː r ə r
isolation	i s o l a ɕ oˀ n
kliniske	k l iː n i s k ə
knække	k n ɛ k ə
kroppens	k r ɔ p ə n s
kvadratmeter	k v a d r a t m eː t ə r
late	l aː t ə
mindske	m e n s k ə
napoleon	n a p o l e oː n
nydt	n y t
nægte	n ɛ k t ə
obligationer	ɔ b l i ɡ a ɕ oˀ n ə r
ohio	o h i o
omdømme	ɔ m d œ m ə
opgøret	ɔ p ɡ øː r ə ð
overens	ɔ v ə r ɛ n s
overskrift	ɔ v ə r s k r e f t
palads	p a l a s
panama	p a n a m a
presses	p r ɛ s ə s
protokol	p r o t o k ɔ l
restriktioner	r ɛ s t r e k s j oː n ə r
rettes	r ɛ t ə s
rolige	r oː l i ə
rudolf	r u d ɔ l f
ryster	r ø s t ə r
sd	s d eːˀ
self	s ɛ l f
sherman	s j ɛ r m aː n
signatur	s i n a t uː r
skilles	s k e l ə s
spores	s p oː r ə s
stang	s t a n ɡ
stats	s t a t s
statsministeren	s t a t s m i n i s t eː r ə n
stunder	s t o n ə r
synder	s ø n ə r
søsters	s ø s t ə r s
taxi	t a k s i
tjekkede	t j ɛ k ə ð ə
tommer	t ɔ m ə r
transporten	t r a n s p ɔ r t ə n
trip	t r i p
trusser	t r u s ə r
trykkede	t r ø k ə ð ə
twist	t v e s t
tåler	t ɔː l ə r
ubåde	u b ɔː ð ə
uklart	u k l a r t
ungarn	ɔ n ɡ a r n
use	uː s ə
usikkert	u s e k ə r t
variationer	v a r i a ɕ oˀ n ə r
vides	v iː ð ə s
visuelle	v i s u ɛ l ə
vuelta	v u ɛ l t a
accent	a k s ɛ n t
agger	a ɡ ə r
aggressive	a ɡ r ɛ s iː v ə
alaska	a l a s k a
arbejd	a r b a jˀ d
balkan	b a l k aː n
baltimore	b a l t i m oː r ə
behøves	b e h øː v ə s
bekræftelse	b e k r ɛ f t ə l s ə
beregne	b e r a j n ə
bremen	b r eː m ə n
bøsser	b ø s ə r
cap	k a p
chuck	s j o k
damon	d a m oː n
darren	d a r ə n
datoen	d a t oː ə n
erotiske	e r oː t i s k ə
forbløffende	f ɔ r b l ø f ə n ə
fortrolige	f ɔ r t r oː l i ə
fotografi	f o t o ɡ r a f iː
færdes	f ɛ r d ə s
gaven	ɡ aː v ə n
genvalg	ɡ ɛ n v a lˀ ɣ
glenn	ɡ l ɛ nˀ
hiphop	h i p h ɔ p
ice	iː s ə
israels	i s r a ɛ l s
julemanden	j uː l ə m a n ə n
karakteren	k a r a k t eː r ə n
knapper	k n a p ə r
knækket	k n ɛ k ə ð
kongeriget	k ɔ n ɡ ə r iː ə ð
lauren	l a v r ə n
leverandør	l ɛ v ə r a n d øː r
linde	l e n ə
maggie	m a ɡ i ə
mandlig	m a n l i
marokko	m a r ɔ k o
misundelig	m i s o n ə l i
modern	m o d ə r n
nov	n ɔ v
opretter	ɔ p r ɛ t ə r
pelle	p ɛ l ə
poser	p oː s ə r
put	p u t
pålagt	p ɔ l a ɡ t
returnere	r ɛ t u r n eː r ə
russere	r u s eː r ə
råde	r ɔː ð ə
sjællands	s j ɛ l a n s
skibene	s k iː b ə n ə
snyde	s n yː d ə
sparkede	s p a r k ə ð ə
stift	s t e f t
styrkelse	s t y r k ə l s ə
takkede	t a k ə ð ə
tankevækkende	t a n k ə v ɛ k ə n ə
things	t e n ɡ s
tilhænger	t e l h ɛ n ɡ ə r
tiltalte	t e l t a l t ə
trofast	t r o f a s t
turbo	t u r b o
udgifterne	u d ɡ i f t ə r n ə
udsende	u d s ɛ n ə
vandrer	v a n d r ə r
vuc	v u k
week	v iː k
ødelagte	øː ð ə l a ɡ t ə
øvede	øː v ə ð ə
accepterede	a k s ɛ p t eː r ə ð ə
als	a l s
angive	a n ɡ iː v ə
annette	a n ɛ t ə
arbejdsløs	a r b a j d s l øː s
arrangerede	a r a n ɡ eː r ə ð ə
bekæmper	b e k ɛ m p ə r
beordrede	b e ɔ r d r eː ð ə
beordret	b e ɔ r d r ɛ t
boende	b oː ə n ə
butikkerne	b u t e k ə r n ə
bålet	b ɔː l ə ð
cash	k a s j
charme	s j a r m ə
christoffer	k r i s t ɔ f ə r
cyklus	s y k l u s
damp	d a m p
domstolene	d ɔ m s t oː l ə n ə
domæne	d o m ɛː n ə
elsa	ɛ l s a
erstatter	ɛ r s t a t ə r
faktiske	f a k t i s k ə
forbeholdt	f ɔ r b e h ɔ l t
forbillede	f ɔ r b e l ə ð ə
forbyder	f ɔ r b yː d ə r
forvandle	f ɔ r v a n l ə
frekvenser	f r ɛ k v ɛ n s ə r
glæd	ɡ l ɛː d
hist	h e s t
huskes	h u s k ə s
hyre	h yː r ə
hævede	h ɛː v ə ð ə
iben	iː b ə n
indsætte	e n s ɛ t ə
indviet	e n v iː ə ð
intro	e n t r oː
kaliber	k a l iː b ə r
kalk	k a l k
karina	k a r iː n a
kommentator	k ɔ m ə n t aː t ə r
kondomer	k ɔ n d oː m ə r
kongelig	k ɔ n ɡ ə l i
livlig	l i v l i
maksimal	m a k s i m aː l
malmö	m a l m øː
march	m a r s j
massage	m a s aː ɡ ə
mickey	m e k i
motorcykler	m o t ɔ r s y k l ə r
nåh	n ɔːˀ
pakistan	p a k i s t a n
pegede	p a j ə ð ə
protester	p r o t ɛ s t ə r
raven	r aː v ə n
skubbet	s k o b ə ð
slagsen	s l a ɣ s ə n
slem	s l ɛ mˀ
smelte	s m ɛ l t ə
spejder	s p a j d ə r
spises	s p iː s ə s
søm	s œ mˀ
søns	s œ n s
teltet	t ɛ l t ə ð
trust	t r o s t
tunnelen	t o n ə l ə n
tyde	t yː d ə
udløst	u d l ø s t
uganda	u ɡ a n d a
undgås	o n ɡ ɔː s
uran	u r aː n
væltede	v ɛ l t ə ð ə
aftryk	a f t r ø k
andens	a n ə n s
army	a r m yː
bagt	b a k t
barske	b a r s k ə
bekræftede	b e k r ɛ f t ə ð ə
bemærke	b e m ɛ r k ə
blandes	b l a n ə s
blæste	b l ɛ s t ə
bremse	b r ɛ m s ə
bugten	b o k t ə n
clarke	k l a r k ə
con	k ɔ n
diskuteres	d i s k u t eː r ə s
dovne	d ɔ v n ə
døende	d øː ə n ə
eksotiske	ɛ k s oː t i s k ə
eksplodere	ɛ k s p l o d eː r ə
express	ɛ k s p r ɛ s
fall	f a l
forbudte	f ɔ r b u t ə
forbyde	f ɔ r b yː ð ə
fordelen	f ɔ r d eː l ə n
fortjente	f ɔ r t j ɛ n t ə
fortælles	f ɔ r t ɛ l ə s
fremlægge	f r ɛ m l ɛ ɡ ə
fælder	f ɛ l ə r
gudinde	ɡ u d e n ə
hack	h a k
hadet	h aː d ə ð
imponere	e m p o n eː r ə
indersiden	e n ə r s iː d ə n
inderste	e n ə r s t ə
industrielle	e n d u s t r i ɛ l ə
instruktøren	e n s t r u k t øː r ə n
instruktører	e n s t r u k t øː r ə r
java	j aː v a
kaptajnen	k a p t a j n ə n
ki	k iː
kroen	k r oːˀ ə n
kurven	k o r v ə n
kvartal	k v a r t aː l
lift	l e f t
londons	l ɔ n d ɔ n s
ludere	l u d eː r ə
magasiner	m a ɡ a s iː n ə r
maksimale	m a k s i m aː l ə
messe	m ɛ s ə
modstanderen	m o ð s t a n d eː r ə n
nerver	n ɛ r v ə r
nærme	n ɛ r m ə
næst	n ɛ s t
observation	ɔ b s ɛ r v a ɕ oˀ n
operere	ɔ p ə r eː r ə
paragraf	p a r a ɡ r aː f
placerede	p l a s eː r ə ð ə
pladserne	p l a s ə r n ə
pre	p r eːˀ
rim	r iː m
romantik	r o m a n t i k
rovdyr	r ɔ v d yː r
råvarer	r ɔ v aː r ə r
samfunds	s a m f o n s
skinnende	s k e n ə n ə
stilarter	s t i l a r t ə r
stock	s t ɔ k
symptomerne	s ø m p t oː m ə r n ə
tibetanske	t i b ə t aː n s k ə
today	t o d æ j
trygge	t r ø ɡ ə
tuborg	t u b ɔ r v
udstille	u d s t e l ə
ugentlig	uː ə n t l i
utilfredse	u t i l f r ɛ s ə
vibe	v iː b ə
vifte	v e f t ə
volden	v ɔ l ə n
øster	ø s t ə r
aktivere	a k t i v eː r ə
ansætter	a n s ɛ t ə r
arkivet	a r k iː v ə ð
awards	a v a r s
beføjelser	b e f ø j ə l s ə r
belønnet	b e l œ n ə ð
benægter	b e n ɛ ɡ t ə r
betydet	b e t yː d ə ð
bide	b iː ð ə
bilister	b i l i s t ə r
bingo	b e n ɡ o
bitte	b i t ə
blank	b l a n k
brystkræft	b r ø s t k r ɛ f t
bum	b o m
burton	b u r t ɔ n
bænk	b ɛ n k
castro	k a s t r oː
comedy	k o m eː d y
diskussionen	d i s k u s j oː n ə n
domstolen	d ɔ m s t oː l ə n
donna	d ɔ n a
dybden	d y b d ə n
dømte	d œ m t ə
elise	e l iː s ə
etiske	eː t i s k ə
fantasier	f a n t a s j ə r
fartøj	f a r t ø j
fastholder	f a s t h ɔ l ə r
firenze	f i r ɛ n s ə
forbandede	f ɔ r b a n ə ð ə
forklædt	f ɔ r k l ɛ t
fortrolig	f ɔ r t r oː l i
franskmændene	f r a n s k m ɛ n ə n ə
fristet	f r e s t ə ð
fuldendt	f u l ə n t
fødselsdagsgave	f ø s ə l s d a ɡ s ɡ aː v ə
gror	ɡ r oːˀ r
guddommelige	ɡ u d ɔ m ə l i ə
hak	h a k
herman	h ɛ r m aː n
hjørner	j œ r n ə r
hårdeste	h ɔ r d ə s t ə
hændelsen	h ɛ n ə l s ə n
indstille	e n s t e l ə
inside	e n s iː d ə
integritet	e n t ə ɡ r i t eː t
klam	k l a m
kraftigere	k r a f t i ɡ eː r ə
kritikere	k r i t i k eː r ə
kræfterne	k r ɛ f t ə r n ə
krævende	k r ɛː v ə n ə
lennart	l ɛ n a r t
luna	l uː n a
manglen	m a n ɡ l ə n
müller	m y l ə r
nets	n ɛ t s
network	n ɛ t v ɔ r k
nøjagtige	n ø j a ɡ t i ə
omtaler	ɔ m t aː l ə r
opløst	ɔ p l ø s t
oprettede	ɔ p r ɛ t ə ð ə
organiske	ɔ r ɡ aː n i s k ə
parkeret	p a r k eː r ə ð
popcorn	p ɔ p k ɔ r n
portalen	p ɔ r t aː l ə n
postkort	p ɔ s t k ɔ r t
regnvejr	r a j n v a jˀ r
roberts	r o b ɛ r t s
sale	s aː l ə
sea	s eː a
skaffet	s k a f ə ð
skynde	s k ø n ə
slagter	s l a k t ə r
slægten	s l ɛ ɡ t ə n
smitter	s m e t ə r
smøre	s m øː r ə
standarden	s t a n d a r d ə n
stive	s t iː v ə
stones	s t oː n ə s
strømmer	s t r œ m ə r
suk	s o k
svækket	s v ɛ k ə ð
swing	s v e n ɡ
testede	t ɛ s t ə ð ə
tonen	t oː n ə n
torres	t ɔ r ə s
trapper	t r a p ə r
tændte	t ɛ n t ə
venus	v eː n u s
was	v aː s
aber	aː b ə r
afskaffe	a f s k a f ə
ankomsten	a n k ɔ m s t ə n
arbejdernes	a r b a j d ə r n ə s
barbie	b a r b i ə
bird	b i r d
ble	b l eːˀ
blogger	b l ɔ ɡ ə r
blonde	b l ɔ n ə
boost	b oː s t
bornholmske	b ɔ r n h ɔ l m s k ə
bådene	b ɔː ð ə n ə
canal	k a n aː l
dansen	d a n s ə n
defensiv	d e f ɛ n s iː v
destination	d ɛ s t i n a ɕ oˀ n
faget	f aː ɣ ə ð
forholder	f ɔ r h ɔ l ə r
forlænger	f ɔ r l ɛ n ɡ ə r
forstyrre	f ɔ r s t y r ə
frugten	f r o k t ə n
frygteligt	f r ø k t ə l i t
glædeligt	ɡ l ɛː ð ə l i t
graver	ɡ r aː v ə r
gutter	ɡ u t ə r
gutterne	ɡ u t ə r n ə
hulen	h uː l ə n
identificerer	i d ɛ n t i f i s eː r ə r
idræts	i d r ɛ t s
inc	e n s
inge	e n ɡ ə
jernbane	j ɛ r n b aː n ə
kam	k a m
konstruktioner	k ɔ n s t r u k s j oː n ə r
kraften	k r a f t ə n
legen	l a j ə n
løgne	l ø j n ə
madison	m a d i s oː n
majestæt	m a j ə s t ɛ t
mal	m a l
misbrugt	m i s b r o k t
mæt	m ɛ t
oklahoma	ɔ k l a h oː m a
omkom	ɔ m k ɔ m
opholder	ɔ p h ɔ l ə r
oprettelsen	ɔ p r ɛ t ə l s ə n
parodi	p a r o d iː
plastic	p l a s t i k
putin	p u t iː n
reb	r eːˀ b
rudersdal	r uː d ə r s d aː l
samfundsfag	s a m f o n s f aː ɡ
sank	s a n k
saudi	s a v d i
skaderne	s k aː d ə r n ə
skin	s k iː n
skrivende	s k r iː v ə n ə
smeltet	s m ɛ l t ə ð
snakkes	s n a k ə s
solidaritet	s o l i d a r i t eː t
sortere	s ɔ r t eː r ə
spilde	s p e l ə
stier	s t iː ə r
storbyer	s t ɔ r b yː ə r
stødt	s t ø t
suveræn	s u v ə r ɛː n
svagere	s v aː ɣ ə r ə
søndagen	s ø n d aː ɣ ə n
talentfulde	t a l ɛ n t f u l ə
tandlægen	t a n l ɛː ɡ ə n
theo	t eː o
tower	t ɔ w ə r
udskifte	u d s k e f t ə
vaccine	v a k s iː n ə
vandtæt	v a n t ɛ t
vega	v eː ɡ a
vågnet	v ɔ v n ə ð
værdifuldt	v ɛ r d i f u l t
værktøjer	v ɛ r k t ø j ə r
wisconsin	v i s k ɔ n s iː n
ørestad	øː r ə s t a ð
afgiver	a f ɡ iː v ə r
akademiske	a k a d eː m i s k ə
anskaffet	a n s k a f ə ð
argumentere	a r ɡ u m ɛ n t eː r ə
bands	b a n s
bestemmes	b e s t ɛ m ə s
bestseller	b e s t s ɛ l ə r
bokse	b ɔ k s ə
bye	b yː ə
crack	k r a k
danskeren	d a n s k eː r ə n
debatter	d e b a t ə r
dorthe	d ɔ r t ə
dragt	d r a k t
dødelig	d øː ð ə l i
ekspertise	ɛ k s p ɛ r t iː s ə
elena	e l eː n a
false	f a l s ə
flirt	f l i r t
flyt	f l y t
fortrinsvis	f ɔ r t r e n s v iː s
freeman	f r eː m a n
gavne	ɡ a v n ə
gir	ɡ iː r
haves	h aː v ə s
hjemløs	j ɛ m l øː s
interaktive	e n t ə r a k t iː v ə
iron	i r oː n
jobcenter	j ɔ b s ɛ n t ə r
karma	k a r m a
knytte	k n ø t ə
korteste	k ɔ r t ə s t ə
kriser	k r iː s ə r
kvart	k v a r t
kæder	k ɛː d ə r
lanka	l a n k a
maks	m a k s
menneskeliv	m ɛ n ə s k ə l iː v
notater	n o t aː t ə r
nål	n ɔː l
opgradere	ɔ p ɡ r a d eː r ə
optegnelser	ɔ p t a j n ə l s ə r
perverse	p ɛ r v ɛ r s ə
prikker	p r e k ə r
rebecca	r e b ɛ k a
reden	r eː ð ə n
rival	r i v aː l
selvstændighed	s ɛ l s t ɛ n d i h e ðˀ
sikres	s e k r ə s
skyd	s k yː d
slemme	s l ɛ m ə
spekulerer	s p e k u l eː r ə r
strandvejen	s t r a n v a jˀ ə n
studenter	s t u d ɛ n t ə r
sven	s v ɛ nˀ
synligt	s yː n l i t
systematiske	s y s t ə m aː t i s k ə
sænkede	s ɛ n k ə ð ə
tabu	t a b u
thorup	t o r u p
touren	t uː r ə n
turist	t u r i s t
tæpper	t ɛ p ə r
utvivlsomt	u t v i v l s ɔ m t
variabel	v a r i aː b ə l
variable	v a r i aː b l ə
vice	v iː s ə
æra	ɛː r a
agtigt	a ɡ t e k t
akkurat	a k u r aː t
albums	a l b ɔ m s
analyserer	a n a l y s eː r ə r
arkitekten	a r k i t ɛ k t ə n
ashley	a s l i
australske	a v s t r aː l s k ə
autisme	a v t i s m ə
baglæns	b a ɣ l ɛ n s
banner	b a n ə r
begyndende	b e ɡ ø n ə n ə
bekendtskab	b e k ɛ n t s k aː b
bennett	b ɛ n ɛ t
benægte	b e n ɛ ɡ t ə
beverly	b e v ə r l yː
bevæbnede	b e v ɛː b n ə ð ə
bilka	b i l k a
biografi	b i o ɡ r a f iː
brad	b r a ð
cellen	s ɛ l ə n
ceo	s eː o
crash	k r a s j
curtis	k u r t i s
cut	k u t
dannelsen	d a n ə l s ə n
diskrimination	d i s k r i m i n a ɕ oˀ n
ejerskab	a j ə r s k aː b
elektriker	e l ɛ k t r i k ə r
englænderne	ɛ n ɡ l ɛ n ə r n ə
feks	f ɛ k s
finere	f i n eː r ə
fiskene	f e s k ə n ə
forløber	f ɔ r l øː b ə r
forsinkelser	f ɔ r s e n k ə l s ə r
forstyrrelser	f ɔ r s t y r ə l s ə r
franks	f r a n k s
gentleman	ɡ ɛ n t l ə m aː n
handels	h a n ə l s
hanna	h a n a
hastigt	h a s t e k t
hegnet	h a j n ə ð
hongkong	h ɔ n ɡ k ɔ n ɡ
horisonten	h o r i s ɔ n t ə n
hour	h uː r
hverdage	v ɛ r d aː ɡ ə
identifikation	i d ɛ n t i f i k a ɕ oˀ n
indeholdende	e n ə h ɔ l ə n ə
informere	e n f ɔ r m eː r ə
jernbanen	j ɛ r n b aː n ə n
kapitler	k a p i t l ə r
kirkeby	k i r k ə b yː
klagede	k l aː ɣ ə ð ə
klappe	k l a p ə
klikker	k l e k ə r
kniven	k n iː v ə n
kokke	k ɔ k ə
kvartfinalen	k v a r t f i n aː l ə n
lokker	l ɔ k ə r
maya	m a j a
mindfulness	m e n f u l n ə s
motivere	m o t i v eː r ə
nicolaj	n i k o l a j
offentliggøre	ɔ f ə n t l i ɡ øː r ə
official	ɔ f i s j aː l
omstridt	ɔ m s t r i t
opsætte	ɔ p s ɛ t ə
ottende	ɔ t ə n ə
overførsel	ɔ v ə r f œ r s ə l
pacific	p a s i f i k
pap	p a p
pass	p a s
picture	p i k t yː r ə
pikken	p e k ə n
pisa	p iː s a
producerede	p r o d j u s eː r ə ð ə
pyt	p y t
reg	r a jˀ
ruslands	r u s l a n s
scanner	s k a n ə r
seere	s eː ə r ə
serbien	s ɛ r b iː ə n
skribent	s k r i b ɛ n t
slettes	s l ɛ t ə s
slutrunde	s l u t r o n ə
sponsor	s p ɔ n s ɔ r
sprut	s p r u t
svigtet	s v e k t ə ð
trumps	t r o m p s
tråde	t r ɔː ð ə
tørret	t œ r ə ð
urolig	u r oː l i
vaner	v aː n ə r
varemærke	v aː r ə m ɛ r k ə
vinyl	v i n yː l
væltet	v ɛ l t ə ð
værten	v ɛ r t ə n
wells	v ɛ l s
afskaffelse	a f s k a f ə l s ə
allah	a l a
alter	a l t ə r
anførte	a n f œ r t ə
apparater	a p a r aː t ə r
appetit	a p ə t i t
arktis	a r k t iː s
beklageligvis	b e k l aː ɣ ə l i v iː s
bytter	b y t ə r
casa	k aː s a
cykelrytter	s y k ə l r ø t ə r
derovre	d e r ɔ v r ə
diamanter	d i a m a n t ə r
ea	eː a
fangst	f a n ɡ s t
forbindes	f ɔ r b e n ə s
fortsættelse	f ɔ r t s ɛ t ə l s ə
fritz	f r e t s
færøske	f ɛ r ø s k ə
givne	ɡ i v n ə
gælden	ɡ ɛ l ə n
hvidløg	v i ð l ø j
hygiejne	h y ɡ i a j n ə
hælde	h ɛ l ə
indsættes	e n s ɛ t ə s
josef	j oː s ə f
katie	k a t i ə
klump	k l o m p
konstruktiv	k ɔ n s t r u k t iː v
korea	k o r eː a
kritiserer	k r i t i s eː r ə r
lab	l aː b
lemvig	l ɛ m v i
litra	l i t r a
lysende	l yː s ə n ə
lønnen	l œ n ə n
mason	m a s oː n
messen	m ɛ s ə n
mie	m iː ə
mt	ɛ m t
møllen	m ø l ə n
nik	n e k
nordsjællands	n ɔ r s j ɛ l a n s
nt	ɛ n t
objektiv	ɔ b j ɛ k t iː v
opdaterer	ɔ p d a t eː r ə r
passive	p a s iː v ə
pirater	p i r aː t ə r
pol	p oː l
pony	p o n y
radar	r a d a r
rammen	r a m ə n
romersk	r oː m ə r s k
seksualitet	s ɛ k s u a l i t eː t
selvejende	s ɛ l v a j ə n ə
skiver	s k iː v ə r
skjuler	s k j uː l ə r
skrig	s k r iːˀ
sorter	s ɔ r t ə r
spontant	s p ɔ n t a n t
statslig	s t a t s l i
sys	s yː s
tackle	t a k l ə
tao	t aː o
thriller	t r e l ə r
tine	t iː n ə
traktaten	t r a k t aː t ə n
trommer	t r ɔ m ə r
tættest	t ɛ t ə s t
uddeler	u d ə l ə r
uddelt	u d ə l t
udtrykte	u d t r ø k t ə
velgørenhed	v ɛ l ɡ øː r ə n h e ðˀ
vestergade	v ɛ s t ə r ɡ aː d ə
vince	v e n s ə
voldelig	v ɔ l ə l i
volumen	v o l uː m ə n
vænnet	v ɛ n ə ð
værdsat	v ɛ r s a t
active	a k t iː v ə
aflægge	a f l ɛ ɡ ə
aka	a k a
ale	aː l ə
ambassadører	a m b a s a d øː r ə r
begravelsen	b e ɡ r aː v ə l s ə n
bente	b ɛ n t ə
beregnes	b e r a j n ə s
betegner	b e t a j n ə r
bitch	b i t s j
block	b l ɔ k
botanisk	b o t aː n i s k
buret	b u r ɛ t
bæres	b ɛː r ə s
carolina	k a r o l iː n a
cherry	s j ɛ r i
connie	k ɔ n i ə
damerne	d aː m ə r n ə
deg	d a jˀ
eksporten	ɛ k s p ɔ r t ə n
elle	ɛ l ə
fade	f aː d ə
feste	f ɛ s t ə
fiat	f i aː t
five	f iː v ə
foa	f oː a
forbedrede	f ɔ r b e d r eː ð ə
fugtige	f o k t i ə
fundamentet	f ɔ n d a m ɛ n t ə t
geni	ɡ e n iː
glide	ɡ l iː ð ə
gone	ɡ oː n ə
hands	h a n s
indbyggede	e n b ø ɡ ə ð ə
indførelse	e n f øː r ə l s ə
ist	i s t
jose	j oː s ə
kampfly	k a m p f l yː
kisten	k i s t ə n
klatre	k l a t r ə
konsekvensen	k ɔ n s ə k v ɛ n s ə n
