ovat	o ʋ ɑ t
johtajalle	j o h t ɑ j ɑ lː eˣ
johtavia	j o h t ɑ ʋ i ɑ
junien	j u n i e n
juontajana	j u o̯ n t ɑ j ɑ n ɑ
juotavaa	j u o̯ t ɑ ʋ ɑː
jussin	j u sː i n
juuston	j uː s t o n
järjettömän	j æ r j e tː ø m æ n
kadonnutta	k ɑ d o nː u tː ɑ
kameralla	k ɑ m e r ɑ lː ɑ
kampanjassa	k ɑ m p ɑ n j ɑ sː ɑ
karhua	k ɑ r h u ɑˣ
kartat	k ɑ r t ɑ t
karttoja	k ɑ r tː o j ɑ
katsottua	k ɑ t s o tː u ɑˣ
kauhua	k ɑ u̯ h u ɑˣ
kaupankäynnin	k ɑ u̯ p ɑ n k æ y̯ nː i n
kehitykselle	k e h i t y k s e lː eˣ
kehoon	k e h oː n
keisarin	k e i̯ s ɑ r i n
kelpaavat	k e l p ɑː ʋ ɑ t
kertomukset	k e r t o m u k s e t
keskuspankin	k e s k u s p ɑ ŋ k i n
kohtuuttoman	k o h t uː tː o m ɑ n
kolmasosaa	k o l m ɑ s o s ɑː
kommentoinut	k o mː e n t o i̯ n u t
konfliktin	k o n f l i k t i n
kopion	k o p i o n
korkeudessa	k o r k e u̯ d e sː ɑ
koulutukseltaan	k o u̯ l u t u k s e l t ɑː n
kovemmin	k o ʋ e mː i n
kovimmat	k o ʋ i mː ɑ t
kroatian	k r o ɑ t i ɑ n
kumppaneita	k u m pː ɑ n e i̯ t ɑ
kuuhun	k uː h u n
kuullu	k uː lː u
kuuluisia	k uː l u i̯ s i ɑ
kuulut	k uː l u t
kärkeä	k æ r k e æ
käsiteltäväksi	k æ s i t e l t æ ʋ æ k s i
käytettäessä	k æ y̯ t e tː æ e sː æ
laajaan	l ɑː j ɑː n
lainat	l ɑ i̯ n ɑ t
laittoivat	l ɑ i̯ tː o i̯ ʋ ɑ t
lauran	l ɑ u̯ r ɑ n
lenkin	l e ŋ k i n
limited	l i m i t e d
linen	l i n e n
link	l i ŋ k
luettuna	l u e tː u n ɑ
lukemiin	l u k eˣ m iː n
luovaa	l u o̯ ʋ ɑː
luvuin	l u ʋ u i̯ n
maalta	m ɑː l t ɑ
madridissa	m ɑ d r i d i sː ɑ
marketin	m ɑ r k e t i n
matalat	m ɑ t ɑ l ɑ t
matkustajan	m ɑ t k u s t ɑ j ɑ n
menneitä	m e nː e i̯ t æˣ
merkintöjä	m e r k i n t ø j æ
merkittiin	m e r k i tː iː n
metriin	m e t r iː n
monte	m o n t eˣ
moottoria	m oː tː o r i ɑ
moottoritiellä	m oː tː o r i t i e̯ lː æˣ
muodin	m u o̯ d i n
muodostuvat	m u o̯ d o s t u ʋ ɑ t
napannut	n ɑ p ɑ nː u t
naulan	n ɑ u̯ l ɑ n
naurua	n ɑ u̯ r u ɑˣ
nopeesti	n o p eː s t iˣ
normaaleja	n o r m ɑː l e j ɑ
normaalissa	n o r m ɑː l i sː ɑ
nousin	n o u̯ s i n
nurkan	n u r k ɑ n
näytelmässä	n æ y̯ t e l m æ sː æ
näyttelyyn	n æ y̯ tː e l yː n
oilers	o i̯ l e r s
oispa	o i̯ s p ɑ
olohuoneen	o l o h u o̯ n eː n
omakseen	o m ɑ k s eː n
omar	o m ɑ r
omenan	o m e n ɑ n
omilta	o m i l t ɑ
opinto	o p i n t o
opintoihin	o p i n t o i̯ h i n
oppeja	o pː e j ɑ
oriveden	o r i ʋ e d e n
oscarin	o s k ɑ r i n
osuudella	o s uː d e lː ɑˣ
otetaanko	o t eˣ t ɑː ŋ k o
ottelussaan	o tː e l u sː ɑː n
paavin	p ɑː ʋ i n
palkansaajien	p ɑ l k ɑ n s ɑː j i e n
panimon	p ɑ n i m o n
pantu	p ɑ n t u
papit	p ɑ p i t
parkissa	p ɑ r k i sː ɑ
pellon	p e lː o n
periaatteesta	p e r i ɑː tː eː s t ɑ
pesän	p e s æ n
peugeot	p e u̯ ɡ e o t
pienemmäksi	p i e̯ n e mː æ k s i
pienemmällä	p i e̯ n e mː æ lː æ
pienituloisten	p i e̯ n i t u l o i̯ s t e n
poliittisena	p o l iː tː i s e n ɑ
polvet	p o l ʋ e t
pomon	p o m o n
potilaille	p o t i l ɑ i̯ lː eˣ
potilaista	p o t i l ɑ i̯ s t ɑˣ
prahan	p r ɑ h ɑ n
projektista	p r o j e k t i s t ɑ
puheesta	p u h eː s t ɑˣ
pyrittiin	p y r i tː iː n
pärjään	p æ r j æː n
päällään	p æː lː æː n
rakastui	r ɑ k ɑ s t u i̯
rakensivat	r ɑ k e n s i ʋ ɑ t
rangaistukset	r ɑ ŋː ɑ i̯ s t u k s e t
ratkaisuna	r ɑ t k ɑ i̯ s u n ɑ
rikkaan	r i kː ɑː n
rikkovat	r i kː o ʋ ɑ t
rikollisuutta	r i k o lː i s uː tː ɑ
saaneita	s ɑː n e i̯ t ɑ
saavuttamaan	s ɑː ʋ u tː ɑ m ɑː n
sanota	s ɑ n o t ɑˣ
seikkailuja	s e i̯ kː ɑ i̯ l u j ɑ
seitsemässä	s e i̯ t s e m æ sː æ
shit	ʃ i t
siirryttiin	s iː rː y tː iː n
silläkin	s i lː æ k i n
siperian	s i p e r i ɑ n
sitäpaitsi	s i t æ p ɑ i̯ t s i
slovakian	s l o ʋ ɑ k i ɑ n
sotkee	s o t k eː
suihin	s u i̯ h i n
suljettuna	s u l j e tː u n ɑ
suunnittele	s uː nː i tː e l eˣ
suuttui	s uː tː u i̯
sähköpostiin	s æ h k ø p o s t iː n
sähköstä	s æ h k ø s t æˣ
taivaasta	t ɑ i̯ ʋ ɑː s t ɑˣ
tajuan	t ɑ j u ɑ n
tanskalaiset	t ɑ n s k ɑ l ɑ i̯ s e t
tappioon	t ɑ pː i oː n
tehokkuuden	t e h o kː uː d e n
tehtäväänsä	t e h t æ ʋ æː n s æ
teorioita	t e o r i o i̯ t ɑ
testattiin	t e s t ɑ tː iː n
tiedättekö	t i e̯ d æ tː e k ø
tilit	t i l i t
tiskiin	t i s k iː n
todisteiden	t o d i s t e i̯ d e n
todistuksen	t o d i s t u k s e n
toimenpiteiden	t o i̯ m e n p i t e i̯ d e n
track	t r ɑ k
tuhosivat	t u h o s i ʋ ɑ t
tuhotaan	t u h o t ɑː n
tullee	t u lː eː
tunkee	t u ŋ k eː
tunnistatko	t u nː i s t ɑ t k o
tuomat	t u o̯ m ɑ t
turvataan	t u r ʋ ɑ t ɑː n
tyrmää	t y r m æː
työttömäksi	t y ø̯ tː ø m æ k s i
tällaisiin	t æ lː ɑ i̯ s iː n
ulottuvat	u l o tː u ʋ ɑ t
uneen	u n eː n
urheilijaa	u r h e i̯ l i j ɑː
vahingon	ʋ ɑ h i ŋː o n
vaiheita	ʋ ɑ i̯ h e i̯ t ɑ
vaikutat	ʋ ɑ i̯ k u t ɑ t
valittanut	ʋ ɑ l i tː ɑ n u t
vammat	ʋ ɑ mː ɑ t
vangittuna	ʋ ɑ ŋː i tː u n ɑ
vegas	ʋ e ɡ ɑ s
veneellä	ʋ e n eː lː æˣ
vieneet	ʋ i e̯ n eː t
viihteen	ʋ iː h t eː n
viikkoina	ʋ iː kː o i̯ n ɑ
viimeisimmät	ʋ iː m e i̯ s i mː æ t
viinan	ʋ iː n ɑ n
viivan	ʋ iː ʋ ɑ n
viljaa	ʋ i l j ɑː
voittajalle	ʋ o i̯ tː ɑ j ɑ lː eˣ
väleissä	ʋ æ l e i̯ sː æ
yhdisti	y h d i s t iˣ
yhdistämään	y h d i s t æ m æː n
ajaessa	ɑ j ɑ e sː ɑ
aktivoi	ɑ k t i ʋ o i̯
alhaisempi	ɑ l h ɑ i̯ s e m p i
allekirjoitan	ɑ lː eˣ k i r j o i̯ t ɑ n
arkiston	ɑ r k i s t o n
arvaan	ɑ r ʋ ɑː n
arvannut	ɑ r ʋ ɑ nː u t
aseisiin	ɑ s e i̯ s iː n
asemat	ɑ s e m ɑ t
asentoon	ɑ s e n t oː n
asettunut	ɑ s e tː u n u t
asiantuntijaa	ɑ s i ɑ n t u n t i j ɑː
asioille	ɑ s i o i̯ lː eˣ
asuntoihin	ɑ s u n t o i̯ h i n
ateriaa	ɑ t e r i ɑː
avainasemassa	ɑ ʋ ɑ i̯ n ɑ s e m ɑ sː ɑ
battle	b ɑ t l eˣ
dani	d ɑ n i
digitaaliset	d i ɡ i t ɑː l i s e t
egyptissä	e ɡ y p t i sː æ
eiväthän	e i̯ ʋ æ t h æ n
entiselle	e n t i s e lː eˣ
epäiltyä	e p æ i̯ l t y æˣ
epävarmaa	e p æ ʋ ɑ r m ɑː
erottuvat	e r o tː u ʋ ɑ t
etenemään	e t e n e m æː n
etusivulla	e t u s i ʋ u lː ɑ
france	f r ɑ n s
fyysiseen	f yː s i s eː n
grey	ɡ r e i̯
haluanko	h ɑ l u ɑ ŋ k o
hatun	h ɑ t u n
hauskin	h ɑ u̯ s k i n
hoidettavaksi	h o i̯ d e tː ɑ ʋ ɑ k s i
hoidot	h o i̯ d o t
houkutteli	h o u̯ k u tː e l i
huolehdi	h u o̯ l e h d i
hyviltä	h y ʋ i l t æ
häiritsi	h æ i̯ r i t s i
iloitsee	i l o i̯ t s eː
innoittamana	i nː o i̯ tː ɑ m ɑ n ɑ
investoi	i n ʋ e s t o i̯
iskuista	i s k u i̯ s t ɑˣ
italialaiset	i t ɑ l i ɑ l ɑ i̯ s e t
itsenäisyyspäivän	i t s e n æ i̯ s yː s p æ i̯ ʋ æ n
jansson	j ɑ n sː o n
jauhot	j ɑ u̯ h o t
johdettu	j o h d e tː u
johtaman	j o h t ɑ m ɑ n
julkaisema	j u l k ɑ i̯ s e m ɑ
jumalalle	j u m ɑ l ɑ lː eˣ
jälkimmäisessä	j æ l k i mː æ i̯ s e sː æ
kadulta	k ɑ d u l t ɑ
kaltaisen	k ɑ l t ɑ i̯ s e n
kankaan	k ɑ ŋ k ɑː n
kansainvälisillä	k ɑ n s ɑ i̯ n ʋ æ l i s i lː æ
kappaleiden	k ɑ pː ɑ l e i̯ d e n
karvat	k ɑ r ʋ ɑ t
kattamaan	k ɑ tː ɑ m ɑː n
kehittymään	k e h i tː y m æː n
kehittämiseksi	k e h i tː æ m i s e k s i
kehään	k e h æː n
keksitään	k e k s i t æː n
keskusliiton	k e s k u s l iː t o n
kids	k i d s
kieltävät	k i e̯ l t æ ʋ æ t
kiertueelle	k i e̯ r t u eː lː eˣ
kiisti	k iː s t i
kings	k i ŋ s
kirjaimen	k i r j ɑ i̯ m e n
kirjataan	k i r j ɑ t ɑː n
kivut	k i ʋ u t
koht	k o h t
kokeeseen	k o k eː s eː n
kootaan	k oː t ɑː n
korkoja	k o r k o j ɑ
korvan	k o r ʋ ɑ n
kritiikkiin	k r i t iː kː iː n
kuitua	k u i̯ t u ɑˣ
kuntosalilla	k u n t o s ɑ l i lː ɑ
kuvioihin	k u ʋ i o i̯ h i n
kärjestä	k æ r j e s t æˣ
kärryillä	k æ rː y i̯ lː æˣ
kärsivällisyyttä	k æ r s i ʋ æ lː i s yː tː æ
kärsivän	k æ r s i ʋ æ n
käräjäoikeudessa	k æ r æ j æ o i̯ k e u̯ d e sː ɑ
käyttäytyvät	k æ y̯ tː æ y̯ t y ʋ æ t
laidassa	l ɑ i̯ d ɑ sː ɑ
lakanat	l ɑ k ɑ n ɑ t
lattiaan	l ɑ tː i ɑː n
leikkaamalla	l e i̯ kː ɑː m ɑ lː ɑ
leikkivät	l e i̯ kː i ʋ æ t
liekeissä	l i e̯ k e i̯ sː æ
liimaa	l iː m ɑː
liittyneet	l iː tː y n eː t
lisääntyneet	l i s æː n t y n eː t
lukijaa	l u k i j ɑː
lukiota	l u k i o t ɑˣ
luovuutta	l u o̯ ʋ uː tː ɑ
lähestyi	l æ h e s t y i̯
länsimetron	l æ n s i m e t r o n
löytöjä	l ø y̯ t ø j æ
mad	m ɑ d
medioissa	m e d i o i̯ sː ɑ
megan	m e ɡ ɑ n
meikkiä	m e i̯ kː i æˣ
menisivät	m e n i s i ʋ æ t
menit	m e n i t
miekan	m i e̯ k ɑ n
mielenosoittajat	m i e̯ l e n o s o i̯ tː ɑ j ɑ t
miguel	m i ɡ e l
muihinkin	m u i̯ h i ŋ k i n
mukaisen	m u k ɑ i̯ s e n
muodissa	m u o̯ d i sː ɑ
muokkaa	m u o̯ kː ɑːˣ
mutkan	m u t k ɑ n
myytävänä	m yː t æ ʋ æ n æ
myönteisen	m y ø̯ n t e i̯ s e n
määrittele	m æː r i tː e l eˣ
nancy	n ɑ n s i
nicolas	n i k o l ɑ s
nimitti	n i m i tː i
noinkin	n o i̯ ŋ k i n
nytkö	n y t k ø
näinpä	n æ i̯ n p æ
näytelmää	n æ y̯ t e l m æː
odottivat	o d o tː i ʋ ɑ t
ohjaajana	o h j ɑː j ɑ n ɑ
ohjuksia	o h j u k s i ɑ
oikeana	o i̯ k eˣ ɑ n ɑ
ollutkin	o lː u t k i n
olohuoneessa	o l o h u o̯ n eː sː ɑ
opiston	o p i s t o n
osaamistaan	o s ɑː m i s t ɑː n
ostamatta	o s t ɑ m ɑ tː ɑ
ottamasta	o tː ɑ m ɑ s t ɑ
ovessa	o ʋ e sː ɑ
painamalla	p ɑ i̯ n ɑ m ɑ lː ɑ
parannuksia	p ɑ r ɑ nː u k s i ɑ
pastaa	p ɑ s t ɑːˣ
penkille	p e ŋ k i lː eˣ
perinteisiin	p e r i n t e i̯ s iː n
perjantaihin	p e r j ɑ n t ɑ i̯ h i n
perui	p e r u i̯
pilvet	p i l ʋ e t
pistänyt	p i s t æ n y t
poistuvat	p o i̯ s t u ʋ ɑ t
poriin	p o r iː n
portugalissa	p o r t u ɡ ɑ l i sː ɑ
porukat	p o r u k ɑ t
potilaalle	p o t i l ɑː lː eˣ
presidentille	p r e s i d e n t i lː eˣ
prosessissa	p r o s e sː i sː ɑ
puhuit	p u h u i̯ t
pykälää	p y k æ l æː
päihteiden	p æ i̯ h t e i̯ d e n
raamatussa	r ɑː m ɑ t u sː ɑ
rakennamme	r ɑ k e nː ɑ mː eˣ
ratkaisuihin	r ɑ t k ɑ i̯ s u i̯ h i n
riippuvat	r iː pː u ʋ ɑ t
rullaa	r u lː ɑːˣ
ruokavalioon	r u o̯ k ɑ ʋ ɑ l i oː n
saadun	s ɑː d u n
saikin	s ɑ i̯ k i n
sairaaloissa	s ɑ i̯ r ɑː l o i̯ sː ɑ
salasanan	s ɑ l ɑ s ɑ n ɑ n
sallivat	s ɑ lː i ʋ ɑ t
sammuu	s ɑ mː uː
seinille	s e i̯ n i lː eˣ
selvisivät	s e l ʋ i s i ʋ æ t
seuraajia	s e u̯ r ɑː j i ɑ
seuralle	s e u̯ r ɑ lː eˣ
sillanpään	s i lː ɑ n p æː n
silloinhan	s i lː o i̯ n h ɑ n
sisältäen	s i s æ l t æ e n
sivistyksen	s i ʋ i s t y k s e n
stig	s t i ɡ
stockholm	s t o k h o l m
studioon	s t u d i oː n
suhteista	s u h t e i̯ s t ɑˣ
suihkun	s u i̯ h k u n
sulkeutuu	s u l k e u̯ t uː
suomenkin	s u o̯ m e ŋ k i n
suosituimmat	s u o̯ s i t u i̯ mː ɑ t
suurien	s uː r i e n
synkkää	s y ŋ kː æːˣ
syyttä	s yː tː æ
säästyy	s æː s t yː
takkiin	t ɑ kː iː n
taloudellisista	t ɑ l o u̯ d e lː i s i s t ɑ
talouspolitiikan	t ɑ l o u s p o l i t iː k ɑ n
tampa	t ɑ m p ɑ
tapahtuneet	t ɑ p ɑ h t u n eː t
tapojen	t ɑ p o j e n
tarkoitetut	t ɑ r k o i̯ t eˣ t u t
tauteja	t ɑ u̯ t eˣ j ɑ
tavoitellaan	t ɑ ʋ o i̯ t e lː ɑː n
teatteriin	t e ɑ tː e r iː n
tekijäksi	t e k i j æ k s i
teknisten	t e k n i s t e n
tekoälyn	t e k o æ l y n
tk	t eː k oː
todelliseen	t o d e lː i s eː n
toistan	t o i̯ s t ɑ n
tokion	t o k i o n
tosiasiat	t o s i ɑ s i ɑ t
tuhoavat	t u h o ɑ ʋ ɑ t
tuntuuko	t u n t uː k o
tuomiojan	t u o̯ m i o j ɑ n
tuovan	t u o̯ ʋ ɑ n
tutkin	t u t k i n
tuulee	t uː l eː
ty	t y
työsuhteen	t y ø̯ s u h t eː n
täytän	t æ y̯ t æ n
täähän	t æː h æ n
ulkopuolisille	u l k o p u o̯ l i s i lː eˣ
unohdan	u n o h d ɑ n
useille	u s e i̯ lː eˣ
uskoin	u s k o i̯ n
vaalean	ʋ ɑː l e ɑ n
vaaleat	ʋ ɑː l e ɑ t
vaalikauden	ʋ ɑː l i k ɑ u̯ d e n
vaaraksi	ʋ ɑː r ɑ k s i
valinnassa	ʋ ɑ l i nː ɑ sː ɑ
valittavat	ʋ ɑ l i tː ɑ ʋ ɑ t
valmentajat	ʋ ɑ l m e n t ɑ j ɑ t
vanhemmilta	ʋ ɑ n h e mː i l t ɑ
varaston	ʋ ɑ r ɑ s t o n
varoista	ʋ ɑ r o i̯ s t ɑˣ
verkot	ʋ e r k o t
viennistä	ʋ i e̯ nː i s t æˣ
viideksi	ʋ iː d e k s i
voimakkaampi	ʋ o i̯ m ɑ kː ɑː m p i
voimalan	ʋ o i̯ m ɑ l ɑ n
voittajia	ʋ o i̯ tː ɑ j i ɑ
ydinvoimalan	y d i n ʋ o i̯ m ɑ l ɑ n
yhtälailla	y h t æ l ɑ i̯ lː ɑˣ
yllään	y lː æː n
ymmärtäneet	y mː æ r t æ n eː t
yöstä	y ø̯ s t æˣ
äänestämässä	æː n e s t æ m æ sː æ
aarnion	ɑː r n i o n
aikain	ɑ i̯ k ɑ i̯ n
aikataulusta	ɑ i̯ k ɑ t ɑ u̯ l u s t ɑ
akselilla	ɑ k s e l i lː ɑ
alueensa	ɑ l u eː n s ɑ
alustan	ɑ l u s t ɑ n
angelesiin	ɑ ŋː e l e s iː n
antin	ɑ n t i n
apteekin	ɑ p t eː k i n
armoa	ɑ r m o ɑˣ
armon	ɑ r m o n
asunnoissa	ɑ s u nː o i̯ sː ɑ
borg	b o r ɡ
christine	k r i s t i n eˣ
demareiden	d e m ɑ r e i̯ d e n
det	d e t
diabeteksen	d i ɑ b e t e k s e n
elivät	e l i ʋ æ t
erona	e r o n ɑ
erotti	e r o tː i
eräällä	e r æː lː æˣ
esität	e s i t æ t
est	e s t
frankfurtin	f r ɑ ŋ k f u r t i n
hakuun	h ɑ k uː n
hankaluuksia	h ɑ ŋ k ɑ l uː k s i ɑ
haudattiin	h ɑ u̯ d ɑ tː iː n
havaitaan	h ɑ ʋ ɑ i̯ t ɑː n
hel	h e l
herkullisia	h e r k u lː i s i ɑ
hetkenä	h e t k e n æ
hiljaiseksi	h i l j ɑ i̯ s e k s i
hinnaksi	h i nː ɑ k s i
huonompaa	h u o̯ n o m p ɑː
hyväksyvät	h y ʋ æ k s y ʋ æ t
hyökkääjät	h y ø̯ kː æː j æ t
hyökkäävät	h y ø̯ kː æː ʋ æ t
hädässä	h æ d æ sː æ
hänhän	h æ n h æ n
ilmakehään	i l m ɑ k e h æː n
infoa	i n f o ɑˣ
insinöörit	i n s i n øː r i t
isoimmat	i s o i̯ mː ɑ t
johtuva	j o h t u ʋ ɑ
jollaista	j o lː ɑ i̯ s t ɑˣ
joulupukin	j o u̯ l u p u k i n
julie	j u l i e̯
jäädään	j æː d æː n
jäävä	j æː ʋ æ
kalenterissa	k ɑ l e n t e r i sː ɑ
kanan	k ɑ n ɑ n
kannabista	k ɑ nː ɑ b i s t ɑ
kansainvälisellä	k ɑ n s ɑ i̯ n ʋ æ l i s e lː æˣ
kansallispuiston	k ɑ n s ɑ lː i s p u i̯ s t o n
kansanryhmää	k ɑ n s ɑ n r y h m æː
kapitalismin	k ɑ p i t ɑ l i s m i n
karsinnassa	k ɑ r s i nː ɑ sː ɑ
katsomisen	k ɑ t s o m i s e n
kauniina	k ɑ u̯ n iː n ɑ
kempeleen	k e m p e l eː n
kepun	k e p u n
kertomuksen	k e r t o m u k s e n
keskuksessa	k e s k u k s e sː ɑ
kiireen	k iː r eː n
kilpailuja	k i l p ɑ i̯ l u j ɑ
kiteen	k i t eː n
kodeissa	k o d e i̯ sː ɑ
kohdissa	k o h d i sː ɑ
kohdistui	k o h d i s t u i̯
koirille	k o i̯ r i lː eˣ
kokoonpanosta	k o k oː n p ɑ n o s t ɑ
konferenssissa	k o n f e r e n sː i sː ɑ
konservatiivit	k o n s e r ʋ ɑ t iː ʋ i t
kontekstissa	k o n t e k s t i sː ɑ
kotihoidon	k o t i h o i̯ d o n
kotoaan	k o t o ɑː n
koululaisten	k o u̯ l u l ɑ i̯ s t e n
koulutettuja	k o u̯ l u t e tː u j ɑ
kuivat	k u i̯ ʋ ɑ t
kulttuurit	k u l tː uː r i t
kuluttavat	k u l u tː ɑ ʋ ɑ t
kung	k u ŋ
kunnalle	k u nː ɑ lː eˣ
kunnanhallituksen	k u nː ɑ n h ɑ lː i t u k s e n
kuplan	k u p l ɑ n
kurkkua	k u r kː u ɑˣ
kymmenellä	k y mː e n e lː æˣ
kynnyksen	k y nː y k s e n
käskyä	k æ s k y æˣ
käytettäisiin	k æ y̯ t e tː æ i̯ s iː n
käyttöönottoa	k æ y̯ tː øː n o tː o ɑˣ
käytöllä	k æ y̯ t ø lː æˣ
laskelmat	l ɑ s k e l m ɑ t
leffoja	l e fː o j ɑ
leijonan	l e i̯ j o n ɑ n
leirissä	l e i̯ r i sː æ
lentävä	l e n t æ ʋ æ
leviävät	l e ʋ i æ ʋ æ t
liikkeistä	l iː kː e i̯ s t æˣ
liittoa	l iː tː o ɑˣ
lily	l i l y
linnaa	l i nː ɑːˣ
loivat	l o i̯ ʋ ɑ t
loukkaantuu	l o u̯ kː ɑː n t uː
lukekaa	l u k eˣ k ɑː
lupia	l u p i ɑ
lyhyeen	l y h y eː n
lääkärissä	l æː k æ r i sː æ
löytäisi	l ø y̯ t æ i̯ s i
maastoon	m ɑː s t oː n
magazine	m ɑ ɡ ɑ t s i n eˣ
mahdollistaisi	m ɑ h d o lː i s t ɑ i̯ s i
malcolm	m ɑ l k o l m
meillähän	m e i̯ lː æ h æ n
menneisyyteen	m e nː e i̯ s yː t eː n
mielipiteiden	m i e̯ l i p i t e i̯ d e n
miksipä	m i k s i p æ
mita	m i t ɑ
mp	e m p eː
muistutan	m u i̯ s t u t ɑ n
mukaiseksi	m u k ɑ i̯ s e k s i
mustaksi	m u s t ɑ k s i
muussakin	m uː s s ɑ k i n
myytyä	m yː t y æˣ
naapureita	n ɑː p u r e i̯ t ɑ
nathan	n ɑ t h ɑ n
nollaan	n o lː ɑː n
näimme	n æ i̯ mː eˣ
og	o ɡ
ohjelmissa	o h j e l m i sː ɑ
olisinpa	o l i s i n p ɑ
omistajia	o m i s t ɑ j i ɑ
onnellisena	o nː e lː i s e n ɑ
onnensa	o nː e n s ɑ
onpahan	o n p ɑ h ɑ n
oopperan	oː pː e r ɑ n
opiskelen	o p i s k e l e n
ostamisen	o s t ɑ m i s e n
palkataan	p ɑ l k ɑ t ɑː n
pelkkään	p e l kː æː n
peltoa	p e l t o ɑˣ
perinteen	p e r i n t eː n
perustana	p e r u s t ɑ n ɑ
peruttiin	p e r u tː iː n
pienempiin	p i e̯ n e m p iː n
piirit	p iː r i t
pointin	p o i̯ n t i n
poltti	p o l tː i
pommeja	p o mː e j ɑ
potin	p o t i n
putoavat	p u t o ɑ ʋ ɑ t
pysyt	p y s y t
päättyvät	p æː tː y ʋ æ t
päätäni	p æː t æ n i
pölyä	p ø l y æˣ
rajana	r ɑ j ɑ n ɑ
rajoitetaan	r ɑ j o i̯ t eˣ t ɑː n
rakentavaa	r ɑ k e n t ɑ ʋ ɑː
rangaistaan	r ɑ ŋː ɑ i̯ s t ɑː n
rangaistuksia	r ɑ ŋː ɑ i̯ s t u k s i ɑ
rantalan	r ɑ n t ɑ l ɑ n
rokotteen	r o k o tː eː n
ronnie	r o nː i eˣ
ruokavaliota	r u o̯ k ɑ ʋ ɑ l i o t ɑ
saaden	s ɑː d e n
sairaana	s ɑ i̯ r ɑː n ɑ
sanotaanko	s ɑ n o t ɑː ŋ k o
sarjakuvia	s ɑ r j ɑ k u ʋ i ɑ
seikkoja	s e i̯ kː o j ɑ
sekavaa	s e k ɑ ʋ ɑː
selviämään	s e l ʋ i æ m æː n
services	s e r ʋ i s e s
sinisiä	s i n i s i æˣ
slovenian	s l o ʋ e n i ɑ n
somen	s o m e n
sonyn	s o n y n
sophie	s o f i e̯
sormien	s o r m i e n
sormuksen	s o r m u k s e n
stuart	s t u ɑ r t
sukset	s u k s e t
sulkenut	s u l k e n u t
suojaamaan	s u o̯ j ɑː m ɑː n
suomelta	s u o̯ m e l t ɑ
suosikkisi	s u o̯ s i kː i s i
suositun	s u o̯ s i t u n
suunnitelleet	s uː nː i t e lː eː t
syntymää	s y n t y m æː
syömisen	s y ø̯ m i s e n
sähköisiä	s æ h k ø i̯ s i æˣ
säteellä	s æ t eː lː æˣ
taloissa	t ɑ l o i̯ sː ɑ
talveksi	t ɑ l ʋ e k s i
tarkastuksen	t ɑ r k ɑ s t u k s e n
tavoista	t ɑ ʋ o i̯ s t ɑˣ
testeissä	t e s t e i̯ sː æ
testiä	t e s t i æˣ
tilaisuuksia	t i l ɑ i̯ s uː k s i ɑ
tilaston	t i l ɑ s t o n
tilataan	t i l ɑ t ɑː n
tod	t o d
todistajat	t o d i s t ɑ j ɑ t
toimeentulon	t o i̯ m eː n t u l o n
torjuntaa	t o r j u n t ɑːˣ
torontossa	t o r o n t o sː ɑ
toteuttanut	t o t e u tː ɑ n u t
tottenham	t o tː e n h ɑ m
tunteella	t u n t eː lː ɑˣ
tuntuivat	t u n t u i̯ ʋ ɑ t
tuollaisella	t u o̯ lː ɑ i̯ s e lː ɑˣ
tuomaa	t u o̯ m ɑː
tuomitse	t u o̯ m i t s eˣ
turvalliseksi	t u r ʋ ɑ lː i s e k s i
tutkintaa	t u t k i n t ɑːˣ
työmatkalla	t y ø̯ m ɑ t k ɑ lː ɑ
työssäni	t y ø̯ sː æ n i
tähtäimen	t æ h t æ i̯ m e n
tällaiselle	t æ lː ɑ i̯ s e lː eˣ
täydelliset	t æ y̯ d e lː i s e t
tääl	t æː l
ulkomaalaisen	u l k o m ɑː l ɑ i̯ s e n
um	u m
unelmat	u n e l m ɑ t
uutisoitu	uː t i s o i̯ t u
vaatiessa	ʋ ɑː t i e̯ sː ɑ
valittua	ʋ ɑ l i tː u ɑˣ
valmistanut	ʋ ɑ l m i s t ɑ n u t
valtiovarainministeriön	ʋ ɑ l t i o ʋ ɑ r ɑ i̯ n m i n i s t e r i ø n
valtuudet	ʋ ɑ l t uː d e t
vanhimmat	ʋ ɑ n h i mː ɑ t
vapaaehtoisten	ʋ ɑ p ɑː e h t o i̯ s t e n
varannut	ʋ ɑ r ɑ nː u t
varmaksi	ʋ ɑ r m ɑ k s i
vastanneet	ʋ ɑ s t ɑ nː eː t
vastapainoksi	ʋ ɑ s t ɑ p ɑ i̯ n o k s i
vastustanut	ʋ ɑ s t u s t ɑ n u t
vaunun	ʋ ɑ u̯ n u n
veljesten	ʋ e l j e s t e n
velvollisuuksia	ʋ e l ʋ o lː i s uː k s i ɑ
verkkosivut	ʋ e r kː o s i ʋ u t
versiosta	ʋ e r s i o s t ɑ
vientiin	ʋ i e̯ n t iː n
vietnamissa	ʋ i e̯ t n ɑ m i sː ɑ
viihtynyt	ʋ iː h t y n y t
viivalla	ʋ iː ʋ ɑ lː ɑ
viskiä	ʋ i s k i æˣ
vuoret	ʋ u o̯ r e t
vuosille	ʋ u o̯ s i lː eˣ
vähäisiä	ʋ æ h æ i̯ s i æˣ
välittävät	ʋ æ l i tː æ ʋ æ t
