bil	b íː l
družbenega	d r u ʒ b ɛ n éː ɡ a
francije	f r àː n t͡s i j ɛ
glasbenikov	ɡ l a z b ɛ n ìː k ɔ ʋ
gledajo	ɡ l ɛ d áː j ɔ
gorah	ɡ ɔ̀ː r a x
hodili	x ɔ d ìː l i
idrija	ìː d r i j a
literarni	l i t ɛ r áː r n i
mariborski	m a r i b óː r s k i
mladinske	m l a d íː n s k ɛ
navadna	n a ʋ áː d n a
nob	n óː p
obalo	ɔ b àː l ɔ
odgovarja	ɔ d ɡ ɔ ʋ áː r j a
odgovora	ɔ d ɡ ɔ ʋ óː r a
opozoriti	ɔ p ɔ z ɔ r ìː t i
opravljanje	ɔ p r a ʋ l j áː n j ɛ
označil	ɔ z n a t͡ʃ íː l
podjetnik	p ɔ d j éː t n i k
pogoste	p ɔ ɡ óː s t ɛ
pogovora	p ɔ ɡ ɔ ʋ óː r a
poletne	p ɔ l éː t n ɛ
pomagate	p ɔ m a ɡ àː t ɛ
poskrbite	p ɔ s k ə r b ìː t ɛ
poskusili	p ɔ s k u s ìː l i
povabil	p ɔ ʋ a b íː l
poznan	p ɔ z n áː n
predstavili	p r ɛ t s t a ʋ ìː l i
predstavljali	p r ɛ t s t a ʋ l j àː l i
prenašajo	p r ɛ n a ʃ áː j ɔ
pripoved	p r i p ɔ ʋ éː t
produkcije	p r ɔ d ùː k t͡s i j ɛ
programe	p r ɔ ɡ r àː m ɛ
razumel	r a z ùː m ə ʋ
recept	r ɛ t͡s éː p t
revijo	r ɛ ʋ íː j ɔ
skladno	s k l áː d n ɔ
skrbno	s k ə̀ r b n ɔ
služijo	s l ùː ʒ i j ɔ
sodelavec	s ɔ d ɛ l áː ʋ ə t͡s
sodnika	s óː d n i k a
spomina	s p ɔ m ìː n a
srečanju	s r ɛ t͡ʃ áː n j u
svetom	s ʋ èː t ɔ m
temeljni	t ɛ m éː l n i
trenutni	t r ɛ n úː t n i
unija	ùː n i j a
vašemu	ʋ àː ʃ ɛ m u
verjamemo	ʋ ɛ r j a m éː m ɔ
verzijo	ʋ ɛ r z íː j ɔ
viden	ʋ ìː d ə n
vleče	ʋ l èː t͡ʃ ɛ
von	ʋ óː n
vzhoda	ʋ z x óː d a
začetki	z a t͡ʃ éː t k i
zdrava	z d r áː ʋ a
zdravi	z d r àː ʋ i
zgodovinskega	z ɡ ɔ d ɔ ʋ íː n s k ɛ ɡ a
zlate	z l àː t ɛ
zvezd	z ʋ éː s t
športa	ʃ p ɔ̀ː r t a
žalostno	ʒ a l óː s t n ɔ
benjamin	b ɛ n j a m íː n
delimo	d ɛ l ìː m ɔ
divje	d ìː ʋ j ɛ
držijo	d ə́ r ʒ i j ɔ
elektrarne	ɛ l ɛ k t r áː r n ɛ
es	ɛ́ː s
filmske	f íː l m s k ɛ
fred	f r éː t
gledal	ɡ l ɛ d áː l
inženirji	i n ʒ ɛ n ìː r j i
jem	j èː m
jezusa	j ɛ z ùː s a
kopalnico	k ɔ p áː l n i t͡s ɔ
kupi	k ùː p i
kvadratnih	k ʋ a d r áː t n i x
leonard	l ɛ ɔ n áː r t
mnogimi	m n ɔ ɡ ìː m i
možnih	m óː ʒ n i x
napadi	n a p àː d i
nastopu	n a s t óː p u
nogometne	n ɔ ɡ ɔ m éː t n ɛ
odkrito	ɔ t k r ìː t ɔ
odprave	ɔ t p r àː ʋ ɛ
odsotnost	ɔ t s óː t n ɔ s t
opravimo	ɔ p r a ʋ ìː m ɔ
ostanek	ɔ s t áː n ə k
ostanke	ɔ s t áː n k ɛ
otroštvu	ɔ t r óː ʃ t ʋ u
pametni	p a m éː t n i
pišem	p ìː ʃ ə m
pomembnejše	p ɔ m èː m b n ɛ j ʃ ɛ
pomladi	p ɔ m l àː d i
postopka	p ɔ s t óː p k a
povečano	p ɔ ʋ èː t͡ʃ a n ɔ
prehoda	p r ɛ x óː d a
programska	p r ɔ ɡ r áː m s k a
radiu	r àː d i u
razdaljo	r a z d áː l j ɔ
raziskovalni	r a z i s k ɔ ʋ áː l n i
računalniško	r a t͡ʃ u n áː l n i ʃ k ɔ
santa	s áː n t a
seznama	s ɛ z n áː m a
slovenskim	s l ɔ ʋ èː n s k i m
sodni	s óː d n i
srbiji	s ə̀ r b i j i
srečala	s r ɛ t͡ʃ áː l a
srečni	s r èː t͡ʃ n i
starejša	s t a r ɛ́ː j ʃ a
tanja	t áː n j a
temelje	t ɛ m éː l j ɛ
tradicionalna	t r a d i t͡s i ɔ n áː l n a
trajno	t r áː j n ɔ
trenerja	t r ɛ n éː r j a
usodo	u s óː d ɔ
ustavil	u s t a ʋ íː l
ustvarjajo	u s t ʋ a r j áː j ɔ
verjeli	ʋ ɛ r j èː l i
world	w ɔ̀ː r l t
zagotavljajo	z a ɡ ɔ t a ʋ l j áː j ɔ
zmanjšala	z m a n ʃ áː l a
članic	t͡ʃ l àː n i t͡s
živalskih	ʒ i ʋ áː l s k i x
avta	áː ʋ t a
boleznijo	b ɔ l èː z n i j ɔ
ceni	t͡s èː n i
cezar	t͡s ɛ z àː r
chicago	x i t͡s áː ɡ ɔ
civilne	t͡s i ʋ íː l n ɛ
deklet	d ɛ k l éː t
dežel	d ɛ̀ː ʒ ə ʋ
dogodka	d ɔ ɡ óː t k a
domnevno	d ɔ m n éː ʋ n ɔ
drugačne	d r u ɡ àː t͡ʃ n ɛ
faze	f àː z ɛ
filmskih	f íː l m s k i x
gradbeni	ɡ r àː d b ɛ n i
hill	x íː l
imenovali	i m ɛ n ɔ ʋ àː l i
iščem	ìː ʃ t͡ʃ ɛ m
jugoslaviji	j u ɡ ɔ s l àː ʋ i j i
kislin	k i s l íː n
kmetijske	k m èː t i j s k ɛ
knjigah	k n j ìː ɡ a x
kode	k òː d ɛ
konji	k óː n j i
kontekstu	k ɔ n t éː k s t u
medaljo	m ɛ d áː l j ɔ
množica	m n óː ʒ i t͡s a
navadni	n a ʋ áː d n i
navajajo	n a ʋ a j áː j ɔ
načini	n a t͡ʃ ìː n i
nečesa	n ɛ t͡ʃ éː s a
objavljeno	ɔ b j àː ʋ l j ɛ n ɔ
odlok	ɔ d l óː k
odpeljal	ɔ t p ɛ l j áː l
opravljajo	ɔ p r a ʋ l j áː j ɔ
ostankov	ɔ s t áː n k ɔ ʋ
otroški	ɔ t r óː ʃ k i
otroštva	ɔ t r óː ʃ t ʋ a
pada	p áː d a
polovice	p ɔ l ɔ ʋ ìː t͡s ɛ
portalu	p ɔ r t áː l u
praksa	p r áː k s a
pravilih	p r a ʋ ìː l i x
pravna	p r áː ʋ n a
prepreči	p r ɛ p r èː t͡ʃ i
prihodom	p r i x óː d ɔ m
pripravili	p r i p r a ʋ ìː l i
privoščiti	p r i ʋ óː ʃ t͡ʃ i t i
rastlinskih	r a s t l íː n s k i x
račune	r a t͡ʃ ùː n ɛ
redki	r èː t k i
resnične	r ɛ s n ìː t͡ʃ n ɛ
sedemdesetih	s ɛ d ɛ m d ɛ s èː t i x
stephen	s t ɛ̀ː p x ə n
suho	s ùː x ɔ
telefonsko	t ɛ l ɛ f óː n s k ɔ
udeležencev	u d ɛ l ɛ ʒ éː n t͡s ɛ ʋ
urejena	u r ɛ j éː n a
ušesa	u ʃ éː s a
uživajte	u ʒ i ʋ áː j t ɛ
varstva	ʋ áː r s t ʋ a
veje	ʋ ɛ̀ː j ɛ
vzdolž	ʋ z d ɔ́ː ʋ ʃ
zemljišč	z ɛ m l j ìː ʃ t͡ʃ
znanstveni	z n a n s t ʋ èː n i
čudoviti	t͡ʃ u d ɔ ʋ ìː t i
župnije	ʒ ùː p n i j ɛ
alfa	áː l f a
avstraliji	a ʋ s t r àː l i j i
avstro	àː ʋ s t r ɔ
bakterij	b a k t èː r i j
boli	b òː l i
by	b íː
dobilo	d ɔ b ìː l ɔ
dodatna	d ɔ d áː t n a
duhu	d ùː x u
enkratno	ɛ n k r áː t n ɔ
hitler	x ìː t l ɛ r
huda	x ùː d a
ključni	k l j ùː t͡ʃ n i
krivde	k r ìː ʋ d ɛ
letalskih	l ɛ t áː l s k i x
lotil	l ɔ t íː l
microsoft	m i t͡s r ɔ s óː f t
milijoni	m i l i j òː n i
miss	m íː s
mit	m íː t
mlado	m l àː d ɔ
moško	m óː ʃ k ɔ
my	m íː
naslovi	n a s l ɔ́ː ʋ i
navdušen	n a ʋ d ùː ʃ ə n
nevarna	n ɛ ʋ áː r n a
nizkih	n ìː s k i x
odhodu	ɔ d x óː d u
odstranili	ɔ t s t r a n ìː l i
okolica	ɔ k óː l i t͡s a
ovire	ɔ ʋ ìː r ɛ
pametna	p a m éː t n a
planinski	p l a n íː n s k i
poglej	p ɔ ɡ l ɛ́ː j
posodo	p ɔ s óː d ɔ
posvečena	p ɔ s ʋ èː t͡ʃ ɛ n a
potrdili	p ɔ t ə r d ìː l i
pravih	p r àː ʋ i x
prazniki	p r àː z n i k i
preostanek	p r ɛ ɔ s t áː n ə k
prispeli	p r i s p èː l i
pričakujejo	p r i t͡ʃ a k úː j ɛ j ɔ
procesi	p r ɔ t͡s èː s i
proizvajalca	p r ɔ i z ʋ a j áː l t͡s a
rade	r àː d ɛ
rane	r àː n ɛ
revolucije	r ɛ ʋ ɔ l ùː t͡s i j ɛ
semena	s ɛ m éː n a
smeli	s m èː l i
spletu	s p l èː t u
spomini	s p ɔ m ìː n i
sredo	s r ɛ̀ː d ɔ
stojijo	s t ɔ j ìː j ɔ
stres	s t r éː s
telefonski	t ɛ l ɛ f óː n s k i
točkah	t óː t͡ʃ k a x
ukrepov	u k r èː p ɔ ʋ
ustanovila	u s t a n ɔ ʋ ìː l a
veljalo	ʋ ɛ l j àː l ɔ
vendarle	ʋ ɛ n d áː r l ɛ
volitev	ʋ ɔ l ìː t ə ʋ
založbe	z a l óː ʒ b ɛ
zaščititi	z a ʃ t͡ʃ ìː t i t i
šmartno	ʃ m áː r t n ɔ
živalih	ʒ i ʋ àː l i x
angliji	àː n ɡ l i j i
barbara	b a r b áː r a
davida	d a ʋ ìː d a
digitalni	d i ɡ i t áː l n i
dokazano	d ɔ k a z áː n ɔ
domačega	d ɔ m a t͡ʃ éː ɡ a
domovino	d ɔ m ɔ ʋ ìː n ɔ
dosega	d ɔ s éː ɡ a
dostopa	d ɔ s t óː p a
enakih	ɛ n àː k i x
fox	f óː k s
galerija	ɡ a l ɛ r íː j a
gola	ɡ óː l a
gorski	ɡ óː r s k i
govorice	ɡ ɔ ʋ ɔ r ìː t͡s ɛ
hrvaških	x ə r ʋ áː ʃ k i x
huje	x ùː j ɛ
industrijskih	i n d u s t r íː j s k i x
izdelani	i z d ɛ l àː n i
izrazil	i z r a z íː l
kakih	k àː k i x
količinah	k ɔ l i t͡ʃ ìː n a x
konvencije	k ɔ n ʋ èː n t͡s i j ɛ
kovin	k ɔ ʋ íː n
lego	l èː ɡ ɔ
letalski	l ɛ t áː l s k i
life	l ìː f ɛ
ljudskih	l j ùː t s k i x
medicini	m ɛ d i t͡s ìː n i
miren	m ìː r ə n
moštvo	m óː ʃ t ʋ ɔ
naročilu	n a r ɔ t͡ʃ ìː l u
nizozemskem	n i z ɔ z éː m s k ɛ m
njihovimi	n j i x ɔ ʋ ìː m i
obiskoval	ɔ b i s k ɔ ʋ áː l
objavi	ɔ b j àː ʋ i
oblačil	ɔ b l a t͡ʃ íː l
obnovi	ɔ b n ɔ́ː ʋ i
obravnavajo	ɔ b r a ʋ n a ʋ áː j ɔ
občutka	ɔ p t͡ʃ úː t k a
odprte	ɔ t p ə́ r t ɛ
ohranili	ɔ x r a n ìː l i
operacij	ɔ p ɛ r àː t͡s i j
piran	p i r áː n
pogodbi	p ɔ ɡ óː d b i
policijske	p ɔ l i t͡s íː j s k ɛ
popraviti	p ɔ p r a ʋ ìː t i
poskušala	p ɔ s k u ʃ áː l a
posledico	p ɔ s l ɛ d ìː t͡s ɔ
posneli	p ɔ s n èː l i
postavlja	p ɔ s t áː ʋ l j a
postopki	p ɔ s t óː p k i
pozabil	p ɔ z a b íː l
prakso	p r àː k s ɔ
predmeta	p r ɛ d m éː t a
premagali	p r ɛ m a ɡ àː l i
prenosa	p r ɛ n óː s a
prepozno	p r ɛ p óː z n ɔ
preživi	p r ɛ ʒ ìː ʋ i
prisotne	p r i s óː t n ɛ
puške	p ùː ʃ k ɛ
raziskovanju	r a z i s k ɔ ʋ áː n j u
razumejo	r a z u m ɛ́ː j ɔ
rokavice	r ɔ k a ʋ ìː t͡s ɛ
rože	r óː ʒ ɛ
sestava	s ɛ s t áː ʋ a
sestavine	s ɛ s t a ʋ ìː n ɛ
sevanja	s ɛ ʋ áː n j a
shranjevanje	s x r a n j ɛ ʋ áː n j ɛ
soncu	s óː n t͡s u
sončni	s óː n t͡ʃ n i
spomine	s p ɔ m ìː n ɛ
spor	s p ɔ́ r
sporoči	s p ɔ r òː t͡ʃ i
spoznanja	s p ɔ z n áː n j a
spretnosti	s p r ɛ t n óː s t i
srcem	s ə̀ r t͡s ɛ m
stotine	s t ɔ t ìː n ɛ
strelec	s t r èː l ə t͡s
tretjič	t r ɛ t j ìː t͡ʃ
ujeli	u j èː l i
ukrepe	u k r èː p ɛ
upa	ùː p a
upanja	u p áː n j a
uporabite	u p ɔ r a b ìː t ɛ
ust	úː s t
učinkovit	u t͡ʃ i n k ɔ ʋ íː t
vidik	ʋ ìː d i k
vratih	ʋ r àː t i x
zahvalil	z a x ʋ a l íː l
zasedba	z a s éː d b a
zasnovana	z a s n ɔ ʋ áː n a
zgodnji	z ɡ óː d n j i
zvezdo	z ʋ èː z d ɔ
črte	t͡ʃ ə̀ r t ɛ
študijski	ʃ t ùː d i j s k i
aktivne	a k t íː ʋ n ɛ
avtom	àː ʋ t ɔ m
beljakovine	b ɛ l j a k ɔ ʋ ìː n ɛ
božja	b óː ʒ j a
delovali	d ɛ l ɔ ʋ àː l i
dobiček	d ɔ b ìː t͡ʃ ə k
določitev	d ɔ l ɔ t͡ʃ íː t ə ʋ
domačo	d ɔ m àː t͡ʃ ɔ
ekip	ɛ k íː p
filozofijo	f i l ɔ z ɔ f íː j ɔ
frančišek	f r a n t͡ʃ ìː ʃ ə k
gornji	ɡ óː r n j i
izkaže	i s k áː ʒ ɛ
jazz	j áː s
justin	j u s t íː n
kaliforniji	k a l i f óː r n i j i
kandidata	k a n d i d áː t a
klubi	k l ùː b i
ligo	l ìː ɡ ɔ
line	l ìː n ɛ
liniji	l ìː n i j i
ločila	l ɔ t͡ʃ ìː l a
meseci	m ɛ s èː t͡s i
milijarde	m i l i j áː r d ɛ
mislili	m i s l ìː l i
mleka	m l èː k a
morgan	m ɔ r ɡ áː n
narašča	n a r áː ʃ t͡ʃ a
nekdanjih	n ɛ ɡ d àː n j i x
obstoječih	ɔ p s t ɔ j èː t͡ʃ i x
odkritje	ɔ t k r ìː t j ɛ
odstrani	ɔ t s t r àː n i
odvisnosti	ɔ d ʋ ìː s n ɔ s t i
perspektive	p ɛ r s p ɛ k t ìː ʋ ɛ
plast	p l áː s t
plačuje	p l a t͡ʃ úː j ɛ
postavite	p ɔ s t a ʋ ìː t ɛ
potrebo	p ɔ t r èː b ɔ
potuje	p ɔ t ùː j ɛ
poznal	p ɔ z n áː l
poškodoval	p ɔ ʃ k ɔ d ɔ ʋ áː l
predlaga	p r ɛ d l áː ɡ a
pripadajo	p r i p a d áː j ɔ
profesionalni	p r ɔ f ɛ s i ɔ n áː l n i
radovljica	r a d ɔ ʋ l j ìː t͡s a
raziskovalcev	r a z i s k ɔ ʋ áː l t͡s ɛ ʋ
reforme	r ɛ f óː r m ɛ
režiserja	r ɛ ʒ i s éː r j a
sekunde	s ɛ k ùː n d ɛ
skladišče	s k l a d ìː ʃ t͡ʃ ɛ
sorazmerno	s ɔ r a z m éː r n ɔ
stabilnost	s t a b íː l n ɔ s t
takratni	t a k r áː t n i
telesna	t ɛ l éː s n a
televizijskih	t ɛ l ɛ ʋ ìː z i j s k i x
toka	t óː k a
varuje	ʋ àː r u j ɛ
visokem	ʋ i s óː k ə m
vod	ʋ óː t
vplivov	ʋ p l ìː ʋ ɔ ʋ
vsebin	ʋ s ɛ b íː n
zabavi	z a b àː ʋ i
zapisi	z a p ìː s i
zdravili	z d r a ʋ ìː l i
zgraditi	z ɡ r a d ìː t i
znake	z n àː k ɛ
značaja	z n a t͡ʃ áː j a
članki	t͡ʃ l áː n k i
članku	t͡ʃ l áː n k u
šef	ʃ éː f
arhitekt	a r x i t éː k t
bliža	b l ìː ʒ a
bližnjih	b l ìː ʒ n j i x
boleče	b ɔ l èː t͡ʃ ɛ
cerkvijo	t͡s ɛ r k ʋ íː j ɔ
enakomerno	ɛ n a k ɔ m éː r n ɔ
enotno	ɛ n óː t n ɔ
faza	f áː z a
fizične	f i z ìː t͡ʃ n ɛ
gledali	ɡ l ɛ d àː l i
gorice	ɡ ɔ r ìː t͡s ɛ
imeni	i m èː n i
indiji	ìː n d i j i
interneta	i n t ɛ r n éː t a
izdelava	i z d ɛ l áː ʋ a
izvajalci	i z ʋ a j áː l t͡s i
jezike	j èː z i k ɛ
kate	k àː t ɛ
ključnih	k l j ùː t͡ʃ n i x
kritik	k r ìː t i k
lahka	l áː x k a
luknje	l ùː k n j ɛ
medicinski	m ɛ d i t͡s íː n s k i
mini	m ìː n i
nacionalnih	n a t͡s i ɔ n áː l n i x
nadstropje	n a t s t r óː p j ɛ
narodi	n a r òː d i
njiju	n j ìː j u
oblikovali	ɔ b l i k ɔ ʋ àː l i
obnova	ɔ b n ɔ́ː ʋ a
odgovorna	ɔ d ɡ ɔ ʋ óː r n a
odločilno	ɔ d l ɔ t͡ʃ íː l n ɔ
olimpijske	ɔ l ìː m p i j s k ɛ
opredelitev	ɔ p r ɛ d ɛ l ìː t ə ʋ
organizem	ɔ r ɡ a n ìː z ə m
organizirala	ɔ r ɡ a n i z i r áː l a
planinske	p l a n íː n s k ɛ
plesa	p l èː s a
podpisala	p ɔ t p i s áː l a
pogledati	p ɔ ɡ l èː d a t i
pogost	p ɔ ɡ óː s t
poklicni	p ɔ k l ìː t͡s n i
posnetkov	p ɔ s n éː t k ɔ ʋ
potovanju	p ɔ t ɔ ʋ áː n j u
poznana	p ɔ z n áː n a
počakati	p ɔ t͡ʃ àː k a t i
prebrala	p r ɛ b r áː l a
predelih	p r ɛ d èː l i x
prepričanja	p r ɛ p r i t͡ʃ áː n j a
preprost	p r ɛ p r óː s t
preverili	p r ɛ ʋ ɛ r ìː l i
prevladujejo	p r ɛ ʋ l a d u j ɛ́ː j ɔ
prikazal	p r i k a z áː l
pričajo	p r i t͡ʃ áː j ɔ
prodajajo	p r ɔ d a j áː j ɔ
prodati	p r ɔ d àː t i
ptuju	p t ùː j u
razgled	r a z ɡ l éː t
savi	s àː ʋ i
sestri	s èː s t r i
skrbel	s k ə̀ r b ə ʋ
slavni	s l áː ʋ n i
sprašuje	s p r a ʃ úː j ɛ
stalne	s t áː l n ɛ
strokovnjakov	s t r ɔ k ɔ ʋ n j àː k ɔ ʋ
svetih	s ʋ èː t i x
talent	t a l éː n t
temeljnih	t ɛ m éː l n i x
udarec	u d áː r ə t͡s
umetniška	u m éː t n i ʃ k a
upravi	u p r àː ʋ i
zaključku	z a k l j ùː t͡ʃ k u
zasluge	z a s l ùː ɡ ɛ
široka	ʃ i r óː k a
švici	ʃ ʋ ìː t͡s i
andy	àː n d i
avtomobile	áː ʋ t ɔ m ɔ b ìː l ɛ
banko	b áː n k ɔ
berlinu	b ɛ r l ìː n u
delavce	d ɛ l áː ʋ t͡s ɛ
dogovorili	d ɔ ɡ ɔ ʋ ɔ r ìː l i
dokazati	d ɔ k a z àː t i
dostopna	d ɔ s t óː p n a
dviga	d ʋ ìː ɡ a
elektronska	ɛ l ɛ k t r óː n s k a
elektronsko	ɛ l ɛ k t r óː n s k ɔ
generalnega	ɡ ɛ n ɛ r áː l n ɛ ɡ a
glasilo	ɡ l a s ìː l ɔ
goricah	ɡ ɔ r ìː t͡s a x
hannah	x áː n n a x
helen	x ɛ̀ː l ə n
izbrane	i z b r àː n ɛ
izobrazbe	i z ɔ b r áː z b ɛ
jemlje	j èː m l j ɛ
kapital	k a p i t áː l
karl	k áː r l
klopi	k l òː p i
knjižni	k n j ìː ʒ n i
knjižnic	k n j ìː ʒ n i t͡s
lesena	l ɛ s éː n a
literarnih	l i t ɛ r áː r n i x
mladinsko	m l a d íː n s k ɔ
možje	m óː ʒ j ɛ
najljubši	n á j l j ùː p ʃ i
naučila	n a u t͡ʃ ìː l a
načrtoval	n a t͡ʃ ə r t ɔ ʋ áː l
našemu	n a ʃ éː m u
nekdanja	n ɛ ɡ d áː n j a
nick	n ìː t͡s k
nikar	n ìː k a r
obiskovalci	ɔ b i s k ɔ ʋ áː l t͡s i
objave	ɔ b j àː ʋ ɛ
oddaljen	ɔ d d áː l j ə n
odnosa	ɔ d n óː s a
odpovedal	ɔ t p ɔ ʋ ɛ d áː l
osredotoča	ɔ s r ɛ d ɔ t óː t͡ʃ a
otroške	ɔ t r óː ʃ k ɛ
podobi	p ɔ d òː b i
poklicno	p ɔ k l ìː t͡s n ɔ
policijska	p ɔ l i t͡s íː j s k a
ponudili	p ɔ n u d ìː l i
poročni	p ɔ r óː t͡ʃ n i
pozabimo	p ɔ z a b ìː m ɔ
prenehal	p r ɛ n ɛ x áː l
preprečil	p r ɛ p r ɛ t͡ʃ íː l
prid	p r íː t
pripeljalo	p r i p ɛ l j àː l ɔ
prispevala	p r i s p ɛ ʋ áː l a
prodaje	p r ɔ d áː j ɛ
različnim	r a z l ìː t͡ʃ n i m
razmišljanja	r a z m i ʃ l j áː n j a
razpon	r a s p óː n
regijo	r ɛ ɡ íː j ɔ
sestavina	s ɛ s t a ʋ ìː n a
sigurno	s i ɡ úː r n ɔ
sindrom	s i n d r óː m
sklep	s k l éː p
slovenskimi	s l ɔ ʋ èː n s k i m i
sprednji	s p r èː d n j i
spreminjajo	s p r ɛ m i n j áː j ɔ
spremljajo	s p r ɛ m l j áː j ɔ
svobodni	s ʋ ɔ b óː d n i
uporabna	u p ɔ r áː b n a
uredi	u r èː d i
uspehe	u s p èː x ɛ
ustvarjalci	u s t ʋ a r j áː l t͡s i
vložil	ʋ l ɔ ʒ íː l
vzorce	ʋ z óː r t͡s ɛ
zahtev	z àː x t ə ʋ
zaključi	z a k l j ùː t͡ʃ i
zalog	z a l óː k
zasnovo	z a s n ɔ́ː ʋ ɔ
zmagovalca	z m a ɡ ɔ ʋ áː l t͡s a
šentjur	ʃ ɛ n t j ùː r
župniji	ʒ ùː p n i j i
baje	b àː j ɛ
bere	b ɛ̀ː r ɛ
bitke	b íː t k ɛ
bitki	b íː t k i
božično	b ɔ ʒ ìː t͡ʃ n ɔ
centralne	t͡s ɛ n t r áː l n ɛ
cesarja	t͡s ɛ s áː r j a
delavca	d ɛ l áː ʋ t͡s a
dobrem	d ɔ b r éː m
dogodku	d ɔ ɡ óː t k u
dvorišče	d ʋ ɔ r ìː ʃ t͡ʃ ɛ
gospodarskega	ɡ ɔ s p ɔ d áː r s k ɛ ɡ a
grand	ɡ r áː n t
grosuplje	ɡ r ɔ s ùː p l j ɛ
institucije	i n s t i t ùː t͡s i j ɛ
italijanskih	i t a l i j áː n s k i x
jami	j àː m i
kontakt	k ɔ n t áː k t
kopijo	k ɔ p íː j ɔ
kovine	k ɔ ʋ ìː n ɛ
krizo	k r ìː z ɔ
ljudska	l j úː t s k a
mladenič	m l a d ɛ n ìː t͡ʃ
mlajše	m l áː j ʃ ɛ
moderna	m ɔ d éː r n a
morskih	m óː r s k i x
moskvi	m óː s k ʋ i
motivi	m ɔ t ìː ʋ i
možne	m óː ʒ n ɛ
nacionalna	n a t͡s i ɔ n áː l n a
naročilo	n a r ɔ t͡ʃ ìː l ɔ
naslove	n a s l ɔ́ː ʋ ɛ
nastopajo	n a s t ɔ p áː j ɔ
nastopov	n a s t ɔ̀ː p ɔ ʋ
nicholas	n i x ɔ l áː s
nižja	n ìː ʒ j a
obiskovalce	ɔ b i s k ɔ ʋ áː l t͡s ɛ
objavili	ɔ b j a ʋ ìː l i
obrne	ɔ b ə́ r n ɛ
obrnite	ɔ b ə r n ìː t ɛ
odstopil	ɔ t s t ɔ p íː l
podelila	p ɔ d ɛ l ìː l a
pohoda	p ɔ x óː d a
pomenila	p ɔ m ɛ n ìː l a
porabi	p ɔ r àː b i
poslovne	p ɔ s l ɔ́ː ʋ n ɛ
povabila	p ɔ ʋ a b ìː l a
prepričal	p r ɛ p r i t͡ʃ áː l
prijetna	p r i j éː t n a
rajši	r áː j ʃ i
razdelili	r a z d ɛ l ìː l i
raziskovalnih	r a z i s k ɔ ʋ áː l n i x
razširili	r a s ʃ i r ìː l i
redke	r èː t k ɛ
rod	r óː t
ruska	r úː s k a
samostojnih	s a m ɔ s t ɔ̀ː j n i x
sds	s d ə́ s
sedi	s èː d i
situacije	s i t u àː t͡s i j ɛ
slavo	s l àː ʋ ɔ
sovjetske	s ɔ ʋ j éː t s k ɛ
spominjajo	s p ɔ m i n j áː j ɔ
sporov	s p ɔ̀ː r ɔ ʋ
sposobna	s p ɔ s óː b n a
sposobni	s p ɔ s óː b n i
strinja	s t r ìː n j a
sužnji	s ùː ʒ n j i
televizija	t ɛ l ɛ ʋ ìː z i j a
terapija	t ɛ r àː p i j a
this	t x íː s
tretjini	t r ɛ t j ìː n i
trud	t r úː t
ukvarjali	u k ʋ a r j àː l i
uspeva	u s p éː ʋ a
volji	ʋ óː l j i
will	ʋ íː l
zmanjšal	z m a n ʃ áː l
zračni	z r àː t͡ʃ n i
šestimi	ʃ ɛ s t ìː m i
šolskem	ʃ ɔ̀ː ʋ s k ɛ m
alexander	a l ɛ k s áː n d ə r
am	áː m
civilno	t͡s i ʋ íː l n ɔ
dave	d àː ʋ ɛ
določajo	d ɔ l ɔ t͡ʃ áː j ɔ
držati	d ə́ r ʒ a t i
duševno	d u ʃ éː ʋ n ɔ
duši	d ùː ʃ i
elektronskih	ɛ l ɛ k t r óː n s k i x
fanta	f áː n t a
hladne	x l áː d n ɛ
izidu	i z ìː d u
izvrstno	i z ʋ ə́ r s t n ɔ
japonske	j a p óː n s k ɛ
kmetijstva	k m ɛ t íː j s t ʋ a
kotu	k óː t u
krka	k ə̀ r k a
lepih	l ɛ̀ː p i x
ločitev	l ɔ t͡ʃ íː t ə ʋ
marka	m áː r k a
masko	m áː s k ɔ
mislila	m i s l ìː l a
modrosti	m ɔ d r óː s t i
morske	m óː r s k ɛ
napisano	n a p i s áː n ɔ
navsezadnje	n a ʋ s ɛ z áː d n j ɛ
nikomur	n i k ɔ m ùː r
nočni	n óː t͡ʃ n i
nočno	n óː t͡ʃ n ɔ
opazila	ɔ p a z ìː l a
opazovanje	ɔ p a z ɔ ʋ áː n j ɛ
operaciji	ɔ p ɛ r a t͡s íː j i
opozorila	ɔ p ɔ z ɔ r ìː l a
ovira	ɔ ʋ ìː r a
papeža	p a p éː ʒ a
parov	p àː r ɔ ʋ
ph	p x
postopno	p ɔ s t óː p n ɔ
potrebujem	p ɔ t r ɛ b ùː j ə m
povabilo	p ɔ ʋ a b ìː l ɔ
povzetek	p ɔ ʋ z éː t ə k
pozdravil	p ɔ z d r a ʋ íː l
poškodovana	p ɔ ʃ k ɔ d ɔ ʋ áː n a
predstavnika	p r ɛ t s t áː ʋ n i k a
preostali	p r ɛ ɔ s t àː l i
preprečili	p r ɛ p r ɛ t͡ʃ ìː l i
preprosta	p r ɛ p r óː s t a
primerjava	p r i m ɛ r j áː ʋ a
pripovedi	p r i p ɔ ʋ èː d i
priznava	p r i z n áː ʋ a
pričakujemo	p r i t͡ʃ a k úː j ɛ m ɔ
prodala	p r ɔ d áː l a
proizvajajo	p r ɔ i z ʋ a j áː j ɔ
raketa	r a k éː t a
