seg	s æ ɪ̯
pipe	p iː p ə
plenen	p l eː n n̩
polet	p uː l ə
profilerte	p r ʊ f ɪ l eː ʁ t ə
rensing	r ɛ n s ɪ ŋ
retningslinjene	r ɛ t n ɪ ŋ s l ɪ n j ə n ə
skagen	s k ɑː ɡ n̩
sporer	s p uː r ə r
spot	s p uː t
spå	s p oː
styringen	s t yː r ɪ ŋ n̩
sverger	s ʋ æ r ɡ ə r
tastaturet	t a s t a t ʉː r ə
tiggere	t ɪ ɡː ə r ə
trekant	t r e k a n t
ulempe	ʉː l ɛ m p ə
ulempen	ʉː l ɛ m p n̩
utelukker	ʉː t ə l ʉ kː ə r
utgang	ʉː t ɡ ɑ ŋ
uti	ʉː t ɪ
utsagnet	ʉː t s a ŋ n ə
vie	² ʋ iː ə
vinen	ʋ iː n n̩
anmeldelsen	a n m ɛ l d ə l s n̩
artene	ɑ ʁ t ə n ə
arving	ɑ r ʋ ɪ ŋ
beklaget	b ə k l ɑː ɡ ə
benekte	b ə n ɛ k t ə
birgitte	b ɪ r ɡ ɪ tː ə
blu	b l ʉː
bryting	b r yː t ɪ ŋ
chip	t͡ʃ iː p
class	k l a s
dominere	d ʊ m ɪ n eː r ə
drakter	d r a k t ə r
drifter	d r ɪ f t ə r
driten	d r iː t n̩
dumpet	d ʉ m p ə
ekko	ɛ kː ɔ
fastslå	f a s t ʃ l oː
feb	f eː b
flammer	f l a mː ə r
forgjeves	f ɔ r j eː v ə s
fossum	f ɔ sː ʉ m
fotballag	f u t b a l aː ɡ
framstår	f r a m s t oː r
ghana	ɡ ɑː n ɑ
gulv	ɡ ʉ l ʋ
heder	h eː d ə r
infeksjon	ɪ n f ɛ k ʃ uː n
information	ɪ n f ɔ r m a ɧ uː n
integrerte	ɪ n t ə ɡ r eː ʁ t ə
invadere	ɪ n ʋ ɑː d ə r ə
karasjok	k a r a ʃ uː k
klargjøre	k l ɑ r j øː r ə
klinikk	k l iː n i k
ko	k uː
krutt	k r ʉ t
kunstige	k ʉ n s t ɪ ə
lama	l ɑː m ɑ
loftet	l ɔ f t ə
lommeboken	l u mː ə b uː k n̩
lysene	l yː s ə n ə
mammas	m a mː a s
mensen	m ɛ ŋ s n̩
motgang	m uː t ɡ a ŋ
nerver	n æ r ʋ ə r
nødhjelp	n øː j ɛ l p
omar	uː m ɑ r
omganger	ɔ m ɡ ɑ ŋ ə r
opphører	ɔ p h øː r ə r
orkdal	ɔ r k d ɑː l
overfører	oː ʋ ə r f øː r ə r
pesten	p ɛ s t n̩
pokemon	p uː k ə m uː n
rull	r ʉ l
senk	s ɛ ŋ k
shorts	ʂ u ʈ s
skammer	s k a mː ə r
sos	s uː s
stab	s t ɑː b
stones	s t uː n ə s
støtende	s t øː t ə n d ə
såvel	s oː ʋ ə l
talls	t a l s
tilpasser	t ɪ l p a sː ə r
titan	t ɪ t ɑː n
todd	t ɔ dː
vers	ʋ æ ʂ
vike	² ʋ iː k ə
webside	v ɛ b s iː d ə
åttende	ɔ tː ə n d ə
aftenblad	a f t n̩ b l ɑː
anfall	ɑː n f ɑ l
antisemittisme	ɑ n t ɪ s ə m ɪ tː ɪ s m ə
asylsøker	a s yː l s øː k ə r
avgiften	ɑː ʋ j ɪ f t n̩
betryggende	b ə t r ʏ ɡː ə n d ə
bjørnstad	b j øː ɳ s t ɑː
bryet	b r yː ə
check	t͡ʃ ɛ k
clara	k l ɑː r a
creek	k r iː k
diplomater	d ɪ p l ʊ m ɑː t ə r
eksemplene	ɛ k s ɛ m p l ə n ə
feilene	f æ ɪ l ə n ə
filene	f iː l ə n ə
fo	f uː
formelen	f ɔ r m ə l n̩
fornebu	f ɔ ɳ ə b ʉː
huawei	h ʉː ɑ ʋ ɛ ɪ
hule	h ʉː l ə
indeks	ɪ n d ɛ k s
industriell	ɪ n d ʉ s t r ɪ ɛ l
klokkene	k l ɔ kː ə n ə
kondom	k u n d u m
laurent	l æ ʉ r ɛ n t
lokk	l ɔ kː
løgnene	l ø j n ə n ə
misforståelse	m ɪ s f ɔ ʂ t oː ə l s ə
morfar	m ɔ r f ɑː r
navigasjon	n a ʋ ɪ ɡ a ʃ uː n
påvente	p oː ʋ ɛ n t ə
republikk	r ə p ʉ b l i k
sjukt	ʃ ʉ k t
stadighet	s t ɑː d ɪ h eː t
stimulere	s t ɪ m ʉ l eː r ə
sting	s t ɪ ŋ
strupen	s t r ʉː p n̩
støvet	s t øː ʋ ə
sært	s æ ʈ
tent	t ɛ n t
testene	t ɛ s t n̩ ə
toalettet	t uː a l ɛ tː ə
tolk	t ɔ l k
utbetaling	ʉː t b ɛ t ɑː l ɪ ŋ
utilgjengelig	ʉː t ɪ l j ɛ ŋ ə l ɪ
utsøkt	ʉː t s ø k t
uviktig	ʉː ʋ ɪ k t ɪ
uvisst	ʉː ʋ ɪ s t
view	ʋ iː ʋ
vit	ʋ iː t
administrativ	a d m ɪ n ɪ s t r a t iː ʋ
ansettelser	ɑ n s ɛ tː ə l s ə r
arna	ɑː ɳ ɑ
artisten	ɑ ʁ t ɪ s t n̩
avføring	ɑː ʋ f øː r ɪ ŋ
bedømme	b ə d œ mː ə
benet	b eː n ə
bitch	b ɪ t͡ʃ
brevik	b r eː ʋ iː k
drep	d r eː p
dritings	d r iː t ɪ ŋ s
dæ	d æː
eden	eː d n̩
faktura	f a k t ʉː r a
forfremmet	f ɔ r f ɾ ɛ mː ə
forleden	f ɔ ɾ l eː d n̩
fu	f ʉː
gitte	² j ɪ tː ə
grekere	ɡ r eː k ə r ə
hadeland	h ɑː d ə l ɑ n
hah	h ɑː
hiver	h iː ʋ ə r
individet	ɪ n d ɪ ʋ iː d ə
innenriks	ɪ nː ə n r ɪ k s
kasper	k a s p ə r
klasserom	k l a sː ə r uː m
kropper	k r ɔ pː ə r
kvalt	k ʋ ɑ l t
leting	l eː t ɪ ŋ
lærlinger	l æː ɭ ɪ ŋ ə r
menneskehandel	m ɛ nː ə s k ə h a n d ə l
misbrukt	m ɪ s b r ʉ k t
misforstå	m ɪ s f ɔ ʂ t oː
morris	m ɔ rː ɪ s
motstå	m uː t s t oː
mykt	m ʏ k t
neglene	n æ ɪ̯ l ə n ə
nøt	n øː t
oppfølger	ɔ p f œ l ɡ ə r
opprettholder	ɔ p r ɛ t h ɔ l d ə r
pepsi	p ɛ p s ɪ
pin	p iː n
pisser	p ɪ sː ə r
presses	p r ɛ sː ə s
raskest	r a s k ə s t
ritt	r ɪ tː
runar	r ʉː n ɑ r
røe	r øː ə
samma	s a mː a
short	ʂ u ʈ
skinke	² ʃ ɪ ŋ k ə
soft	s ɔ f t
sommerfugl	s ɔ mː ə r f ʉ ɡ l
stell	s t ɛ l
sugd	s ʉ ɡ d
sundby	s ʉ n b yː
svikt	s ʋ ɪ k t
tiltaket	t ɪ l t ɑː k ə
tiltalen	t ɪ l t ɑː l n̩
tiltrekkende	t ɪ l t r ɛ kː ə n d ə
toner	t uː n ə r
tower	t ɔ ʋ ə r
tyler	t yː l ə r
utgivelsen	ʉː t j iː ʋ ɛ l s n̩
vifte	² ʋ ɪ f t ə
aksjemarkedet	a k ʃ ə m a r k ə d ə
alpha	ɑ l f ɑ
amnesty	a m n ə s t yː
anke	² ɑ ŋ k ə
barnebøker	b ɑː ɳ ə b øː k ə r
basic	b ɑː s ɪ k
bernard	b æ ɳ ɑː r
bes	b eː s
betalingen	b ə t ɑː l ɪ ŋ n̩
brillene	b r ɪ lː ə n ə
chill	t͡ʃ ɪ l
colin	k u l iː n
diplomatisk	d ɪ p l ʊ m ɑː t ɪ s k
då	d oː
ella	ɛ lː ɑ
elskede	ɛ l s k ə d ə
elskerinne	ɛ l s k ə r ɪ nː ə
etterforsket	ɛ tː ə r f ɔ ʂ k ə
evakuering	e ʋ a k ʉ eː r ɪ ŋ
forføre	f ɔ r f øː r ə
griser	ɡ r iː s ə r
hedre	h eː d r ə
ideell	ɪ d ɛ ɛ l
indeksen	ɪ n d ɛ k s n̩
iron	iː r uː n
kap	k ɑː p
kjørende	ç øː r ə n d ə
knall	k n ɑ l
kobber	k ɔ bː ə r
kretsen	k r ɛ t s n̩
kullet	k ʉ lː ə
kødder	k œ dː ə r
lidelsen	l iː d ə l s n̩
lånekassen	l oː n ə k a sː n̩
lønninger	l œ nː ɪ ŋ ə r
market	m ɑ r k ə
motorene	m u t uː r ə n ə
overlater	oː ʋ ə ɾ l ɑː t ə r
politistasjon	p ʊ l ɪ t ɪ s t a ʃ uː n
rang	r ɑ ŋː
raufoss	r æ ʉ f ɔ s
roen	r uː n̩
rystet	r ʏ s t ə
sauene	s æ ʉ̯ ə n ə
self	s ɛ l f
selvinnsikt	s ɛ l ʋ ɪ n s ɪ k t
sengs	s ɛ ŋ s
skjellsord	ʃ ɛ l s uː r
skyt	ʃ yː t
spioner	s p ɪ uː n ə r
staver	s t ɑː ʋ ə r
svett	s ʋ ɛ tː
traumatisk	t r æ ʉ m ɑː t ɪ s k
triumf	t r iː ʉ m f
tven	t ʋ eː n
unnslippe	ʉ n ʃ l ɪ pː ə
unormalt	ʉ n ɔ r m ɑː l t
utløser	ʉː t l øː s ə r
virkningen	ʋ ɪ r k n ɪ ŋ n̩
værnes	ʋ æː ɳ ə s
administrativt	a d m ɪ n ɪ s t r a t iː ʋ t
aktivert	a k t ɪ ʋ eː ʁ t
amatør	a m a t øː r
ansetter	ɑ n s ɛ tː ə r
apps	a p s
arrest	ɑ rː ə s t
avgrenset	ɑː ʋ ɡ r ɛ n s ə
avholdes	ɑː ʋ h ɔ l d ə s
ballett	b ɑ l ɛ t
baltimore	b ɑ l t ɪ m uː r ə
bekken	b ɛ kː n̩
belyst	b ə l ʏ s t
bindende	b ɪ n d ə n d ə
boble	b uː b l ə
brevene	b r eː ʋ ə n ə
brutto	b r ʉ tː ʊ
bråker	b r oː k ə r
cupfinalen	k ʉ p f ɪ n ɑː l n̩
dristig	d r ɪ s t ɪ
evakuere	e ʋ a k ʉ eː r ə
fjorten	f j ʊ ʁ t n̩
folkegrupper	f ɔ l k ə ɡ r ʉ pː ə r
gjensyn	j ɛ n s yː n
gjentas	j ɛ n t ɑ s
heletatt	h e l e t a t
hormoner	h ɔ r m uː n ə r
hunt	h ʉ n t
irakiske	ɪ r ɑː k ɪ s k ə
jordbruket	j uː r b r ʉː k ə
julebord	j ʉː l ə b uː r
kampens	k a m p ɛ n s
kurere	k ʉ r eː r ə
kvartfinale	k ʋ ɑ ʁ t f ɪ n ɑː l ə
misjon	m ɪ ʃ uː n
musklene	m ʉ s k l ə n ə
nokia	n uː k ɪ a
næringer	n æː r ɪ ŋ ə r
palasset	p a l a sː ə
police	p u l iː s
rebecca	r ə b ɛ kː a
ruben	r ʉː b n̩
røpe	r øː p ə
samtykker	s a m t ʏ kː ə r
severin	s ɛ ʋ ə r iː n
simpson	s ɪ m p s uː n
sleng	ʂ l ɛ ŋ
slengt	ʂ l ɛ ŋ t
sosialistene	s ʊ s ɪ a l ɪ s t ə n ə
svensken	s ʋ ɛ n s k n̩
ulempene	ʉː l ɛ m p ə n ə
ulvene	ʉ l ʋ ə n ə
utlending	ʉː t l ɛ n d ɪ ŋ
uvær	ʉː ʋ æː r
villet	ʋ ɪ lː ə
beregnes	b ə r æ ɪ̯ n ə s
beskyldninger	b ə ʃ ʏ l d n ɪ ŋ ə r
beviset	b ə ʋ iː s ə
british	b r iː t ɪ ʃ
druer	d r ʉː ə r
ekspertise	ɛ k s p ɛ ʁ t ɪ s ə
forbered	f ɔ r b eː r ə
fordypning	f ɔ ɾ d yː p n ɪ ŋ
forlaget	f ɔ ɾ l ɑː ɡ ə
forvaring	f ɔ r ʋ ɑː r ɪ ŋ
fruen	f r ʉː n̩
gevinsten	ɡ ə ʋ ɪ n s t n̩
hytten	h ʏ tː n̩
håpløse	h oː p l øː s ə
infrastrukturen	ɪ n f r a s t r ʉ k t ʉː r n̩
innmari	ɪ nː m ɑː r ɪ
innpass	ɪ nː p a s
isolerte	ɪ s ʊ l eː ʁ t ə
kanoner	k a n uː n ə r
kidsa	ç ɪ d s ɑ
kirsten	ç ɪ ʂ t n̩
kjøpere	ç øː p ə r ə
kobles	k uː b l ə s
kollisjon	k ɔ l ɪ ʃ uː n
kompass	k u m p a s
konvertere	k ɔ n ʋ ɛ ʁ t eː r ə
kvartalet	k ʋ ɑ ʁ t ɑː l ə
leddene	l ɛ dː ə n ə
mar	m ɑː r
mind	m ɪ n
nervene	n æ r ʋ ə n ə
olsson	uː l s uː n
opplært	u p l æː ʈ
parkeringsplasser	p a r k eː r ɪ ŋ s p l a sː ə r
pensjonister	p a ŋ ʃ ʊ n ɪ s t ə r
pot	p uː t
pule	p ʉː l ə
påfunn	p oː f ʉ n
riv	r iː ʋ
rødvin	r øː v iː n
selgeren	s ɛ l ɡ ə r n̩
sem	s ɛ m
skjerpet	ʃ æ r p ə
skuffen	s k ʉ fː n̩
sons	s u n s
spektakulære	s p ɛ k t a k ʉ l æː r ə
språkrådet	s p r oː k r oː d ə
spytter	s p ʏ tː ə r
spøkelser	s p øː k ə l s ə r
stadige	s t ɑː d ɪ ə
stevens	s t eː ʋ ɛ n s
sæther	s eː t ə r
tag	t ɑː ɡ
tempel	t ɛ m p ə l
trer	t ɾ eː r
truser	t r ʉː s ə r
ubehag	ʉː b ə h ɑː ɡ
unnskyldningen	ʉ n ʃ ʏ l d n ɪ ŋ n̩
utgått	ʉː t ɡ ɔ t
vafler	ʋ ɑ f l ə r
vogner	ʋ ɔ ŋ n ə r
vågå	ʋ oː ɡ o
økologiske	ø k ʊ l uː ɡ ɪ s k ə
avkom	ɑː ʋ k ɔ m
banene	b ɑː n ə n ə
basel	b ɑː s ə l
betraktes	b ə t r a k t ə s
bibel	b iː b ə l
birkeland	b ɪ r k ə l ɑ n
blek	b l eː k
blid	b l iː
blodprøve	b l uː p r øː ʋ ə
cold	k ɔ l
denver	d ɛ n ʋ ə r
derpå	d æ r p oː
farligste	f ɑː ɭ ɪ s t ə
fiks	f ɪ k s
finaler	f ɪ n ɑː l ə r
fish	f ɪ ʃ
fordømte	f ɔ ɾ d œ m t ə
forsinkelse	f ɔ ʂ ɪ ŋ k ə l s ə
gjenkjenne	j ɛ n ç ɛ nː ə
grøt	ɡ r øː t
hjerneslag	j æː ɳ ə s l ɑː ɡ
into	ɪ n t ʊ
jesse	j ɛ sː ə
kammeret	k a mː ə r ə
kjærlighetens	ç æː ɭ ɪ h eː t ɛ n s
klokere	k l uː k ə r ə
leietaker	l æ ɪ ə t ɑː k ə r
lettelse	l ɛ tː ə l s ə
level	l eː ʋ ə l
meksikansk	m ɛ k s ɪ k ɑː n s k
morrison	m ɔ rː ɪ s uː n
onkelen	ɔ ŋ k ə l n̩
opphør	ɔ p h øː r
oppnås	u p n oː s
overgripere	oː ʋ ə r ɡ r iː p ə r ə
pakt	p a k t
pers	p æ ʂ
produktiv	p r u d ʉ k t iː ʋ
returnert	r ə t ʉː ɳ eː ʈ
ronald	r uː n ɑ l
rundet	r ʉ n d ə
røret	r øː r ə
sims	s ɪ m s
skapninger	s k ɑː p n ɪ ŋ ə r
skroget	s k r uː ɡ ə
skyldtes	ʃ ʏ l t ə s
småting	s m oː t ɪ ŋ
staben	s t ɑː b n̩
strategier	s t r a t eː ɡ ɪ ə r
søn	s øː n
tildels	t ɪ l d ə l s
tipp	t ɪ pː
ubåt	ʉː b oː t
utfyllende	ʉː t f ʏ lː ə n d ə
uttales	ʉː t t ɑː l ə s
vita	ʋ iː t ɑ
ahh	ɑː
amen	ɑː m ə n
avstemning	ɑː ʋ s t ɛ m n ɪ ŋ
bebyggelse	b ə b ʏ ɡ ə l s ə
bevisstheten	b ə ʋ ɪ s t h eː t n̩
brad	b r ɑː
brenning	b r ɛ nː ɪ ŋ
brønnøysund	b r œ nː œ ʏ s ʉ n
driv	d r iː ʋ
dråpe	d r oː p ə
elsa	ɛ l s ɑ
evan	eː ʋ ɑ n
express	ɛ k s p r ɛ s
flasken	f l a s k n̩
flyvende	f l yː ʋ ə n d ə
funka	f ʊ ŋ k ɑ
håndtak	h ɔ n t ɑː k
innvendinger	ɪ nː ʋ ɛ n d ɪ ŋ ə r
institute	ɪ n s t ɪ t ʉː t ə
integreringen	ɪ n t ə ɡ r eː r ɪ ŋ n̩
katolsk	k a t uː l s k
katta	k a tː a
kneet	k n eː ə
kristent	k r ɪ s t ɛ n t
kulden	k ʉ l d n̩
likestilte	l iː k ə s t ɪ l t ə
maren	m ɑː ɳ̩
månedens	m oː n ə d ɛ n s
mæland	m æː l ɑ n
nome	n uː m ə
oppmuntre	ɔ p m ʉ n t r ə
pet	p eː t
rené	r ə n eː
rommer	r u mː ə r
sagen	s ɑː ɡ n̩
sannheter	s a n h eː t ə r
scoringer	s k uː r ɪ ŋ ə r
simple	s ɪ m p l ə
sindre	s ɪ n d r ə
sitert	s ɪ t eː ʁ t
skitt	ʃ ɪ tː
skrifter	s k r ɪ f t ə r
småbarn	s m oː b ɑː ɳ
solbakken	s uː l b a kː n̩
sonet	s uː n ə
stryker	s t r yː k ə r
stuttgart	s t ʉ t ɡ ɑː ʁ t
støte	² s t øː t ə
sulter	s ʉ l t ə r
søken	s øː k n̩
tilbehør	t ɪ l b ə h øː r
tipse	t ɪ p s ə
titanic	t ɪ t ɑː n ɪ k
tregt	t r e k t
treningssenter	t r eː n ɪ ŋ s ɛ n t ə r
undres	ʉ n d r ə s
ustabile	ʉ s t ɑː b ɪ l ə
utlån	ʉː t l oː n
vakrere	ʋ ɑ k r eː r ə
vev	ʋ eː ʋ
alexis	a l ɛ k s ɪ s
ambisiøs	a m b ɪ s ɪ øː s
antageligvis	ɑ n t ɑː ɡ ə l ɪ ɡ ʋ iː s
aspekt	a s p ɛ k t
avklaring	ɑː ʋ k l ɑː r ɪ ŋ
benekter	b ə n ɛ k t ə r
berre	b ɛ rː ə
bobler	b uː b l ə r
drag	d r ɑː ɡ
drop	d r uː p
drøfte	d r œ f t ə
dusjer	d ʉ ʃː ə r
es	eː s
estland	ɛ s t l ɑ n
etterlyser	ɛ tː ə ɾ l yː s ə r
folkeskikk	f ɔ l k ə ʃ i k
forble	f ɔ r b l ə
forkastet	f ɔ r k a s t ə
fosteret	f ʊ s t ə r ə
frigjøringen	f r iː j øː r ɪ ŋ n̩
hai	h ɑ ɪ̯
hands	h ɑ n s
hemsedal	h ɛ m s ə d ɑː l
hjemmene	j ɛ mː ə n ə
hyllene	h ʏ lː ə n ə
istid	i s t iː
karbon	k a r b uː n
kasser	k a sː ə r
klosteret	k l ɔ s t ə r ə
koret	k uː r ə
kriser	k r iː s ə r
kronet	k r uː n ə
lovfestet	l oː ʋ f ɛ s t ə
læres	l æː r ə s
løve	l øː ʋ ə
minnesota	m ɪ nː ə s uː t a
morra	m ɔ rː a
murer	m ʉː r ə r
nåtid	n oː t iː
olivier	u l iː ʋ ɪ ə r
pauser	p æ ʉ s ə r
pinnen	p ɪ nː n̩
pinner	p ɪ nː ə r
plasten	p l ɑ s t n̩
preges	p r eː ɡ ə s
randen	r ɑ nː n̩
reddes	r ɛ dː ə s
røttene	r œ tː ə n ə
smilet	s m iː l ə
spanjolene	s p a n j uː l ə n ə
spente	s p ɛ n t ə
språklige	s p r oː k l ɪ ə
stram	s t r a m
strever	s t r eː ʋ ə r
svingte	s ʋ ɪ ŋ t ə
tepper	t ɛ pː ə r
toppet	t ɔ pː ə
tora	t uː r a
traktaten	t r a k t ɑː t n̩
treninger	t r eː n ɪ ŋ ə r
tunnelene	t ʉ n ə l ə n ə
tykt	t ʏ k t
utgivelser	ʉː t j iː ʋ ɛ l s ə r
vennesla	ʋ ɛ nː ə s l a
vilkårlig	ʋ ɪ l k oː ɾ l ɪ
virkninger	ʋ ɪ r k n ɪ ŋ ə r
vognene	ʋ ɔ ŋ n ə n ə
åse	oː s ə
aksen	a k s n̩
aksjefond	a k ʃ ə f ʊ n
amfi	ɑ m f iː
avtalene	ɑː ʋ t ɑː l ə n ə
avveie	ɑː ʋ ɛ ɪː ə
barer	b ɑː r ə r
baser	b ɑː s ə r
benk	b ɛ ŋ k
bier	b iː ə r
biten	b iː t n̩
br	b ə r
bråket	b r oː k ə
click	k l ɪ k
dess	d ɛ sː
faser	f ɑː s ə r
filosofiske	f ɪ l ʊ s uː f ɪ s k ə
formene	f ɔ r m ə n ə
gausdal	ɡ æ ʉ s d ɑː l
gol	ɡ uː l
harlem	h ɑː ɭ ə m
honda	h ʊ n d ɑ
hygge	² h ʏ ɡː ə
inkompetente	ɪ n k ɔ m p ə t ɛ n t ə
jenten	j ɛ n t n̩
jules	j ʉː l ə s
kit	ç iː t
kjærlig	ç æː ɭ ɪ
kjøl	ç øː l
knapper	k n ɑ pː ə r
kula	k ʉː l ɑ
lageret	l ɑː ɡ ə r ə
lovforslag	l oː ʋ f ɔ ʂ l ɑː ɡ
lukta	l ʉ k t ɑ
løftes	l œ f t ə s
mit	m iː t
niqab	n iː k ɑː b
nål	n oː l
organismer	ɔ r ɡ a n ɪ s m ə r
perler	p æː ɭ ə r
pippi	p i p i
prege	p r eː ɡ ə
protestere	p r ʊ t ɛ s t eː r ə
pågikk	p oː ɡ i k
ror	r uː r
rustet	r ʉ s t ə
sektorer	s ɛ k t uː r ə r
sj	ʂ
skipper	ʃ ɪ pː ə r
slemt	ʂ l ɛ m t
solskjær	s uː l ʃ æː r
stressa	s t r ɛ sː a
støter	s t øː t ə r
suv	s ʉː ʋ
sær	s æː r
till	t ɪ l
tipsene	t ɪ p s ə n ə
ubåten	ʉː b oː t n̩
ullevaal	ʉ l ə ʋ ɑː l
uriktig	ʉː r ɪ k t ɪ
utgi	ʉː t j iː
utkanten	ʉː t k a n t n̩
yter	yː t ə r
øket	øː k ə
ølet	øː l ə
aap	ɑː p
akademiet	a k a d eː m ɪ ə
assisterende	a s ɪ s t eː r ə n d ə
barnes	b ɑː ɳ ə s
bb	b eː b eː
begrensning	b ə ɡ r ɛ n s n ɪ ŋ
betraktninger	b ə t r a k t n ɪ ŋ ə r
blindern	b l ɪ n d ə ɳ
ektepar	ɛ k t ə p ɑː r
fotballforbund	f u t b a l f ɔ r b ʉ n
fotografen	f u t u ɡ r ɑː f n̩
frogn	f r o ŋ n
googlet	ɡ uː ɡ l ə
harper	h ɑ r p ə r
hederlig	h eː d ə ɾ l ɪ
heimdal	h æ ɪ m d ɑː l
hjulet	j ʉː l ə
inside	ɪ n s iː d ə
kanonene	k a n uː n ə n ə
knullet	k n ʉ lː ə
kostbare	k ɔ s t b ɑː r ə
krasjer	k r ɑ ʃː ə r
kvalme	k ʋ ɑ l m ə
løftene	l œ f t n̩ ə
løten	l øː t n̩
marina	m ɑ r iː n ɑ
masser	m a sː ə r
moskeen	m ʊ s k eː n̩
netthandel	n ɛ t h ɑ n d ə l
nk	ɛ n k
nydalen	n yː d ɑː l n̩
nøtteskall	n œ tː ə s k a l
order	uː ɾ ə r
overføringer	oː ʋ ə r f øː r ɪ ŋ ə r
praktiserer	p r a k t ɪ s eː r ə r
raner	r ɑː n ə r
resultere	r ə s ʉ l t eː r ə
riddere	r ɪ dː ə r ə
ritualer	r ɪ t ʉ ɑː l ə r
røper	r øː p ə r
saksøkt	s a k s ø k t
sausen	s æ ʉ s n̩
signalene	s ɪ ŋ n ɑː l ə n ə
sivilisasjonen	s ɪ ʋ ɪ l ɪ s a ʃ uː n n̩
skattelette	s k a tː ə l ɛ tː ə
skuta	s k ʉː t ɑ
snap	s n ɑː p
sovende	s oː ʋ ə n d ə
spyd	s p yː
telling	t ɛ lː ɪ ŋ
turné	t ʉː ɳ eː
tygge	² t ʏ ɡː ə
und	ʉ n
uniformer	ʉː n ɪ f ɔ r m ə r
utenforstående	ʉː t n̩ f ɔ ʂ t oː ə n d ə
valp	ʋ ɑ l p
begrenses	b ə ɡ r ɛ n s ə s
bernhard	b æː ɳ h ɑː r
betrakter	b ə t r a k t ə r
blodprøver	b l uː p r øː ʋ ə r
bruer	b r ʉː ə r
cox	k ɔ k s
distribuert	d ɪ s t r ɪ b ʉ eː ʁ t
done	d uː n ə
drifte	d r ɪ f t ə
duncan	d ʉ ŋ k ɑː n
fastleger	f a s t l eː ɡ ə r
ferrari	f ɛ r ɑː r ɪ
fiktive	f ɪ k t iː ʋ ə
frittstående	f r ɪ t s t oː ə n d ə
fødselsdag	f œ d s ə l s d ɑː ɡ
godeste	ɡ uː d ə s t ə
halvannet	h a l ʋ a nː ə
hamburg	h a m b ʉ r
help	h ɛ l p
himmelske	h ɪ mː ə l s k ə
hjemmesiden	j ɛ mː ə s iː d n̩
huse	h ʉː s ə
inspirerer	ɪ n s p ɪ r eː r ə r
institusjonene	ɪ n s t ɪ t ʉ ʃ uː n ə n ə
instrukser	ɪ n s t r ʉ k s ə r
investeringene	ɪ n ʋ ɛ s t eː r ɪ ŋ ə n ə
jaktet	j a k t ə
jess	j ɛ sː
legalisere	l ɛ ɡ a l ɪ s eː r ə
leies	l æ ɪ ə s
lærebok	l æː r ə b uː k
matter	m a tː ə r
musikal	m ʉ s ɪ k ɑː l
mysen	m yː s n̩
oppmuntrer	ɔ p m ʉ n t r ə r
pirater	p ɪ r ɑː t ə r
politimester	p ʊ l ɪ t ɪ m ɛ s t ə r
portefølje	p u ʈ ə f œ l j ə
pressemelding	p r ɛ sː ə m ɛ l d ɪ ŋ
profit	p r u f iː t
realisert	r ɛ a l ɪ s eː ʁ t
renset	r ɛ n s ə
she	ʃ eː
sidelinjen	s iː d ə l ɪ n j n̩
skjoldet	ʃ ɔ l d ə
skytter	ʃ ʏ tː ə r
spekulasjon	s p e k ʉ l a ʃ uː n
stifte	² s t ɪ f t ə
strømnettet	s t r œ m n ɛ tː ə
telles	t ɛ lː ə s
temperament	t ɛ m p ə r a m a ŋ
tendensen	t ɛ n d ɛ n s n̩
tigger	t ɪ ɡː ə r
tilgitt	t ɪ l j ɪ t
ubestemt	ʉː b ə s t ɛ m t
unicef	ʉː n ɪ s ɛ f
usmakelig	ʉː s m ɑː k l ɪ
utgivelse	ʉː t j iː ʋ ɛ l s ə
veksler	ʋ ɛ k s l ə r
vinklingen	ʋ ɪ ŋ k l ɪ ŋ n̩
ølen	øː l n̩
adolf	a d ɔ l f
aleine	ɑ l æ ɪ n ə
amazonas	a m a s uː n a s
antarktis	ɑ n t ɑ r k t iː s
avgitt	ɑː ʋ j ɪ t
bader	b ɑː d ə r
bakkene	b a kː ə n ə
balkan	b ɑ l k ɑː n
benektet	b ə n ɛ k t ə
bevaring	b ə ʋ ɑː r ɪ ŋ
brennevin	b r ɛ nː ə ʋ iː n
claude	k l æ ʉ̯ d ə
diskret	d ɪ s k r eː t
drittunge	d r ɪ tː ʊ ŋ ə
efter	ɛ f t ə r
ekspedisjonen	ɛ k s p ɛ d ɪ ʃ uː n n̩
folkehelse	f ɔ l k ə h ɛ l s ə
forever	f ɔ r eː ʋ ə r
formannskapet	f ɔ r m a n s k ɑː p ə
formiddagen	f ɔ r m ɪ d ɑː ɡ n̩
forsvart	f ɔ ʂ ʋ ɑ ʈ
fosser	f ɔ sː ə r
friluftsliv	f r iː l ʉ f t s l iː ʋ
fullstendige	f ʉ l s t ɛ n d ɪ ə
galskapen	ɡ ɑː l s k ɑː p n̩
gasser	ɡ a sː ə r
giv	j iː ʋ
grøfta	ɡ r œ f t ɑ
gunstige	ɡ ʉ n s t ɪ ə
hekk	h ɛ kː
hoffet	h ɔ fː ə
hokksund	h ɔ k s ʉ n
hudson	h ʉ d s uː n
høl	h øː l
investeringen	ɪ n ʋ ɛ s t eː r ɪ ŋ n̩
irving	² ɪ r ʋ ɪ ŋ
jet	j eː t
joel	j uː ə l
katastrofer	k a t a s t r uː f ə r
klatrer	k l ɑ t r ə r
kusine	k ʉ s iː n ə
