ها	h ɒː
ولیعصر	v æ l iː ʔ e̞ s æ ɾ
پاسارگاد	p ɒː s ɒː ɾ g ɒː d
پالایشگاه	p ɒː l ɒː j e̞ ʃ g ɒː h
پشتیبان	p o ʃ t iː b ɒː n
چالوس	t͡ʃ ɒː l uː s
چتر	t͡ʃ e̞ t æ ɾ
چشمی	t͡ʃ e̞ ʃ m iː
کاشی	k ɒː ʃ iː
کلیسای	k e̞ l iː s ɒː j
کنارم	k e̞ n ɒː ɾ æ m
کپسول	k æ p s uː l
گوی	g uː j
گیج	g iː d͡ʒ
آرد	ɒː ɾ æ d
آلات	ɒː l ɒː t
آنهاست	ɒː n æ h ɒː s t
ادای	æ d ɒː j
اهميت	æ h m iː t
بخورن	b e̞ x o ɾ æ n
بهونه	b e̞ h uː n e̞
بویراحمد	b e̞ v iː ɾ ɒː h æ m æ d
تراکتورسازی	t æ ɾ ɒː k t uː ɾ s ɒː z iː
تفت	t æ f t
تلاشی	t æ l ɒː ʃ iː
تولیدکننده	t uː l iː d e̞ k æ n æ n d e̞
جاها	d͡ʒ ɒː h ɒː
خشکسالی	x o ʃ k e̞ s ɒː l iː
خوار	x ɒː ɾ
خونم	x o n æ m
دربی	d æ ɾ b iː
دستمون	d æ s t æ m uː n
دستوری	d æ s t uː ɾ iː
دهنم	d æ h n æ m
راحته	ɾ ɒː h t e̞
رستمی	ɾ o s t æ m iː
رویش	ɾ æ v iː ʃ
زامبی	z ɒː m b iː
سیستمی	s iː s t æ m iː
شریفی	ʃ o ɾ iː f iː
شوق	ʃ uː ɢ
عبد	æ b æ d
عضله	æ z l e̞
فرآیند	f æ ɾ ɒː j æ n d
فقدان	f æ ɢ d ɒː n
فیسبوک	f iː s b uː k
قشم	ɢ e̞ ʃ æ m
لاستیک	l ɒː s t iː k
لنگ	l æ n g
مارتین	m ɒː ɾ t iː n
متقاعد	m æ t æ ɢ ɒː ʔ æ d
مصاف	m æ s ɒː f
مصوب	m æ s uː b
مونه	m uː n e̞
مینی	m iː n iː
نهار	n æ h ɒː ɾ
هفدهم	h æ f d æ h æ m
پروردگار	p æ ɾ v æ ɾ d e̞ g ɒː ɾ
کارون	k ɒː ɾ uː n
کامران	k ɒː m o ɾ ɒː n
کمیاب	k æ m j ɒː b
کوتوله	k uː t uː l e̞
کیفری	k iː f æ ɾ iː
گردآوری	g æ ɾ d ɒː v æ ɾ iː
گوشم	g uː ʃ æ m
یهود	j æ h uː d
یگان	j e̞ g ɒː n
آخرت	ɒː x æ ɾ æ t
ایستادگی	iː s t ɒː d g iː
باقری	b ɒː ɢ æ ɾ iː
بذارن	b e̞ z ɒː ɾ æ n
برایان	b e̞ ɾ ɒː j ɒː n
بمونی	b e̞ m uː n iː
بها	b e̞ h ɒː
بگین	b e̞ g iː n
تابش	t ɒː b e̞ ʃ
تصاحب	t æ s ɒː h e̞ b
تقاطع	t æ ɢ ɒː t e̞ ʔ
تناسب	t æ n ɒː s e̞ b
تومن	t uː m æ n
جرمی	d͡ʒ æ ɾ m iː
جسمانی	d͡ʒ o s m ɒː n iː
جوهر	d͡ʒ uː h æ ɾ
حتا	h e̞ t ɒː
حمیدرضا	h æ m iː d æ ɾ z ɒː
خدماتی	x æ d æ m ɒː t iː
خلاق	x æ l ɒː ɢ
خندوانه	x æ n d æ v ɒː n e̞
داروسازی	d ɒː ɾ uː s ɒː z iː
دلبر	d æ l b æ ɾ
دوستانش	d uː s t ɒː n e̞ ʃ
رایان	ɾ ɒː j ɒː n
رسانده	ɾ e̞ s ɒː n d e̞
رقمی	ɾ æ ɢ m iː
روبروی	ɾ uː b e̞ ɾ æ v iː
رومن	ɾ uː m æ n
رویایی	ɾ uː j ɒː j iː
سرا	s o ɾ ɒː
سلطنتی	s æ l t æ n t iː
شلوغه	ʃ o l uː ɢ e̞
شکارچی	ʃ e̞ k ɒː ɾ t͡ʃ iː
صدق	s æ d æ ɢ
عاقل	ɒː ɢ e̞ l
فروغ	f o ɾ uː ɢ
فشارهای	f e̞ ʃ ɒː ɾ e̞ iː
فول	f uː l
مرگبار	m æ ɾ g o b ɒː ɾ
منازل	m æ n ɒː z e̞ l
مهد	m æ h æ d
نارنجی	n ɒː ɾ æ n d͡ʒ iː
نبايد	n æ b ɒː j æ d
نقاب	n æ ɢ ɒː b
هلن	h e̞ l æ n
هموار	h æ m v ɒː ɾ
واگن	v ɒː g æ n
وسوسه	v æ s uː s e̞
کوچکتر	k uː t͡ʃ æ k t æ ɾ
گرده	g æ ɾ d e̞
la	l a
آئین	ɒː ʔ iː n
آریا	ɒː ɾ j ɒː
آشتی	ɒː ʃ t iː
آوریل	ɒː v æ ɾ iː l
بالش	b ɒː l e̞ ʃ
بذاریم	b e̞ z ɒː ɾ iː m
برفی	b e̞ ɾ æ f iː
تبديل	t æ b d iː l
تد	t æ d
تربت	t æ ɾ b æ t
ترتيب	t æ ɾ t iː b
تضمینی	t æ z m iː n iː
تنفر	t æ n f æ ɾ
تونست	t uː n e̞ s t
جمجمه	d͡ʒ æ m d͡ʒ æ m e̞
حباب	h æ b ɒː b
خاصه	x ɒː s e̞
خرابی	x æ ɾ ɒː b iː
دقیقی	d æ ɢ iː ɢ iː
دنیاست	d æ n j ɒː s t
راسل	ɾ ɒː s e̞ l
راکت	ɾ ɒː k æ t
ریختن	ɾ iː x t æ n
زمزمه	z æ m z æ m e̞
سراوان	s o ɾ ɒː v ɒː n
سرچشمه	s æ ɾ t͡ʃ e̞ ʃ m e̞
سوختن	s uː x t æ n
سياست	s e̞ j ɒː s t
سیمین	s iː m iː n
شورشی	ʃ uː ɾ e̞ ʃ iː
ظروف	z o ɾ uː f
عبدی	æ b d iː
فریم	f æ ɾ iː m
قبوله	ɢ æ b uː l e̞
مادربزرگ	m ɒː d æ ɾ b e̞ z æ ɾ g
مامانت	m ɒː m ɒː n æ t
مبهم	m æ b æ h æ m
محضر	m æ h z æ ɾ
مديريت	m æ d iː ɾ iː t
مزبور	m æ z b uː ɾ
مصادره	m æ s ɒː d e̞ ɾ e̞
معانی	m æ ʔ ɒː n iː
ملاحظه	m æ l ɒː h e̞ z e̞
ملاک	m æ l ɒː k
مهمانی	m æ h m ɒː n iː
میومد	m iː v æ m æ d
هریک	h æ ɾ iː k
همو	h æ m uː
همونه	h æ m uː n e̞
وصیت	v æ s iː t
ویلیام	v iː l j ɒː m
پدیدار	p æ d iː d ɒː ɾ
پیج	p e̞ j d͡ʒ
پیشروی	p iː ʃ o ɾ æ v iː
کلبه	k æ l b e̞
کنگ	k æ n g
گان	g ɒː n
گستره	g o s t æ ɾ e̞
گنجینه	g o n d͡ʒ iː n e̞
گوه	g uː h
آسانی	ɒː s ɒː n iː
آمپول	ɒː m æ p uː l
امامان	æ m ɒː m ɒː n
بذارین	b e̞ z ɒː ɾ iː n
براون	b e̞ ɾ ɒː v æ n
بلوچ	b e̞ l uː t͡ʃ
بنیامین	b e̞ n æ j ɒː m iː n
بیعت	b iː ʔ æ t
تاوان	t ɒː v ɒː n
تخلف	t æ x l æ f
تدریجی	t æ d æ ɾ iː d͡ʒ iː
تسهیل	t æ s h iː l
تعویق	t æ ʔ v iː ɢ
توحید	t uː h iː d
جاست	d͡ʒ ɒː s t
جرایم	d͡ʒ o ɾ ɒː j æ m
جزوه	d͡ʒ o z uː h
جمعیتی	d͡ʒ æ m ʔ iː t iː
حاتمی	h ɒː t æ m iː
حمزه	h æ m z e̞
راد	ɾ ɒː d
راوی	ɾ ɒː v iː
سرشناس	s e̞ ɾ e̞ ʃ n ɒː s
سریالی	s o ɾ j ɒː l iː
سومی	s uː m iː
شوش	ʃ uː ʃ
شوهرم	ʃ uː h æ ɾ æ m
عدل	æ d æ l
غلامرضا	ɢ æ l ɒː m o ɾ z ɒː
فاحشه	f ɒː h e̞ ʃ e̞
فورا	f uː ɾ ɒː
مأموریت	m æ ʔ m uː ɾ iː t
ماهان	m ɒː h ɒː n
متال	m æ t ɒː l
مراسمی	m æ ɾ ɒː s æ m iː
مسیری	m æ s iː ɾ iː
ميشود	m iː ʃ æ v æ d
مکانیزم	m æ k ɒː n iː z æ m
میدونید	m iː d uː n iː d
میزنن	m iː z æ n æ n
نفرین	n æ f æ ɾ iː n
نهنگ	n e̞ h æ n g
نوبل	n uː b æ l
نوشتاری	n e̞ v e̞ ʃ t ɒː ɾ iː
نژادی	n æ ʒ ɒː d iː
نیامده	n æ j ɒː m æ d e̞
نیچه	n iː t͡ʃ e̞
هموطنان	h æ m uː t æ n ɒː n
واریز	v ɒː ɾ iː z
ویزا	v iː z ɒː
پائین	p ɒː ʔ iː n
پشتش	p o ʃ t e̞ ʃ
کاراته	k ɒː ɾ ɒː t e̞
کعبه	k e̞ ʔ b e̞
کلاب	k e̞ l ɒː b
کمونیست	k o m uː n iː s t
کناره	k e̞ n ɒː ɾ e̞
کیفی	k iː f iː
گاما	g ɒː m ɒː
گوناگونی	g uː n ɒː g uː n iː
گوینده	g uː j æ n d e̞
آریایی	ɒː ɾ j ɒː j iː
آزادسازی	ɒː z ɒː d e̞ s ɒː z iː
آمريکا	ɒː m o ɾ iː k ɒː
آهان	ɒː h ɒː n
آو	ɒː v
اردک	æ ɾ d æ k
امیدواریم	æ m iː d æ v ɒː ɾ iː m
بخره	b e̞ x æ ɾ e̞
برسن	b e̞ ɾ æ s æ n
برنارد	b æ ɾ n ɒː ɾ æ d
بهاری	b e̞ h ɒː ɾ iː
بوق	b uː ɢ
تألیف	t æ ʔ l iː f
تریلر	t æ ɾ iː l æ ɾ
تنبیه	t æ n b iː j e̞
تهی	t æ h iː
جلوش	d͡ʒ o l uː ʃ
حسام	h e̞ s ɒː m
حک	h e̞ k
خونش	x o n e̞ ʃ
درمانگاه	d æ ɾ m ɒː n g ɒː h
دهانه	d æ h ɒː n e̞
رئیسی	ɾ æ ʔ iː s iː
رسيده	ɾ æ s iː d e̞
روسای	ɾ uː s ɒː j
روشنفکران	ɾ uː ʃ e̞ n æ f k æ ɾ ɒː n
رویارویی	ɾ uː j ɒː ɾ uː j iː
ساختمون	s ɒː x t æ m uː n
سده	s o d e̞
سرنگونی	s æ ɾ n æ g uː n iː
سنگر	s æ n g æ ɾ
سکولار	s e̞ k uː l ɒː ɾ
شانسی	ʃ ɒː n s iː
صابون	s ɒː b uː n
عزيز	æ z iː z
عصبانیت	æ s b ɒː n iː t
عقلی	æ ɢ l iː
علایم	æ l ɒː j æ m
عیار	æ j ɒː ɾ
فانی	f ɒː n iː
فولادی	f uː l ɒː d iː
فکرشو	f e̞ k e̞ ɾ e̞ ʃ o
فیبر	f iː b æ ɾ
قراردادهای	ɢ æ ɾ ɒː ɾ d ɒː d e̞ iː
قرمزی	ɢ æ ɾ m æ z iː
لر	l æ ɾ
لویی	l uː j iː
مارا	m ɒː ɾ ɒː
محموله	m æ h m uː l e̞
مداد	m æ d ɒː d
معترض	m æ ʔ t o ɾ z
مقصود	m æ ɢ s uː d
مهندسان	m æ h æ n d e̞ s ɒː n
نانسی	n ɒː n s iː
نظرش	n æ z e̞ ɾ e̞ ʃ
هامو	h ɒː m uː
هاوارد	h ɒː v ɒː ɾ æ d
هراس	h æ ɾ ɒː s
وود	v uː d
پادگان	p ɒː d e̞ g ɒː n
پروازهای	p æ ɾ v ɒː z e̞ iː
پناهنده	p æ n ɒː h æ n d e̞
پیست	p iː s t
چان	t͡ʃ ɒː n
چنگال	t͡ʃ e̞ n g ɒː l
کاریه	k ɒː ɾ j e̞
کاریکاتور	k ɒː ɾ iː k ɒː t uː ɾ
کردنه	k æ ɾ d æ n e̞
گلن	g o l æ n
from	f ɾ o m
man	m a n
آبجو	ɒː b e̞ d͡ʒ uː
آخری	ɒː x æ ɾ iː
آموخته	ɒː m uː x t e̞
ارگان	æ ɾ g ɒː n
افسوس	ɒː f s uː s
انگل	æ n g æ l
اوردم	o ɾ d æ m
بلاک	b e̞ l ɒː k
بنیانگذار	b e̞ n æ j ɒː n g o z ɒː ɾ
بودین	b uː d iː n
جانم	d͡ʒ ɒː n æ m
جایگاهی	d͡ʒ ɒː j g ɒː h iː
جريان	d͡ʒ æ ɾ j ɒː n
خونتون	x o n t uː n
دال	d ɒː l
دربند	d æ ɾ b æ n d
درویش	d e̞ ɾ æ v iː ʃ
دعوای	d æ ʔ v ɒː j
دیجیتالی	d iː d͡ʒ iː t ɒː l iː
ذهاب	z æ h ɒː b
رکاب	ɾ e̞ k ɒː b
ریل	ɾ iː l
ریچارد	ɾ iː t͡ʃ ɒː ɾ æ d
زابل	z ɒː b e̞ l
زماني	z æ m ɒː n iː
ستار	s e̞ t ɒː ɾ
شعارهای	ʃ e̞ ʔ ɒː ɾ e̞ iː
ضمانت	z æ m ɒː n æ t
غش	ɢ o ʃ
غفلت	ɢ o f l æ t
فرضیه	f æ ɾ z iː j e̞
فرمت	f æ ɾ m æ t
فیض	f iː z
قرعه	ɢ æ ɾ ʔ e̞
مثنوی	m æ s n æ v iː
مجالس	m æ d͡ʒ ɒː l e̞ s
مدیا	m æ d j ɒː
مذاهب	m æ z ɒː h e̞ b
مسیرهای	m æ s iː ɾ e̞ iː
ناله	n ɒː l e̞
ناکام	n ɒː k ɒː m
نزول	n æ z uː l
نفی	n æ f iː
نوشیدن	n uː ʃ iː d æ n
هوشمندانه	h uː ʃ o m æ n d ɒː n e̞
وست	v æ s t
يافته	j ɒː f t e̞
پايه	p ɒː j e̞
پرتغال	p æ ɾ t æ ɢ ɒː l
کاتالوگ	k ɒː t ɒː l uː g
کارخونه	k ɒː ɾ x o n e̞
کافیست	k ɒː f iː s t
کان	k ɒː n
کدهای	k æ d e̞ iː
کوثر	k uː s æ ɾ
کیر	k iː ɾ
یك	j e̞ k
city	s iː t iː
آنکارا	ɒː n e̞ k ɒː ɾ ɒː
اشیا	æ ʃ j ɒː
بازرگان	b ɒː z ɾ e̞ g ɒː n
باسن	b ɒː s æ n
ببینن	b e̞ b iː n æ n
ببینین	b e̞ b iː n iː n
بحال	b e̞ h ɒː l
بزرگم	b e̞ z æ ɾ g æ m
بسازه	b e̞ s ɒː z e̞
بفرسته	b e̞ f e̞ ɾ e̞ s t e̞
بهرحال	b e̞ h æ ɾ h ɒː l
بيمه	b e̞ j m e̞
تابوت	t ɒː b uː t
تاثیری	t ɒː s iː ɾ iː
تحریف	t æ h ɾ iː f
ترغیب	t æ ɾ ɢ iː b
تعاونی	t æ ʔ ɒː v æ n iː
تنظیمات	t æ n z iː m ɒː t
حماسی	h æ m ɒː s iː
دارنده	d ɒː ɾ æ n d e̞
دانستن	d ɒː n e̞ s t æ n
دقيقه	d æ ɢ iː ɢ e̞
رأس	ɾ æ ʔ s
راهم	ɾ ɒː h æ m
رغم	ɾ æ ɢ æ m
سانحه	s ɒː n e̞ h e̞
ساوه	s ɒː v e̞
سره	s o ɾ e̞
سرکه	s æ ɾ k e̞
سویا	s uː j ɒː
شاهکار	ʃ ɒː h k ɒː ɾ
شریعت	ʃ o ɾ iː ʔ æ t
شعاع	ʃ e̞ ʔ ɒː ʔ
شیم	ʃ iː m
صلیبی	s æ l iː b iː
مارکوس	m ɒː ɾ k uː s
مسير	m æ s iː ɾ
مگس	m æ g o s
میتونین	m iː t uː n iː n
میدونن	m iː d uː n æ n
نامحدود	n ɒː m æ h d uː d
نخبگان	n æ x æ b e̞ g ɒː n
ندا	n æ d ɒː
نروژ	n æ ɾ uː ʒ
نفوذی	n æ f uː z iː
نمایشگر	n æ m ɒː j e̞ ʃ g æ ɾ
هارت	h ɒː ɾ æ t
هافبک	h ɒː f b e̞ k
وداع	v æ d ɒː ʔ
وردپرس	v æ ɾ d e̞ p o ɾ s
ورم	v æ ɾ æ m
وکالت	v e̞ k ɒː l æ t
پاهای	p ɒː h ɒː j
پت	p æ t
کارتر	k ɒː ɾ t æ ɾ
کاور	k ɒː v æ ɾ
کجاس	k e̞ d͡ʒ ɒː s
کنارت	k e̞ n ɒː ɾ æ t
گا	g ɒː
گذراندن	g o z æ ɾ ɒː n d æ n
گردنبند	g æ ɾ d æ n b æ n d
یون	j o n
آرایشی	ɒː ɾ ɒː j e̞ ʃ iː
آمريكا	ɒː m o ɾ iː k ɒː
آيد	ɒː j æ d
ابله	æ b l e̞
ازین	ɒː z iː n
بازده	b ɒː z d e̞
باغچه	b ɒː ɢ t͡ʃ e̞
بروجردی	b e̞ ɾ uː d͡ʒ æ ɾ d iː
بشار	b e̞ ʃ ɒː ɾ
تامی	t ɒː m iː
تایی	t ɒː j iː
تهيه	t æ h j e̞
تونستی	t uː n e̞ s t iː
حشرات	h e̞ ʃ o ɾ ɒː t
حقيقت	h æ ɢ iː ɢ æ t
حماس	h æ m ɒː s
خنجر	x æ n d͡ʒ æ ɾ
خو	x o
خوبي	x o b iː
درآمده	d æ ɾ ɒː m æ d e̞
ديدم	d iː d æ m
روزبه	ɾ uː z b e̞
رویت	ɾ æ v iː t
سالش	s ɒː l e̞ ʃ
سپید	s e̞ p iː d
شاهی	ʃ ɒː h iː
طي	t iː
عماد	æ m ɒː d
فرزانه	f æ ɾ z ɒː n e̞
فروغی	f o ɾ uː ɢ iː
قلاب	ɢ æ l ɒː b
كشته	k o ʃ t e̞
لیکن	l iː k o n
مادام	m ɒː d ɒː m
مای	m ɒː j
ملوان	m æ l æ v ɒː n
مکتوب	m æ k t uː b
نجوم	n æ d͡ʒ æ v æ m
نم	n æ m
هفده	h æ f d e̞
وایسا	v ɒː j e̞ s ɒː
وجودم	v æ d͡ʒ uː d æ m
وضعیتی	v æ z ʔ iː t iː
ولم	v æ l æ m
وگاس	v e̞ g ɒː s
پرست	p æ ɾ æ s t
پرفروش	p æ ɾ f o ɾ uː ʃ
پستان	p æ s t ɒː n
کروبی	k o ɾ uː b iː
کروز	k o ɾ uː z
کوسه	k uː s e̞
یادش	j ɒː d e̞ ʃ
not	n o t
post	p o s t
آثاری	ɒː s ɒː ɾ iː
آفتابی	ɒː f t ɒː b iː
آمل	ɒː m æ l
آمین	ɒː m iː n
اخير	æ x iː ɾ
ايراني	iː ɾ ɒː n iː
ايم	e̞ j æ m
ایستادن	iː s t ɒː d æ n
بازاری	b ɒː z ɒː ɾ iː
بخوابه	b e̞ x ɒː b e̞
برکنار	b æ ɾ k e̞ n ɒː ɾ
بودا	b uː d ɒː
بکر	b e̞ k æ ɾ
بگیرین	b e̞ g iː ɾ iː n
بیتی	b iː t iː
ترسو	t æ ɾ s uː
تصميم	t æ s m iː m
تندیس	t æ n d iː s
تیمش	t iː m e̞ ʃ
جیک	d͡ʒ iː k
حماقت	h æ m ɒː ɢ æ t
خشمگین	x o ʃ m æ g iː n
خلال	x æ l ɒː l
درآورده	d æ ɾ ɒː v æ ɾ d e̞
دردهای	d æ ɾ d e̞ iː
دیدمش	d iː d æ m e̞ ʃ
رفسنجان	ɾ æ f s æ n d͡ʒ ɒː n
رهنما	ɾ æ h n æ m ɒː
روحاني	ɾ uː h ɒː n iː
رومی	ɾ uː m iː
سالیانه	s ɒː l j ɒː n e̞
سهیل	s æ h iː l
شمرده	ʃ o m o ɾ d e̞
شیطانی	ʃ iː t ɒː n iː
شیعی	ʃ iː ʔ iː
فرزندی	f æ ɾ z æ n d iː
فرستنده	f e̞ ɾ e̞ s t æ n d e̞
فست	f æ s t
فود	f uː d
فکرم	f e̞ k æ ɾ æ m
قلبش	ɢ æ l b e̞ ʃ
كامل	k ɒː m e̞ l
لاو	l ɒː v
لبنانی	l æ b n ɒː n iː
مانور	m ɒː n æ v æ ɾ
محشر	m æ h e̞ ʃ o ɾ
محفل	m æ h f æ l
مشروط	m æ ʃ o ɾ uː t
معضل	m æ ʔ z æ l
مغلوب	m æ ɢ l uː b
مهدوی	m æ h d æ v iː
ناو	n ɒː v
نمادین	n æ m ɒː d iː n
ننگ	n æ n g
هرزه	h æ ɾ z e̞
هندسی	h æ n d æ s iː
واستون	v ɒː s t uː n
پاور	p ɒː v æ ɾ
پایش	p ɒː j e̞ ʃ
پچ	p æ t͡ʃ
چاقی	t͡ʃ ɒː ɢ iː
چهارتا	t͡ʃ æ h ɒː ɾ t ɒː
چهاردهم	t͡ʃ æ h ɒː ɾ d æ h æ m
چیو	t͡ʃ e̞ j o
کارآفرینی	k ɒː ɾ ɒː f æ ɾ iː n iː
گلاب	g o l ɒː b
گمرک	g o m æ ɾ k
یاهو	j ɒː h o
art	a ɾ t
آزادانه	ɒː z ɒː d ɒː n e̞
آستارا	ɒː s t ɒː ɾ ɒː
ادیب	æ d iː b
امانت	æ m ɒː n æ t
اینست	iː n e̞ s t
بازماندگان	b ɒː z m ɒː n d e̞ g ɒː n
بزرگش	b e̞ z æ ɾ g æ ʃ
بهایی	b e̞ h ɒː j iː
بیرجند	b iː j æ ɾ d͡ʒ æ n d
تأخیر	t æ ʔ x iː ɾ
تبر	t æ b æ ɾ
تسلیحات	t æ s l iː h ɒː t
تویوتا	t uː j o t ɒː
جاناتان	d͡ʒ ɒː n ɒː t ɒː n
جاوید	d͡ʒ ɒː v iː d
جایز	d͡ʒ ɒː j e̞ z
حشره	h e̞ ʃ o ɾ e̞
خادم	x ɒː d æ m
خاك	x ɒː k
خلع	x æ l ʔ
خوابیده	x ɒː b iː d e̞
خیز	x iː z
داود	d ɒː v æ d
دخترانه	d æ x t æ ɾ ɒː n e̞
دلی	d æ l iː
دهقان	d æ h ɢ ɒː n
دورانی	d uː ɾ ɒː n iː
دوستانم	d uː s t ɒː n æ m
دوستای	d uː s t ɒː j
دیجی	d iː d͡ʒ iː
روزي	ɾ uː z iː
روشنه	ɾ uː ʃ e̞ n e̞
زنانی	z æ n ɒː n iː
زندگانی	z æ n d e̞ g ɒː n iː
سبزه	s æ b z e̞
سرويس	s o ɾ v iː s
شامپو	ʃ ɒː m p uː
شرافت	ʃ o ɾ ɒː f t
شكست	ʃ e̞ k æ s t
شوکه	ʃ uː k e̞
طارمی	t ɒː ɾ æ m iː
عطا	æ t ɒː
غر	ɢ o ɾ
فدایی	f o d ɒː j iː
فرزندم	f æ ɾ z æ n d æ m
فقهی	f æ ɢ h iː
قرآنی	ɢ æ ɾ ɒː n iː
قطبی	ɢ æ t b iː
لم	l æ m
لوبیا	l uː b iː j ɒː
مدیترانه	m æ d iː t æ ɾ ɒː n e̞
مرتفع	m æ ɾ t æ f e̞ ʔ
مرخصی	m æ ɾ æ x s iː
مزارع	m æ z ɒː ɾ e̞ ʔ
مقاطع	m æ ɢ ɒː t e̞ ʔ
منسوب	m æ n s uː b
مهمات	m æ h m ɒː t
نفرات	n æ f æ ɾ ɒː t
نوزادان	n æ v æ z ɒː d ɒː n
نکنن	n æ k o n æ n
هرروز	h æ ɾ ɾ uː z
وادی	v ɒː d iː
واز	v ɒː z
واکر	v ɒː k e̞ ɾ
پاها	p ɒː h ɒː
پتاسیم	p æ t ɒː s iː m
پذیرایی	p æ z iː ɾ ɒː j iː
پلک	p e̞ l e̞ k
پیشانی	p iː ʃ ɒː n iː
چاله	t͡ʃ ɒː l e̞
کوزه	k uː z e̞
گوهر	g uː h æ ɾ
de	d eː
آراء	ɒː ɾ ɒː ʔ
آری	ɒː ɾ iː
آهنگسازی	ɒː h æ n g o s ɒː z iː
اشکان	æ ʃ k ɒː n
اینان	iː n ɒː n
باده	b ɒː d e̞
بازمانده	b ɒː z m ɒː n d e̞
بجا	b e̞ d͡ʒ ɒː
بمونن	b e̞ m uː n æ n
تداخل	t æ d ɒː x e̞ l
تراکتور	t æ ɾ ɒː k t uː ɾ
تصوير	t æ s v iː ɾ
تهمت	t æ h m æ t
تیغه	t iː ɢ e̞
جرأت	d͡ʒ æ ɾ ʔ æ t
جوانه	d͡ʒ æ v ɒː n e̞
جوشکاری	d͡ʒ uː ʃ k ɒː ɾ iː
جوکر	d͡ʒ uː k æ ɾ
خاتم	x ɒː t æ m
خاتون	x ɒː t uː n
خانی	x ɒː n iː
خوابت	x ɒː b æ t
خوابش	x ɒː b e̞ ʃ
دردی	d æ ɾ d iː
دلاور	d æ l ɒː v æ ɾ
دلتا	d æ l t ɒː
دهمین	d æ h m iː n
روشهای	ɾ uː ʃ e̞ iː
زيبا	z iː b ɒː
سادات	s ɒː d ɒː t
سرزمینی	s æ ɾ z æ m iː n iː
سروده	s o ɾ uː d e̞
سریعا	s o ɾ iː ʔ ɒː
سمینار	s æ m iː n ɒː ɾ
شاپ	ʃ ɒː p
صومعه	s uː m e̞ ʔ e̞
غرفه	ɢ o ɾ f e̞
فراهانی	f æ ɾ ɒː h ɒː n iː
قلی	ɢ æ l iː
قمار	ɢ æ m ɒː ɾ
مابقی	m ɒː b e̞ ɢ iː
مبادا	m æ b ɒː d ɒː
محال	m æ h ɒː l
مصمم	m æ s m æ m
منهتن	m æ n e̞ h t æ n
میذارم	m iː z ɒː ɾ æ m
میهمان	m iː h æ m ɒː n
نامزدهای	n ɒː m æ z d e̞ iː
ناگزیر	n ɒː g o z iː ɾ
نتايج	n æ t ɒː j æ d͡ʒ
نجیب	n æ d͡ʒ iː b
نمانده	n æ m ɒː n d e̞
نماينده	n æ m ɒː j æ n d e̞
نواب	n æ v ɒː b
همونی	h æ m uː n iː
ویروسی	v iː ɾ uː s iː
يافت	j ɒː f t
پرنسس	p æ ɾ n æ s æ s
پنهانی	p e̞ n æ h ɒː n iː
پوینت	p uː j æ n t
پژوهشگاه	p æ ʒ uː h e̞ ʃ g ɒː h
چهارراه	t͡ʃ æ h ɒː ɾ ɾ ɒː h
کماکان	k o m ɒː k ɒː n
کود	k uː d
گریس	g e̞ ɾ iː s
گیره	g iː ɾ e̞
یادته	j ɒː d t e̞
یاسوج	j ɒː s uː d͡ʒ
یونایتد	j o n ɒː j æ t æ d
یکصد	j e̞ k s æ d
online	ɔ n l iː n
آهنگساز	ɒː h æ n g o s ɒː z
آهو	ɒː h o
ارزون	æ ɾ z uː n
انساني	ɒː n s ɒː n iː
اوردن	o ɾ d æ n
اورده	o ɾ d e̞
اونجاست	o n d͡ʒ ɒː s t
ایذه	iː z e̞
باج	b ɒː d͡ʒ
باراک	b ɒː ɾ ɒː k
بتا	b e̞ t ɒː
برادرزاده	b æ ɾ ɒː d æ ɾ z ɒː d e̞
برسون	b e̞ ɾ e̞ s uː n
بسیجی	b e̞ s iː d͡ʒ iː
بش	b e̞ ʃ
بهر	b e̞ h æ ɾ
تحقيق	t æ h ɢ iː ɢ
تزئینی	t æ z ʔ iː n iː
تنبل	t æ n b æ l
توشه	t uː ʃ e̞
توکیو	t uː k j o
جگر	d͡ʒ e̞ g æ ɾ
حلی	h æ l iː
خیمه	x iː m e̞
داستانش	d ɒː s t ɒː n e̞ ʃ
دلیلش	d æ l iː l e̞ ʃ
روشنايي	ɾ uː ʃ e̞ n ɒː j iː
زمانیکه	z æ m ɒː n iː k e̞
زنگنه	z æ n g æ n e̞
سازش	s ɒː z e̞ ʃ
سالمندان	s ɒː l m æ n d ɒː n
سکوی	s e̞ k uː j
شعبان	ʃ e̞ ʔ b ɒː n
طعمه	t æ ʔ m e̞
علاقمند	æ l ɒː ɢ æ m æ n d
عمد	æ m æ d
غربت	ɢ o ɾ b æ t
فرخ	f æ ɾ x
فروهر	f o ɾ uː h æ ɾ
قبله	ɢ æ b l e̞
قهر	ɢ æ h ɾ
لابد	l ɒː b æ d
لانه	l ɒː n e̞
لباسی	l æ b ɒː s iː
لوگوی	l uː g uː j
لپتاپ	l æ p t ɒː p
مجاری	m æ d͡ʒ ɒː ɾ iː
محمودی	m æ h m uː d iː
مرموز	m æ ɾ m uː z
معنیش	m æ ʔ n iː ʃ
مهندسین	m æ h æ n d æ s iː n
موم	m uː m
نخود	n æ x o d
نشم	n æ ʃ æ m
نمیتونن	n e̞ m iː t uː n æ n
نمیره	n e̞ m iː ɾ e̞
نورانی	n æ v æ ɾ ɒː n iː
وارث	v ɒː ɾ e̞ s
