the	t eː
plussers	p l ʏ s ə r s
quentin	k ʋ ɛ n t ɪ n
radicalen	r aː d i k aː l ə
rating	r aː t ɪ ŋ
renaissance	r eː n ɛ s ɑ n s ə
restanten	r ɛ s t ɑ n t ə
reuzen	r øː z ə
risk	r ɪ s k
rodrigo	r oː d r i ɣ oː
rondhangen	r ɔ n t ɦ ɑ ŋ ə
ruimten	r œ y̯ m t ə
sammy	s ɑ m i
satellieten	s aː t ə l i t ə
schappen	s x ɑ p ə
sergej	s ɛ r ɣ ɛ i̯
startten	s t ɑ r t ə
stijlvol	s t ɛ i̯ l v ɔ l
stuitte	s t œ y̯ t ə
sugar	s y ɣ ɑ r
sullivan	s ʏ l i v ɑ n
sunset	s ʏ n s ɛ t
tegenhanger	t eː ɣ ə n ɦ ɑ ŋ ə r
telenet	t eː l ə n ɛ t
terugdringen	t ə r ʏ x d r ɪ ŋ ə
thais	t ɑ i̯ s
three	t r eː
toegewijde	t u ɣ ə ʋ ɛ i̯ d ə
toernooien	t u r n oː i̯ ə
toto	t oː t oː
uitgelaten	œ y̯ t x ə l aː t ə
vandalen	v ɑ n d aː l ə
ve	v eː
veiligste	v ɛ i̯ l ə x s t ə
verontschuldigingen	v ə r ɔ n t s x ʏ l d ə ɣ ɪ ŋ ə
version	v ɛ r ʒ ɔ n
versta	v ə r s t aː
vliegvelden	v l i x v ɛ l d ə
volslagen	v ɔ l s l aː ɣ ə
wateroverlast	ʋ aː t ə r oː v ə r l ɑ s t
woeste	ʋ u s t ə
wormen	ʋ ɔ r m ə
yahoo	j aː ɦ oː
yuan	j y ɑ n
zwijgt	z ʋ ɛ i̯ x t
abbott	ɑ b ɔ t
achtereenvolgende	ɑ x t ə r eː n v ɔ l ɣ ə n d ə
anja	ɑ n j aː
bag	b ɑ x
barbaren	b ɑ r b aː r ə
behoudt	b ə ɦ ɑ u̯ t
bepalend	b ə p aː l ə n t
boekjes	b u k j ə s
brady	b r aː d i
breidt	b r ɛ i̯ t
cambuur	k ɑ m b yː r
cas	k ɑ s
coupe	k u p ə
davy	d aː v i
dieter	d i t ə r
dimitri	d i m i t r i
doug	d u x
eerlijker	eː r l ə k ə r
eindresultaat	ɛ i̯ n d r eː z ʏ l t aː t
ev	eː v eː
fabio	f aː b i oː
facturen	f ɑ k t yː r ə
fall	f ɑ l
fund	f ʏ n t
gecheckt	ɣ ə x ɛ k t
geklaagd	ɣ ə k l aː x t
gesuggereerd	ɣ ə s ʏ ɣ ə r eː r t
getwijfeld	ɣ ə t ʋ ɛ i̯ f ə l t
gm	ɣ eː ɛ m
gymnasium	ɣ ɪ m n aː z i ʏ m
heersers	ɦ eː r s ə r s
honor	ɦ oː n ɔ r
hoopten	ɦ oː p t ə
hoven	ɦ oː v ə
ietsje	i t ʃ ə
irina	i r i n aː
jongetjes	j ɔ ŋ ə t j ə s
jurisdictie	j yː r ɪ s d ɪ k s i
koersen	k u r s ə
koloniën	k oː l oː n i ə
lands	l ɑ n t s
makelaars	m aː k ə l aː r s
mandy	m ɑ n d i
maritieme	m aː r i s i m ə
mira	m i r aː
mondelinge	m ɔ n d ə l ɪ ŋ ə
morales	m oː r aː l ɛ s
nacompetitie	n aː k ɔ m p eː t i s i
nils	n ɪ l s
norte	n ɔ r t ə
og	ɔ x
onbekenden	ɔ n b ə k ɛ n d ə
onderzijde	ɔ n d ə r z ɛ i̯ d ə
ontdekkingen	ɔ n t d ɛ k ɪ ŋ ə
onveilige	ɔ n v ɛ i̯ l ə ɣ ə
openingstijden	oː p ə n ɪ ŋ s t ɛ i̯ d ə
opgezegd	ɔ p x ə z ɛ x t
oplichter	ɔ p l ɪ x t ə r
opmerken	ɔ p m ɛ r k ə
opstanden	ɔ p s t ɑ n d ə
overhand	oː v ə r ɦ ɑ n t
overspoeld	oː v ə r s p u l t
overvolle	oː v ə r v ɔ l ə
passieve	p ɑ s i v ə
pegida	p eː ɣ i d aː
plantages	p l ɑ n t aː ʒ ə s
prijsuitreiking	p r ɛ i̯ s œ y̯ t r ɛ i̯ k ɪ ŋ
provence	p r oː v ɛ n s
pup	p ʏ p
ri	r i
schildert	s x ɪ l d ə r t
secties	s ɛ k s i s
spots	s p ɔ t s
streden	s t r eː d ə
synthetische	s ɪ n t eː t i s ə
tamara	t aː m aː r aː
terugdraaien	t ə r ʏ x d r aː i̯ ə
terugtrekking	t ə r ʏ x t r ɛ k ɪ ŋ
tito	t i t oː
toegebracht	t u ɣ ə b r ɑ x t
toespraken	t u s p r aː k ə
trajecten	t r aː j ɛ k t ə
trillingen	t r ɪ l ɪ ŋ ə
tweette	t ʋ eː t ə
utah	y t aː
vaccinaties	v ɑ k s i n aː s i s
vergelding	v ə r ɣ ɛ l d ɪ ŋ
verhaaltjes	v ə r ɦ aː l t j ə s
verkoudheid	v ə r k ɑ u̯ t ɦ ɛ i̯ t
verlamd	v ə r l ɑ m t
vertegenwoordigde	v ə r t eː ɣ ə n ʋ oː r d ə x d ə
verzorgende	v ə r z ɔ r ɣ ə n d ə
volkspartij	v ɔ l k s p ɑ r t ɛ i̯
werner	ʋ ɛ r n ə r
werving	ʋ ɛ r v ɪ ŋ
wouden	ʋ ɑ u̯ d ə
accommodaties	ɑ k ɔ m oː d aː s i s
ala	aː l aː
astronauten	ɑ s t r oː n ɑ u̯ t ə
balkenende	b ɑ l k ə n ɛ n d ə
bekers	b eː k ə r s
beschavingen	b ə s x aː v ɪ ŋ ə
betoogt	b ə t oː x t
bewegingsvrijheid	b ə ʋ eː ɣ ɪ ŋ s f r ɛ i̯ ɦ ɛ i̯ t
bijzonderheden	b ɛ i̯ z ɔ n d ə r ɦ eː d ə
blanc	b l ɑ ŋ k
blokjes	b l ɔ k j ə s
bluetooth	b l y t oː t
boo	b oː
brendan	b r ɛ n d ɑ n
buffalo	b ʏ f aː l oː
buitenaardse	b œ y̯ t ə n aː r t s ə
capitol	k aː p i t ɔ l
creëerde	k r eː eː r d ə
dagboeken	d ɑ x b u k ə
dk	d eː k aː
doorbroken	d oː r b r oː k ə
dorothy	d oː r oː t i
early	eː r l i
fraser	f r aː z ə r
fuller	f ʏ l ə r
gare	ɣ aː r ə
getinte	ɣ ə t ɪ n t ə
geverfd	ɣ ə v ɛ r f t
gezochte	ɣ ə z ɔ x t ə
gooiden	ɣ oː i̯ d ə
grootheid	ɣ r oː t ɦ ɛ i̯ t
gs	ɣ eː ɛ s
handelsblad	ɦ ɑ n d ə l s b l ɑ t
heat	ɦ eː t
helpdesk	ɦ ɛ l p d ɛ s k
herkenbare	ɦ ɛ r k ə b aː r ə
hiertegen	ɦ iː r t eː ɣ ə
history	ɦ ɪ s t oː r i
hoofdrolspelers	ɦ oː f t r ɔ l s p eː l ə r s
huisstijl	ɦ œ y̯ s t ɛ i̯ l
informeert	ɪ n f ɔ r m eː r t
isbn	ɪ s b eː ɛ n
jung	j ʏ ŋ
katrina	k aː t r i n aː
knapper	k n ɑ p ə r
kunstmatig	k ʏ n s t m aː t ə x
larsen	l ɑ r s ə
legal	l eː ɣ ɑ l
lekke	l ɛ k ə
levels	l eː v ə l s
licenties	l i s ɛ n s i s
lille	l ɪ l ə
lokt	l ɔ k t
mcdonalds	m ə k d oː n ɑ l t s
mexicanen	m ɛ k s i k aː n ə
moordzaak	m oː r t s aː k
mystery	m ɪ s t ə r i
nachtdienst	n ɑ x d i n s t
neergeslagen	n eː r ɣ ə s l aː ɣ ə
nijmeegse	n ɛ i̯ m eː x s ə
nuchtere	n ʏ x t ə r ə
october	ɔ k t oː b ə r
omgetoverd	ɔ m ɣ ə t oː v ə r t
onthulde	ɔ n t ɦ ʏ l d ə
opleverde	ɔ p l eː v ə r d ə
opsluiting	ɔ p s l œ y̯ t ɪ ŋ
orale	oː r aː l ə
pakweg	p ɑ k ʋ ɛ x
parasieten	p aː r aː z i t ə
pax	p ɑ k s
playboy	p l eː b ɔ i̯
plichten	p l ɪ x t ə
poe	p u
powell	p oː ʋ ɛ l
profeten	p r oː f eː t ə
puma	p y m aː
rationele	r aː t ʃ oː n eː l ə
shane	ʃ aː n ə
sherman	ʃ ɛ r m ɑ n
slik	s l ɪ k
sns	ɛ s ɛ n ɛ s
soortgelijk	s oː r t x ə l ə k
stapten	s t ɑ p t ə
talentvolle	t aː l ɛ n t f ɔ l ə
terechtkwam	t ə r ɛ x t k ʋ ɑ m
theresa	t eː r eː z aː
touwtjes	t ɑ u̯ t j ə s
ty	t i
uitgangspunten	œ y̯ t x ɑ ŋ s p ʏ n t ə
vegetariërs	v eː ɣ ə t aː r i ə r s
vergemakkelijken	v ə r ɣ ə m ɑ k ə l ə k ə
vergiftigd	v ə r ɣ ɪ f t ə x t
verhelpen	v ə r ɦ ɛ l p ə
verheugd	v ə r ɦ øː x t
visitekaartje	v i z i t ə k aː r t j ə
vrijmaken	v r ɛ i̯ m aː k ə
working	ʋ ɔ r k ɪ ŋ
works	ʋ ɔ r k s
zeelandse	z eː l ɑ n t s ə
zomerspelen	z oː m ə r s p eː l ə
zu	z y
accepteerde	ɑ k s ɛ p t eː r d ə
afc	ɑ f s eː
afgedaan	ɑ f x ə d aː n
aqua	aː k ʋ aː
aziz	aː z ɪ z
behaalt	b ə ɦ aː l t
beleidsmakers	b ə l ɛ i̯ t s m aː k ə r s
bestuursvoorzitter	b ə s t yː r s f oː r z ɪ t ə r
bewegende	b ə ʋ eː ɣ ə n d ə
binnenzijde	b ɪ n ə n z ɛ i̯ d ə
bosbranden	b ɔ s b r ɑ n d ə
bovengenoemde	b oː v ə n ɣ ə n u m d ə
burke	b ʏ r k ə
buurtbewoners	b yː r t b ə ʋ oː n ə r s
bw	b eː ʋ eː
cop	k ɔ p
cp	s eː p eː
custom	k ʏ s t ɔ m
denver	d ɛ n v ə r
devon	d eː v ɔ n
dierbaren	d iː r b aː r ə
dierlijke	d iː r l ə k ə
dolly	d ɔ l i
downloads	d ɑ u̯ n l oː t s
dreams	d r iː m s
duikers	d œ y̯ k ə r s
eenzijdige	eː n z ɛ i̯ d ə ɣ ə
efficiënte	ɛ f i ʃ ɛ n t ə
eigentijdse	ɛ i̯ ɣ ə n t ɛ i̯ t s ə
eisten	ɛ i̯ s t ə
eli	eː l i
elsa	ɛ l s aː
evenwichtige	eː v ə n ʋ ɪ x t ə ɣ ə
freek	f r eː k
functionarissen	f ʏ ŋ k ʃ oː n aː r ɪ s ə
gerapporteerd	ɣ ə r ɑ p ɔ r t eː r t
gesneuveld	ɣ ə s n øː v ə l t
gino	ɣ i n oː
goeden	ɣ u d ə
gran	ɣ r ɑ n
hebbende	ɦ ɛ b ə n d ə
heidi	ɦ ɛ i̯ d i
hiernaar	ɦ iː r n aː r
hitlijsten	ɦ ɪ t l ɛ i̯ s t ə
ijskoude	ɛ i̯ s k ɑ u̯ d ə
insteek	ɪ n s t eː k
instituten	ɪ n s t i t y t ə
jihad	j i ɦ ɑ t
jump	j ʏ m p
keniaanse	k eː n i aː n s ə
kenner	k ɛ n ə r
kerncentrales	k ɛ r n s ɛ n t r aː l ɛ s
kernwapens	k ɛ r n ʋ aː p ə n s
kilogram	k i l oː ɣ r ɑ m
kroop	k r oː p
leave	l iː v ə
leventje	l eː v ə n t j ə
libanese	l i b aː n eː z ə
léon	l eː ɔ n
medici	m eː d i s i
mischien	m ɪ s x i n
mondeling	m ɔ n d ə l ɪ ŋ
monroe	m ɔ n r u
montgomery	m ɔ n t x oː m ə r i
muhammad	m y ɦ ɑ m ɑ t
nageleefd	n aː ɣ ə l eː f t
nakomelingen	n aː k oː m ə l ɪ ŋ ə
odin	oː d ɪ n
omschreef	ɔ m s x r eː f
paradise	p aː r aː d iː z ə
person	p ɛ r s ɔ n
plastische	p l ɑ s t i s ə
rade	r aː d ə
raf	r ɑ f
rapporteert	r ɑ p ɔ r t eː r t
reagan	r eː aː ɣ ɑ n
rechthoekige	r ɛ x t ɦ u k ə ɣ ə
republic	r eː p y b l ɪ k
retweet	r ɛ t ʋ eː t
saddam	s ɑ d ɑ m
scarlett	s k ɑ r l ɛ t
sl	ɛ s ɛ l
snake	s n aː k ə
snapte	s n ɑ p t ə
statuten	s t aː t y t ə
steigers	s t ɛ i̯ ɣ ə r s
stippen	s t ɪ p ə
tablets	t aː b l ɛ t s
taco	t aː k oː
technici	t ɛ x n i s i
tegenkwam	t eː ɣ ə k ʋ ɑ m
toegediend	t u ɣ ə d i n t
toekomt	t u k ɔ m t
twerken	t ʋ ɛ r k ə
uitgedaagd	œ y̯ t x ə d aː x t
verbaasde	v ə r b aː s d ə
verhagen	v ə r ɦ aː ɣ ə
verklaarden	v ə r k l aː r d ə
verstoort	v ə r s t oː r t
verstopte	v ə r s t ɔ p t ə
verveelt	v ə r v eː l t
verwarmen	v ə r ʋ ɑ r m ə
verwonderlijk	v ə r ʋ ɔ n d ə r l ə k
vloeren	v l u r ə
voortgekomen	v oː r t x ə k oː m ə
wine	ʋ i n ə
zelfstandigen	z ɛ l f s t ɑ n d ə ɣ ə
zijlstra	z ɛ i̯ l s t r aː
afgekort	ɑ f x ə k ɔ r t
afgeschreven	ɑ f x ə s x r eː v ə
annemarie	ɑ n ə m aː r i
begeleidt	b ə ɣ ə l ɛ i̯ t
bekroonde	b ə k r oː n d ə
belanghebbenden	b ə l ɑ ŋ ɦ ɛ b ə n d ə
beschrijf	b ə s x r ɛ i̯ f
bestudeert	b ə s t y d eː r t
bevordert	b ə v ɔ r d ə r t
bie	b i
brasil	b r aː z ɪ l
brooke	b r oː k ə
cal	k ɑ l
carr	k ɑ r
claus	k l ɑ u̯ s
conventionele	k ɔ n v ɛ n ʃ oː n eː l ə
dalton	d ɑ l t ɔ n
dt	d eː t eː
duty	d y t i
fronten	f r ɔ n t ə
frost	f r ɔ s t
functionaris	f ʏ ŋ k ʃ oː n aː r ɪ s
gebreken	ɣ ə b r eː k ə
generale	ɣ eː n ə r aː l ə
gevreesd	ɣ ə v r eː s t
gewaardeerde	ɣ ə ʋ aː r d eː r d ə
gewist	ɣ ə ʋ ɪ s t
haarzelf	ɦ aː r z ɛ l f
hair	ɦ ɛː r
hemels	ɦ eː m ə l s
hernieuwde	ɦ ɛ r n i u̯ d ə
ingegeven	ɪ n ɣ ə ɣ eː v ə
ingeleverd	ɪ n ɣ ə l eː v ə r t
inschatten	ɪ n s x ɑ t ə
intrede	ɪ n t r eː d ə
jenkins	j ɛ ŋ k ɪ n s
keller	k ɛ l ə r
kitchen	k ɪ t ʃ ə
knaagdieren	k n aː x d iː r ə
komische	k oː m i s ə
langskomt	l ɑ ŋ s k ɔ m t
leefstijl	l eː f s t ɛ i̯ l
lenin	l eː n ɪ n
lintje	l ɪ n t j ə
louisiana	l u i̯ z i aː n aː
lullig	l ʏ l ə x
mall	m ɑ l
marko	m ɑ r k oː
maxim	m ɑ k s ɪ m
maxima	m ɑ k s i m aː
melvin	m ɛ l v ɪ n
mendoza	m ɛ n d oː z aː
merknaam	m ɛ r k n aː m
mondkapjes	m ɔ n t k ɑ p j ə s
mvv	ɛ m v eː v eː
mysterieus	m ɪ s t ə r i øː s
nec	n ɛ k
oceanen	oː s eː aː n ə
omgegaan	ɔ m ɣ ə ɣ aː n
ondersteboven	ɔ n d ə r s t ə b oː v ə
ondiep	ɔ n d i p
ontwerpt	ɔ n t ʋ ɛ r p t
opduiken	ɔ p d œ y̯ k ə
overmorgen	oː v ə r m ɔ r ɣ ə
overzeese	oː v ə r z eː z ə
parijse	p aː r ɛ i̯ s ə
pg	p eː ɣ eː
photography	f oː t oː ɣ r aː f i
potjes	p ɔ t j ə s
praatten	p r aː t ə
preston	p r ɛ s t ɔ n
quo	k ʋ oː
rappers	r ɑ p ə r s
rb	ɛ r b eː
rechtsgeleerde	r ɛ x t s x ə l eː r d ə
redder	r ɛ d ə r
riskeert	r ɪ s k eː r t
rkc	ɛ r k aː s eː
rv	ɛ r v eː
sar	s ɑ r
satirische	s aː t iː r i s ə
schalen	s x aː l ə
serra	s ɛ r aː
seth	s ɛ t
shadow	ʃ aː d oː
sponsoring	s p ɔ n s oː r ɪ ŋ
standbeelden	s t ɑ n t b eː l d ə
teamleider	t iː m l ɛ i̯ d ə r
tegenslagen	t eː ɣ ə n s l aː ɣ ə
tekorten	t ə k ɔ r t ə
terugval	t ə r ʏ x f ɑ l
timothy	t i m oː t i
towers	t oː ʋ ə r s
transparante	t r ɑ n s p aː r ɑ n t ə
uitgewisseld	œ y̯ t x ə ʋ ɪ s ə l t
unicef	y n i s ɛ f
vensters	v ɛ n s t ə r s
verantwoorde	v ə r ɑ n t ʋ oː r d ə
verdraaid	v ə r d r aː i̯ t
vergaat	v ə r ɣ aː t
veronderstelde	v ə r ɔ n d ə r s t ɛ l d ə
verpleeghuizen	v ə r p l eː x ɦ œ y̯ z ə
verraste	v ə r ɑ s t ə
verspreide	v ə r s p r ɛ i̯ d ə
voetjes	v u t j ə s
vordert	v ɔ r d ə r t
vredesnaam	v r eː d ə s n aː m
weergeeft	ʋ eː r ɣ eː f t
winkeltje	ʋ ɪ ŋ k ə l t j ə
winterstop	ʋ ɪ n t ə r s t ɔ p
abonnementen	aː b ɔ n ə m ɛ n t ə
adult	aː d ʏ l t
adventures	ɑ t f ɛ n t yː r ɛ s
afhangt	ɑ f ɦ ɑ ŋ t
afneemt	ɑ f n eː m t
ahmadi	aː m aː d i
ahoy	aː ɦ ɔ i̯
andersen	ɑ n d ə r s ə
animals	aː n i m ɑ l s
bedenkingen	b ə d ɛ ŋ k ɪ ŋ ə
behoorden	b ə ɦ oː r d ə
benadrukte	b ə n aː d r ʏ k t ə
bestuursleden	b ə s t yː r s l eː d ə
bevolkingsgroep	b ə v ɔ l k ɪ ŋ s x r u p
bijgesteld	b ɛ i̯ ɣ ə s t ɛ l t
birds	b ɪ r t s
blu	b l y
boyle	b ɔ i̯ l ə
britt	b r ɪ t
broken	b r oː k ə
buitengesloten	b œ y̯ t ə n ɣ ə s l oː t ə
burns	b ʏ r n s
burton	b ʏ r t ɔ n
carte	k ɑ r t ə
celtic	s ɛ l t ɪ k
che	ʃ ə
cisco	s ɪ s k oː
ciudad	s i y d ɑ t
did	d ɪ t
doorgaande	d oː r ɣ aː n d ə
duwde	d y u̯ d ə
eigenbelang	ɛ i̯ ɣ ə b ə l ɑ ŋ
eindpunt	ɛ i̯ n t p ʏ n t
eisers	ɛ i̯ s ə r s
elly	ɛ l i
feng	f ɛ ŋ
french	f r ɛ n ʃ
gecondoleerd	ɣ ə k ɔ n d oː l eː r t
gefabriceerd	ɣ ə f aː b r i s eː r t
gegund	ɣ ə ɣ ʏ n t
gelost	ɣ ə l ɔ s t
geveild	ɣ ə v ɛ i̯ l t
geïnfecteerd	ɣ ə ɪ n f ɛ k t eː r t
governance	ɣ oː v ə r n ɑ n s ə
grepen	ɣ r eː p ə
grid	ɣ r ɪ t
griffin	ɣ r ɪ f ɪ n
groothandel	ɣ r oː t ɦ ɑ n d ə l
grootst	ɣ r oː t s t
guide	ɣ œ y̯ d ə
gulle	ɣ ʏ l ə
haartjes	ɦ aː r t j ə s
hansen	ɦ ɑ n s ə
havermout	ɦ aː v ə r m ɑ u̯ t
interpol	ɪ n t ə r p ɔ l
investeerder	ɪ n v ɛ s t eː r d ə r
jolie	j oː l i
kobe	k oː b ə
kolonisten	k oː l oː n ɪ s t ə
kosmische	k ɔ s m i s ə
lachende	l ɑ x ə n d ə
lana	l aː n aː
liberalisme	l i b ə r aː l ɪ s m ə
locale	l oː k aː l ə
macbook	m ɑ k b oː k
marley	m ɑ r l ɛ i̯
matchen	m ɑ t ʃ ə
molly	m ɔ l i
nana	n aː n aː
nemo	n eː m oː
nieto	n i t oː
nuon	n y ɔ n
onnozele	ɔ n oː z ə l ə
ontkend	ɔ n t k ɛ n t
ontwikkelingshulp	ɔ n t ʋ ɪ k ə l ɪ ŋ s ɦ ʏ l p
onvermijdelijke	ɔ n v ə r m ɛ i̯ d ə l ə k ə
overdrijf	oː v ə r d r ɛ i̯ f
overleefden	oː v ə r l eː f d ə
overlopen	oː v ə r l oː p ə
paradiso	p aː r aː d i z oː
partnerschap	p ɑ r t n ə r s x ɑ p
pedofielen	p eː d oː f i l ə
pepper	p ɛ p ə r
peterson	p eː t ə r s ɔ n
peuters	p øː t ə r s
pie	p i
popular	p oː p y l ɑ r
pornofilms	p ɔ r n oː f ɪ l m s
profetie	p r oː f eː s i
protocollen	p r oː t oː k ɔ l ə
proximus	p r ɔ k s i m ʏ s
racisten	r aː s ɪ s t ə
ravijn	r aː v ɛ i̯ n
rechtdoor	r ɛ x d oː r
reg	r ɛ x
regeerde	r ə ɣ eː r d ə
reset	r eː z ɛ t
rivera	r i v eː r aː
rivers	r i v ə r s
río	r i oː
schijnwerpers	s x ɛ i̯ n ʋ ɛ r p ə r s
schoolmeisje	s x oː l m ɛ i̯ ʃ ə
schroeven	s x r u v ə
shield	ʃ i l t
shine	ʃ i n ə
shots	ʃ ɔ t s
simulatie	s i m y l aː s i
sing	s ɪ ŋ
speeldag	s p eː l d ɑ x
sporting	s p ɔ r t ɪ ŋ
spotje	s p ɔ t j ə
springfield	s p r ɪ ŋ f i l t
spulletjes	s p ʏ l ə t j ə s
stromend	s t r oː m ə n t
tai	t ɑ i̯
tekortkomingen	t ə k ɔ r t k oː m ɪ ŋ ə
telstar	t ɛ l s t ɑ r
tendens	t ɛ n d ə n s
thing	t ɪ ŋ
toegeeft	t u ɣ eː f t
toppen	t ɔ p ə
touwen	t ɑ u̯ ə
traceren	t r aː s eː r ə
uitgelekt	œ y̯ t x ə l ɛ k t
uitgewezen	œ y̯ t x ə ʋ eː z ə
uitzendbureau	œ y̯ t z ɛ n t b y r oː
velgen	v ɛ l ɣ ə
vergoeden	v ə r ɣ u d ə
vermomd	v ə r m ɔ m t
vernederen	v ə r n eː d ə r ə
vertalers	v ə r t aː l ə r s
verwanten	v ə r ʋ ɑ n t ə
verzwijgen	v ə r z ʋ ɛ i̯ ɣ ə
visies	v i z i s
volwaardig	v ɔ l ʋ aː r d ə x
voorbestemd	v oː r b ə s t ɛ m t
vrijdagochtend	v r ɛ i̯ d ɑ x ɔ x t ə n t
werklozen	ʋ ɛ r k l oː z ə
wes	ʋ ɛ s
would	ʋ ɑ u̯ l t
abou	aː b u
adele	aː d ə l ə
arresteert	ɑ r ə s t eː r t
auf	ɑ u̯ f
bebouwde	b ə b ɑ u̯ d ə
beheerde	b ə ɦ eː r d ə
benaderde	b ə n aː d ə r d ə
bidt	b ɪ t
bloemetjes	b l u m ə t j ə s
boko	b oː k oː
bombay	b ɔ m b eː
bouwers	b ɑ u̯ ə r s
brandend	b r ɑ n d ə n t
bring	b r ɪ ŋ
calorieën	k aː l oː r i ə
canadian	k aː n aː d i ɑ n
cherry	ʃ ɛ r i
clarence	k l aː r ɛ n s
compacte	k ɔ m p ɑ k t ə
compassie	k ɔ m p ɑ s i
copy	k oː p i
cove	k oː v ə
cristiano	k r ɪ s t i aː n oː
daniels	d aː n i l s
debbie	d ɛ b i
delicate	d eː l i k aː t ə
done	d oː n ə
dranken	d r ɑ ŋ k ə
elftallen	ɛ l f t ɑ l ə
emmy	ɛ m i
enkels	ɛ ŋ k ə l s
epic	eː p ɪ k
explosies	ɛ k s p l oː z i s
farmaceutische	f ɑ r m aː s øː t i s ə
firewall	f iː r ə ʋ ɑ l
francesco	f r ɑ n s ɛ s k oː
gekapt	ɣ ə k ɑ p t
gekweekt	ɣ ə k ʋ eː k t
georiënteerd	ɣ ə oː r i ɛ n t eː r t
gepromoveerd	ɣ ə p r oː m oː v eː r t
geregisseerd	ɣ ə r eː ɣ ɪ s eː r t
getto	ɣ ɛ t oː
getuigenissen	ɣ ə t œ y̯ ɣ ə n ɪ s ə
geïmporteerd	ɣ ə ɪ m p ɔ r t eː r t
gilles	ɣ ɪ l ə s
ginger	ɣ ɪ ŋ ə r
haaglanden	ɦ aː x l ɑ n d ə
indiana	ɪ n d i aː n aː
industries	ɪ n d ʏ s t r i s
int	ɪ n t
intenties	ɪ n t ɛ n s i s
isla	ɪ s l aː
jef	j ɛ f
joanna	j oː ɑ n aː
johann	j oː ɦ ɑ n
julien	j y l i n
kaken	k aː k ə
kakkerlakken	k ɑ k ə r l ɑ k ə
katja	k ɑ t j aː
keramiek	k eː r aː m i k
kernen	k ɛ r n ə
keurde	k øː r d ə
knopje	k n ɔ p j ə
knuffels	k n ʏ f ə l s
kremlin	k r ɛ m l ɪ n
kro	k r oː
ladingen	l aː d ɪ ŋ ə
leerzame	l eː r z aː m ə
lenny	l ɛ n i
magnetisch	m ɑ x n eː t i s
male	m aː l ə
marcia	m ɑ r s i aː
marian	m aː r i ɑ n
meervoudige	m eː r v ɑ u̯ d ə ɣ ə
metamorfose	m eː t aː m ɔ r f oː z ə
milo	m i l oː
minima	m i n i m aː
mustafa	m ʏ s t aː f aː
mythen	m i t ə
nagekomen	n aː ɣ ə k oː m ə
norton	n ɔ r t ɔ n
oleg	oː l ɛ x
oneerlijke	ɔ n eː r l ə k ə
onthaald	ɔ n t ɦ aː l t
oordeelt	oː r d eː l t
opgevat	ɔ p x ə v ɑ t
oploopt	ɔ p l oː p t
ouden	ɑ u̯ d ə
overste	oː v ə r s t ə
penthouse	p ɛ n t ɦ ɑ u̯ z ə
prijst	p r ɛ i̯ s t
princess	p r ɪ n s ɛ s
quest	k ʋ ɛ s t
rivalen	r i v aː l ə
rk	ɛ r k aː
rondrijden	r ɔ n t r ɛ i̯ d ə
samengevoegd	s aː m ə n ɣ ə v u x t
schelpen	s x ɛ l p ə
seine	s ɛ i̯ n ə
seksleven	s ɛ k s l eː v ə
selectief	s ə l ɛ k t i f
smeek	s m eː k
sociologie	s oː s i oː l oː ɣ i
stevie	s t eː v i
tara	t aː r aː
tate	t aː t ə
toegelicht	t u ɣ ə l ɪ x t
toevallige	t u v ɑ l ə ɣ ə
traoré	t r aː oː r eː
travis	t r aː v ɪ s
tucker	t ʏ k ə r
uitlegt	œ y̯ t l ɛ x t
ur	ʏ r
vergis	v ə r ɣ ɪ s
verhoord	v ə r ɦ oː r t
verlaagt	v ə r l aː x t
vermeldde	v ə r m ɛ l d ə
vernietigde	v ə r n i t ə x d ə
verrijken	v ə r r ɛ i̯ k ə
volgehouden	v ɔ l ɣ ə ɦ ɑ u̯ d ə
voorafgegaan	v oː r ɑ f x ə ɣ aː n
voordoet	v oː r d u t
vormgegeven	v ɔ r m ɣ ə ɣ eː v ə
waanzinnige	ʋ aː n z ɪ n ə ɣ ə
wedding	ʋ ɛ d ɪ ŋ
window	ʋ ɪ n d oː
woedende	ʋ u d ə n d ə
xavier	k s aː v iː r
zegeningen	z eː ɣ ə n ɪ ŋ ə
zijlijn	z ɛ i̯ l ɛ i̯ n
actiegroep	ɑ k s i ɣ r u p
advocatenkantoor	ɑ t f oː k aː t ə k ɑ n t oː r
afweten	ɑ f ʋ eː t ə
algen	ɑ l ɣ ə
apostelen	aː p ɔ s t ə l ə
armeniërs	ɑ r m eː n i ə r s
artist	ɑ r t ɪ s t
beethoven	b eː t ɦ oː v ə
belangrijkere	b ə l ɑ ŋ r ɛ i̯ k ə r ə
bestemmingsplan	b ə s t ɛ m ɪ ŋ s p l ɑ n
betreurt	b ə t r øː r t
binnenhof	b ɪ n ə n ɦ ɔ f
birmingham	b ɪ r m ɪ ŋ ɦ ɑ m
brands	b r ɑ n t s
broekje	b r u k j ə
buster	b ʏ s t ə r
campos	k ɑ m p ɔ s
claimt	k l eː m t
climax	k l i m ɑ k s
comfortabele	k ɔ m f ɔ r t aː b ə l ə
composities	k ɔ m p oː z i s i s
corporate	k ɔ r p oː r aː t ə
doekjes	d u k j ə s
donny	d ɔ n i
doodden	d oː d ə
doorgezet	d oː r ɣ ə z ɛ t
eilandjes	ɛ i̯ l ɑ n t j ə s
