að	aː ð
framsóknarflokks	f r a m s o u h k n a r f l ɔ h k s
franz	f r a n s
fremi	f r ɛː m ɪ
frjálsan	f r j a u l s a n
fylgið	f ɪ l c ɪ ð
fylkisins	f ɪ l̥ c ɪ s ɪ n s
fyllast	f ɪ t l a s t
gamalla	k aː m a t l a
gissurarson	c ɪ sː ʏ r a r s ɔː n
grilla	k r ɪ t l a
gulrætur	k ʏ l r a iː t ʏ r
guðbrandur	k v ʏ ð p r a n t ʏ r
hagnýtt	h a k n i h t
heimsmynd	h e i m s m ɪ n t
helgasonar	h ɛ l k a s ɔː n a r
helgin	h ɛ l c ɪ n
hreinar	r̥ e iː n a r
hreyfir	r̥ e iː v ɪ r
hringsins	r̥ i ŋ k s ɪ n s
húsmóðir	h uː s m o uː ð ɪ r
ingimar	i ɲ c ɪ m a r
japönsku	j aː pʰ œ n s k ʏ
júda	j uː t a
katar	kʰ aː t a r
konunga	kʰ ɔː n u ŋ k a
kílómetrar	cʰ iː l o uː m ɛː t r a r
lady	l aː t ɪ
learning	l ɛ a r t n i ŋ k
lestinni	l ɛ s t ɪ nː ɪ
listaverkum	l ɪ s t a v ɛ r̥ k ʏ m
luis	l ʏ iː s
léti	l j ɛː t ɪ
mannavöldum	m a nː a v œ l t ʏ m
mis	m ɪː s
neyðist	n e iː ð ɪ s t
orlando	ɔ r l a n t ɔ
penna	pʰ ɛ nː a
peysu	pʰ e iː s ʏ
prestum	pʰ r ɛ s t ʏ m
pálssonar	pʰ a u l s s ɔː n a r
ra	r aː
ragnheiði	r a k n h e iː ð ɪ
reikningi	r e i h k n i ɲ c ɪ
rúmmál	r u mː a uː l
samanstanda	s aː m a n s t a n t a
sing	s i ŋ k
siði	s ɪː ð ɪ
sjónarsviðið	s j o uː n a r s v ɪː ð ɪ ð
skelfilega	s c ɛ l v ɪ l ɛː ɣ a
skilgreindar	s c ɪ l k r e i n t a r
skjöld	s c œ l t
skoðanakönnunum	s k ɔː ð a n a kʰ œ nː ʏ n ʏ m
skápnum	s k a u h p n ʏ m
slæmum	s t l a iː m ʏ m
smástund	s m a uː s t ʏ n t
spilin	s p ɪː l ɪ n
stjórnmálaflokkar	s t j o u r t n m a uː l a f l ɔ h k a r
stofan	s t ɔː v a n
story	s t ɔː r ɪ
stærðar	s t a i r ð a r
stúdentar	s t uː t ɛ n̥ t a r
synti	s ɪ n̥ t ɪ
sálin	s a uː l ɪ n
thors	tʰ ɔ r̥ s
tilbúna	tʰ ɪ l p uː n a
trúfrelsi	tʰ r uː v r ɛ l s ɪ
tvöföld	tʰ v œː v œ l t
tæpt	tʰ a i f t
túlkað	tʰ u l̥ k a ð
undanúrslitum	ʏ n t a n u r̥ s t l ɪː t ʏ m
undarleg	ʏ n t a r l ɛː ɣ
uppalin	ʏ h p a l ɪː n
varðveist	v a r ð v e i s t
vestfirðir	v ɛ s t f ɪ r ð ɪ r
villi	v ɪ t l ɪ
virtu	v ɪ r̥ t ʏ
vott	v ɔ h t
víkingi	v iː c i ɲ c ɪ
wagner	v a k n ɛ r
water	v aː t ɛ r
wisconsin	v ɪ s k ɔ n s ɪː n
wolf	v ɔ l v
yale	j aː l ɛ
æfir	a iː v ɪ r
æsir	a iː s ɪ r
ætlið	a i h t l ɪː ð
írska	i r̥ s k a
óháður	o uː h a uː ð ʏ r
ýtti	i h t ɪ
þegna	θ ɛ k n a
þjóðminjasafns	θ j o u ð m ɪ n j a s a p n s
þreytt	θ r e i h t
abe	aː p ɛː
akademíunnar	aː k a t ɛː m i j ʏ nː a r
arts	a r̥ t s
atvinnugreinar	aː t v ɪ nː ʏ k r e iː n a r
baldvinsson	p a l t v ɪ n sː ɔː n
beinst	p e i n s t
bikarnum	p ɪː k a r t n ʏ m
bjuggust	p j ʏ kː ʏ s t
blaut	p l ø yː t
brautin	p r ø yː t ɪ n
brjósti	p r j o u s t ɪ
bundnir	p ʏ n t n ɪ r
bylgjunni	p ɪ l c ʏ nː ɪ
bátsins	p a uː t s ɪ n s
bæjarbúa	p a iː j a r p uː a
bókhald	p o uː k h a l t
danskra	t a n s k r a
dregist	t r e iː j ɪ s t
dulnefni	t ʏ l n ɛ p n ɪ
dönum	t œː n ʏ m
eflingu	ɛ p l i ŋ k ʏ
eininga	e iː n i ŋ k a
eið	e iː ð
emmu	ɛ mː ʏ
endurspeglar	ɛ n t ʏ r s p ɛ k l a r
erlu	ɛ r t l ʏ
evrunnar	ɛ v r ʏ nː a r
eyjanna	e iː j a nː a
eyjunum	e iː j ʏ n ʏ m
fasteignir	f a s t e i k n ɪ r
ferða	f ɛ r ð a
fikta	f ɪ x t a
fjölmennasta	f j œ l m ɛ nː a s t a
flota	f l ɔː t a
flóknum	f l o u h k n ʏ m
forsvari	f ɔ r̥ s v aː r ɪ
forum	f ɔː r ʏ m
freddy	f r ɛ tː ɪ
frumflutt	f r ʏ m f l ʏ h t
frávik	f r a uː v ɪː k
fundaði	f ʏ n t aː ð ɪ
færeyjar	f a iː r e iː j a r
föruneyti	f œː r ʏ n e iː t ɪ
geymi	c e iː m ɪ
giltu	c ɪ l̥ t ʏ
glatast	k l aː tʰ a s t
glen	k l ɛː n
greiddra	k r e i tː r a
gulum	k ʏː l ʏ m
guðlaugsson	k v ʏ ð l ø y x s s ɔː n
heimsmeistaramótinu	h e i m s m e i s t a r a m o uː t ɪ n ʏ
hernaði	h ɛ r t n aː ð ɪ
hliðin	l̥ ɪː ð ɪ n
hlíðarenda	l̥ iː ð a r ɛ n t a
hressa	r̥ ɛ sː a
hugsaðu	h ʏ x s aː ð ʏ
hættulega	h a i h t ʏ l ɛː ɣ a
hæðin	h a iː ð ɪ n
illum	ɪ t l ʏ m
iðkun	ɪ ð k ʏ n
jóhanni	j o uː h a nː ɪ
karlakór	kʰ a r t l a kʰ o uː r
kárason	kʰ a uː r a s ɔː n
kærir	cʰ a iː r ɪ r
landhelgisgæslunnar	l a n t h ɛ l c ɪ s c a i s t l ʏ nː a r
lappirnar	l a h p ɪ r t n a r
laugar	l ø yː ɣ a r
leikni	l e i h k n ɪ
lentum	l ɛ n̥ t ʏ m
leynilega	l e iː n ɪ l ɛː ɣ a
lilla	l ɪ t l a
ljóða	l j o uː ð a
lyftir	l ɪ f t ɪ r
maraþon	m aː r a θ ɔː n
margsinnis	m a r k s ɪ nː ɪ s
meginlandi	m e iː j ɪ n l a n t ɪ
merka	m ɛ r̥ k a
myndist	m ɪ n t ɪ s t
nat	n aː t
nákvæmari	n a uː kʰ v a iː m a r ɪ
ollu	ɔ t l ʏ
oswald	ɔː s v a l t
peking	pʰ ɛː c i ŋ k
ragnari	r a k n a r ɪ
reglulegar	r ɛ k l ʏ l ɛː ɣ a r
reglulegum	r ɛ k l ʏ l ɛː ɣ ʏ m
ráðnir	r a u ð n ɪ r
schwartz	s k v a r̥ t s
sendiráð	s ɛ n t ɪ r a uː ð
sigurbjörg	s ɪː ɣ ʏ r p j œ r k
sigurjónsdóttir	s ɪː ɣ ʏ r j o u n s t o u h t ɪ r
sjómílur	s j o uː m iː l ʏ r
skeiði	s c e iː ð ɪ
skýringin	s c iː r i ɲ c ɪ n
slóvakíu	s t l o uː v a cʰ iː j ʏ
stekkur	s t ɛ h k ʏ r
stofnar	s t ɔ p n a r
stoðir	s t ɔː ð ɪ r
ströng	s t r ø y ŋ k
sturluson	s t ʏ r t l ʏ s ɔː n
stuttri	s t ʏ h t r ɪ
styrkjum	s t ɪ r̥ c ʏ m
styðst	s t ɪ ð s t
stærðir	s t a i r ð ɪ r
sumarhús	s ʏː m a r h uː s
svipar	s v ɪː p a r
sættast	s a i h t a s t
sérsveitin	s j ɛ r̥ s v e iː t ɪ n
söru	s œː r ʏ
tilheyrði	tʰ ɪː l h e i r ð ɪ
timbur	tʰ ɪ m p ʏ r
tolla	tʰ ɔ t l a
treystum	tʰ r e i s t ʏ m
truflar	tʰ r ʏ p l a r
type	tʰ ɪː p ɛ
tæka	tʰ a iː k a
tímariti	tʰ iː m a r ɪː t ɪ
töluð	tʰ œː l ʏ ð
tölvunarfræði	tʰ œ l v ʏ n a r f r a iː ð ɪ
umferðir	ʏ m f ɛ r ð ɪ r
umsvifalaust	ʏ m s v ɪː v a l ø y s t
vefi	v ɛː v ɪ
versna	v ɛ r̥ s t n a
vestfirði	v ɛ s t f ɪ r ð ɪ
vigdísi	v ɪ ɣ t iː s ɪ
viljir	v ɪ l j ɪ r
villandi	v ɪ t l a n t ɪ
viðburður	v ɪ ð p ʏ r ð ʏ r
viðskiptavina	v ɪ ð s c ɪ f t a v ɪː n a
viðskiptavinum	v ɪ ð s c ɪ f t a v ɪː n ʏ m
vígslu	v i x s t l ʏ
watch	v a h t x
áherslum	a uː h ɛ r̥ s t l ʏ m
áreitni	a uː r e i h t n ɪ
ódýrt	o uː t i r̥ t
óvinum	o uː v ɪː n ʏ m
öflugum	œ v l ʏː ɣ ʏ m
útivelli	uː t ɪ v ɛ t l ɪ
útvarpið	uː t v a r̥ p ɪː ð
þrífast	θ r iː v a s t
þungum	θ u ŋ k ʏ m
afmarka	a v m a r̥ k a
afrakstur	a v r a k s t ʏ r
apollo	aː pʰ ɔ t l ɔ
arkitektar	a r̥ c ɪ tʰ ɛ x t a r
avenue	aː v ɛː n ʏ ɛː
aðildarríkjum	aː ð ɪ l t a r r iː c ʏ m
björtu	p j œ r̥ t ʏ
bæja	p a iː j a
carlo	kʰ a r t l ɔ
dalur	t aː l ʏ r
doyle	t ɔ iː l ɛ
draumi	t r ø yː m ɪ
dreifist	t r e iː v ɪ s t
dæmigert	t a iː m ɪ c ɛ r̥ t
egil	e iː j ɪ l
einangra	e iː n a u ŋ k r a
einföldu	e i n f œ l t ʏ
einkenndist	e i n cʰ ɛ n t ɪ s t
einmana	e i n m aː n a
evruna	ɛ v r ʏː n a
evrópuráðsins	ɛ v r o uː p ʏ r a u ð s ɪ n s
eðlileg	ɛ ð l ɪ l ɛː ɣ
fagnar	f a k n a r
fegursta	f ɛː ɣ ʏ r̥ s t a
ferris	f ɛ rː ɪ s
flatarmál	f l aː t a r m a uː l
framhaldið	f r a m h a l t ɪ ð
franski	f r a n s c ɪ
fráköst	f r a uː kʰ œ s t
fræðilega	f r a iː ð ɪ l ɛː ɣ a
frúin	f r uː ɪ n
fullorðin	f ʏ t l ɔ r ð ɪ n
fæddir	f a i tː ɪ r
fótfestu	f o uː t f ɛ s t ʏ
gagnleg	k a k n l ɛː ɣ
garðabæjar	k a r ð a p a iː j a r
geim	c e iː m
gildandi	c ɪ l t a n t ɪ
gjöfum	c œː v ʏ m
glös	k l œː s
goða	k ɔː ð a
greiðir	k r e iː ð ɪ r
gríðarlegum	k r iː ð a r l ɛː ɣ ʏ m
grófu	k r o uː v ʏ
góðra	k o u ð r a
hamri	h a m r ɪ
handar	h a n t a r
hauk	h ø yː k
heimsótt	h e i m s o u h t
herbergjum	h ɛ r p ɛ r c ʏ m
herjólfur	h ɛ r j o u l v ʏ r
hjörleifur	ç œ r l e iː v ʏ r
hraðari	r̥ aː ð a r ɪ
hreinan	r̥ e iː n a n
hroka	r̥ ɔː k a
hálsinum	h a u l s ɪː n ʏ m
hótað	h o uː t a ð
isabel	ɪː s a p ɛː l
javascript	j aː v a s k r ɪ f t
jemen	j ɛː m ɛ n
jill	j ɪ t l
johan	j ɔː h a n
kökurnar	kʰ œː k ʏ r t n a r
kötlu	kʰ œ h t l ʏ
kúveit	kʰ uː v e iː t
laugardalsvelli	l ø yː ɣ a r t a l s v ɛ t l ɪ
leyfið	l e iː v ɪ ð
listamannsins	l ɪ s t a m a nː s ɪ n s
lyktin	l ɪ x t ɪ n
lögmanni	l œ ɣ m a nː ɪ
mengi	m e i ɲ c ɪ
myndanna	m ɪ n t a nː a
myndlistarmaður	m ɪ n t l ɪ s t a r m aː ð ʏ r
mælist	m a iː l ɪ s t
nauðgað	n ø y ð k aː ð
njóttu	n j o u h t ʏ
notfæra	n ɔː t f a iː r a
nóa	n o uː a
oil	ɔ iː l
orkan	ɔ r̥ k a n
pirrandi	pʰ ɪ rː a n t ɪ
punkt	pʰ u ŋ̊ k t
quentin	kʰ v ɛ n̥ t ɪ n
reese	r e iː s ɛ
reglulegu	r ɛ k l ʏ l ɛː ɣ ʏ
reiknuð	r e i h k n ʏ ð
ritgerðir	r ɪː t c ɛ r ð ɪ r
rústir	r u s t ɪ r
seljum	s ɛ l j ʏ m
siðum	s ɪː ð ʏ m
sjónvarpsefni	s j o u n v a r̥ p s ɛ p n ɪ
skagafjarðar	s k aː ɣ a f j a r ð a r
skelltu	s c ɛ l̥ t ʏ
skellur	s c ɛ t l ʏ r
skjali	s c aː l ɪ
snake	s t n aː c ɛ
snérist	s t n j ɛː r ɪ s t
spilara	s p ɪː l a r a
spili	s p ɪː l ɪ
spilun	s p ɪː l ʏ n
spjöld	s p j œ l t
sprungur	s p r u ŋ k ʏ r
storm	s t ɔ r m
straumi	s t r ø yː m ɪ
strákum	s t r a uː k ʏ m
studd	s t ʏ tː
stæðu	s t a iː ð ʏ
stórhöfða	s t o uː r h œ v ð a
stöfum	s t œː v ʏ m
su	s ʏː
suðu	s ʏː ð ʏ
suðurgötu	s ʏː ð ʏ r k œː t ʏ
synt	s ɪ n̥ t
sérsveit	s j ɛ r̥ s v e iː t
sögulegt	s œː ɣ ʏ l ɛ x t
sögusagnir	s œː ɣ ʏ s a k n ɪ r
tals	tʰ a l s
talsmenn	tʰ a l s m ɛ nː
tengda	tʰ e i ŋ t a
tengdi	tʰ e i ŋ t ɪ
tjáningu	tʰ j a uː n i ŋ k ʏ
tónverk	tʰ o u n v ɛ r̥ k
umfjöllunar	ʏ m f j œ t l ʏ n a r
undirliggjandi	ʏ n t ɪ r l ɪ cː a n t ɪ
upplifði	ʏ h p l ɪ v ð ɪ
uss	ʏ sː
valsmenn	v a l s m ɛ nː
varaforseti	v aː r a f ɔ r̥ s ɛː t ɪ
varma	v a r m a
varðveittar	v a r ð v e i h t a r
vegagerðarinnar	v ɛː ɣ a c ɛ r ð a r ɪ nː a r
veggnum	v ɛ kː n ʏ m
veitingu	v e iː t i ŋ k ʏ
venjan	v ɛ n j a n
verkamenn	v ɛ r̥ k a m ɛ nː
villta	v ɪ l̥ t a
villtum	v ɪ l̥ t ʏ m
vinnustofu	v ɪ nː ʏ s t ɔː v ʏ
vinsælum	v ɪ n s a iː l ʏ m
viðurkenndu	v ɪː ð ʏ r cʰ ɛ n t ʏ
víkka	v i h k a
vöðvum	v œ ð v ʏ m
yo	j ɔː
áfangastaður	a uː f a u ŋ k a s t aː ð ʏ r
ákveðnir	a uː kʰ v ɛ ð n ɪ r
álíta	a uː l iː t a
árg	a u r k
árnasonar	a u r t n a s ɔː n a r
ási	a uː s ɪ
æfði	a i v ð ɪ
útflutningur	uː t f l ʏ h t n i ŋ k ʏ r
útlendingum	uː t l ɛ n t i ŋ k ʏ m
þórsmörk	θ o u r̥ s m œ r̥ k
afneitun	a p n e iː t ʏ n
ag	aː ɣ
alast	aː l a s t
almannafæri	a l m a nː a f a iː r ɪ
andlegum	a n t l ɛː ɣ ʏ m
athugasemdum	aː t h ʏː ɣ a s ɛ m t ʏ m
augliti	ø y ɣ l ɪː t ɪ
aðalega	aː ð a l ɛː ɣ a
beittu	p e i h t ʏ
bell	p ɛ t l
bernsku	p ɛ r t n s k ʏ
birgi	p ɪ r c ɪ
biðjast	p ɪ ð j a s t
björgólfur	p j œ r k o u l v ʏ r
blog	p l ɔː ɣ
brast	p r a s t
breyttum	p r e i h t ʏ m
bryggju	p r ɪ cː ʏ
bryggjunni	p r ɪ cː ʏ nː ɪ
brúnt	p r u n̥ t
byr	p ɪː r
byssu	p ɪ sː ʏ
bágt	p a u x t
clay	kʰ l a iː
dagblöð	t a ɣ p l œː ð
dansar	t a n s a r
dark	t a r̥ k
das	t aː s
deigið	t e iː j ɪ ð
deili	t e iː l ɪ
dregnar	t r ɛ k n a r
dreymt	t r e i m̥ t
eilífa	e iː l iː v a
einkarétt	e i ŋ k a r j ɛ h t
eiturefni	e iː t ʏ r ɛ p n ɪ
elst	ɛ l s t
ennis	ɛ nː ɪ s
eyðimörkinni	e iː ð ɪ m œ r̥ c ɪ nː ɪ
fannar	f a nː a r
fiskvinnslu	f ɪ s k v ɪ n s t l ʏ
flóru	f l o uː r ʏ
fornleifar	f ɔ r t n l e iː v a r
forvitnilegt	f ɔ r v ɪ h t n ɪ l ɛ x t
framleiðanda	f r a m l e iː ð a n t a
framvindu	f r a m v ɪ n t ʏ
friðriksdóttir	f r ɪ ð r ɪ k s t o u h t ɪ r
frásögnin	f r a uː s œ k n ɪ n
fátækum	f a uː tʰ a iː k ʏ m
félögunum	f j ɛː l œː ɣ ʏ n ʏ m
fínum	f iː n ʏ m
grænar	k r a iː n a r
gríðarlegt	k r iː ð a r l ɛ x t
hafnarfjörður	h a p n a r f j œ r ð ʏ r
hefðbundinna	h ɛ v ð p ʏ n t ɪ nː a
hindranir	h ɪ n t r aː n ɪ r
hjónabandi	ç o uː n a p a n t ɪ
hlutafélög	l̥ ʏː t a f j ɛː l œː ɣ
hlíðum	l̥ iː ð ʏ m
hlýju	l̥ iː j ʏ
hrísgrjónum	r̥ iː s k r j o uː n ʏ m
hugðist	h ʏ ɣ ð ɪ s t
hæft	h a i f t
hömlur	h œ m l ʏ r
húsanna	h uː s a nː a
húðina	h uː ð ɪ n a
iðnaðarins	ɪ ð n aː ð a r ɪ n s
jurtum	j ʏ r̥ t ʏ m
jóhannesi	j o uː h a nː ɛː s ɪ
júlíu	j uː l iː j ʏ
kanínur	kʰ aː n iː n ʏ r
kaupin	kʰ ø yː p ɪ n
klæddist	kʰ l a i tː ɪ s t
knattspyrnudeild	kʰ n a h t s p ɪ r t n ʏ t e i l t
konunum	kʰ ɔː n ʏ n ʏ m
krossi	kʰ r ɔ sː ɪ
kvartanir	kʰ v a r̥ t a n ɪ r
kóði	kʰ o uː ð ɪ
kötlum	kʰ œ h t l ʏ m
laufin	l ø yː v ɪ n
laugina	l ø yː j ɪ n a
liggjandi	l ɪ cː a n t ɪ
ling	l i ŋ k
láru	l a uː r ʏ
læknum	l a i h k n ʏ m
malmö	m a l m œː
mannkynsins	m a nː cʰ ɪ n s ɪ n s
martini	m a r̥ t ɪː n ɪ
megan	m ɛː ɣ a n
megrun	m ɛ ɣ r ʏ n
metum	m ɛː t ʏ m
mit	m ɪː t
miðlum	m ɪ ð l ʏ m
myndlistarmanna	m ɪ n t l ɪ s t a r m a nː a
mánaðarlega	m a uː n a ð a r l ɛː ɣ a
nafns	n a p n s
njóti	n j o uː t ɪ
noah	n ɔː a
nágrannar	n a uː k r a nː a r
nóttin	n o u h t ɪ n
nótum	n o uː t ʏ m
plönturnar	pʰ l œ n̥ t ʏ r t n a r
pottinum	pʰ ɔ h t ɪ n ʏ m
páfa	pʰ a uː v a
rafhlöðu	r a v l̥ œː ð ʏ
rafhlöður	r a v l̥ œː ð ʏ r
rannsakar	r a nː s aː k a r
rasmussen	r aː s m ʏ sː ɛ n
rauðir	r ø yː ð ɪ r
rod	r ɔː t
rugli	r ʏ k l ɪ
ráðamanna	r a uː ð a m a nː a
ráðuneytisins	r a uː ð ʏ n e iː t ɪ s ɪ n s
rædd	r a i tː
ræddu	r a i tː ʏ
sameiginlegar	s aː m e iː j ɪ n l ɛː ɣ a r
sameinuðust	s aː m e iː n ʏ ð ʏ s t
santiago	s a n̥ t ɪ aː ɣ ɔ
santo	s a n̥ t ɔ
segði	s ɛ ɣ ð ɪ
shrek	s r̥ ɛː k
sigurvegarinn	s ɪː ɣ ʏ r v ɛː ɣ a r ɪ nː
siðareglur	s ɪː ð a r ɛ k l ʏ r
skammta	s k a m̥ t a
skipverjar	s c ɪː p v ɛ r j a r
slegin	s t l e iː j ɪ n
sorp	s ɔ r̥ p
spurðu	s p ʏ r ð ʏ
square	s k v aː r ɛ
stafir	s t aː v ɪ r
starfs	s t a r f s
staðgengill	s t a ð c e i ɲ c ɪ t l
steinunni	s t e iː n ʏ nː ɪ
styttan	s t ɪ h t a n
stök	s t œː k
stöðina	s t œː ð ɪ n a
stýrimaður	s t iː r ɪ m aː ð ʏ r
svaka	s v aː k a
svartar	s v a r̥ t a r
sólarinnar	s o uː l a r ɪ nː a r
tæknina	tʰ a i h k n ɪ n a
tómasdóttir	tʰ o uː m a s t o u h t ɪ r
túttur	tʰ u h t ʏ r
upplýsa	ʏ h p l iː s a
uppnám	ʏ h p n a uː m
vandamálin	v a n t a m a uː l ɪ n
vegagerð	v ɛː ɣ a c ɛ r ð
veikist	v e iː c ɪ s t
veislunni	v e i s t l ʏ nː ɪ
verkafólks	v ɛ r̥ k a f o u l̥ k s
verulegum	v ɛː r ʏ l ɛː ɣ ʏ m
villu	v ɪ t l ʏ
vinnuafl	v ɪ nː ʏ a p l
viðskiptavini	v ɪ ð s c ɪ f t a v ɪː n ɪ
vísindaleg	v iː s ɪ n t a l ɛː ɣ
vítamíni	v iː tʰ a m iː n ɪ
vítaspyrnu	v iː t a s p ɪ r t n ʏ
völlum	v œ t l ʏ m
wild	v ɪ l t
yfirmann	ɪː v ɪ r m a nː
áhöld	a uː h œ l t
árstíma	a u r̥ s t iː m a
ásgrímur	a uː s k r iː m ʏ r
ísak	iː s aː k
útfærslur	uː t f a i r̥ s t l ʏ r
útvarps	uː t v a r̥ p s
þurrkað	θ ʏ r̥ k aː ð
þurrum	θ ʏ rː ʏ m
þykjast	θ ɪː c a s t
þóri	θ o uː r ɪ
afnota	a p n ɔː t a
allsráðandi	a t l s r a uː ð a n t ɪ
baldri	p a l t r ɪ
baldwin	p a l t v ɪː n
blessuð	p l ɛ sː ʏ ð
blokk	p l ɔ h k
blu	p l ʏː
brandara	p r a n t a r a
brendan	p r ɛ n t a n
brotist	p r ɔː t ɪ s t
brotlenti	p r ɔː t l ɛ n̥ t ɪ
bu	p ʏː
byggingarefni	p ɪ cː i ŋ k a r ɛ p n ɪ
byggjum	p ɪ cː ʏ m
bíddu	p i tː ʏ
danskir	t a n s c ɪ r
drottin	t r ɔ h t ɪ n
dætrum	t a iː t r ʏ m
dómstólsins	t o u m s t o u l s ɪ n s
eb	ɛː p
eggi	ɛ cː ɪ
endalaus	ɛ n t a l ø yː s
erlingur	ɛ r t l i ŋ k ʏ r
eðlilegum	ɛ ð l ɪ l ɛː ɣ ʏ m
fag	f aː ɣ
ferguson	f ɛ r k ʏ s ɔː n
feður	f ɛː ð ʏ r
fire	f ɪː r ɛ
fjarðabyggðar	f j a r ð a p ɪ ɣ ð a r
fjármuni	f j a u r m ʏː n ɪ
flottasta	f l ɔ h t a s t a
flugmenn	f l ʏ ɣ m ɛ nː
flyst	f l ɪ s t
frelsið	f r ɛ l s ɪː ð
freyju	f r e iː j ʏ
frumkvöðlar	f r ʏ m kʰ v œ ð l a r
frumraun	f r ʏ m r ø yː n
fyrirmyndar	f ɪː r ɪ r m ɪ n t a r
fánanum	f a uː n a n ʏ m
fæddust	f a i tː ʏ s t
gasi	k aː s ɪ
gleðileg	k l ɛː ð ɪ l ɛː ɣ
glitnir	k l ɪ h t n ɪ r
glæpum	k l a iː p ʏ m
glímu	k l iː m ʏ
grindavíkur	k r ɪ n t a v iː k ʏ r
grunaður	k r ʏː n a ð ʏ r
gólfið	k o u l v ɪː ð
hamast	h aː m a s t
hammer	h a mː ɛ r
hamrahlíð	h a m r a l̥ iː ð
hand	h a n t
hector	h ɛ x t ɔ r
heimamönnum	h e iː m a m œ nː ʏ m
heimilda	h e iː m ɪ l t a
heimsóttu	h e i m s o u h t ʏ
hektara	h ɛ x t a r a
henrik	h ɛ n r ɪː k
herdeild	h ɛ r t e i l t
hrifningu	r̥ ɪ p n i ŋ k ʏ
hvarvetna	kʰ v a r v ɛ h t n a
hvattir	kʰ v a h t ɪ r
hárri	h a u rː ɪ
höndla	h œ n t l a
kaflar	kʰ a p l a r
kali	kʰ aː l ɪ
karlarnir	kʰ a r t l a r t n ɪ r
kea	cʰ ɛː a
kemp	cʰ ɛ m̥ p
klósettið	kʰ l o uː s ɛ h t ɪ ð
kynja	cʰ ɪ n j a
kyssast	cʰ ɪ sː a s t
kæmust	cʰ a iː m ʏ s t
kí	cʰ iː
landgræðslu	l a n t k r a i ð s t l ʏ
landnámi	l a n t n a uː m ɪ
lendingu	l ɛ n t i ŋ k ʏ
læknarnir	l a i h k n a r t n ɪ r
líðan	l iː ð a n
meistaradeild	m e i s t a r a t e i l t
meiði	m e iː ð ɪ
mer	m ɛː r
minningum	m ɪ nː i ŋ k ʏ m
mána	m a uː n a
mótmælin	m o uː t m a iː l ɪ n
mýrum	m iː r ʏ m
nesi	n ɛː s ɪ
neyddu	n e i tː ʏ
næstunni	n a i s t ʏ nː ɪ
nýjung	n iː j u ŋ k
pine	pʰ ɪː n ɛ
planet	pʰ l aː n ɛː t
pólsku	pʰ o u l s k ʏ
rifin	r ɪː v ɪ n
rutt	r ʏ h t
rækjur	r a iː c ʏ r
rómverska	r o u m v ɛ r̥ s k a
röngu	r ø y ŋ k ʏ
sambærilegar	s a m p a iː r ɪ l ɛː ɣ a r
sameiningar	s aː m e iː n i ŋ k a r
samfellda	s a m f ɛ l t a
samfylkingar	s a m f ɪ l̥ c i ŋ k a r
samherja	s a m h ɛ r j a
sjálfboðaliða	s j a u l v p ɔː ð a l ɪː ð a
skapaðist	s k aː p a ð ɪ s t
skartgripi	s k a r̥ t k r ɪː p ɪ
skipulega	s c ɪː p ʏ l ɛː ɣ a
skrefið	s k r ɛː v ɪ ð
skrifaður	s k r ɪː v a ð ʏ r
skynsamlega	s c ɪ n s a m l ɛː ɣ a
sköpuð	s k œː p ʏ ð
skýrslunnar	s c i r̥ s t l ʏ nː a r
smiðju	s m ɪ ð j ʏ
smáatriðum	s m a uː a tʰ r ɪː ð ʏ m
space	s p aː s ɛ
spillt	s p ɪ l̥ t
sprungu	s p r u ŋ k ʏ
starfsfólks	s t a r v s f o u l̥ k s
staðbundin	s t a ð p ʏ n t ɪ n
steininum	s t e iː n ɪ n ʏ m
sterkri	s t ɛ r̥ k r ɪ
stofnendur	s t ɔ p n ɛ n t ʏ r
strengi	s t r e i ɲ c ɪ
stíg	s t iː ɣ
stórveldi	s t o u r v ɛ l t ɪ
stöðuga	s t œː ð ʏː ɣ a
sumstaðar	s ʏ m s t aː ð a r
svipti	s v ɪ f t ɪ
sápu	s a uː p ʏ
sölum	s œː l ʏ m
sýkingum	s iː c i ŋ k ʏ m
talbot	tʰ a l p ɔː t
teldu	tʰ ɛ l t ʏ
tjaldinu	tʰ j a l t ɪː n ʏ
tjáð	tʰ j a uː ð
tryggi	tʰ r ɪ cː ɪ
tækja	tʰ a iː c a
tónar	tʰ o uː n a r
umslag	ʏ m s t l aː ɣ
uppfærslu	ʏ h p f a i r̥ s t l ʏ
vakta	v a x t a
vaktir	v a x t ɪ r
varanlegt	v aː r a n l ɛ x t
verksmiðjunni	v ɛ r̥ k s m ɪ ð j ʏ nː ɪ
viðskiptafræðingur	v ɪ ð s c ɪ f t a f r a iː ð i ŋ k ʏ r
volvo	v ɔ l v ɔ
vægt	v a i x t
véla	v j ɛː l a
web	v ɛː p
webb	v ɛ pː
yfirlæknir	ɪː v ɪ r l a i h k n ɪ r
áfangar	a uː f a u ŋ k a r
áhugamanna	a uː h ʏː ɣ a m a nː a
áhættan	a uː h a i h t a n
áhöfninni	a uː h œ p n ɪ nː ɪ
ástar	a u s t a r
íbúðinni	iː p uː ð ɪ nː ɪ
öflugu	œ v l ʏː ɣ ʏ
örmum	œ r m ʏ m
öxi	œ k s ɪ
úrgangur	u r k a u ŋ k ʏ r
útlöndum	uː t l œ n t ʏ m
þjóðkirkjan	θ j o u ð cʰ ɪ r̥ c a n
