finns	f ɪ n s
avseenden	²'ɑː v s eː ɛ n d ɛ n
avsett	²'ɑː v s ɛ t
avslöjas	²'ɑː v s l œ j a s
begås	b ɛ ɡ 'oː s
carin	k a r 'iː n
carina	k a r 'iː n a
domstolar	²d 'ʊ m s t uː l a r
extremister	ɛ k s t r ɛ m 'ɪ s t ɛ r
fackliga	²f 'a k l ɪ ɡ a
fransmännen	²f r 'a n s m ɛ n ɛ n
föreslås	²f 'øː r ɛ s l oː s
förfan	f œ r f 'ɑː n
försämras	f œ ɕ 'ɛ m r a s
gardiner	ɡ a d 'iː n ɛ r
hindrade	²h 'ɪ n d r a d ɛ
hysteriskt	h ʏ s t 'eː r ɪ s k t
ingredienser	ɪ n ɡ r ɛ d ɪ 'ɛ n s ɛ r
kommunismen	k ɔ m ɵ n 'ɪ s m ɛ n
kunniga	²k 'ɵ n ɪ ɡ a
medelklassen	²m 'eː d ɛ l k l a s ɛ n
medelåldern	²m 'eː d ɛ l ɔ l d ɛ n
missnöjda	²m 'ɪ s n œ j d a
mäktigaste	²m 'ɛ k t ɪ ɡ a s t ɛ
parasiter	p a r a s 'iː t ɛ r
pålitliga	²p 'oː l iː t l ɪ ɡ a
räddad	²r 'ɛ d a d
skrikande	²s k r 'iː k a n d ɛ
spöken	²s p 'øː k ɛ n
stadshuset	²s t 'a t s h ʉː s ɛ t
tokiga	²t 'uː k ɪ ɡ a
tolkningen	²t 'ɔ l k n ɪ ŋ ɛ n
tänt	t ɛ n t
uppfattade	²'ɵ p f a t a d ɛ
uppgav	²'ɵ p ɡ ɑː v
utgiven	²'ʉː t j iː v ɛ n
vackrare	²v 'a k r a r ɛ
villan	²v 'ɪ l a n
äventyret	²'ɛː v ɛ n t yː r ɛ t
åtalade	²'oː t ɑː l a d ɛ
alf	a l f
anfallet	²'a n f a l ɛ t
anpassas	²'a n p a s a s
bart	b ɑː t
bestäms	b ɛ s t 'ɛ m s
bittra	²b 'ɪ t r a
boxen	²b 'ʊ k s ɛ n
carmen	k 'a r m ɛ n
forever	f ʊ r 'eː v ɛ r
förhåller	f œ r h 'ɔ l ɛ r
församlingar	f œ ɕ 'a m l ɪ ŋ a r
glassen	²ɡ l 'a s ɛ n
integreras	ɪ n t ɛ ɡ r 'eː r a s
kapitalismen	k a p ɪ t a l 'ɪ s m ɛ n
klänningar	²k l 'ɛ n ɪ ŋ a r
kombinationer	k ɔ m b ɪ n a ɧ 'uː n ɛ r
kommersiellt	k ɔ m ɛ ɕ ɪ 'ɛ l t
kudden	²k 'ɵ d ɛ n
kören	²ɕ 'øː r ɛ n
lustiga	²l 'ɵ s t ɪ ɡ a
morning	²m 'uː n ɪ ŋ
nordiskt	n 'uː d ɪ s k t
otrevliga	²'uː t r eː v l ɪ ɡ a
plockas	²p l 'ɔ k a s
påbörjat	²p 'oː b œ r j a t
samtalen	²s 'a m t ɑː l ɛ n
slumpmässigt	²s l 'ɵ m p m ɛ s ɪ k t
svampar	²s v 'a m p a r
tjockare	²ɕ 'ɔ k a r ɛ
vardagar	²v 'ɑː d ɑː ɡ a r
vegetariskt	v ɛ ɡ ɛ t 'ɑː r ɪ s k t
wish	v ɪ ɧ
ypperligt	²'ʏ p ɛ l ɪ k t
alexis	a l 'ɛ k s ɪ s
arabisk	a r 'ɑː b ɪ s k
avdelningar	²'ɑː v d eː l n ɪ ŋ a r
batra	²b 'ɑː t r a
begreppen	b ɛ ɡ r 'ɛ p ɛ n
bemöter	b ɛ m 'øː t ɛ r
betedde	b ɛ t 'ɛ d ɛ
börje	²b 'œ r j ɛ
degen	²d 'eː ɡ ɛ n
fittor	²f 'ɪ t ʊ r
flickvännen	²f l 'ɪ k v ɛ n ɛ n
flickvänner	²f l 'ɪ k v ɛ n ɛ r
frankrikes	²f r 'a ŋ k r iː k ɛ s
frukten	²f r 'ɵ k t ɛ n
granskningen	²ɡ r 'a n s k n ɪ ŋ ɛ n
handskas	²h 'a n d s k a s
historiker	h ɪ s t 'uː r ɪ k ɛ r
härskare	²h 'ɛ ɕ k a r ɛ
imponerade	ɪ m p ʊ n 'eː r a d ɛ
inkluderas	ɪ n k l ɵ d 'eː r a s
jadå	j a d 'oː
jämställda	²j 'ɛ m s t ɛ l d a
kinden	²ɕ 'ɪ n d ɛ n
latte	²l 'a t ɛ
materiella	m a t ɛ r ɪ 'ɛ l a
mössan	²m 'œ s a n
norrländska	²n 'ɔ r l ɛ n d s k a
nybyggda	²n 'yː b ʏ ɡ d a
nyfödda	²n 'yː f œ d a
peru	p ɛ r 'ʉː
planeter	p l a n 'eː t ɛ r
prestationer	p r ɛ s t a ɧ 'uː n ɛ r
påstådda	²p 'oː s t ɔ d a
regelverket	²r 'eː ɡ ɛ l v a r k ɛ t
spiken	²s p 'iː k ɛ n
tillverkningen	²t 'ɪ l v a r k n ɪ ŋ ɛ n
trek	t r eː k
trovärdigt	²t r 'uː v ɛː d ɪ k t
upplagan	²'ɵ p l ɑː ɡ a n
utsättas	²'ʉː t s ɛ t a s
överraskade	²'øː v ɛ r a s k a d ɛ
aaron	a a r 'uː n
avviker	²'ɑː v iː k ɛ r
badhus	²b 'ɑː d h ʉː s
barnsligt	²b 'ɑː n ɕ l ɪ k t
bostadsområde	²b 'uː s t ɑː d s ɔ m r oː d ɛ
framställer	²f r 'a m s t ɛ l ɛ r
förbindelser	f œ r b 'ɪ n d ɛ l s ɛ r
förbättrade	f œ r b 'ɛ t r a d ɛ
förfogande	f œ r f 'uː ɡ a n d ɛ
försvinn	f œ ɕ v 'ɪ n
guden	²ɡ 'ʉː d ɛ n
hjälpas	²j 'ɛ l p a s
häktad	²h 'ɛ k t a d
högljudda	²h 'øː ɡ j ɵ d a
inläggen	²'ɪ n l ɛ ɡ ɛ n
jämförelser	²j 'ɛ m f øː r ɛ l s ɛ r
kvällsmat	²k v 'ɛ l s m ɑː t
köpcentrum	²ɕ 'øː p s ɛ n t r ɵ m
livsfarligt	²l 'ɪ f s f ɑː l ɪ k t
lot	l uː t
magkänsla	²m 'ɑː ɡ ɕ ɛ n s l a
mördas	²m 'øː d a s
nationens	n a t ɧ ʊ n 'ɛ n s
profiler	p r ʊ f 'iː l ɛ r
raketer	r a k 'eː t ɛ r
room	r uː m
self	s ɛ l f
skickats	²ɧ 'ɪ k a t s
skribenter	s k r ɪ b 'ɛ n t ɛ r
sonens	s ʊ n 'ɛ n s
stammen	²s t 'a m ɛ n
säffle	²s 'ɛ f l ɛ
titan	t ɪ t 'ɑː n
tryckta	²t r 'ʏ k t a
tvättade	²t v 'ɛ t a d ɛ
upphörde	²'ɵ p h øː d ɛ
utkanten	²'ʉː t k a n t ɛ n
vegetarianer	v ɛ ɡ ɛ t a r ɪ 'ɑː n ɛ r
verktygen	²v 'ɛ r k t yː ɡ ɛ n
vinkeln	²v 'ɪ ŋ k ɛ l n
äre	²'ɛː r ɛ
arbetsliv	²'a r b eː t s l iː v
bamse	²b 'a m s ɛ
biverkningar	²b 'iː v a r k n ɪ ŋ a r
blake	²b l 'ɑː k ɛ
blåmärken	²b l 'oː m a r k ɛ n
bokmässan	²b 'uː k m ɛ s a n
chuck	ɕ ɵ k
com	k ɔ m
dominans	d ʊ m ɪ n 'a n s
erbjudit	²'eː r b j ʉː d ɪ t
fattigare	²f 'a t ɪ ɡ a r ɛ
försenat	f œ ɕ ɛ n 'ɑː t
försörjer	f œ ɕ 'œ r j ɛ r
gissade	²j 'ɪ s a d ɛ
grip	ɡ r iː p
handikappade	²h 'a n d ɪ k a p a d ɛ
henderson	²h 'ɛ n d ɛ ɕ uː n
holmgren	²h 'ɔ l m ɡ r eː n
irriterade	ɪ r ɪ t 'eː r a d ɛ
jordbruket	²j 'uː d b r ʉː k ɛ t
kapaciteten	k a p a s ɪ t 'eː t ɛ n
knäppt	k n ɛ p t
kriminellt	k r ɪ m ɪ n 'ɛ l t
kukar	²k 'ʉː k a r
kärnkraften	²ɕ 'ɛː n k r a f t ɛ n
läppstift	²l 'ɛ p s t ɪ f t
meningsfullt	²m 'eː n ɪ ŋ s f ɵ l t
mystiskt	m 'ʏ s t ɪ s k t
network	²n 'eː t v ɔ r k
nollor	²n 'ɔ l ʊ r
näthat	²n 'ɛː t h ɑː t
nördar	²n 'øː d a r
ofarligt	²'uː f ɑː l ɪ k t
omedvetet	²'uː m eː d v eː t ɛ t
orättvisor	²'uː r ɛ t v iː s ʊ r
pigga	²p 'ɪ ɡ a
pojkvännen	²p 'ɔ j k v ɛ n ɛ n
prenumeration	p r ɛ n ɵ m ɛ r a ɧ 'uː n
producenter	p r ʊ d ɵ s 'ɛ n t ɛ r
programledaren	²p r ʊ ɡ r 'a m l eː d a r ɛ n
restriktioner	r ɛ s t r ɪ k ɧ 'uː n ɛ r
rosen	²r 'uː s ɛ n
sandström	²s 'a n d s t r œ m
skotten	²s k 'ɔ t ɛ n
sålts	s ɔ l t s
temperaturer	t ɛ m p ɛ r a t 'ʉː r ɛ r
um	ɵ m
utökad	²'ʉː t øː k a d
vardagliga	²v 'ɑː d ɑː ɡ l ɪ ɡ a
ag	ɑː ɡ
antaganden	²'a n t ɑː ɡ a n d ɛ n
avsikten	²'ɑː v s ɪ k t ɛ n
avsiktligt	²'ɑː v s ɪ k t l ɪ k t
boo	b uː
bostadsområden	²b 'uː s t ɑː d s ɔ m r oː d ɛ n
båtarna	²b 'oː t ɑː n a
dejtat	d ɛ j t 'ɑː t
demonstrationer	d ɛ m ɔ n s t r a ɧ 'uː n ɛ r
expressens	ɛ k s p r ɛ s 'ɛ n s
firande	²f 'iː r a n d ɛ
genetiskt	j ɛ n 'eː t ɪ s k t
godkände	²ɡ 'uː d ɕ ɛ n d ɛ
gräsmattan	²ɡ r 'ɛː s m a t a n
hackade	²h 'a k a d ɛ
hakar	²h 'ɑː k a r
holländska	²h 'ɔ l ɛ n d s k a
höhö	²h 'øː h øː
indianer	ɪ n d ɪ 'ɑː n ɛ r
jämförde	²j 'ɛ m f øː d ɛ
konstruktivt	k ɔ n s t r ɵ k t 'iː v t
kuddar	²k 'ɵ d a r
köparen	²ɕ 'øː p a r ɛ n
landstingen	²l 'a n d s t ɪ ŋ ɛ n
mottagningen	²m 'uː t ɑː ɡ n ɪ ŋ ɛ n
nedskärningar	²n 'eː d ɧ ɛː n ɪ ŋ a r
omgivande	²'ɔ m j iː v a n d ɛ
psykologisk	p s ʏ k ʊ l 'oː ɡ ɪ s k
renare	²r 'eː n a r ɛ
rättsliga	²r 'ɛ t s l ɪ ɡ a
sigge	²s 'ɪ ɡ ɛ
solnedgången	²s 'uː l n eː d ɡ ɔ ŋ ɛ n
torkade	²t 'ɔ r k a d ɛ
trappor	²t r 'a p ʊ r
troja	²t r 'ɔ j a
tumba	²t 'ɵ m b a
tveksamma	²t v 'eː k s a m a
utökade	²'ʉː t øː k a d ɛ
värderas	v a d 'eː r a s
våta	²v 'oː t a
återskapa	²'oː t ɛ ɕ k ɑː p a
övervåningen	²'øː v ɛ r v oː n ɪ ŋ ɛ n
anfallare	²'a n f a l a r ɛ
attackerad	a t a k 'eː r a d
avbryt	²'ɑː v b r yː t
avsikter	²'ɑː v s ɪ k t ɛ r
avslöjande	²'ɑː v s l œ j a n d ɛ
avstängning	²'ɑː v s t ɛ ŋ n ɪ ŋ
diplomatiska	d ɪ p l ʊ m 'ɑː t ɪ s k a
fabian	f a b ɪ 'ɑː n
folkvalda	²f 'ɔ l k v a l d a
förbättrad	f œ r b 'ɛ t r a d
försöken	f œ ɕ 'øː k ɛ n
girighet	²j 'iː r ɪ ɡ h eː t
gnesta	²ɡ n 'ɛ s t a
hastigt	²h 'a s t ɪ k t
hattar	²h 'a t a r
hemligheten	²h 'ɛ m l ɪ ɡ h eː t ɛ n
hipp	h ɪ p
hörd	h øː d
inbjudna	²'ɪ n b j ʉː d n a
incident	ɪ n s ɪ d 'ɛ n t
jonna	²j 'ɔ n a
knäckt	k n ɛ k t
krigen	²k r 'iː ɡ ɛ n
kvarts	k v a t ɕ
livslängd	²l 'ɪ f s l ɛ ŋ d
lotto	²l 'ɔ t ʊ
länkade	²l 'ɛ ŋ k a d ɛ
markerade	m a r k 'eː r a d ɛ
markering	m a r k 'eː r ɪ ŋ
måltider	²m 'oː l t iː d ɛ r
naturens	n a t ɵ r 'ɛ n s
nian	n ɪ 'ɑː n
orsakas	²'uː ɕ ɑː k a s
oskyldigt	²'uː ɧ ʏ l d ɪ k t
producerad	p r ʊ d ɵ s 'eː r a d
promenader	p r ʊ m ɛ n 'ɑː d ɛ r
påhittade	²p 'oː h ɪ t a d ɛ
påtryckningar	²p 'oː t r ʏ k n ɪ ŋ a r
rappare	²r 'a p a r ɛ
sjöberg	²ɧ 'øː b a r j
skildring	²ɧ 'ɪ l d r ɪ ŋ
skådespelerska	²s k 'oː d ɛ s p eː l ɛ ɕ k a
somalier	s ʊ m 'ɑː l ɪ ɛ r
sparkad	²s p 'a r k a d
straffad	²s t r 'a f a d
stödde	²s t 'œ d ɛ
sugar	²s 'ʉː ɡ a r
svagheter	²s v 'ɑː ɡ h eː t ɛ r
sören	²s 'øː r ɛ n
teddy	²t 'ɛ d ʏ
tillbringat	²t 'ɪ l b r ɪ ŋ a t
ubåtar	²'ʉː b oː t a r
uppmanade	²'ɵ p m ɑː n a d ɛ
uppnås	²'ɵ p n oː s
utsatthet	²'ʉː t s a t h eː t
utvald	²'ʉː t v a l d
vindkraftverk	²v 'ɪ n d k r a f t v a r k
återstående	²'oː t ɛ ɕ t oː ɛ n d ɛ
ögonbrynen	²'øː ɡ ɔ n b r yː n ɛ n
apparaten	a p a r 'ɑː t ɛ n
argumenten	a r ɡ ɵ m 'ɛ n t ɛ n
attityder	a t ɪ t 'yː d ɛ r
backade	²b 'a k a d ɛ
bortskämda	²b 'ɔ t ɧ ɛ m d a
bryt	b r yː t
buskar	²b 'ɵ s k a r
damn	d a m n
dramat	d r a m 'ɑː t
döm	d œ m
eländet	²'eː l ɛ n d ɛ t
erfarna	²'eː r f ɑː n a
frekvent	f r ɛ k v 'ɛ n t
hassan	²h 'a s a n
himmelen	²h 'ɪ m ɛ l ɛ n
informerad	ɪ n f ɔ r m 'eː r a d
inriktad	²'ɪ n r ɪ k t a d
jobbigare	²j 'ɔ b ɪ ɡ a r ɛ
jämförelsen	²j 'ɛ m f øː r ɛ l s ɛ n
kaniner	k a n 'iː n ɛ r
kineser	ɕ ɪ n 'eː s ɛ r
kistan	²ɕ 'ɪ s t a n
klaus	k l a ʊ s
kragen	²k r 'ɑː ɡ ɛ n
käkade	²ɕ 'ɛː k a d ɛ
kännetecknas	²ɕ 'ɛ n ɛ t ɛ k n a s
luxemburg	²l 'ɵ k s ɛ m b ɵ r j
mama	²m 'ɑː m a
mari	m a r 'iː
mobbing	²m 'ɔ b ɪ ŋ
motiverade	m ʊ t ɪ v 'eː r a d ɛ
observation	ɔ b s a r v a ɧ 'uː n
okunniga	²'uː k ɵ n ɪ ɡ a
pax	p a k s
placeringar	p l a s 'eː r ɪ ŋ a r
publicering	p ɵ b l ɪ s 'eː r ɪ ŋ
riktningar	²r 'ɪ k t n ɪ ŋ a r
semi	s ɛ m 'iː
skapligt	²s k 'ɑː p l ɪ k t
storstäder	²s t 'uː ɕ t ɛː d ɛ r
stressen	²s t r 'ɛ s ɛ n
sture	²s t 'ʉː r ɛ
ställningen	²s t 'ɛ l n ɪ ŋ ɛ n
tacksamt	²t 'a k s a m t
tillkommit	²t 'ɪ l k ɔ m ɪ t
träningspass	²t r 'ɛː n ɪ ŋ s p a s
uppbyggt	²'ɵ p b ʏ ɡ t
uppdateringen	²'ɵ p d a t eː r ɪ ŋ ɛ n
utspridda	²'ʉː t s p r ɪ d a
våldtagit	²v 'ɔ l d t ɑː ɡ ɪ t
årsdagen	²'oː ɕ d ɑː ɡ ɛ n
återgår	²'oː t ɛ r ɡ oː r
analytiker	a n a l 'yː t ɪ k ɛ r
ansvarsfullt	²'a n s v ɑː ɕ f ɵ l t
baksätet	²b 'ɑː k s ɛː t ɛ t
dammen	²d 'a m ɛ n
dimman	²d 'ɪ m a n
drabbad	²d r 'a b a d
fritz	f r ɪ t s
färden	²f 'ɛː d ɛ n
förpackningen	f œ r p 'a k n ɪ ŋ ɛ n
grunderna	²ɡ r 'ɵ n d ɛ n a
gömda	²j 'œ m d a
handlande	²h 'a n d l a n d ɛ
hembesök	²h 'ɛ m b ɛ s øː k
hårfärg	²h 'oː r f a r j
ideologiskt	ɪ d ɛ ʊ l 'oː ɡ ɪ s k t
jämställt	²j 'ɛ m s t ɛ l t
kladdkaka	²k l 'a d k ɑː k a
kommunistisk	k ɔ m ɵ n 'ɪ s t ɪ s k
komplikationer	k ɔ m p l ɪ k a ɧ 'uː n ɛ r
lättast	²l 'ɛ t a s t
matematiska	m a t ɛ m 'ɑː t ɪ s k a
mathilda	²m 'ɑː t h ɪ l d a
mittfältare	²m 'ɪ t f ɛ l t a r ɛ
mordbrand	²m 'uː d b r a n d
mångfalden	²m 'ɔ ŋ f a l d ɛ n
otrevligt	²'uː t r eː v l ɪ k t
parkerade	p a r k 'eː r a d ɛ
ping	p ɪ ŋ
redigering	r ɛ d ɪ ɧ 'eː r ɪ ŋ
seglade	²s 'eː ɡ l ɑː d ɛ
sjukaste	²ɧ 'ʉː k a s t ɛ
skriftliga	²s k r 'ɪ f t l ɪ ɡ a
slitit	²s l 'iː t ɪ t
stog	s t uː ɡ
studiebesök	²s t 'ʉː d j ɛ b ɛ s øː k
säkrade	²s 'ɛː k r a d ɛ
sängar	²s 'ɛ ŋ a r
trollen	²t r 'ɔ l ɛ n
tunt	t ɵ n t
tvättat	²t v 'ɛ t a t
twist	t v ɪ s t
uppföljaren	²'ɵ p f œ l j a r ɛ n
uppkommer	²'ɵ p k ɔ m ɛ r
upptaget	²'ɵ p t ɑː ɡ ɛ t
utfallet	²'ʉː t f a l ɛ t
utformad	²'ʉː t f ɔ r m a d
vapnen	²v 'ɑː p n ɛ n
åsikten	²'oː s ɪ k t ɛ n
åtgärdas	²'oː t j ɛː d a s
acceptans	a k s ɛ p t 'a n s
arbetarklassen	²'a r b eː t a r k l a s ɛ n
avslöjat	²'ɑː v s l œ j a t
besvärligt	b ɛ s v 'ɛː l ɪ k t
beteckning	b ɛ t 'ɛ k n ɪ ŋ
bilister	b ɪ l 'ɪ s t ɛ r
bostadshus	²b 'uː s t ɑː d s h ʉː s
brottsligt	²b r 'ɔ t s l ɪ k t
busch	b ɵ ɧ
driften	²d r 'ɪ f t ɛ n
est	ɛ s t
falls	f a l s
finlandssvenska	²f 'ɪ n l a n d s v ɛ n s k a
framförs	²f r 'a m f œ ɕ
framgången	²f r 'a m ɡ ɔ ŋ ɛ n
genomgår	²j 'eː n ɔ m ɡ oː r
gone	²ɡ 'uː n ɛ
implementera	ɪ m p l ɛ m ɛ n t 'eː r a
insatta	²'ɪ n s a t a
integrerad	ɪ n t ɛ ɡ r 'eː r a d
isabel	ɪ s 'ɑː b ɛ l
karolina	k a r ʊ l 'iː n a
klassens	k l a s 'ɛ n s
kommunikationer	k ɔ m ɵ n ɪ k a ɧ 'uː n ɛ r
laddare	²l 'a d a r ɛ
lagförslag	²l 'ɑː ɡ f œ ɕ l ɑː ɡ
lagras	²l 'ɑː ɡ r a s
loppis	²l 'ɔ p ɪ s
läroplanen	²l 'ɛː r ʊ p l ɑː n ɛ n
maximera	m a k s ɪ m 'eː r a
missförstår	²m 'ɪ s f œ ɕ t oː r
mödrar	²m 'øː d r a r
nov	n uː v
oroade	²'uː r uː a d ɛ
panda	²p 'a n d a
producenten	p r ʊ d ɵ s 'ɛ n t ɛ n
påtagligt	²p 'oː t ɑː ɡ l ɪ k t
realistiskt	r ɛ a l 'ɪ s t ɪ s k t
samtiden	²s 'a m t iː d ɛ n
sanktioner	s a ŋ k ɧ 'uː n ɛ r
sjöström	²ɧ 'øː s t r œ m
stressigt	²s t r 'ɛ s ɪ k t
tillsatt	²t 'ɪ l s a t
tjenare	²ɕ 'eː n a r ɛ
trovärdiga	²t r 'uː v ɛː d ɪ ɡ a
undvikas	²'ɵ n d v iː k a s
uppdelad	²'ɵ p d eː l a d
utmärker	²'ʉː t m a r k ɛ r
vellinge	²v 'ɛ l ɪ ŋ ɛ
välförtjänt	²v 'ɛː l f œ r ɕ ɛ n t
åmål	²'oː m oː l
överlycklig	²'øː v ɛ l ʏ k l ɪ ɡ
anställningar	²'a n s t ɛ l n ɪ ŋ a r
ari	a r 'iː
avklarad	²'ɑː v k l ɑː r a d
avskaffas	²'ɑː v s k a f a s
bosatta	²b 'uː s a t a
brandkåren	²b r 'a n d k oː r ɛ n
bränn	b r ɛ n
diket	d ɪ k 'eː t
flygning	²f l 'yː ɡ n ɪ ŋ
fredliga	²f r 'eː d l ɪ ɡ a
grillad	²ɡ r 'ɪ l a d
hammar	²h 'a m a r
identitetspolitik	²ɪ d ɛ n t ɪ t 'eː t s p ʊ l ɪ t iː k
illustrationer	ɪ l ɵ s t r a ɧ 'uː n ɛ r
ivrigt	²'iː v r ɪ k t
kraftfullt	²k r 'a f t f ɵ l t
kungsgatan	²k 'ɵ ŋ s ɡ ɑː t a n
listas	²l 'ɪ s t a s
lungor	²l 'ɵ ŋ ʊ r
marta	²m 'ɑː t a
märkas	²m 'ɛ r k a s
målas	²m 'oː l a s
nicklas	²n 'ɪ k l a s
omsättningen	²'ɔ m s ɛ t n ɪ ŋ ɛ n
påbörjades	²p 'oː b œ r j a d ɛ s
påbörjas	²p 'oː b œ r j a s
rasade	²r 'ɑː s a d ɛ
regelbundna	²r 'eː ɡ ɛ l b ɵ n d n a
simmade	²s 'ɪ m a d ɛ
slumpen	²s l 'ɵ m p ɛ n
spydde	²s p 'ʏ d ɛ
spårade	²s p 'oː r a d ɛ
styrd	s t yː d
svårast	²s v 'oː r a s t
sänd	s ɛ n d
tillägget	²t 'ɪ l ɛ ɡ ɛ t
träningsvärk	²t r 'ɛː n ɪ ŋ s v a r k
upphandlingar	²'ɵ p h a n d l ɪ ŋ a r
utgåvan	²'ʉː t ɡ oː v a n
utnyttjad	²'ʉː t n ʏ t j a d
utnyttjande	²'ʉː t n ʏ t j a n d ɛ
utrymmet	²'ʉː t r ʏ m ɛ t
utvisad	²'ʉː t v iː s a d
vitaminer	v ɪ t a m 'iː n ɛ r
väpnade	²v 'ɛː p n a d ɛ
ödmjukhet	²'øː d m j ʉː k h eː t
ös	øː s
ansvarsfull	²'a n s v ɑː ɕ f ɵ l
användbara	²'a n v ɛ n d b ɑː r a
apparater	a p a r 'ɑː t ɛ r
appliceras	a p l ɪ s 'eː r a s
avslutande	²'ɑː v s l ʉː t a n d ɛ
balen	²b 'ɑː l ɛ n
class	k l a s
domineras	d ʊ m ɪ n 'eː r a s
ersättningen	²'eː ɕ ɛ t n ɪ ŋ ɛ n
exponering	ɛ k s p ʊ n 'eː r ɪ ŋ
frysta	²f r 'ʏ s t a
förnedrande	f œ n 'eː d r a n d ɛ
förpackningar	f œ r p 'a k n ɪ ŋ a r
fötts	f œ t s
grundlagen	²ɡ r 'ɵ n d l ɑː ɡ ɛ n
hyresrätter	²h 'yː r ɛ s r ɛ t ɛ r
högtider	²h 'øː ɡ t iː d ɛ r
ilskan	²'ɪ l s k a n
införande	²'ɪ n f øː r a n d ɛ
kapitlet	k a p ɪ t l 'eː t
klasskamrater	²k l 'a s k a m r ɑː t ɛ r
komplimanger	k ɔ m p l ɪ m 'a ŋ ɛ r
korgen	²k 'ɔ r j ɛ n
kraftigare	²k r 'a f t ɪ ɡ a r ɛ
kulturhuset	²k ɵ l t 'ʉː r h ʉː s ɛ t
kungligt	²k 'ɵ ŋ l ɪ k t
laddas	²l 'a d a s
läxan	²l 'ɛ k s a n
massmedia	²m 'a s m eː d ɪ a
minskas	²m 'ɪ n s k a s
motioner	m ʊ t ɧ 'uː n ɛ r
motsätter	²m 'uː t s ɛ t ɛ r
motsättningar	²m 'uː t s ɛ t n ɪ ŋ a r
munkar	²m 'ɵ ŋ k a r
nästkommande	²n 'ɛ s t k ɔ m a n d ɛ
ocksa	²'ɔ k s a
papperslösa	²p 'a p ɛ ɕ l øː s ɛ r
plattformar	²p l 'a t f ɔ r m a r
påläst	²p 'oː l ɛ s t
rationella	r a t ɧ ʊ n 'ɛ l a
rebeller	r ɛ b 'ɛ l ɛ r
sakligt	²s 'ɑː k l ɪ k t
släcker	s l 'ɛ k ɛ r
stängning	²s t 'ɛ ŋ n ɪ ŋ
teknologin	t ɛ k n ʊ l ʊ ɡ 'iː n
tidskriften	²t 'iː d s k r ɪ f t ɛ n
tidsperiod	²t 'iː d s p ɛ r ɪ uː d
tillräckliga	²t 'ɪ l r ɛ k l ɪ ɡ a
ultra	²'ɵ l t r a
umgåtts	²'ɵ m ɡ ɔ t s
uppvärmningen	²'ɵ p v a r m n ɪ ŋ ɛ n
ursäkten	²'ʉː ɕ ɛ k t ɛ n
varumärken	²v 'ɑː r ɵ m a r k ɛ n
vista	²v 'ɪ s t a
ägodelar	²'ɛː ɡ ʊ d eː l a r
abel	'ɑː b ɛ l
act	a k t
ballonger	b a l 'ɔ ŋ ɛ r
bedrövligt	b ɛ d r 'øː v l ɪ k t
beskrivningar	b ɛ s k r 'iː v n ɪ ŋ a r
beviljas	b ɛ v 'ɪ l j a s
båstad	²b 'oː s t ɑː d
candy	k 'a n d ʏ
danskar	²d 'a n s k a r
debuten	d ɛ b 'ʉː t ɛ n
dokumentärer	d ʊ k ɵ m ɛ n t 'ɛː r ɛ r
drivna	²d r 'iː v n a
faktorn	²f 'a k t uː n
fejkade	²f 'ɛ j k a d ɛ
felaktigheter	²f 'eː l a k t ɪ ɡ h eː t ɛ r
flykten	²f l 'ʏ k t ɛ n
förflutet	f œ r f l 'ʉː t ɛ t
ideellt	ɪ d ɛ 'ɛ l t
invandrade	²'ɪ n v a n d r a d ɛ
jämställd	²j 'ɛ m s t ɛ l d
jättegärna	²j 'ɛ t ɛ j ɛː n a
kraftfulla	²k r 'a f t f ɵ l a
living	²l 'iː v ɪ ŋ
ludwig	²l 'ʉː d v ɪ ɡ
läckra	²l 'ɛ k r a
läckt	l ɛ k t
median	m ɛ d ɪ 'ɑː n
målgruppen	²m 'oː l ɡ r ɵ p ɛ n
official	ɔ f ɪ s ɪ 'ɑː l
omkom	²'ɔ m k ɔ m
org	ɔ r j
reglerad	r ɛ ɡ l 'eː r a d
rörliga	²r 'øː l ɪ ɡ a
slöjan	²s l 'œ j a n
snällare	²s n 'ɛ l a r ɛ
spänt	s p ɛ n t
sårade	²s 'oː r a d ɛ
tunnlar	²t 'ɵ n l a r
uppmanas	²'ɵ p m ɑː n a s
utnyttjat	²'ʉː t n ʏ t j a t
utrymmen	²'ʉː t r ʏ m ɛ n
valsedlar	²v 'ɑː l s eː d l a r
vitsen	²v 'ɪ t s ɛ n
välkommet	²v 'ɛː l k ɔ m ɛ t
våldtagna	²v 'ɔ l d t ɑː ɡ n a
webbplatsen	²v 'ɛ b p l a t s ɛ n
åtkomst	²'oː t k ɔ m s t
överviktiga	²'øː v ɛ r v ɪ k t ɪ ɡ a
anhållen	²'a n h ɔ l ɛ n
arméer	a r m 'eː ɛ r
bass	b a s
besatta	b ɛ s 'a t a
bevarade	b ɛ v 'ɑː r a d ɛ
borden	²b 'uː d ɛ n
bring	b r ɪ ŋ
dagligt	²d 'ɑː ɡ l ɪ k t
elefanter	ɛ l ɛ f 'a n t ɛ r
faror	²f 'ɑː r ʊ r
fis	f iː s
forest	f ʊ r 'ɛ s t
framkommer	²f r 'a m k ɔ m ɛ r
fördömer	f œ d 'œ m ɛ r
glädjas	²ɡ l 'ɛː d j a s
gonna	²ɡ 'ɔ n a
gubbarna	²ɡ 'ɵ b ɑː n a
hårdast	²h 'oː d a s t
