to	t ɔ
telefonát	c e ʎ e f ɔ n aː t
telocvične	c e l ɔ t͡s v i t͡ʃ ɲ e
teplých	c e p l iː x
textami	c e k s t a m i
theo	d ɦ e ɔ
topánkach	t ɔ p aː n k a x
torty	t ɔ r t i
travis	t r a v i s
trojuholníka	t r ɔ j u ɦ ɔ l ɲ iː k a
tyče	t i t͡ʃ e
tyčinky	t i t͡ʃ i n k i
udelili	u ɟ e ʎ i ʎ i
umelecky	u m e ʎ e t͡s k i
una	u n a
upjš	u p ʃ
uprednostňuje	u p r e d n ɔ s t ɲ u j e
urýchlene	u r iː x ʎ e ɲ e
ustanovuje	u s t a n ɔ v u j e
uzlov	u z l ɔ v
učebné	u t͡ʃ e b n eː
učením	u t͡ʃ e ɲ iː m
učíme	u t͡ʃ iː m e
va	v a
vadilo	v a ɟ i l ɔ
veľryby	v e ʎ r i b i
vietnamu	v ɪ̯ e t n a m u
vlnách	v l̩ n aː x
vrátený	v r aː c e n iː
vyjadrené	v i j a d r e n eː
vykonaní	v i k ɔ n a ɲ iː
vyskytovať	v i s k i t ɔ v a c
vyšetruje	v i ʃ e t r u j e
vínom	v iː n ɔ m
výlety	v iː ʎ e t i
výtvarný	v iː t v a r n iː
vývojárov	v iː v ɔ j aː r ɔ v
willy	v i lː i
wings	v i n k s
zabezpečilo	z a b e s p e t͡ʃ i l ɔ
založeného	z a l ɔ ʒ e n eː ɦ ɔ
zapracovať	z a p r a t͡s ɔ v a c
zatiaľčo	z a c ɪ̯ a ʎ t͡ʃ ɔ
zaujme	z a u j m e
zaujímavejšie	z a u j iː m a v e j ʃ ɪ̯ e
zaujímavú	z a u j iː m a v uː
zbavený	z b a v e n iː
zbierkou	z b ɪ̯ e r k ɔ v
zdobená	z d ɔ b e n aː
zemiakov	z e m ɪ̯ a k ɔ v
zmiznú	z m i z n uː
zoe	z ɔ e
záberov	z aː b e r ɔ v
záchranná	z aː x r a nː aː
záchranných	z aː x r a nː iː x
zálohe	z aː l ɔ ɦ e
záložný	z aː l ɔ ʒ n iː
záujemcov	z aː u j e m t͡s ɔ v
ázijské	aː z i j s k eː
údržby	uː d r̩ ʒ b i
úsilí	uː s i ʎ iː
úverov	uː v e r ɔ v
úzkosti	uː s k ɔ s c i
úzkosť	uː s k ɔ s c
členky	t͡ʃ ʎ e n k i
čítaní	t͡ʃ iː t a ɲ iː
ľahnúť	ʎ a ɦ n uː c
šachty	ʃ a x t i
šachu	ʃ a x u
škôd	ʃ k u̯ ɔ t
šokujúce	ʃ ɔ k u j uː t͡s e
špinu	ʃ p i n u
štítom	ʃ c iː t ɔ m
židovská	ʒ i d ɔ v s k aː
životnom	ʒ i v ɔ t n ɔ m
žánre	ʒ aː n r e
abraham	a b r a ɦ a m
akademické	a k a ɟ e m i t͡s k eː
akciou	a k t͡s i ɔ v
beriete	b e r ɪ̯ e c e
biologickej	b i ɔ l ɔ ɡ i t͡s k e j
brand	b r a n t
brent	b r e n t
briana	b r ɪ̯ a n a
buddy	b u dː i
budu	b u d u
budúca	b u d uː t͡s a
centrálnym	t͡s e n t r aː l n i m
chalanom	x a l a n ɔ m
citlivosti	t͡s i t ʎ i v ɔ s c i
citáty	t͡s i t aː t i
davy	d a v i
debutový	ɟ e b u t ɔ v iː
destiny	ɟ e s c i n i
diane	ɟ ɪ̯ a ɲ e
disponujú	ɟ i s p ɔ n u j uː
divadlom	ɟ i v a d l ɔ m
dneška	d ɲ e ʃ k a
dodávateľ	d ɔ d aː v a c e ʎ
domácou	d ɔ m aː t͡s ɔ v
dosiahneme	d ɔ s ɪ̯ a ɦ ɲ e m e
dozornej	d ɔ z ɔ r ɲ e j
duel	d u e l
dvierka	d v ɪ̯ e r k a
dátový	d aː t ɔ v iː
dátumy	d aː t u m i
edith	e ɟ i t
elektrickou	e l e k t r i t͡s k ɔ v
elity	e ʎ i t i
etapách	e t a p aː x
etáp	e t aː p
experimentu	e k s p e r i m e n t u
expozíciu	e k s p ɔ z iː t͡s i u
extreme	e k s t r e m e
fed	f e t
fine	f i ɲ e
formuláre	f ɔ r m u l aː r e
fotoaparátu	f ɔ t ɔ a p a r aː t u
generáciou	ɡ e n e r aː t͡s i ɔ v
génov	ɡ eː n ɔ v
has	ɦ a s
help	ɦ e l p
hitlera	ɦ i t ʎ e r a
horčíka	ɦ ɔ r t͡ʃ iː k a
hrobov	ɦ r ɔ b ɔ v
hromadne	ɦ r ɔ m a d ɲ e
hrávať	ɦ r aː v a c
hrôzy	ɦ r u̯ ɔ z i
hydraulické	ɦ i d r a u ʎ i t͡s k eː
ie	ɪ̯ e
indián	i n d i aː n
informovali	i n f ɔ r m ɔ v a ʎ i
injekcie	i ɲ ɪ̯ e k t͡s ɪ̯ e
jarnej	j a r ɲ e j
jednoduchými	j e d n ɔ d u x iː m i
jednoznačné	j e d n ɔ z n a t͡ʃ n eː
kaliber	k a ʎ i b e r
karte	k a r c e
katalógy	k a t a l ɔː ɡ i
katastrálneho	k a t a s t r aː l ɲ e ɦ ɔ
katy	k a t i
kefku	k e f k u
kirk	k i r k
klientovi	k ʎ ɪ̯ e n t ɔ v i
klubový	k l u b ɔ v iː
komentoval	k ɔ m e n t ɔ v a l
komentára	k ɔ m e n t aː r a
komét	k ɔ m eː t
kontaktom	k ɔ n t a k t ɔ m
konštrukčne	k ɔ n ʃ t r u k t͡ʃ ɲ e
kredit	k r e ɟ i t
krvavá	k r̩ v a v aː
kryštály	k r i ʃ t aː l i
krídle	k r iː d ʎ e
krčmy	k r̩ t͡ʃ m i
kultúrnou	k u l t uː r n ɔ v
liezť	ʎ ɪ̯ e s c
liečbou	ʎ ɪ̯ e d͡ʒ b ɔ v
liečebný	ʎ ɪ̯ e t͡ʃ e b n iː
linkách	ʎ i n k aː x
loptičky	l ɔ p c i t͡ʃ k i
maličkosti	m a ʎ i t͡ʃ k ɔ s c i
manažérka	m a n a ʒ eː r k a
mara	m a r a
matematiku	m a c e m a t i k u
maďarsky	m a ɟ a r s k i
mechanický	m e x a ɲ i t͡s k iː
miliónom	m i ʎ i ɔː n ɔ m
mill	m i lː
mišo	m i ʃ ɔ
modlite	m ɔ d ʎ i c e
mon	m ɔ n
morského	m ɔ r s k eː ɦ ɔ
moslimovia	m ɔ s ʎ i m ɔ v ɪ̯ a
mužská	m u ʃ s k aː
nabitý	n a b i t iː
nadanie	n a d a ɲ ɪ̯ e
nadovšetko	n a d ɔ v ʃ e t k ɔ
najmenších	n a j m e n ʃ iː x
najvýraznejšie	n a j v iː r a z ɲ e j ʃ ɪ̯ e
naraziť	n a r a z i c
nasadené	n a s a ɟ e n eː
nastavené	n a s t a v e n eː
nepovažuje	ɲ e p ɔ v a ʒ u j e
neskorší	ɲ e s k ɔ r ʃ iː
nestretli	ɲ e s t r e t ʎ i
nezvestných	ɲ e z v e s t n iː x
nečaká	ɲ e t͡ʃ a k aː
nečudujem	ɲ e t͡ʃ u d u j e m
nico	ɲ i t͡s ɔ
novinárom	n ɔ v i n aː r ɔ m
nočnom	n ɔ t͡ʃ n ɔ m
nudný	n u d n iː
náhodný	n aː ɦ ɔ d n iː
nátlak	n aː t l a k
núdzové	n uː d͡z ɔ v eː
obecná	ɔ b e t͡s n aː
obecných	ɔ b e t͡s n iː x
objavy	ɔ b j a v i
oblečením	ɔ b ʎ e t͡ʃ e ɲ iː m
odozvu	ɔ d ɔ z v u
odporom	ɔ t p ɔ r ɔ m
oecd	ɔ e t͡s t
okuliarmi	ɔ k u ʎ ɪ̯ a r m i
olivovým	ɔ ʎ i v ɔ v iː m
opráv	ɔ p r aː v
oprávnený	ɔ p r aː v ɲ e n iː
opticky	ɔ p c i t͡s k i
osadená	ɔ s a ɟ e n aː
oslavou	ɔ s l a v ɔ v
osobitná	ɔ s ɔ b i t n aː
ostrava	ɔ s t r a v a
osídlenie	ɔ s iː d ʎ e ɲ ɪ̯ e
ovládli	ɔ v l aː d ʎ i
oznam	ɔ z n a m
ošetrenie	ɔ ʃ e t r e ɲ ɪ̯ e
padnú	p a d n uː
pamiatke	p a m ɪ̯ a t k e
parádny	p a r aː d n i
perfect	p e r f e t͡s t
perfektnú	p e r f e k t n uː
pevnom	p e v n ɔ m
piknik	p i k ɲ i k
pilierov	p i ʎ ɪ̯ e r ɔ v
plesa	p ʎ e s a
pleti	p ʎ e c i
plánovaného	p l aː n ɔ v a n eː ɦ ɔ
pochovaná	p ɔ x ɔ v a n aː
poháňané	p ɔ ɦ aː ɲ a n eː
poliklinikou	p ɔ ʎ i k ʎ i ɲ i k ɔ v
položka	p ɔ l ɔ ʃ k a
popravený	p ɔ p r a v e n iː
popáleniny	p ɔ p aː ʎ e ɲ i n i
poradíme	p ɔ r a ɟ iː m e
porazila	p ɔ r a z i l a
postihnutie	p ɔ s c i ɦ n u c ɪ̯ e
považovala	p ɔ v a ʒ ɔ v a l a
poňatie	p ɔ ɲ a c ɪ̯ e
pošli	p ɔ ʃ ʎ i
pošlú	p ɔ ʃ l uː
poštové	p ɔ ʃ t ɔ v eː
praktická	p r a k c i t͡s k aː
praveku	p r a v e k u
prehru	p r e ɦ r u
prejavmi	p r e j a v m i
premietanie	p r e m ɪ̯ e t a ɲ ɪ̯ e
prepracovaný	p r e p r a t͡s ɔ v a n iː
presadili	p r e s a ɟ i ʎ i
preslávila	p r e s l aː v i l a
prevádzkových	p r e v aː t͡s k ɔ v iː x
prežitia	p r e ʒ i c ɪ̯ a
pridanie	p r i d a ɲ ɪ̯ e
pripojte	p r i p ɔ j c e
pripravujem	p r i p r a v u j e m
prisľúbil	p r i s ʎ uː b i l
programovania	p r ɔ ɡ r a m ɔ v a ɲ ɪ̯ a
prsteňa	p r̩ s c e ɲ a
prášky	p r aː ʃ k i
príslušná	p r iː s l u ʃ n aː
publikovanie	p u b ʎ i k ɔ v a ɲ ɪ̯ e
pustím	p u s c iː m
rasizmu	r a s i z m u
relácií	r e l aː t͡s i iː
reťazcov	r e c a s t͡s ɔ v
riadneho	r ɪ̯ a d ɲ e ɦ ɔ
rocku	r ɔ t͡s k u
romantická	r ɔ m a n c i t͡s k aː
rozlúčku	r ɔ z l uː t͡ʃ k u
rozmiestnenie	r ɔ z m ɪ̯ e s t ɲ e ɲ ɪ̯ e
rytiera	r i c ɪ̯ e r a
rástli	r aː s t ʎ i
rôznu	r u̯ ɔ z n u
scotta	s t͡s ɔ tː a
senátora	s e n aː t ɔ r a
serverov	s e r v e r ɔ v
skalách	s k a l aː x
slohu	s l ɔ ɦ u
slovanské	s l ɔ v a n s k eː
slávi	s l aː v i
smrt	s m r̩ t
snape	s n a p e
splnené	s p l̩ ɲ e n eː
spojenú	s p ɔ j e n uː
spojeným	s p ɔ j e n iː m
spolupracovala	s p ɔ l u p r a t͡s ɔ v a l a
spoluprácou	s p ɔ l u p r aː t͡s ɔ v
sporadicky	s p ɔ r a ɟ i t͡s k i
spoľahlivé	s p ɔ ʎ a ɦ ʎ i v eː
správam	s p r aː v a m
starostov	s t a r ɔ s t ɔ v
stiahne	s c ɪ̯ a ɦ ɲ e
stratíte	s t r a c iː c e
stredovekých	s t r e d ɔ v e k iː x
strávi	s t r aː v i
stvárnenie	s t v aː r ɲ e ɲ ɪ̯ e
sugar	s u ɡ a r
súdnom	s uː d n ɔ m
súčasní	s uː t͡ʃ a s ɲ iː
tade	t a ɟ e
takzvaných	t a k z v a n iː x
tancov	t a n t͡s ɔ v
tatranského	t a t r a n s k eː ɦ ɔ
tempe	c e m p e
tenkého	c e n k eː ɦ ɔ
teplom	c e p l ɔ m
torpéda	t ɔ r p eː d a
torres	t ɔ rː e s
trestnej	t r e s t ɲ e j
tropické	t r ɔ p i t͡s k eː
trvalým	t r̩ v a l iː m
tunelov	t u ɲ e l ɔ v
tvrdím	t v r̩ ɟ iː m
týždenníka	t iː ʒ ɟ e n ɲ iː k a
ubuntu	u b u n t u
ubytovacie	u b i t ɔ v a t͡s ɪ̯ e
ukazovatele	u k a z ɔ v a c e ʎ e
ukončí	u k ɔ n t͡ʃ iː
ukradol	u k r a d ɔ l
uložil	u l ɔ ʒ i l
upravili	u p r a v i ʎ i
určenú	u r t͡ʃ e n uː
uvoľnené	u v ɔ ʎ ɲ e n eː
uvoľnený	u v ɔ ʎ ɲ e n iː
uznané	u z n a n eː
uznaný	u z n a n iː
vankúše	v a n k uː ʃ e
varovania	v a r ɔ v a ɲ ɪ̯ a
ventilov	v e n c i l ɔ v
veríte	v e r iː c e
večnosti	v e t͡ʃ n ɔ s c i
veľkostí	v e ʎ k ɔ s c iː
vhodnú	v ɦ ɔ d n uː
vianočnú	v ɪ̯ a n ɔ t͡ʃ n uː
viditeľnosti	v i ɟ i c e ʎ n ɔ s c i
vista	v i s t a
vložili	v l ɔ ʒ i ʎ i
vracal	v r a t͡s a l
vranove	v r a n ɔ v e
vybraná	v i b r a n aː
vykonávaná	v i k ɔ n aː v a n aː
vymenovaný	v i m e n ɔ v a n iː
vyplývajú	v i p l iː v a j uː
vypracovaný	v i p r a t͡s ɔ v a n iː
vypínač	v i p iː n a t͡ʃ
vyrastajú	v i r a s t a j uː
vyskúšajte	v i s k uː ʃ a j c e
vytiahli	v i c ɪ̯ a ɦ ʎ i
využitý	v i u ʒ i t iː
vyvolá	v i v ɔ l aː
vyvrcholením	v i v r̩ x ɔ ʎ e ɲ iː m
vyžiadal	v i ʒ ɪ̯ a d a l
vzdelaním	v z ɟ e l a ɲ iː m
výborným	v iː b ɔ r n iː m
výhonky	v iː ɦ ɔ n k i
výživa	v iː ʒ i v a
všimnite	f ʃ i m ɲ i c e
wikipédii	v i k i p eː d i i
woman	v ɔ m a n
women	v ɔ m e n
zabudovaný	z a b u d ɔ v a n iː
zakladanie	z a k l a d a ɲ ɪ̯ e
zakázaná	z a k aː z a n aː
zanechala	z a ɲ e x a l a
zanikol	z a ɲ i k ɔ l
zaručene	z a r u t͡ʃ e ɲ e
zbaví	z b a v iː
zberu	z b e r u
zdieľa	z ɟ ɪ̯ e ʎ a
zdieľajú	z ɟ ɪ̯ e ʎ a j uː
zdolali	z d ɔ l a ʎ i
zhrnul	z ɦ r̩ n u l
zlepšenia	z ʎ e p ʃ e ɲ ɪ̯ a
zložila	z l ɔ ʒ i l a
zložili	z l ɔ ʒ i ʎ i
zmenšuje	z m e n ʃ u j e
zoskupení	z ɔ s k u p e ɲ iː
zostavený	z ɔ s t a v e n iː
zvanej	z v a ɲ e j
zvyknutí	z v i k n u c iː
zväze	z v æ z e
základnom	z aː k l a d n ɔ m
zápise	z aː p i s e
zástancom	z aː s t a n t͡s ɔ m
zástupkyňa	z aː s t u p k i ɲ a
získavania	z iː s k a v a ɲ ɪ̯ a
úkryt	uː k r i t
úplným	uː p l̩ n iː m
úprimnosť	uː p r i m n ɔ s c
úrodu	uː r ɔ d u
úžitkové	uː ʒ i t k ɔ v eː
černý	t͡ʃ e r n iː
českými	t͡ʃ e s k iː m i
členenie	t͡ʃ ʎ e ɲ e ɲ ɪ̯ e
čínou	t͡ʃ iː n ɔ v
ľudskosť	ʎ u t͡s k ɔ s c
ľútosť	ʎ uː t ɔ s c
šialený	ʃ ɪ̯ a ʎ e n iː
športovú	ʃ p ɔ r t ɔ v uː
športovým	ʃ p ɔ r t ɔ v iː m
štatútu	ʃ t a t uː t u
šťastnejší	ʃ c a s t ɲ e j ʃ iː
žiadnemu	ʒ ɪ̯ a d ɲ e m u
žiakmi	ʒ ɪ̯ a k m i
žilách	ʒ i l aː x
živia	ʒ i v ɪ̯ a
živočíšne	ʒ i v ɔ t͡ʃ iː ʃ ɲ e
af	a f
aktívni	a k c iː v ɲ i
april	a p r i l
automobilových	a u t ɔ m ɔ b i l ɔ v iː x
bardejova	b a r ɟ e j ɔ v a
batožina	b a t ɔ ʒ i n a
becker	b e t͡s k e r
blaha	b l a ɦ a
bowling	b ɔ v ʎ i n k
bočnými	b ɔ t͡ʃ n iː m i
burke	b u r k e
celosvetovej	t͡s e l ɔ s v e t ɔ v e j
chodbu	x ɔ d b u
chrámy	x r aː m i
chuťou	x u c ɔ v
chémiu	x eː m i u
cudzím	t͡s u d͡z iː m
cykly	t͡s i k l i
databáz	d a t a b aː s
desivé	ɟ e s i v eː
dielní	ɟ ɪ̯ e l ɲ iː
docela	d ɔ t͡s e l a
dokladov	d ɔ k l a d ɔ v
dokonalú	d ɔ k ɔ n a l uː
dokumentuje	d ɔ k u m e n t u j e
dopady	d ɔ p a d i
dostupnosti	d ɔ s t u p n ɔ s c i
drevenými	d r e v e n iː m i
drsný	d r̩ s n iː
drvivá	d r̩ v i v aː
duševnej	d u ʃ e v ɲ e j
dvojitá	d v ɔ j i t aː
dávok	d aː v ɔ k
dôležitého	d u̯ ɔ ʎ e ʒ i t eː ɦ ɔ
ec	e t͡s
evy	e v i
expedíciu	e k s p e ɟ iː t͡s i u
farebnej	f a r e b ɲ e j
farmu	f a r m u
fe	f e
fit	f i t
fotografi	f ɔ t ɔ ɡ r a f i
future	f u t u r e
grafike	ɡ r a f i k e
granáty	ɡ r a n aː t i
hai	ɦ a i
hands	ɦ a n t͡s
hlbokú	ɦ ɫ̩ b ɔ k uː
hodne	ɦ ɔ d ɲ e
hokejista	ɦ ɔ k e j i s t a
horní	ɦ ɔ r ɲ iː
horúco	ɦ ɔ r uː t͡s ɔ
imunity	i m u ɲ i t i
integrovaného	i n t e ɡ r ɔ v a n eː ɦ ɔ
inštitúte	i n ʃ c i t uː c e
jazykového	j a z i k ɔ v eː ɦ ɔ
jedi	j e ɟ i
jima	j i m a
julien	j u ʎ ɪ̯ e n
kanón	k a n ɔː n
karma	k a r m a
koeficient	k ɔ e f i t͡s ɪ̯ e n t
komerčnej	k ɔ m e r t͡ʃ ɲ e j
konečných	k ɔ ɲ e t͡ʃ n iː x
konto	k ɔ n t ɔ
kontrolný	k ɔ n t r ɔ l n iː
konzola	k ɔ n z ɔ l a
korporácie	k ɔ r p ɔ r aː t͡s i̯ ɛ
koľají	k ɔ ʎ a j iː
krvných	k r̩ v n iː x
kĺbu	k l̩ː b u
kľúčovou	k ʎ uː t͡ʃ ɔ v ɔ v
lekáreň	ʎ e k aː r e ɲ
limited	ʎ i m i c e t
living	ʎ i v i n k
logická	l ɔ ɡ i t͡s k aː
luigi	l u i ɡ i
manažérov	m a n a ʒ eː r ɔ v
marvel	m a r v e l
maslom	m a s l ɔ m
materských	m a c e r s k iː x
milovaní	m i l ɔ v a ɲ iː
minula	m i n u l a
mira	m i r a
mobilného	m ɔ b i l n eː ɦ ɔ
morálku	m ɔ r aː l k u
moču	m ɔ t͡ʃ u
mudrcov	m u d r̩ t͡s ɔ v
nahradený	n a ɦ r a ɟ e n iː
najznámejšia	n a j z n aː m e j ʃ ɪ̯ a
narodením	n a r ɔ ɟ e ɲ iː m
navštevujú	n a v ʃ c e v u j uː
nehôd	ɲ e ɦ u̯ ɔ t
nemať	ɲ e m a c
neobsahujú	ɲ e ɔ p s a ɦ u j uː
nepoznala	ɲ e p ɔ z n a l a
neprítomnosť	ɲ e p r iː t ɔ m n ɔ s c
nepustí	ɲ e p u s c iː
neschopnosti	ɲ e s x ɔ p n ɔ s c i
nesprávnej	ɲ e s p r aː v ɲ e j
netrvá	ɲ e t r̩ v aː
neverili	ɲ e v e r i ʎ i
nečakali	ɲ e t͡ʃ a k a ʎ i
neďalekom	ɲ e ɟ a ʎ e k ɔ m
nicolas	ɲ i t͡s ɔ l a s
náboženskú	n aː b ɔ ʒ e n s k uː
náprava	n aː p r a v a
návštevou	n aː v ʃ c e v ɔ v
nútia	n uː c ɪ̯ a
objednávka	ɔ b j e d n aː v k a
ochranných	ɔ x r a nː iː x
odborníkom	ɔ d b ɔ r ɲ iː k ɔ m
odolnosti	ɔ d ɔ l n ɔ s c i
odovzdaný	ɔ d ɔ v z d a n iː
odpadky	ɔ t p a t k i
odvolaní	ɔ d v ɔ l a ɲ iː
okrasné	ɔ k r a s n eː
okresnej	ɔ k r e s ɲ e j
opakujú	ɔ p a k u j uː
operátora	ɔ p e r aː t ɔ r a
oporou	ɔ p ɔ r ɔ v
optika	ɔ p t i k a
opätovnom	ɔ p æ t ɔ v n ɔ m
orientačné	ɔ r ɪ̯ e n t a t͡ʃ n eː
orientovať	ɔ r ɪ̯ e n t ɔ v a c
orientáciou	ɔ r ɪ̯ e n t aː t͡s i ɔ v
oskar	ɔ s k a r
osobitným	ɔ s ɔ b i t n iː m
otáča	ɔ t aː t͡ʃ a
očakávaný	ɔ t͡ʃ a k aː v a n iː
pack	p a t͡s k
pankreasu	p a n k r e a s u
pančuchy	p a n t͡ʃ u x i
parc	p a r t͡s
parlamentné	p a r l a m e n t n eː
pasáž	p a s aː ʃ
pedagogický	p e d a ɡ ɔ ɡ i t͡s k iː
pestré	p e s t r eː
platní	p l a t ɲ iː
plavidlo	p l a v i d l ɔ
plače	p l a t͡ʃ e
plechu	p ʎ e x u
plnení	p l̩ ɲ e ɲ iː
poctivo	p ɔ t͡s c i v ɔ
podpísané	p ɔ t p iː s a n eː
pohonné	p ɔ ɦ ɔ nː eː
pohyboval	p ɔ ɦ i b ɔ v a l
pokazí	p ɔ k a z iː
pomenovať	p ɔ m e n ɔ v a c
ponúkal	p ɔ n uː k a l
postaráme	p ɔ s t a r aː m e
postupnosť	p ɔ s t u p n ɔ s c
potrava	p ɔ t r a v a
povediac	p ɔ v e ɟ ɪ̯ a t͡s
poverená	p ɔ v e r e n aː
pozdravujem	p ɔ z d r a v u j e m
počítal	p ɔ t͡ʃ iː t a l
počítačového	p ɔ t͡ʃ iː t a t͡ʃ ɔ v eː ɦ ɔ
poštová	p ɔ ʃ t ɔ v aː
pracovníka	p r a t͡s ɔ v ɲ iː k a
predavač	p r e d a v a t͡ʃ
predchádzalo	p r e t x aː d͡z a l ɔ
premenila	p r e m e ɲ i l a
prepojiť	p r e p ɔ j i c
preraziť	p r e r a z i c
presunu	p r e s u n u
prevažujú	p r e v a ʒ u j uː
prevedenia	p r e v e ɟ e ɲ ɪ̯ a
prevrat	p r e v r a t
prezrite	p r e z r i c e
priaznivo	p r ɪ̯ a z ɲ i v ɔ
pridaj	p r i d a j
pridáte	p r i d aː c e
priestormi	p r ɪ̯ e s t ɔ r m i
primárnym	p r i m aː r n i m
princeznou	p r i n t͡s e z n ɔ v
prinútila	p r i n uː c i l a
prirodzenosti	p r i r ɔ d͡z e n ɔ s c i
prispievajú	p r i s p ɪ̯ e v a j uː
private	p r i v a c e
progres	p r ɔ ɡ r e s
pruhu	p r u ɦ u
príležitostné	p r iː ʎ e ʒ i t ɔ s t n eː
príslušným	p r iː s l u ʃ n iː m
puding	p u ɟ i n k
pyramída	p i r a m iː d a
páky	p aː k i
párom	p aː r ɔ m
repertoár	r e p e r t ɔ aː r
reprezentoval	r e p r e z e n t ɔ v a l
retro	r e t r ɔ
reálnu	r e aː l n u
rečí	r e t͡ʃ iː
robote	r ɔ b ɔ c e
romantickej	r ɔ m a n c i t͡s k e j
rozdelil	r ɔ z ɟ e ʎ i l
rozhlasových	r ɔ z ɦ l a s ɔ v iː x
rozhodujúcim	r ɔ z ɦ ɔ d u j uː t͡s i m
rozlúčka	r ɔ z l uː t͡ʃ k a
rozmerom	r ɔ z m e r ɔ m
rozprávku	r ɔ s p r aː v k u
ročným	r ɔ t͡ʃ n iː m
rp	r̩ p
rtg	r̩ t k
ruskí	r u s k iː
ráta	r aː t a
sadne	s a d ɲ e
schválilo	s x v aː ʎ i l ɔ
sestričky	s e s t r i t͡ʃ k i
shepard	ʃ e p a r t
sivé	s i v eː
skladať	s k l a d a c
skladbou	s k l a d b ɔ v
skúmali	s k uː m a ʎ i
skúšobnej	s k uː ʃ ɔ b ɲ e j
skúšobné	s k uː ʃ ɔ b n eː
slovinska	s l ɔ v i n s k a
snehová	s ɲ e ɦ ɔ v aː
spiši	s p i ʃ i
spišského	s p i ʃ s k eː ɦ ɔ
spomínate	s p ɔ m iː n a c e
spoveď	s p ɔ v e c
spád	s p aː t
stanovy	s t a n ɔ v i
stálym	s t aː l i m
stúpať	s t uː p a c
substrát	s u p s t r aː t
svadobnú	s v a d ɔ b n uː
symbolický	s i m b ɔ ʎ i t͡s k iː
syndrómu	s i n d r ɔː m u
synonymom	s i n ɔ n i m ɔ m
taktické	t a k c i t͡s k eː
taktovkou	t a k t ɔ v k ɔ v
tanku	t a n k u
tatranských	t a t r a n s k iː x
tepelných	c e p e l n iː x
tereza	c e r e z a
toxické	t ɔ k s i t͡s k eː
trenčianska	t r e n t͡ʃ ɪ̯ a n s k a
trhliny	t r̩ ɦ ʎ i n i
trhové	t r̩ ɦ ɔ v eː
triedach	t r ɪ̯ e d a x
trénuje	t r eː n u j e
turnajom	t u r n a j ɔ m
tvojmu	t v ɔ j m u
tvorilo	t v ɔ r i l ɔ
tvorivý	t v ɔ r i v iː
tvory	t v ɔ r i
typickými	t i p i t͡s k iː m i
týkali	t iː k a ʎ i
uchováva	u x ɔ v aː v a
uličke	u ʎ i t͡ʃ k e
uniformy	u ɲ i f ɔ r m i
universal	u ɲ i v e r s a l
upratovanie	u p r a t ɔ v a ɲ ɪ̯ e
usporiadal	u s p ɔ r ɪ̯ a d a l
uľahčuje	u ʎ a x t͡ʃ u j e
užil	u ʒ i l
varšavskej	v a r ʃ a v s k e j
vedeniu	v e ɟ e ɲ ɪ̯ u
verzus	v e r z u s
vinci	v i n t͡s i
vitamíny	v i t a m iː n i
vizuálny	v i z u aː l n i
vonkajšími	v ɔ n k a j ʃ iː m i
vstupov	f s t u p ɔ v
vybudovala	v i b u d ɔ v a l a
vymazané	v i m a z a n eː
vymenovanie	v i m e n ɔ v a ɲ ɪ̯ e
vymýšľať	v i m iː ʃ ʎ a c
vypracovať	v i p r a t͡s ɔ v a c
vyslúžil	v i s l uː ʒ i l
vyčítať	v i t͡ʃ iː t a c
vyšetriť	v i ʃ e t r i c
vzdialenej	v z ɟ ɪ̯ a ʎ e ɲ e j
väznici	v æ z ɲ i t͡s i
väčšmi	v æ t͡ʃː m i
vítame	v iː t a m e
východnú	v iː x ɔ d n uː
výrazov	v iː r a z ɔ v
výtvarná	v iː t v a r n aː
výškové	v iː ʃ k ɔ v eː
xavier	k s a v ɪ̯ e r
zach	z a x
zahŕňať	z a ɦ r̩ː ɲ a c
založenú	z a l ɔ ʒ e n uː
zaujímala	z a u j iː m a l a
zavolala	z a v ɔ l a l a
zdravotne	z d r a v ɔ t ɲ e
zdržať	z d r̩ ʒ a c
zdôraznil	z d u̯ ɔ r a z ɲ i l
zisťovanie	z i s c ɔ v a ɲ ɪ̯ e
zjavné	z j a v n eː
zlosť	z l ɔ s c
zmenky	z m e n k i
zmiešaný	z m ɪ̯ e ʃ a n iː
znejú	z ɲ e j uː
známok	z n aː m ɔ k
zobudila	z ɔ b u ɟ i l a
zvieratách	z v ɪ̯ e r a t aː x
zvyknem	z v i k ɲ e m
zväzkov	z v æ s k ɔ v
záhadou	z aː ɦ a d ɔ v
zástavu	z aː s t a v u
zásuvky	z aː s u v k i
ústavných	uː s t a v n iː x
ústrednej	uː s t r e d ɲ e j
čarodejník	t͡ʃ a r ɔ ɟ e j ɲ iː k
červenými	t͡ʃ e r v e n iː m i
čiapku	t͡ʃ ɪ̯ a p k u
čistých	t͡ʃ i s t iː x
čistým	t͡ʃ i s t iː m
ľutujem	ʎ u t u j e m
ľúbim	ʎ uː b i m
škodlivé	ʃ k ɔ d ʎ i v eː
študijnom	ʃ t u ɟ i j n ɔ m
švédskej	ʃ v eː t͡s k e j
šľachty	ʃ ʎ a x t i
živiny	ʒ i v i n i
životne	ʒ i v ɔ t ɲ e
abu	a b u
akustické	a k u s c i t͡s k eː
alexa	a ʎ e k s a
amsterdam	a m s c e r d a m
animovaný	a ɲ i m ɔ v a n iː
any	a n i
