אבל	a v a l
חפשו	χ a f ʃ u
טבעיות	t a v a j u t
ידאג	j a d a ɡ
ידנית	j a d a n i t
כהנים	k a h a n i m
כחברה	k a χ b a ʁ a
כשעה	k a ʃ a
כשרים	k a ʃ a ʁ i m
לגדר	l i ɡ d e ʁ
לדף	l a d a f
לדקה	l a d a k a
להמיר	l e h a m i ʁ
להתגונן	l e h i t ɡ o n a n
לידע	l i d a
ליועץ	l i j u a t͡s
ליער	l i a ʁ
לקוי	l a k u j
לשאלת	l i ʃ a l e t
לשוויון	l i ʃ v i j o n
לשליטה	l i ʃ l i t a
מלכודת	m a l χ u d e t
מרתה	m a ʁ t a
משלימים	m i ʃ l i m i m
מתגוררים	m i t ɡ o ʁ a ʁ i m
מתרחשים	m i t ʁ a χ ʃ i m
נבחרה	n i v χ a ʁ a
ניסוח	n i s u a χ
נמדד	n i m d e d
נתגלה	n i t ɡ a l a
סמוי	s a m u j
ספה	s a f a
עימה	i m a
עצירה	a t͡s i ʁ a
פט	p a t
פלורידה	p l u ʁ i d a
קביעה	k a v i a
קדושת	k a d u ʃ e t
קופים	k o f i m
קוצר	k o t͡s a ʁ
קייטי	k a j a t i
קלרה	k a l a ʁ a
רוזה	ʁ o z a
שאחראי	ʃ e a χ ʁ a j
שגויה	ʃ ɡ u j a
שוטה	ʃ o t a
שורשי	ʃ o ʁ ʃ i
שמסביב	ʃ i m s b i v
שעיקר	ʃ e i k e ʁ
ששוב	ʃ a ʃ u v
תהנו	t a h a n u
תקיפת	t k i f e t
תקציבים	t a k t͡s i v i m
an	a n
so	s o
אאוט	a u t
אלבומים	a l b u m i m
אמנה	a m a n a
אפלטון	a f l a t o n
ארצנו	a ʁ t͡s a n u
אשלי	a ʃ l i
בגני	b a ɡ a n i
בודקת	b o d e k e t
בכושר	b e χ u ʃ e ʁ
במצעד	b i m t͡s a d
בקיבוצים	b e k i b u t͡s i m
ברט	b a ʁ a t
בתוצאות	b e t u t͡s a u t
גזים	ɡ a z i m
גלגלי	ɡ a l ɡ a l i
דוק	d o k
דיזל	d i z e l
דרק	d a ʁ a k
האמירה	h e e m i ʁ a
האפשריים	h e e f ʃ a ʁ a j i m
הזיהום	h i z j a h u m
הטוענים	h i t u a n i m
היווה	h i v a
היומיום	h i j u m j u m
הישירה	h i ʃ i ʁ a
המדור	h i m d u ʁ
המעקב	h i m a k e v
המקל	h i m k e l
המשרתים	h i m ʃ a ʁ t i m
הנחתי	h i n χ a t i
הנסיעות	h i n s i u t
הנשמות	h i n ʃ a m u t
הספקתי	h i s p e k t i
העשויים	e e ʃ u j i m
הקריטריונים	h i k ʁ i t a ʁ j o n i m
השבר	h i ʃ b e ʁ
השמינית	h i ʃ m i n i t
השקפה	h i ʃ k a f a
השתמשה	h i ʃ t a m ʃ a
התפילות	h i t p i l u t
ויל	v i l
ומבין	v i m b i n
ומתמיד	v i m t a m i d
ושתיים	v i ʃ t a j i m
ותמונות	v i t m o n u t
חורש	χ o ʁ e ʃ
חיפושים	χ i p u ʃ i m
טבק	t a v a k
טורי	t o ʁ i
טכניקה	t e χ n i k a
טנק	t a n a k
טרה	t a ʁ a
יבשות	j a v ʃ u t
ידיה	j a d j a
יוזמת	j o z e m e t
ילדותי	j a l d u t i
יס	j a s
יעבדו	j a a v d u
יקבע	j a k b a
לבא	l a v a
להחיות	l e h a χ j u t
להירשם	l e h i ʁ ʃ e m
לטענה	l i t a n a
לכרות	l i χ ʁ u t
למסורת	l i m s o ʁ e t
לסחוט	l i s χ u t
לשחות	l i ʃ χ u t
מאש	m a a ʃ
מחדר	m a χ d a ʁ
מירוץ	m i ʁ u t͡s
ממול	m a m u l
מסלולים	m a s l u l i m
מסמן	m a s m a n
נכנסנו	n i χ n a s a n u
נשמעים	n i ʃ m a i m
סיווג	s i v e ɡ
סיסי	s i s i
עזבי	a z a v i
עימם	i m e m
עליונות	a l j o n u t
עשייה	a ʃ i j a
פונו	p o n u
פוסל	p o s e l
פיק	p i k
פריס	p ʁ i s
פרשו	p a ʁ ʃ u
צורף	t͡s o ʁ e f
צלילים	t͡s a l i l i m
קיט	k i t
רודפים	ʁ o d e f i m
רותי	ʁ o t i
רפואת	ʁ a f u a t
שמפניה	ʃ i m p a n j a
שמצאו	ʃ i m t͡s a u
שמתחת	ʃ i m t a χ e t
שנדע	ʃ i n d a
שנהרגו	ʃ i n h a ʁ ɡ o
תומפסון	t o m p a s o n
תורן	t o ʁ a n
תמרים	t a m ʁ i m
תסמינים	t a s m i n i m
en	e n
et	e t
אוון	a v a n
אוריה	o ʁ j a
אחרינו	a χ ʁ i n u
איכותית	i χ u t i t
אלופים	a l u f i m
אסירי	a s i ʁ i
באיטיות	b e i t j u t
בגרון	b a ɡ ʁ o n
ביניכם	b i n i χ e m
ביעילות	b i i l u t
בלם	b a l a m
במילואים	b e m i l u i m
גורי	ɡ o ʁ i
גלן	ɡ a l a n
גרי	ɡ a ʁ i
דימום	d i m u m
האוסקר	h e o s k a ʁ
האכיפה	h e e χ i f a
האפשריות	h e e f ʃ a ʁ j u t
הבגד	h i v ɡ e d
הבנוי	h i v n u j
הברך	h i v ʁ e χ
הגדיר	h i ɡ d i ʁ
הודי	h o d i
הועברה	h o e v a ʁ a
הופמן	h o f m a n
הותקף	h o t k e f
הטיסות	h i t i s u t
הלה	h a l a
הלסת	h i l s e t
המסוק	h i m s o k
המסרים	h i m s a ʁ i m
המתוק	h i m t u k
הנפוץ	h i n p u t͡s
העריכה	e e ʁ i χ a
הצדיקים	h i t͡s d i k i m
הצפיפות	h i t͡s p i f u t
הקיבה	h i k i v a
הריב	h a ʁ i v
הרם	h a ʁ a m
השישית	h i ʃ i ʃ i t
השמיעה	h i ʃ m i a
התקין	h i t k i n
והולכים	v e h o l χ i m
ולה	v a l a
ומחוצה	v i m χ u t͡s a
ושירים	v e ʃ i ʁ i m
ושניים	v i ʃ n a j i m
זקני	z a k a n i
חגיגת	χ a ɡ i ɡ e t
חידה	χ i d a
חליפה	χ a l i f a
חרבות	χ a ʁ b u t
טבעו	t a v a u
טיב	t i v
יותם	j o t e m
כמורה	k a m u ʁ a
כמקובל	k a m k o v e l
כשלון	k a ʃ l o n
להיעלם	l e h i a l e m
לוגו	l o ɡ o
לינק	l i n e k
לכעוס	l i χ o s
למחלות	l i m χ a l u t
לשמח	l i ʃ m e a χ
מאתמול	m e a t m u l
מבטחים	m i v t a χ i m
מזעזע	m i z a z a
מסטיק	m a s t i k
משאלות	m i ʃ a l u t
מתון	m a t o n
נאוה	n a a v a
נובעים	n o v a i m
ניכנס	n i χ n e s
נפלתי	n i f l a t i
סבו	s a v u
סצנה	s a t͡s a n a
עגולה	a ɡ u l a
עדת	a d a t
ענבר	a n b a ʁ
עניינו	a n j a n u
פוסקים	p o s k i m
פורטל	p o ʁ t e l
צועקים	t͡s o a k i m
צמודים	t͡s a m u d i m
קולם	k o l a m
קופי	k o f i
קיד	k i d
קראי	k a ʁ a j
רופין	ʁ o f i n
שאחר	ʃ e a χ a ʁ
שאחת	ʃ e a χ a t
שבאתי	ʃ a v a t i
שביום	ʃ a v j u m
שגילה	ʃ ɡ i l a
שהייה	ʃ a h i j a
שחלה	ʃ a χ l a
שיכורה	ʃ i χ u ʁ a
שיק	ʃ i k
שמגיעה	ʃ i m ɡ i a
שמחות	ʃ i m χ u t
שנתנה	ʃ i n t a n a
שקטים	ʃ a k t i m
תאילנד	t e i l a n d
תוצאת	t o t͡s a t
תחליט	t a χ l i t
hebrew	h e b r e w
top	t o p
אבנרי	a v n a ʁ i
אופיינית	o f j a n i t
אוריאל	o ʁ i e l
אמזון	a m z o n
אנדרה	a n d a ʁ a
אתני	a t a n i
באישה	b e i ʃ a
בידם	b i d e m
בימין	b i m i n
בלגי	b a l a ɡ i
ברון	b a ʁ o n
בריטני	b ʁ i t a n i
ברקאי	b a ʁ k a j
דורית	d o ʁ i t
האלמנה	h e e l m a n a
הבדיחה	h i v d i χ a
הגאונים	h i ɡ o n i m
הדוב	h a d u v
הדפים	h i d f i m
הדרג	h i d ʁ e ɡ
הוזכר	h o z k a ʁ
הושלם	h o ʃ l a m
הטירה	h i t i ʁ a
המכילים	h i m k i l i m
המראות	h i m ʁ a u t
הנאשמים	h i n a ʃ e m i m
הנגינה	h i n ɡ i n a
הנתיב	h i n t i v
העמוקה	e e m u k a
הפגישות	h i f ɡ i ʃ u t
הצחוק	h i t͡s χ o k
הקדם	h i k d e m
הרגשי	h i ʁ ɡ e ʃ i
השקל	h i ʃ k e l
התחמושת	h i t χ a m u ʃ e t
וידוי	v i d u j
וילך	v i l e χ
וסיים	v a s a j i m
וסיפר	v e s i p e ʁ
ור	v a ʁ
חביבי	χ a v i v i
חותמת	χ o t e m e t
חטאתי	χ a t a t i
טאו	t a u
טלי	t a l i
ידידותי	j a d i d u t i
יחליט	j a χ l i t
כעשרים	k a a ʃ a ʁ i m
לדבריה	l i d b a ʁ j a
לחבק	l a χ b a k
לימדה	l i m d a
למענך	l i m a n e χ
למצוץ	l i m t͡s u t͡s
לפח	l a f a χ
לשפת	l i ʃ p e t
לשקם	l i ʃ k e m
מחליפה	m a χ l i f a
מפר	m a f a ʁ
משברים	m i ʃ b a ʁ i m
מתעקש	m i t a k e ʃ
מתקשים	m i t k a ʃ i m
נשלט	n i ʃ l a t
נשען	n i ʃ a n
סובלנות	s o v l a n u t
סודיות	s o d j u t
סיבובים	s i b u v i m
סלק	s a l a k
סרטוני	s a ʁ t o n i
עלבון	a l b o n
עקבי	a k a v i
פאי	p a i
פסי	p a s i
פרוע	p a ʁ u a
פרל	p a ʁ a l
פרפר	p a ʁ p a ʁ
פשוטו	p ʃ u t u
קינוח	k i n u a χ
קריטית	k ʁ i t i t
קריטריונים	k ʁ i t a ʁ j o n i m
רובע	ʁ o v a
רווקים	ʁ a v a k i m
רכיב	ʁ e χ i v
רכיבים	ʁ e χ i v i m
שהות	ʃ a h u t
שושלת	ʃ o ʃ e l e t
שיגיעו	ʃ i ɡ i u
שישנם	ʃ i ʃ n a m
שלוקח	ʃ a l u k a χ
שלש	ʃ a l a ʃ
שפתח	ʃ a f t a χ
תהום	t a h u m
תואמת	t o e m e t
תרמה	t a ʁ m a
תשמח	t i ʃ m e a χ
תשנה	t i ʃ n a
aviv	a v i v
web	w e b
אהבתם	a h a v t e m
אוהבי	o h a v i
איפשהו	i p ʃ a h u
אלמנה	a l m a n a
אמני	a m a n i
אנונימי	a n o n i m i
אציל	a t͡s i l
ארכה	a ʁ χ a
בולשיט	b u l ʃ i t
בינלאומיות	b i n l a u m j u t
בלוד	b a l u d
בלעדייך	b a l a d a j i χ
במדיה	b e m e d j a
ברד	b a ʁ a d
ברזילי	b a ʁ z i l i
גירסה	ɡ i ʁ s a
גישת	ɡ i ʃ e t
גמילה	ɡ m i l a
גנבה	ɡ a n a v a
דגי	d a ɡ i
דגמי	d a ɡ m i
דרשות	d a ʁ ʃ u t
האיראנית	h e i ʁ a n i t
האשם	h e e ʃ e m
הבאנו	h i b a n u
הדירוג	h i d i ʁ u ɡ
הובלה	h o v l a
היצוא	h i t͡s u
הכרך	h i χ ʁ e χ
הלקח	h i l k e a χ
המפעלים	h i m p a a l i m
הנזיר	h i n z i ʁ
הערת	h e e ʁ e t
הציד	h i t͡s i d
הקביעה	h i k b i a
הרגה	h a ʁ ɡ a
השליחות	h i ʃ l i χ u t
השפיעה	h i ʃ p i a
התקרית	h i t k a ʁ i t
ומביא	v i m b i
ומשמש	v i m ʃ m e ʃ
ונהיה	v i n h i j a
ופה	v a f a
זורקים	z o ʁ k i m
חילק	χ i l e k
ינון	j a n o n
יצרנית	j a t͡s ʁ a n i t
כדמות	k a d a m u t
כחולות	k a χ u l u t
כט	k a t
כנופיות	k n o f j u t
כריות	k a ʁ j u t
כשלושה	k a ʃ l u ʃ a
לאליפות	l e e l i f u t
לבגרות	l i v ɡ a ʁ u t
לבלוע	l a v l u a
לדעתם	l i d a t e m
להטריד	l e h i t ʁ i d
להיחשב	l e h i χ ʃ e v
להצבעה	l e h i t͡s b a a
להתאמץ	l e h i t a m e t͡s
להתקפה	l e h i t k a f a
לורה	l o ʁ a
לחמוק	l a χ m u k
ליג	l i ɡ
לילית	l i l i t
ליעקב	l i a k e v
לסטר	l i s t e ʁ
לשרה	l i ʃ ʁ a
מדאיג	m a d a j i ɡ
מדרך	m a d ʁ a χ
מולה	m o l a
מוקדמות	m o k d e m u t
מוריה	m o ʁ j a
מחמאות	m a χ m a u t
מיהודי	m i h u d i
מילי	m i l i
מכניסה	m a χ n i s a
ממדי	m a m d i
ממלכות	m a m l a χ u t
מסווג	m a s v a ɡ
מעטה	m a a t a
מרבי	m a ʁ b i
מרחיק	m a ʁ χ i k
מרקס	m a ʁ k a s
משטחי	m i ʃ t a χ i
נודה	n o d a
נסענו	n i s a n u
נקרע	n i k ʁ a
נשארנו	n i ʃ a ʁ a n u
פיות	p i j u t
פרנקו	p a ʁ n a k o
צבאו	t͡s a v a u
קון	k o n
קורי	k o ʁ i
קזינו	k a z i n u
קלע	k a l a
שבות	ʃ a v u t
שוקן	ʃ o k a n
שורף	ʃ o ʁ e f
שמחפש	ʃ i m χ a p e ʃ
שמעל	ʃ i m a l
שמרתי	ʃ i m ʁ a t i
תגמול	t a ɡ m u l
תדאגו	t a d a ɡ o
תורידו	t o ʁ i d u
תקוות	t a k v a t
תשמעי	t i ʃ m a i
yes	j e s
אדיב	a d i v
אושוויץ	o ʃ v i t͡s
אלופת	a l u f a t
אמך	a m a χ
אנס	a n a s
אקסל	a k s a l
ארדן	a ʁ d a n
באכזריות	b e a χ z a ʁ j u t
בג	b a ɡ
בגדוד	b a ɡ d u d
בגשם	b a ɡ ʃ a m
בהבנה	b e h a v a n a
בהגדרה	b e h i ɡ d a ʁ a
בולגריה	b u l ɡ a ʁ j a
ביאור	b i u ʁ
ביובית	b i j u v i t
בלון	b a l o n
בעסקי	b a a s k i
בריטים	b ʁ i t i m
בריטית	b ʁ i t i t
בתשרי	b i t ʃ a ʁ i
גי	ɡ i
דגלי	d a ɡ l i
דודים	d o d i m
דחו	d a χ u
דלתא	d a l t a
האחוזה	h e e χ u z a
האישים	h e i ʃ i m
הבטיחה	h i v t i χ a
הדמים	h i d m i m
הזן	h a z a n
הטנקים	h i t n a k i m
הכשר	h i χ ʃ e ʁ
המכר	h i m k e ʁ
המסורתיים	h i m s o ʁ t a j i m
המשתנה	h i m ʃ t a n a
העניקה	e e n i k a
הקבינט	h i k b i n t
הקנאה	h i k n a
הקנה	h i k n a
הריק	h a ʁ i k
השיגור	h i ʃ i ɡ o ʁ
השמדה	h i ʃ m a d a
השנתיים	h i ʃ n a t a j i m
התוקף	h i t u k e f
התכונה	h i t k o n a
התענוג	h i t a n u ɡ
ואישה	v e i ʃ a
ווטסון	v a t s o n
ונוח	v a n u a χ
חב	χ a v
חבריך	χ a v ʁ i χ
חוגג	χ o ɡ e ɡ
יאפשר	j e a f ʃ a ʁ
יועצת	j o a t͡s e t
יושר	j o ʃ e ʁ
יצוא	j a t͡s u
כש	k a ʃ
להגדרה	l e h i ɡ d a ʁ a
לוב	l o v
לכיכר	l e χ i k e ʁ
לכתיבה	l i χ t i v a
למחנות	l i m χ a n u t
לסקר	l i s k e ʁ
לשבט	l i ʃ b e t
לשמצה	l i ʃ m a t͡s a
לשעת	l i ʃ a t
לתור	l a t u ʁ
לתחומי	l i t χ u m i
לתנאים	l i t n a i m
מאק	m a a k
מגוף	m a ɡ u f
מועדים	m o a d i m
מחט	m a χ a t
מיועדים	m i j u a d i m
מיטשל	m i t ʃ e l
מקרקעי	m a k ʁ a k a j
משפיל	m i ʃ p i l
משקרים	m i ʃ k a ʁ i m
מתנדב	m i t n a d e v
נוטל	n o t e l
נחשבה	n a χ ʃ a v a
נטלה	n i t l a
נסי	n a s i
סוקולוב	s o k o l o v
סושי	s o ʃ i
סטיבנס	s t i b n e s
סשה	s a ʃ a
ענקיים	a n k a j i m
פולנים	p o l a n i m
פירושה	p i ʁ u ʃ a
פלדמן	p a l d a m a n
צומח	t͡s o m a χ
צועד	t͡s o a d
קייטרינג	k a j t ʁ i ŋ ɡ
קרבנות	k a ʁ b a n u t
קרלו	k a ʁ l u
רוט	ʁ o t
רועה	ʁ o a
רכז	ʁ a χ a z
שזוכה	ʃ a z u χ a
שימושית	ʃ i m u ʃ i t
שיתנו	ʃ i t a n u
שלפנינו	ʃ i l p a n i n u
שמאלי	ʃ a m a l i
שרובם	ʃ a ʁ u v a m
שריפות	ʃ ʁ i f u t
video	v i d e o
אדל	a d a l
אהובים	a h u v i m
אורון	o ʁ o n
אמיתות	a m i t u t
אמריקן	a m ʁ i k a n
אנני	a n a n i
אפיק	a f i k
ארגונית	a ʁ ɡ o n i t
אשמע	a ʃ m a
אתרוג	a t ʁ u ɡ
בדידות	b e d i d u t
בודדת	b o d e d e t
ביושר	b i j u ʃ e ʁ
בניצחון	b e n i t͡s a χ o n
גרביים	ɡ a ʁ b a j i m
דחתה	d a χ t a
האבק	h e e v e k
האיבה	h e i v a
הדי	h a d i
הזיקה	h i z i k a
הזכירה	h i z k i ʁ a
הטרגדיה	h i t ʁ a ɡ e d j a
היציבות	h i t͡s i v u t
הכבלים	h i χ b e l i m
המבול	h i m b u l
המייצג	h i m j a t͡s e ɡ
הנחיה	h i n χ i j a
הניסיונות	h i n i s j o n u t
הנמצאות	h i n m a t͡s a u t
הנרות	h i n ʁ u t
הפנטזיה	h i p n a t e z j a
הפציעה	h i f t͡s i a
הצהרים	h i t͡s h a ʁ i m
הקהילתי	h i k h i l t i
הקן	h a k a n
הקסמים	h i k s e m i m
הקריה	h i k ʁ i j a
הקרינה	h i k ʁ i n a
הרחמים	h i ʁ χ e m i m
השארתי	h i ʃ a ʁ t i
התכוונה	h i t k a v a n a
וחסרי	v a χ s a ʁ i
ויצאו	v i t͡s a u
ויראה	v i ʁ a
וישב	v i ʃ e v
וכולי	v e χ u l i
ומערכות	v i m a ʁ χ u t
ונתנו	v i n t a n u
ושיתוף	v e ʃ i t u f
זנים	z a n i m
חופה	χ o f a
חורין	χ o ʁ i n
חושד	χ o ʃ e d
חותך	χ o t e χ
חשופים	χ a ʃ u f i m
טבעה	t a v a
טד	t a d
טופ	t o f
טיהור	t i h u ʁ
טמא	t a m a
טרומן	t ʁ u m a n
ידינו	j a d i n u
יורי	j o ʁ i
ילדינו	j a l d i n u
יתגלה	j i t ɡ a l a
כונה	k o n a
כליות	k a l j u t
להיווצר	l e h i v t͡s e ʁ
להשכיר	l e h i ʃ k i ʁ
להתגרש	l e h i t ɡ a ʁ e ʃ
להתנתק	l e h i t n a t e k
לטענות	l i t a n u t
ליקוי	l i k u j
ליתרון	l i t ʁ o n
למול	l a m u l
לנגב	l i n ɡ e v
לסדרה	l i s d a ʁ a
מאכזב	m e a χ z a v
מגישים	m a ɡ i ʃ i m
מגל	m a ɡ a l
מוניקה	m o n i k a
מחבריו	m a χ b a ʁ j u
מיגון	m i ɡ o n
מיושב	m i j u ʃ e v
מעזה	m a a z a
מעיינות	m a a j a n u t
מרחיב	m a ʁ χ i v
משהוא	m i ʃ h u
מתיישב	m i t j a ʃ e v
נזכיר	n i z k i ʁ
נמחק	n i m χ a k
נקלע	n i k l a
נשמתי	n i ʃ m a t i
סילוק	s i l u k
ספירה	s f i ʁ a
עורף	o ʁ e f
עמדי	a m d i
עסקיים	a s k a j i m
ערבה	a ʁ b a
פחת	p a χ a t
פיזיקה	p i z i k a
פינו	p i n u
פלט	p a l a t
קוטר	k o t e ʁ
קוקוס	k o k o s
רישוי	ʁ i ʃ u j
רלוונטית	ʁ a l v a n t i t
שהתרחשו	ʃ e h i t ʁ a χ ʃ u
שוט	ʃ o t
שוער	ʃ o a ʁ
שירלי	ʃ i ʁ l i
שיתף	ʃ i t e f
שמחוץ	ʃ i m χ u t͡s
תדברי	t a d b a ʁ i
תמימות	t a m i m u t
תנסי	t a n s i
תקח	t a k a χ
תקציבי	t a k t͡s i v i
best	b e s t
black	b l a k
david	d a v i d
post	p o s t
youtube	j u t u b e
אגודות	a ɡ u d u t
אדיוט	a d j u t
אולפני	o l p a n i
אוניות	o n j u t
אוסטין	o s t i n
אחוזה	a χ u z a
אייס	a j a s
אליסון	a l i s o n
אלמוני	a l m o n i
אקח	a k a χ
בגנים	b a ɡ a n i m
בהעברת	b e e v e ʁ e t
בט	b a t
ביולוגי	b i j u l u ɡ i
ביולוגית	b i j u l u ɡ i t
ביומן	b i j u m e n
בינך	b i n e χ
בירושה	b i ʁ u ʃ a
בכוחו	b e χ u χ u
בלעדיך	b a l a d i χ
בניסוח	b e n i s u a χ
ברוחב	b ʁ u χ a v
בריבית	b ʁ i v i t
בשינה	b e ʃ i n a
גיבסון	ɡ i b s o n
דתות	d a t u t
האווירי	h e e v i ʁ i
הדיירים	h i d j a ʁ i m
ההליכים	h e h e l i χ i m
ההסכמים	h e h i s k e m i m
הוצע	h o t͡s a
הזכרתי	h i z k a ʁ t i
היבשת	h i b ʃ e t
היפ	h i p
היצר	h i t͡s e ʁ
הלטינית	h i l t i n i t
המחודשת	h i m χ u d e ʃ e t
המייל	h i m j a l
המסקנות	h i m s k a n u t
המרוץ	h i m ʁ u t͡s
המשפיעים	h i m ʃ p i i m
המתוכנן	h i m t u χ n a n
הנסיגה	h i n s i ɡ a
הנעים	h i n i m
הנעל	h i n a l
הנפוצים	h i n p u t͡s i m
העידן	h e i d e n
הענפים	e e n a f i m
הפסנתר	h i f s a n t e ʁ
הצעירות	h i t͡s i ʁ u t
הקצרים	h i k t͡s a ʁ i m
הרוג	h a ʁ u ɡ
הריבונות	h a ʁ i b o n u t
השבע	h i ʃ b a
השפעתה	h i ʃ p a a t a
השתחרר	h i ʃ t a χ ʁ e ʁ
השתיים	h i ʃ t a j i m
השתלטות	h i ʃ t a l t u t
התגורר	h i t ɡ o ʁ e ʁ
התיר	h i t i ʁ
התקדם	h i t k a d e m
התקציבים	h i t k a t͡s i v i m
ולאן	v a l a n
ותעשה	v i t a ʃ a
חדות	χ a d u t
חודר	χ o d e ʁ
חוסך	χ o s e χ
חקלאים	χ a k l a i m
יעדי	j a a d i
כונן	k o n a n
כלות	k a l u t
לאחי	l e a χ i
לדרישות	l i d ʁ i ʃ u t
לנה	l a n a
לסל	l a s a l
לשמונה	l i ʃ m o n a
לשמחה	l i ʃ m a χ a
לתלמיד	l i t l a m i d
מגוונות	m a ɡ v a n u t
מהמציאות	m e h i m t͡s i u t
מוחה	m o χ a
מותנה	m o t a n a
מיילים	m a j a l i m
מעם	m a a m
מקרקעין	m a k ʁ a k i n
מרדף	m a ʁ d e f
נבדק	n i v d e k
נולדת	n o l e d e t
נישאה	n i ʃ a
נעילה	n e i l a
סוניה	s o n j a
סופרי	s o f ʁ i
סירוב	s i ʁ u v
סקירת	s k i ʁ e t
עבות	a v u t
עבריינים	a v ʁ a j a n i m
עדיפה	a d i f a
עינויים	i n u j i m
עננים	a n a n i m
עתידית	a t i d i t
פומבי	p o m b i
פרת	p a ʁ a t
צנועה	t͡s n u a
רווי	ʁ a v i
שאו	ʃ a u
שאיבד	ʃ e i v e d
שגילו	ʃ ɡ i l u
שהתחלתי	ʃ e h i t χ a l t i
תופיע	t o f i a
תמידי	t a m i d i
אינפורמציה	i n p o ʁ m a t͡s j a
אכזרית	a χ z a ʁ i t
אכלנו	a χ l a n u
אמיל	a m i l
אסטרטגיות	a s t a ʁ t e ɡ j u t
אשים	a ʃ i m
באחרים	b e a χ a ʁ i m
באימון	b e i m o n
בגללו	b a ɡ l a l u
בווינה	b a v i n a
בזכרון	b i z k a ʁ o n
בכינוי	b e χ i n u j
בכינוס	b e χ i n o s
בלהט	b a l a t
במילוי	b e m i l u j
בעקבותיה	b a a k b u t j a
ברכישת	b a ʁ k i ʃ e t
גורים	ɡ o ʁ i m
גיי	ɡ a j
דותן	d o t e n
דחיפה	d χ i f a
דימויים	d i m u j i m
הבהרה	h i v h a ʁ a
הבלש	h i v l e ʃ
הבנויה	h i v n u j a
ההודי	h e h u d i
ההמונית	h e h m o n i t
ההמלצות	h e h i m l a t͡s u t
הופכות	h o f χ u t
הזכרונות	h i z k a ʁ o n u t
הטילו	h i t i l u
הכנסתי	h i χ n e s t i
המעמדות	h i m a m d u t
המעריצים	h i m a ʁ i t͡s i m
המצודה	h i m t͡s u d a
המשקיעים	h i m ʃ k i i m
הנערות	h i n a ʁ u t
הנקי	h i n k i
הסבלנות	h i s b l a n u t
העליה	e e l j a
הערבות	e e ʁ b u t
העתידי	h e e t i d i
הצוותים	h i t͡s v a t i m
הצורות	h i t͡s u ʁ u t
הריאות	h a ʁ i u t
השכינה	h i ʃ k i n a
השקרים	h i ʃ k a ʁ i m
התבנית	h i t b a n i t
התחדשות	h i t χ a d e ʃ u t
התיכונה	h i t i χ o n a
התעקש	h i t a k e ʃ
ואיכות	v e i χ u t
והודיע	v e h o d i a
והערכה	v e e ʁ χ a
והציע	v e h i t͡s i a
והצליח	v e h i t͡s l i a χ
וירא	v i ʁ a
וירטואלי	v i ʁ t u a l i
זרימה	z a ʁ i m a
חוטי	χ o t i
חוסם	χ o s e m
חותר	χ o t e ʁ
חזרות	χ a z a ʁ u t
חנינא	χ a n i n a
חששות	χ a ʃ ʃ u t
יאבד	j e e v e d
יהודייה	j e h u d i j a
ייעודי	j i u d i
יכלתי	j a χ l a t i
כבסיס	k a v s i s
כישורי	k i ʃ u ʁ i
כעין	k a i n
לדם	l a d a m
להעמיק	l e h a m i k
להתאחד	l e h i t a χ e d
להתעדכן	l e h i t a d χ a n
לולי	l o l i
