deus	d ew s
anormalmente	ɐ n o ʁ m ɐw m ẽ t ʃ i
apaixonamos	ɐ p ɐj ʃ o n ɐ̃ m u s
apara	ɐ p ɐ ɾ ɐ
apliquei	ɐ p l i k ej
aprendizados	ɐ p ɾ ẽ d ʒ i z ɐ d u s
aprovei	ɐ p ɾ o v ej
arabic	ɐ ɾ ɐ b i k
armenia	ɐ ʁ m e n i ɐ
arquivista	ɐ ɹ k j v i s t ɐ
arrancava	ɐ ʁ ɐ̃ k ɐ v ɐ
asim	ɐ z ĩ
aslan	ɐ s l ɐ̃
assentes	ɐ s ẽ t ʃ i s
atravessei	ɐ t ɾ ɐ v e s ej
atreva	ɐ t ɾ e v ɐ
aviva	ɐ v i v ɐ
axioma	ɐ k s i õ m ɐ
balístico	b ɐ l i s t ʃ i k u
bangcoc	b ɐ̃ ɡ k o k
bangui	b ɐ̃ ɡ j
baratinha	b ɐ ɾ ɐ t ʃ ĩ ɲ ɐ
bastille	b ɐ s t ʃ iw l i
beauchamp	b e ɐw ʃ ɐ̃ p
bera	b e ɾ ɐ
berços	b e ɹ s u s
betta	b e t ʃ t ɐ
bland	b l ɐ̃ d ʒ
bombo	b õ b u
booster	b o o s t e ɹ
branson	b ɾ ɐ̃ z õ
breaker	b ɾ e ɐ k e ɹ
bride	b ɾ i d ʒ i
brigarem	b ɾ i ɡ ɐ ɾ ẽj̃
bucetuda	b u s e t u d ɐ
burrows	b u ʁ ow s
buteco	b u t e k u
camocim	k ɐ m o s ĩ
capadócia	k ɐ p ɐ d ɔ s i ɐ
casi	k ɐ z i
cassiane	k ɐ s i ɐ̃ n i
castores	k ɐ s t o ɾ i s
cavill	k ɐ v iw w
cegou	s e ɡ ow
chacra	ʃ ɐ k ɾ ɐ
charlize	ʃ ɐ ɹ l i z i
charm	ʃ ɐ ʁ m
chopper	ʃ o p p e ɹ
citoplasma	s i t o p l ɐ z m ɐ
clément	k l ɛ m ẽ t ʃ
colidiram	k o l i d ʒ i ɾ ɐ̃w̃
colonoscopia	k o l o n o s k o p i ɐ
condizem	k õ d ʒ i z ẽj̃
conjuga	k õ ʒ u ɡ ɐ
conquer	k õ k e ɹ
consciousness	k õ s i ow z n e s
conseg	k õ s e ɡ
construi	k õ s t ɾ uj
contacta	k õ t ɐ k t ɐ
cornwall	k o ʁ n w ɐw w
courts	k ow ɹ t ʃ s
covington	k o v ĩ ɡ t õ
cranston	k ɾ ɐ̃ s t õ
dayane	d ɐj ɐ̃ n i
deer	d e e ɹ
deixai	d ej ʃ ɐj
deletada	d e l e t ɐ d ɐ
demarco	d e m ɐ ɹ k u
demostrar	d e m o s t ɾ ɐ ɹ
deres	d e ɾ i s
desativando	d e z ɐ t ʃ i v ɐ̃ d u
descobrirmos	d e s k o b ɾ i ʁ m u s
desenrolam	d e z ẽ ɾ o l ɐ̃w̃
detectives	d e t e k t ʃ i v i s
devas	d e v ɐ s
devastando	d e v ɐ s t ɐ̃ d u
deveis	d e v ej s
devorei	d e v o ɾ ej
discada	d ʒ i s k ɐ d ɐ
dnit	d ʒ n i t ʃ
dobson	d o b s õ
documentadas	d o k ũ m ẽ t ɐ d ɐ s
duh	d u
eacute	e ɐ k u t ʃ i
element	e l e m ẽ t ʃ
elinor	e l ĩ n o ɹ
emocionadas	e m o s i o n ɐ d ɐ s
encefalite	ẽ s e f ɐ l i t ʃ i
encham	ẽ ʃ ɐ̃w̃
endgame	ẽ d ʒ ɡ ɐ̃ m i
enfiam	ẽ f i ɐ̃w̃
engolida	ẽ ɡ o l i d ɐ
enigmáticas	e n i ɡ m ɐ t ʃ i k ɐ s
epitélio	e p i t ɛ l i u
equatorianos	e k w ɐ t o ɾ i ɐ̃ n u s
eragon	e ɾ ɐ ɡ õ
escurecimento	e s k u ɾ e s ĩ m ẽ t u
etna	e t ʃ n ɐ
eucalyptus	ew k ɐw i p t uj s
expectadores	e s p e k t ɐ d o ɾ i s
experiencias	e s p e ɾ i ẽ s i ɐ s
falafel	f ɐ l ɐ f ɛw
familiarizada	f ɐ m i l i ɐ ɾ i z ɐ d ɐ
filetes	f i l e t ʃ i s
flaps	f l ɐ p s
fnla	f n l ɐ
frutífera	f ɾ u t ʃ i f e ɾ ɐ
frô	f ɾ o
fsa	f s ɐ
fullmetal	f u w w m e t ɐw
furia	f u ɾ i ɐ
gadú	ɡ ɐ d u
gordinhos	ɡ o ʁ d ʒ ĩ ɲ u s
gostemos	ɡ o s t ẽ m u s
granville	ɡ ɾ ɐ̃ v iw l i
gto	ɡ t u
guiará	ɡ j ɐ ɾ ɐ
gémeo	ʒ ɛ m e u
habitando	ɐ b i t ɐ̃ d u
hacks	ɐ k k s
hahahah	ɐ ɐ ɐ
harder	ɐ ʁ d e ɹ
hawke	ɐw k i
hinário	ĩ n ɐ ɾ i u
hiphop	i f o p
hurts	u ɹ t ʃ s
husky	u s k i
igarassu	i ɡ ɐ ɾ ɐ s u
imunizar	ĩ m ũ n i z ɐ ɹ
inception	ĩ s e p t ʃ i õ
infrastructure	ĩ f ɾ ɐ s t ɾ u k t u ɾ i
integrem	ĩ t e ɡ ɾ ẽj̃
iorc	i o ɹ k
iraq	i ɾ ɐ k
itaúna	i t ɐ u n ɐ
kabum	k ɐ b ũ
keeps	k e e p s
kermit	k e ʁ m i t ʃ
killian	k iw l i ɐ̃
kin	k ĩ
knightley	k n i ɡ t l e i
kt	k t ʃ
kyu	k j u
latidos	l ɐ t ʃ i d u s
leds	l e d ʒ s
legalize	l e ɡ ɐ l i z i
leifert	l ej f e ɹ t ʃ
levaremos	l e v ɐ ɾ ẽ m u s
limpopo	l ĩ p o p u
lindeza	l ĩ d e z ɐ
linhaça	l ĩ ɲ ɐ s ɐ
logue	l o ɡ i
lumumba	l ũ m ũ b ɐ
machuco	m ɐ ʃ u k u
madge	m ɐ d ʒ ʒ i
magoas	m ɐ ɡ o ɐ s
maki	m ɐ k i
manhosa	m ɐ ɲ ɔ z ɐ
marky	m ɐ ɹ k i
mbps	m b p s
medias	m e d ʒ i ɐ s
mediterrânica	m e d ʒ i t e ʁ ɐ̃ n i k ɐ
megas	m e ɡ ɐ s
militarista	m i l i t ɐ ɾ i s t ɐ
misericordia	m i z e ɾ i k o ʁ d ʒ i ɐ
misturador	m i s t u ɾ ɐ d o ɹ
mong	m õ ɡ
multimilionário	m u w t ʃ ĩ m i l i o n ɐ ɾ i u
nac	n ɐ k
nap	n ɐ p
narcos	n ɐ ɹ k u s
nataly	n ɐ t ɐw i
needle	n e e d l i
nickelback	n i k k ew b ɐ k k
nyx	n i k s
núbia	n u b i ɐ
ofelia	o f e l i ɐ
offer	o f f e ɹ
ogre	o ɡ ɾ i
oke	o k i
older	ow d e ɹ
oram	o ɾ ɐ̃w̃
ordenança	o ʁ d e n ɐ̃ s ɐ
orgs	o ʁ ɡ s
orochimaru	o ɾ o ʃ ĩ m ɐ ɾ u
orphan	o ɹ f ɐ̃
orsini	o ɹ s ĩ n i
ozono	o z õ n u
paleo	p ɐ l e u
palhas	p ɐ ʎ ɐ s
pantufas	p ɐ̃ t u f ɐ s
parabenizo	p ɐ ɾ ɐ b e n i z u
participativas	p ɐ ɹ t ʃ i s i p ɐ t ʃ i v ɐ s
partiria	p ɐ ɹ t ʃ i ɾ i ɐ
pascoa	p ɐ s k o ɐ
patio	p ɐ t ʃ i u
patric	p ɐ t ɾ i k
pelve	p ɛw v i
penteia	p ẽ t ej ɐ
perfumadas	p e ɹ f ũ m ɐ d ɐ s
persons	p e ɹ s õ s
pirralha	p i ʁ ɐ ʎ ɐ
pisadas	p i z ɐ d ɐ s
planes	p l ɐ̃ n i s
possuidora	p o s uj d o ɾ ɐ
prass	p ɾ ɐ s
prm	p ʁ m
pronatec	p ɾ o n ɐ t e k
pym	p i m
pâmela	p ɐ̃ m e l ɐ
queiroga	k ej ɾ o ɡ ɐ
rainy	ʁ ɐ ĩ i
rebentos	ʁ e b ẽ t u s
recognition	ʁ e k o ɡ n i t ʃ i õ
reconstruiu	ʁ e k õ s t ɾ uj w
recrutador	ʁ e k ɾ u t ɐ d o ɹ
recupero	ʁ e k u p e ɾ u
relés	ʁ e l ɛ s
renderizar	ʁ ẽ d e ɾ i z ɐ ɹ
renomeação	ʁ e n o m e ɐ s ɐ̃w̃
reparada	ʁ e p ɐ ɾ ɐ d ɐ
repost	ʁ e p o s t ʃ
repsol	ʁ e p s ɔ w
respetivo	ʁ e s p e t ʃ i v u
rolinhos	ʁ o l ĩ ɲ u s
rosquinha	ʁ o s k ĩ ɲ ɐ
rub	ʁ u b
salte	s ɐw t ʃ i
sanguessuga	s ɐ̃ ɡ e s u ɡ ɐ
satellites	s ɐ t ew l i t ʃ i s
satoshi	s ɐ t o ʃ i
saúdam	s ɐ u d ɐ̃w̃
schaeffer	s ʃ ɐj f f e ɹ
searching	s e ɐ ɹ ʃ ĩ ɡ
secretismo	s e k ɾ e t ʃ i z m u
senses	s ẽ s i s
sevenfold	s e v ẽ f ow d ʒ
shania	ʃ ɐ n i ɐ
shared	ʃ ɐ ɾ e d ʒ
shutterstock	ʃ u t ʃ t e ɹ s t o k k
sidão	s i d ɐ̃w̃
sila	s i l ɐ
simeão	s ĩ m e ɐ̃w̃
sintas	s ĩ t ɐ s
smaug	s m ɐw ɡ
soltarem	s ow t ɐ ɾ ẽj̃
spectacular	s p e k t ɐ k u l ɐ ɹ
sptv	s p t ʃ v
sts	s t ʃ s
subgrupo	s u b ɡ ɾ u p u
suck	s u k k
sulina	s u l ĩ n ɐ
suplico	s u p l i k u
talas	t ɐ l ɐ s
tauá	t ɐw ɐ
tecnólogos	t e k n ɔ l o ɡ u s
tijolaço	t ʃ i ʒ o l ɐ s u
tirarmos	t ʃ i ɾ ɐ ʁ m u s
tomorrowland	t o m o ʁ ow l ɐ̃ d ʒ
trabalhão	t ɾ ɐ b ɐ ʎ ɐ̃w̃
transcritas	t ɾ ɐ̃ s k ɾ i t ɐ s
transit	t ɾ ɐ̃ z i t ʃ
tremo	t ɾ ẽ m u
trácio	t ɾ ɐ s i u
tâmega	t ɐ̃ m e ɡ ɐ
uam	u ɐ̃w̃
unirio	ũ n i ɾ i u
usted	u s t e d ʒ
vandalizar	v ɐ̃ d ɐ l i z ɐ ɹ
vermeer	v e ʁ m e e ɹ
vibes	v i b i s
virtus	v i ɹ t uj s
weed	w e e d ʒ
westchester	w e s t ʃ ʃ e s t e ɹ
wrap	w ɾ ɐ p
yangtze	j ɐ̃ ɡ t ʃ z i
yousef	j ow z e f
zodiac	z o d ʒ i ɐ k
zombou	z õ b ow
zuckerman	z u k k e ʁ m ɐ̃
ílhavo	i ʎ ɐ v u
abrangido	ɐ b ɾ ɐ̃ ʒ i d u
abreviações	ɐ b ɾ e v i ɐ s õj̃ s
acción	ɐ k s i ɔ n
acolhendo	ɐ k o ʎ ẽ d u
adentraram	ɐ d ẽ t ɾ ɐ ɾ ɐ̃w̃
agregam	ɐ ɡ ɾ e ɡ ɐ̃w̃
aku	ɐ k u
algarvio	ɐw ɡ ɐ ʁ v i u
alton	ɐw t õ
alvinegros	ɐw v ĩ n e ɡ ɾ u s
amassou	ɐ m ɐ s ow
analiso	ɐ n ɐ l i z u
analu	ɐ n ɐ l u
anelar	ɐ n e l ɐ ɹ
antioxidante	ɐ̃ t ʃ i o k s i d ɐ̃ t ʃ i
aparencia	ɐ p ɐ ɾ ẽ s i ɐ
apreciá	ɐ p ɾ e s i ɐ
arabella	ɐ ɾ ɐ b ɛw l ɐ
ardem	ɐ ʁ d ẽj̃
arr	ɐ ʁ
arrasei	ɐ ʁ ɐ z ej
assentam	ɐ s ẽ t ɐ̃w̃
atmosféricos	ɐ t ʃ m o s f ɛ ɾ i k u s
atormentados	ɐ t o ʁ m ẽ t ɐ d u s
atraz	ɐ t ɾ ɐj s
ats	ɐ t ʃ s
aznar	ɐ z n ɐ ɹ
babs	b ɐ b s
badi	b ɐ d ʒ i
bancaria	b ɐ̃ k ɐ ɾ i ɐ
barrabás	b ɐ ʁ ɐ b ɐ s
bernabéu	b e ʁ n ɐ b ɛw
berners	b e ʁ n e ɹ s
bomber	b õ b e ɹ
borborema	b o ʁ b o ɾ ẽ m ɐ
boyband	b o i b ɐ̃ d ʒ
britânia	b ɾ i t ɐ̃ n i ɐ
broker	b ɾ o k e ɹ
bulma	b u w m ɐ
burgers	b u ʁ ʒ e ɹ s
bw	b w
cagado	k ɐ ɡ ɐ d u
caicos	k ɐj k u s
callum	k ɐw l ũ
cambará	k ɐ̃ b ɐ ɾ ɐ
candeia	k ɐ̃ d ej ɐ
carnais	k ɐ ʁ n ɐj s
castigados	k ɐ s t ʃ i ɡ ɐ d u s
causei	k ɐw z ej
causes	k ɐw z i s
celebrity	s e l e b ɾ i t ʃ i
chatices	ʃ ɐ t ʃ i s i s
cheshire	ʃ e ʃ i ɾ i
chupava	ʃ u p ɐ v ɐ
cibercultura	s i b e ɹ k u w t u ɾ ɐ
cintas	s ĩ t ɐ s
clareia	k l ɐ ɾ ej ɐ
cliquem	k l i k ẽj̃
cochilando	k o ʃ i l ɐ̃ d u
coconut	k o k o n u t ʃ
columbine	k o l ũ b ĩ n i
concebível	k õ s e b i v ew
conchinha	k õ ʃ ĩ ɲ ɐ
confidential	k õ f i d ẽ t ʃ i ɐw
confortavel	k õ f o ɹ t ɐ v ɛw
connaught	k õ n ɐw ɡ t ʃ
contarei	k õ t ɐ ɾ ej
contemplem	k õ t ẽ p l ẽj̃
contraparte	k õ t ɾ ɐ p ɐ ɹ t ʃ i
correspondida	k o ʁ e s p õ d ʒ i d ɐ
corujão	k o ɾ u ʒ ɐ̃w̃
cosimo	k o z ĩ m u
coza	k o z ɐ
cpmf	k p m f
creo	k ɾ e u
criámos	k ɾ i ɐ m u s
crocker	k ɾ o k k e ɹ
csv	k z v
cuidadores	k uj d ɐ d o ɾ i s
cultas	k u w t ɐ s
curtida	k u ɹ t ʃ i d ɐ
cvt	k v t ʃ
cómodo	k ɔ m o d u
danifica	d ɐ n i f i k ɐ
danko	d ɐ̃ k u
dap	d ɐ p
decair	d e k ɐj ɹ
degeneres	d e ʒ e n e ɾ i s
degredo	d e ɡ ɾ e d u
dekker	d e k k e ɹ
delilah	d e l i l ɐ
delirium	d e l i ɾ i ũ
depression	d e p ɾ e s i õ
deprimentes	d e p ɾ ĩ m ẽ t ʃ i s
desaparecia	d e z ɐ p ɐ ɾ e s i ɐ
descarrilamento	d e s k ɐ ʁ i l ɐ m ẽ t u
desgostos	d e z ɡ o s t u s
deslocações	d e s l o k ɐ s õj̃ s
deterioraram	d e t e ɾ i o ɾ ɐ ɾ ɐ̃w̃
deveriamos	d e v e ɾ i ɐ̃ m u s
divided	d ʒ i v i d e d ʒ
dividirem	d ʒ i v i d ʒ i ɾ ẽj̃
dizimar	d ʒ i z ĩ m ɐ ɹ
doloridos	d o l o ɾ i d u s
drc	d ɹ k
druidas	d ɾ uj d ɐ s
dsi	d ʒ s i
dsl	d ʒ s w
dubla	d u b l ɐ
eheh	e e
elano	e l ɐ̃ n u
eleicoes	e l ej k o i s
eletromagnéticos	e l e t ɾ o m ɐ ɡ n ɛ t ʃ i k u s
elfa	ɛw f ɐ
elisângela	e l i z ɐ̃ ʒ e l ɐ
emancipado	e m ɐ̃ s i p ɐ d u
emergencia	e m e ʁ ʒ ẽ s i ɐ
emotivas	e m o t ʃ i v ɐ s
enos	ẽ n u s
err	e ʁ
espetou	e s p e t ow
evangeline	e v ɐ̃ ʒ e l ĩ n i
extracto	e s t ɾ ɐ k t u
fadista	f ɐ d ʒ i s t ɐ
farmacológicos	f ɐ ʁ m ɐ k o l ɔ ʒ i k u s
fernandão	f e ʁ n ɐ̃ d ɐ̃w̃
finkelstein	f ĩ k ew s t e ĩ
firefly	f i ɾ e f w i
folklore	f ow k l o ɾ i
forcei	f o ɹ s ej
forks	f o ɹ k s
founder	f ow n d e ɹ
fuinha	f u ĩ ɲ ɐ
fundeb	f ũ d e b
ganhaste	ɡ ɐ ɲ ɐ s t ʃ i
gardiner	ɡ ɐ ʁ d ʒ ĩ n e ɹ
garmin	ɡ ɐ ʁ m ĩ
georgianas	ʒ e o ʁ ʒ i ɐ̃ n ɐ s
ghosts	ɡ o s t ʃ s
gilliam	ʒ iw l i ɐ̃w̃
golfista	ɡ ow f i s t ɐ
gostassem	ɡ o s t ɐ s ẽj̃
gostes	ɡ o s t ʃ i s
graeme	ɡ ɾ ɐj m i
guacamole	ɡ w ɐ k ɐ m o l i
guangxi	ɡ w ɐ̃ ɡ ʃ i
halal	ɐ l ɐw
harden	ɐ ʁ d ẽ
hartmann	ɐ ɹ t ʃ m ɐ̃ n
healthy	e ɐw t i
hf	f
hickey	i k k e i
hickmann	i k k m ɐ̃ n
hijos	i ʒ u s
hines	ĩ n i s
hiperativo	i p e ɾ ɐ t ʃ i v u
homólogos	o m ɔ l o ɡ u s
hor	o ɹ
hormona	o ʁ m õ n ɐ
hà	ɐ
ichi	i ʃ i
iminentes	ĩ m ĩ n ẽ t ʃ i s
imitador	ĩ m i t ɐ d o ɹ
importem	ĩ p o ɹ t ẽj̃
interrogador	ĩ t e ʁ o ɡ ɐ d o ɹ
intimas	ĩ t ʃ ĩ m ɐ s
iri	i ɾ i
itaporanga	i t ɐ p o ɾ ɐ̃ ɡ ɐ
iônica	i o n i k ɐ
jakarta	ʒ ɐ k ɐ ɹ t ɐ
judson	ʒ u d ʒ s õ
kasim	k ɐ z ĩ
katyn	k ɐ t ʃ i n
keira	k ej ɾ ɐ
ker	k e ɹ
kite	k i t ʃ i
kojima	k o ʒ ĩ m ɐ
kon	k õ
kutcher	k u t ʃ ʃ e ɹ
ky	k i
lakshmi	l ɐ k ʃ m i
langford	l ɐ̃ ɡ f o ʁ d ʒ
leclerc	l e k l e ɹ k
leitoso	l ej t o z u
lembrarei	l ẽ b ɾ ɐ ɾ ej
limpá	l ĩ p ɐ
lindberg	l ĩ d ʒ b e ʁ ɡ
loan	l o ɐ̃
longitudinais	l õ ʒ i t u d ʒ ĩ n ɐj s
looping	l o o p ĩ ɡ
lucco	l u k k u
magoando	m ɐ ɡ o ɐ̃ d u
malick	m ɐ l i k k
mandi	m ɐ̃ d ʒ i
mantras	m ɐ̃ t ɾ ɐ s
maracana	m ɐ ɾ ɐ k ɐ̃ n ɐ
maresia	m ɐ ɾ e z i ɐ
marlos	m ɐ ɹ l u s
martinha	m ɐ ɹ t ʃ ĩ ɲ ɐ
maçanetas	m ɐ s ɐ n e t ɐ s
mbc	m b k
melhorava	m e ʎ o ɾ ɐ v ɐ
mensageira	m ẽ s ɐ ʒ ej ɾ ɐ
meow	m e ow
millán	m iw l ɐ n
miri	m i ɾ i
mobs	m o b s
modulo	m o d u l u
mojave	m o ʒ ɐ v i
moldagem	m ow d ɐ ʒ ẽj̃
moleca	m o l e k ɐ
molibdênio	m o l i b d e n i u
morenos	m o ɾ ẽ n u s
morrissey	m o ʁ i s e i
mortinho	m o ɹ t ʃ ĩ ɲ u
moves	m o v i s
mrv	m ʁ v
naver	n ɐ v e ɹ
nea	n e ɐ
nublados	n u b l ɐ d u s
ocê	o s e
orbitar	o ʁ b i t ɐ ɹ
osce	o s i
paisagística	p ɐj z ɐ ʒ i s t ʃ i k ɐ
partições	p ɐ ɹ t ʃ i s õj̃ s
parvas	p ɐ ʁ v ɐ s
peacock	p e ɐ k o k k
pedonal	p e d o n ɐw
peidou	p ej d ow
pem	p ẽj̃
performando	p e ɹ f o ʁ m ɐ̃ d u
perpetuam	p e ɹ p e t u ɐ̃w̃
phones	f õ n i s
piers	p i e ɹ s
pipo	p i p u
pir	p i ɹ
planetárias	p l ɐ n e t ɐ ɾ i ɐ s
plexo	p l e k s u
pmerj	p m e ʁ ʒ
pollard	p ow l ɐ ʁ d ʒ
pontuando	p õ t u ɐ̃ d u
popcorn	p o p k o ʁ n
poque	p o k i
possessiva	p o s e s i v ɐ
powder	p ow d e ɹ
ppg	p p ɡ
pradarias	p ɾ ɐ d ɐ ɾ i ɐ s
preachers	p ɾ e ɐ ʃ e ɹ s
prestativa	p ɾ e s t ɐ t ʃ i v ɐ
prevalente	p ɾ e v ɐ l ẽ t ʃ i
procedendo	p ɾ o s e d ẽ d u
pulsações	p u w s ɐ s õj̃ s
qa	k ɐ
quico	k j k u
radioativas	ʁ ɐ d ʒ i o ɐ t ʃ i v ɐ s
ramsés	ʁ ɐ̃ s ɛ s
rasteja	ʁ ɐ s t e ʒ ɐ
ratchet	ʁ ɐ t ʃ ʃ e t ʃ
ratinha	ʁ ɐ t ʃ ĩ ɲ ɐ
reconhecerá	ʁ e k o ɲ e s e ɾ ɐ
rectangular	ʁ e k t ɐ̃ ɡ u l ɐ ɹ
redtube	ʁ e d ʒ t u b i
regenera	ʁ e ʒ e n e ɾ ɐ
reiniciando	ʁ e ĩ n i s i ɐ̃ d u
relatorio	ʁ e l ɐ t o ɾ i u
removam	ʁ e m o v ɐ̃w̃
respetivas	ʁ e s p e t ʃ i v ɐ s
rina	ʁ ĩ n ɐ
roseta	ʁ o z e t ɐ
rótula	ʁ ɔ t u l ɐ
sacramental	s ɐ k ɾ ɐ m ẽ t ɐw
sapeca	s ɐ p e k ɐ
sari	s ɐ ɾ i
seeing	s e e ĩ ɡ
segues	s e ɡ i s
serrado	s e ʁ ɐ d u
sharingan	ʃ ɐ ɾ ĩ ɡ ɐ̃
shia	ʃ i ɐ
shih	ʃ i
silenciando	s i l ẽ s i ɐ̃ d u
simi	s ĩ m i
sindrome	s ĩ d ɾ õ m i
singularmente	s ĩ ɡ u l ɐ ʁ m ẽ t ʃ i
sintática	s ĩ t ɐ t ʃ i k ɐ
snooker	s n o o k e ɹ
socorrista	s o k o ʁ i s t ɐ
sonserina	s õ s e ɾ ĩ n ɐ
spirito	s p i ɾ i t u
stamford	s t ɐ̃ f o ʁ d ʒ
stratton	s t ɾ ɐ t ʃ t õ
sulu	s u l u
supino	s u p ĩ n u
taka	t ɐ k ɐ
tangas	t ɐ̃ ɡ ɐ s
taxis	t ɐ k s i j s
telekom	t e l e k õ
telemar	t e l e m ɐ ɹ
tent	t ẽ t ʃ
texugo	t e k s u ɡ u
thayer	t ɐj e ɹ
toranja	t o ɾ ɐ̃ ʒ ɐ
torácico	t o ɾ ɐ s i k u
tsc	t ʃ s k
tundra	t ũ d ɾ ɐ
tungstênio	t ũ ɡ s t e n i u
ténue	t ɛ n u i
umbria	ũ b ɾ i ɐ
uprising	u p ɾ i z ĩ ɡ
vaginais	v ɐ ʒ ĩ n ɐj s
valiant	v ɐ l i ɐ̃ t ʃ
velma	v ɛw m ɐ
venganza	v ẽ ɡ ɐ̃ z ɐ
viciantes	v i s i ɐ̃ t ʃ i s
vinagrete	v ĩ n ɐ ɡ ɾ e t ʃ i
virginal	v i ʁ ʒ ĩ n ɐw
vivant	v i v ɐ̃ t ʃ
vivre	v i v ɾ i
vocé	v o s ɛ
vyacheslav	v j ɐ ʃ e s l ɐ v
walkers	w ɐw k e ɹ s
wealth	w e ɐw t ʃ
windsurf	w ĩ d ʒ s u ɹ f
xande	ʃ ɐ̃ d ʒ i
xander	ʃ ɐ̃ d e ɹ
yaoi	j ɐ oj
zoofilia	z o o f i l i ɐ
árctico	ɐ ɹ k t ʃ i k u
ósseos	ɔ s e u s
abusados	ɐ b u z ɐ d u s
acinzentado	ɐ s ĩ z ẽ t ɐ d u
acr	ɐ k ɹ
acumulo	ɐ k ũ m u l u
adoptando	ɐ d o p t ɐ̃ d u
afogá	ɐ f o ɡ ɐ
amará	ɐ m ɐ ɾ ɐ
anacleto	ɐ n ɐ k l e t u
analógicas	ɐ n ɐ l ɔ ʒ i k ɐ s
angle	ɐ̃ ɡ l i
ansi	ɐ̃ s i
antenados	ɐ̃ t e n ɐ d u s
aprisionou	ɐ p ɾ i z i õ n ow
arenito	ɐ ɾ e n i t u
arn	ɐ ʁ n
arndt	ɐ ʁ n d ʒ t ʃ
autentico	ɐw t ẽ t ʃ i k u
autoimunes	ɐw t o ĩ m ũ n i s
autónomos	ɐw t ɔ n o m u s
baniram	b ɐ n i ɾ ɐ̃w̃
barracuda	b ɐ ʁ ɐ k u d ɐ
barret	b ɐ ʁ e t ʃ
basico	b ɐ z i k u
basilares	b ɐ z i l ɐ ɾ i s
beeem	b e e ẽj̃
bestial	b e s t ʃ i ɐw
bestseller	b e s t ʃ s ew l e ɹ
bila	b i l ɐ
blacklist	b l ɐ k k l i s t ʃ
blogagem	b l o ɡ ɐ ʒ ẽj̃
bootcamp	b o o t ʃ k ɐ̃ p
borat	b o ɾ ɐ t ʃ
brb	b ʁ b
bretas	b ɾ e t ɐ s
bric	b ɾ i k
bubbles	b u b b l i s
cagam	k ɐ ɡ ɐ̃w̃
cajá	k ɐ ʒ ɐ
carnaúba	k ɐ ʁ n ɐ u b ɐ
carpinteiros	k ɐ ɹ p ĩ t ej ɾ u s
cataguases	k ɐ t ɐ ɡ w ɐ z i s
catelyn	k ɐ t ew i n
catita	k ɐ t ʃ i t ɐ
cedência	s e d ẽ s i ɐ
channels	ʃ ɐ̃ n ew s
charger	ʃ ɐ ʁ ʒ e ɹ
cheung	ʃ e ũ ɡ
chicotear	ʃ i k o t e ɐ ɹ
cin	s ĩ
clu	k l u
colecta	k o l e k t ɐ
confiarei	k õ f i ɐ ɾ ej
conserve	k õ s e ʁ v i
corpórea	k o ɹ p ɔ ɾ e ɐ
cortex	k o ɹ t e k s
cosby	k o z b i
crick	k ɾ i k k
criminaliza	k ɾ ĩ m ĩ n ɐ l i z ɐ
cuthbert	k u t b e ɹ t ʃ
dacosta	d ɐ k o s t ɐ
decapitados	d e k ɐ p i t ɐ d u s
decore	d e k o ɾ i
deeds	d e e d ʒ s
delineando	d e l ĩ n e ɐ̃ d u
derramada	d e ʁ ɐ m ɐ d ɐ
derrepente	d e ʁ e p ẽ t ʃ i
derry	d e ʁ i
desarrumada	d e z ɐ ʁ ũ m ɐ d ɐ
desmatadas	d e z m ɐ t ɐ d ɐ s
dhaka	d ɐ k ɐ
discours	d ʒ i s k ow ɹ s
dissolvidos	d ʒ i s ow v i d u s
downhill	d ow ɲ iw w
driscoll	d ɾ i s k ow w
dízimos	d i z ĩ m u s
eas	e ɐ s
easton	e ɐ s t õ
embassy	ẽ b ɐ s i
encantei	ẽ k ɐ̃ t ej
encarei	ẽ k ɐ ɾ ej
enver	ẽ v e ɹ
epítetos	e p i t e t u s
escavadeiras	e s k ɐ v ɐ d ej ɾ ɐ s
escove	e s k o v i
escutada	e s k u t ɐ d ɐ
esfíncter	e s f ĩ k t e ɹ
espancando	e s p ɐ̃ k ɐ̃ d u
esperarei	e s p e ɾ ɐ ɾ ej
esquartejado	e s k w ɐ ɹ t e ʒ ɐ d u
essence	e s ẽ s i
etno	e t ʃ n u
eurostat	ew ɾ o s t ɐ t ʃ
euzébio	ew z ɛ b i u
evergreen	e v e ʁ ɡ ɾ e ẽ
exaustivas	e z ɐw s t ʃ i v ɐ s
extinction	e s t ʃ ĩ k t ʃ i õ
ezequias	e z e k j ɐ s
facetime	f ɐ s e t ʃ ĩ m i
falecendo	f ɐ l e s ẽ d u
fatiar	f ɐ t ʃ i ɐ ɹ
fiec	f i e k
filhotinho	f i ʎ o t ʃ ĩ ɲ u
finesse	f ĩ n e s i
fira	f i ɾ ɐ
flare	f l ɐ ɾ i
foss	f o s
franky	f ɾ ɐ̃ k i
fritando	f ɾ i t ɐ̃ d u
gaal	ɡ ɐ ɐw
gallardo	ɡ ɐw l ɐ ʁ d u
galway	ɡ ɐw w ɐ i
ganda	ɡ ɐ̃ d ɐ
gaon	ɡ ɐ õ
gastrointestinais	ɡ ɐ s t ɾ o ĩ t e s t ʃ ĩ n ɐj s
gavassi	ɡ ɐ v ɐ s i
