अ	ɐ
गच्छ	ɡ ɐ t t͡ɕʰ ɐ
गच्छत	ɡ ɐ t t͡ɕʰ ɐ t ɐ
गच्छतम्	ɡ ɐ t t͡ɕʰ ɐ t ɐ m
गच्छतस्	ɡ ɐ t̪ t͡ɕʰ ɐ t̪ ɐ s̪
गच्छताम्	ɡ ɐ t t͡ɕʰ ɐ t ɑː m
गच्छति	ɡ ɐ t̪ t͡ɕʰ ɐ t̪ i
गच्छतु	ɡ ɐ t t͡ɕʰ ɐ t u
गच्छथ	ɡ ɐ t t͡ɕʰ ɐ tʰ ɐ
गच्छथस्	ɡ ɐ t t͡ɕʰ ɐ tʰ ɐ s
गच्छन्ति	ɡ ɐ t̪ t͡ɕʰ ɐ n̪ t̪ i
गच्छन्तु	ɡ ɐ t t͡ɕʰ ɐ n t u
गच्छसि	ɡ ɐ t t͡ɕʰ ɐ s i
गच्छानि	ɡ ɐ t t͡ɕʰ ɑː n i
गच्छाम	ɡ ɐ t t͡ɕʰ ɑː m ɐ
गच्छामस्	ɡ ɐ t t͡ɕʰ ɑː m ɐ s
गच्छामि	ɡ ɐ t t͡ɕʰ ɑː m i
गच्छाव	ɡ ɐ t t͡ɕʰ ɑː ʋ ɐ
गच्छावस्	ɡ ɐ t t͡ɕʰ ɑː ʋ ɐ s
गच्छेत	ɡ ɐ t t͡ɕʰ ɐ j t ɐ
गच्छेतम्	ɡ ɐ t t͡ɕʰ ɐ j t ɐ m
गच्छेताम्	ɡ ɐ t t͡ɕʰ ɐ j t ɑː m
गच्छेत्	ɡ ɐ t t͡ɕʰ ɐ j t
गच्छेम	ɡ ɐ t t͡ɕʰ ɐ j m ɐ
गच्छेयम्	ɡ ɐ t t͡ɕʰ ɐ j j ɐ m
गच्छेयुस्	ɡ ɐ t t͡ɕʰ ɐ j j u s
गच्छेव	ɡ ɐ t t͡ɕʰ ɐ j ʋ ɐ
गच्छेस्	ɡ ɐ t t͡ɕʰ ɐ j s
गज	ɡ ɐ d͡ʑ ɐ
गजमुख	ɡ ɐ d͡ʑ ɐ m u kʰ ɐ
गजवदन	ɡ ɐ d͡ʑ ɐ ʋ ɐ d ɐ n ɐ
गञ्ज	ɡ ɐ ɲ d͡ʑ ɐ
गञ्जा	ɡ ɐ ɲ d͡ʑ ɑː
गण	ɡ ɐ ɳ ɐ
गणक	ɡ ɐ ɳ ɐ k ɐ
गणन	ɡ ɐ ɳ ɐ n̪ ɐ
गणनीय	ɡ ɐ ɳ ɐ n iː j ɐ
गणपति	ɡ ɐ ɳ ɐ p ɐ t̪ i
गणयति	ɡ ɐ ɳ ɐ j ɐ t̪ i
गणित	ɡ ɐ ɳ i t ɐ́
गणेश	ɡ ɐ ɳ eː ɕ ɐ
गण्	ɡ ɐ ɳ
गण्ड	ɡ ɐ ɳ ɖ ɐ
गण्य	ɡ ɐ ɳ j ɐ
गत	ɡ ɐ t ɐ́
गतरस	ɡ ɐ t ɐ ɾ ɐ s ɐ
गति	ɡ ɐ t̪ i
गते	ɡ ɐ t ɐ́ j
गदति	ɡ ɐ d̪ ɐ t̪ i
गदा	ɡ ɐ d ɑː
गद्	ɡ ɐ d
गद्य	ɡ ɐ d j ɐ́
गधि	ɡ ɐ dʱ í
गन्ता	ɡ ɐ n t ɑ́ː
गन्तारस्	ɡ ɐ n t ɑː ɾ ɐ s
गन्तारौ	ɡ ɐ n t ɑː ɾ ɑː w
गन्तासि	ɡ ɐ n t ɑː s i
गन्तास्थ	ɡ ɐ n t ɑː s tʰ ɐ
गन्तास्थस्	ɡ ɐ n t ɑː s tʰ ɐ s
गन्तास्मस्	ɡ ɐ n t ɑː s m ɐ s
गन्तास्मि	ɡ ɐ n t ɑː s m i
गन्तास्वस्	ɡ ɐ n t ɑː s ʋ ɐ s
गन्ति	ɡ ɐ n̪ t̪ i
गन्तुम्	ɡ ɐ n t u m
गन्तृ	ɡ ɐ n t r̩
गन्तोस्	ɡ ɐ n̪ t̪ oː s̪
गन्ध	ɡ ɐ n dʱ ɐ́
गन्धक	ɡ ɐ n dʱ ɐ k ɐ
गन्धमादन	ɡ ɐ n dʱ ɐ m ɑː d ɐ n ɐ
गन्धर्व	ɡ ɐ n dʱ ɐ ɾ ʋ ɐ́
गन्धार	ɡ ɐ n dʱ ɑː ɾ ɐ
गन्धाली	ɡ ɐ n dʱ ɑː l iː
गन्धि	ɡ ɐ n dʱ i
गभस्ति	ɡ ɐ bʱ ɐ s̪ t̪ i
गभीर	ɡ ɐ bʱ iː ɾ ɐ
गमति	ɡ ɐ m ɐ t̪ i
गमन	ɡ ɐ m ɐ n ɐ
गमनीय	ɡ ɐ m ɐ n̪ iː j ɐ
गमयति	ɡ ɐ m ɐ j ɐ t̪ i
गमिष्यतस्	ɡ ɐ m i ʂ j ɐ t ɐ s
गमिष्यति	ɡ ɐ m i ʂ j ɐ t i
गमिष्यथ	ɡ ɐ m i ʂ j ɐ tʰ ɐ
गमिष्यथस्	ɡ ɐ m i ʂ j ɐ tʰ ɐ s
गमिष्यन्ति	ɡ ɐ m i ʂ j ɐ n t i
गमिष्यसि	ɡ ɐ m i ʂ j ɐ s i
गमिष्यामस्	ɡ ɐ m i ʂ j ɑː m ɐ s
गमिष्यामि	ɡ ɐ m i ʂ j ɑː m i
गमिष्यावस्	ɡ ɐ m i ʂ j ɑː ʋ ɐ s
गम्	ɡ ɐ m
गम्भीर	ɡ ɐ m bʱ iː ɾ ɐ
गम्य	ɡ ɐ m j ɐ
गम्यताम्	ɡ ɐ m j ɐ t ɑː m
गम्यते	ɡ ɐ m j ɐ t̪ eː
गम्यन्ते	ɡ ɐ m j ɐ n t ɐ j
गम्ये	ɡ ɐ m j eː
गम्येत	ɡ ɐ m j eː t̪ ɐ
गम्येते	ɡ ɐ m j eː t̪ eː
गर	ɡ ɐ ɾ ɐ
गरिष्ठ	ɡ ɐ ɾ i ʂ ʈʰ ɐ
गरीयस्	ɡ ɐ ɾ iː j ɐ s̪
गरुड	ɡ ɐ ɾ u ɖ ɐ
गरुडस्	ɡ ɐ ɾ u ɖ ɐ s̪
गर्जति	ɡ ɐ ɾ d͡ʑ ɐ t̪ i
गर्जन	ɡ ɐ ɾ d͡ʑ ɐ n̪ ɐ
गर्त	ɡ ɐ ɾ t̪ ɐ
गर्द	ɡ ɐ ɾ d̪ ɐ
गर्दभ	ɡ ɐ ɾ d ɐ bʱ ɐ́
गर्द्	ɡ ɐ ɾ d
गर्धयते	ɡ ɐ ɾ dʱ ɐ j ɐ t ɐ j
गर्भ	ɡ ɐ ɾ bʱ ɐ
गर्भधारण	ɡ ɐ ɾ bʱ ɐ dʱ ɑː ɾ ɐ ɳ ɐ
गर्भधारित	ɡ ɐ ɾ bʱ ɐ dʱ ɑː ɾ i t ɐ
गर्भनाडी	ɡ ɐ ɾ bʱ ɐ n ɑː ɖ iː
गर्भिणी	ɡ ɐ ɾ bʱ i ɳ iː
गर्भिणीषु	ɡ ɐ ɾ bʱ i ɳ iː ʂ u
गर्व	ɡ ɐ ɾ ʋ ɐ
गर्हति	ɡ ɐ ɾ ɦ ɐ t i
गर्ह्	ɡ ɐ ɾ ɦ
गल	ɡ ɐ l̪ ɐ
गलगण्ड	ɡ ɐ l̪ ɐ ɡ ɐ ɳ ɖ ɐ
गलति	ɡ ɐ l̪ ɐ t̪ i
गल्	ɡ ɐ l
गल्ल	ɡ ɐ l l ɐ
गवय	ɡ ɐ ʋ ɐ j ɐ
गवामयन	ɡ ɐ ʋ ɑː m ɐ j ɐ n ɐ
गवाम्	ɡ ɐ ʋ ɑː m
गविष्टि	ɡ ɐ ʋ i ʂ ʈ i
गव्य	ɡ ɐ ʋ j ɐ
गव्यूति	ɡ ɐ ʋ j uː t̪ i
गहि	ɡ ɐ ɦ i
गा	ɡ ɑː
गाङ्गट	ɡ ɑː ŋ ɡ ɐ ʈ ɐ
गाढ	ɡ ɑː ɖʱ ɐ
गाणपत्य	ɡ ɑː ɳ ɐ p ɐ t j ɐ
गातृ	ɡ ɑː t r̩
गात्र	ɡ ɑː t̪ ɾ ɐ
गाथ	ɡ ɑː tʰ ɐ́
गाथा	ɡ ɑː t̪ʰ ɑː
गाध	ɡ ɑː dʱ ɐ́
गाधताम्	ɡ ɑː dʱ ɐ t ɑː m
गाधते	ɡ ɑː dʱ ɐ t ɐ j
गाधे	ɡ ɑː dʱ ɐ j
गान	ɡ ɑː n ɐ
गान्धार	ɡ ɑː n dʱ ɑː ɾ ɐ
गान्धारी	ɡ ɑː n dʱ ɑː ɾ iː
गायति	ɡ ɑː j ɐ t̪ i
गायत्री	ɡ ɑː j ɐ t ɾ íː
गायन	ɡ ɑː j ɐ n ɐ
गार्जर	ɡ ɑː ɾ d͡ʑ ɐ ɾ ɐ
गार्हपत्य	ɡ ɑː ɾ ɦ ɐ p ɐ t̪ j ɐ
गार्ह्य	ɡ ɑː ɾ ɦ j ɐ
गालि	ɡ ɑː l̪ i
गावी	ɡ ɑː ʋ iː
गाहते	ɡ ɑː ɦ ɐ t̪ eː
गाहितुम्	ɡ ɑː ɦ i t̪ u m
गाह्	ɡ ɑː ɦ
गिरति	ɡ i ɾ ɐ t̪ i
गिरि	ɡ i ɾ i
गिरिका	ɡ i ɾ i k ɑː
गिरी	ɡ i ɾ iː
गिरीश	ɡ i ɾ iː ɕ ɐ
गिर्	ɡ i ɾ
गिलति	ɡ i l ɐ́ t i
गीत	ɡ iː t ɐ́
गीता	ɡ iː t ɑ́ː
गीर्	ɡ iː ɾ
गीर्ण	ɡ iː ɾ ɳ ɐ
गु	ɡ u
गुच्छ	ɡ u t t͡ɕʰ ɐ
गुजराती	ɡ u d͡ʑ ɐ ɾ ɑː t iː
गुञ्जति	ɡ u ɲ d͡ʑ ɐ t i
गुञ्जा	ɡ u ɲ d͡ʑ ɑː
गुड	ɡ u ɖ ɐ
गुण	ɡ u ɳ ɐ
गुणक	ɡ u ɳ ɐ k ɐ
गुण्डक	ɡ u ɳ ɖ ɐ k ɐ
गुद	ɡ u d ɐ́
गुप्	ɡ u p
गुप्त	ɡ u p t ɐ́
गुम्फ	ɡ u m pʰ ɐ
गुरवस्	ɡ u ɾ ɐ ʋ ɐ s̪
गुरु	ɡ u ɾ u
गुरुत्व	ɡ u ɾ u t̪ ʋ ɐ
गुरुत्वाकर्षण	ɡ u ɾ u t̪ ʋ ɑː k ɐ ɾ ʂ ɐ ɳ ɐ
गुरुवार	ɡ u ɾ u ʋ ɑː ɾ ɐ
गुरू	ɡ u r úː
गुर्	ɡ u ɾ
गुर्जर	ɡ u ɾ d͡ʑ ɐ ɾ ɐ
गुल	ɡ u l ɐ
गुलः	ɡ u l̪ ɐ h
गुलम्	ɡ u l̪ ɐ m
गुल्फ	ɡ u l pʰ ɐ́
गुल्म	ɡ u l̪ m ɐ
गुहा	ɡ u ɦ ɑː
गुह्	ɡ u ɦ
गूढ	ɡ uː ɖʱ ɐ
गूथ	ɡ uː t̪ʰ ɐ
गूर्त	ɡ uː ɾ t ɐ́
गूर्ति	ɡ uː ɾ t í
गूर्द्	ɡ uː ɾ d
गूळ्ह	ɡ uː ɭ̆ʱ ɐ
गूहति	ɡ uː ɦ ɐ t̪ i
गृ	ɡ r̩
गृञ्ज	ɡ r̩ ɲ d͡ʑ ɐ
गृञ्जन	ɡ r̩ ɲ d͡ʑ ɐ n ɐ
गृणाति	ɡ r̩ ɳ ɑː t̪ i
गृद	ɡ r̩ d ɐ́
गृद्धि	ɡ r̩ d dʱ i
गृध्	ɡ r̩ dʱ
गृध्यति	ɡ r̩ d̪ʱ j ɐ t̪ i
गृध्र	ɡ r̩ d̪ʱ ɾ ɐ
गृभ्	ɡ r̩ bʱ
गृभ्णाति	ɡ r̩ bʱ ɳ ɑː t̪ i
गृष्टि	ɡ r̩ ʂ ʈ i
गृह	ɡ r̩ ɦ ɐ
गृहपति	ɡ r̩ ɦ ɐ p ɐ t̪ i
गृहपत्नी	ɡ r̩ ɦ ɐ p ɐ t̪ n̪ iː
गृहस्थ	ɡ r̩ ɦ ɐ s tʰ ɐ
गृह्णाति	ɡ r̩ ɦ ɳ ɑː t̪ i
गृह्य	ɡ r̩ ɦ j ɐ
गॄ	ɡ r̩ː
गेह	ɡ eː ɦ ɐ
गै	ɡ ɑ j
गो	ɡ oː
गोकर्ण	ɡ oː k ɐ ɾ ɳ ɐ
गोकुल	ɡ oː k u l̪ ɐ
गोक्षीर	ɡ oː k ʂ iː ɾ ɐ
गोग्रह	ɡ oː ɡ ɾ ɐ ɦ ɐ
गोण	ɡ oː ɳ ɐ
गोणी	ɡ oː ɳ iː
गोण्ड	ɡ oː ɳ ɖ ɐ
गोतम	ɡ oː t̪ ɐ m ɐ
गोत्र	ɡ oː t̪ ɾ ɐ
गोद	ɡ oː d̪ ɐ
गोदान	ɡ oː d̪ ɑː n̪ ɐ
गोदावरी	ɡ oː d̪ ɑː ʋ ɐ ɾ iː
गोधा	ɡ oː d̪ʱ ɑː
गोधायस्	ɡ oː d̪ʱ ɑː j ɐ s̪
गोधि	ɡ oː d̪ʱ i
गोधिका	ɡ oː d̪ʱ i k ɑː
गोधूम	ɡ oː d̪ʱ uː m ɐ
गोप	ɡ oː p ɐ
गोपनीय	ɡ oː p ɐ n̪ iː j ɐ
गोपनीयता	ɡ oː p ɐ n̪ iː j ɐ t̪ ɑː
गोपयति	ɡ oː p ɐ j ɐ t̪ i
गोपा	ɡ oː p ɑː
गोपाल	ɡ oː p ɑː l̪ ɐ
गोपितुम्	ɡ oː p i t̪ u m
गोपी	ɡ oː p iː
गोपीनाथ	ɡ oː p iː n̪ ɑː t̪ʰ ɐ
गोपुर	ɡ oː p u ɾ ɐ
गोप्तुम्	ɡ oː p t̪ u m
गोप्तृ	ɡ oː p t̪ r̩
गोमती	ɡ oː m ɐ t̪ iː
गोमांस	ɡ oː m ɑ̃ː s̪ ɐ
गोमूत्र	ɡ oː m uː t̪ ɾ ɐ
गोरक्ष	ɡ oː ɾ ɐ k ʂ ɐ
गोरूप	ɡ oː ɾ uː p ɐ
गोल	ɡ oː l̪ ɐ
गोलदीप	ɡ oː l̪ ɐ d̪ iː p ɐ
गोलिका	ɡ oː l̪ i k ɑː
गोवर्धन	ɡ oː ʋ ɐ ɾ d̪ʱ ɐ n̪ ɐ
गोविन्द	ɡ oː ʋ i n̪ d̪ ɐ
गोवृष	ɡ oː ʋ r̩ ʂ ɐ
गोशाला	ɡ oː ɕ ɑː l̪ ɑː
गोष्ठ	ɡ oː ʂ ʈʰ ɐ
गोस्वामिन्	ɡ oː s̪ ʋ ɑː m i n̪
गौड	ɡ ɑ w ɖ ɐ
गौतम	ɡ ɑ w t̪ ɐ m ɐ
गौर	ɡ ɑ w ɾ ɐ
गौरी	ɡ ɑ w ɾ iː
गौस्	ɡ ɑ w s̪
ग्ना	ɡ n ɑ́ː
ग्मा	ɡ m ɑː
ग्रथन	ɡ ɾ ɐ tʰ ɐ n ɐ
ग्रथ्	ɡ ɾ ɐ tʰ
ग्रन्थ	ɡ ɾ ɐ n tʰ ɐ
ग्रन्थयति	ɡ ɾ ɐ n̪ t̪ʰ ɐ j ɐ t̪ i
ग्रन्थि	ɡ ɾ ɐ n tʰ í
ग्रन्थ्	ɡ ɾ ɐ n tʰ
ग्रभ्	ɡ ɾ ɐ bʱ
ग्रसति	ɡ ɾ ɐ s̪ ɐ t̪ i
ग्रस्	ɡ ɾ ɐ s
ग्रह	ɡ ɾ ɐ ɦ ɐ
ग्रहण	ɡ ɾ ɐ ɦ ɐ ɳ ɐ
ग्रह्	ɡ ɾ ɐ ɦ
ग्राम	ɡ ɾ ɑː m ɐ
ग्रामचर्या	ɡ ɾ ɑː m ɐ t͡ɕ ɐ ɾ j ɑː
ग्रावन्	ɡ ɾ ɑː ʋ ɐ n̪
ग्रीवा	ɡ ɾ iː ʋ ɑː
ग्रीष्म	ɡ ɾ iː ʂ m ɐ
ग्रैष्म	ɡ ɾ ɑ j ʂ m ɐ
ग्लानि	ɡ l ɑː n í
ग्लै	ɡ l ɑː j
ग्लौ	ɡ l ɑ́ː w
घ	ɡʱ ɐ
घकार	ɡʱ ɐ k ɑː ɾ ɐ
घट	ɡʱ ɐ ʈ ɐ
घटक	ɡʱ ɐ ʈ ɐ k ɐ
घटते	ɡʱ ɐ ʈ ɐ t̪ eː
घटन	ɡʱ ɐ ʈ ɐ n ɐ
घटना	ɡʱ ɐ ʈ ɐ n̪ ɑː
घटित	ɡʱ ɐ ʈ i t ɐ
घट्	ɡʱ ɐ ʈ
घट्ट	ɡʱ ɐ ʈ ʈ ɐ
घट्टयति	ɡʱ ɐ ʈ ʈ ɐ j ɐ t̪ i
घट्ट्	ɡʱ ɐ ʈ ʈ
घण्टा	ɡʱ ɐ ɳ ʈ ɑː
घण्टिक	ɡʱ ɐ ɳ ʈ i k ɐ
घन	ɡʱ ɐ n ɐ́
घनता	ɡʱ ɐ n ɐ t ɑː
घर्म	ɡʱ ɐ ɾ m ɐ
घर्षण	ɡʱ ɐ ɾ ʂ ɐ ɳ ɐ
घर्षति	ɡʱ ɐ ɾ ʂ ɐ t̪ i
घस्	ɡʱ ɐ s
घस्र	ɡʱ ɐ s ɾ ɐ
घात	ɡʱ ɑː t ɐ
घातक	ɡʱ ɑː t ɐ k ɐ
घातिन्	ɡʱ ɑː t i n
घास	ɡʱ ɑː s ɐ́
घिण्णते	ɡʱ i ɳ ɳ ɐ t̪ eː
घिण्ण्	ɡʱ i ɳ ɳ
घुट	ɡʱ u ʈ ɐ
घुण्ट	ɡʱ u ɳ ʈ ɐ
घुर्घुरा	ɡʱ u ɾ ɡʱ u ɾ ɑː
घुष्	ɡʱ u ʂ
घूक	ɡʱ uː k ɐ
घूर्णति	ɡʱ uː ɾ ɳ ɐ t̪ i
घूर्ण्	ɡʱ uː ɾ ɳ
घृ	ɡʱ r̩
घृण	ɡʱ r̩ ɳ ɐ
घृणा	ɡʱ r̩ ɳ ɑː
घृणोति	ɡʱ r̩ ɳ oː t̪ i
घृण्	ɡʱ r̩ ɳ
घृत	ɡʱ r̩ t ɐ́
घृतपूर	ɡʱ r̩ t ɐ p uː ɾ ɐ
घृष्ट	ɡʱ r̩ ʂ ʈ ɐ
घृष्यते	ɡʱ r̩ ʂ j ɐ t ɐ j
घोट	ɡʱ oː ʈ ɐ
घोटक	ɡʱ oː ʈ ɐ k ɐ
घोर	ɡʱ oː ɾ ɐ
घोष	ɡʱ oː ʂ ɐ
घोषक	ɡʱ oː ʂ ɐ k ɐ
घोषणा	ɡʱ oː ʂ ɐ ɳ ɑː
घोषति	ɡʱ oː ʂ ɐ t̪ i
घ्न	ɡʱ n ɐ
घ्रंस	ɡʱ ɾ ɐ̃ s ɐ́
घ्रा	ɡʱ ɾ ɑː
घ्राण	ɡʱ ɾ ɑː ɳ ɐ
ङ	ŋ ɐ
ङकार	ŋ ɐ k ɑː ɾ ɐ
ङु	ŋ u
च	t͡ɕ ɐ
चकर्ष	t͡ɕ ɐ k ɐ ɾ ʂ ɐ
चकल्प	t͡ɕ ɐ k ɐ l̪ p ɐ
चकाङ्क्ष	t͡ɕ ɐ k ɑː ŋ k ʂ ɐ
चकार	t͡ɕ ɐ k ɑː ɾ ɐ
चकृतिम	t͡ɕ ɐ k r̩ t i m ɐ
चकृवांस्	t͡ɕ ɐ k r̩ ʋ ɑ̃ː s̪
चके	t͡ɕ ɐ k eː
चकोर	t͡ɕ ɐ k oː ɾ ɐ
चक्र	t͡ɕ ɐ k ɾ ɐ
चक्रबन्ध	t͡ɕ ɐ k ɾ ɐ b ɐ n dʱ ɐ
चक्रवर्तिनी	t͡ɕ ɐ k ɾ ɐ ʋ ɐ ɾ t i n iː
चक्रवर्तिन्	t͡ɕ ɐ k ɾ ɐ ʋ ɐ ɾ t i n
चक्रवर्ती	t͡ɕ ɐ k ɾ ɐ ʋ ɐ ɾ t iː
चक्रवाक	t͡ɕ ɐ k ɾ ɐ ʋ ɑː k ɐ
चक्रवाकी	t͡ɕ ɐ k ɾ ɐ ʋ ɑː k iː
चक्रवात	t͡ɕ ɐ k ɾ ɐ ʋ ɑː t ɐ
चक्रवाल	t͡ɕ ɐ k ɾ ɐ ʋ ɑː l̪ ɐ
चक्षति	t͡ɕ ɐ k ʂ ɐ t̪ i
चक्षते	t͡ɕ ɐ k ʂ ɐ t̪ eː
चक्षस्	t͡ɕ ɐ k ʂ ɐ s̪
चक्षु	t͡ɕ ɐ k ʂ u
चक्षुष	t͡ɕ ɐ k ʂ u ʂ ɐ
चक्षुस्	t͡ɕ ɐ k ʂ u s̪
चक्ष्	t͡ɕ ɐ k ʂ
चखान	t͡ɕ ɐ kʰ ɑː n̪ ɐ
चङ्क्रम	t͡ɕ ɐ ŋ k ɾ ɐ m ɐ
चङ्ग	t͡ɕ ɐ ŋ ɡ ɐ
चचार	t͡ɕ ɐ t͡ɕ ɑː ɾ ɐ
चञ्चल	t͡ɕ ɐ ɲ t͡ɕ ɐ l ɐ
चटक	t͡ɕ ɐ ʈ ɐ k ɐ
चट्टोपाध्याय	t͡ɕ ɐ ʈ ʈ oː p ɑː d̪ʱ j ɑː j ɐ
चण	t͡ɕ ɐ ɳ ɐ
चणक	t͡ɕ ɐ ɳ ɐ k ɐ
चण्ड	t͡ɕ ɐ ɳ ɖ ɐ
चण्डाल	t͡ɕ ɐ ɳ ɖ ɑː l ɐ
चण्डिमन्	t͡ɕ ɐ ɳ ɖ i m ɐ n
चतुःशृङ्ग	t͡ɕ ɐ t̪ u h ɕ r̩ ŋ ɡ ɐ
चतुर	t͡ɕ ɐ t u ɾ ɐ
चतुरङ्ग	t͡ɕ ɐ t̪ u ɾ ɐ ŋ ɡ ɐ
चतुर्	t͡ɕ ɐ t ú ɾ
चतुर्गुण	t͡ɕ ɐ t̪ u ɾ ɡ u ɳ ɐ
चतुर्थ	t͡ɕ ɐ t u ɾ tʰ ɐ́
चतुर्थी	t͡ɕ ɐ t u ɾ tʰ iː
चतुर्दश	t͡ɕ ɐ t u ɾ d ɐ ɕ ɐ́
चतुर्नवति	t͡ɕ ɐ t u ɾ n ɐ ʋ ɐ t i
चतुर्मास	t͡ɕ ɐ t u ɾ m ɑː s ɐ
चतुर्मुख	t͡ɕ ɐ t u ɾ m u kʰ ɐ
चतुर्विंशति	t͡ɕ ɐ t̪ u ɾ ʋ ĩ ɕ ɐ t̪ i
चतुर्वेदिन्	t͡ɕ ɐ t u ɾ ʋ ɐ́ j d i n
चतुर्वेदी	t͡ɕ ɐ t u ɾ ʋ ɐ́ j d iː
चतुश्चत्वारिंशत्	t͡ɕ ɐ t̪ u ɕ t͡ɕ ɐ t̪ ʋ ɑː ɾ ĩ ɕ ɐ t̪
चतुष्क	t͡ɕ ɐ t u ʂ k ɐ
चतुष्पद्	t͡ɕ ɐ t̪ u ʂ p ɐ d̪
चतुस्	t͡ɕ ɐ t ú s
चतुस्ताल	t͡ɕ ɐ t u s t ɑː l ɐ
चतुस्त्रिंशत्	t͡ɕ ɐ t̪ u s̪ t̪ ɾ ĩ ɕ ɐ t̪
चत्वारस्	t͡ɕ ɐ t ʋ ɑ́ː ɾ ɐ s
चत्वारिंशत्	t͡ɕ ɐ t ʋ ɑː ɾ ĩ ɕ ɐ́ t
चन	t͡ɕ ɐ n ɐ́
चनस्	t͡ɕ ɐ n̪ ɐ s̪
चन्	t͡ɕ ɐ n
चन्दन	t͡ɕ ɐ n d ɐ n ɐ
चन्द्	t͡ɕ ɐ n d
चन्द्र	t͡ɕ ɐ n d ɾ ɐ́
चन्द्रकान्ति	t͡ɕ ɐ n d ɾ ɐ k ɑː n t i
चन्द्रगुप्त	t͡ɕ ɐ n d ɾ ɐ ɡ u p t ɐ́
चन्द्रचूड	t͡ɕ ɐ n d ɾ ɐ t͡ɕ uː ɖ ɐ
चन्द्रबिन्दु	t͡ɕ ɐ n d ɾ ɐ b i n d u
चन्द्रभागा	t͡ɕ ɐ n d ɾ ɐ bʱ ɑː ɡ ɑ́ː
चन्द्रमः	t͡ɕ ɐ n d ɾ ɐ m ɐ h
चन्द्रमस्	t͡ɕ ɐ n d ɾ ɐ́ m ɐ s
चन्द्रमाः	t͡ɕ ɐ n d ɾ ɐ m ɑː h
चन्द्रमास्	t͡ɕ ɐ n d ɾ ɐ́ m ɑː s
चन्द्रवंश	t͡ɕ ɐ n̪ d̪ ɾ ɐ ʋ ɐ̃ ɕ ɐ
चन्द्रशेखर	t͡ɕ ɐ n d ɾ ɐ ɕ ɐ j kʰ ɐ ɾ ɐ
चन्द्रहास	t͡ɕ ɐ n d ɾ ɐ́ ɦ ɑː s ɐ
चन्द्रिमा	t͡ɕ ɐ n d ɾ í m ɑː
चपयति	t͡ɕ ɐ p ɐ j ɐ t̪ i
चपल	t͡ɕ ɐ p ɐ l ɐ
चपेट	t͡ɕ ɐ p eː ʈ ɐ
चप्	t͡ɕ ɐ p
चमति	t͡ɕ ɐ m ɐ t̪ i
चमत्कार	t͡ɕ ɐ m ɐ t k ɑː ɾ ɐ
चमर	t͡ɕ ɐ m ɐ ɾ ɐ
चमरी	t͡ɕ ɐ m ɐ ɾ iː
चमस	t͡ɕ ɐ m ɐ s ɐ́
चमू	t͡ɕ ɐ m uː
चम्	t͡ɕ ɐ m
चम्पक	t͡ɕ ɐ m p ɐ k ɐ
चय	t͡ɕ ɐ j ɐ
चयते	t͡ɕ ɐ j ɐ t̪ eː
चयन	t͡ɕ ɐ j ɐ n̪ ɐ
चर	t͡ɕ ɐ ɾ ɐ
चरण	t͡ɕ ɐ ɾ ɐ ɳ ɐ
चरति	t͡ɕ ɐ ɾ ɐ t̪ i
चरा	t͡ɕ ɐ ɾ ɑː
चरित	t͡ɕ ɐ ɾ i t ɐ́
चरित्र	t͡ɕ ɐ ɾ i t̪ ɾ ɐ
चरु	t͡ɕ ɐ ɾ u
चर्	t͡ɕ ɐ ɾ
चर्पट	t͡ɕ ɐ ɾ p ɐ ʈ ɐ
चर्पटी	t͡ɕ ɐ ɾ p ɐ ʈ iː
चर्मकार	t͡ɕ ɐ ɾ m ɐ k ɑː ɾ ɐ
चर्मन्	t͡ɕ ɐ ɾ m ɐ n̪
चर्ममय	t͡ɕ ɐ ɾ m ɐ m ɐ j ɐ
चर्मयष्टि	t͡ɕ ɐ ɾ m ɐ j ɐ ʂ ʈ i
चर्वति	t͡ɕ ɐ ɾ ʋ ɐ t̪ i
चर्वित	t͡ɕ ɐ ɾ ʋ i t ɐ
चर्व्	t͡ɕ ɐ ɾ ʋ
चल	t͡ɕ ɐ l ɐ
चलति	t͡ɕ ɐ l̪ ɐ t̪ i
चलाचल	t͡ɕ ɐ l ɑː t͡ɕ ɐ l ɐ́
चल्	t͡ɕ ɐ l
चषक	t͡ɕ ɐ ʂ ɐ k ɐ h
चष्टे	t͡ɕ ɐ ʂ ʈ eː
चाकॢपे	t͡ɕ ɑː k l̩ p ɐ́ j
चाणक्य	t͡ɕ ɑː ɳ ɐ k j ɐ
चातक	t͡ɕ ɑː t̪ ɐ k ɐ
चातुर्मास्य	t͡ɕ ɑː t u ɾ m ɑː s j ɐ́
चातुर्य	t͡ɕ ɑː t u ɾ j ɐ
चात्वाल	t͡ɕ ɑː t ʋ ɑː l ɐ
चान्द्र	t͡ɕ ɑː n d ɾ ɐ
चान्द्रायण	t͡ɕ ɑː n d ɾ ɑː j ɐ ɳ ɐ
चाप	t͡ɕ ɑː p ɐ
चामुण्डा	t͡ɕ ɑː m u ɳ ɖ ɑː
चार	t͡ɕ ɑː ɾ ɐ
चारु	t͡ɕ ɑː ɾ u
चालयति	t͡ɕ ɑː l ɐ́ j ɐ t i
चालुक्य	t͡ɕ ɑː l u k j ɐ
चि	t͡ɕ i
चिकित्सक	t͡ɕ i k i t s ɐ k ɐ
