ͷ	t͡s
δεινοτάτῳ	d eː n o t á t ɔː i̯
δεινοτέρα	d eː n o t é r aː
δεινοτέραιν	d eː n o t é r a i̯ n
δεινοτέραις	d eː n o t é r a i̯ s
δεινοτέραιϊν	d eː n o t é r a i̯ i n
δεινοτέραν	d eː n o t é r aː n
δεινοτέρας	d eː n o t é r aː s
δεινοτέρη	d eː n o t é r ɛː
δεινοτέρην	d eː n o t é r ɛː n
δεινοτέρης	d eː n o t é r ɛː s
δεινοτέροιν	d eː n o t é r o i̯ n
δεινοτέροιο	d eː n o t é r o i̯ o
δεινοτέροις	d eː n o t é r o i̯ s
δεινοτέροισι	d eː n o t é r o i̯ s i
δεινοτέροισιν	d eː n o t é r o i̯ s i n
δεινοτέροιϊν	d eː n o t é r o i̯ i n
δεινοτέροο	d eː n o t é r o o
δεινοτέρου	d eː n o t é r uː
δεινοτέρους	d eː n o t é r uː s
δεινοτέρω	d eː n o t é r ɔː
δεινοτέρων	d eː n o t é r ɔː n
δεινοτέρᾳ	d eː n o t é r aː i̯
δεινοτέρῃ	d eː n o t é r ɛː i̯
δεινοτέρῃς	d eː n o t é r ɛː i̯ s
δεινοτέρῃσι	d eː n o t é r ɛː i̯ s i
δεινοτέρῃσιν	d eː n o t é r ɛː i̯ s i n
δεινοτέρῳ	d eː n o t é r ɔː i̯
δεινοτατάων	d eː n o t a t ǎː ɔː n
δεινοτατέων	d eː n o t a t é ɔː n
δεινοτατῶν	d eː n o t a t ɔ̂ː n
δεινοτεράων	d eː n o t e r ǎː ɔː n
δεινοτερέων	d eː n o t e r é ɔː n
δεινοτερῶν	d eː n o t e r ɔ̂ː n
δεινούς	d eː n ǔː s
δεινοῖν	d eː n ô i̯ n
δεινοῖο	d eː n ô i̯ o
δεινοῖς	d eː n ô i̯ s
δεινοῖσι	d eː n ô i̯ s i
δεινοῖσιν	d eː n ô i̯ s i n
δεινοῖϊν	d eː n ô i̯ i n
δεινοῦ	d eː n ûː
δεινόλοχος	d eː n ó l o kʰ o s
δεινόν	d eː n ó n
δεινόο	d eː n ó o
δεινός	d eː n ó s
δεινόστρατος	d eː n ó s t r a t o s
δεινότατα	d eː n ó t a t a
δεινόταται	d eː n ó t a t a i̯
δεινότατε	d eː n ó t a t e
δεινότατοι	d eː n ó t a t o i̯
δεινότατον	d eː n ó t a t o n
δεινότατος	d eː n ó t a t o s
δεινότερα	d eː n ó t e r a
δεινότεραι	d eː n ó t e r a i̯
δεινότερε	d eː n ó t e r e
δεινότεροι	d eː n ó t e r o i̯
δεινότερον	d eː n ó t e r o n
δεινότερος	d eː n ó t e r o s
δεινώ	d eː n ɔ̌ː
δεινῆς	d eː n ɛ̂ː s
δεινῇ	d eː n ɛ̂ː i̯
δεινῇς	d eː n ɛ̂ː i̯ s
δεινῇσι	d eː n ɛ̂ː i̯ s i
δεινῇσιν	d eː n ɛ̂ː i̯ s i n
δεινῶν	d eː n ɔ̂ː n
δεινῶς	d eː n ɔ̂ː s
δεινῷ	d eː n ɔ̂ː i̯
δειξάντων	d eː k s á n t ɔː n
δειξασῶν	d eː k s aː s ɔ̂ː n
δειπνέω	d eː p n é ɔː
δειπνολογία	d eː p n o k s o l o ɡ í aː
δειπνοσοφιστής	d eː p n o s o pʰ i s t ɛ̌ː s
δειράς	d eː r á s
δειρή	d eː r ɛ̌ː
δειρήν	d eː r ɛ̌ː n
δειρῆς	d eː r ɛ̂ː s
δεισήνωρ	d eː s ɛ̌ː n ɔː r
δεισιδαίμων	d eː s i d ǎ i̯ m ɔː n
δεκάδος	d e k a d o s
δεκάλογος	d e k a l o ɡ o s
δεκάπολις	d e k a p o l i s
δεκάς	d e k a s
δεκάτην	d e k a t e̝ n
δεκάτης	d e k a t e̝ s
δεκάτου	d e k a t u
δεκάτῃ	d e k a t e̝
δεκάτῳ	d e k a t o
δεκέλεια	d e k e l i a
δεκέμβριε	d e k e m b r i e
δεκέμβριοι	d e k e m b r i y
δεκέμβριος	d e k e m b r i o s
δεκανός	d e k a n o s
δεκαπολίτης	d e k a p o l i t e̝ s
δεκαστάδιον	d e k a s t a d i o n
δεκατέσσαρα	d e k a t e s s a r a
δεκατέσσαρες	d e k a t e s s a r e s
δεκατεσσάρων	d e k a t e s s a r o n
δεκεμβρίου	d e k e m b r i u
δεκεμβρίους	d e k e m b r i u s
δεκεμβρίων	d e k e m b r i o n
δελεάστρα	d e l e a s t r a
δελμίνιον	d e l m i n i o n
δελτίδιον	ð e l t i ð i o n
δελτοειδής	d e l t o eː d ɛ̌ː s
δελφίν	d e l pʰ i n
δελφίνιον	d e l pʰ i n i o n
δελφίς	d e l pʰ i s
δελφοί	d e l pʰ y
δελφούς	d e l pʰ u s
δελφοῖς	d e l pʰ y s
δελφός	d e l pʰ o s
δελφύ	d e l pʰ y
δελφύε	d e l pʰ y e
δελφύες	d e l pʰ y e s
δελφύν	d e l pʰ y n
δελφύοιν	d e l pʰ y y n
δελφύος	d e l pʰ y o s
δελφύς	d e l pʰ y s
δελφύσι	d e l pʰ y s i
δελφύσιν	d e l pʰ y s i n
δελφύων	d e l pʰ y o n
δελφύϊ	d e l pʰ y i
δελφῖνες	d e l pʰ i n e s
δελφῶν	d e l pʰ o n
δενδίλλω	d e n d i l l o
δενδρίτης	d e n d r i t e̝ s
δενδρολίβανον	d e n d r o l i b a n o n
δενδρομαλάχη	d e n d r o m a l a kʰ e̝
δεντάτος	d e n t a t o s
δεξάμενοι	d e k s a m e n y
δεξάμενος	d e k s a m e n o s
δεξαμένοις	d e k s a m e n y s
δεξαμένου	d e k s a m e n u
δεξαμένους	d e k s a m e n u s
δεξαμένων	d e k s a m e n o n
δεξιά	d e k s i a
δεξιάν	d e k s i a n
δεξιάς	d e k s i a s
δεξιαί	d e k s i ǎ i̯
δεξιαῖν	d e k s i â i̯ n
δεξιαῖς	d e k s i â i̯ s
δεξιοί	d e k s i y
δεξιούς	d e k s i u s
δεξιοῖν	d e k s i y n
δεξιοῖς	d e k s i y s
δεξιοῦ	d e k s i u
δεξιτερός	d e k s i t e r o s
δεξιτερῇ	d e k s i t e r e̝
δεξιφάνης	d e k s i pʰ a n e̝ s
δεξιόν	d e k s i o n
δεξιόομαι	d e k s i o o m ɛ
δεξιός	d e k s i o s
δεξιώ	d e k s i o
δεξιᾶς	d e k s i a s
δεξιᾷ	d e k s i a
δεξιῶν	d e k s i o n
δεξιῷ	d e k s i o
δεξόμεθα	d e k s o m e tʰ a
δεοίμεθα	d e y m e tʰ a
δεοίμην	d e y m e̝ n
δεομέναις	d e o m e n ɛ s
δεομένας	d e o m e n a s
δεομένη	d e o m e n e̝
δεομένην	d e o m e n e̝ n
δεομένης	d e o m e n e̝ s
δεομένοις	d e o m e n y s
δεομένου	d e o m e n u
δεομένους	d e o m e n u s
δεομένω	d e o m e n o
δεομένων	d e o m e n o n
δεομένῃ	d e o m e n e̝
δεομένῳ	d e o m e n o
δεουσῶν	d e u s o n
δεούσαιν	d e u s ɛ n
δεούσαις	d e u s ɛ s
δεούσας	d e u s a s
δεούσης	d e u s e̝ s
δεούσῃ	d e u s e̝
δεοῖν	d e y n
δεπάεσσι	d e p a e s s i
δεπάεσσιν	d e p a e s s i n
δερκετώ	d e r k e t o
δερκυλίδας	d e r k y l i d a s
δερμάτινος	d e r m a t i n o s
δερμάτοιν	d e r m a t y n
δερματοθήκη	d e r m a t o tʰ e̝ k e̝
δερματοφόρος	d e r m a t o pʰ o r o s
δερμηστής	d e r m e̝ s t e̝ s
δεσμά	d e z m a
δεσμέ	d e z m e
δεσμοί	d e z m y
δεσμοφύλαξ	d e z m o pʰ y l a k s
δεσμούς	d e z m u s
δεσμοῖν	d e z m y n
δεσμοῖο	d e z m y o
δεσμοῖς	d e z m y s
δεσμοῖσι	d e z m y s i
δεσμοῖσιν	d e z m y s i n
δεσμοῖϊν	d e z m y i n
δεσμοῦ	d e z m u
δεσμωτήριον	d e z m o t e̝ r i o n
δεσμωτηρίοις	d e z m o t e̝ r i y s
δεσμόν	d e z m o n
δεσμόο	d e z m o o
δεσμός	d e z m o s
δεσμώ	d e z m o
δεσμῶν	d e z m o n
δεσμῷ	d e z m o
δεσποίνης	d e s p y n e̝ s
δεσποίνῃ	d e s p y n e̝
δεσποτέων	d e s p o t e o n
δεσποτικά	d e s p o t i k a
δεσποτική	d e s p o t i k e̝
δεσποτικοί	d e s p o t i k y
δεσποτικούς	d e s p o t i k u s
δεσποτικός	d e s p o t i k o s
δεσποτῶν	d e s p o t o n
δεσπότα	d e s p o t a
δεσπόται	d e s p o t ɛ
δεσπόταιν	d e s p o t ɛ n
δεσπόταις	d e s p o t ɛ s
δεσπόταισι	d e s p o t ɛ s i
δεσπόταισιν	d e s p o t ɛ s i n
δεσπότας	d e s p o t a s
δεσπότεα	d e s p o t e a
δεσπότεω	d e s p o t e o
δεσπότην	d e s p o t e̝ n
δεσπότης	d e s p o t e̝ s
δεσπότου	d e s p o t u
δεσπότω	d e s p o t o
δεσπότῃ	d e s p o t e̝
δεσπότῃσι	d e s p o t e̝ s i
δεσπότῃσιν	d e s p o t e̝ s i n
δετός	d e t o s
δευκαλίων	d e u̯ k a l í ɔː n
δευκαλίωνος	d e u̯ k a l í ɔː n o s
δευτέρα	d e u̯ t é r aː
δευτέραις	d e u̯ t é r a i̯ s
δευτέραν	d e u̯ t é r aː n
δευτέρας	d e u̯ t é r aː s
δευτέροιν	d e u̯ t é r o i̯ n
δευτέροις	d e u̯ t é r o i̯ s
δευτέρου	d e u̯ t é r uː
δευτέρους	d e u̯ t é r uː s
δευτέρων	d e u̯ t é r ɔː n
δευτέρᾳ	d e u̯ t é r aː i̯
δευτέρῳ	d e u̯ t é r ɔː i̯
δευτήρ	d e u̯ t ɛ̌ː r
δευτεραγωνιστής	d e u̯ t e r a ɡ ɔː n i s t ɛ̌ː s
δευτερονομίου	d e ʍ t e r o n o m i u
δευτερονόμιον	d e ʍ t e r o n o m i o n
δεχέσθω	d e kʰ e s tʰ o
δεχοίμεθα	d e kʰ y m e tʰ a
δεχοίμην	d e kʰ y m e̝ n
δεχομέναις	d e kʰ o m e n ɛ s
δεχομένας	d e kʰ o m e n a s
δεχομένη	d e kʰ o m e n e̝
δεχομένην	d e kʰ o m e n e̝ n
δεχομένης	d e kʰ o m e n e̝ s
δεχομένοις	d e kʰ o m e n y s
δεχομένου	d e kʰ o m e n u
δεχομένους	d e kʰ o m e n u s
δεχομένων	d e kʰ o m e n o n
δεχομένῃ	d e kʰ o m e n e̝
δεχομένῳ	d e kʰ o m e n o
δεχόμεθα	d e kʰ o m e tʰ a
δεχόμενα	d e kʰ o m e n a
δεχόμεναι	d e kʰ o m e n ɛ
δεχόμενοι	d e kʰ o m e n y
δεχόμενον	d e kʰ o m e n o n
δεχόμενος	d e kʰ o m e n o s
δεχώμεθα	d e kʰ o m e tʰ a
δεόμεθα	d e o m e tʰ a
δεόμενα	d e o m e n a
δεόμεναι	d e o m e n ɛ
δεόμενοι	d e o m e n y
δεόμενον	d e o m e n o n
δεόμενος	d e o m e n o s
δεόντοιν	d e o n t y n
δεόντων	d e o n t o n
δεύεται	d e w e t ɛ
δεύοντο	d e w o n t o
δεύς	d e ʍ s
δεύτερα	d e ʍ t e r a
δεύτεραι	d e ʍ t e r ɛ
δεύτερε	d e ʍ t e r e
δεύτεροι	d e ʍ t e r y
δεύτερον	d e ʍ t e r o n
δεύτερος	d e ʍ t e r o s
δεύω	d e w o
δεώμεθα	d e o m e tʰ a
δεῆσαι	d e e̝ s ɛ
δεῖ	d i
δεῖγμα	d i ɡ m a
δεῖμα	d i m a
δεῖμε	d i m e
δεῖμον	d i m o n
δεῖμος	d i m o s
δεῖν	d i n
δεῖξις	d i k s i s
δεῖπνα	d i p n a
δεῖπνον	d i p n o n
δεῖς	d i s
δεῖσθαι	d i s tʰ ɛ
δεῖσθε	d i s tʰ e
δεῖται	d i t ɛ
δεῖτε	d i t e
δεῦ	d e w
δεῦε	d e w e
δεῦκος	d e ʍ k o s
δεῦμα	d e w m a
δεῦρ'	d e w r
δεῦρο	d e w r o
δεῦτε	d e ʍ t e
δεῶν	d e o n
δηΐοιο	d e̝ i y o
δηΐοισι	d e̝ i y s i
δηΐου	d e̝ i u
δηΐφοβος	d e̝ i pʰ o b o s
δηΐων	d e̝ i o n
δηθά	d e̝ tʰ a
δηθύνοντ'	d e̝ tʰ y n o n t
δηθύνοντα	d e̝ tʰ y n o n t a
δηθύνω	d e̝ tʰ y n o
δηθύνων	d e̝ tʰ y n o n
δηλέομαι	d e̝ l e o m ɛ
δηλία	d e̝ l i a
δηλίῳ	d e̝ l i o
δηλητήρ	d e̝ l e̝ t e̝ r
δηλητήριος	d e̝ l e̝ t e̝ r i o s
δηλητηριώδης	d e̝ l e̝ t e̝ r i o d e̝ s
δηλοίη	d e̝ l y e̝
δηλοίημεν	d e̝ l y e̝ m e n
δηλοίην	d e̝ l y e̝ n
δηλοίης	d e̝ l y e̝ s
δηλοίητε	d e̝ l y e̝ t e
δηλοίμην	d e̝ l y m e̝ n
δηλοτέρα	d e̝ l o t e r a
δηλοτέραιν	d e̝ l o t e r ɛ n
δηλοτέραις	d e̝ l o t e r ɛ s
δηλοτέραν	d e̝ l o t e r a n
δηλοτέρας	d e̝ l o t e r a s
δηλοτέροιν	d e̝ l o t e r y n
δηλοτέροις	d e̝ l o t e r y s
δηλοτέρου	d e̝ l o t e r u
δηλοτέρους	d e̝ l o t e r u s
δηλοτέρω	d e̝ l o t e r o
δηλοτέρων	d e̝ l o t e r o n
δηλοτέρᾳ	d e̝ l o t e r a
δηλοτέρῳ	d e̝ l o t e r o
δηλουμένη	d e̝ l u m e n e̝
δηλούμενον	d e̝ l u m e n o n
δηλούμενος	d e̝ l u m e n o s
δηλούντων	d e̝ l u n t o n
δηλούσθω	d e̝ l u s tʰ o
δηλούσθων	d e̝ l u s tʰ o n
δηλούτω	d e̝ l u t o
δηλοῖ	d e̝ l y
δηλοῖεν	d e̝ l y e n
δηλοῖμεν	d e̝ l y m e n
δηλοῖντο	d e̝ l y n t o
δηλοῖο	d e̝ l y o
δηλοῖς	d e̝ l y s
δηλοῖσθε	d e̝ l y s tʰ e
δηλοῖτε	d e̝ l y t e
δηλοῖτο	d e̝ l y t o
δηλοῦ	d e̝ l u
δηλοῦμαι	d e̝ l u m ɛ
δηλοῦμεν	d e̝ l u m e n
δηλοῦν	d e̝ l u n
δηλοῦνται	d e̝ l u n t ɛ
δηλοῦντας	d e̝ l u n t a s
δηλοῦντες	d e̝ l u n t e s
δηλοῦσθαι	d e̝ l u s tʰ ɛ
δηλοῦσθε	d e̝ l u s tʰ e
δηλοῦσι	d e̝ l u s i
δηλοῦται	d e̝ l u t ɛ
δηλοῦτε	d e̝ l u t e
δηλωθέντος	d e̝ l o tʰ e n t o s
δηλωθείς	d e̝ l o tʰ i s
δηλότερα	d e̝ l o t e r a
δηλότεραι	d e̝ l o t e r ɛ
δηλότερε	d e̝ l o t e r e
δηλότεροι	d e̝ l o t e r y
δηλότερον	d e̝ l o t e r o n
δηλότερος	d e̝ l o t e r o s
δηλόω	d e̝ l o o
δηλώσει	d e̝ l o s i
δηλώσεις	d e̝ l o s i s
δηλώσεων	d e̝ l o s e o n
δηλώσεως	d e̝ l o s e o s
δηλώσομεν	d e̝ l o s o m e n
δηλώσω	d e̝ l o s o
δηλῶ	d e̝ l o
δηλῶμαι	d e̝ l o m ɛ
δηλῶμεν	d e̝ l o m e n
δηλῶν	d e̝ l o n
δηλῶνται	d e̝ l o n t ɛ
δηλῶσαι	d e̝ l o s ɛ
δηλῶσθε	d e̝ l o s tʰ e
δηλῶται	d e̝ l o t ɛ
δηλῶτε	d e̝ l o t e
δημάρατος	d e̝ m a r a t o s
δημέ	d e̝ m e
δημήτερα	d e̝ m e̝ t e r a
δημήτερι	d e̝ m e̝ t e r i
δημήτερος	d e̝ m e̝ t e r o s
δημήτηρ	d e̝ m e̝ t e̝ r
δημήτριον	d e̝ m e̝ t r i o n
δημήτριος	d e̝ m e̝ t r i o s
δημαγωγία	d e̝ m a ɡ o ɡ i a
δημαγωγικός	d e̝ m a ɡ o ɡ i k o s
δημαγωγός	d e̝ m a ɡ o ɡ o s
δημεῖον	d e̝ m i o n
δημητρίῳ	d e̝ m e̝ t r i o
δημητριάς	d e̝ m e̝ t r i a s
δημιουργέω	d e̝ m i u r ɡ e o
δημιουργικός	d e̝ m i u r ɡ i k o s
δημιουργικῆς	d e̝ m i u r ɡ i k e̝ s
δημιουργός	d e̝ m i u r ɡ o s
δημιόπρατος	d e̝ m i o p r a t o s
δημοβόρος	d e̝ m o b o r o s
δημοδόκῳ	d e̝ m o d o k o
δημοκλείδης	d e̝ m o k l i d e̝ s
δημοκλῆς	d e̝ m o k l e̝ s
δημοκρατέομαι	d e̝ m o k r a t e o m ɛ
δημοκρατία	d e̝ m o k r a t i a
δημοκρατίαι	d e̝ m o k r a t i ɛ
δημοκρατίαιν	d e̝ m o k r a t i ɛ n
δημοκρατίαις	d e̝ m o k r a t i ɛ s
δημοκρατίαν	d e̝ m o k r a t i a n
δημοκρατίας	d e̝ m o k r a t i a s
δημοκρατίᾳ	d e̝ m o k r a t i a
δημοκρατικός	d e̝ m o k r a t i k o s
δημοκρατιῶν	d e̝ m o k r a t i o n
δημοκόλαξ	d e̝ m o k o l a k s
δημολέων	d e̝ m o l e o n
δημομέλης	d e̝ m o m e l e̝ s
δημοπίθηκος	d e̝ m o p i tʰ e̝ k o s
δημοπτόλεμος	d e̝ m o p t o l e m o s
δημοσίου	d e̝ m o s i u
δημοσίᾳ	d e̝ m o s i a
δημοσίῳ	d e̝ m o s i o
δημοσθένει	d e̝ m o s tʰ e n i
δημοσθένη	d e̝ m o s tʰ e n e̝
δημοσθένης	d e̝ m o s tʰ e n e̝ s
δημοσθένους	d e̝ m o s tʰ e n u s
δημοσιεύω	d e̝ m o s i e w o
δημοτικά	d e̝ m o t i k a
δημοτικέ	d e̝ m o t i k e
δημοτική	d e̝ m o t i k e̝
δημοτικοί	d e̝ m o t i k y
δημοτικούς	d e̝ m o t i k u s
δημοτικός	d e̝ m o t i k o s
δημοφάνης	d e̝ m o pʰ a n e̝ s
δημοφῶν	d e̝ m o pʰ o n
δημοῦ	d e̝ m u
δημοῦχος	d e̝ m u kʰ o s
δημόδοκος	d e̝ m o d o k o s
δημόκλειτος	d e̝ m o k l i t o s
δημόκριτος	d e̝ m o k r i t o s
δημόν	d e̝ m o n
δημός	d e̝ m o s
δημόσθενες	d e̝ m o s tʰ e n e s
δημόσιος	d e̝ m o s i o s
δημόστρατος	d e̝ m o s t r a t o s
δημότης	d e̝ m o t e̝ s
δημόφιλος	d e̝ m o pʰ i l o s
δημώδης	d e̝ m o d e̝ s
δημώδους	d e̝ m o d u s
δημῷ	d e̝ m o
δηνάριον	d e̝ n a r i o n
δηρουσιαῖοι	d e̝ r u s i ɛ y
δηρόν	d e̝ r o n
δηρός	d e̝ r o s
δηϊδάμεια	d e̝ i d a m i a
δηϊοτής	d e̝ i o t e̝ s
δηϊοτῆτα	d e̝ i o t e̝ t a
δηϊοτῆτι	d e̝ i o t e̝ t i
δηϊοτῆτος	d e̝ i o t e̝ t o s
δηϊόκης	d e̝ i o k e̝ s
δηϊόω	d e̝ i o o
δι'	d i
διΐ	d i i
διΐστημι	d i i s t e̝ m i
διά	d i a
διάβαθρον	d i a b a tʰ r o n
διάβολος	d i a b o l o s
διάγνωσιν	d i a ɡ n o s i n
διάγνωσις	d i a ɡ n o s i s
διάγω	d i a ɡ o
διάγων	d i a ɡ o n
διάδημα	d i a d e̝ m a
διάδοχος	d i a d o kʰ o s
διάζησις	d i a z e̝ s i s
διάζωμα	d i a z o m a
διάθεσιν	d i a tʰ e s i n
διάθεσις	d i a tʰ e s i s
διάκειμαι	d i a k i m ɛ
διάκονος	d i a k o n o s
διάκρισις	d i a k r i s i s
διάκτορος	d i a k t o r o s
διάλειμμα	d i a l i m m a
διάλεκτε	d i a l e k t e
διάλεκτοι	d i a l e k t y
διάλεκτον	d i a l e k t o n
διάλεκτος	d i a l e k t o s
διάλεξις	d i a l e k s i s
διάλογε	d i a l o ɡ e
διάλογοι	d i a l o ɡ y
διάλογος	d i a l o ɡ o s
διάλοιπος	d i a l y p o s
διάλυσε	d i a l y s e
διάλυσιν	d i a l y s i n
διάλυσις	d i a l y s i s
διάλυσοι	d i a l y s y
διάλυσον	d i a l y s o n
διάλυσος	d i a l y s o s
διάλυτον	d i a l y t o n
διάλυτος	d i a l y t o s
διάμετρον	d i a m e t r o n
διάμετρος	d i a m e t r o s
διάνδιχα	d i a n d i kʰ a
διάνοια	d i a n y a
διάνοιαι	d i a n y ɛ
διάνοιαν	d i a n y a n
διάπτωμα	d i a p t o m a
διάριον	ð i a r i o n
διάρκεια	d i a r k i a
διάρροια	d i a r r y a
διάστασις	d i a s t a s i s
διάστημα	d i a s t e̝ m a
διάταξις	d i a t a k s i s
διάτασις	d i a t a s i s
διάφορα	d i a pʰ o r a
διάφοροι	d i a pʰ o r y
διάφορος	d i a pʰ o r o s
διάφραγμα	d i a pʰ r a ɡ m a
διάχρυσος	d i a kʰ r y s o s
διάψαλμα	d i a p s a l m a
διάων	d i a o n
διέθρεψα	d i e tʰ r e p s a
διέκ	d i e k
διέκοψα	d i e k o p s a
διέκπλοι	d i e k p l y
διέκπλοος	d i e k p l o o s
διέκρινα	d i e k r i n a
διέπλευσα	d i e p l e ʍ s a
διέπνευσα	d i e p n e ʍ s a
διέπομαι	d i e p o m ɛ
διέπρεψα	d i e p r e p s a
διέπρησσον	d i e p r e̝ s s o n
διέπω	d i e p o
διέρρευσα	d i e r r e ʍ s a
διέρχεται	d i e r kʰ e t ɛ
διέρχομαι	d i e r kʰ o m ɛ
διέσσυτο	d i e s s y t o
διέστη	d i e s t e̝
διέστησαν	d i e s t e̝ s a n
διέτμαγεν	d i e t m a ɡ e n
διέτριψεν	d i e t r i p s e n
διέφερον	d i e pʰ e r o n
διέφθειραν	d i e pʰ tʰ i r a n
διέφθειρεν	d i e pʰ tʰ i r e n
διέχευαν	d i e kʰ e w a n
διέων	d i e o n
διήγησις	d i e̝ ɡ e̝ s i s
διήνυσα	d i e̝ n y s a
διήρκεσα	d i e̝ r k e s a
διήρπασαν	d i e̝ r p a s a n
διαίρεσιν	d i ǎ i̯ r e s i n
διαίρεσις	d i ǎ i̯ r e s i s
διαίρω	d i ǎ i̯ r ɔː
διαίταις	d i ǎ i̯ t a i̯ s
διαίτας	d i ǎ i̯ t aː s
διαίτημα	d i ǎ i̯ t ɛː m a
διαίτης	d i ǎ i̯ t ɛː s
διαίτῃ	d i ǎ i̯ t ɛː i̯
διαβάλλω	d i a b a l l o
διαβάντες	d i a b a n t e s
διαβάς	d i a b a s
διαβήτης	d i a b e̝ t e̝ s
διαβαίνω	d i a b ǎ i̯ n ɔː
