achab	aː k a b
schinen	ʃ iː n ə n
schip	ʃ i p
schipman	ʃ i p m a n
schire	ʃ eː r
schiren	ʃ iː r ə n
schite	ʃ eː t
schiten	ʃ iː t ə n
schiterow	ʃ i t ə r ɔ u̯
schitten	ʃ eː t ə n
scho	ʃ oː
schoderen	ʃ oː d r ə n
schon	ʃ oː n
schonde	ʃ a n d
schonden	ʃ a n d ə n
schonen	ʃ u n ə n
schonten	ʃ u n t ə n
schort	ʃ ɔ r t
schot	ʃ eː t
schour	ʃ uː r
schouve	ʃ u v
schouven	ʃ eː v ə n
schouvynge	ʃ u v i n ɡ
schovele	ʃ u l v
schroud	ʃ r uː d
schrub	s k r u b
schryden	ʃ r eː d ə n
schrynken	s k r i n k ə n
schulderen	ʃ u l d r ə n
schulderyng	ʃ u l d r i n ɡ
schuldre	ʃ u l d r ə
schulen	ʃ u l
schyd	ʃ iː d
schyfe	ʃ i f
schyft	ʃ i f t
schyftynge	ʃ i f t i n ɡ
schyllen	ʃ i l ə n
schyne	ʃ i n
schyre	ʃ iː r
schyrly	ʃ iː r l iː
schyrnesse	ʃ iː r n ɛ s
schyve	ʃ iː v
science	s i ɛ n s
scismatik	s i z m a t i k
scisme	s i z m ə
sclate	s k l aː t
sclavyne	s k l a v i n
sclendre	s k l ɛ n d r ə
sclise	s k l iː s
scluse	s k l i u̯ z
scochon	s k u t ʃ u n
scolden	s k ɔː l d ə n
scole	s k aː l
scolere	s k ɔ l ə r
score	s k ɔː r
scorn	s k ɑː r n
scornen	s k ɑː r n ə n
scornere	s k ɔ r n ə r
scornful	s k ɔ r n f u l
scornfully	s k ɔ r n f u l iː
scorpioun	s k ɔ r p i u n
scot	s k ɔ t
scough	s k uː x
scrape	s k r aː p
scrapen	s k r aː p ə n
scratte	s k r a t
scremen	s k r ɛ̝ː m ə n
scrowe	s k r a u̯
scrowle	s k r a u̯ l
scuage	s k i u̯ a d͡ʒ
scurnen	s k u r n ə n
scutage	s k i u̯ t a d͡ʒ
se	s eː
secte	s ɛ k t
secundarie	s ɛ k u n d aː r iː
secundarili	s ɛ k u n d aː r i l iː
secunde	s ɛ k u n d
securite	s ɛ k i u̯ r i t eː
seden	s eː d ə n
see	s eː
seed	s aː d
seem	s ɛː m
seeman	s ɛ̝ː m a n
seen	s eː n
sefte	s ɛ f t
sege	s eː d͡ʒ
segen	s eː d͡ʒ ə n
segge	s ɛ d ʒ
segynge	s eː d͡ʒ i n ɡ
seien	s æ i̯ ə n
seignurie	s æ i̯ n u r iː
seisen	s æ i̯ z ə n
seknesse	s eː k n ɛ s
sel	s eː l
selde	s eː l d
selden	s eː l d ə m
seldere	s eː l d ə r
seldomly	s eː l d ə m l iː
seldscene	s eː l d s eː n
self	s i l f
seli	s eː l iː
sellen	s i l ə n
sellere	s i l ə r
selly	s ɛ l eː
seme	s eː m
semen	s eː m ə n
semestere	s ɛ m s t ə r
semly	s ɛ m b l iː
semlyhede	s ɛː m i l i h ɛ̝ː d
semlynesse	s ɛː m i l iː n ɛ s
senden	s eː n d ə n
seneschal	s ɛ n i s k a l
senevey	s ɛ n v æ i̯
sengen	s eː n d͡ʒ ə n
sengle	s ɛ n ɡ ə l
sense	s ɛ n s
senyour	s ɛː n j u r
serche	s ɛ r t ʃ
serchen	s ɛ r t͡ʃ ə n
serchour	s ɛ r t͡ʃ u r
serchynge	s ɛ r t͡ʃ i n ɡ
sere	s eː r
seren	s ɛː r ə n
serge	s i r d ʒ
serjaunt	s ɛ r d͡ʒ a n t
serk	s a r k
sermonen	s a r m u n ə n
sermontayne	s ɛ r m u n t æ i̯ n
sermonynge	s a r m u n i n ɡ
sermoun	s a r m u n
servage	s ɛ r v a d͡ʒ
servaunt	s ɛ r v a n d
servauntesse	s ɛ r v a n t ɛ s
serven	s ɛ r v ə n
serviable	s ɛ r v i aː b l ə
servisable	s ɛ r v i s aː b l ə
servise	s ɛ r v i s
servish	s ɛ r v i ʃ
servitour	s ɛ r v i t u r
servitute	s ɛ r v i t i u̯ t
servyle	s ɛ r v i l
sesoun	s ɛː z u n
sethen	s eː ð ə n
sether	s eː ð ə r
sethyng	s eː ð i n ɡ
setten	s ɛ t ə n
settynge	s ɛ t i n ɡ
seven	s œ v ə n
sevenfold	s ɛ v ə f ɑː l d
seventene	s ɛ v ə n t eː n
sevententhe	s ɛ v ə n t eː n d
seventethe	s ɛ v ə n t eː ð
seventhe	s ɛ v ə n d
seventithe	s ɛ v ə n t i ð
seventy	s ɛ v ə n t iː
sevenyght	s ɛ n i x t
sew	s ɛ u̯
seym	s æ i̯ m
seynt	s a n t
shamefast	ʃ aː m f a s t
shameles	ʃ aː m l ɛ s
share	ʃ a r
shelden	ʃ eː l d ə n
sherte	ʃ i r t
sherten	ʃ i r t ə n
shipwrak	ʃ i p w r a k
shirevewyk	ʃ r eː v w i k
shirreve	ʃ i r eː v
shirrevehod	ʃ r eː v h ɔː d
shirten	ʃ i r t ə n
shouten	ʃ uː t ə n
shryven	ʃ r iː v ə n
shryver	ʃ r iː v ə r
shryvyng	ʃ r iː v i n ɡ
sicamour	s iː k a m oː r
side	s iː d
sider	s iː d r ə
sige	s i ɡ
sighe	s i x
signifiaunce	s i n ɡ n i f i a n s
significaunce	s i n ɡ n i f i k a n s
sik	s i k
siker	s i k ə r
silence	s i l ɛ n s
silver	s i l v ə r
simplicite	s i m p l i s i t eː
singen	s i n ɡ ə n
sire	s i r
sirup	s i r i p
sisours	s i z u r i s
sithen	s i n
sittynge	s i t i n ɡ
situacioun	s i t i u̯ aː s j u n
sive	s eː v
six	s i k s
sixte	s i k s t
sixtene	s i k s t eː n
sixtenthe	s i k s t eː n d
sixtethe	s i k s t eː ð
sixtithe	s i k s t i ð
sixty	s i k s t iː
siȝe	s iː
skayne	s k æ i̯ n
skelpen	s k ɛ l p ə n
skene	s k æ i̯ n
skew	s k i u̯
skewen	s k i u̯ ə n
sky	s k iː
skyn	s k i n
skynnen	s k i n ə n
skynner	s k i n ə r
skynnery	s k i n ə r iː
skyr	s k iː r
skyren	s k iː r ə n
skyrte	s k i r t
slay	s l æ i̯
sleen	s l aː
slegge	s l ɛ d͡ʒ
sleighly	s l e i̯ l iː
sleighte	s l i x t
sleightely	s l i x t l iː
sleighty	s l i x t iː
slep	s l eː p
slepen	s l eː p ə n
sleples	s l eː p l ɛ s
slete	s l eː t
sleve	s l eː v
sliden	s l iː d ə n
slider	s l i d ə r
slideren	s l i d r ə n
slidery	s l i d r iː
sliding	s l iː d i n ɡ
slight	s l i x t
sliken	s l i k ə n
slo	s l ɔ̝ː
sloveyn	s l u v i n
slugge	s l u ɡ
sly	s l eː
slyke	s l i k
slykeston	s l i k s t ɔ̝ː n
slynesse	s l e i̯ n ɛ s
slynge	s l i n ɡ
slyngen	s l i n ɡ ə n
slynger	s l i n ɡ ə r
slyngynge	s l i n ɡ i n ɡ
slypper	s l i p ə r
smacchen	s m a t͡ʃ ə n
smak	s m a k
smaken	s m a k ə n
smal	s m a l
smattrynge	s m a t r i n ɡ
smel	s m y l
smellen	s m ɛ l ə n
smelt	s m ɛ l t
smert	s m a r t
smerte	s m a r t
smerten	s m ɛ r t ə n
smethe	s m eː ð
smethen	s m eː ð ə n
smethenesse	s m eː ð n ɛ s
smethyng	s m eː ð i n ɡ
smiten	s m iː t ə n
smoke	s m ɔ̞ː k
smokynge	s m ɔː k i n ɡ
smoren	s m ɔː r ə n
smorþering	s m oː r ð ə r i n ɡ
smothe	s m oː ð
smothenesse	s m oː ð n ɛ s
smyth	s m i θ
smythe	s m i θ
smythen	s m eː ð ə n
smythiere	s m i ð i ə r
smythy	s m i ð iː
snacchen	s n a t͡ʃ ə n
snake	s n aː k
snaperen	s n a p r ə n
snare	s n aː r
snaren	s n aː r ə n
snarl	s n a r l
snarlen	s n a r l ə n
snayl	s n eː l
snede	s n ɛː d
snesen	s n eː z ə n
snewen	s n i u̯ ə n
snore	s n ɔː r
snoren	s n ɔː r ə n
snorten	s n ɔ r t ə n
snot	s n ɔ t
snoute	s n uː t
snow	s n ɑ u̯
snowen	s n ɔ u̯ ə n
snowisshe	s n ɔ u̯ i ʃ
snowy	s n ɑ u̯ iː
snyten	s n iː t ə n
so	s ɔː
sobben	s ɔ b ə n
socour	s u k uː r
sodeyn	s u d i n
sodeynly	s u d i n l iː
sodeynte	s u d i n t eː
sodomie	s ɔ d ɔ m iː
sodomyte	s ɔ d ɔ m iː t
softe	s ɔ f t
soleyn	s u l i n
solow	s u l uː
solucioun	s ɔ l i u̯ s i uː n
solven	s ɔ l v ə n
som	s u m
somer	s u m ə r
somþyng	s u m θ i n ɡ
sond	s a n d
sonde	s a n d
sone	s oː n
sonely	s u n l iː
song	s a n ɡ
songly	s ɔ n ɡ l iː
sonne	s u n
sonnebeem	s u n b ɛ̝ː m
soot	s oː t
sooty	s oː t iː
sop	s ɔ p
sope	s aː p
soper	s u p eː r
sopere	s ɔ̝ː p ə r
sor	s ɔ r
sorcerere	s ɔ r s ə r ə r
sorceresse	s ɔ r s ə r ɛ s
sorcery	s ɔ r s ə r eː
sore	s ɑː r
sored	s ɔː r d
sorel	s u r ə l
sorely	s ɔː r l iː
soren	s ɔː r ə n
sorhed	s ɔː r h ɛ d
sorinesse	s ɔː r i n ɛ s
sornesse	s ɑː r n ɛ s
sorre	s ɔ r eː
sorwe	s ɔ r uː
sorweful	s ɔ r f u l
sorwefully	s ɔ r f u l iː
sorwefulnesse	s ɔ r f u l n ɛ s
sorweles	s ɔ r w ə l ɛ̝ː s
sorwen	s ɔ r i u̯ ə n
sorwenesse	s ɔ r i u̯ n ɛ s
sory	s ɔ r iː
soryly	s ɔː r i l iː
sot	s ɔ t
sotie	s ɔ t iː
sotil	s u p t i l
sotilen	s u t i l ə n
sotilly	s u t ə l iː
sotillynge	s u t i l i n ɡ
sotilnes	s u t ə l n ɛ s
sotilte	s u t ə l t eː
sotliche	s ɔ t l iː t ʃ
sotschipe	s ɔ t ʃ i p
sotten	s ɔ t ə n
soudan	s ɔ u̯ d a n
soudeour	s ɔ u̯ d eː r
souke	s u k
souken	s u k ə n
souker	s u k ə r
soukynge	s u k i n ɡ
soule	s ɑ u̯ l
soun	s uː n
soundre	s uː n d r ə
soupe	s uː p
soupen	s u p ə n
souple	s u p ə l
souplen	s u p l ə n
sour	s uː r
sourden	s uː r d ə n
sours	s uː r s
soutere	s u t ə r
south	s uː θ
southerne	s u ð ə r n
sovereyn	s u v r i n
sovereynly	s ɔ v r i n l i t͡ʃ
sovereynte	s ɔ v r i n t eː
sowe	s uː
sowel	s oː l
sowen	s uː ə n
sowere	s ɔ u̯ ə r
sowryng	s ɔː r i n ɡ
sowynge	s ɔ u̯ i n ɡ
spade	s p aː d
spalle	s p a l
spanne	s p a n
spannen	s p a n ə n
sparhauk	s p a r h a u̯ k
sparke	s p a r k
sparkel	s p a r k ə l
sparken	s p a r k ə n
sparklen	s p a r k l ə n
sparplen	s p a r k l ə n
sparre	s p a r
sparren	s p a r ə n
sparthe	s p a r ð
sparwe	s p a r i u̯
spawde	s p a l d
spayen	s p æ i̯ ə n
speche	s p aː t͡ʃ
speckyd	i s p ɛ k ə d
sped	s p eː d
speden	s p eː d ə n
spedful	s p eː d f u l
spedy	s p eː d iː
speken	s p ɛ̞ː k ə n
spekere	s p ɛ̞ː k ə r
spekke	s p ɛ k
spekynge	s p ɛː k i n ɡ
spelen	s p ɛː l ə n
spelunke	s p eː l u n k
spenden	s p ɛ n d ə n
spenen	s p eː n ə n
spere	s p eː r
sperver	s p a r v ə r
sperwort	s p ɛː r w u r t
spet	s p ɛ t
spewen	s p i u̯ ə n
spewynge	s p i u̯ i n ɡ
spice	s p iː s
spicen	s p iː s ə n
spicer	s p iː s ə r
spicerie	s p iː s ə r iː
spigot	s p i ɡ ɔ t
spigurnel	s p i ɡ u r n ɛ l
spikenard	s p i k n a r d
spile	s p i l
spilen	s p eː l ə n
spillen	s p i l ə n
spiller	s p i l ə r
spillyng	s p i l i n ɡ
spinach	s p i n a d ʒ
spinnen	s p i n ə n
spirit	s p i r i t
spiþre	s p iː d r ə
splayen	s p l æ i̯ ə n
splente	s p l i n t
splenten	s p l i n t ə n
splenter	s p l i n d ə r
spoke	s p aː k
spole	s p oː l
spone	s p oː n
sponeful	s p oː n f u l
spore	s p oː r
sporen	s p oː r ə n
sporiere	s p oː r i ə r
spray	s p r æ i̯
spreden	s p r ɛː d ə n
sprengen	s p r i n d͡ʒ ə n
sprenten	s p r ɛ n t ə n
spruten	s p r uː t ə n
spryng	s p r i n ɡ
spryngen	s p r i n k ə n
sprytten	s p r i t ə n
spudde	s p u d
spume	s p i u̯ m
spumen	s p i u̯ m ə n
spumous	s p i u̯ m u s
spurge	s p u r d͡ʒ
spurn	s p u r n
spurnen	s p oː r n ə n
spurnynge	s p u r n i n ɡ
spyndel	s p i n d ə l
spyne	s p iː n
spynnere	s p i n ə r
spynnestere	s p i n s t r ə
spynnynge	s p i n i n ɡ
spytte	s p i t
squame	s k w aː m
squamous	s k w aː m u s
square	s k w aː r
squierie	s k w iː r iː
squirel	s k w i r ə l
squyler	s k w i l eː r
squylerie	s k u l ə r iː
stabbe	s t a b
stacioun	s t aː s i u n
staf	s t a f
stafflike	s t a f l iː
staffull	s t a f f u l
stafslynge	s t a f s l i n ɡ
stage	s t aː d ʒ
stagge	s t a ɡ
stak	s t a k
stake	s t aː k
staken	s t aː k ə n
stakeren	s t a k r ə n
stakken	s t a k ə n
stakyng	s t aː k i n ɡ
stale	s t a l
stalken	s t a l k ə n
stalle	s t a l
stameren	s t a m ə r ə n
stampen	s t a m p ə n
standard	a
stang	s t a n ɡ
stangen	s t a n ɡ ə n
staren	s t aː r ə n
stat	s t aː t
stature	s t a t i u̯ r
staunce	s t a u̯ n s
stede	s t eː d
stedefast	s t i d f a s t
stedefastly	s t ɛ d f a s t l iː
stedefastnesse	s t ɛ d f a s t n ɛ s
steden	s t ɛ d ə n
steer	s t eː r
steire	s t æ i̯ r
stele	s t eː l
stemme	s t ɛ m
stench	s t i n t͡ʃ
stenchen	s t i n t͡ʃ ə n
stene	s t ɛ̝ː n
stenen	s t ɛ̝ː n ə n
steng	s t eː n d͡ʒ
steorve	s t œ r v ə
stepbarn	s t ɛ p b a r n
stepchild	s t ɛ p t͡ʃ iː l d
stepdame	s t ɛ p d a m
stepdoghter	s t ɛ p d ɔ u̯ x t ə r
stepfader	s t ɛ p f a d ə r
stepmoder	s t ɛ p m oː d ə r
steppe	s t a p
steppen	s t a p ə n
steppynge	s t a p i n ɡ
stepsone	s t ɛ p s u n
stere	s t eː r
stereles	s t eː r l ɛ s
sterne	s t a r n
sterre	s t œ r
sterven	s t ɛ r v ə n
steward	s t i u̯ a r d
steȝere	s t eː ə r
stiborne	s t i b u r n
stiche	s t eː k
stichen	s t i t͡ʃ ə n
stie	s t e i̯
stien	s t iː ə n
stif	s t i f
stiffenes	s t i f n ɛ s
stifly	s t i f l iː
stikke	s t i k
stile	s t e i̯ l
stiren	s t i r ə n
stirop	s t i r ɔ p
stith	s t i θ
stithy	s t i d iː
stode	s t oː d
stok	s t ɔ k
stokkynge	s t ɔ k i n ɡ
stomak	s t u m a k
stomakere	s t u m a k ə r
ston	s t aː n
stonden	s t a n d ə n
stonen	s t u n ə n
stoneyen	s t u n i ə n
stony	s t ɔ n iː
store	s t oː r
storial	s t ɔ r i a l
storie	s t ɔ r iː
storien	s t ɔ r i ə n
storier	s t ɔ r i ə r
storiyng	s t ɔ r i i n ɡ
stork	s t ɔ r k
storm	s t ɔ r m
stormy	s t ɔ r m iː
story	s t ɔ r iː
stouke	s t uː k
stoupen	s t uː p ə n
stoute	s t u t
strake	s t r aː k
stranglen	s t r a n ɡ l ə n
straunge	s t r a u̯ n d͡ʒ
straungely	s t r a u̯ n d͡ʒ l iː
straungenesse	s t r a u̯ n d͡ʒ n ɛ s
straunger	s t r a u̯ n d͡ʒ eː r
straw	s t r a u̯
strawberie	s t r a u̯ b ɛ r iː
strawen	s t r a u̯ ə n
strecchen	s t r ɛ t ʃ ə n
streight	s t r æ i̯ x t
streit	s t r æ i̯ t
strem	s t r ɛ̝ː m
stremen	s t r ɛː m ə n
stremere	s t r ɛ̞ː m ə r
streng	s t r eː n d͡ʒ
strengthen	s t r ɛ n k θ ə n
strenken	s t r ɛ n k ə n
strete	s t r aː t
strewynge	s t r ɛ u̯ i n ɡ
striden	s t r iː d ə n
striven	s t r iː v ə n
stro	s t r aː
stroberie	s t r aː b eː r iː
stroke	s t r ɑː k
stroken	s t r ɑː k
stronde	s t r a n d
strong	s t r a n ɡ
stronge	s t r a n ɡ
stroppe	s t r ɔ p
stroublen	s t r u b l ə n
strout	s t r u t
strouten	s t r u t ə n
stroutere	s t r u t ə r
stroyen	s t r u i̯ ə n
stryken	s t r iː k ə n
stucche	s t i t͡ʃ
stucchen	s t i t ʃ ə n
studien	s t u d i ə n
sturdy	s t u r d iː
sturgiun	s t u r d ʒ oː n
sty	s t iː
stye	s t iː
styng	s t eː n d͡ʒ
styngen	s t i n ɡ ə n
styngynge	s t i n ɡ i n ɡ
stynk	s t i n k
stynken	s t i n k ə n
stynkynge	s t i n k i n ɡ
submissioun	s u b m i s j u n
suet	s i u̯ ɛ t
suffisen	s u f iː s ə n
suffren	s u f r ə n
sugre	s i u̯ k ə r
sugren	s i u̯ ɡ r ə n
supernatural	s i u̯ p ə r n a t i u̯ r a l
supplien	s u p l iː ə n
supposicioun	s u p ɔ z i s j u n
surcote	s u r k ɔ t
sure	s i u̯ r
surely	s i u̯ r l iː
surement	s i u̯ r m ɛ n t
suren	s i u̯ r ə n
surenes	s i u̯ r n ɛ s
surete	s i u̯ r t eː
surgerie	s u r d ʒ iː
surgien	s u r d ʒ i n
surmounten	s u r m u n t ə n
surname	s i r n aː m
surnape	s u r n a p
surnoun	s u r n u n
surplys	s u r p l i s
survewe	s u r v i u̯
surveyen	s u r v æ i̯ ə n
surveyour	s u r v i u r
suster	s i s t ə r
susterhede	s i s t ə r h ɛː d
sute	s i u̯ t
sutour	s i u̯ t u r
suture	s i u̯ t i u̯ r
swage	s w aː d͡ʒ
swalwe	s w a l i u̯
swan	s w a n
sward	s w a r d
sware	s w aː r
swaren	s w aː r ə n
swarm	s w a r m
swarmen	s w a r m ə n
swart	s w a r t
swarten	s w a r t ə n
swartish	s w a r t i ʃ
swartnesse	s w a r t n ɛ s
swathe	s w a θ
swathel	s w a d ə l
swathen	s w a ð ə n
swathing	s w a ð i n ɡ
swathlen	s w a ð l ə n
swayn	s w æ i̯ n
swaþelynge	s w a ð ə l i n ɡ
swei	s w æ i̯
swelen	s w ɛ l ə n
swelle	s w ɛ l
swellen	s w ɛ l ə n
swellynge	s w ɛ l i n ɡ
swelten	s w ɛ l t ə n
swelteren	s w ɛ l t r ə n
sweng	s w ɛ n d͡ʒ
swengen	s w eː n d͡ʒ ə n
swepen	s w eː p ə n
swerd	s u r d
swere	s w aː r
sweren	s w ɛ̞ː r ə n
swerer	s w ɛː r ə r
swernes	s w ɛː r n ɛ s
swerven	s w a r v ə n
sweryng	s w ɛː r i n ɡ
swete	s oː t
sweten	s w eː t ə n
swetnesse	s w eː t n ɛ s
swetynge	s w ɛː t i n ɡ
sweven	s w ɛ v ə n
swevenen	s w ɛ v n ə n
swevenynge	s w ɛ v n i n ɡ
sweyen	s w e i̯
swich	s w i t͡ʃ
swippen	s w i p ə n
swolow	s w a l
swolwen	s w ɔ l i u̯ ə n
swolwynge	s w ɔ l i u̯ i n ɡ
swon	s w ɔː n
swopen	s w oː p ə n
sword	s uː r d
swough	s w u x
swymmen	s w i m ə n
swyn	s w iː n
swynge	s w i n ɡ
swyngen	s w i n ɡ ə n
swynherde	s w iː n a r d
swynken	s w i n k ə n
swyven	s w iː v ə n
sych	s i t͡ʃ
syflen	s i f l ə n
syften	s i f t ə n
syftynge	s i f t i n ɡ
sygne	s i n
syment	s i m ɛ n t
sympilte	s i m p l ə t eː
symple	s i m p ə l
symplenesse	s i m p ə l n ɛ s
symplesse	s i m p l ɛ s
symply	s i m p l iː
symulacioun	s i m i l aː s j u n
symulacre	s i m i l aː k ə r
symulat	s i m i l aː t
symulen	s i m i u̯ l ə n
synamome	s i n a m ɔː m
synder	s i n d ə r
synful	s i n f u l
synger	s i n ɡ ə r
syngeresse	s i n ɡ ə r ɛ s
syngster	s i n ɡ s t r ə
syngyng	s i n ɡ i n ɡ
synne	s i n
synneles	s i n l ɛ s
synnen	s i n i u̯ ə n
synnere	s i n j ə r
synnes	s i n s
synwe	s i n i u̯
synwy	s i n i u̯ iː
sys	s i s
syse	s iː z
sythe	s iː ð
table	t aː b l ə
tablement	t aː b l ə m ɛ n t
tablen	t aː b l ə n
tabler	t aː b l ə r
tablet	t a b l ɛ t
taillour	t æ i̯ l u r
takel	t a k ə l
tale	t a l
talent	t a l ɛ n t
talewise	t aː l w iː z
talke	t a l k
tally	t a l iː
taloun	t a l a n t
talow	t a l i u̯
talowen	t a l w ə n
talowy	t a l w iː
tan	t a n
tanesie	t a n z iː
tape	t a p
taper	t aː p ə r
tapestrie	t a p i s t r iː
taphose	t a p h ɔː z
tapiser	t a p i s eː r
tapiserie	t a p i s ə r iː
tappe	t a p
tappen	t a p ə n
tappestere	t a p s t r ə
tare	t aː r
targe	t a r d͡ʒ
tarien	t a r i ə n
tart	t a r t
tarte	t a r t
tartelet	t a r t l i t
tasel	t a z ə l
taske	t a s k
taste	t a s t
taunen	t a u̯ n ə n
taverne	t a v ə r n
taverner	t a v ɛ r n eː r
tawne	t a u̯ n eː
taxacioun	t a k s aː s i uː n
taxe	t a k s
taxen	t a k s ə n
tayl	t æ i̯ l
taylarde	t æ i̯ l a r d
tayled	t æ i̯ l i d
taylende	t æ i̯ l ɛ n d
techen	t ɛː t͡ʃ ə n
tedden	t ɛ d ə n
teer	t ɛː r
tem	t ɛ̝ː m
teme	t ɛː m
temen	t eː m ə n
tempten	t ɛ m p t ə n
temsen	t eː m z ə n
ten	t eː n
tenche	t ɛ n t͡ʃ
tenoun	t ɛ n u n
tenour	t ɛ n i u̯ r
tens	t ɛ n s
tenthe	t ɛ n d
ter	t ɛ r
tercel	t a r s ɛ l
tercelet	t a r s l ɛ t
terebentyne	t u r b i n t iː n
teren	t ɛ̝ː r ə n
terremote	t ɛ r i m ɔː t
terrour	t ɛ r u r
ters	t ɛ r s
tery	t ɛ̝ː r iː
tesen	t ɛː z ə n
tethen	t eː θ ə n
teye	t e i̯
teyen	t e i̯
teynen	t æ i̯ n ə n
thacchen	θ a t͡ʃ ə n
thamarynde	t a m a r i n d
tharen	θ a r ə n
tharm	θ a r m
that	ð a t
theater	t ɛː a t ə r
thede	θ eː d
thedisch	θ eː d i ʃ
theen	θ eː n
thef	θ eː f
thefly	θ eː f l iː
thefte	ð y f θ
thele	θ ɛː l
thenoun	t ɛ n u n
theorike	θ iː ɒ ɹ ɪ k
therebynte	t ɛ r i b i n t
therf	θ ɛ r f
therk	θ ɛ r k
theve	θ ɛ̞ː v
thevethorn	θ ɛ u̯ θ ɔ r n
thevysch	θ eː f i ʃ
theyn	θ eː n
thickenen	θ i k n ə n
thikke	θ i k
thikken	θ i k ə n
thikkenesse	θ i k n ɛ s
thikly	θ i k l iː
thild	θ i l d
thilke	θ i l k
thinken	θ i n k ə n
thinne	θ i n
thirl	θ i r l
thirlen	θ eː r l ə n
thirst	f u r s t
thirsten	θ i r s t ə n
thirstlewe	θ i r s t l ɛ u̯
thirsty	f u r s t iː
thistel	θ i s t ə l
thogh	ð a
thombe	θ u m
thonder	θ u n d ə r
thong	θ ɔ n ɡ
thorn	θ oː r n
thornbak	θ ɔ r n b a k
thornen	θ oː r n ə n
thornetre	θ oː r n t r eː
thorny	θ oː r n iː
thorp	θ r ɔ p
thost	θ ɔ s t
thought	θ ɔ u̯ x t
thousend	θ uː z a n d
thousendfold	θ uː z a n d f ɔː l d
thral	θ a r l
thraldom	θ r a l d a m
thralhede	θ r a l h ɔ̝ː d
thrallen	θ r a l ə n
thranging	θ r a n ɡ i n ɡ
thre	θ r eː
thred	θ r eː d
threfold	θ r eː f ɔː l d
threp	θ r ɛ̝ː p
threpen	θ r ɛ̝ː p ə n
threschen	θ r a ʃ ə n
threschwolde	θ r ɛ ʃ f ɔː l d
threschynge	θ r a ʃ i n ɡ
thresshere	θ r a ʃ ə r
thridde	θ i r d
thrie	θ r iː
thries	θ r iː s
thrin	θ r i n
thrittene	θ i r t iː n
thrittenthe	θ i r t eː n ð
thrittethe	θ r i t eː ð
thrittithe	θ r i t a x t
thritty	θ r i t iː
throstel	θ r ɔ s t ə l
throte	θ r ɔː t
throwen	θ r ɔ u̯ ə n
thrusche	θ r i ʃ
thryven	θ r iː v ə n
thurgh	θ u r x
thurrok	θ u r u k
thurs	θ i r s
thyckfolde	θ i k f a l d
thylle	θ i l
thymbyll	θ i m b ə l
thyng	θ i n ɡ
thyself	θ iː s ɛ l f
thyvel	ð y v ə l
tige	t i j
til	t i l
tilier	t i l j ə r
tillen	t i l ə n
tilthe	t i l θ
tilyen	t i l j ə n
tinder	t i n d ə r
tippen	t i p ə n
tirannye	t i r a n iː
tiren	t eː r ə n
tissu	t i s i u̯
tithe	t eː ð
tithen	t eː ð ə n
tithere	t iː ð ə r
tithynge	t eː ð i n ɡ
tiþen	t iː ð ə n
to	t aː
today	t oː d æ i̯
tode	t a d
tofore	t oː f ɔː r
togedere	t oː ɡ a d r ə
toilen	t u i̯ l ə n
toiling	t u i̯ l i n ɡ
toilous	t u i̯ l uː s
tolboth	t ɔ l b oː θ
toll	t ɔ l
tollen	t ɔ l ə n
toller	t ɔ l ə r
tolling	t ɔ l i n ɡ
tollynge	t ɔ l i n ɡ
toln	t ɔ l n
tolsey	t ɔ l z æ i̯
tombe	t oː m b
tomben	t oː m b ə n
tomorwe	t oː m ɔ r i u̯
tomorwen	t oː m oː r n
tonder	t u n d ə r
tonge	t a n ɡ
tool	t oː l
top	t ɔ p
toppen	t ɔ p ə n
toppyng	t ɔ p i n ɡ
torche	t o r d ʒ
tord	t oː r d
tort	t ɔ r t
toschaken	t oː ʃ a k ə n
toscheden	t oː ʃ ɛː d ə n
tosen	t ɔː z ə n
tost	t ɔː s t
tosten	t ɔː s t ə n
toth	t oː θ
tothen	t oː θ ə n
tothles	t oː θ l ɛ s
touchen	t u t͡ʃ ə n
toun	t uː n
tour	t uː r
tow	t ɔ u̯
towardes	t oː w a r d ə s
towayle	t uː æ i̯ l
toyle	t u i̯ l
trace	t r aː s
tracen	t r aː s ə n
tracyng	t r aː s i n ɡ
tradicioun	t r a d i s j u n
tramel	t r a m ɛː l
tramme	t r a m
tranquille	t r a n k w i l
tranquillite	t r a n k w i l i t eː
transformacioun	t r a n s f ɔ r m aː s i uː n
transformen	t r a n s f u r m ə n
transgressioun	t r a n s ɡ r ɛ s i uː n
transgressour	t r a n s ɡ r ɛ s u r
translacioun	t r a n s l aː s i uː n
translaten	t r a n l aː t ə n
translatour	t r a n s l aː t u r
translatynge	t r a n s l aː t i n ɡ
trant	t r a n t
trappe	t r a p
trasch	t r a ʃ
traunce	t r a n s
traunsom	t r a m p s u m
trave	t r aː v
trays	t r æ i̯ s
tre	t r eː
tred	t r ɛ d
tredel	t r ɛː d ə l
treden	t r ɛ̞ː d ə n
tredynge	t r ɛː d i n ɡ
tremour	t r ɛː m u r
trenayl	t r eː n æ i̯ l
trenche	t r ɛ n t͡ʃ
trenchen	t r ɛ n t͡ʃ ə n
trenchour	t r ɛ n t͡ʃ u r
tresorer	t r ɛː z u r eː r
tresorie	t r ɛː z u r iː
tresoun	t r ɛː z u n
tresounen	t r ɛː z u n ə n
tresour	t r ɛː z oː r
tresouren	t r ɛː z oː r ə n
