a	ɐ
bucólica	b u k ɔ l i k ɐ
bucólico	b u k ɔ l i k u
bud	b u d ʒ
buda	b u d ɐ
budapest	b u d ɐ p e s t ʃ
budapeste	b u d ɐ p e s t ʃ i
buddenbrooks	b u d ʒ d ẽ b ɾ o o k s
buddy	b u d ʒ d ʒ i
budget	b u d ʒ ʒ e t ʃ
budismo	b u d ʒ i z m u
budista	b u d ʒ i s t ɐ
budistas	b u d ʒ i s t ɐ s
budro	b u d ɾ u
budweiser	b u d ʒ w ej z e ɹ
bueiro	b u ej ɾ u
bueiros	b u ej ɾ u s
bueno	b u ẽ n u
buenos	b u ẽ n u s
bufa	b u f ɐ
bufar	b u f ɐ ɹ
buffalo	b u f f ɐ l u
buffet	b u f f e t ʃ
bufão	b u f ɐ̃w̃
bufê	b u f e
bufês	b u f e s
bufões	b u f õj̃ s
bug	b u ɡ
bugalhos	b u ɡ ɐ ʎ u s
bugatti	b u ɡ ɐ t ʃ t ʃ i
bugiganga	b u ʒ i ɡ ɐ̃ ɡ ɐ
bugigangas	b u ʒ i ɡ ɐ̃ ɡ ɐ s
bugre	b u ɡ ɾ i
bugsy	b u ɡ s i
bugue	b u ɡ i
building	b uj w d ʒ ĩ ɡ
buiu	b uj w
bujumbura	b u ʒ ũ b u ɾ ɐ
bujuru	b u ʒ u ɾ u
bujão	b u ʒ ɐ̃w̃
bukavu	b u k ɐ v u
bukowski	b u k ow s k i
bula	b u l ɐ
bulbo	b u w b u
bule	b u l i
bulevar	b u l e v ɐ ɹ
bulgares	b u w ɡ ɐ ɾ i s
bulgari	b u w ɡ ɐ ɾ i
bulger	b u w ʒ e ɹ
bulgária	b u w ɡ ɐ ɾ i ɐ
bulhões	b u ʎ õj̃ s
bulimia	b u l ĩ m i ɐ
bulir	b u l i ɹ
bull	b u w w
bulldog	b u w w d o ɡ
bulletin	b u w l e t ʃ ĩ
bullets	b u w l e t ʃ s
bulls	b u w w s
bum	b ũ
bumba	b ũ b ɐ
bumbo	b ũ b u
bumbum	b ũ b ũ
bumbá	b ũ b ɐ
bumerangue	b ũ m e ɾ ɐ̃ ɡ i
bunce	b ũ s i
bunda	b ũ d ɐ
bundas	b ũ d ɐ s
bundesbank	b ũ d e z b ɐ̃ k
bunge	b ũ ʒ i
bunker	b ũ k e ɹ
buono	b u õ n u
buquê	b u k u e
buquês	b u k u e s
buraco	b u ɾ ɐ k u
buracos	b u ɾ ɐ k u s
burakumins	b u ɾ ɐ k ũ m ĩ s
burana	b u ɾ ɐ̃ n ɐ
burburinho	b u ʁ b u ɾ ĩ ɲ u
burch	b u ɹ ʃ
burchard	b u ɹ ʃ ɐ ʁ d ʒ
burdon	b u ʁ d õ
bureau	b u ɾ e ɐw
burger	b u ʁ ʒ e ɹ
burgess	b u ʁ ʒ e s
burghi	b u ʁ ɡ i
burgos	b u ʁ ɡ u s
burgtheater	b u ʁ ɡ t e ɐ t e ɹ
burguesa	b u ʁ ɡ e z ɐ
burguesas	b u ʁ ɡ e z ɐ s
burgueses	b u ʁ ɡ e z i s
burguesia	b u ʁ ɡ e z i ɐ
burguês	b u ʁ ɡ e s
burhanuddin	b u ʁ ɐ n u d ʒ d ʒ ĩ
buriti	b u ɾ i t ʃ i
buritis	b u ɾ i t ʃ i j s
buritizeiro	b u ɾ i t ʃ i z ej ɾ u
burity	b u ɾ i t ʃ i
burke	b u ɹ k i
burki	b u ɹ k i
burkina	b u ɹ k ĩ n ɐ
burla	b u ɹ l ɐ
burlar	b u ɹ l ɐ ɹ
burle	b u ɹ l i
burlesco	b u ɹ l e s k u
burnett	b u ʁ n e t ʃ t ʃ
burnier	b u ʁ n i e ɹ
burning	b u ʁ n ĩ ɡ
burns	b u ʁ n s
burocracia	b u ɾ o k ɾ ɐ s i ɐ
burocracias	b u ɾ o k ɾ ɐ s i ɐ s
burocrata	b u ɾ o k ɾ ɐ t ɐ
burocratas	b u ɾ o k ɾ ɐ t ɐ s
burocratização	b u ɾ o k ɾ ɐ t ʃ i z ɐ s ɐ̃w̃
burocrática	b u ɾ o k ɾ ɐ t ʃ i k ɐ
burocráticas	b u ɾ o k ɾ ɐ t ʃ i k ɐ s
burocrático	b u ɾ o k ɾ ɐ t ʃ i k u
burocráticos	b u ɾ o k ɾ ɐ t ʃ i k u s
burra	b u ʁ ɐ
burrada	b u ʁ ɐ d ɐ
burras	b u ʁ ɐ s
burrell	b u ʁ ew w
burrice	b u ʁ i s i
burrinho	b u ʁ ĩ ɲ u
burro	b u ʁ u
burros	b u ʁ u s
burroughs	b u ʁ ow ɡ s
burt	b u ɹ t ʃ
burti	b u ɹ t ʃ i
burton	b u ɹ t õ
burundi	b u ɾ ũ d ʒ i
bus	b uj s
busca	b u s k ɐ
buscada	b u s k ɐ d ɐ
buscadas	b u s k ɐ d ɐ s
buscado	b u s k ɐ d u
buscam	b u s k ɐ̃w̃
buscamos	b u s k ɐ̃ m u s
buscando	b u s k ɐ̃ d u
buscapé	b u s k ɐ p ɛ
buscar	b u s k ɐ ɹ
buscaram	b u s k ɐ ɾ ɐ̃w̃
buscarem	b u s k ɐ ɾ ẽj̃
buscaria	b u s k ɐ ɾ i ɐ
buscará	b u s k ɐ ɾ ɐ
buscarão	b u s k ɐ ɾ ɐ̃w̃
buscas	b u s k ɐ s
buscasse	b u s k ɐ s i
buscava	b u s k ɐ v ɐ
buscavam	b u s k ɐ v ɐ̃w̃
buscetta	b u s e t ʃ t ɐ
busch	b u s ʃ
busco	b u s k u
buscou	b u s k ow
buscá	b u s k ɐ
bush	b u ʃ
business	b u z ĩ n e s
busque	b u s k i
busquei	b u s k ej
busquem	b u s k ẽj̃
bussunda	b u s ũ d ɐ
bustamante	b u s t ɐ m ɐ̃ t ʃ i
buster	b u s t e ɹ
busto	b u s t u
bustos	b u s t u s
but	b u t ʃ
butantan	b u t ɐ̃ t ɐ̃
butantã	b u t ɐ̃ t ɐ̃
butare	b u t ɐ ɾ i
butch	b u t ʃ ʃ
buthelezi	b u t e l e z i
butique	b u t ʃ i k i
butiques	b u t ʃ i k i s
butiá	b u t ʃ i ɐ
butler	b u t l e ɹ
butori	b u t o ɾ i
butt	b u t ʃ t ʃ
butte	b u t ʃ t ʃ i
butterfly	b u t ʃ t e ɹ f w i
buttiglione	b u t ʃ t ʃ i ɡ l i õ n i
button	b u t ʃ t õ
buttons	b u t ʃ t õ s
butão	b u t ɐ̃w̃
butô	b u t o
buy	b u i
buzato	b u z ɐ t u
buzina	b u z ĩ n ɐ
buzinar	b u z ĩ n ɐ ɹ
buzinação	b u z ĩ n ɐ s ɐ̃w̃
by	b i
bya	b j ɐ
bye	b j i
byington	b j ĩ ɡ t õ
byrd	b i ʁ d ʒ
byrds	b i ʁ d ʒ s
byrne	b i ʁ n i
byron	b i ɾ õ
byte	b i t ʃ i
bytes	b i t ʃ i s
bá	b ɐ
báez	b ɐ e s
bálcãs	b ɐw k ɐ̃j̃ s
bálsamo	b ɐw s ɐ m u
báltico	b ɐw t ʃ i k u
bárbara	b ɐ ʁ b ɐ ɾ ɐ
bárbaro	b ɐ ʁ b ɐ ɾ u
bárbaros	b ɐ ʁ b ɐ ɾ u s
básica	b ɐ z i k ɐ
básicas	b ɐ z i k ɐ s
básico	b ɐ z i k u
básicos	b ɐ z i k u s
béjart	b ɛ ʒ ɐ ɹ t ʃ
béla	b ɛ l ɐ
bélgica	b ɛw ʒ i k ɐ
bélica	b ɛ l i k ɐ
bélico	b ɛ l i k u
bérgamo	b ɛ ʁ ɡ ɐ m u
bê	b e
bêbada	b e b ɐ d ɐ
bêbado	b e b ɐ d u
bêbados	b e b ɐ d u s
bênção	b ẽ s ɐ̃w̃
bênçãos	b ẽ s ɐ̃w̃ s
bíblia	b i b l i ɐ
bíblias	b i b l i ɐ s
bíblica	b i b l i k ɐ
bíblicas	b i b l i k ɐ s
bíblico	b i b l i k u
bíblicos	b i b l i k u s
bílis	b i l i s
bóia	b ɔj ɐ
bóias	b ɔj ɐ s
bólido	b ɔ l i d u
bóris	b ɔ ɾ i s
bósnia	b ɔ z n i ɐ
bósnias	b ɔ z n i ɐ s
bósnio	b ɔ z n i u
bósnios	b ɔ z n i u s
bôeres	b o e ɾ i s
bônus	b o n u s
bôscoli	b o s k o l i
búfala	b u f ɐ l ɐ
búfalo	b u f ɐ l u
búfalos	b u f ɐ l u s
búlgara	b u w ɡ ɐ ɾ ɐ
búlgaras	b u w ɡ ɐ ɾ ɐ s
búlgaro	b u w ɡ ɐ ɾ u
búlgaros	b u w ɡ ɐ ɾ u s
bússola	b u s o l ɐ
búzios	b u z i u s
c	k
ca	k ɐ
caan	k ɐ ɐ̃
caatinga	k ɐ ɐ t ʃ ĩ ɡ ɐ
cab	k ɐ b
cabal	k ɐ b ɐw
cabala	k ɐ b ɐ l ɐ
caballero	k ɐ b ɐw l e ɾ u
caballé	k ɐ b ɐw l ɛ
cabalístico	k ɐ b ɐ l i s t ʃ i k u
cabalísticos	k ɐ b ɐ l i s t ʃ i k u s
cabana	k ɐ b ɐ̃ n ɐ
cabanas	k ɐ b ɐ̃ n ɐ s
cabanha	k ɐ b ɐ̃ ɲ ɐ
cabaré	k ɐ b ɐ ɾ ɛ
cabarés	k ɐ b ɐ ɾ ɛ s
cabaças	k ɐ b ɐ s ɐ s
cabe	k ɐ b i
cabeceador	k ɐ b e s e ɐ d o ɹ
cabecear	k ɐ b e s e ɐ ɹ
cabeceia	k ɐ b e s ej ɐ
cabeceio	k ɐ b e s ej u
cabeceira	k ɐ b e s ej ɾ ɐ
cabeceiras	k ɐ b e s ej ɾ ɐ s
cabeceou	k ɐ b e s e ow
cabecinha	k ɐ b e s ĩ ɲ ɐ
cabedelo	k ɐ b e d ɛ l u
cabeleira	k ɐ b e l ej ɾ ɐ
cabeleireira	k ɐ b e l ej ɾ ej ɾ ɐ
cabeleireiro	k ɐ b e l ej ɾ ej ɾ u
cabeleireiros	k ɐ b e l ej ɾ ej ɾ u s
cabelereiro	k ɐ b e l e ɾ ej ɾ u
cabelo	k ɐ b ɛ l u
cabelos	k ɐ b e l u s
cabeludas	k ɐ b e l u d ɐ s
cabeludo	k ɐ b e l u d u
cabeludos	k ɐ b e l u d u s
cabem	k ɐ b ẽj̃
cabendo	k ɐ b ẽ d u
caber	k ɐ b e ɹ
caberia	k ɐ b e ɾ i ɐ
caberiam	k ɐ b e ɾ i ɐ̃w̃
cabernet	k ɐ b e ʁ n e t ʃ
caberá	k ɐ b e ɾ ɐ
cabeça	k ɐ b e s ɐ
cabeçada	k ɐ b e s ɐ d ɐ
cabeçadas	k ɐ b e s ɐ d ɐ s
cabeçalho	k ɐ b e s ɐ ʎ u
cabeças	k ɐ b e s ɐ s
cabeçote	k ɐ b e s o t ʃ i
cabeçudo	k ɐ b e s u d u
cabia	k ɐ b i ɐ
cabide	k ɐ b i d ʒ i
cabides	k ɐ b i d ʒ i s
cabimento	k ɐ b ĩ m ẽ t u
cabina	k ɐ b ĩ n ɐ
cabine	k ɐ b ĩ n i
cabines	k ɐ b ĩ n i s
cabisbaixo	k ɐ b i z b ɐj ʃ u
cable	k ɐ b l i
cabo	k ɐ b u
caboclo	k ɐ b o k l u
caboclos	k ɐ b o k l u s
cabos	k ɐ b u s
cabra	k ɐ b ɾ ɐ
cabral	k ɐ b ɾ ɐw
cabras	k ɐ b ɾ ɐ s
cabrera	k ɐ b ɾ e ɾ ɐ
cabresto	k ɐ b ɾ e s t u
cabrillo	k ɐ b ɾ iw l u
cabrini	k ɐ b ɾ ĩ n i
cabriolet	k ɐ b ɾ i o l e t ʃ
cabrita	k ɐ b ɾ i t ɐ
cabrito	k ɐ b ɾ i t u
cabrobó	k ɐ b ɾ o b ɔ
cabul	k ɐ b u w
cabular	k ɐ b u l ɐ ɹ
cabuçu	k ɐ b u s u
cabíria	k ɐ b i ɾ i ɐ
cabíveis	k ɐ b i v ej s
cabível	k ɐ b i v ew
cac	k ɐ k
cacaio	k ɐ k ɐj u
cacareco	k ɐ k ɐ ɾ e k u
cacarejar	k ɐ k ɐ ɾ e ʒ ɐ ɹ
cacau	k ɐ k ɐw
cacciola	k ɐ k s i o l ɐ
cacetada	k ɐ s e t ɐ d ɐ
cacete	k ɐ s e t ʃ i
cacex	k ɐ s e k s
cachaça	k ɐ ʃ ɐ s ɐ
cachaçaria	k ɐ ʃ ɐ s ɐ ɾ i ɐ
cache	k ɐ ʃ i
cachecol	k ɐ ʃ e k ɔ w
cachimbo	k ɐ ʃ ĩ b u
cachimbos	k ɐ ʃ ĩ b u s
cacho	k ɐ ʃ u
cachoeira	k ɐ ʃ o ej ɾ ɐ
cachoeiras	k ɐ ʃ o ej ɾ ɐ s
cachoeirinha	k ɐ ʃ o ej ɾ ĩ ɲ ɐ
cachoeiro	k ɐ ʃ o ej ɾ u
cachorra	k ɐ ʃ o ʁ ɐ
cachorrada	k ɐ ʃ o ʁ ɐ d ɐ
cachorrinho	k ɐ ʃ o ʁ ĩ ɲ u
cachorrinhos	k ɐ ʃ o ʁ ĩ ɲ u s
cachorro	k ɐ ʃ o ʁ u
cachorros	k ɐ ʃ o ʁ u s
cachos	k ɐ ʃ u s
cachê	k ɐ ʃ e
cachês	k ɐ ʃ e s
cacifar	k ɐ s i f ɐ ɹ
cacife	k ɐ s i f i
cacilda	k ɐ s iw d ɐ
cacique	k ɐ s i k i
caciques	k ɐ s i k i s
caco	k ɐ k u
cacoete	k ɐ k o e t ʃ i
cacoetes	k ɐ k o e t ʃ i s
cacofonia	k ɐ k o f o n i ɐ
cacos	k ɐ k u s
cactos	k ɐ k t u s
cacá	k ɐ k ɐ
cad	k ɐ d ʒ
cada	k ɐ d ɐ
cadafalso	k ɐ d ɐ f ɐw s u
cadarço	k ɐ d ɐ ɹ s u
cadastra	k ɐ d ɐ s t ɾ ɐ
cadastrada	k ɐ d ɐ s t ɾ ɐ d ɐ
cadastradas	k ɐ d ɐ s t ɾ ɐ d ɐ s
cadastrado	k ɐ d ɐ s t ɾ ɐ d u
cadastrados	k ɐ d ɐ s t ɾ ɐ d u s
cadastrais	k ɐ d ɐ s t ɾ ɐj s
cadastral	k ɐ d ɐ s t ɾ ɐw
cadastramento	k ɐ d ɐ s t ɾ ɐ m ẽ t u
cadastrando	k ɐ d ɐ s t ɾ ɐ̃ d u
cadastrar	k ɐ d ɐ s t ɾ ɐ ɹ
cadastro	k ɐ d ɐ s t ɾ u
cadastros	k ɐ d ɐ s t ɾ u s
cadastrou	k ɐ d ɐ s t ɾ ow
cadavéricos	k ɐ d ɐ v ɛ ɾ i k u s
cade	k ɐ d ʒ i
cadeado	k ɐ d e ɐ d u
cadeados	k ɐ d e ɐ d u s
cadeia	k ɐ d ej ɐ
cadeias	k ɐ d ej ɐ s
cadeira	k ɐ d ej ɾ ɐ
cadeiras	k ɐ d ej ɾ ɐ s
cadeião	k ɐ d ej ɐ̃w̃
cadeiões	k ɐ d ej õj̃ s
cadela	k ɐ d ɛ l ɐ
cadenciado	k ɐ d ẽ s i ɐ d u
caderneta	k ɐ d e ʁ n e t ɐ
cadernetas	k ɐ d e ʁ n e t ɐ s
caderno	k ɐ d e ʁ n u
cadernos	k ɐ d e ʁ n u s
cades	k ɐ d ʒ i s
cadete	k ɐ d e t ʃ i
cadetes	k ɐ d e t ʃ i s
cadillac	k ɐ d ʒ iw l ɐ k
cadin	k ɐ d ʒ ĩ
cadoro	k ɐ d o ɾ u
cadu	k ɐ d u
caducar	k ɐ d u k ɐ ɹ
cadáver	k ɐ d ɐ v e ɹ
cadáveres	k ɐ d ɐ v e ɾ i s
cadê	k ɐ d e
cadência	k ɐ d ẽ s i ɐ
cae	k ɐj
caem	k ɐj m
caen	k ɐ ẽ
caesar	k ɐj z ɐ ɹ
caetano	k ɐj t ɐ̃ n u
cafajeste	k ɐ f ɐ ʒ e s t ʃ i
cafe	k ɐ f i
cafeeira	k ɐ f e ej ɾ ɐ
cafeeiras	k ɐ f e ej ɾ ɐ s
cafeeiro	k ɐ f e ej ɾ u
cafeicultor	k ɐ f ej k u w t o ɹ
cafeicultores	k ɐ f ej k u w t o ɾ i s
cafeicultura	k ɐ f ej k u w t u ɾ ɐ
cafeteira	k ɐ f e t ej ɾ ɐ
cafeteria	k ɐ f e t e ɾ i ɐ
cafetina	k ɐ f e t ʃ ĩ n ɐ
cafetão	k ɐ f e t ɐ̃w̃
cafezais	k ɐ f e z ɐj s
cafezal	k ɐ f e z ɐw
cafezinho	k ɐ f e z ĩ ɲ u
cafezinhos	k ɐ f e z ĩ ɲ u s
cafeína	k ɐ f e i n ɐ
caffé	k ɐ f f ɛ
cafona	k ɐ f õ n ɐ
cafonas	k ɐ f õ n ɐ s
cafonice	k ɐ f o n i s i
cafu	k ɐ f u
café	k ɐ f ɛ
cafés	k ɐ f ɛ s
caga	k ɐ ɡ ɐ
cagar	k ɐ ɡ ɐ ɹ
cage	k ɐ ʒ i
cagiva	k ɐ ʒ i v ɐ
cagliari	k ɐ ɡ l i ɐ ɾ i
cahen	k ɐ ẽ
cahiers	k ɐ i e ɹ s
cahim	k ɐ ĩ
cai	k ɐj
caia	k ɐj ɐ
caiadas	k ɐj ɐ d ɐ s
caiado	k ɐj ɐ d u
caiam	k ɐj ɐ̃w̃
caiapó	k ɐj ɐ p ɔ
caiapós	k ɐj ɐ p ɔ s
caiaque	k ɐj ɐ k i
caiaques	k ɐj ɐ k i s
caiar	k ɐj ɐ ɹ
caiba	k ɐj b ɐ
caibro	k ɐj b ɾ u
caic	k ɐj k
caics	k ɐj k s
caiena	k ɐj e n ɐ
caim	k ɐ ĩ
caiman	k ɐ ĩ m ɐ̃
caimento	k ɐ ĩ m ẽ t u
cain	k ɐ ĩ
caindo	k ɐ ĩ d u
caine	k ɐ ĩ n i
caio	k ɐj u
caipira	k ɐj p i ɾ ɐ
caipiras	k ɐj p i ɾ ɐ s
caipirinha	k ɐj p i ɾ ĩ ɲ ɐ
caipirinhas	k ɐj p i ɾ ĩ ɲ ɐ s
cair	k ɐj ɹ
cairam	k ɐj ɾ ɐ̃w̃
cairia	k ɐj ɾ i ɐ
cairiam	k ɐj ɾ i ɐ̃w̃
cairo	k ɐj ɾ u
cairá	k ɐj ɾ ɐ
cairão	k ɐj ɾ ɐ̃w̃
cais	k ɐj s
caism	k ɐj z m
caiu	k ɐj w
caiubi	k ɐj w b i
caiuá	k ɐj w ɐ
caixa	k ɐj ʃ ɐ
caixas	k ɐj ʃ ɐ s
caixeiro	k ɐj ʃ ej ɾ u
caixilho	k ɐj ʃ i ʎ u
caixilhos	k ɐj ʃ i ʎ u s
caixinha	k ɐj ʃ ĩ ɲ ɐ
caixinhas	k ɐj ʃ ĩ ɲ ɐ s
caixote	k ɐj ʃ o t ʃ i
caixotes	k ɐj ʃ o t ʃ i s
caixão	k ɐj ʃ ɐ̃w̃
caixões	k ɐj ʃ õj̃ s
caiãna	k ɐj ɐ̃ n ɐ
caiçara	k ɐj s ɐ ɾ ɐ
cajado	k ɐ ʒ ɐ d u
cajari	k ɐ ʒ ɐ ɾ i
cajazeiras	k ɐ ʒ ɐ z ej ɾ ɐ s
caju	k ɐ ʒ u
cajueiro	k ɐ ʒ u ej ɾ u
cajun	k ɐ ʒ ũ
cake	k ɐ k i
cakoff	k ɐ k o f f
cal	k ɐw
cala	k ɐ l ɐ
calabi	k ɐ l ɐ b i
calabouço	k ɐ l ɐ b ow s u
calabresa	k ɐ l ɐ b ɾ e z ɐ
calada	k ɐ l ɐ d ɐ
calado	k ɐ l ɐ d u
calados	k ɐ l ɐ d u s
calafrio	k ɐ l ɐ f ɾ i u
calafrios	k ɐ l ɐ f ɾ i u s
calais	k ɐ l ɐj s
calam	k ɐ l ɐ̃w̃
calamidade	k ɐ l ɐ m i d ɐ d ʒ i
calamidades	k ɐ l ɐ m i d ɐ d ʒ i s
calamitosa	k ɐ l ɐ m i t ɔ z ɐ
calamitoso	k ɐ l ɐ m i t o z u
calar	k ɐ l ɐ ɹ
calaram	k ɐ l ɐ ɾ ɐ̃w̃
calasso	k ɐ l ɐ s u
calazans	k ɐ l ɐ z ɐ̃ s
calcada	k ɐw k ɐ d ɐ
calcado	k ɐw k ɐ d u
calcanhar	k ɐw k ɐ ɲ ɐ ɹ
calcanhares	k ɐw k ɐ ɲ ɐ ɾ i s
calcanhoto	k ɐw k ɐ ɲ o t u
calcenter	k ɐw s ẽ t e ɹ
calcinar	k ɐw s ĩ n ɐ ɹ
calcinha	k ɐw s ĩ ɲ ɐ
calcinhas	k ɐw s ĩ ɲ ɐ s
calcio	k ɐw s i u
calcula	k ɐw k u l ɐ
calculada	k ɐw k u l ɐ d ɐ
calculadas	k ɐw k u l ɐ d ɐ s
calculado	k ɐw k u l ɐ d u
calculadora	k ɐw k u l ɐ d o ɾ ɐ
calculadoras	k ɐw k u l ɐ d o ɾ ɐ s
calculados	k ɐw k u l ɐ d u s
calculam	k ɐw k u l ɐ̃w̃
calculamos	k ɐw k u l ɐ̃ m u s
calculando	k ɐw k u l ɐ̃ d u
calcular	k ɐw k u l ɐ ɹ
calcularam	k ɐw k u l ɐ ɾ ɐ̃w̃
calculava	k ɐw k u l ɐ v ɐ
calcule	k ɐw k u l i
calculista	k ɐw k u l i s t ɐ
calculou	k ɐw k u l ow
calcutá	k ɐw k u t ɐ
calcário	k ɐw k ɐ ɾ i u
calda	k ɐw d ɐ
caldas	k ɐw d ɐ s
caldeira	k ɐw d ej ɾ ɐ
caldeiras	k ɐw d ej ɾ ɐ s
caldeirão	k ɐw d ej ɾ ɐ̃w̃
calder	k ɐw d e ɹ
caldera	k ɐw d e ɾ ɐ
calderón	k ɐw d e ɾ ɔ n
caldo	k ɐw d u
caldos	k ɐw d u s
cale	k ɐ l i
calefação	k ɐ l e f ɐ s ɐ̃w̃
calegari	k ɐ l e ɡ ɐ ɾ i
caleidoscópio	k ɐ l ej d o s k ɔ p i u
calejado	k ɐ l e ʒ ɐ d u
calendas	k ɐ l ẽ d ɐ s
calendário	k ɐ l ẽ d ɐ ɾ i u
calendários	k ɐ l ẽ d ɐ ɾ i u s
calha	k ɐ ʎ ɐ
calhamaço	k ɐ ʎ ɐ m ɐ s u
calhambeque	k ɐ ʎ ɐ̃ b e k i
calhar	k ɐ ʎ ɐ ɹ
calhau	k ɐ ʎ ɐw
calheiros	k ɐ ʎ ej ɾ u s
calhorda	k ɐ ʎ o ʁ d ɐ
cali	k ɐ l i
calibra	k ɐ l i b ɾ ɐ
calibragem	k ɐ l i b ɾ ɐ ʒ ẽj̃
calibrar	k ɐ l i b ɾ ɐ ɹ
calibre	k ɐ l i b ɾ i
calibres	k ɐ l i b ɾ i s
calidoscópio	k ɐ l i d o s k ɔ p i u
caliente	k ɐ l i ẽ t ʃ i
calientes	k ɐ l i ẽ t ʃ i s
california	k ɐ l i f o ʁ n i ɐ
californiana	k ɐ l i f o ʁ n i ɐ̃ n ɐ
californiano	k ɐ l i f o ʁ n i ɐ̃ n u
californianos	k ɐ l i f o ʁ n i ɐ̃ n u s
califórnia	k ɐ l i f ɔ ʁ n i ɐ
caligari	k ɐ l i ɡ ɐ ɾ i
caligiuri	k ɐ l i ʒ iw ɾ i
caligrafia	k ɐ l i ɡ ɾ ɐ f i ɐ
calil	k ɐ l iw
calim	k ɐ l ĩ
calinda	k ɐ l ĩ d ɐ
calipso	k ɐ l i p s u
calista	k ɐ l i s t ɐ
calisto	k ɐ l i s t u
calixto	k ɐ l i ʃ t u
call	k ɐw w
callado	k ɐw l ɐ d u
callas	k ɐw l ɐ s
calle	k ɐw l i
calliari	k ɐw l i ɐ ɾ i
calligaris	k ɐw l i ɡ ɐ ɾ i j s
calling	k ɐw l ĩ ɡ
callis	k ɐw l i j s
calloway	k ɐw l ow ɐ i
calma	k ɐw m ɐ
calmamente	k ɐw m ɐ m ẽ t ʃ i
calmante	k ɐw m ɐ̃ t ʃ i
calmantes	k ɐw m ɐ̃ t ʃ i s
calmaria	k ɐw m ɐ ɾ i ɐ
calmas	k ɐw m ɐ s
calmo	k ɐw m u
calmon	k ɐw m õ
calmos	k ɐw m u s
calo	k ɐ l u
caloi	k ɐ l oj
calor	k ɐ l o ɹ
caloria	k ɐ l o ɾ i ɐ
calorias	k ɐ l o ɾ i ɐ s
calorosa	k ɐ l o ɾ ɔ z ɐ
caloroso	k ɐ l o ɾ o z u
calos	k ɐ l u s
calotas	k ɐ l o t ɐ s
calote	k ɐ l o t ʃ i
caloteiro	k ɐ l o t ej ɾ u
calou	k ɐ l ow
calouro	k ɐ l ow ɾ u
calouros	k ɐ l ow ɾ u s
caltabiano	k ɐw t ɐ b i ɐ̃ n u
caltech	k ɐw t e ʃ
caluniosa	k ɐ l ũ n i ɔ z ɐ
calva	k ɐw v ɐ
calvin	k ɐw v ĩ
calvino	k ɐw v ĩ n u
calvo	k ɐw v u
calvário	k ɐw v ɐ ɾ i u
calvície	k ɐw v i s i
calça	k ɐw s ɐ
calçada	k ɐw s ɐ d ɐ
calçadas	k ɐw s ɐ d ɐ s
calçadista	k ɐw s ɐ d ʒ i s t ɐ
calçadistas	k ɐw s ɐ d ʒ i s t ɐ s
calçado	k ɐw s ɐ d u
calçados	k ɐw s ɐ d u s
calçadão	k ɐw s ɐ d ɐ̃w̃
calçadões	k ɐw s ɐ d õj̃ s
calçamento	k ɐw s ɐ m ẽ t u
calçar	k ɐw s ɐ ɹ
calças	k ɐw s ɐ s
calço	k ɐw s u
calção	k ɐw s ɐ̃w̃
calções	k ɐw s õj̃ s
calônego	k ɐ l o n e ɡ u
calúnia	k ɐ l u n i ɐ
calúnias	k ɐ l u n i ɐ s
cam	k ɐ̃w̃
cama	k ɐ̃ m ɐ
camacho	k ɐ m ɐ ʃ u
camada	k ɐ m ɐ d ɐ
camadas	k ɐ m ɐ d ɐ s
camaguey	k ɐ m ɐ ɡ e i
camaleão	k ɐ m ɐ l e ɐ̃w̃
camaleões	k ɐ m ɐ l e õj̃ s
camaquã	k ɐ m ɐ k u ɐ̃
camara	k ɐ m ɐ ɾ ɐ
camarada	k ɐ m ɐ ɾ ɐ d ɐ
camaradagem	k ɐ m ɐ ɾ ɐ d ɐ ʒ ẽj̃
camaradas	k ɐ m ɐ ɾ ɐ d ɐ s
camaragibe	k ɐ m ɐ ɾ ɐ ʒ i b i
camarata	k ɐ m ɐ ɾ ɐ t ɐ
camareira	k ɐ m ɐ ɾ ej ɾ ɐ
camareiras	k ɐ m ɐ ɾ ej ɾ ɐ s
camareiro	k ɐ m ɐ ɾ ej ɾ u
camaret	k ɐ m ɐ ɾ e t ʃ
camargo	k ɐ m ɐ ʁ ɡ u
camargos	k ɐ m ɐ ʁ ɡ u s
camarim	k ɐ m ɐ ɾ ĩ
camarins	k ɐ m ɐ ɾ ĩ s
camaronesa	k ɐ m ɐ ɾ o n e z ɐ
camaroneses	k ɐ m ɐ ɾ o n e z i s
camaronês	k ɐ m ɐ ɾ o n e s
camarote	k ɐ m ɐ ɾ o t ʃ i
camarotes	k ɐ m ɐ ɾ o t ʃ i s
camará	k ɐ m ɐ ɾ ɐ
camarão	k ɐ m ɐ ɾ ɐ̃w̃
camarões	k ɐ m ɐ ɾ õj̃ s
camas	k ɐ̃ m ɐ s
camata	k ɐ m ɐ t ɐ
camaçari	k ɐ m ɐ s ɐ ɾ i
cambada	k ɐ̃ b ɐ d ɐ
cambalear	k ɐ̃ b ɐ l e ɐ ɹ
cambalhota	k ɐ̃ b ɐ ʎ o t ɐ
cambalhotas	k ɐ̃ b ɐ ʎ o t ɐ s
cambiaghi	k ɐ̃ b i ɐ ɡ i
cambiais	k ɐ̃ b i ɐj s
cambial	k ɐ̃ b i ɐw
cambio	k ɐ̃ b i u
cambista	k ɐ̃ b i s t ɐ
cambistas	k ɐ̃ b i s t ɐ s
