-al	a l
jednoslovný	j ɛ d n o s l o v n iː
jednosměrné	j ɛ d n o s m ɲ ɛ r n ɛː
jednosměrný	j ɛ d n o s m ɲ ɛ r n iː
jednostranný	j ɛ d n o s t r a n iː
jednota	j ɛ d n o t a
jednotce	j ɛ d n o t t͡s ɛ
jednotek	j ɛ d n o t ɛ k
jednotka	j ɛ d n o t k a
jednotkami	j ɛ d n o t k a m ɪ
jednotko	j ɛ d n o t k o
jednotkou	j ɛ d n o t k ou̯
jednotku	j ɛ d n o t k u
jednotky	j ɛ d n o t k ɪ
jednotkách	j ɛ d n o t k aː x
jednotkám	j ɛ d n o t k aː m
jednotlivci	j ɛ d n o t l ɪ f t͡s ɪ
jednotlivec	j ɛ d n o t l ɪ v ɛ t͡s
jednotlivé	j ɛ d n o t l ɪ v ɛː
jednotlivý	j ɛ d n o t l ɪ v iː
jednotlivých	j ɛ d n o t l ɪ v iː x
jednotní	j ɛ d n o t ɲ iː
jednotný	j ɛ d n o t n iː
jednotvárný	j ɛ d n o t v aː r n iː
jednotvárně	j ɛ d n o t v aː r ɲ ɛ
jednotě	j ɛ d n o c ɛ
jednotřídka	j ɛ d n o t r̝ iː t k a
jednou	j ɛ d n ou̯
jednovaječný	j ɛ d n o v a j ɛ t͡ʃ n iː
jednoveslice	j ɛ d n o v ɛ s l ɪ t͡s ɛ
jednoznačný	j ɛ d n o z n a t͡ʃ n iː
jednu	j ɛ d n u
jedny	j ɛ d n ɪ
jedná	j ɛ d n aː
jednání	j ɛ d n aː ɲ iː
jedné	j ɛ d n ɛː
jedním	j ɛ d ɲ iː m
jedou	j ɛ d ou̯
jedouc	j ɛ d ou̯ t͡s
jedouce	j ɛ d ou̯ t͡s ɛ
jedoucího	j ɛ d ou̯ t͡s iː ɦ o
jedovaté	j ɛ d o v a t ɛː
jedovatý	j ɛ d o v a t iː
jedovatější	j ɛ d o v a c ɛ j ʃ iː
jedovka	j ɛ d o f k a
jedový	j ɛ d o v iː
jedu	j ɛ d u
jehelní	j ɛ ɦ ɛ l ɲ iː
jehla	j ɛ ɦ l a
jehlan	j ɛ ɦ l a n
jehlic	j ɛ ɦ l ɪ t͡s
jehlice	j ɛ ɦ l ɪ t͡s ɛ
jehlicemi	j ɛ ɦ l ɪ t͡s ɛ m ɪ
jehlici	j ɛ ɦ l ɪ t͡s ɪ
jehlicí	j ɛ ɦ l ɪ t͡s iː
jehlicích	j ɛ ɦ l ɪ t͡s iː x
jehlicím	j ɛ ɦ l ɪ t͡s iː m
jehlička	j ɛ ɦ l ɪ t͡ʃ k a
jehličnan	j ɛ ɦ l ɪ t͡ʃ n a n
jehličnatý	j ɛ ɦ l ɪ t͡ʃ n a t iː
jehličí	j ɛ ɦ l ɪ t͡ʃ iː
jehličím	j ɛ ɦ l ɪ t͡ʃ iː m
jehlou	j ɛ ɦ l ou̯
jehlový	j ɛ ɦ l o v iː
jehně	j ɛ ɦ ɲ ɛ
jehněda	j ɛ ɦ ɲ ɛ d a
jeho	j ɛ ɦ o
jehova	j ɛ ɦ o v a
jehož	j ɛ ɦ o ʃ
jehňátko	j ɛ ɦ ɲ aː t k o
jej	j ɛ j
jejej	j ɛ j ɛ j
jejejnana	j ɛ j ɛ j n a n a
jejich	j ɛ j ɪ x
jejichž	j ɛ j ɪ x ʃ
jejkov	j ɛ j k o f
její	j ɛ j iː
jejích	j ɛ j iː x
jejíchž	j ɛ j iː ɦ ʃ
jejího	j ɛ j iː ɦ o
jejíhož	j ɛ j iː ɦ o ʃ
jejím	j ɛ j iː m
jejími	j ɛ j iː m ɪ
jejímu	j ɛ j iː m u
jejíž	j ɛ j iː ʃ
jekl	j ɛ k l
jel	j ɛ l
jela	j ɛ l a
jelec	j ɛ l ɛ t͡s
jelen	j ɛ l ɛ n
jeleni	j ɛ l ɛ ɲ ɪ
jelenice	j ɛ l ɛ ɲ ɪ t͡s ɛ
jelení	j ɛ l ɛ ɲ iː
jeleních	j ɛ l ɛ ɲ iː x
jelikož	j ɛ l ɪ k o ʃ
jelimánek	j ɛ l ɪ m aː n ɛ k
jelito	j ɛ l ɪ t o
jelínek	j ɛ l iː n ɛ k
jemen	j ɛ m ɛ n
jemenka	j ɛ m ɛ n k a
jemenský	j ɛ m ɛ n s k iː
jemenu	j ɛ m ɛ n u
jemnosrstý	j ɛ m n o s r s t iː
jemný	j ɛ m n iː
jemně	j ɛ m ɲ ɛ
jemnější	j ɛ m ɲ ɛ j ʃ iː
jemu	j ɛ m u
jemuž	j ɛ m u ʃ
jen	j ɛ n
jena	j ɛ n a
jene	j ɛ n ɛ
jenisej	j ɛ n ɪ s ɛ j
jenom	j ɛ n o m
jenomže	j ɛ n o m ʒ ɛ
jenáček	j ɛ n aː t͡ʃ ɛ k
jeníček	j ɛ ɲ iː t͡ʃ ɛ k
jeně	j ɛ ɲ ɛ
jenž	j ɛ n ʃ
jenže	j ɛ n ʒ ɛ
jepičí	j ɛ p ɪ t͡ʃ iː
jeptiška	j ɛ p c ɪ ʃ k a
jerej	j ɛ r ɛ j
jeremiáda	j ɛ r ɛ m ɪ j aː d a
jerevan	j ɛ r ɛ v a n
jereš	j ɛ r ɛ ʃ
jerichový	j ɛ r ɪ x o v iː
jerlín	j ɛ r l iː n
jeronýma	j ɛ r o n iː m a
jeruzalém	j ɛ r u z a l ɛː m
jeruzalémanka	j ɛ r u z a l ɛː m a n k a
jeruzalémský	j ɛ r u z a l ɛː m s k iː
jesen	j ɛ s ɛ n
jesenický	j ɛ s ɛ ɲ ɪ t͡s k iː
jesenka	j ɛ s ɛ n k a
jeseník	j ɛ s ɛ ɲ iː k
jeseníky	j ɛ s ɛ ɲ iː k ɪ
jeseter	j ɛ s ɛ t ɛ r
jeseň	j ɛ s ɛ ɲ
jeskyni	j ɛ s k ɪ ɲ ɪ
jeskynní	j ɛ s k ɪ ɲ iː
jeskyních	j ɛ s k ɪ ɲ iː x
jeskyně	j ɛ s k ɪ ɲ ɛ
jeskyněmi	j ɛ s k ɪ ɲ ɛ m ɪ
jeskyňka	j ɛ s k ɪ ɲ k a
jeskyňáře	j ɛ s k ɪ ɲ aː r̝ ɛ
jesle	j ɛ s l ɛ
jespák	j ɛ s p aː k
jest	j ɛ s t
jestli	j ɛ s t l ɪ
jestliže	j ɛ s t l ɪ ʒ ɛ
jestřáb	j ɛ s t r̝ aː p
jestřábí	j ɛ s t r̝ aː b iː
jet	j ɛ t
jeti	j ɛ c ɪ
jev	j ɛ f
jevit	j ɛ v ɪ t
jeviti	j ɛ v ɪ c ɪ
jevištní	j ɛ v ɪ ʃ t ɲ iː
jeviště	j ɛ v ɪ ʃ c ɛ
jez	j ɛ s
jezdec	j ɛ z d ɛ t͡s
jezdectvo	j ɛ z d ɛ t͡s t v o
jezdi	j ɛ z ɟ ɪ
jezdily	j ɛ z ɟ ɪ l ɪ
jezdit	j ɛ z ɟ ɪ t
jezditi	j ɛ z ɟ ɪ c ɪ
jezdiv	j ɛ z ɟ ɪ f
jezdkyně	j ɛ s t k ɪ ɲ ɛ
jezdí	j ɛ z ɟ iː
jezdíme	j ɛ z ɟ iː m ɛ
jezerní	j ɛ z ɛ r ɲ iː
jezero	j ɛ z ɛ r o
jezevec	j ɛ z ɛ v ɛ t͡s
jezevčí	j ɛ z ɛ f t͡ʃ iː
jezevčík	j ɛ z ɛ f t͡ʃ iː k
jezeďačce	j ɛ z ɛ ɟ a t͡ʃ t͡s ɛ
jezeďačka	j ɛ z ɛ ɟ a t͡ʃ k a
jezeďák	j ɛ z ɛ ɟ aː k
jezinka	j ɛ z ɪ n k a
jezovita	j ɛ z o v ɪ t a
jezu	j ɛ z u
jezuita	j ɛ z u ɪ t a
jezuitský	j ɛ z u ɪ t͡s k iː
jezule	j ɛ z u l ɛ
jezulátko	j ɛ z u l aː t k o
jezírko	j ɛ z iː r k o
ječet	j ɛ t͡ʃ ɛ t
ječmen	j ɛ t͡ʃ m ɛ n
ječmenek	j ɛ t͡ʃ m ɛ n ɛ k
ječmenný	j ɛ t͡ʃ m ɛ n iː
ječmének	j ɛ t͡ʃ m ɛː n ɛ k
ječný	j ɛ t͡ʃ n iː
ječák	j ɛ t͡ʃ aː k
jeď	j ɛ c
jeřabina	j ɛ r̝ a b ɪ n a
jeřáb	j ɛ r̝ aː p
jeřábník	j ɛ r̝ aː b ɲ iː k
jeřábníkův	j ɛ r̝ aː b ɲ iː k uː f
ješitnost	j ɛ ʃ ɪ t n o s t
ješitný	j ɛ ʃ ɪ t n iː
ještě	j ɛ ʃ c ɛ
ještěd	j ɛ ʃ c ɛ t
ještěr	j ɛ ʃ c ɛ r
ještěrka	j ɛ ʃ c ɛ r k a
jež	j ɛ ʃ
ježdík	j ɛ ʒ ɟ iː k
ježek	j ɛ ʒ ɛ k
ježibaba	j ɛ ʒ ɪ b a b a
ježibabí	j ɛ ʒ ɪ b a b iː
ježit	j ɛ ʒ ɪ t
ježišmarja	j ɛ ʒ ɪ ʃ m a r j a
ježková	j ɛ ʃ k o v aː
ježto	j ɛ ʃ t o
ježíš	j ɛ ʒ iː ʃ
ježíšek	j ɛ ʒ iː ʃ ɛ k
ježíšmarjá	j ɛ ʒ iː ʃ m a r j aː j ɛ ʒ ɪ ʃ m a r j aː j ɛ ʒ iː ʃ m aː r j aː j ɛ ʒ ɪ ʃ m aː r j aː
ježíšův	j ɛ ʒ iː ʃ uː f
jho	j ɦ o
ji	j ɪ
jich	j ɪ x
jichž	j ɪ x ʃ
jidiš	j ɪ d ɪ ʃ
jidáš	j ɪ d aː ʃ
jidášník	j ɪ d aː ʃ ɲ iː k
jidášův	j ɪ d aː ʃ uː f
jih	j ɪ x
jihlava	j ɪ ɦ l a v a
jihlavsko	j ɪ ɦ l a f s k o
jihlavský	j ɪ ɦ l a f s k iː
jihlavy	j ɪ ɦ l a v ɪ
jihlavák	j ɪ ɦ l a v aː k
jihlavě	j ɪ ɦ l a v j ɛ
jihnout	j ɪ ɦ n ou̯ t
jihnouti	j ɪ ɦ n ou̯ c ɪ
jihoafrický	j ɪ ɦ o a f r ɪ t͡s k iː
jihoamerický	j ɪ ɦ o a m ɛ r ɪ t͡s k iː
jihoamerických	j ɪ ɦ o a m ɛ r ɪ t͡s k iː x
jihoameričan	j ɪ ɦ o a m ɛ r ɪ t ʃ a n
jihoanglickém	j ɪ ɦ o a n ɡ l ɪ t͡s k ɛː m
jihoanglický	j ɪ ɦ o a n ɡ l ɪ t͡s k iː
jihoevropský	j ɪ ɦ o ɛ v r o p s k iː
jihokorejský	j ɪ ɦ o k o r ɛ j s k iː
jihomoravský	j ɪ ɦ o m o r a f s k iː
jihopákistánské	j ɪ ɦ o p aː k ɪ s t aː n s k ɛː
jihopákistánský	j ɪ ɦ o p aː k ɪ s t aː n s k iː
jihoslávie	j ɪ ɦ o s l aː v ɪ j ɛ
jihovýchod	j ɪ ɦ o v iː x o t
jihovýchodní	j ɪ ɦ o v iː x o d ɲ iː
jihovýchodně	j ɪ ɦ o v iː x o d ɲ ɛ
jihovýchodě	j ɪ ɦ o v iː x o ɟ ɛ
jihozápad	j ɪ ɦ o z aː p a t
jihozápadní	j ɪ ɦ o z aː p a d ɲ iː
jihozápadně	j ɪ ɦ o z aː p a d ɲ ɛ
jihočeský	j ɪ ɦ o t͡ʃ ɛ s k iː
jihočeských	j ɪ ɦ o t͡ʃ ɛ s k iː x
jihočínském	j ɪ ɦ o t͡ʃ iː n s k ɛː m
jihočínský	j ɪ ɦ o t͡ʃ iː n s k iː
jihu	j ɪ ɦ u
jikra	j ɪ k r a
jikrný	j ɪ k r n iː
jiljí	j ɪ l j iː
jilm	j ɪ l m
jilmový	j ɪ l m o v iː
jim	d͡ʒ ɪ m
jimi	j ɪ m ɪ
jimiž	j ɪ m ɪ ʃ
jimž	j ɪ m ʃ
jinak	j ɪ n a k
jinam	j ɪ n a m
jinan	j ɪ n a n
jinde	j ɪ n d ɛ
jindrová	j ɪ n d r o v aː
jindrákovi	j ɪ n d r aː k o v ɪ
jindráková	j ɪ n d r aː k o v aː
jindy	j ɪ n d ɪ
jindřich	j ɪ n d r̝ ɪ x
jindřichův	j ɪ n d r̝ ɪ x uː f
jindřišská	j ɪ n d r̝ ɪ ʃ s k aː
jinoch	j ɪ n o x
jinochod	j ɪ n o x o t
jinonic	j ɪ n o ɲ ɪ t͡s
jinonice	j ɪ n o ɲ ɪ t͡s ɛ
jinonickém	j ɪ n o ɲ ɪ t͡s k ɛː m
jinonický	j ɪ n o ɲ ɪ t͡s k iː
jinovatka	j ɪ n o v a t k a
jinověrec	j ɪ n o v j ɛ r ɛ t͡s
jinošík	j ɪ n o ʃ iː k
jiná	j ɪ n aː
jináč	j ɪ n aː t͡ʃ
jiné	j ɪ n ɛː
jiného	j ɪ n ɛː ɦ o
jiný	j ɪ n iː
jiných	j ɪ n iː x
jiným	j ɪ n iː m
jip	j ɪ p
jircha	j ɪ r x a
jirchový	j ɪ r x o v iː
jirka	j ɪ r k a
jirkův	j ɪ r k uː f
jiroš	j ɪ r o ʃ
jirčák	j ɪ r t͡ʃ aː k
jisker	j ɪ s k ɛ r
jiskra	j ɪ s k r a
jiskrami	j ɪ s k r a m ɪ
jiskro	j ɪ s k r o
jiskrou	j ɪ s k r ou̯
jiskru	j ɪ s k r u
jiskry	j ɪ s k r ɪ
jiskrách	j ɪ s k r aː x
jiskrám	j ɪ s k r aː m
jiskře	j ɪ s k r̝ ɛ
jist	j ɪ s t
jistebnický	j ɪ s t ɛ b ɲ ɪ t͡s k iː
jistej	j ɪ s t ɛ j
jisti	j ɪ s c ɪ
jistina	j ɪ s c ɪ n a
jistit	j ɪ s c ɪ t
jistiti	j ɪ s c ɪ c ɪ
jistota	j ɪ s t o t a
jistá	j ɪ s t aː
jistého	j ɪ s t ɛː ɦ o
jistí	j ɪ s t͡s iː
jistý	j ɪ s t iː
jistě	j ɪ s c ɛ
jistější	j ɪ s c ɛ j ʃ iː
jitka	j ɪ t k a
jitrnice	j ɪ t r ɲ ɪ t͡s ɛ
jitrnicový	j ɪ t r ɲ ɪ t͡s o v iː
jitro	j ɪ t r o
jitrocel	j ɪ t r o t͡s ɛ l
jitrocelový	j ɪ t r o t͡s ɛ l o v iː
jitřenka	j ɪ t r̝ ɛ n k a
jitřní	j ɪ t r̝ ɲ iː
jizba	j ɪ z b a
jizera	j ɪ z ɛ r a
jizva	j ɪ z v a
jičín	j ɪ t ʃ iː n
jičínsko	j ɪ t͡ʃ iː n s k o
jiřina	j ɪ r̝ ɪ n a
jiřinář	j ɪ r̝ ɪ n aː r̝
jiřička	j ɪ r̝ ɪ t͡ʃ k a
jiřská	j ɪ r̝ s k aː
jiřák	j ɪ r̝ aː k
jiří	j ɪ r̝ iː
jiřího	j ɪ r̝ iː ɦ o
jiřík	j ɪ r̝ iː k
již	j ɪ ʃ
jižní	j ɪ ʒ ɲ iː
jižních	j ɪ ʒ ɲ iː x
jižně	j ɪ ʒ ɲ ɛ
jmelí	j m ɛ l iː
jmenný	j m ɛ n iː
jmenovat	j m ɛ n o v a t
jmenovatel	j m ɛ n o v a t ɛ l
jmenovec	j m ɛ n o v ɛ t͡s
jmenovitý	j m ɛ n o v ɪ t iː
jmenovka	j m ɛ n o f k a
jmenuje	j m ɛ n u j ɛ
jmout	j m ou̯ t
jména	j m ɛː n a
jménem	j m ɛː n ɛ m
jméno	j m ɛː n o
jmín	j m iː n
jmína	j m iː n a
jmíni	j m iː ɲ ɪ
jmíno	j m iː n o
jmíny	j m iː n ɪ
jo	j o
job	j o p
jobovka	j o b o f k a
jod	j oː t
jodoform	j o d o f o r m
jodovodík	j o d o v o ɟ iː k
jodový	j o d o v iː
joensuu	j o ɛ n s uː
jogging	d͡ʒ o ɡ ɪ n k
jogurt	j o ɡ u r t
jogurtový	j o ɡ u r t o v iː
jogín	j o ɡ iː n
jogínka	j o ɡ iː n k a
jogínův	j o ɡ iː n uː f
johana	j o ɦ a n a
johanečka	j o ɦ a n ɛ t͡ʃ k a
johanitský	j o ɦ a n ɪ t s k iː
johanka	j o ɦ a n k a
johannesburg	j o ɦ a n ɛ z b u r k
john	d ʒ o n
joik	j o j k
joikovat	j o j k o v a t
joint	d͡ʒ o j n t
joj	j o j
jojo	j o j o
jokohama	j o k o ɦ a m a
jolek	j o l ɛ k
jolka	j o l k a
jonáš	j o n aː ʃ
jonášův	j o n aː ʃ uː f
jordán	j o r d aː n
jordánec	j o r d aː n ɛ t͡s
jordánka	j o r d aː n k a
jordánsko	j o r d aː n s k o
jordánský	j o r d aː n s k iː
jorová	j o r o v aː
josef	j o z ɛ f
josefův	j o z ɛ f uː f
joudové	j ou̯ d o v ɛː
joule	d͡ʒ au̯ l d͡ʒ ou̯ l
jourová	j ou̯ r o v aː
jozef	j o z ɛ f
jozue	j o z u ɛ
jsa	j s a
jsem	s ɛ m j s ɛ m
jsi	j s ɪ s ɪ
jsme	j s m ɛ
jsou	s ou̯ j s ou̯
jsouc	j s ou̯ t͡s
jsouce	j s ou̯ t͡s ɛ s ou̯ t͡s ɛ
jsoucno	j s ou̯ t͡s n o
jsoucí	j s ou̯ t͡s iː
jste	s t ɛ j s t ɛ
ju	j u
jubilejní	j u b ɪ l ɛ j ɲ iː
jubileum	j u b ɪ l eu̯ m
juchú	j u x uː
judaista	j u d a j ɪ s t a
judiciální	j u d ɪ t͡s ɪ aː l ɲ iː
judikaturní	j u d ɪ k a t u r ɲ iː
judista	t ʒ u d ɪ s t a
judistka	d͡ʒ u d ɪ s t k a
judo	d͡ʒ u d o
judsko	j u t͡s k o
jugoslávie	j u ɡ o s l aː v ɪ j ɛ
jugoslávský	j u ɡ o s l aː f s k iː
jugoslávští	j u ɡ o s l aː f ʃ c iː
jugulární	j u ɡ u l aː r ɲ iː
juka	j u k a
jukat	j u k a t
juknout	j u k n ou̯ t
jules	ʒ ɪ l
julesa	ʒ ɪ l a
julia	j u l ɪ j a
julie	j uː l ɪ j ɛ
julius	j u l ɪ j u s
julián	j u l ɪ aː n
jungmann	j u n ɡ m a n
jungmannův	j u n ɡ m a n uː f
junior	j u n ɪ j o r
juniorská	j u n ɪ o r s k aː
juniorského	j u n ɪ o r s k ɛː ɦ o
juniorský	j u n ɪ o r s k iː
juntě	x u n c ɛ
junák	j u n aː k
jupiter	j u p ɪ t ɛ r
jupka	j u p k a
jura	j u r a
jurda	j u r d a
jurdy	j u r d ɪ
jurský	j u r s k iː
jurta	j u r t a
jurtový	j u r t o v iː
justice	j u s t ɪ t͡s ɛ
justiciár	j u s t ɪ t͡s ɪ j aː r
justiciář	j u s t ɪ t͡s ɪ j aː r̝
justiční	j u s t ɪ t͡ʃ ɲ iː
justování	j u s t o v aː ɲ iː
juta	j u t a
jutař	j u t a r̝
jutovník	j u t o v ɲ iː k
jutsko	j u t͡s k o
jutský	j u t s k iː
juvenilní	j u v ɛ n ɪ l ɲ iː
juvie	j u v ɪ j ɛ
juž	j u ʃ
jzd	j ɛː z ɛː d ɛː
já	j aː
jáchymův	j aː x ɪ m uː f
jádrem	j aː d r ɛ m
jádro	j aː d r o
jádřinec	j aː d r̝ ɪ n ɛ t͡s
jágr	j aː ɡ r
jáhen	j aː ɦ ɛ n
jáhla	j aː ɦ l a
jáhlička	j aː ɦ l ɪ t͡ʃ k a
jáhlový	j aː ɦ l o v iː
jájinkovství	j aː j ɪ n k o f s t v iː
jáma	j aː m a
ján	j aː n
jánoš	j aː n o ʃ
jár	j aː r
jára	j aː r a
jásat	j aː s a t
jásavě	j aː s a v j ɛ
játra	j aː t r a
játrový	j aː t r o v iː
jáva	j aː v a
jávský	j aː f s k iː
jářku	j aː r̝ k u
jäkl	j ɛ k l
jé	j ɛː
jí	j iː
jícen	j iː t͡s ɛ n
jícha	j iː x a
jícnový	j iː t͡s n o v iː
jídat	j iː d a t
jídelen	j iː d ɛ l ɛ n
jídelna	j iː d ɛ l n a
jídelnami	j iː d ɛ l n a m ɪ
jídelno	j iː d ɛ l n o
jídelnou	j iː d ɛ l n ou̯
jídelnu	j iː d ɛ l n u
jídelny	j iː d ɛ l n ɪ
jídelnách	j iː d ɛ l n aː x
jídelnám	j iː d ɛ l n aː m
jídelní	j iː d ɛ l ɲ iː
jídelníček	j iː d ɛ l ɲ iː t͡ʃ ɛ k
jídelně	j iː d ɛ l ɲ ɛ
jídelák	j iː d ɛ l aː k
jídelňák	j iː d ɛ l ɲ aː k
jídla	j iː d l a
jídlem	j iː d l ɛ m
jídlo	j iː d l o
jídlonosič	j iː d l o n o s ɪ t͡ʃ
jíl	j iː l
jílec	j iː l ɛ t͡s
jílek	j iː l ɛ k
jílový	j iː l o v iː
jím	j iː m
jímá	j iː m aː
jímž	j iː m ʃ
jíní	j iː ɲ iː
jíra	j iː r a
jírovec	j iː r o v ɛ t͡s
jíst	j iː s t
jísti	j iː s c ɪ
jít	j iː t
jíti	j iː c ɪ
jívový	j iː v o v iː
jízd	j iː s t
jízda	j iː z d a
jízdenka	j iː z d ɛ n k a
jízdné	j iː z d n ɛː
jízdní	j iː z d ɲ iː
jízdy	j iː z d ɪ
jízdárna	j iː z d aː r n a
jízlivý	j iː z l ɪ v iː
jíš	j iː ʃ
jíška	j iː ʃ k a
jíškový	j iː ʃ k o v iː
jíž	j iː ʃ
jód	j oː t
jódlovat	j oː d l o v a t
jódlovati	j oː d l o v a c ɪ
jódový	j oː d o v iː
jóga	j oː ɡ a
jú	j uː
jüan	j ɪ a n
jůra	j uː r a
k	ɡ
kabala	k a b a l a
kabalista	k a b a l ɪ s t a
kabalistce	k a b a l ɪ s t͡s ɛ
kabalistika	k a b a l ɪ s t ɪ k a
kabalistka	k a b a l ɪ s t k a
kabanos	k a b a n o s
kabar	k a b a r
kabaret	k a b a r ɛ t
kabaretní	k a b a r ɛ t ɲ iː
kabaretu	k a b a r ɛ t u
kabel	k a b ɛ l
kabela	k a b ɛ l a
kabelatý	k a b ɛ l a t iː
kabelizace	k a b ɛ l ɪ z a t͡s ɛ
kabelka	k a b ɛ l k a
kabelkový	k a b ɛ l k o v iː
kabelogram	k a b ɛ l o ɡ r a m
kabelovitý	k a b ɛ l o v ɪ t iː
kabelovna	k a b ɛ l o v n a
kabelový	k a b ɛ l o v iː
kabelážní	k a b ɛ l aː ʒ ɲ iː
kabina	k a b ɪ n a
kabinet	k a b ɪ n ɛ t
kabinetní	k a b ɪ n ɛ t ɲ iː
kabinetu	k a b ɪ n ɛ t u
kabiny	k a b ɪ n ɪ
kabině	k a b ɪ ɲ ɛ
kabonivý	k a b o ɲ ɪ v iː
kabotážní	k a b o t aː ʒ ɲ iː
kabriolet	k a b r ɪ o l ɛ t
kabát	k a b aː t
kabátek	k a b aː t ɛ k
kabátový	k a b aː t o v iː
kabřincový	k a b r̝ ɪ n t͡s o v iː
kabřinec	k a b r̝ ɪ n ɛ t͡s
kacabaja	k a t͡s a b a j a
kacabajka	k a t͡s a b a j k a
kacapský	k a t͡s a p s k iː
kachexie	k a x ɛ k s ɪ j ɛ
kachna	k a x n a
kachničce	k a x ɲ ɪ t͡ʃ t͡s ɛ
kachnička	k a x ɲ ɪ t͡ʃ k a
kachny	k a x n ɪ
kachní	k a x ɲ iː
kachně	k a x ɲ ɛ
kachňátko	k a x ɲ aː t k o
kacíř	k a t͡s iː r̝
kadaverin	k a d a v ɛ r ɪ n
kadaverózní	k a d a v ɛ r oː z ɲ iː
kadaň	k a d a ɲ
kadetní	k a d ɛ t ɲ iː
kadetský	k a d ɛ t s k iː
kadeř	k a d ɛ r̝
kadeřavý	k a d ɛ r̝ a v iː
kadeřnice	k a d ɛ r̝ ɲ ɪ t͡s ɛ
kadeřnictví	k a d ɛ r̝ ɲ ɪ t͡s t v iː
kadeřník	k a d ɛ r̝ ɲ iː k
kadeřníkův	k a d ɛ r̝ ɲ iː k uː f
kadibouda	k a ɟ ɪ b ou̯ d a
kadibudka	k a ɟ ɪ b u t k a
kadidelnice	k a ɟ ɪ d ɛ l ɲ ɪ t͡s ɛ
kadidlo	k a ɟ ɪ d l o
kadidlovník	k a ɟ ɪ d l o v ɲ iː k
kadidlový	k a ɟ ɪ d l o v iː
kadit	k a ɟ ɪ t
kadlec	k a d l ɛ t͡s
kadlub	k a d l u p
kadlátka	k a d l aː t k a
kadmiový	k a d m ɪ j o v iː
kadmium	k a d m ɪ j u m
kadáver	k a d aː v ɛ r
kafarnaum	k a f a r n au̯ m
kafe	k a f ɛ
kafemlejnek	k a f ɛ m l ɛ j n ɛ k
kafilerie	k a f ɪ l ɛ r ɪ j ɛ
kafilerní	k a f ɪ l ɛ r ɲ iː
kafilérie	k a f ɪ l ɛː r ɪ j ɛ
kafkovský	k a f k o f s k iː
kafrovník	k a f r o v ɲ iː k
kafrový	k a f r o v iː
kaftan	k a f t a n
kaftánek	k a f t aː n ɛ k
kafíčko	k a f iː t͡ʃ k o
kaganát	k a ɡ a n aː t
kagánek	k a ɡ aː n ɛ k
kahan	k a ɦ a n
kahánek	k a ɦ aː n ɛ k
kain	k a j n
kainarová	k a j n a r o v aː
kainit	k a j n ɪ t
kainův	k a j n uː f
kaiser	k a j z r
kaiserka	k a j s ɛ r k a k a j z ɛ r k a
kaj	k a j
kajak	k a j a k
kajakář	k a j a k aː r̝
kajakářka	k a j a k aː r̝ k a
kajeput	k a j ɛ p u t
kajka	k a j k a
kajmaní	k a j m a ɲ iː
kajuta	k a j u t a
kajánek	k a j aː n ɛ k
kajícník	k a j iː t s ɲ iː k
kajícníkův	k a j iː t͡s ɲ iː k uː f
kajínek	k aː j iː n ɛ k
kajínka	k aː j iː n k a
kajínkem	k aː j iː n k ɛ m
kajínkova	k aː j iː n k o v a
kajínkovi	k aː j iː n k o v ɪ
kajínkovo	k aː j iː n k o v o
kajínkovou	k aː j iː n k o v ou̯
kajínkovu	k aː j iː n k o v u
kajínkovy	k aː j iː n k o v ɪ
kajínkových	k aː j iː n k o v iː x
kajínkovým	k aː j iː n k o v iː m
kajínkovými	k aː j iː n k o v iː m ɪ
kajínkově	k aː j iː n k o v j ɛ
kajínkův	k aː j iː n k uː f
kajčí	k a j t͡ʃ iː
kakabus	k a k a b u s
kakao	k a k a o
kakaovník	k a k a o v ɲ iː k
kakaový	k a k a o v iː
kakat	k a k a t
kakemono	k a k ɛ m o n o
kaki	k a k ɪ
kakofonie	k a k o f o n ɪ ɛ k a k o f oː n ɪ j ɛ
kaktus	k a k t u s
kaktusový	k a k t u s o v iː
kakání	k a k aː ɲ iː
kal	k a l
kala	k a l a
kalambúr	k a l a m b uː r
kalamitní	k a l a m ɪ t ɲ iː
kalamitě	k a l a m ɪ c ɛ
kalamář	k a l a m aː r̝
kalanetika	k a l a n ɛ t ɪ k a
kalba	k a l b a
kalcifikace	k a l t͡s ɪ f ɪ k a t͡s ɛ
kalciový	k a l t͡s ɪ j o v iː
kaldoun	k a l d ou̯ n
kale	k a l ɛ
kaleidoskop	k a l ɛ ɪ d o s k o p
kalem	k a l ɛ m
kalena	k a l ɛ n a
kalendář	k a l ɛ n d aː r̝
kalendáře	k a l ɛ n d aː r̝ ɛ
kalendáři	k a l ɛ n d aː r̝ ɪ
kalendářní	k a l ɛ n d aː r̝ ɲ iː
kalendářový	k a l ɛ n d aː r̝ o v iː
kaleva	k a l ɛ v a
kalevala	k a l ɛ v a l a
kalhotech	k a l ɦ o t ɛ x
kalhotky	k a l ɦ o t k ɪ
kalhotový	k a l ɦ o t o v iː
kalhoty	k a l ɦ o t ɪ
kalibán	k a l ɪ b aː n
kalich	k a l ɪ x
kalichový	k a l ɪ x o v iː
kalif	k a l ɪ f
kalifornie	k a l ɪ f o r n ɪ j ɛ
kalifornium	k a l ɪ f o r n ɪ j u m
kalifornský	k a l ɪ f o r n s k iː
kaligrafie	k a l ɪ ɡ r a f ɪ j ɛ
