на	n a
забавно	z a b a v n o
зав	z a w
завели	z a vʲ ɛ l i
загадкова	z a ɣ a t k ɔ v a
кабана	k a b a n a
каразіна	k a r a z i n a
кита	k i t a
командам	k ɔ m a n d a m
контрольно	k ɔ n t r ɔ lʲ n o
користю	k ɔ r i s tʲ u
лазаря	ɮ a z a rʲ a
маркою	m a r k ɔ j u
милим	m i l i m
моряк	m ɔ rʲ a k
мусиш	m ʊ s i ɕ
місток	m i s t ɔ k
напрямом	n a p rʲ a m ɔ m
нед	n ɛ d
однаковою	ɔ d n a k ɔ v ɔ j u
олланд	ɔ ɮː a n d
ощадбанку	ɔ ɕ t͡ɕ a d b a ŋ k u
пизди	p i z d i
подиху	p ɔ d i x u
потрапляти	p ɔ t r a p ɮʲ a tʲ i
почасти	p ɔ t͡ɕ a s tʲ i
роздають	r ɔ z d a j u tʲ
розпродаж	r ɔ z p r ɔ d a ʒ
розріз	r ɔ z r i z
руду	r ʊ d ʊ
табачника	t a b a t͡ɕʰ n i k a
тат	t a t
тканиною	t k a n i n ɔ j u
фа	f a
фотографом	f ɔ t ɔ ɡ r a f ɔ m
хот	x ɔ t
хуст	x ʊ s t
cup	d͡ʒ ʊ p
ja	ʒ ɑː
later	l ɑː t ɛ ɾ
mark	m ɑ ɾ k
zone	z oː n ɛ
балканах	b a ɮ k a n a x
данные	d a n n i j ɛ
доз	d ɔ z
драму	d r a m u
жек	ʒ ɛ k
захистять	z a x i s tʲ a tʲ
захищаю	z a x i ɕ t͡ɕ a j u
зіграють	z i ɡ r a j u tʲ
казан	k a z a n
книжковому	k n i ʒ k ɔ v ɔ m u
космодрому	k ɔ s m ɔ d r ɔ m u
кривава	k r i v a v a
минають	m i n a j u tʲ
митні	m i t n i
морозов	m ɔ r ɔ z ɔ v
мінімальним	m i n i m a lʲ n i m
наказую	n a k a z u j u
нахабно	n a x a b n o
образами	ɔ b r a z a m i
особо	ɔ s ɔ b ɔ
палку	p a ɮ k u
панаса	p a n a s a
пафос	p a f ɔ s
привозили	p r i v ɔ z i l i
продавала	p r ɔ d a v a l a
развития	r a z vʲ i tʲ i j a
рона	r ɔ n a
садах	s a d a x
самой	s a m ɔ j
самок	s a m ɔ k
сього	s j ɔ ɡ ɔ
цінністю	t͡sʰ i n n i s tʲ u
часнику	t͡ɕ a s n i k u
central	d͡ʒ ɛ n t ɾ ɑː l
doc	d oː d͡ʒ
les	l ɛ s
tanks	t ɑ ŋ k s
альманах	a ɮʲ m a n a x
анi	a n i
богами	b ɔ ɡ a m i
горизонту	ɡ ɔ r i z ɔ n t u
запевнили	z a pʲ ɛ v n i l i
захисти	z a x i s tʲ i
згортання	z ɡ ɔ r t a n nʲ a
знижок	z n i ʒ ɔ k
играть	i ɡ r a tʲ
карають	k a r a j u tʲ
кипить	k i p i tʲ
корисну	k ɔ r i s n u
крани	k r a n i
модні	m ɔ d n i
наводять	n a v ɔ d j a tʲ
паламарчук	p a ɮ a m a r t͡ɕʰ u k
пирога	p i r ɔ ɡ a
поговори	p ɔ ɡ ɔ v ɔ r i
подарую	p ɔ d a r u j u
поли	p ɔ l i
припало	p r i p a l o
природы	p r i r ɔ d i
прозора	p r ɔ z ɔ r a
підарас	p i d a r a s
пірс	p i r s
разок	r a z ɔ k
рамон	r a m ɔ n
розгрому	r ɔ z ɡ r ɔ m u
розкрила	r ɔ z k r i l a
роковин	r ɔ k ɔ v i n
рому	r ɔ m u
сайрус	s ɛː r ʊ s
самых	s a m i x
сократ	s ɔ k r a t
сотнею	s ɔ t n ɛ j u
торговою	t ɔ r ɡ ɔ v ɔ j u
ум	ʊ m
abc	ɑː b d͡ʒ
age	ɑː ɡ ɛ
fiat	f i ɑː t
focus	f oː d͡ʒ ʊ s
list	l ɪ s t
photos	f o t o s
ya	j ɑː
аду	a d u
аматори	a m a tʰ ɔ r i
ансамблів	a n s a m b l i v
газі	ɡ a z i
гарбуз	ɡ a r b ʊ z
жлоб	ʒ ɫ ɔ b
загибеллю	z a ɡ i b ɛ ɮː j u
залежних	z a lʲ ɛ ʑ n i x
зошити	z ɔ ɕ i tʲ i
кадру	k a d r u
корбан	k ɔ r b a n
крику	k r i k u
крус	k r ʊ s
монарх	m ɔ n a r x
насоса	n a s ɔ s a
наявна	n a j a v n a
обходить	ɔ b x ɔ d i tʲ
оксфорд	ɔ k s f ɔ r d
оптова	ɔ p t ɔ v a
особини	ɔ s ɔ b i n i
падаю	p a d a j u
побила	p ɔ b i l a
податком	p ɔ d a t k ɔ m
пошану	p ɔ ɕ a n u
простому	p r ɔ s t ɔ m u
піни	p i n i
рагу	r a ɣ u
радость	r a d ɔ s tʲ
салони	s a ɮ ɔ n i
спаса	s p a s a
ур	ʊ r
dear	d ɛ ɑː ɾ
ferrari	f ɛ ɾ ɑː ɾ i
issn	ɪ s n
math	m ɑː t
september	s ɛ p t ɛ m b ɛ ɾ
speak	s p ɛ ɑː k
ажіотаж	a ʒ j ɔ t a ʒ
азова	a z ɔ v a
барах	b a r a x
бриз	b r i z
годы	ɡ ɔ d i
горда	ɡ ɔ r d a
господня	ɡ ɔ s p ɔ d nʲ a
дик	d i k
дорогие	d ɔ r ɔ ɡ i j ɛ
её	j ɛ j ɔ
жозе	ʒ ɔ z ɛ
йосипа	j ɔ s i p a
казна	k a z n a
книжками	k n i ʒ k a m i
лихом	l i x ɔ m
марино	m a r i n o
милом	m i l ɔ m
моб	m ɔ b
моноліт	m ɔ n ɔ l i t
морок	m ɔ r ɔ k
мінлива	m i n l i v a
напрузі	n a p r u z i
насоси	n a s ɔ s i
нацистами	n a t͡sʰ i s t a m i
негр	n ɛ ɡ r
ней	n ɛ j
обманом	ɔ b m a n ɔ m
образно	ɔ b r a z n o
описала	ɔ p i s a l a
паризькому	p a r i z ɪ k ɔ m u
перси	p ɛ r s i
пилом	p i l ɔ m
показів	p ɔ k a z i v
покидають	p ɔ k i d a j u tʲ
порвали	p ɔ r v a l i
придатна	p r i d a t n a
примус	p r i m u s
прожили	p r ɔ ʑ i l i
прописано	p r ɔ p i s a n o
проходи	p r ɔ x ɔ d i
пхати	p x a tʲ i
підбили	p i d b i l i
скрипки	s k r i p k i
столів	s t ɔ l i v
сторож	s t ɔ r ɔ ʒ
страшною	s t r a ɕ n ɔ j u
фаворит	f a v ɔ r i t
цап	t͡sʰ a p
gun	ɡ ʊ n
legend	l ɛ ɡ ɛ n d
stars	s t ɑ ɾ s
sunday	s ʊ n d ɑː j
амур	a m ʊ r
анализ	a n a ɮ i z
барабани	b a r a b a n i
басист	b a s i s t
бац	b a t͡sʰ
бездомних	b ɛ z d ɔ m n i x
бенд	b ɛ n d
газову	ɡ a z ɔ v u
горох	ɡ ɔ r ɔ x
дари	d a r i
ештон	j ɛ ɕ t ɔ n
змогло	z m ɔ ɡ l ɔ
зніму	z n i m u
командиру	k ɔ m a n d i r u
мінас	m i n a s
нагадай	n a ɣ a d ɛː
направить	n a p r a vʲ i tʲ
нещадно	n ɛ ɕ t͡ɕ a d n o
орді	ɔ r d i
параграф	p a r a ɡ r a f
поговорим	p ɔ ɡ ɔ v ɔ r i m
полом	p ɔ l ɔ m
порадила	p ɔ r a d i l a
садиб	s a d i b
садово	s a d ɔ v ɔ
сандра	s a n d r a
скандалів	s k a n d a l i v
скаргами	s k a r ɡ a m i
срать	s r a tʲ
ферм	f ɛ r m
хард	x a r d
цикли	t͡sʰ i k l i
чашкою	t͡ɕ a ɕ k ɔ j u
ща	ɕ a
says	s ɑ j s
аматор	a m a tʰ ɔ r
банді	b a n d
броварах	b r ɔ v a r a x
горан	ɡ ɔ r a n
грибок	ɡ r i b ɔ k
дед	d ɛ d
джобс	d͡ʒ ɔ b s
додані	d ɔ d a n i
доходили	d ɔ x ɔ d i l i
забор	z a b ɔ r
загрозі	z a ɡ r ɔ z i
звонить	z ʋ ɔ n i tʲ
зламала	z ɮ a m a ɮ a
капот	k a p ɔ t
кордонами	k ɔ r d ɔ n a m i
мислить	m i s l i tʲ
монополіст	m ɔ n ɔ p ɔ l i s t
нитку	n i t k u
нуу	n ʊː
острову	ɔ s t r ɔ v u
пахло	p a x ɮ ɔ
покликали	p ɔ k l i k a l i
покровом	p ɔ k r ɔ v ɔ m
пон	p ɔ n
програмно	p r ɔ ɡ r a m n o
програють	p r ɔ ɡ r a j u tʲ
работе	r a b ɔ tʲ ɛ
рафаель	r a f a j ɛ lʲ
сахара	s a x a r a
сезоном	s ɛ z ɔ n ɔ m
стрибали	s t r i b a l i
тане	t a nʲ ɛ
усiх	ʊ s ɪ x
фаз	f a z
фронтом	f r ɔ n t ɔ m
цифрову	t͡sʰ i f r ɔ v u
чур	t͡ɕʰ ʊ r
язок	j a z ɔ k
aka	ɑ k ɑ
german	ɡ ɛ ɾ m ɑː n
stage	s t ɑː ɡ ɛ
агро	a ɡ r ɔ
барана	b a r a n a
бойовою	b ɔ j ɔ v ɔ j u
бок	b ɔ k
графиня	ɡ r a f i nʲ a
донна	d ɔ n n a
дослідно	d ɔ s l i d n o
жаб	ʒ a b
жак	ʒ a k
забито	z a b i t ɔ
замiсть	z a m i s tʲ
зведе	z ʋ ɛ d ɛ
зобразити	z ɔ b r a z i tʲ i
кал	k a ɮ
карп	k a r p
кризою	k r i z ɔ j u
криса	k r i s a
литву	l i t v u
матюки	m a tʲ u kʲ i
міну	m i n u
міцним	m i t͡sʰ n i m
нiколи	n i k ɔ l i
набридла	n a b r i d l a
наказано	n a k a z a n o
нападом	n a p a d ɔ m
отзывы	ɔ t z i v i
паб	p a b
панорами	p a n ɔ r a m i
параша	p a r a ɕ a
поглядах	p ɔ ɡ ɮʲ a d a x
погодили	p ɔ ɡ ɔ d i l i
походом	p ɔ x ɔ d ɔ m
приходи	p r i x ɔ d i
прованс	p r ɔ v a n s
програмним	p r ɔ ɡ r a m n i m
пізди	p i z d i
пішохода	p i ʃ ɔ x ɔ d a
скіфи	s k i f i
сміхом	s m i x ɔ m
стран	s t r a n
хром	x r ɔ m
des	d ɛ s
gas	ɡ ɑː s
james	ʒ ɑː m ɛ s
lead	l ɛ ɑː d
palace	p ɑ l ɑː d͡ʒ ɛ
pay	p ɑ j
алмаз	a ɮ m a z
гнат	ɡ n a t
дахах	d a x a x
жанри	ʒ a n r i
захотіти	z a x ɔ tʲ i tʲ i
зашкодити	z a ɕ k ɔ d i tʲ i
идиоты	i d i oː t i
кант	k a n t
компас	k ɔ m p a s
комісаром	k ɔ m i s a r ɔ m
коран	k ɔ r a n
коридори	k ɔ r i d ɔ r i
криками	k r i k a m i
манда	m a n d a
мармуру	m a r m ʊ r ʊ
меми	m ɛ m i
мису	m i s u
мысль	m i s lʲ
назаров	n a z a r ɔ v
незгоди	n ɛ z ɡ ɔ d i
незгоду	n ɛ z ɡ ɔ d u
низькому	n i z ɪ k ɔ m u
нота	n ɔ t a
окко	ɔ k k ɔ
осип	ɔ s i p
парашут	p a r a ɕ u t
пейн	p ɛ j n
пем	p ɛ m
песо	p ɛ s ɔ
пики	p i k i
погром	p ɔ ɡ r ɔ m
поділлі	p ɔ d i l l i
поклик	p ɔ k l i k
поліз	p ɔ l i z
послів	p ɔ s l i v
продажна	p r ɔ d a ʒ n a
рамка	r a m k a
рода	r ɔ d a
розглядаю	r ɔ z ɡ ɫʲ a d a j u
розказали	r ɔ z k a z a l i
садом	s a d ɔ m
садять	s a dʲ a tʲ
сонні	s ɔ n n i
статок	s t a t ɔ k
сходіть	s x ɔ d i tʲ
тару	t a r u
bot	b o t
close	d͡ʒ l oː s ɛ
ga	ɡ ɑː
gear	ɡ ɛ ɑː ɾ
php	pʰ eː p
safe	s ɑː f ɛ
бонд	b ɔ n d
бронзи	b r ɔ n z i
гарячими	ɡ a rʲ a t͡ɕʰ i m i
гнівом	ɡ n i v ɔ m
груд	ɡ r ʊ d
джоні	d͡ʒ ɔ n i
дмитрівна	d m i t r i v n a
діна	d i n a
заводять	z a v ɔ d j a tʲ
загрозам	z a ɡ r ɔ z a m
званому	z ʋ a n ɔ m u
киянам	k i j a n a m
коба	k ɔ b a
кози	k ɔ z i
корито	k ɔ r i t ɔ
лопаті	l ɔ p a tʲ
магазинами	m a ɣ a z i n a m i
матиму	m a tʲ i m u
мейс	m ɛ j s
милих	m i l i x
мотора	m ɔ t ɔ r a
назвуть	n a z v ʊ tʲ
нудним	n ʊ d n i m
оба	ɔ b a
осад	ɔ s a d
поем	p ɔ j ɛ m
приміських	p r i m i s ɪ k i x
програшу	p r ɔ ɡ r a ɕ u
родинна	r ɔ d i n n a
розправа	r ɔ z p r a v a
саб	s a b
сахарова	s a x a r ɔ v a
табором	t a b ɔ r ɔ m
фосфору	f ɔ s f ɔ r u
цитую	t͡sʰ i t u j u
шишка	ɕ i ɕ k a
ap	ɑ p
del	d ɛ l
va	v ɑː
алмази	a ɮ m a z i
багате	b a ɣ a tʲ ɛ
бетонних	b ɛ t ɔ n n i x
браку	b r a k u
гас	ɡ a s
гидоту	ɡ i d ɔ t u
гормон	ɡ ɔ r m ɔ n
джина	d͡ʒ i n a
дикому	d i k ɔ m u
жалкую	ʒ a ɮ k u j u
жито	ʒ i t ɔ
заборонять	z a b ɔ r ɔ nʲ a tʲ
заказ	z a k a z
закопали	z a k ɔ p a l i
зростом	z r ɔ s t ɔ m
кадрах	k a d r a x
касир	k a s i r
козакам	k ɔ z a k a m
крови	k r ɔ v i
мазі	m a z i
модних	m ɔ d n i x
назвемо	n a z vʲ ɛ m ɔ
немаю	n ɛ m ɑ j u
обраними	ɔ b r a n i m i
папку	p a p k u
погони	p ɔ ɡ ɔ n i
покарали	p ɔ k a r a l i
покликала	p ɔ k l i k a l a
покрова	p ɔ k r ɔ v a
помирали	p ɔ m i r a l i
попрошу	p ɔ p r ɔ ɕ u
порадами	p ɔ r a d a m i
пором	p ɔ r ɔ m
поставило	p ɔ s t a vʲ i l o
пот	p ɔ t
приказ	p r i k a z
програш	p r ɔ ɡ r a ɕ
пітт	p i t t
расу	r a s u
санто	s a n t ɔ
сапери	s a pʲ ɛ r i
собором	s ɔ b ɔ r ɔ m
сходом	s x ɔ d ɔ m
трамвайних	t r a m v ɛː n i x
фонтана	f ɔ n t a n a
форда	f ɔ r d a
христом	x r i s t ɔ m
часником	t͡ɕ a s n i k ɔ m
часткове	t͡ɕ a s t k ɔ vʲ ɛ
adam	ɑː d ɑː m
fish	f ɪ ʃ
pc	p iː d͡ʒ
tо	t oː
um	ʊ m
арабська	a r a b sʲ k a
гниль	ɡ n i lʲ
гог	ɡ ɔ ɡ
годиннику	ɡ ɔ d i n n i k u
грама	ɡ r a m a
гром	ɡ r ɔ m
давить	d a vʲ i tʲ
даг	d a ɡ
дозволь	d ɔ z ʋ ɔ lʲ
дорогими	d ɔ r ɔ ɡ i m i
дослідили	d ɔ s l i d i l i
заважаю	z a v a ʒ a j u
зап	z a p
званою	z ʋ a n ɔ j u
зимовому	z i m ɔ v ɔ m u
колискова	k ɔ l i s k ɔ v a
комфортом	k ɔ m f ɔ r t ɔ m
кос	k ɔ s
крона	k r ɔ n a
круз	k r u z
марти	m a r tʰ i
мос	m ɔ s
мінет	m i n ɛ t
міцними	m i t͡sʰ n i m i
надю	n a d j u
обробітку	ɔ b r ɔ b i t k u
палаци	p a ɮ a t͡sʰ i
подобу	p ɔ d ɔ b u
подрузі	p ɔ d r u z i
поз	p ɔ z
покликана	p ɔ k l i k a n a
приберуть	p r i b ɛ r u tʲ
розбрат	r ɔ z b r a t
розмахом	r ɔ z m a x ɔ m
розробником	r ɔ z r ɔ b n i k ɔ m
скидають	s k i d a j u tʲ
стрип	s t r i p
траст	t r a s t
фани	f a n i
фінансами	f i n a n s a m i
харт	x a r t
циклом	t͡sʰ i k l ɔ m
шипшина	ɕ i p ɕ i n a
centre	d͡ʒ ɛ n t ɾ ɛ
das	d ɑː s
folk	f o l k
int	ɪ n t
аню	a nʲ u
берд	b ɛ r d
білан	b i ɮ a n
дідич	d i d i t͡ʃ
жебрак	ʒ ɛ b r a k
желе	ʒ ɛ lʲ ɛ
заправка	z a p r a w̜ k a
збирай	z b i r ɛː
зрости	z r ɔ s tʲ i
кацапня	k a t͡sʰ a p nʲ a
киянин	k i j a n i n
копалини	k ɔ p a l i n i
макарова	m a k a r ɔ v a
маркес	m a r kʲ ɛ s
мордором	m ɔ r d ɔ r ɔ m
мордою	m ɔ r d ɔ j u
міфу	m i f u
наяву	n a j a v u
незмінною	n ɛ z m i n n ɔ j u
овес	ɔ ʋ ɛ s
осборн	ɔ s b ɔ r n
парам	p a r a m
писар	p i s ɑ r
показі	p ɔ k a z i
потрапляв	p ɔ t r a p ɮʲ a v
правоту	p r a v ɔ t u
приписують	p r i p i s u j u tʲ
прозі	p r ɔ z i
раїса	r a j s a
рус	r ʊ s
снег	s n ɛ ɡ
фак	f a k
хантер	x a n tʲ ɛ r
хах	x a x
храни	x r a n i
экономика	e k ɔ n ɔ m i k a
came	d͡ʒ ɑː m ɛ
clear	d͡ʒ l ɛ ɑː ɾ
hate	h ɑː t ɛ
анною	a n n ɔ j u
бенні	b ɛ n n i
браком	b r a k ɔ m
даа	d aː
дніпру	d n i p r u
дракони	d r a k ɔ n i
завезти	z a vʲ ɛ z tʲ i
загадковий	z a ɣ a t k ɔ v iː
заморозити	z a m ɔ r ɔ z i tʲ i
земан	z ɛ m ɑ n
казанський	k a z a n sʲ k iː
казни	k a z n i
каф	k a f
козу	k ɔ z u
компания	k ɔ m p a n i j a
лезо	l ɛ z ɔ
макет	m a kʲ ɛ t
мамині	m a m i n i
масажу	m a s a ʒ u
морозі	m ɔ r ɔ z i
народно	n a r ɔ d n o
никифор	n i k i f ɔ r
паразити	p a r a z i tʲ i
паровоз	p a r ɔ v ɔ z
первых	p ɛ r v i x
погоня	p ɔ ɡ ɔ nʲ a
поданих	p ɔ d a n i x
порожнину	p ɔ r ɔ ʑ n i n u
психопат	p s i x ɔ p a t
пілотом	p i l ɔ t ɔ m
ризиком	r i z i k ɔ m
розірвала	r ɔ z i r v a l a
самые	s a m i j ɛ
синю	s i n j u
соком	s ɔ k ɔ m
татьяна	t a tʲ j a n a
тонна	t ɔ n n a
тоном	t ɔ n ɔ m
тофу	t ɔ f u
фальшива	f a lʲ ɕ i v a
фар	f a r
фот	f ɔ t
цифрова	t͡sʰ i f r ɔ v a
inter	ɪ n t ɛ ɾ
names	n ɑː m ɛ s
plan	p l ɑː n
upload	ʊ p l o ɑː d
анал	a n a ɮ
безслідно	b ɛ z s l i d n o
брухт	b r ʊ x t
гмо	ɡ m ɔ
джазу	d͡ʒ a z u
доправити	d ɔ p r a vʲ i tʲ i
жиром	ʒ i r ɔ m
запевняю	z a pʲ ɛ v nʲ a j u
заходимо	z a x ɔ d i m ɔ
заїка	z a j k a
збором	z b ɔ r ɔ m
зніми	z n i m i
зоб	z ɔ b
казарм	k a z a r m
кліматом	k l i m a t ɔ m
кормових	k ɔ r m ɔ v i x
котани	k ɔ t a n i
красная	k r a s n a j a
крокодилів	k r ɔ k ɔ d i l i v
ложі	l ɔ ʒ i
пизду	p i z d u
потап	p ɔ t a p
праху	p r a x u
продадуть	p r ɔ d a d u tʲ
промивання	p r ɔ m i v a n nʲ a
прообразом	p r oː b r a z ɔ m
прут	p r ʊ t
реве	r ɛ v ɛ
рока	r ɔ k a
скрипін	s k r i p i n
фору	f ɔ r u
храмом	x r a m ɔ m
enter	ɛ n t ɛ ɾ
gif	ɡ ɪ f
san	s ɑː n
seven	s ɛ v ɛ n
website	w ɛ b s ɪ t ɛ
броню	b r ɔ n j u
галасу	ɡ a ɮ a s u
гонорар	ɡ ɔ n ɔ r a r
даною	d a n ɔ j u
джем	d͡ʒ ɛ m
додамо	d ɔ d a m ɔ
дощова	d ɔ ɕ t͡ɕ ɔ v a
ецп	j ɛ t͡sʰ p
жахом	ʒ a x ɔ m
засаду	z a s a d u
захиснику	z a x i s n i k u
знизило	z n i z i l o
коксу	k ɔ k s u
липи	l i p i
матер	m a tʲ ɛ r
меса	m ɛ s ɑ
мора	m ɔ r a
наверх	n a vʲ ɛ r x
наземні	n a z ɛ m n i
називай	n a z i v ɛː
олівер	ɔ l i v ɛ r
панама	p a n a m a
прагу	p r a ɣ u
приладами	p r i ɮ a d a m i
прошарок	p r ɔ ɕ a r ɔ k
ролика	r ɔ l i k a
самое	s a m ɔ j ɛ
фопів	f ɔ p i v
ценз	t͡sʰ ɛ n z
щорса	ɕ ɔ r s a
birds	b ɪ ɾ d s
panda	p ɑ n d ɑ
universe	ʊ n ɪ v ɛ ɾ s ɛ
алжир	a ɮ d͡ʑ i r
астон	a s t ɔ n
бeз	b ɛ z
базару	b a z a r u
борису	b ɔ r i s u
грунт	ɡ r ʊ n t
давен	d a vʲ ɛ n
давши	d a w ɕ i
дева	d ɛ v ɑ
договор	d ɔ ɡ ɔ v ɔ r
доказу	d ɔ k a z u
доль	d ɔ lʲ
дівок	d i v ɔ k
жетон	ʒ ɛ t ɔ n
зверни	z ʋ ɛ r n i
злидні	z ɫ i d n i
кап	k a p
като	k a t ɔ
кацапам	k a t͡sʰ a p a m
коридором	k ɔ r i d ɔ r ɔ m
лишь	l i ɕ
мармур	m a r m ʊ r
морт	m ɔ r t
надихають	n a d i x a j u tʲ
нашестя	n a ɕ ɛ s tʲ a
нити	n i t i
обаму	ɔ b a m u
одиночних	ɔ d i n ɔ t͡ʃ n i x
одноразово	ɔ d n ɔ r a z ɔ v ɔ
павлу	p a w ɮ u
паску	p a s k u
позор	p ɔ z ɔ r
помираю	p ɔ m i r a j u
привозить	p r i v ɔ z i tʲ
психи	p s i x i
рака	r a k a
ровер	r ɔ ʋ ɛ r
сом	s ɔ m
справам	s p r a v a m
сходили	s x ɔ d i l i
фанатом	f a n a t ɔ m
хорошие	x ɔ r ɔ ɕ i j ɛ
bentley	b ɛ n t l ɛ j
ceo	d͡ʒ e o
films	f ɪ l m s
girls	ɡ ɪ ɾ l s
hell	h ɛ l
mo	m oː
present	p ɾ ɛ s ɛ n t
shift	ʃ ɪ f t
ао	a o
афон	a f ɔ n
боно	b ɔ n o
гроб	ɡ r ɔ b
джойс	d͡ʒ ɔ j s
драбину	d r a b i n u
експертиз	j ɛ k s p ɛ r t i z
занести	z a nʲ ɛ s tʲ i
казкове	k a z k ɔ vʲ ɛ
коридорах	k ɔ r i d ɔ r a x
котрим	k ɔ t r i m
можливою	m ɔ ʒ l i v ɔ j u
мом	m ɔ m
набридли	n a b r i d l i
ниткою	n i t k ɔ j u
нищать	n i ɕ t͡ɕ a tʲ
нору	n ɔ r u
носу	n ɔ s u
охрана	ɔ x r a n a
пляшкою	p ɫʲ a ɕ k ɔ j u
погроми	p ɔ ɡ r ɔ m i
покаранням	p ɔ k a r a n nʲ a m
покрівлі	p ɔ k r i v l i
помади	p ɔ m a d i
продай	p r ɔ d ɛː
разумкова	r a z u m k ɔ v a
рашку	r a ɕ k u
томом	t ɔ m ɔ m
фантом	f a n t ɔ m
физика	f i z i k a
філіппіни	f i l i p p i n i
хлор	x ɫ ɔ r
хоробрих	x ɔ r ɔ b r i x
adidas	ɑː d ɪ d ɑː s
bed	b ɛ d
escape	ɛ s d͡ʒ ɑː p ɛ
flag	f l ɑː ɡ
gta	ɡ t ɑː
less	l ɛ s
sad	s ɑː d
sense	s ɛ n s ɛ
sep	s ɛ p
server	s ɛ ɾ v ɛ ɾ
анжеліка	a n ʒ ɛ l i k a
арагон	a r a ɣ ɔ n
атс	a tʰ s
бабою	b a b ɔ j u
базову	b a z ɔ v u
баригу	b a r i ɣ u
баффало	b a f f a l o
боді	b ɔ d i
бомбить	b ɔ m b i tʲ
готовит	ɡ ɔ t ɔ v i t
гриць	ɡ r i t͡sʲ
давос	d a v ɔ s
диана	d i aː n a
додон	d ɔ d ɔ n
доню	d ɔ n j u
ердогана	j ɛ r d ɔ ɡ a n a
здано	z d a n o
знизили	z n i z i l i
зниклими	z n i k l i m i
зносить	z n ɔ s i tʲ
зол	z ɔ l
меру	m ɛ r u
