iš	i ʃ
girto	ɡ i r t o
gohanas	ɡ o h a n a s
graffiti	ɡ r a f f i t i
gulto	ɡ u l t o
guminius	ɡ u m i n i u s
hidro	h i d r o
ikos	i k o s
ilinojus	i l i n o j u s
intymumo	i n t i m u m o
išmes	i ʃ m e s
išpirko	i ʃ p i r k o
juškos	j u ʃ k o s
kab	k a p
kibti	k i p t i
kom	k o m
kong	k o ŋ
kovoję	k o v o j ɛ
kovomis	k o v o m i s
krioklius	k r i o k l i u s
kąsnio	k ɔ n s n j o
kęstučiu	k ɛ n s t u t͡ʃ i u
lil	l i l
liono	l i o n o
listen	l i s t ə n
lošimus	l o ʃ i m u s
lyn	l i n
maya	m a j a
medikams	m e d i k a m s
medium	m e d i u m
mistinis	m i s t i n i s
mokam	m o k a m
moteriškus	m o t e r i ʃ k u s
neapolis	n e a p o l i s
nebeliktų	n e b e l i k t o
nektaro	n e k t a r o
nelikę	n e l i k ɛ
nevalgyti	n e v a l ɡ i t i
odiniu	o d i n j u
originalia	o r i d͡ʒ i n a l j a
parodantis	p a r o d a n t i s
pedalo	p e d a l o
pepe	p e p e
piliulę	p i l j u l ɛ
pipirus	p i p i r u s
plenero	p l e n e ʀ o
plūdo	p l uː d o
pompa	p o m p a
prekybinis	p r e k i b i n i s
protingu	p r o t i ŋ ɡ u
pus	p u s
reportažo	r e p o r t a ʒ o
riteriams	r i t e r j a m s
ritulį	r i t u l i
rudy	ʁ u d i
rytiniu	r i t i n j u
sekęs	s e k ɛ n s
sick	s i k
sign	s i ɲ
siksto	s i k s t o
silk	s i l k
silpnus	s i l p n u s
skolinti	s k o l i n t i
skustuvo	s k u s t u v o
sodina	s o d i n a
soros	s o r o s
spintų	s p i n t o
spynų	s p i n o
stebisi	s t e b i z i
stiveno	s t i v e n o
stogus	s t o ɡ u s
stotimi	s t o t i m i
sukaktis	s u k a k t i s
suksis	s u k s i s
sulfato	s u l f a t o
suvokimu	s u v o k i m u
sušilti	s u ʃ i l t i
sušuko	s u ʃ u k o
sužibėti	s u ʒ i b i t i
temps	t ɛ m p s
teodora	t e o d o r a
teoretikų	t e o r e t i k o
teroristus	t e r o r i s t u s
tikino	t i k i n o
tikinti	t i k i n t i
tomkus	t o m k u s
tonight	t o n i t
tonus	t o n u s
turkio	t u r k j o
tylūs	t i l uː s
vemti	v e m t i
verpimo	v e r p i m o
vidumi	v i d u m i
viliojo	v i l j o j o
viršeliu	v i r ʃ e l j u
viršumi	v i r ʃ u m i
čiupo	t͡ʃ i u p o
šildytuvus	ʃ i l d i t u v u s
šūdo	ʃ uː d o
žilius	ʒ i l j u s
abba	a b b a
aktualijų	a k t u a l i j o
app	a p
arterinis	a r t e r i n i s
astrida	a s t r i d a
ate	a t e
atsibunda	a t͡s i b u n d a
birutis	b i r u t i s
biznį	b i z n i
clio	k l i o
dabartiniam	d a b a r t i n j a m
dažytis	d a ʒ i t i s
delfino	d e l f i n o
denas	d e n a s
deutsch	d øː t͡ʃ
diskurso	d i s k u r s o
dobilo	d o b i l o
fermentus	f e r m e n t u s
fortum	f o r t u m
garetas	ɡ a ʀ e t a s
genomo	d͡ʒ e n o m o
gimimu	ɡ i m i m u
gryni	ɡ r i n i
iešmo	j e ʃ m o
imo	i m o
individą	i n d i v i d ɔ w̃
instrumentinis	i n s t r u m e n t i n i s
interpretavo	i n t e r p r e t a v o
invalido	i n v a l i d o
iškels	i ʃ k ɛ l s
ištikti	i ʃ t i k t i
jovaro	j o v a r o
kedys	k e d i s
komunistinę	k o m u n i s t i n ɛ
kotletus	k o t l e t u s
kovojome	k o v o j o m e
kristian	k r i s t j a n
krovininį	k r o v i n i n i
meniniu	m e n i n j u
metodinis	m e t o d i n i s
migdolo	m i ɡ d o l o
mirtini	m i r t i n i
monaco	m o n a k o
moralas	m o r a l a s
nacionaliniams	n a t͡ʃ o n a l i n j a m s
nepamatysite	n e p a m a t i z i t e
nevienodos	n e v j e n o d o s
nevykdo	n e v i k d o
nugaras	n u ɡ a r a s
nusižudo	n u z i ʒ u d o
nėščioms	n i ʃ t͡ʃ j o m s
odeta	o d e t a
opos	o p o s
peles	p e l e s
perimta	p e r i m t a
perimtų	p e r i m t o
pic	p i k
pilietiškumo	p i l j e t i ʃ k u m o
ping	p i ŋ
polimero	p o l i m e r o
prikišti	p r i k i ʃ t i
radimo	r a d i m o
rajoninio	r a j o n i n j o
riteriu	r i t e r j u
schmidt	ʃ m i t
sekrecijos	s e k r e t͡ʃ i j o s
silpnumu	s i l p n u m u
silueto	s i l u e t o
sodinimo	s o d i n i m o
solinis	s o l i n i s
statybomis	s t a t i b o m i s
stumdyti	s t u m d i t i
sustiprinto	s u s t i p r i n t o
sutemos	s u t e m o s
sutrikti	s u t r i k t i
talibano	t a l i b a n o
tarantino	t a r a n t i n o
telegrafo	t e l e ɡ r a f o
tiurkų	t i u r k o
trimatis	t r i m a t i s
tręšti	t r ɛ n ʃ t i
ušu	u ʃ u
viščiukus	v i ʃ t͡ʃ i u k u s
vlik	v l i k
voor	v oː r
česteris	t͡ʃ e s t e r i s
šefu	ʃ e f u
šerifo	ʃ e r i f o
ūminė	uː m i n i
žiburys	ʒ i b u r i s
adjutantas	a d j u t a n t a s
anomalijų	a n o m a l i j o
army	a ʁ m i
atrodote	a t r o d o t e
benamis	b e n a m i s
biografijų	b i o ɡ r a f i j o
bitch	b i t͡ʃ
bohemijos	b o h e m i j o s
bugatti	b u ɡ a t t i
civiliniame	t͡ʃ i v i l i n j a m e
dažo	d a ʒ o
deficito	d e f i t͡ʃ i t o
demonais	d e m o n ɛ
dirbusio	d i r b u z j o
diva	d i v a
dvigubus	d v i ɡ u b u s
ekstrakto	e k s t r a k t o
gamybinis	ɡ a m i b i n i s
geležinį	ɡ e l e ʒ i n i
gigi	ɡ i ɡ i
holdings	h o l d i ŋ s
institutus	i n s t i t u t u s
iškili	i ʃ k i l i
išskiriant	i ʃ s k i r j a n t
jokioms	j o k j ɔ m s
jovaras	j o v a r a s
kiniškų	k i n i ʃ k o
krumpliaratis	k r u m p l i a r a t i s
kuklumo	k u k l u m o
logotipu	l o ɡ o t i p u
lukšto	l u k ʃ t o
milk	m i l k
milžinišku	m i l ʒ i n i ʃ k u
mira	m i r a
mocarto	m o k a r t o
nepritariu	n e p r i t a r j u
nesužinos	n e z u ʒ i n o s
nusidažo	n u z i d a ʒ o
okultizmo	o k u l t i z m o
olgos	o l ɡ o s
personos	p e r s o n o s
piktus	p i k t u s
pilkojo	p i l k o j o
pito	p i t o
pogrupis	p o ɡ r u p i s
povilu	p o v i l u
pristatantis	p r i s t a t a n t i s
profesionalia	p r o f e z j o n a l j a
prototipus	p r o t o t i p u s
purpurinis	p u r p u r i n i s
radimas	r a d i m a s
reality	r e a l i t i
respondentų	r e s p o n d ɛ n t o
ričmondo	r i t͡ʃ m o n d o
scala	s k a l a
shock	ʃ ɔ k
sinonimu	s i n o n i m u
sites	s i t e s
skelbimus	s k e l b i m u s
skysti	s k i s t i
susiduri	s u z i d u r i
suši	s u ʃ i
tirpti	t i r p t i
titnago	t i t n a ɡ o
tribulus	t r i b u l u s
trinasi	t r i n a z i
tureti	t u r e t i
užterštų	u ʃ t e r ʃ t o
virtę	v i r t ə
vožtuvus	v o ʃ t u v u s
šalinant	ʃ a l i n a n t
šiknius	ʃ i k n i u s
šildyti	ʃ i l d i t i
šventimo	ʃ v e n t i m o
abe	a b e
analysis	a n a l i z i s
atgims	a d ɡ i m s
atidarytų	a t i d a r i t o
atstatoma	a t s t a t o m a
ay	a j
baden	b aː d ə n
bri	b r i
cristiano	k r i s t j a n o
dalijo	d a l i j o
debatus	d e b a t u s
debreceno	d e b r e t͡ʃ e n o
deksnys	d e k s n i s
detali	d e t a l i
dešimtoji	d e ʃ i m t o j i
dialogus	d i a l o ɡ u s
diplomatinį	d i p l o m a t i n i
doom	d oː m
drift	d r i f t
emilio	e m i l j o
ešlis	e ʃ l i s
find	f i n d
formali	f o r m a l i
funkcinę	f u ŋ k t͡ʃ i n ɛ
gabaritų	ɡ a b a r i t o
ganos	ɡ a n o s
gastonas	ɡ a s t o n a s
half	h a l f
idomus	i d o m u s
indeksų	i n d e k s o
iškylos	i ʃ k i l o s
išnykę	i ʃ n i k ɛ
kingdom	k i ŋ d o m
kirpimo	k i r p i m o
koncertinio	k o n t͡ʃ e r t i n j o
korano	k o r a n o
lki	l k i
mimikos	m i m i k o s
mirsiu	m i r s j u
mokęsis	m o k ɛ n s i s
nemini	n e m i n i
nemokumo	n e m o k u m o
nepatartina	n e p a t a r t i n a
netikrus	n e t i k r u s
netobula	n e t o b u l a
nitrato	n i t r a t o
požeminę	p o ʒ e m i n ɛ
prisijungusi	p r i z i j u ŋ ɡ u z i
prisiminsite	p r i z i m i n s i t e
property	p r o p ɛ r t i
prototipo	p r o t o t i p o
rudamina	r u d a m i n a
rudomis	ʁ u d o m i s
sceniniu	ʃ e n i n j u
sekmines	s e k m i n e s
simptomams	s ɪ m p t o m a m s
solaris	s o l a r i s
spindintis	s p i n d i n t i s
strateginiu	s t r a t e d͡ʒ i n j u
sudegintų	s u d e ɡ i n t o
sudomintų	s u d o m i n t o
sultono	s u l t o n o
sumanymus	s u m a n i m u s
surištos	s u r i ʃ t o s
surviliškio	s u r v i l i ʃ k j o
susitikom	s u z i t i k o m
tipams	t i p a m s
tomus	t o m u s
trejos	t r e j o s
troškulys	t r o ʃ k u l i s
trynio	t r i n j o
tręšimo	t r ɛ n ʃ i m o
videos	v i d e o s
vivo	v i v o
šešiuose	ʃ e ʃ i w o s e
šiurkšti	ʃ i u r k ʃ t i
žirafa	ʒ i r a f a
žodynu	ʒ o d i n u
žudiku	ʒ u d i k u
žygiu	ʒ i ɡ j u
žymintis	ʒ i m i n t i s
aeroklubo	a e r o k l u b o
avril	a v r i l
botaninis	b o t a n i n i s
brianas	b r i a n a s
btc	b e t e s e
bush	b u ʃ
būrimo	b uː r i m o
castro	k a s t r o
citratas	t͡ʃ i t r a t a s
daryklų	d a ʀ i k l oː
dosnumo	d o z n u m o
edeno	e d e n o
gabriel	ɡ a b r i ɛ l
geležinkelius	ɡ e l e ʒ i n k e l i u s
gink	ɡ i ŋ k
iniciavo	i n i t͡ʃ a v o
intonacijos	i n t o n a t͡ʃ i j o s
ištieskite	i ʃ t i e s k i t e
išvirs	i ʃ v i r s
jonus	j o n u s
kadagys	k a d a ɡ i s
konstanta	k o n s t a n t a
konsulate	k o n s u l a t e
kunčino	k u n t͡ʃ i n o
lipnūs	l i p n uː s
miglos	m i ɡ l o s
mill	m i l
mūrinį	m uː r i n i
nagu	n a ɡ u
nd	ɛ n d
nerasti	n e r a s t i
nothing	n o t i ŋ
nouveau	n u v o
paco	p a k o
piazza	p j a t t͡s a
plastic	p l a s t i k
pogrupius	p o ɡ r u p i u s
požymiu	p o ʒ i m i u
prisiminimo	p r i z i m i n i m o
sabina	s a b i n a
swing	s w i ŋ
tirpiklis	t i r p i k l i s
uleb	u l ɛ p
užrištomis	u ʒ r i ʃ t o m i s
vicečempionu	v i t͡ʃ e t͡ʃ e m p j o n u
čekuolis	t͡ʃ e k u o l i s
žmogutis	ʒ m o ɡ u t i s
asm	a z m
atgabenta	a d ɡ a b ɛ n t a
atgalinis	a d ɡ a l i n i s
beda	b e d a
birutę	b i r u t ɛ
cista	t͡ʃ i s t a
credo	k r e d o
detalios	d e t a l j o s
dumčius	d u m t͡ʃ i u s
erotinio	e r o t i n j o
galimam	ɡ a l i m a m
ganytojo	ɡ a n i t o j o
grašio	ɡ r a ʃ j o
gretimas	ɡ r e t i m a s
hardy	h a ʁ d i
imsi	i m s i
ironijos	i r o n i j o s
išskėstomis	i ʃ s k i s t o m i s
josifo	j o z i f o
keršyti	k e r ʃ i t i
kis	k i s
kon	k o n
kotu	k o t u
kurortinis	k u r o r t i n i s
legali	l e ɡ a l i
lics	l i k s
limonado	l i m o n a d o
linus	l i n u s
lionelis	l i o n e l i s
litl	l i t l
meli	m e l i
milijonu	m i l i j o n u
milvokio	m i l v o k i o
minty	m i n t i
mūrinio	m uː r i n j o
nedrįstu	n e d r i s t u
nepyk	n e p i k
nuneš	n u n e ʃ
nykščiu	n i k ʃ t͡ʃ i u
origami	o r i ɡ a m i
ostin	o s t i n
pipino	p i p i n o
piramide	p i r a m i d e
prigludę	p r i ɡ l u d ɛ
respublikinį	r e s p u b l i k i n i
ryklio	r i k l i o
sionistų	s i o n i s t o
sirupu	s i r u p u
storumo	s t o r u m o
stuff	s t u f
stūmoklis	s t uː m o k l i s
sugrūsti	s u ɡ r uː s t i
sukurtomis	s u k u r t o m i s
taxi	t a k s i
teatrinio	t e a t r i n j o
teherano	t e h e ʀ a n o
temoms	t e m ɔ m s
tor	t o r
toshiba	t o ʃ i b a
trejeto	t r e j e t o
veleno	v e l e n o
vestuviu	v e s t u v j u
vikos	v i k o s
vilkikų	v i l k i k o
violetos	v i o l e t o s
virškinti	v i r ʃ k i n t i
viči	v i t͡ʃ i
šūdą	ʃ uː d ɔ w̃
žinomomis	ʒ i n o m o m i s
žinosiu	ʒ i n o z j u
žinybos	ʒ i n i b o s
adriano	a d r i a n o
alicia	a l i t͡ʃ a
amc	a m k
analitinis	a n a l i t i n i s
astronomo	a s t r o n o m o
atbaidyti	a d b a i d i t i
atspindintys	a t s p i n d i n t i s
babilonas	b a b i l o n a s
bebūtum	b e b uː t u m
belas	b e l a s
belikę	b e l i k ɛ
betoninis	b e t o n i n i s
bogdanas	b o ɡ d a n a s
bomb	b o m p
borisu	b o r i z u
briggs	b ʀ i ɡ s
buria	b u r j a
centimetro	t͡ʃ e n t i m e t r o
dagas	d a ɡ a s
dal	d a l
dd	d eː d eː
dea	d e a
debitas	d e b i t a s
degs	d e k s
dinamito	d i n a m i t o
dusetos	d u z e t o s
dyglys	d i ɡ l i s
dūrio	d uː r j o
ekstradicijos	e k s t r a d i t͡ʃ i j o s
ela	e l a
emalis	e m a l i s
emili	e m i l i
emocionaliai	e m o t͡ʃ o n a l j a i
esminiu	e z m i n j u
fil	f i l
gidą	ɡ i d ɔ w̃
gogo	ɡ o ɡ o
gregorio	ɡ r e ɡ o r j o
gudri	ɡ u d r i
gum	ɡ u m
idealo	i d e a l o
ind	i n d
instinktus	i n s t i ŋ k t u s
intriga	i n t r i ɡ a
italams	i t a l a m s
italy	i t a l i
išimtimi	i ʃ i m t i m i
išliejo	i ʃ l j e j o
išnešioti	i ʃ n e ʃ j o t i
išpildo	i ʃ p i l d o
jensen	j ɛ n s ə n
kepyklos	k e p i k l o s
kill	k i l
kilnusis	k i l n u z i s
kkk	k a k a k a
knygu	k n i ɡ u
kodiniu	k o d i n j u
kompromiso	k o m p r o m i z o
konfeti	k o n f e t i
konfliktu	k o n f l i k t u
konsulo	k o n s u l o
kontrolinio	k o n t r o l i n j o
kumite	k u m i t e
kėslus	k i s l u s
ledukų	l e d u k o
lekiu	l e k j u
lems	l ɛ m s
limito	l i m i t o
loganas	l o ɡ a n a s
loto	l o t o
lovose	l o v o z e
maga	m a ɡ a
margio	m a r d͡ʒ o
matysim	m a t i s i m
mecenato	m e t͡ʃ e n a t o
medicininį	m e d i t͡ʃ i n i n i
mediči	m e d i t͡ʃ i
meeting	m eː t i ŋ
meridianas	m e r i d j a n a s
mirono	m i r o n o
misūris	m i s uː r i s
moliuskus	m o l i u s k u s
monopolis	m o n o p o l i s
montanos	m o n t a n o s
motinoms	m o t i n ɔ m s
motoro	m o t o r o
mylimi	m i l i m i
navarro	n a v a r r o
nematytas	n e m a t i t a s
nenustebino	n e n u s t e b i n o
nerodyti	n e r o d i t i
nervinį	n e r v i n i
nestabilios	n e s t a b i l j o s
nesugadino	n e z u ɡ a d i n o
nusipirkite	n u z i p i r k i t e
nuskusti	n u s k u s t i
nyko	n i k o
okt	o k t
pagyvenę	p a ɡ i v e n ɛ
pergamento	p e r ɡ a m e n t o
perimetro	p e r i m e t r o
peržiūri	p e r ʒ i uː r i
phil	f i l
pokylį	p o k i l i
polio	p o l j o
pomidoro	p o m i d o r o
pompos	p o m p o s
pradedantysis	p r a d e d a n t i z i s
pripilti	p r i p i l t i
protinis	p r o t i n i s
pulk	p u l k
pump	p u m p
pussy	p u s i
pūtimo	p uː t i m o
ricardo	r i k a r d o
sceninis	ʃ e n i n i s
septyniems	s ɛ p t i n j ɛ m s
sera	s e r a
simfonijos	s i m f o n i j o s
siri	s i r i
skęsti	s k ɛ n s t i
smulkinti	z m u l k i n t i
soto	s o t o
stabdant	s t a b d a n t
stenas	s t e n a s
stiprumu	s t i p r u m u
susiburti	s u z i b u r t i
sustiprintų	s u s t i p r i n t o
suviliojo	s u v i l j o j o
svetimu	z v e t i m u
tarnybomis	t a ʁ n i b o m i s
tdi	t d i
tiktu	t i k t u
tirpus	t i r p u s
torpedos	t o r p e d o s
trimitų	t r i m i t o
turį	t u r i
tvirtinimu	t v i r t i n i m u
ugdo	u ɡ d o
universitetinio	u n i v e r s i t e t i n j o
užpildytos	u ʃ p i l d i t o s
užtruksite	u ʒ t r u k s i t e
vadinate	v a d i n a t e
vedimo	v e d i m o
vedybomis	v e d i b o m i s
velveto	v e l v e t o
veronica	v e r ɔ n i k a
vers	v ɛ r s
vilioti	v i l j o t i
vilkint	v i l k i n t
vitalis	v i t a l i s
šuneliu	ʃ u n e l j u
ūpo	uː p o
žilys	ʒ i l i s
žin	ʒ i n
žirafos	ʒ i r a f o s
žydintis	ʒ i d i n t i s
abipusio	a b i p u z j o
apibendrinta	a p i b e n d r i n t a
atestato	a t e s t a t o
atomic	a t ɔ m i k
betoninio	b e t o n i n j o
both	b o t
bręsti	b r ɛ n s t i
bumo	b u m o
combo	k o m b o
daba	d a b a
dabartiniams	d a b a r t i n j a m s
debesimis	d e b e z i m i s
devintos	d e v i n t o s
dešimtuko	d e ʃ i m t u k o
distribucijos	d i s t r i b u s i j o s
dolomito	d o l o m i t o
dyzelino	d i z e l i n o
efes	e f e s
estetinis	e s t e t i n i s
factum	f a k t u m
ganyklas	ɡ a n i k l a s
gitaristu	d͡ʒ i t a r i s t u
gorilos	ɡ o r i l o s
gudijos	ɡ u d i j o s
gyvūninių	ɡ i v uː n i n i o
ideologinis	i d e o l o d͡ʒ i n i s
ivo	i v o
išskirtinumo	i ʃ s k i r t i n u m o
ištikimos	i ʃ t i k i m o s
jūsu	j uː z u
keri	k e r i
ketini	k e t i n i
kick	k i k
kildinti	k i l d i n t i
kilnūs	k i l n uː s
kiokušin	k i o k u ʃ i n
klipu	k l i p u
komunos	k o m u n o s
konsulu	k o n s u l u
korespondencijos	k o r e s p o n d e n t͡ʃ i j o s
kumščio	k u m ʃ t͡ʃ j o
kuprevičius	k u p r e v i t͡ʃ i u s
likvidumo	l i k v i d u m o
lindos	l i n d o s
lokomotiv	l o k o m o t i f
lšs	l ʃ
matteo	m a t t e o
mildos	m i l d o s
minimus	m i n i m u s
mirtino	m i r t i n o
mobilios	m o b i l j o s
nebuvom	n e b u v o m
nulipti	n u l i p t i
olimpiniu	o l i m p i n j u
optinį	o p t i n i
otis	o t i s
pajamoms	p a j a m ɔ m s
perimetru	p e r i m e t r u
pervadinti	p e r v a d i n t i
petrapilio	p e t r a p i l j o
plomba	p l o m b a
popular	p o p u l a r
pramoginis	p r a m o d͡ʒ i n i s
prisiminsiu	p r i z i m i n s j u
priskyrimo	p r i s k i r i m o
sceninį	ʃ e n i n i
scenografas	ʃ e n o ɡ r a f a s
senegalo	s e n e ɡ a l o
skolinys	s k o l i n i s
sokol	s o k o l
sovietine	s o v j e t i n e
stipru	s t i p r u
susibūrusi	s u z i b uː r u z i
sužinot	s u ʒ i n o t
tarifas	t a r i f a s
tiny	t i n i
tobis	t o b i s
tomografijos	t o m o ɡ r a f i j o s
unijų	u n i j o
užteršimo	u ʃ t e r ʃ i m o
užteršti	u ʃ t e r ʃ t i
vinetu	v i n e t u
vox	v o k s
vpk	v e p e k a
šit	ʃ i t
ūglius	uː ɡ l i u s
žemieji	ʒ e m i e j i
artimasis	a r t i m a z i s
avec	a v ɛ k
balsams	b a l s a m s
citrus	t͡ʃ i t r u s
csu	k s u
dia	d i a
driver	d r i v e r
drįso	d r i z o
helovyno	h e l o v i n o
individus	i n d i v i d u s
ištirtos	i ʃ t i r t o s
klemenso	k l e m ɛ n s o
komunistinis	k o m u n i s t i n i s
likom	l i k o m
logic	l ɔ d͡ʒ i k
midus	m i d u s
minsk	m i n s k
moll	m o l
neabejokite	n e a b e j o k i t e
nevadina	n e v a d i n a
nevisi	n e v i z i
neši	n e ʃ i
perkeltų	p e r k e l t o
piniginio	p i n i d͡ʒ i n j o
pirmagimis	p i r m a d͡ʒ i m i s
pirštinę	p i r ʃ t i n ɛ
prekybinio	p r e k i b i n j o
pripras	p r i p r a s
pulkus	p u l k u s
recesijos	r e t͡ʃ e z i j o s
ribojo	r i b o j o
siono	s i o n o
stiprio	s t i p r i o
surišo	s u r i ʃ o
sustokite	s u s t o k i t e
tiksi	t i k s i
triušį	t r i u ʃ i
unitų	u n i t o
užkibo	u ʃ k i b o
vilkintis	v i l k i n t i s
žodynus	ʒ o d i n u s
beti	b e t i
biodujų	b i o d u j o
brent	b ʀ ɛ n t
bunkerius	b u ŋ k e r i u s
buvot	b u v o t
būsit	b uː z i t
ciao	t͡ʃ a o
cokolis	k o k o l i s
cunamio	k u n a m j o
dam	d a m
deguto	d e ɡ u t o
diplominis	d i p l o m i n i s
dispečeris	d i s p e t͡ʃ e r i s
džonso	d͡ʒ o n s o
ergonomikos	e r ɡ o n o m i k o s
estus	e s t u s
eterinį	e t e r i n i
fondams	f o n d a m s
gerino	d͡ʒ e r i n o
ginčams	ɡ i n t͡ʃ a m s
glikogeno	ɡ l i k o d͡ʒ e n o
gramas	ɡ r a m a s
grindiniu	ɡ r i n d i n j u
haro	h a ʀ o
imanoma	i m a n o m a
isos	i z o s
itališkų	i t a l i ʃ k o
iškovotos	i ʃ k o v o t o s
jak	j a k
kedžio	k e d͡ʒ j o
kioto	k i o t o
kirkilo	k i r k i l o
konsistorijos	k o n s i s t o r i j o s
konsultacinis	k o n s u l t a t͡ʃ i n i s
lago	l a ɡ o
ledinis	l e d i n i s
lektuvo	l e k t u v o
letena	l e t e n a
lida	l i d a
manys	m a n i s
margarinas	m a r ɡ a r i n a s
melinda	m e l i n d a
metodikų	m e t o d i k o
minuso	m i n u z o
mita	m i t a
mobilūs	m o b i l uː s
mutacijų	m u t a t͡ʃ i j o
neršto	n e r ʃ t o
nusukti	n u z u k t i
pentagono	p e n t a ɡ o n o
periferijos	p e r i f e r i j o s
pick	p i k
poetus	p o e t u s
prestonas	p r e s t o n a s
prisipildo	p r i z i p i l d o
programinio	p r o ɡ r a m i n j o
protinio	p r o t i n j o
romina	r o m i n a
sceninio	ʃ e n i n j o
seda	s e d a
shit	ʃ i t
skyrusi	s k i r u z i
specifiniu	s p e t͡ʃ i f i n j u
spiralę	s p i r a l ɛ
stereotipus	s t e r e o t i p u s
sutikote	s u t i k o t e
testosterono	t e s t o s t e r o n o
tip	t i p
trafalgaro	t r a f a l ɡ a r o
tušu	t u ʃ u
vada	v a d a
vedlį	v e d l i
vedusi	v e d u z i
vilktis	v i l k t i s
vitali	v i t a l i
vitolis	v i t o l i s
zdebskis	z d e p s k i s
černobylis	t͡ʃ e r n o b i l i s
šermukšnio	ʃ e r m u k ʃ n j o
anonimas	a n o n i m a s
armonas	a r m o n a s
basa	b a z a
berlusconi	b e r l u s k o n i
café	k a f e
dažnu	d a ʒ n u
editos	e d i t o s
federalinį	f e d e r a l i n i
fiona	f j o n a
folikulų	f o l i k u l o
galvijams	ɡ a l v i j a m s
genetinio	d͡ʒ e n e t i n j o
gilinti	ɡ i l i n t i
griškevičius	ɡ r i ʃ k e v i t͡ʃ i u s
hack	h a k
hičkoko	h i t͡ʃ k o k o
ila	i l a
imitacijos	i m i t a t͡ʃ i j o s
intrigas	i n t r i ɡ a s
išsirita	i ʃ s i r i t a
ištobulino	i ʃ t o b u l i n o
judi	j u d i
keltuvo	k e l t u v o
ketvirti	k e t v i r t i
kobe	k o b e
kolūkius	k o l uː k i u s
komunijos	k o m u n i j o s
kriterijumi	k r i t e r i j u m i
kritikus	k r i t i k u s
labanakt	l a b a n a k t
lengvaatletis	l e ŋ v aː t l e t i s
lentynų	l e n t i n o
linu	l i n u
lock	l ɔ k
material	m a t e r j a l
metropolito	m e t r o p o l i t o
miltinis	m i l t i n i s
mokymams	m o k i m a m s
mūsu	m uː z u
nenugalima	n e n u ɡ a l i m a
nikitos	n i k i t o s
obelys	o b e l i s
pagardinti	p a ɡ a r d i n t i
pedagogams	p e d a ɡ o ɡ a m s
pledą	p l e d ɔ w̃
plikos	p l i k o s
plokščiu	p l o k ʃ t͡ʃ i u
plonesni	p l o n e s n i
plyšo	p l i ʃ o
puvimo	p u v i m o
pučo	p u t͡ʃ o
quick	k w i k
ratio	r a t j o
reanimacijos	r e a n i m a t͡ʃ i j o s
repas	r e p a s
ribinis	r i b i n i s
robino	r o b i n o
rubikių	r u b i k i o
sec	s ɛ k
sodinukų	s o d i n u k o
solinio	s o l i n j o
sti	s t i
sugrįšime	s u ɡ r i ʃ i m e
sutvirtino	s u t v i r t i n o
suvedimo	s u v e d i m o
talent	t a l ɛ n t
teritoriniu	t e r i t o r i n j u
toksiški	t o k s i ʃ k i
toy	t o j
urbanistinis	u r b a n i s t i n i s
uždengė	u ʒ d e ŋ ɡ
vaginos	v a d͡ʒ i n o s
vertu	v e r t u
vidu	v i d u
vinį	v i n i
viršutiniu	v i r ʃ u t i n j u
vykdomo	v i k d o m o
vykdomus	v i k d o m u s
vynus	v i n u s
šermukšnis	ʃ e r m u k ʃ n i s
africa	a f r i k a
alexa	a l ɛ k s a
ani	a n i
apacia	a p a t͡ʃ a
atitektų	a t i t e k t o
atsakomybes	a t͡s a k o m i b e s
atsigabeno	a t͡s i ɡ a b e n o
babos	b a b o s
banionis	b a n j o n i s
benamius	b e n a m i u s
benis	b e n i s
bevardžio	b e v a r d͡ʒ i o
biologiniu	b i o l o d͡ʒ i n j u
bombomis	b o m b o m i s
brooklyn	b r oː k l i n
bruni	b r u n i
budintis	b u d i n t i s
catch	k a t͡ʃ
cianido	t͡ʃ a n i d o
dalinimo	d a l i n i m o
degus	d e ɡ u s
dekoratyvinio	d e k o r a t i v i n j o
delsia	d e l s j a
derasi	d e r a z i
deutschland	d øː t͡ʃ l a n t
diane	d i a n e
dicaprio	d i k a p r i o
doni	d o n i
dyzelinio	d i z e l i n j o
economic	e k o n ɔ m i k
emigravę	e m i ɡ r a v ɛ
emocijomis	e m o t͡ʃ i j o m i s
figos	f i ɡ o s
fin	f i n
fotosesijos	f o t o s e z i j o s
funky	f u ŋ k i
gario	ɡ a r j o
garona	ɡ a ʀ o n a
giles	ɡ i l e s
globali	ɡ l o b a l i
grifitas	ɡ r i f i t a s
grubi	ɡ r u b i
grąžinkite	ɡ r ɔ n ʒ i n k i t e
grąžinsite	ɡ r ɔ n ʒ i n s i t e
guminis	ɡ u m i n i s
hadid	h a d i d
hemi	h e m i
hibridinis	h i b r i d i n i s
holden	h o l d ə n
hudo	h u d o
ilguvos	i l ɡ u v o s
iljos	i l j o s
iltimis	i l t i m i s
iltys	i l t i s
inch	i n t͡ʃ
inžinerinis	i n ʒ i n e r i n i s
išbristi	i ʒ b r i s t i
išdirbo	i ʃ d i r b o
išskirs	i ʃ s k i r s
ištrūko	i ʃ t r uː k o
johann	j o h a n
jokūbu	j o k uː b u
juto	j u t o
kahn	k a n
keltuvu	k e l t u v u
kibirus	k i b i r u s
klestintis	k l e s t i n t i s
kofi	k o f i
kojon	k o j o n
kokos	k o k o s
kokybiškų	k o k i b i ʃ k o
komplektus	k o m p l ɛ k t u s
