un	u n
divīziju	d i v iː z i j u
fokusu	f o k u s u
iemetis	i e m e t i s
ieteicis	i e t e i t͡s i s
iezīmi	i e z iː m i
isle	i s l e
izdzēsti	i z d͡z eː s t i
izveicīgs	i z v e i t͡s iː ɡ s
jos	j o s
kristiešus	k r i s t i e ʃ u s
kritusi	k r i t u s i
kuteri	k u t e r i
kļūstu	k ʎ uː s t u
liesu	l i e s u
lērums	l eː r u m s
mencu	m e n t͡s u
mironis	m i r o n i s
mērenu	m eː r e n u
nolīst	n o l iː s t
oli	o l i
opciju	o p t͡s i j u
pusfinālisti	p u s f i n ɑː l i s t i
puzes	p u z e s
pērlēm	p eː r l eː m
refleksi	r e f l e k s i
rosi	r o s i
rēgi	r eː ɡ i
skumt	s k u m t
skursteni	s k u r s t e n i
spectrum	s p e k t r u m
spēlēsim	s p eː l eː s i m
stūru	s t uː r u
sulā	s u l ɑː
svinīgu	s v i n iː ɡ u
svēti	s v eː t i
tempļu	t e m p ʎ u
tofu	t o f u
turēs	t u r eː s
urīnā	u r iː n ɑː
uzbrukuši	u z b r u k u ʃ i
vienoto	v i e n o t o
vinš	v i n ʃ
ziņnesis	z i ɲː e s i s
zvērus	z v eː r u s
či	t͡ʃ i
burvību	b u r v iː b u
cietumi	t͡s i e t u m i
cēlu	t͡s eː l u
dū	d uː
edīti	e d iː t i
elektrolītu	e l e k t r o l iː t u
esošus	e s o ʃ u s
gūstekņi	ɡ uː s t e k ɲ i
heils	h e i l s
hils	h i l s
iepriecini	i e p r i e t͡s i n i
improvizēt	i m p r o v i z eː t
integrēt	i n t e ɡ r eː t
izolēti	i z o l eː t i
izsīkst	i z s iː k s t
justs	j u s t s
kliju	k l i j u
kolekcionāri	k o l e k t͡s i o n ɑː r i
kustīgu	k u s t iː ɡ u
litu	l i t u
luksus	l u k s u s
līmi	l iː m i
mellenes	m e lː e n e s
mike	m i k e
mise	m i s e
mā	m ɑː
mēmele	m eː m e l e
mīlēs	m iː l eː s
neslikts	n e s l i k t s
nospēlējis	n o s p eː l eː j i s
notīm	n o t iː m
novērojuši	n o v eː r o j u ʃ i
piederētu	p i e d e r eː t u
piekļūst	p i e k ʎ uː s t
pielicis	p i e l i t͡s i s
pietrūkt	p i e t r uː k t
poli	p o l i
regulu	r e ɡ u l u
repo	r e p o
royce	r o j t͡s e
sin	s i n
sirgst	s i r k s t
speles	s p e l e s
stieņi	s t i e ɲ i
stigu	s t i ɡ u
stīvenu	s t iː v e n u
teiku	t e i k u
tiho	t i h o
trušus	t r u ʃ u s
tūrs	t uː r s
ul	u l
vecīti	v e t͡s iː t i
videoklipus	v i d e o k l i p u s
virvēm	v i r v eː m
vērotu	v eː r o t u
zogu	z o ɡ u
zuduši	z u d u ʃ i
ēstuves	eː s t u v e s
šiks	ʃ i k s
šrī	ʃ r iː
šu	ʃ u
šīns	ʃ iː n s
buss	b u sː
buļļi	b u ʎː i
cehā	t͡s e h ɑː
cerējis	t͡s e r eː j i s
defektus	d e f e k t u s
drīkstētu	d r iː k s t eː t u
eglīšu	e ɡ l iː ʃ u
eksistencei	e k s i s t e n t͡s e j
eli	e l i
emm	e mː
erc	e r t͡s
ernestu	e r n e s t u
erudītu	e r u d iː t u
grīnu	ɡ r iː n u
gurnu	ɡ u r n u
iepildīts	i e p i l d iː t s
iesils	i e s i l s
imūnsistēmu	i m uː n s i s t eː m u
interpretē	i n t e r p r e t eː
izejošo	i z e j o ʃ o
izvietojot	i z v i e t o j o t
iļjins	i ʎ j i n s
jr	j r
ke	k e
kemps	k e m p s
kristību	k r i s t iː b u
kļūmi	k ʎ uː m i
loto	l o t o
lēmis	l eː m i s
līkums	l iː k u m s
līmes	l iː m e s
līvbērzes	l iː v b eː r z e s
lūzeris	l uː z e r i s
mitro	m i t r o
neietekmēs	n e i e t e k m eː s
neitronu	n e i t r o n u
nepilnīgu	n e p i l n iː ɡ u
nepīpē	n e p iː p eː
nokrītot	n o k r iː t o t
operēt	o p e r eː t
opus	o p u s
ost	o s t
phone	f o n e
provinču	p r o v i n t͡ʃ u
punktiņi	p u n k t i ɲ i
pīrsingu	p iː r s i n ɡ u
refleksu	r e f l e k s u
rudīte	r u d iː t e
sekmējot	s e k m eː j o t
siju	s i j u
sivēnu	s i v eː n u
slēptuvi	s l eː p t u v i
soļo	s o ʎ o
svešus	s v e ʃ u s
sēnīte	s eː n iː t e
tfu	t f u
treisijs	t r e i s i j s
tri	t r i
triumfē	t r i u m f eː
tukšus	t u k ʃ u s
undīne	u n d iː n e
vilsonu	v i l s o n u
viršu	v i r ʃ u
vudū	v u d uː
vējus	v eː j u s
zudumus	z u d u m u s
zust	z u s t
zārks	z ɑː r k s
ēduši	eː d u ʃ i
ērzeli	eː r z e l i
šļūtene	ʃ ʎ uː t e n e
žokļu	ʒ o k ʎ u
dzeguze	d͡z e ɡ u z e
dūdu	d uː d u
floridu	f l o r i d u
ietiepīgi	i e t i e p iː ɡ i
ilustrētu	i l u s t r eː t u
inspektoram	i n s p e k t o r ɑ m
investoram	i n v e s t o r ɑ m
izvērš	i z v eː r ʃ
kiosku	k i o s k u
kopnes	k o p n e s
krusu	k r u s u
kruīzu	k r u iː z u
kult	k u l t
nomaļā	n o m ɑ ʎ ɑː
noskrēju	n o s k r eː j u
novēlējums	n o v eː l eː j u m s
nozīmējis	n o z iː m eː j i s
odins	o d i n s
pelīte	p e l iː t e
plīti	p l iː t i
poēmu	p o eː m u
pulverī	p u l v e r iː
rezervisti	r e z e r v i s t i
ringo	r i n ɡ o
rue	r u e
seksīgu	s e k s iː ɡ u
septiņdesmito	s e p t i ɲ d e s m i t o
serde	s e r d e
sils	s i l s
skenēt	s k e n eː t
spēlfilmu	s p eː l f i l m u
sunīši	s u n iː ʃ i
sēni	s eː n i
tempļi	t e m p ʎ i
toniks	t o n i k s
tool	t oː l
volume	v o l u m e
zondi	z o n d i
briļļu	b r i ʎː u
bunkurs	b u n k u r s
cietību	t͡s i e t iː b u
ekselences	e k s e l e n t͡s e s
ekskluzīvi	e k s k l u z iː v i
elfs	e l f s
esm	e s m
filipīnu	f i l i p iː n u
hurt	h u r t
ilustrē	i l u s t r eː
izbūvē	i z b uː v eː
kokle	k o k l e
kolorīts	k o l o r iː t s
komunistisko	k o m u n i s t i s k o
kremlim	k r e m l i m
līkumus	l iː k u m u s
merkurs	m e r k u r s
metodiku	m e t o d i k u
migrē	m i ɡ r eː
mocekli	m o t͡s e k l i
motorizēto	m o t o r i z eː t o
mēlītes	m eː l iː t e s
neputns	n e p u t n s
neredzēti	n e r e d͡z eː t i
neslēp	n e s l eː p
nesuši	n e s u ʃ i
nesēdi	n e s eː d i
nicht	n i x t
novērtējusi	n o v eː r t eː j u s i
nozīmēm	n o z iː m eː m
pen	p e n
precizētu	p r e t͡s i z eː t u
proteīnus	p r o t e iː n u s
publiskus	p u b l i s k u s
punduru	p u n d u r u
pērses	p eː r s e s
rindiņu	r i n d i ɲ u
serverus	s e r v e r u s
sesijās	s e s i j ɑː s
slovēniju	s l o v eː n i j u
specefekti	s p e t͡s e f e k t i
sēdekļi	s eː d e k ʎ i
truši	t r u ʃ i
trūkt	t r uː k t
tulkoti	t u l k o t i
tū	t uː
uber	u b e r
user	u s e r
uzbūvēti	u z b uː v eː t i
uzsildīt	u z s i l d iː t
vektoru	v e k t o r u
virsējo	v i r s eː j o
vēnās	v eː n ɑː s
vēsās	v eː s ɑː s
vīrusus	v iː r u s u s
zeļ	z e ʎ
čeki	t͡ʃ e k i
čempis	t͡ʃ e m p i s
čigāns	t͡ʃ i ɡ ɑː n s
ēzeli	eː z e l i
šķidru	ʃ t͡ʃ i d r u
bro	b r o
ceļojošie	t͡s e ʎ o j o ʃ i e
cīrule	t͡s iː r u l e
diskutēts	d i s k u t eː t s
dzirksteli	d͡z i r k s t e l i
ekonomisks	e k o n o m i s k s
ekstrēmi	e k s t r eː m i
ernesto	e r n e s t o
grupiņu	ɡ r u p i ɲ u
grūtups	ɡ r uː t u p s
gurni	ɡ u r n i
hiēnu	h i eː n u
homēru	h o m eː r u
ielieku	i e l i e k u
iesūc	i e s uː t͡s
ieteiks	i e t e i k s
justīne	j u s t iː n e
keišs	k e i ʃ s
klonu	k l o n u
kreilis	k r e i l i s
krustnešu	k r u s t n e ʃ u
kursīte	k u r s iː t e
kuš	k u ʃ
lits	l i t s
lēkmēm	l eː k m eː m
milimetrus	m i l i m e t r u s
moniku	m o n i k u
pelde	p e l d e
pieaugošu	p i e ɑ u ɡ o ʃ u
pieliku	p i e l i k u
pilsētvidi	p i l s eː t v i d i
ping	p i n ɡ
pirks	p i r k s
poru	p o r u
pētīti	p eː t iː t i
rikijs	r i k i j s
riču	r i t͡ʃ u
semu	s e m u
snigt	s n i k t
sox	s o k s
spilventiņi	s p i l v e n t i ɲ i
stulbeņu	s t u l b e ɲ u
svešo	s v e ʃ o
sēdei	s eː d e i
sēdekļu	s eː d e k ʎ u
sēju	s eː j u
viesuļvētru	v i e s u ʎ v eː t r u
zemītis	z e m iː t i s
čips	t͡ʃ i p s
ēstgribu	eː s t ɡ r i b u
īrnieki	iː r n i e k i
šūpulis	ʃ uː p u l i s
centību	t͡s e n t iː b u
dzirdēs	d͡z i r d eː s
eksotisko	e k s o t i s k o
ekspertīze	e k s p e r t iː z e
enter	e n t e r
ezerus	e z e r u s
finišē	f i n i ʃ eː
finišējot	f i n i ʃ eː j o t
finišēt	f i n i ʃ eː t
flints	f l i n t s
glītu	ɡ l iː t u
gruntī	ɡ r u n t iː
hemoroīdi	h e m o r o iː d i
hiēnām	h i eː n ɑː m
hīts	h iː t s
hītu	h iː t u
izturēs	i z t u r eː s
kelijs	k e l i j s
komiski	k o m i s k i
krustiņi	k r u s t i ɲ i
lesters	l e s t e r s
lote	l o t e
maināms	m ɑ i n ɑː m s
mbit	m b i t
mestu	m e s t u
mii	m iː
mišelu	m i ʃ e l u
moceklis	m o t͡s e k l i s
mocis	m o t͡s i s
moljērs	m o l j eː r s
morfiju	m o r f i j u
mīluļi	m iː l u ʎ i
necieņu	n e t͡s i e ɲ u
nervozi	n e r v o z i
nolikto	n o l i k t o
norīkojumu	n o r iː k o j u m u
oāze	o ɑː z e
peins	p e i n s
pesto	p e s t o
pilsētvides	p i l s eː t v i d e s
plūmju	p l uː m j u
postīt	p o s t iː t
potītēm	p o t iː t eː m
preiļiem	p r e i ʎ i eˀ m
projektēti	p r o j e k t eː t i
protestus	p r o t e s t u s
pūliņus	p uː l i ɲ u s
sesils	s e s i l s
smilteni	s m i l t e n i
solīti	s o l iː t i
spuru	s p u r u
strike	s t r i k e
stūrīti	s t uː r iː t i
sēmes	s eː m e s
sū	s uː
trekno	t r e k n o
tropisko	t r o p i s k o
uldi	u l d i
uzburt	u z b u r t
vet	v e t
īrē	iː r eː
bruņurupučus	b r u ɲ u r u p u t͡ʃ u s
bļe	b ʎ e
cieceres	t͡s i e t͡s e r e s
cigoriņu	t͡s i ɡ o r i ɲ u
embrijs	e m b r i j s
estere	e s t e r e
fiksēt	f i k s eː t
finieris	f i n i e r i s
flīzes	f l iː z e s
helen	h e l e n
hetere	h e t e r e
ietilptu	i e t i l p t u
ietin	i e t i n
ievietoju	i e v i e t o j u
ilūkstē	i l uː k s t eː
indonēziešu	i n d o n eː z i e ʃ u
instinkti	i n s t i n k t i
izdzeršu	i z d͡z e r ʃ u
jet	j e t
ken	k e n
kop	k o p
kopē	k o p eː
kurli	k u r l i
kurpītes	k u r p iː t e s
lielupi	l i e l u p i
lolo	l o l o
lūcijs	l uː t͡s i j s
meteorītu	m e t e o r iː t u
metodē	m e t o d eː
motivēts	m o t i v eː t s
muitu	m u i t u
mēlīti	m eː l iː t i
mērāms	m eː r ɑː m s
mūspusē	m uː s p u s eː
negulēt	n e ɡ u l eː t
nekontrolēti	n e k o n t r o l eː t i
nenozīmīgu	n e n o z iː m iː ɡ u
netīrumu	n e t iː r u m u
nevērīgi	n e v eː r iː ɡ i
nežēlīgo	n e ʒ eː l iː ɡ o
nominēti	n o m i n eː t i
null	n u lː
odesu	o d e s u
olīveļļu	o l iː v e ʎː u
peks	p e k s
pievienojis	p i e v i e n o j i s
potīte	p o t iː t e
psihot	p s i h o t
represēto	r e p r e s eː t o
revolut	r e v o l u t
rite	r i t e
rotē	r o t eː
selēnu	s e l eː n u
shēmās	ʃ eː m ɑː s
sildīt	s i l d iː t
skrējēji	s k r eː j eː j i
somugru	s o m u ɡ r u
sterliņu	s t e r l i ɲ u
triple	t r i p l e
uzbūvējuši	u z b uː v eː j u ʃ i
uzcēluši	u z t͡s eː l u ʃ i
uzņēmuši	u z ɲ eː m u ʃ i
vilcēji	v i l t͡s eː j i
vilnītis	v i l n iː t i s
virši	v i r ʃ i
vēris	v eː r i s
vēstījumus	v eː s t iː j u m u s
vīne	v iː n e
čekisti	t͡ʃ e k i s t i
šumeru	ʃ u m e r u
budisms	b u d i s m s
būvēju	b uː v eː j u
cienīgus	t͡s i e n iː ɡ u s
cērt	t͡s eː r t
dur	d u r
dzimtē	d͡z i m t eː
epizodēs	e p i z o d eː s
esoši	e s o ʃ i
estētiku	e s t eː t i k u
fotonu	f o t o n u
frenklins	f r e n k l i n s
globe	ɡ l o b e
hero	h e r o
iecienījis	i e t͡s i e n iː j i s
indēm	i n d eː m
intervē	i n t e r v eː
izbrīnu	i z b r iː n u
izdzēš	i z d͡z eː ʃ
izkļūtu	i z k ʎ uː t u
klein	k l e i n
klāti	k l ɑː t i
konstruktīvi	k o n s t r u k t iː v i
koroziju	k o r o z i j u
krimu	k r i m u
lohu	l o h u
līki	l iː k i
metropoles	m e t r o p o l e s
mopēdu	m o p eː d u
motivēt	m o t i v eː t
mērus	m eː r u s
nepieņems	n e p i e ɲ e m s
nespēks	n e s p eː k s
nesēž	n e s eː ʒ
neērts	n e eː r t s
norišu	n o r i ʃ u
ots	o t s
pelēcis	p e l eː t͡s i s
pieteikti	p i e t e i k t i
pikē	p i k eː
pionieris	p i o n i e r i s
pirkstiņu	p i r k s t i ɲ u
plūme	p l uː m e
pozitīvie	p o z i t iː v i e
republic	r e p u b l i t͡s
rezervēt	r e z e r v eː t
selo	s e l o
sesijām	s e s i j ɑː m
spīdēt	s p iː d eː t
spīles	s p iː l e s
steroīdi	s t e r o iː d i
stiprību	s t i p r iː b u
suvenīrs	s u v e n iː r s
treileru	t r e i l e r u
trūcis	t r uː t͡s i s
vilktu	v i l k t u
vilkus	v i l k u s
vills	v i l s
visit	v i s i t
vizinās	v i z i n ɑː s
vū	v uː
zemākie	z e m ɑː k i e
zilums	z i l u m s
zirnekļus	z i r n e k ʎ u s
šonu	ʃ o n u
šļūteni	ʃ ʎ uː t e n i
ūdru	uː d r u
chip	t͡ʃ i p
degā	d e ɡ ɑː
emils	e m i l s
endziņš	e n d͡z i ɲ ʃ
femme	f e mː e
fēliksu	f eː l i k s u
grēdā	ɡ r eː d ɑː
izpleš	i s p l e ʃ
iztērējis	i z t eː r eː j i s
jutīs	j u t iː s
kingu	k i n ɡ u
kofi	k o f i
kredītvēsture	k r e d iː t v eː s t u r e
lekcijās	l e k t͡s i j ɑː s
lēdiju	l eː d i j u
lēnās	l eː n ɑː s
minējums	m i n eː j u m s
neieteiktu	n e i e t e i k t u
nenovēlu	n e n o v eː l u
nesējus	n e s eː j u s
nk	n k
noklusēt	n o k l u s eː t
nopelnīts	n o p e l n iː t s
norīkoti	n o r iː k o t i
noveduši	n o v e d u ʃ i
olgu	o l ɡ u
orki	o r k i
peldošu	p e l d o ʃ u
pis	p i s
posteņi	p o s t e ɲ i
pozitīvismu	p o z i t iː v i s m u
protestē	p r o t e s t eː
sleju	s l e j u
slinku	s l i n k u
spēji	s p eː j i
steiku	s t e i k u
stieņus	s t i e ɲ u s
svecīti	s v e t͡s iː t i
tire	t i r e
turējuši	t u r eː j u ʃ i
tīkliņu	t iː k l i ɲ u
uzkrīt	u z k r iː t
uzlējumu	u z l eː j u m u
vilcēju	v i l t͡s eː j u
virzuļu	v i r z u ʎ u
viskijs	v i s k i j s
zellis	z e lː i s
zemene	z e m e n e
ziņojis	z i ɲ o j i s
čīlē	t͡ʃ iː l eː
ēveles	eː v e l e s
