на	n a
получению	p ɔ l u t͡ɕ ɛ n i j u
поляне	p ɔ lʲ a nʲ ɛ
походу	p ɔ x ɔ d u
предсказания	p rʲ ɛ d s k a z a n i j a
приза	p r i z a
принятию	p r i nʲ a tʲ i j u
прозе	p r ɔ z ɛ
пулей	p u lʲ ɛ j
разработанной	r a z r a b ɔ tʰ a n n ɔ j
розыска	r ɔ z i s k a
смещение	s m ɛ ɕ t͡ɕ ɛ n i j ɛ
снах	s n a x
стока	s t ɔ k a
судам	s u d a m
таскать	t a s k a tʲ
тихим	tʲ i x i m
тонах	t ɔ n a x
угрожая	u ɡ r ɔ ʑ a j a
упростить	u p r ɔ s tʲ i tʲ
филе	f i lʲ ɛ
флоту	f l ɔ t u
франка	f r a ŋ k a
фунта	f u n t a
хождение	x ɔ ʑ d͡ʑ ɛ n i j ɛ
храбрости	x r a b r ɔ s tʲ i
частичной	t͡ɕ a s tʲ i t͡ɕʰ n ɔ j
чинить	t͡ɕ i n i tʲ
яркости	j a r k ɔ s tʲ i
bull	b u l
classic	k l a s i k
evil	e v i l
hi	h i
human	h u m a n
il	i l
wild	w i l d
арабы	a r a b i
афк	a f k
бананы	b a n a n i
банкам	b a ŋ k a m
болят	b ɔ lʲ a t
бортом	b ɔ r t ɔ m
броня	b r ɔ nʲ a
бросаю	b r ɔ s a j u
бухте	b u x tʲ ɛ
воздуху	ʋ ɔ z d u x u
возможными	ʋ ɔ z m ɔ ʑ n i m i
восьмом	ʋ ɔ s ɪ m ɔ m
выбери	ʋ i b ɛ r i
выиграем	ʋ i j i ɡ r a j ɛ m
городскими	ɡ ɔ r ɔ d s k i m i
грег	ɡ rʲ ɛ ɡ
грохот	ɡ r ɔ x ɔ t
грэс	ɡ r e s
грязно	ɡ rʲ a z n o
добрыми	d ɔ b r i m i
доставке	d ɔ s t a w kʲ ɛ
елку	j ɛ l k u
ель	j ɛ l ɪ
ефремова	j ɛ f rʲ ɛ m ɔ ʋ ɑ
зеленью	z ɛ l ɛ n ɪ j u
ирану	i r a n u
каркас	k a r k a s
катится	k a tʲ i tʲ sʲ a
когти	k ɔ ɡ tʲ i
кока	k ɔ k a
коса	k ɔ s a
краску	k r a s k u
крути	k r u tʲ i
кэрол	k e r o l
лак	l a k
лара	l a r a
лора	l ɔ r a
мака	m a k a
мартинес	m a r tʲ i nʲ ɛ s
мягче	mʲ a ɡ t͡ɕʲ ɛ
напр	n a p r
натура	n a tʰ u r a
нед	n ɛ d
никакое	n i k a k ɔ j ɛ
обладая	ɔ b l a d a j a
ода	ɔ d a
опозданием	ɔ p ɔ z d a n i j ɛ m
опытно	ɔ p i t n o
особыми	ɔ s ɔ b i m i
очистка	ɔ t͡ɕ i s t k a
очкам	ɔ t͡ɕ k a m
панорама	p a n ɔ r a m a
победный	p ɔ b ɛ d n i j
поведению	p ɔ ʋ ɛ d ɛ n i j u
поверишь	p ɔ ʋ ɛ r i ɕ ɪ
подожгли	p ɔ d ɔ ʑ ɡ l i
позволяющая	p ɔ z ʋ ɔ lʲ a j u ɕ t͡ɕ a j a
поздним	p ɔ z d n i m
позора	p ɔ z ɔ r a
покуда	p ɔ k u d a
полигона	p ɔ l i ɡ ɔ n a
помогаем	p ɔ m ɔ ɡ a j ɛ m
помыть	p ɔ m i tʲ
потоку	p ɔ t ɔ k u
поэме	p o e mʲ ɛ
поэму	p o e m u
пределе	p rʲ ɛ d ɛ lʲ ɛ
прислала	p r i s l a ɮ a
продаст	p r ɔ d a s t
пчелы	p t͡ɕ ɛ l i
разная	r a z n a j a
разрушено	r a z r u ɕ ɛ n o
разумное	r a z u m n ɔ j ɛ
разумные	r a z u m n i j ɛ
рам	r a m
ркка	r k a
росло	r ɔ s l ɔ
рунета	r u nʲ ɛ t a
самарская	s a m a r s k a j a
сборке	s b ɔ r kʲ ɛ
светлым	s ʋ ɛ t l i m
сервисе	s ɛ r ʋ i s ɛ
серым	s ɛ r i m
сетке	s ɛ t kʲ ɛ
синдрома	s i n d r ɔ m a
скрытая	s k r i t a j a
соискание	s ɔ j i s k ɑ n i j ɛ
стартап	s t a r t a p
стойке	s t ɔ j kʲ ɛ
стопам	s t ɔ p a m
сторонником	s t ɔ r ɔ n n i k ɔ m
страдание	s t r a d a n i j ɛ
ступеней	s t u pʲ ɛ n ɛ j
судеб	s u dʲ ɛ b
тормозит	t ɔ r m ɔ z i t
трамваи	t r a m v a j
удачных	u d a t͡ɕʰ n i x
утраты	u t r a tʰ i
финальную	f i n a lʲ n u j u
финиша	f i n i ɕ a
флориды	f l ɔ r i d i
фронту	f r ɔ n t u
цифрах	t͡sʰ i f r a x
чашка	t͡ɕ a ɕ k a
чудесным	t͡ɕ u dʲ ɛ s n i m
эда	e d a
ядром	j a d r ɔ m
яме	j a mʲ ɛ
app	a p
ho	h o
les	l e s
story	s t o r i
tom	t o m
бали	b a lʲ
барышня	b a r i ɕ nʲ a
бесспорно	b ɛ s s p ɔ r n o
блестящая	b lʲ ɛ s tʲ a ɕ t͡ɕ a j a
блины	b l i n i
боролась	b ɔ r ɔ l a sʲ
бурение	b u rʲ ɛ n i j ɛ
ванна	ʋ a n n a
ведению	ʋ ɛ d ɛ n i j u
вело	ʋ ɛ l o
видный	ʋ i d n i j
вносят	ʋ n ɔ s j a t
возрастет	ʋ ɔ z r a s tʲ ɛ t
вспомню	ʋ s p ɔ m nʲ u
гибрид	ɡ i b r i d
горка	ɡ ɔ r k a
горная	ɡ ɔ r n a j a
даа	d aː
делились	d ɛ l i l i s ɪ
денежную	d ɛ n ɛ ʑ n u j u
дыр	d i r
емкости	j ɛ m k ɔ s tʲ i
заданием	z a d a n i j ɛ m
заметны	z a mʲ ɛ t n i
запахи	z a p a xʲ
запускать	z a p u s k a tʲ
зе	z ɛ
зелёные	z ɛ l j ɔ n i j ɛ
земных	z ɛ m n i x
калорий	k a ɮ ɔ r i j
каши	k a ɕ i
кис	k i s
куском	k u s k ɔ m
лишать	l i ɕ a tʲ
лишением	l i ɕ ɛ n i j ɛ m
мара	m a r a
муза	m u z a
нагло	n a ɡ l o
нанять	n a nʲ a tʲ
напоминал	n a p ɔ m i n a l
напрочь	n a p r ɔ t͡ɕʲ
натуры	n a tʰ u r i
нелли	n ɛ l l i
нерв	n ɛ r ʋ
нора	n ɔ r a
обложку	ɔ b l ɔ ʑ k u
одобрила	ɔ d ɔ b r i l a
органе	ɔ r ɡ a nʲ ɛ
осел	ɔ s ɛ l
отличать	ɔ t l i t͡ɕ a tʲ
отразил	ɔ t r a z i l
ошибаются	ɔ ɕ i b a j u t sʲ a
папка	p a p k a
пирожки	p i r ɔ ʑ kʲ i
погоню	p ɔ ɡ ɔ nʲ u
позволять	p ɔ z ʋ ɔ lʲ a tʲ
позволяющих	p ɔ z ʋ ɔ lʲ a j u ɕ t͡ɕ i x
покурить	p ɔ k u r i tʲ
посчитать	p ɔ s t͡ɕ i t a tʲ
предстал	p rʲ ɛ d s t a l
прикосновение	p r i k ɔ s n o ʋ ɛ n i j ɛ
прикрытие	p r i k r i tʲ i j ɛ
присвоения	p r i s ʋ ɔ j ɛ n i j a
проигрыш	p r ɔ j i ɡ r i ɕ
псы	p s i
разгона	r a z ɡ ɔ n a
разложения	r a z l ɔ ʑ ɛ n i j a
рд	r d
рекламой	rʲ ɛ k l a m ɔ j
родня	r ɔ d nʲ a
ролика	r ɔ l i k a
роскосмос	r ɔ s k ɔ s m ɔ s
ртути	r tʰ u tʲ i
сводки	s ʋ ɔ d kʲ i
секретом	s ɛ k rʲ ɛ t ɔ m
семерых	s ɛ m ɛ r i x
снизил	s n i z i l
сноса	s n ɔ s a
сред	s rʲ ɛ d
стада	s t a d a
стамбула	s t a m b u ɮ a
стартуют	s t a r tʰ u j u t
стекле	s tʲ ɛ k lʲ ɛ
страстью	s t r a s tʲ j u
стыке	s t i kʲ ɛ
тараса	t a r a s a
трибун	t r i b u n
триполи	t r i p ɔ l i
тёмные	tʲ ɔ m n i j ɛ
уплате	u p l a tʲ ɛ
упс	u p s
фашизмом	f a ɕ i z m ɔ m
финальная	f i n a lʲ n a j a
флеш	f lʲ ɛ ɕ
фонду	f ɔ n d u
фрегат	f rʲ ɛ ɡ a t
ханна	x a n n a
честности	t͡ɕ ɛ s t n ɔ s tʲ i
чет	t͡ɕ ɛ t
чешского	t͡ɕ ɛ ɕ s k ɔ ɡ ɔ
эстер	e s tʲ ɛ r
этo	e t o
great	ɡ r e a t
mazda	m a z d a
men	m e n
model	m o d e l
state	s t a t e
work	w o r k
авраам	a w̜ r aː m
аляски	a ɮʲ a s kʲ
армению	a r mʲ ɛ n i j u
баха	b a x a
бомбардир	b ɔ m b a r d i r
брони	b r ɔ n i
величин	ʋ ɛ l i t͡ɕ i n
веселым	ʋ ɛ s ɛ l i m
взаимные	ʋ z a j i m n i j ɛ
витя	ʋ i tʲ a
водкой	ʋ ɔ d k ɔ j
воздушная	ʋ ɔ z d u ɕ n a j a
выводам	ʋ i ʋ ɔ d a m
вызывая	ʋ i z i ʋ a j a
вынуждено	ʋ i n u ʑ d͡ʑ ɛ n o
выполняла	ʋ i p ɔ l nʲ a l a
глубоком	ɡ l u b ɔ k ɔ m
голым	ɡ ɔ l i m
горем	ɡ ɔ rʲ ɛ m
городскому	ɡ ɔ r ɔ d s k ɔ m u
горох	ɡ ɔ r ɔ x
графы	ɡ r a f i
грома	ɡ r ɔ m a
губах	ɡ u b a x
даг	d a ɡ
дарьи	d a rʲ i
дашь	d a ɕ
дворяне	d ʋ ɔ rʲ a nʲ ɛ
десятой	d ɛ s j a t ɔ j
дорогую	d ɔ r ɔ ɡ u j u
дорожная	d ɔ r ɔ ʑ n a j a
драм	d r a m
египетской	j ɛ ɡ i pʲ ɛ t s k ɔ j
еп	j ɛ p
задержана	z a dʲ ɛ r ʑ a n a
заменены	z a mʲ ɛ n ɛ n i
занятиям	z a nʲ a tʲ i j a m
заслуг	z a s ɮ u ɡ
зенитно	z ɛ n i t n o
ино	j i n o
ирландия	i r ɮ a n d i j a
клещей	k lʲ ɛ ɕ t͡ɕ ɛ j
коляску	k ɔ lʲ a s k u
косы	k ɔ s i
котлы	k ɔ t l i
кризисе	k r i z i s ɛ
криминальной	k r i m i n a lʲ n ɔ j
круз	k r u z
крупы	k r u p i
крутится	k r u tʲ i tʲ sʲ a
крымом	k r i m ɔ m
ласки	l a s kʲ
либерии	l i b ɛ r i j
лошадьми	l ɔ ɕ a dʲ mʲ i
методическое	m ɛ t ɔ d i t͡ɕ ɛ s k ɔ j ɛ
молодое	m ɔ l ɔ d ɔ j ɛ
молочная	m ɔ l ɔ t͡ɕ n a j a
наполнить	n a p ɔ l n i tʲ
настоятель	n a s t ɔ j a tʲ ɛ lʲ ɪ
обида	ɔ b i d a
объясню	ɔ b j a s nʲ u
организмы	ɔ r ɡ a n i z m i
организуют	ɔ r ɡ a n i z u j u t
отображение	ɔ t ɔ b r a ʑ ɛ n i j ɛ
отрезке	ɔ t rʲ ɛ z kʲ ɛ
парашютом	p a r a ɕ j u t ɔ m
подхожу	p ɔ d x ɔ ʑ u
поел	p ɔ j ɛ l
поза	p ɔ z a
помнил	p ɔ m n i l
поразить	p ɔ r a z i tʲ
посему	p ɔ s ɛ m u
признанием	p r i z n a n i j ɛ m
прозрачные	p r ɔ z r a t͡ɕʰ n i j ɛ
прочитали	p r ɔ t͡ɕ i t a l i
прощу	p r ɔ ɕ u
пытали	p i t a l i
пьёт	p j ɔ t
рамок	r a m ɔ k
рассказам	r a s k a z a m
речке	rʲ ɛ t͡ɕ kʲ ɛ
роса	r ɔ s a
сатаны	s a tʰ a n i
сергий	s ɛ r ɡ i j
серьги	s ɛ r ɪ ɡ i
скал	s k a l
собирая	s ɔ b i r a j a
соседними	s ɔ s ɛ d n i m i
стенд	s tʲ ɛ n d
тюменская	tʲ u mʲ ɛ n s k a j a
убитыми	u b i t i m i
унес	u nʲ ɛ s
утренние	u t rʲ ɛ n n i j ɛ
форда	f ɔ r d a
ханс	x a n s
хитрость	x i t r ɔ s tʲ
царская	t͡sʰ a r s k a j a
человеческом	t͡ɕ ɛ l ɔ ʋ ɛ t͡ɕ ɛ s k ɔ m
шайбой	ɕ a i b ɔ j
школьную	ɕ k ɔ lʲ n u j u
ых	i x
юрию	j u r i j u
ям	j a m
ag	a ɡ
ap	a p
cup	k u p
nr	ɛ n ɛ r
skoda	s k o d a
soul	s u l
ultimate	u l t i m a t e
алмазы	a ɮ m a z i
амкар	a m k a r
араб	a r a b
бабу	b a b u
безобразие	b ɛ z ɔ b r a z i j ɛ
безумные	b ɛ z u m n i j ɛ
бесед	b ɛ s ɛ d
бродит	b r ɔ d i t
вагнер	ʋ a ɡ nʲ ɛ r
варвары	ʋ a r ʋ a r i
верфи	ʋ ɛ r f i
возможную	ʋ ɔ z m ɔ ʑ n u j u
войдя	ʋ ɔ j dʲ a
воспроизведения	ʋ ɔ s p r ɔ j i z ʋ ɛ d ɛ n i j a
всероссийских	ʋ s ɛ r ɔ s s iː s k i x
вскрытие	ʋ s k r i tʲ i j ɛ
въезда	ʋ j ɛ z d a
выбрано	ʋ i b r a n o
выкупил	ʋ i k u p i l
вынос	ʋ i n o s
глупым	ɡ l u p i m
голени	ɡ ɔ lʲ ɛ n i
горд	ɡ ɔ r d
громким	ɡ r ɔ m kʲ i m
гуд	ɡ u d
доводить	d ɔ ʋ ɔ d i tʲ
законной	z a k ɔ n n ɔ j
занятием	z a nʲ a tʲ i j ɛ m
заплакала	z a p ɮ a k a ɮ a
запросил	z a p r ɔ s i l
зараза	z a r a z a
знаменитом	z n a mʲ ɛ n i t ɔ m
казармы	k a z a r m i
клетками	k lʲ ɛ t k a mʲ i
коза	k ɔ z a
комбинате	k ɔ m b i n a tʲ ɛ
конторе	k ɔ n t ɔ rʲ ɛ
корзина	k ɔ r z i n a
косяк	k ɔ s j a k
крайности	k r ɛː n ɔ s tʲ i
крутить	k r u tʲ i tʲ
маркиз	m a r kʲ i z
меньших	m ɛ n ɪ ɕ i x
мик	m i k
минфина	m i n f i n a
минюст	m i n j u s t
мифа	m i f a
мишень	m i ɕ ɛ n ɪ
мозгом	m ɔ z ɡ ɔ m
мокрые	m ɔ k r i j ɛ
моль	m ɔ lʲ
нанесение	n a nʲ ɛ s ɛ n i j ɛ
натуральной	n a tʰ u r a ɮʲ n ɔ j
низ	n i z
обладающие	ɔ b l a d a j u ɕ t͡ɕ i j ɛ
облика	ɔ b l i k a
обречен	ɔ b rʲ ɛ t͡ɕ ɛ n
оскорбить	ɔ s k ɔ r b i tʲ
отнестись	ɔ t nʲ ɛ s tʲ i s ɪ
отображения	ɔ t ɔ b r a ʑ ɛ n i j a
охраняют	ɔ x r a nʲ a j u t
палка	p a ɮ k a
пацана	p a t͡sʰ a n a
плат	p l a t
погони	p ɔ ɡ ɔ n i
подозрением	p ɔ d ɔ z rʲ ɛ n i j ɛ m
посредником	p ɔ s rʲ ɛ d n i k ɔ m
походить	p ɔ x ɔ d i tʲ
пришедших	p r i ɕ ɛ d ɕ i x
прогнать	p r ɔ ɡ n a tʲ
размножение	r a z m n ɔ ʑ ɛ n i j ɛ
разыскать	r a z i s k a tʲ
рашид	r a ɕ i d
родах	r ɔ d a x
семенами	s ɛ m ɛ n ɑ m i
сербской	s ɛ r p s k ɔ j
сжег	s ʒ ɛ ɡ
сиси	s i s i
скидкой	s k i d k ɔ j
скоростях	s k ɔ r ɔ s tʲ a x
смарт	s m a r tʰ
статусу	s t a tʰ u s u
стойку	s t ɔ j k u
сувениры	s u ʋ ɛ n i r i
супермаркет	s u pʲ ɛ r m ɑ r kʲ ɛ t
тормоз	t ɔ r m ɔ z
транзит	t r a n z i t
тюрем	tʲ u rʲ ɛ m
тяжких	tʲ a ʒ kʲ i x
узоры	u z ɔ r i
уорд	u o r d
уходим	u x ɔ d i m
хакасия	x a k a s i j a
хоре	x ɔ rʲ ɛ
честная	t͡ɕ ɛ s t n a j a
южное	j u ʑ n ɔ j ɛ
юта	j u t a
яблони	j a b l ɔ n i
языкознания	j a z i k ɔ z n a n i j a
ясная	j a s n a j a
яхт	j a x t
ac	a k
box	b o k s
eye	e j e
je	ʒ e
led	l e d
lost	l o s t
net	n e t
stop	s t o p
анонимно	a n ɔ n i m n o
бел	b ɛ l
берни	b ɛ r n i
босиком	b ɔ s i k ɔ m
бритни	b r i t n i
везли	ʋ ɛ z l i
вечернего	ʋ ɛ t͡ɕ ɛ r n ɛ ɡ ɔ
возникало	ʋ ɔ z n i k a l o
володин	ʋ ɔ l ɔ d i n
галкин	ɡ a ɮ kʲ i n
грубость	ɡ r u b ɔ s tʲ
грэмми	ɡ r e m m i
губам	ɡ u b a m
дебютный	d ɛ b j u t n i j
домики	d ɔ m i kʲ i
дрожит	d r ɔ ʑ i t
ен	j ɛ n
зап	z a p
звездного	z ʋ ɛ z d n o ɡ o
знаменитую	z n a mʲ ɛ n i tʰ u j u
извержения	j z ʋ ɛ r ʑ ɛ n i j a
изобразил	j z ɔ b r a z i l
иску	j i s k u
кадра	k a d r a
кап	k a p
кларка	k l a r k a
клише	k l i ɕ ɛ
комета	k ɔ mʲ ɛ t a
конте	k ɔ n tʲ ɛ
кремом	k rʲ ɛ m ɔ m
крышкой	k r i ɕ k ɔ j
культурную	k u ɮʲ tʰ u r n u j u
лизу	l i z u
лох	l ɔ x
манер	m a nʲ ɛ r
маши	m a ɕ i
меньшие	m ɛ n ɪ ɕ i j ɛ
множественные	m n ɔ ʑ ɛ s t ʋ ɛ n n i j ɛ
молоке	m ɔ l ɔ kʲ ɛ
морда	m ɔ r d a
мэры	m e r i
надежным	n a dʲ ɛ ʑ n i m
нападать	n a p a d a tʲ
незаконных	n ɛ z a k ɔ n n i x
омлет	ɔ m lʲ ɛ t
парком	p a r k ɔ m
пауки	p a u kʲ
пачка	p a t͡ɕ k a
пена	p ɛ n a
пикет	p i kʲ ɛ t
писания	p i s a n i j a
плоской	p l ɔ s k ɔ j
подобрал	p ɔ d ɔ b r a l
покорить	p ɔ k ɔ r i tʲ
полярной	p ɔ lʲ a r n ɔ j
помеха	p ɔ mʲ ɛ x a
попадать	p ɔ p a d a tʲ
профессору	p r ɔ fʲ ɛ s s ɔ r u
прояснить	p r ɔ j a s n i tʲ
психики	p s i x i kʲ i
пульса	p u lʲ s a
пчел	p t͡ɕ ɛ l
размахом	r a z m a x ɔ m
ринат	r i n a t
розу	r ɔ z u
саня	s a nʲ a
сапог	s a p ɔ ɡ
сапогах	s a p ɔ ɡ a x
свист	s ʋ i s t
свифт	s ʋ i f t
секрете	s ɛ k rʲ ɛ tʲ ɛ
семейную	s ɛ m ɛ j n u j u
сербы	s ɛ r b i
серверы	s ɛ r ʋ ɛ r i
сирийские	s i r i j s k i j ɛ
скромные	s k r ɔ m n i j ɛ
скука	s k u k a
сро	s r ɔ
сроках	s r ɔ k a x
тара	t a r a
техникума	tʲ ɛ x n i k u m ɑ
тропа	t r ɔ p a
трюк	t rʲ u k
убеждение	u b ɛ ʑ d͡ʑ ɛ n i j ɛ
улики	u ɮ i kʲ
умерло	u mʲ ɛ r l o
финны	f i n n i
фомин	f ɔ m i n
фонтана	f ɔ n t a n a
хамас	x a m a s
хантер	x a n tʲ ɛ r
хоронить	x ɔ r ɔ n i tʲ
хуана	x u a n a
царские	t͡sʰ a r s kʲ i j ɛ
эрих	e r i x
эстафеты	e s t a fʲ ɛ t i
этапу	e t a p u
язвы	j a z ʋ i
якунин	j a k u n i n
canon	k a n o n
data	d a t a
fantasy	f a n t a s i
fly	f l i
golden	ɡ o l d e n
stars	s t a r s
бака	b a k a
батюшка	b a tʲ u ɕ k a
библию	b i b l i j u
богдана	b ɔ ɡ d a n a
божественная	b ɔ ʑ ɛ s t ʋ ɛ n n a j a
броню	b r ɔ nʲ u
брюса	b rʲ u s a
веди	ʋ ɛ d i
величайшим	ʋ ɛ l i t͡ɕ ɛː ɕ i m
веселых	ʋ ɛ s ɛ l i x
влажные	ʋ l a ʑ n i j ɛ
всесоюзный	ʋ s ɛ s ɔ j u z n i j
выводами	ʋ i ʋ ɔ d a m i
выдаст	ʋ i d a s t
выигрывают	ʋ i j i ɡ r i ʋ a j u t
гамбург	ɡ a m b ʊ r k
геем	ɡ ɛ j ɛ m
гоа	ɡ o a
двигать	d ʋ i ɡ a tʲ
деду	d ɛ d u
денисова	d ɛ n i s ɔ ʋ ɑ
дес	d ɛ s
дс	d ə s
ефимова	j ɛ f i m ɔ ʋ ɑ
закрылась	z a kʰ r i ɮ a sʲ
запомню	z a p ɔ m nʲ u
захода	z a x ɔ d a
зятя	z j a tʲ a
календарю	k a ɮʲ ɛ n d a rʲ u
каскада	k a s k a d a
книжные	k n i ʑ n i j ɛ
крюк	k rʲ u k
курская	k u r s k a j a
лама	l a m a
лида	l i d a
лидии	l i d i j
лимона	l i m ɔ n a
маки	m a kʲ
масках	m a s k a x
месяцем	m ɛ s j a t͡sʲ ɛ m
мика	m i k a
минуя	m i n u j a
мишенью	m i ɕ ɛ n ɪ j u
многообразие	m n ɔ ɡ oː b r a z i j ɛ
модных	m ɔ d n i x
мокрая	m ɔ k r a j a
муса	m u s a
найму	n a i m u
недоверия	n ɛ d ɔ ʋ ɛ r i j a
нрав	n r a w
облике	ɔ b l i kʲ ɛ
обратится	ɔ b r a tʲ i tʲ sʲ a
обрел	ɔ b rʲ ɛ l
объединил	ɔ b j ɛ d i n i l
одобряет	ɔ d ɔ b rʲ a j ɛ t
оле	ɔ lʲ ɛ
опоздала	ɔ p ɔ z d a l a
отмечала	ɔ t mʲ ɛ t͡ɕ a l a
очистке	ɔ t͡ɕ i s t kʲ ɛ
пафос	p a f ɔ s
письменной	p i s ɪ m ɛ n n ɔ j
плоская	p l ɔ s k a j a
побеги	p ɔ b ɛ ɡ i
побери	p ɔ b ɛ r i
подсудимых	p ɔ d s u d i m i x
покупала	p ɔ k u p a l a
помещика	p ɔ mʲ ɛ ɕ t͡ɕ i k a
пота	p ɔ t a
преступного	p rʲ ɛ s t u p n o ɡ o
прибегать	p r i b ɛ ɡ a tʲ
присвоить	p r i s ʋ ɔ j i tʲ
продлили	p r ɔ d l i l i
пул	p u l
пустяки	p u s tʲ a kʲ i
рама	r a m a
решаем	rʲ ɛ ɕ a j ɛ m
роя	r ɔ j a
самцы	s a m t͡sʰ i
сбыт	s b i t
сибирском	s i b i r s k ɔ m
сию	s i j u
снаряжения	s n a rʲ a ʑ ɛ n i j a
снежные	s n ɛ ʑ n i j ɛ
сопрано	s ɔ p r a n o
сроку	s r ɔ k u
стольких	s t ɔ lʲ kʲ i x
страховку	s t r a x ɔ w̜ k u
таможни	t a m ɔ ʑ n i
танцор	t a n t͡sʰ ɔ r
теряя	tʲ ɛ rʲ a j a
треке	t rʲ ɛ kʲ ɛ
труппа	t r u p p a
тя	tʲ a
умно	u m n o
умрут	u m r u t
упоминаются	u p ɔ m i n a j u t sʲ a
фауна	f a u n a
фин	f i n
форс	f ɔ r s
фостер	f ɔ s tʲ ɛ r
фотографом	f ɔ t ɔ ɡ r a f ɔ m
фрост	f r ɔ s t
хакер	x a kʲ ɵ r
хэ	x e
черногория	t͡ɕ ɛ r n ɔ ɡ ɔ r i j a
эскизы	e s k i z i
citroen	t͡ʃ i t r o e n
ipo	i p o
metal	m e t a l
nintendo	n i n t e n d o
some	s o m e
автобусах	a w̜ tʰ ɔ b u s a x
анонимных	a n ɔ n i m n i x
атомные	a tʰ ɔ m n i j ɛ
балтии	b a ɮ tʲ i j
банд	b a n d
баннер	b a n nʲ ɛ r
барабаны	b a r a b a n i
батэ	b a tʰ e
бенуа	b ɛ n u a
богоматери	b ɔ ɡ ɔ m a tʲ ɛ r i
бочку	b ɔ t͡ɕ k u
вернадского	ʋ ɛ r n a d s k ɔ ɡ o
весенних	ʋ ɛ s ɛ n n i x
ветку	ʋ ɛ t k u
возросли	ʋ ɔ z r ɔ s l i
воронин	ʋ ɔ r o n i n
выберу	ʋ i b ɛ r u
выведет	ʋ i ʋ ɛ d ɛ t
выдвигать	ʋ i d ʋ i ɡ a tʲ
выполнит	ʋ i p ɔ l n i t
выпускали	ʋ i p u s k a l i
гарсиа	ɡ a r s i̯ aː
гибкость	ɡ i p k ɔ s tʲ
гид	ɡ i d
грим	ɡ r i m
губерния	ɡ u bʲ ɛ r n i j a
дерьме	d ɛ r ɪ m ɛ
диско	d i s k ɔ
допросить	d ɔ p r ɔ s i tʲ
досуг	d ɔ s u ɡ
дэ	d e
дэна	d e n a
загс	z a ɡ s
заехать	z a j ɵ x a tʲ
залом	z a l ɔ m
заменять	z a mʲ ɛ nʲ a tʲ
занятии	z a nʲ a tʲ i j
звездная	z ʋ ɛ z d n a j a
касс	k a s
катюша	k a tʲ u ɕ a
командор	k ɔ m a n d ɔ r
ларс	l a r s
маркиза	m a r kʲ i z a
мельникова	m ɛ l ɪ n i k ɔ ʋ ɑ
мр	m ə r
мыс	m i s
мэру	m e r u
наказал	n a k a z a ɮ
налогам	n a ɮ ɔ ɡ a m
народам	n a r ɔ d a m
нах	n a x
небесные	n ɛ b ɛ s n i j ɛ
